;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1180 - Reis en verblijfkosten;Eindtotaal
Lagerweij & Partner Consultants B.V.;;;;1;2;;2
Landgoed Duin & Kruidberg B.V.;;;1;;;;1
Landgoed ISVW B.V.;;;;;;1;1
L'Art de la Table;;;1;;;;1
Le Bistroquet B.V.;;;1;;;;1
Le Connaisseur;;;1;;;;1
Le Strasbourg;;;2;;;;2
Lean Consultancy Group B.V.;;;;;3;;3
LEEF Tapas B.V.;;;1;;;;1
Leeuwendaal Advies B.V.;;;;1;;;1
Leidse Onderwijsinstellingen B.V.;;;;;1;;1
Lengkeek B.V.;;;;;2;;2
Leo Ringelberg Touringcars;;;1;;;;1
Leonidas;;;1;;;;1
LHC Eploitatie BV Louis Hartlooper Complex;;;1;;;;1
LifeGuard Health Services B.V.;;;;;1;;1
LinQue Consult B.V.;;;;;1;;1
Live Steelband;;;1;;;;1
Lodamind;;1;;;;;1
Loft 88;;;1;;;;1
Logacom B.V.;;;;;1;;1
Logeion;;;;;1;;1
Lok. Centr.-Exp.grp Maatsch. Vraagstukken BV;;;2;;;;2
Loo Van Eck B.V.;;;;;1;;1
Los Argentinos 2;;;1;;;;1
LS Holding B.V.;;;;;1;;1
LTP Holding B.V.;;;;;1;;1
LTP Holding B.V. (alle vestigingen);;;;;1;;1
Lucy Lou Tacos & Tequila;;;1;;;;1
Luden Utrecht;;;1;;;;1
LUHA Solutions B.V.;;;;;1;;1
Lumenz;;;;;1;;1
Lunch at Your Job Catering;;;1;;;;1
Luz azul trainingen, advies & coaching;;;;;1;;1
Lysias Advies B.V.;;;;;1;;1
M. de Rooij Sound Service;;;1;;;;1
M. Hijmans consult;;;;1;;;1
Maatschap Vollering;;;1;;;;1
Madou's Provence SPRL;;;;;;1;1
Mainpress B.V.;;;;;1;;1
MaJe 2015 B.V.;1;;;;;;1
Management Drives Netherlands B.V.;;;;;1;;1
Mannen met plannen;;1;;;;;1
Manta Beach;;;1;;;;1
Many Faces;;;;;1;;1
Marcel Hammink Media;;;;;2;;2
Marcel Uljee Teksten;;1;;;;;1
Margo Hendriks training & coaching;;;;;1;;1
Marieke Duijsters Fotografie;;1;;;;;1
Mariënburggroep B.V.;;;;;1;;1
Marion Matthijssen onderzoek & training;;;;;1;;1
Marion Suijker Advies, Coaching & Training;;;;;2;;2
Mariska Wessel;;;;;1;;1
Maritim Hotel Bonn;;;;;;1;1
Marlies Maas Geesteranus;;;;;1;;1
Marlies Offerman;;;;;1;;1
Marosel B.V.;;;;;2;;2
Massop Coaching;;;;;1;;1
Master in Event Management B.V.;;;;;1;;1
Master it Training B.V.;;;;;1;;1
Matangi Strijkkwartet;;;1;;;;1
Mauritshoeve B.V.;;;1;;;;1
Maximes Denneweg 10B B.V.;;;1;;;;1
MC Tandheelkunde B.V.;;;;;4;;4
MCT Travel;;;;;1;;1
MdL-Coaching;;;;;1;;1
Me Gusta! Zonnige eetwaren;;;1;;;;1
Meat and More;;;1;;;;1
Medialert Projekten B.V.;;;;;1;;1
Mediat. & Train. Network The Lime Tree B.V.;;;;;1;;1
Mediavision B.V.;;;;;1;;1
Mediavrouw;;;1;;2;;2
Medicines for Europe;;;;;1;;1
Medilex B.V.;;;;;1;;1
Medisch Biologen Vereniging Mebiose;;;1;;;;1
Meelfabriek Zijlstroom B.V.;;;1;;;;1
meereffect;;;;;1;;1
Meetingselect B.V.;1;;3;;1;3;4
Mei Zakelijke Bijeenkomsten;;;;;1;;1
Mej Janssen Restaurant;;;1;;;;1
Mensen in Bedrijf;;;;;1;;1
Mercure Den Haag Central;;;;;;1;1
Merlijn B.V.;;;;;2;;2
Metamorfase;;;;;1;;1
MetroMining B.V.;1;;;;;;1
Meyburg;;1;;;;;1
Middin;;;1;;;;1
Mies/Tekst en Training;;;;;2;;2
MilÃº;;;1;;;;1
Millers;;;1;;;;1
Mindcampus B.V.;;;;;1;;1
Mindful Leven en Werken;;2;;;;;2
Mirion Technologies NV;;;;;1;;1
MKBA Onderzoek;;;;;1;;1
MMB Management BV;;;;;2;;2
MOCuitgevers B.V.;;;;;1;;1
Moduli Print B.V.;;;;;1;;1
Moestuin Maarschalkerweerd B.V.;;;1;;;;1
Monsterevents;1;;1;;;;1
Mood Rotterdam;;;1;;;;1
Moovs Academy B.V. h.o.d.n. Publiek Domein Academy;;;;;1;;1
Motel One Brussels;;;;;;1;1
Mpowering Potential;;;;;1;;1
Munckhof Business Travel Venlo B.V.;;;;;;1;1
Munckhof Regie;;;;;;1;1
Munckhof Reizen B.V.;;;1;;;1;1
Munckhof Reizen BV;1;;;;;;1
Museum Boerhaave;;;1;;;;1
Museum Catering Den Haag B.V.;;;2;;;;2
Museumkwartier B.V.;;;1;;;;1
Museumkwartier BV - Rechtbank;;;;;1;;1
MVMZ (Maatschap voor Medezeggenschap);1;;;;2;;2
N.V. Koninklijke Porceleyne Fles;;;1;;;;1
N.V. Luchthaven Schiphol;;;2;;;;2
Naast de Molen B.V.;;;1;;;;1
Nationaal Huidfonds;;1;;;;;1
Nationaal PAO-Centrum Farmacie;;;;;1;;1
Nationale Dierenapotheek B.V.;;;;;1;;1
NBD Biblion Services B.V.;;;;;1;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;1;;1
NCVGZ;;;;;1;;1
Nederl. Ver. voor Bachel. Medisch Hulpverlen.;;;;;1;;1
Nederl. Ver. voor Medische Microbiologie;;;;1;1;;1
Nederl. Ver. voor Technische Geneeskunde;;;;;1;;1
Nederlands Huisartsen Genootschap;;2;;;1;;2
Nederlands Instituut van Psychologen;;;;;1;;1
Nederlands Instituut voor Biologie;;;;1;2;;2
NEDERLANDSE ACADEMIE VAN VOEDINGSWETENSCHAPPEN;;;;;1;;1
Nederlandse Ass. van Physician Assistants;;;;;1;;1
Nederlandse Hartstichting;;;;;1;;1
Nederlandse School voor Openbaar Bestuur B.V.;;;;;3;;3
Nederlandse Sociologische Vereniging;;;1;;;;1
Nederlandse Stichting Geluidshinder;;;;;1;;1
Nederlandse Vereniging van MondhygiÃƒÂ«nisten;;;;;1;;1
Nederlandse Vereniging voor Inkoopmanagement;;;;;1;;1
Nederlandse Vereniging voor Psychotherapie;;;;;1;;1
Nederlandse Vereniging voor Toxicologie;;;1;;1;;1
Nederlandse Vereniging voor Urologie;;1;;;;;1
Nederlandse Vereniging voor Veiligheidskunde;;;;;1;;1
NEDFAC B.V.;;;;;1;;1
NedFac B.V. (NCOI / PRAEHEP en Computrain);;;;;2;;2
Negometrix B.V.;;;;;1;;1
NERIS;;;;;1;;1
Neth-ER;;;;;;1;1
NEVERREST;;;1;;;;1
NewConic B.V.;;7;;;;;7
NHG Uitgeverij B.V.;;;;;1;;1
Nielsen Norman Group;;;;;1;;1
Nieuw Engelhard B.V.;;;1;;;;1
Nieuwe Luxor Theater;;;1;;;;1
Nimeto Utrecht;;;1;;;;1
NIVEL Nat. Instituut voor Beleidsonderz.;;3;;;;;3
NOC*NSF;;2;;;;;2
NOOM;;1;;;;;1
Northwave BV;;;;;1;;1
Novius Adv.groep v. Inf. & Organisatie B.V.;;;;;1;;1
NRC Media;;;;;1;;1
NS Reizigers B.V.;;;;;;4;4
NS Stat. Ret.bdr. B.V./Kiosk hal (Amersfoort);;;1;;;;1
NS Vastgoed B.V. t.h.o.d.n. Q-Park;;;;;;1;1
NSCU;;;;;1;;1
Nsob;;;1;;;;1
NSPOH;;;;;1;;1
Numa Digital Consulting B.V.;;;;2;;;2
Nu-Swift Brandbeveiliging B.V.;;;1;;;;1
NVMM;;;;;1;;1
Nyenrode Services B.V.;;;;;1;;1
Nysingh Advocaten-Notarissen N.V.;;4;;1;1;;4
Oberon B.V.;;2;;;;;2
OCLC B.V.;;;;;1;;1
Office Athletes B.V.;;1;;;;;1
OKTOBER in huis;;;1;;;;1
OnlyHuman Groep B.V.;;;;;1;;1
Open Ateliers B.V.;;;;;1;;1
Original Tours & Activities Nederland B.V.;;;1;;;;1
OSR Juridische Opleidingen B.V.;;;;;1;;1
Osther Consultancy & Coaching;;;;;1;;1
Ottenhome B.V.;;;1;;;;1
Oudaen B.V.;1;;1;;;;2
Overdagvoorzitter;;;;;1;;1
P&S Entertainment;;;1;;;;1
P1 Parking Hooghuis B.V.;;;;;;1;1
Paapstvandam B.V.;;;;;2;;2
Pakhuis Leiden B.V.;;;1;;;;1
Papieren Tijger;;;;;1;;1
PAPIEREN TYGER;;;;;1;;1
Pardon Consult;;;;1;;;1
ParSolo;;;;;1;;1
Parthen Group B.V.;;;;;1;;1
Pauwer Consult;;;;;1;;1
PBLQ B.V.;;2;;;2;;3
PDA EUROPE GGMBH;;;;;1;;1
PDS Interseco BV (ook Nunspeet);;;;;1;;1
PDS Professional Driving Solutions B.V.;;;;;1;;1
PEOPLE Unlimited B.V.;;;;;1;;1
Percuris B.V.;;;;1;;;1
Perfectview;;;;;1;;1
Perot Horeca B.V.;;;1;;;;1
Perspectief-Zoetermeer;;;;;1;;1
Pesto;1;;;;;;1
PGGM N.V.;;;;;1;;1
Phaos Advies B.V.;;;;1;2;;2
Pharmaceut. Consultancy Services (PCS) B.V.;;;;;1;;1
Pharmaceutical Consult Service;;;;;1;;1
Pharmatech Training B.V.;;;;;2;;2
Phoenix Opleidingen;;;;;1;;1
Phonsawan B.V.;;;1;;;;1
Phonsawan Thai Restaurant;;;1;;;;1
Pii B.V.;;;;;1;;1
Pizzeria Pinocchio;;;1;;;;1
Pizzeria SA Capanna;1;;;;;;1
PK Bar & Kitchen SR-Horeca bv;;;2;;;;2
Plan B Voor de verandering B.V.;;;;;1;;1
Plastic Circle B.V.;;;1;;;;1
Plata Foundation B.V.;;;;;1;;1
PLAYgrounds Educational Program Spelenderwijs;;1;;;;;1
Plein 9 A B.V.;;;2;;;;2
Plein 9 Den Haag Horeca B.V.;;;1;;;;1
Poort naar Geluk;;;;;1;;1
Pop-up Fun B.V.;;;1;;;;1
POSG B.V.;;;;4;;;4
POSG Professionals B.V;;3;;;;;3
Positief Gezond;;1;;;;;1
Praction;;;;;1;;1
Pragmavision B.V.;;;;;1;;1
Prakt. voor psychotherapie Arnoud van Buuren;;;;;1;;1
Praktijk Fertiliteit Van Santbrink B.V.;;;;;;1;1
Praktijk J.F.M. Overdevest;;;;;1;;1
PRCL;;1;;;;;1
Pré Consultants B.V.;;;;;1;;1
Proeflokaal De Bekeerde Suster B.V.;;;1;;;;1
Professional Conference Organiser h.o.d.n. Leids Congres Bureau B.V.;;;;;1;;1
ProMedia Events & Conferences B.V.;;;;;1;;1
Prometheus Healthcare B.V.;;;;;1;;1
promo2000;;;2;;;;2
Promopodium B.V.;;;1;;;;1
Protinus IT B.V.;;1;;;2;;2
Protocolbureau;;;;;2;;2
Psychologiepraktijk Landa Endlich;;;;1;;;1
Psyon B.V.;;1;;;;;1
Publicis;;;;;;1;1
PubliContact B.V.;;;;;2;;2
Publique h.o.d.n. Publique Horeca V.O.F.;;;1;;;;1
Purple Monkey;;;;;1;;1
Puur Amsterdam;;;2;;;;2
Puur Events;1;;;;;;1
Puur Invest Beleggingen B.V.;;;1;;;;1
Puur Werk Uitzendbureau B.V.;;;1;;;;1
Q Delft B.V.;;1;;;;;1
Q&A Company;;;;;2;;2
Qidos B.V.;;;;;1;;1
QlikTech Netherlands B.V.;;;;;1;;1
Q-Park Beheer B.V.;;;;;;1;1
Q-Park Operations Netherlands B.V.;;;;;;1;1
Quasir Academy B.V.;;;;;1;;1
Quint;;;;;2;;2
Quint Wellington Redwood Nederland B.V.;;;;;1;;1
Radiologie Albert Schweitzer Ziekenhuis B.V.;;2;;;;;2
Rae Benelux B.V.;;;;;1;;1
Raymond Kuster arbeidsdeskundig advies en loopb.;;;;;1;;1
Real-life Xcape;;;1;;;;1
Rebelz op de Binckhorst B.V.;;;1;;;;1
Recreatie & Entertainment NL 5 B.V.;;;1;;;;1
Rederij Schuttevaer V.O.F.;;;1;;;;1
Redpoint Company;;;;;1;;1
Regina Coeli Language Courses B.V.;;;;;1;;1
Regio. Opleidingen Centrum Midden Nederland;;;;;1;;1
Regionaal Opleidingen Centrum Albeda College;;;;;1;;1
Reijnders Advies & Ontwikkeling B.V.;;;;;1;;1
Reinders & Van Soest Mobiliteit B.V.;;;;1;;;1
Remyx;;2;;;;;2
Renato's Osteria B.V.;;;1;;;;1
Renée Broekmeulen Tekst & Training;;;;;1;;1
Renew M&B Holding bv;;;;;1;;1
Rescop International B.V.;;2;;;;;2
Restaurant & Brasserie Luden (Plein 9A);;;1;;;;1
Restaurant & Catering Mennega;;;1;;;;1
Restaurant De Basiliek B.V.;;;1;;;;1
Restaurant- en Cateringbedrijf Brunel;;;1;;;;1
Restaurant Giuliano;;;1;;;;1
Restaurant Meneer Buscourr;;;1;;;;1
Restaurant Mirazu;;;1;;;;1
RESTAURANT OKER;;;1;;;;1
Restaurant Papermoon;;;1;;;;1
Restaurant Reynaert V.O.F.;;;1;;;;1
Restaurant Ruig;;;1;;;;1
Restaurant Samen B.V.;;;1;;;;1
Restaurant Settlers;;;1;;;;1
Restaurant Strandpaviljoen 'De Uitkijk';;;1;;;;1
Restaurant Villa La Ruche;;;1;;;;1
Restaurant Wilhelminapark B.V.;;;1;;;;1
Restaurant Wox;;;1;;;;1
Result ADR B.V.;;;;;1;;1
Ret-training;;;;;1;;1
Re-Z. Monumenten B.V.;;;1;;;;1
Ristorante Pizzeria Lanterna;;;1;;;;1
Ristorante Trattoria Impero Romano;;;1;;;;1
Roast Bar & Grill;;;1;;;;1
Rob Andeweg Produkties;;;1;;;;1
Rokery by Simonis B.V.;;;1;;;;1
Rondvaart Leiden & Groepuitjes Leiden;;;1;;;;1
Ropini B.V.;;;1;;;;1
Rosco Catering / Party-Service;;;1;;;;1
Rovekamp interim-management en advies;;;;;1;;1
Rris;;1;;;;;1
RTG Sales Oy;;;;;;1;1
Safari Club;;;1;;;;1
Sage Strategie & Management;;;;;;1;1
Sancy Tres B.V.;;;2;;;;2
Sandwich Expresse V.O.F.;;;1;;;;1
Sardes B.V.;;1;;;;;1
SayKnowMore;;;1;;;;1
Scem Conference Services;;;;;1;;1
Schateiland Training B.V.;;;;;1;;1
Scheidegger Opleidingen B.V.;;;;;1;;1
Scheltema Leiden, theat.café/theat.rest. B.V.;;;1;;;;1
Schiphol Nederland B.V.;;;;;;1;1
Schoevers Bedrijfsopleidingen BV;;;;;2;;2
Schoevers Trainingen B.V.;;;;;2;;2
SchoolvoorCoaching B.V.;;;;;1;;1
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;1;;1
Schuttelaar Delicatessen Wijnen;;;1;;;;1
ScienceWorks B.V.;;;;;1;;1
Scil For Your Skills;;;;;1;;1
Sdu Uitgevers B.V.;;;;1;1;;1
SeaDreams Speakers Agency B.V.;;;;;1;;1
Secretary Management Institute;;;;;1;;1
Secretary Plus Man. Support BV;;;;2;;;2
Shabu Shabu 's Gravenhage B.V.;;;1;;;;1
Shared Business B.V.;;;;;2;;2
Shuttel B.V.;;;;;;8;8
SineFuma B.V.;;;;;1;;1
Sioo B.V.;;;;;1;;1
SIR Holding B.V.;;;;;2;;2
SIR Instit. for Pharmacy Practice & Policy;;;;;1;;1
SKA;;1;;;;;1
Skils B.V.;;1;;;1;;1
Sloephurenutrecht.nl B.V.;;;1;;;;1
SNPG;;3;;;;;3
SNR Schouten & Nelissen Recovery B.V.;;;;;2;;2
Sociale Academie Utrecht;;;;;1;;1
Sociale Impact;;;;;1;;1
Sodexo B.V.;;;1;;;;1
Sodexo Nederland B.V.;;;1;;;;1
Sofieke Jansen Evaluatieonderzoek;;1;;;;;1
Software Acumen Limited;;;;;1;;1
SOIA B.V.;;;1;;;;1
SolBeach B.V.;;;1;;;;1
Speech Republic B.V.;;;;;2;;2
Speechless;;;;;1;;1
Spellenlabs B.V.;;;1;;;;1
SPITZ congres & event B.V.;;;;;1;;1
SpiZe B.V.;;;1;;;;1
Sporttainment Center de Uithof BV;;;1;;;;1
Sprengers Advocaten;1;;;;;;1
Springer Media B.V.;;;;1;;;1
Springh;;1;;;;;1
SRM;;;1;;;;1
SRM Communicatie B.V.;;;;;1;;1
St. Het Ned. Kanker Inst.-AvLeeuwenhoek Zknhs;;;;;1;;1
St. Milieucongressen;;;;;1;;1
St. Nationaal Comite 4 en 5 Mei;;;;;;1;1
Staatvandienst B.V.;;;;2;;;2
Stadsvilla Sonsbeek B.V.;;;1;;;;1
Staples Nederland B.V.;;;;;1;;1
Star Lodge Hotels B.V.;;;;;;1;1
Stavoor B.V.;;;;;1;;1
Stayokay 'Bunnik';;;1;;;;1
Stayokay 'Dordrecht';;;;;;1;1
Steenbrink Training & Coaching;;;;;1;;1
Steenstraat B.V.;;;2;;1;;2
SternPoint;;;;;;1;1
Steunstichting ESOT;;;;;1;;1
Stg. Atlantic and Pacific Exchange Program;;;;;1;;1
Stg. Belangen van de Laurentius Groep De Bilt;;;1;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;;;1;;1
Stg. Eup. Centre for Monitoring Alcohol Mark.;;;;;1;;1
Stg. HBO Haaglanden;;;1;;;;1
Stg. Kon. Visio, exp.centr. slechtz./slechth.;;1;;;;;1
Stg. Nat. Museum van Speelklok tot Pierement;;;1;;;;1
Stg. Nederlands Instituut voor Beeld & Geluid;;;1;;;;1
Stg. PostAcademisch Onderw. Techniek en Man.;;;;;1;;1
Stg. Regiobibl. Lek & IJssel, vest. IJsselst.;1;;;;;;1
Stg. Trimbos-Inst., Inst. Ment. Health & Add.;;;;;2;;2
Sticht. behoud en expl. van Fort aan de Klop;;;1;;;;1
Sticht. Event Management Landgoed Vollenhoven;;;1;;;;1
Sticht. Int. Foundation for Integrated Care;;;;;1;;1
Sticht. ISSTDR Conference Support Foundation;;1;;;;;1
Sticht. Nederl. Liter.mus. en Literatuurarch.;;;1;;;;1
Sticht. Netwerk EthiekOndersteuning Nederland;;;;;1;;1
Stichting (Ont)Regel de zorg;;;;;1;;1
Stichting Arbeidsmarkt Ziekenhuizen;;;;;1;;1
Stichting ARQ Centrum'45;;1;;;;;1
Stichting Bartimeus Sonneheerdt;;;;1;;;1
Stichting Boogh;;;;1;;;1
Stichting Buurtlab;;1;;;;;1
Stichting CAOP;;;;;1;;1
Stichting Cohezy;;;;;1;;1
Stichting Collegium Chirurgicum Neerlandicum;;;;;1;;1
Stichting De Ooievaart;;;1;;;;1
Stichting De Schrijverscentrale;;;1;;;;1
Stichting derdengelden Congress by design;;;;;1;;1
Stichting Educatie Zorg & Welzijn;;;;;1;;1
Stichting EPH Conference;;;;;1;;1
Stichting financieel forensisch instituut;;;;;1;;1
Stichting Fonds Instituut Clingendael;;;;;1;;1
Stichting Garrison Institute International;;;;;1;;1
Stichting Guus Schrijvers Academie;;;;;1;;1
Stichting Gynaecongres;;;;;1;;1
Stichting Haags Theaterhuis;;;;;1;;1
Stichting HandicapNederland;;;1;;;;1
Stichting Hogeschool Leiden;;;;;1;;1
Stichting Horeca Onderwijs;;;;;1;;1
Stichting Huiskamer van Schuytgraaf;;;1;;;;1
Stichting Initiatiefgroep Hl7 Nederland;;;;;1;;1
Stichting Instock;;;1;;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;1;;;;1
Stichting Ipse de Bruggen;;;1;;;;1
Stichting JOGG;;1;;;;;1
Stichting Kenniscentrum Phrenos;;;;;1;;1
Stichting Kenniscentrum Sport Nederland;;3;;;1;;3
Stichting Kikid;;1;;;;;1
Stichting Klimmendaal;;1;;;;;1
Stichting Kontakt der Kontinenten;;;1;;;;1
Stichting Kraaybeekerhof;;;;;1;;1
Stichting Kwaliteitsregister Tandartsen;;;;;1;;1
Stichting Leiden Bio Science Park Foundation;;;;;2;;2
Stichting Locus;;;;1;;;1
Stichting Museum De Voorde;;;1;;;;1
Stichting Nationaal ICT Instituut in de Zorg;;;;;1;;1
Stichting Nationaal Pao-Centrum Farmacie;;;;;1;;1
Stichting Nederlands Auschwitz Comite;;;;;;1;1
Stichting Nederlands Congres Volksgezondheid;;;;;1;;1
Stichting OnderwijsAdvies;;1;;;;;1
Stichting Oscars;;;1;;;1;1
Stichting Parthen R&S Derdengelden;;;;;1;;1
Stichting Pluryn Groep;;1;;;;;1
Stichting Prisma;;;;;1;;1
Stichting Prokkel;;;;;1;;1
Stichting Registratie Neurologie;;;;;2;;2
Stichting Rotterdam eHealth Agenda;;;;;1;;1
Stichting Rutgers;;2;;;;;2
Stichting Saxion;;;;;1;;1
Stichting Sekondant;;;1;;;;1
Stichting Serology Education;;;;;1;;1
Stichting SIoo;;;;;1;;1
Stichting Sioo Interuniversitair Centrum voor Organisatie- en Veranderkunde;;;;;1;;1
Stichting Special Arts Nederland;;;1;;;;1
Stichting Springtij Festival Terschelling;;;;;1;;1
stichting Stadsschouwburg Utrecht;;;1;;;;1
Stichting Studeren op Maat/Werken op Maat;;;;;1;;1
Stichting Sympopna;;;;;1;;1
Stichting The Hague Humanity Hub;;;1;;;;1
Stichting Toeristisch Fonds;;;1;;;;1
Stichting Trainingen Infectie Preventie;;;;;1;;1
Stichting Utrechtse Klokkenspel-Vereniging;;;1;;;;1
Stichting Vaccinology Masterclass;;;;;1;;1
Stichting VeiligheidNL;;2;;;;;2
Stichting Veko;;;1;;;;1
Stichting VielGoed;;;1;;;;1
Stichting Vilans;;;;;;1;1
Stichting Vogin;;;;;1;;1
Stichting Voorlinden;;;1;;;;1
Stichting W.J.H. Mulier Inst., Sportonderzoek;;2;;;;;2
Stichting Werken op Maat;;;;2;;;2
Stichting WIJ 3.0;;;1;;;;1
Stichting Zebra;;;1;;;;1
Stockholm International Water Institute;;;;;1;;1
Stories at Work;;;;;1;;1
Strand Zuid;;;1;;;;1
Strandtent Doris B.V.;;;1;;;;1
Street-Wear Jeans & Casuals;;;1;;;;1
Studiecentrum voor Bedrijf en Overheid;;;;;1;;1
Studio Bavinck;;;;;1;;1
Studio Immens;;;;;1;;1
Studio Rocco Verdult;;1;;;;;1
Sturingsadvies;;;;;1;;1
Subito;;;;;1;;1
Sumo Den Haag 2 Sushi en Grill restaurant;;;1;;;;1
Sumo Den Haag II B.V.;;;1;;;;1
Superp Securitec B.V.;;;;;1;;1
Suzanne van der Wees;;;;1;;;1
Swaving;;;1;;;;1
Sweco Nederland B.V.;;;;;1;;1
Swissmedic;;;;;1;;1
t Goude Hooft Exploitatie B.V.;;;1;;;1;1
t Oude Tolhuys B.V.;;;1;;;;1
t Zusje Utrecht B.V.;;;1;;;;1
Taalservice Reëel;;;;;1;;1
Taarten.nl B.V.;;;1;;;;1
taiji@work;;;;;1;;1
Tapisco Kneuterdijk 11 B.V.;;;1;;;;1
Tas Trainingen, Advies & Onderzoek;;;;;1;;1
Taxi 'Bunnik';;;;;;1;1
Taxibedrijf Van der Wijst;;;;;;3;3
TB Events;1;;;;;;1
Te Werve B.V.;;;2;;;;2
Team Sportservice provincie Utrecht;;1;;;;;1
Teamspeling;;;;;1;;1
Teamwork;;;;;1;;1
TeekensKarstens Advocaten B.V.;;1;;;;;1
Tekstfirma;;;;;1;;1
Tele'Train Education II B.V.;;;;;4;;4
Ten Events;;;1;;;;1
Teylers Museum;;;1;;;;1
The Associate, Coaching & Consultancy;;;;1;1;;1
The British School in The Netherlands;;;;;1;;1
The Colour Kitchen Utrecht B.V.;;;1;;;;1
The Courseware Company B.V.;;;;;1;;1
The Information Lab Netherlands B.V.;;;;;1;;1
The Internet Academy;;;;;1;;1
The Proud Company B.V.;;1;;;;;1
Theatersport Den Haag;;;;;1;;1
Thedge B.V.;;1;;;;;1
TheStoryConnection B.V.;;;;;1;;1
Tintelingen B.V.;1;;6;;1;;6
TNO B.V.;;6;;;;;6
Today Designers B.V.;;1;;;;;1
Ton Persoon;;;;;1;;1
Tonco Modderman Training & Advies;;;;;2;;2
Tony's Factory B.V.;;;1;;;;1
Top Team Advies B.V.;;;;;1;;1
Topgeschenken Nederland B.V.;;;2;;;;2
Topgiving B.V.;;;1;;;;1
TOP-uitje.nl;;;1;;;;1
Tornak Groep B.V.;;;;;1;;1
Totziens Promotions;;;1;;;;1
TrainEd B.V.;;;;;1;;1
Training4U;;;1;;;;1
TrainTool B.V.;;2;;;;;2
TRConsult B.V.;;;;1;;;1
Trimbos Instituut;;3;;;;;3
Trimbos Mobile Virtual Reality Solutions B.V.;;;;;1;;1
Triple E Publications;;;;1;;;1
Triple Talent B.V.;;;;;2;;2
Tweewielerservice Jean-Paul Odijk;1;;;;;;1
Two Kings B.V.;;;1;;;;1
Twynstra Gudde Water B.V.;;;;;1;;1
Tyrilo B.V.;;;1;;;;1
UAB DDB Vilnius;;;;;;1;1
Udenaes Consulting;;;;;1;;1
UEG GmbH;;;;;1;;1
Uitjes in Holland;;;1;;;;1
Uitjesbazen B.V.;;;1;;;;1
Umami Restaurant B.V.;;;1;;;;1
UnaVolta;;;1;;;;1
Unic Medical Services B.V.;;1;;;;;1
UniversitÃ¤t Hamburg Marketing GmbH;;;;;1;;1
University of Washington;;;;;1;;1
Unlimited People B.V.;;1;;;;;1
USG Restart B.V.;;;;1;;;1
Utrecht Business School;;;;;1;;1
Utrecht Summer School;;;;;1;;1
Utrechts Centrum voor Mediation;;;;1;;;1
V&VN;;;;;1;;1
V.O.C. Cafe;;;1;;;;1
V.O.F. Uitvoeringsorg. Beroepsopl. Advocaten;;;;;2;;2
Vadenco B.V.;;;1;;;;1
Vakmedianet Food & Horeca B.V.;;;;;1;;1
Vakmedianet Management B.V.;;;;;1;;1
Van Ameyde Waarderingen B.V.;;1;;;;;1
VAN Bien B.V.;;;1;;;;1
Van de Bunt, Advis. v. Org. en Beleid B.V.;;;;;1;;1
Van der Hilst Communicatie B.V.;;;;;1;;1
Van der Valk Utrecht;;;1;;;;1
Van Dijk Techniek B.V.;;;;;;1;1
Van Ede & Partners;;;2;;;;2
Van Ede & Partners Amsterdam B.V.;;;;1;1;;2
Van Haarst B.V.;;;;;1;;1
Van Harte & Lingsma Man. en Organisatie B.V.;;;;;2;;2
Van Melick Culinair B.V.;;;1;;;;1
Van Stockum, Belinfante & Coebergh B.V.;;;1;;;;1
Van Swinden Laboratorium;;3;;;;;3
Van Vlastuin Touringcar B.V.;;;;;;1;1
Vandeputte Medical;;1;;;;;1
V'Business B.V. VITAM;;;1;;;;1
VCA Nederland B.V.;;;;;1;;1
VCK Business Travel;;;;;1;4;4
VCK Travel B.V.;;;;;;7;7
Veiligwijs;;1;;;;;1
Veldhuis Opleidingsadvies;;;;;1;;1
Vereniging Leraren Opleiders Nederland;;;;;1;;1
Vereniging LFB;;;;;1;;1
Vereniging van Milieuprofessionals;;;;;1;;1
Vereniging voor Gezondheidsrecht;;;;;1;;1
Verhuur Scheveningen;;;1;;;;1
Verkeersveiligheid Groep Nederland B.V.;;;;;1;;1
Vermaat Leisure B.V.;;;1;;1;;2
Verpleegkundigen & Verzorgenden Nederland;;;;;1;;1
Vertus B.V.;;;1;;;;1
Vierstroom Zorg Thuis B.V.;;;;;1;;1
Vilans;;2;;;;;2
Vintage B.V.;1;;;;;;1
Vintura B.V.;;;1;;;;1
Visum International B.V.;;;;;;1;1
Visumdienst India;;;;;;1;1
Vita Physics;;;;;1;;1
Vitamine en Zo;;;2;;;;2
Vito;;;;;1;;1
Vlieg;;;1;;;;1
Vnva;;;;;1;;1
VOF Centrum voor Mindfulness;;;;;1;;1
VOF Vuijk H.o.d.n. Anne&Max Den Haag Kerkplein;;;1;;;;1
VOSTOK I B.V.;;;;;1;;1
VRC The Finance Executives;;;;;1;;1
Vroeg B.V.;;;1;;;;1
VSG;;3;;;;;3
