OBJECTID,PUIC,GEOCODE,GEOCODE_NR,NAAM,GELDIG_VANAF,PUBLICATIEDATUM
39,c9c7f405-5d6c-484c-8e93-8f4ed0064ad3,525,525,Amsterdam Singelgracht Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
40,52776094-f408-4d66-b003-804525724036,486,486,Amsterdam Westhaven (gebied),2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
41,0fe02d0c-8164-467a-88a7-a83146564ac8,081,81,Zaandam - Amsterdam Singelgracht Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
42,07c7840a-623d-422a-8bfe-377006f058ab,479,479,Maasvlakte 2,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
43,e1ebeda7-80ea-4024-84ac-fc8b37f627ed,475,475,Rotterdam Maasvlakte,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
44,eb61e8bf-5961-44fd-aa15-57319175e36c,478,478,Rotterdam Europoort 4,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
45,651479ad-9ac2-45dd-b544-74124d7a6fa9,002,2,Leeuwarden - Groningen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
46,2f30a40a-4175-4213-aa7c-aef8f697111c,009,9,Meppel - Leeuwarden,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
47,5fe8126c-31a7-4a52-89a4-3932003e0b3e,210,210,Zutphen - Winterswijk,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
48,3d012104-3c9d-468a-8619-059d8f5023b4,607,607,Winterswijk,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
49,548b1dd1-a454-426a-bfa8-85a53ce66b6e,803,803,Delfzijl Stamlijn Havenschap,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
50,849aebeb-c556-40a5-98bf-31c908101b5f,201,201,Sauwerd - Delfzijl,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
51,73dd3e58-3b14-4e9b-ab1b-233b2ef2a7aa,664,664,Rotterdam Lombardijen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
52,98b20a19-1ea4-45d6-a643-22d598a35679,116,116,Dordrecht - Rotterdam Barendrecht,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
53,da98fd70-67e2-4edc-9282-c0519e74bbdc,663,663,Rotterdam Barendrecht,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
54,9b872bb8-5e8a-4943-83d2-440a45ff30f2,779,779,Emmerich (D) - Zevenaar Grens,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
55,cf2abee9-49a1-4ecc-a60a-89677567056d,547,547,Lunetten Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
56,d081f4fa-6902-4cdb-9195-e34dd1d74f5b,035,35,Lunetten - De Haar Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
57,43ec01a0-a55c-4419-98e7-b3993de07535,117,117,Lunetten - Geldermalsen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
58,930c6966-e1f5-46c0-a103-2937126acd66,531,531,Utrecht Centraal,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
59,b0cb6c2c-32e1-4c9e-aa6c-7e1af1153ae3,537,537,Moordrecht Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
60,ab77c970-41be-48bb-b8d9-42751c1ce3d1,105,105,Woerden - Gouda,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
61,a8b4da9b-805d-4994-a95c-eeb4747e23d9,134,134,Gouda - Moordrecht Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
62,59859068-0869-4bbe-bb4c-41d1b657a4f8,624,624,Gouda,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
63,01cd5f49-c6a2-46fd-bb9b-042f892a4067,106,106,Gouda - Moordrecht Aansl. Noord,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
64,d0cdb08a-8c0b-4d7d-8f4b-feac2fce5a82,112,112,Den Haag HS - Schiedam Centrum,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
65,d3652ae1-d086-422e-8436-93128fbfbcf1,115,115,Schiedam Centrum - Vlaardingen Vulcaanhaven,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
66,ab3e8ac4-9177-4fad-8989-4a79bbeba860,539,539,Schiedam Centrum,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
67,ce38d2a7-13c5-4a15-aa72-2b51ec7fdf57,901,901,Haarlem Hoofdwerkplaats,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
68,dad7e574-b465-4302-a1a0-23f3e23c6341,065,65,Heerlen - Landgraaf,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
69,84d53025-01d4-4217-885b-b16d78baaa91,006,6,Groningen - Sauwerd,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
70,d9a09985-7c4e-42d0-9705-ef22d4be3231,509,509,Baarn,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
71,8896c4ab-eaee-4810-bb7a-5a271375e13d,097,97,Nieuwersluis=Loenen - Breukelen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
72,a217161d-6980-4e02-959a-a80350018d74,213,213,Boxtel - Uden,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
73,798f226d-97cd-45ee-8819-9e04c4c491d8,079,79,Zaandam - Hoorn,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
74,99456346-cd6d-4516-8c0c-7bf602f30d6e,107,107,Moordrecht Aansl. - Den Haag Binckhorst,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
75,150afadc-74c5-4701-bd09-deb35c55ca5a,036,36,Ede=Wageningen - Arnhem,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
76,1478017a-3998-4556-ac5d-25025efc4465,790,790,Gent (B) - Zelzate (B),2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
77,d504d6ec-c93d-4d89-8014-72de85176c12,514,514,Nijmegen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
78,7a5b24b9-1be3-417c-bb26-78aa6b3037cf,802,802,Utrecht Industrieterrein Lage Weide,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
79,cc989d9c-9c19-4e11-bf66-86b9796f7a80,071,71,Eijsden - Maastricht,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
80,8be0ea70-0715-4c82-a1da-5c67d36fb603,521,521,Schin op Geul,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
81,174f9693-77c4-4bc3-ad70-530ea36e32a9,831,831,Oss Racc. Elzenburg,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
82,a0258757-8c25-4e40-9915-97a04d6b24ab,109,109,Rhenen - De Haar Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
83,bfaab188-c885-4032-9ecc-3dc0a2676abc,858,858,Arnhem Gem. Stamlijn,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
84,5b808bba-649b-44d9-9be5-25d29343e0fb,927,927,Watergraafsmeer,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
85,fc1cfad2-ffac-4b39-9252-ae81b05d11d5,951,951,Waalhaven Zuid aansl. Noord - Waalhaven Zuid,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
86,f3d7f391-8585-4455-94cf-667829ccb85d,130,130,Axel Aansl. - Terneuzen Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
87,f8fca217-b55e-4bf2-98a2-53266fcbe93f,042,42,Vork - Kesteren,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
88,f7d71e0e-22d0-4796-a092-dc61d9cb16cd,533,533,Woerden,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
89,4204cd4d-3dc7-430e-9e40-e15e090240cc,007,7,Sauwerd - Winsum,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
90,422993aa-652a-42d6-920f-d5b255485304,091,91,Den Dolder - Baarn,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
91,67d79e49-36e7-4c9a-ac63-8038285c5695,125,125,Tilburg - Boxtel,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
92,5bbeaccf-120c-48dc-b0ed-e0b7c6b3320f,003,3,Groningen Losplaats - Waterhuizen Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
93,45834bb6-d96a-45db-b9bc-d4f3e3b41b7f,777,777,Oldenzaal Grens - Bad Bentheim (D),2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
94,882447f1-7448-4df9-b194-96fb5db56610,108,108,De Haar Aansl. - Ede=Wageningen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
95,68a37922-fbed-4f42-8a66-3682d2281820,786,786,Neerpelt (B) - Budel Grens,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
96,71751d6d-4996-4981-a5e6-c6671b5784c2,211,211,Barneveld Noord - Ede=Wageningen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
97,8c5c0653-c9fd-4f04-9013-607bb93b1142,047,47,s Hertogenbosch - Nijmegen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
98,1196eff3-9a0a-4754-925e-f133f8083bd5,817,817,Vlissingen Sloehaven,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
99,c82e50fd-91b8-411e-87a8-492b997e2e71,532,532,Harmelen Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
100,b41ecd09-6133-4c0c-893c-ef4fb81660d9,068,68,Simpelveld Grens - Simpelveld,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
101,4be7d206-bbcb-42d7-8958-14dc35ee57dc,776,776,Laarwald (D) - Coevorden Grens,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
102,80c9a13a-848a-4ddf-a2b3-48d4cc80d73f,819,819,Etten=Leur Gem. Industrieterrein,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
103,5767a0fa-7b85-4e9b-969e-9651affb8182,825,825,Roosendaal Majoppeveld Noord,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
104,0a612133-a839-42d0-8ade-74bfb577ea71,074,74,Heerhugowaard - Alkmaar,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
105,b1c747bb-1a89-4e72-be99-a9eab0f991c4,501,501,Groningen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
106,10785f4a-b6eb-4c30-96f2-5abbec47f00a,540,540,Rotterdam Westelijke Splitsing,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
107,df58f35b-670d-4f7e-895f-831c1de03257,131,131,Sas van Gent Grens - Terneuzen Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
108,4e53155d-efc6-42cf-8cee-ad02fba5f229,090,90,Den Dolder - Amersfoort,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
109,789a593a-f891-4bef-a450-15f4bdaf9034,146,146,Warmond - Leiden Centraal,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
110,8f64e2d9-a019-4b2d-a9cc-1c0989c16787,124,124,Tilburg - Vught Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
111,a438513f-64ec-425b-a5ec-87438bab5e6c,102,102,Woerden - Alphen a/d Rijn,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
112,9111ac06-5e34-4614-91a0-f02f951b49b3,556,556,Santpoort Noord,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
113,ca8324eb-0c53-447a-b464-8697cefae1c4,015,15,Zwolle - Kampen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
114,48ce19c6-d0bb-4359-abaa-3cb7acf8523d,012,12,Meppel - Assen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
115,b6bc4f6e-44c3-45c5-9302-a645a5329500,166,166,Rotterdam Westelijke Splitsing - Nieuw Vennep,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
116,404787d7-30d1-4b44-af43-ea566a559bd9,400,400,Emmen - Weerdinge,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
117,6a4df4ba-df83-45c6-ad2e-9fc4e77c5dc1,161,161,Lelystad Industrieterrein - Hattemerbroek,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
118,5314f1e6-73b9-49ef-95f8-943cf96f298d,527,527,Haarlem,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
119,56cbcb1b-4f28-4585-87e4-3f82b16b895e,040,40,Leusden - Amersfoort,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
120,d2643126-49f1-4358-a4d4-a9acf1f69cf9,506,506,Amersfoort,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
121,c543f0cb-9c9b-4902-b783-670e0dbd5b4a,094,94,Utrecht Centraal - Blauwkapel,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
122,9684577b-6fcd-4a41-96fd-2b59f9a2331b,781,781,Aachen (D) - Herzogenrath (D),2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
123,f302e2da-037e-47be-b7ed-64ebeb9292b5,474,474,Rotterdam Europoort 1,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
124,e9844e4d-12d1-41b5-8ff8-f7f0f99f1ada,512,512,Ressen = Bemmel,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
125,a4caf294-bfb6-4e82-b4bb-568439ec1ad3,780,780,Venlo Grens - Keulen (D),2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
126,80d750fc-f955-4e53-97fa-35574648b21c,528,528,Hilversum,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
127,488a7941-6345-4954-894f-12d2c608cfeb,546,546,Blauwkapel,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
128,55a3e163-10c2-4286-aee9-ea3e53bbbebb,080,80,Amsterdam Bijlmer - Nieuwersluis=Loenen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
129,2771b8bd-5058-43fe-bed5-0a42d5eeb0f6,155,155,Meteren Aansl. - Ressen = Bemmel,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
130,0100c611-bad6-4268-adfe-c8d896180f2c,073,73,Den Helder - Heerhugowaard,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
131,9a591a44-f0c3-4bc5-960d-65528f957a42,924,924,Kijfhoek,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
132,787f2b8d-bcf7-41eb-bb64-31f6243f8515,600,600,Sauwerd,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
133,8a545ed7-97f2-42c9-b2f1-cb1855e53b83,666,666,Meteren Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
134,cee10d2c-a428-48a5-a740-a6aa20c978cd,490,490,Amsterdam Houtrakpolder (gebied),2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
135,0390ce06-de62-4812-9cb3-6e0b1cd4db02,088,88,Hilversum - Baarn,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
136,8ff7b8d8-af02-4dbc-ac76-4972e49c8c73,010,10,Haren - Groningen Losplaats,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
137,984e8e35-626b-411c-8997-669d672d670c,782,782,Herzogenrath (D),2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
138,47d3e1fd-e3ec-40fe-8c29-24c4b0f7cd8f,550,550,Leeuwarden,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
139,dcdb7141-adb3-4673-b95f-083d29778834,164,164,Prinsenbeek - Hazeldonk Grens,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
140,0ac2b8b1-630d-49cf-a50a-4614dc1fdde6,095,95,Hilversum - Blauwkapel,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
141,be0a88f7-c43c-426a-9811-b77fe4bb8af4,610,610,Dieren,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
142,66d218e5-b138-45d9-b06f-fad1482ca66e,850,850,Roosendaal Borchwerf,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
143,affd89bf-9131-4482-8e99-4aebd29addd7,617,617,Boxtel,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
144,46261c46-5a73-4d77-baa1-eea88201e8e1,823,823,Oosterhout Weststad,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
145,95a5d771-5c0c-4751-96bf-724a8ce0bb86,862,862,Budel Zinkfabriek,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
146,8b90d2e5-3757-453f-90ee-67413decef2a,844,844,Emmen Emmtec,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
147,efe2faae-e957-465a-877d-9e0af0fd0b5f,618,618,Eindhoven,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
148,24b59caa-ddd7-42fa-8b24-bca2401cad87,127,127,Roosendaal - Vlissingen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
149,63213d4d-8e18-462f-a374-7efb40445e34,437,437,Arnhem Goederenstation - Velperbroek Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
150,9c34f0df-40bb-47ff-8bd8-5c17dc447763,217,217,Hoorn - Enkhuizen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
151,0f89b512-955d-4f89-9bf4-5e25e358340c,511,511,Vork,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
152,51da9aed-af26-4f66-b9c4-419f58bc368a,585,585,Diemen Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
153,b77ce69b-3565-46fd-b37c-61413d060420,103,103,Alphen a/d Rijn - Leiden Centraal,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
154,449490f1-3880-41ce-bb80-da0a604eb84e,119,119,Lage Zwaluwe - Dordrecht,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
155,9d889760-760a-4c2e-932d-cf21b8d32285,060,60,Roermond - Venlo,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
156,8a84d230-708a-44d7-b4c1-8add188af3e7,588,588,Amsterdam Dijksgracht,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
157,c586a2b6-d9e2-4643-a0ea-0a2b8bc4b179,667,667,Prinsenbeek,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
158,c9ebe128-37ac-49b5-8fe9-563791e7282e,519,519,Roermond,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
159,420d3452-b406-4727-9950-c289ea7e8129,938,938,CUP Valburg,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
160,c9fb4e59-d80a-4273-9eaa-f889ce569d98,022,22,Haren - Waterhuizen Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
161,b73b05a9-b618-4676-a7b4-7b4fbaa4f746,818,818,Terneuzen Dow Chemical,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
162,52a32775-717c-4c52-86d4-d70427ed8744,101,101,Harmelen Aansl. - Woerden,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
163,2009fdf8-d03a-4cac-b0f0-62b0ff46124e,004,4,Waterhuizen Aansl. - Zuidbroek,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
164,aefab24a-728e-4d14-bcfd-913f29a4fcfa,940,940,Amersfoort Bokkeduinen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
165,bbe86350-f934-4abf-a81b-9e4660fae0fc,529,529,Breukelen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
166,b17285f3-6f60-44dc-8946-e1e8ea95a4ce,839,839,Tilburg de Loven,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
167,1beccec3-4850-43b3-b8eb-d486d0456c5f,165,165,Kijfhoek - Moerdijkbrug,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
168,995fd4a3-4b6e-4f5a-8763-1fd2eb069b8b,028,28,Hengelo - Enschede Grens,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
169,7642000d-7ff9-4e72-a524-4a27c0f7eb1d,067,67,Heerlen - Schin op Geul,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
170,fc1fd41b-51f1-451e-a539-b63b4589a388,565,565,Leidschenveen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
171,bc8e3bd3-11db-4499-a907-88108962991b,789,789,Zelzate (B) - Sas van Gent Grens,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
172,3ffd3251-b7f2-44f7-8772-28647da4f4be,433,433,Sittard - Born,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
173,a1302e2b-0bdf-4271-918f-ce21391129f5,043,43,Kesteren - Geldermalsen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
174,a0912c54-5edb-40ca-9082-bd8f02a9b5d1,050,50,Amsterdam Muiderpoort - Diemen,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
175,e717b07d-aa0a-4439-911c-ace6a55926ee,133,133,Amsterdam Riekerpolder - Warmond,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
176,b56ab6cc-bb34-4556-a2a3-645bf4e13689,120,120,Lage Zwaluwe - Roosendaal,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
177,53e79403-95be-4016-92d2-fb08bc9c59c5,557,557,Terneuzen Aansl.,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
178,14e62477-6fe9-48eb-86dc-58d5f04db3b2,543,543,Hengelo,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
179,717d01b4-1fdd-4cc7-997d-e5bc733e3143,608,608,Apeldoorn,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
180,72b0d3fa-3a3e-47fd-840d-c59bda82bde4,226,226,Gouda - Alphen a/d Rijn,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
181,cee73a96-427b-4000-b651-fff0c191729f,810,810,Dordrecht Industrieterrein Aansl. De Staart,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00
