FID,soort_water,codebpn,disk_beh_obj_code,districtnaam,objectnaam,objecttype,beheersregime,contract,opmerking,info1,info2,info3,info4,info5,stichtingsjaar,muteerder,mutatie,geobron,hoofdwatersysteem,watersysteemnaam,watersysteemdeel,subcat,zijde,km,element,beheerder,eigenaar,onderhouder,gisobjid,nen_systeemdeel,nen_beheerobject,nen_element,nen_bouwdeel,nen_datum_vervallen,se_anno_cad_data,gdb_geomattr_data,shape
water_punten.11,71,"RL2.QX.R.922,160.ov",Niet van toepassing,ON Z,Inwinpunt waterstand Amerongen Boven,Inwinpunt Waterstanden,Wel in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2017-08-30T00:00:00,Niet van toepassing,Rijn en Rijntakken,Neder-Rijn en Lek,RL2,QX,R,"922,160",ov,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (156696.64799999818 443081.4389999993)
water_punten.12,71,"RL1.QX.R.869,310.ov",Niet van toepassing,ON Z,Inwinpunt waterstand Overlaat Pannerden bovenstr,Inwinpunt Waterstanden,Wel in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2019-02-08T00:00:00,DTB,Rijn en Rijntakken,Neder-Rijn en Lek,RL1,QX,R,"869,310",ov,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (199245.26199999824 433510.88899999857)
water_punten.13,71,"BR4.QX.R.950,770.ov",Niet van toepassing,ON Z,Meetput Meetstation Vuren,Overig,Wel in beheer,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2017-04-03T00:00:00,DTB,Rijn en Rijntakken,Boven-Rijn en Waal,BR4,QX,R,"950,770",ov,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (129442.22399999946 426007.4789999984)
water_punten.14,71,"BR4.QX.R.950,760.--",Niet van toepassing,ON Z,Inwinpunt waterstand Vuren,Inwinpunt Waterstanden,Wel in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2013-10-22T00:00:00,Getekend luchtfoto,Rijn en Rijntakken,Boven-Rijn en Waal,BR4,QX,R,"950,760",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (129444 425997.0399999991)
water_punten.15,71,"RL1.QX.R.869,270.ov",Niet van toepassing,ON Z,Inwinpunt waterstand Overlaat Pannerden benedenstr,Inwinpunt Waterstanden,Wel in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2019-02-08T00:00:00,DTB,Rijn en Rijntakken,Neder-Rijn en Lek,RL1,QX,R,"869,270",ov,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (199252.0399999991 433471.9990000017)
water_punten.16,71,"RL3.QX.R.946,640.ov",Niet van toepassing,ON Z,Inwinpunt waterstand Hagestein Boven,Inwinpunt Waterstanden,Wel in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2017-08-30T00:00:00,Niet van toepassing,Rijn en Rijntakken,Neder-Rijn en Lek,RL3,QX,R,"946,640",ov,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (137771.36400000006 444642.9829999991)
water_punten.17,71,"RL2.QX.R.891,710.ov",Niet van toepassing,ON Z,Inwinpunt waterstand Driel Beneden,Inwinpunt Waterstanden,Wel in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2017-08-30T00:00:00,Niet van toepassing,Rijn en Rijntakken,Neder-Rijn en Lek,RL2,QX,R,"891,710",ov,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (183561.02800000086 441738.0529999994)
water_punten.18,71,"TK2.QX.R.36,325.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,R,"36,325",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (243132.06670000032 473976.86930000037)
water_punten.19,71,"TK2.QX.L.36,381.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,L,"36,381",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (243189.98800000176 473990.55999999866)
water_punten.20,71,"TK2.QX.L.36,415.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,L,"36,415",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (243222.89299999923 474000.9770000018)
water_punten.21,71,"TK2.QX.L.36,396.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,L,"36,396",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (243199.5417000018 474002.4609999992)
water_punten.22,71,"TK2.QX.R.36,381.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,R,"36,381",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (243177.78060000017 474008.12999999896)
water_punten.23,71,"TK2.QX.R.36,396.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,R,"36,396",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (243192.9803000018 474011.97349999845)
water_punten.24,71,"TK2.QX.R.45,121.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,R,"45,121",--,Niet bekend,Niet bekend,Niet bekend,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (251722.9712000005 474040.5625)
water_punten.25,71,"TK2.QX.L.36,034.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,L,"36,034",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (242947.50340000167 473735.86190000176)
water_punten.26,71,"TK2.QX.L.36,217.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,L,"36,217",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (243056.46200000122 473893.1279999986)
water_punten.27,71,"TK2.QX.L.36,264.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,L,"36,264",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (243090.97040000185 473928.33839999884)
water_punten.28,71,"TK2.QX.L.36,28.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,L,"36,28",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (243106.3359999992 473934.0240000002)
water_punten.29,71,"TK2.QX.R.36,264.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,R,"36,264",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (243084.16899999976 473937.8709000014)
water_punten.30,71,"TK2.QX.R.36,273.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB: peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK2,QX,R,"36,273",--,Niet bekend,Niet van toepassing,Niet van toepassing,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (243088.25789999962 473947.6746999994)
water_punten.31,71,"TK1.QX.L.2,931.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB:peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK1,QX,L,"2,931",--,Niet bekend,Niet bekend,Niet bekend,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (212557.91800000146 463766.4930000007)
water_punten.32,71,"TK1.QX.L.3,329.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB:peilschaal,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2020-12-15T23:47:06,DTB,Rijn en Rijntakken,Twenthekanalen,TK1,QX,L,"3,329",--,RWS,Niet bekend,Niet bekend,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (212937.23739999905 463890.8509999998)
water_punten.33,71,"RL3.QX.R.947,120.ov",Niet van toepassing,ON Z,Inwinpunt waterstand Hagestein Beneden,Inwinpunt Waterstanden,Wel in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2017-08-30T00:00:00,Niet van toepassing,Rijn en Rijntakken,Neder-Rijn en Lek,RL3,QX,R,"947,120",ov,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (137501.84200000018 445034.7289999984)
water_punten.34,71,"YS2.QX.R.965,171.--",Niet van toepassing,ON N,Meetpaal waterhoogte Wijhe,Inwinpunt Waterstanden,Niet in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,643,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2021-12-14T11:11:09,Getekend luchtfoto,Rijn en Rijntakken,Ijssel,YS2,QX,R,"965,171",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (205358 489051)
water_punten.35,71,"YS2.QX.R.965,075.--",Niet van toepassing,ON N,Meetstation waterhoogte Wijhe,Watermeetstation,Niet in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,1285,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2021-12-14T11:11:09,Getekend luchtfoto,Rijn en Rijntakken,Ijssel,YS2,QX,R,"965,075",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (205440 488953)
water_punten.36,71,"TK3.QX.L.1,539.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB:peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2022-01-25T14:55:18,DTB,Rijn en Rijntakken,Twenthekanalen,TK3,QX,L,"1,539",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (241278.63580000028 474432.77749999985)
water_punten.37,71,"TK3.QX.R.3,625.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB:peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2022-01-25T14:55:18,DTB,Rijn en Rijntakken,Twenthekanalen,TK3,QX,R,"3,625",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (240750.94399999827 476452.73050000146)
water_punten.38,71,"TK3.QX.R.8,865.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB:peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2022-01-25T14:55:19,DTB,Rijn en Rijntakken,Twenthekanalen,TK3,QX,R,"8,865",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (239814.6323999986 481596.1607000008)
water_punten.39,71,"TK3.QX.R.9,498.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB:peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2022-01-25T14:55:19,DTB,Rijn en Rijntakken,Twenthekanalen,TK3,QX,R,"9,498",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (239677.7325000018 482213.1209000014)
water_punten.40,71,"TK1.QX.L.3,344.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB:peilput,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2022-01-25T14:55:18,DTB,Rijn en Rijntakken,Twenthekanalen,TK1,QX,L,"3,344",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (212986.09420000017 463754.4769000001)
water_punten.41,71,"TK1.QX.L.2,932.--",Niet van toepassing,ON O,Niet van toepassing,Niet van toepassing,Niet bekend,Niet bekend,Nieuw object,DTB:peilschaal,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2022-01-25T14:55:18,DTB,Rijn en Rijntakken,Twenthekanalen,TK1,QX,L,"2,932",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (212558.62299999967 463767.75499999896)
water_punten.42,71,"YS1.QX.R.903,020.--",Niet van toepassing,ON N,Meetstation waterhoogte Doesburg brug,Watermeetstation,Niet in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,323,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2021-12-14T10:56:50,Getekend luchtfoto,Rijn en Rijntakken,Ijssel,YS1,QX,R,"903,020",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (206079 448176)
water_punten.43,71,"YS1.QX.L.929,333.--",Niet van toepassing,ON N,Meetpunt waterhoogte Zutphen Noord,Inwinpunt Waterstanden,Niet in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,324,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2021-12-14T11:04:16,Getekend luchtfoto,Rijn en Rijntakken,Ijssel,YS1,QX,L,"929,333",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (209326.501600001 463070.0758999996)
water_punten.44,70,"YS1.QX.R.930,144.--",Niet van toepassing,ON N,Effluent RWZI WRIJ,Inlaat,Niet in beheer,Niet van toepassing,Effluent RWZI uit legger van waterschappen,653,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2021-12-14T11:04:16,Getekend luchtfoto,Rijn en Rijntakken,Ijssel,YS1,QX,R,"930,144",--,Waterschap,Waterschap,Waterschap,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (209619.4365000017 463883.8256999999)
water_punten.45,71,"YS1.QX.L.929,357.--",Niet van toepassing,ON N,Meetstation waterhoogte Zutphen Noord,Watermeetstation,Niet in beheer,Niet van toepassing,In beheer eigendom en onderhoud bij CIV bron http://www.rijkswaterstaat.nl/kaarten/index.aspx,1282,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,-999,,2021-12-14T11:04:16,Getekend luchtfoto,Rijn en Rijntakken,Ijssel,YS1,QX,L,"929,357",--,RWS,RWS,RWS,-999,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (209260 463095)
water_punten.124,71,"111A.QX.-.1002,725",N.v.t.,WNZ Z,Zoutmeetstation Spijkenissebrug,Watermeetstation,Wel in beheer,,,,,,,,-999,,2021-11-02T13:58:56,Meetdienst,Rijn-Maasmonding,Middendeel,111A,QX,-,1002.725,--,Niet bekend,RWS Meet en Informatie Di,Niet bekend,1100116,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,9999-01-01T00:00:08,,,POINT (82854.7109999992 430635.1950000003)
