Rijlabels;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Hartman Den Haag B.V.;;2;;;;2
HaskoningDHV Nederland B.V.;;6;;;3;6
Havenbedrijf Rotterdam N.V.;;;;;7;7
Havengebouw Amsterdam B.V.;;;1;;2;2
Hazenberg Bouw B.V.;;7;;;;7
HBK 2000 Besturingstechniek B.V.;;2;;;;2
He Adviseurs;;6;;;;6
Hectas Facility Services C.V.;;4;;;;4
Heerkens van Bavel Bouw B.V.;;;;;7;7
Hegeman Plus B.V.;;7;;;;7
Heijmans;;2;;;;2
Heijmans Civiel Metaal B.V.;;3;;;5;5
Heijmans Kabelwerken B.V.;;;;;2;2
Heijmans Utiliteit;;12;;;7;12
Heijmans Wegen;;7;;;3;7
Heilijgers Bouw B.V.;;4;;;;4
Helder Vastgoed Schilderwerken B.V.;;2;;;;2
Helix Advies B.V.;;1;;;;1
Hellebrekers Technieken;;2;;;;2
Henri Culinair;;1;;;;1
Henssen B.V.;;2;;;;2
Heras B.V.;;8;;;5;8
Heras Ridderkerk;;7;;;;7
Herlings Elektro Techniek B.V.;;3;;;;3
Hermans Asbest B.V.;;2;;;;2
Hermans Bouw en Timmerbedrijf B.V.;;3;;;;3
Herruer Grond- Weg- en Waterbouw;;2;;;;2
Hertek B.V.;;2;;;;2
Het NIC B.V.;;3;;;;3
Heuvelman Ibis B.V.;;;;;7;7
Hexta Hekwerk B.V.;;2;;;2;3
Hilhorst Bouwbedrijf Amsterdam B.V.;;3;;;;3
Hinke Fongers Beheer B.V.;;;;;6;6
Hitec Power Protection B.V.;;4;;;1;4
Hoefnagels Branddeuren B.V.;;2;;;;2
HOEK architectuur & restauratie;;3;;;;3
Hoeksche Waard Infra;;1;;;;1
Hoet Horse Trading;;2;;;;2
Hoffmann Bedrijfsuitrusting B.V.;;1;;;;1
Holding Jansma en Van Dijk B.V.;;4;;;5;5
Holding van Landschoot B.V.;;;;;3;3
Homij Technische Installaties B.V.;;7;;;;7
Honeywell B.V.;;2;;;;2
Honeywell Building Solutions;;7;;;6;7
Hoog Catharijne Mall of the Netherlands B.V.;;;;;3;3
Hoornstra Materieel N.V.;;4;;;;4
Hoornveste B.V.;;;;;6;6
Hootsmans Architectuurbureau B.V.;;2;;;;2
Hopmann Liftservice;;2;;;;2
Horeca Exploitatie Maatschappij Berlage B.V.;;1;;;;1
Hörmann Nederland B.V.;;1;;;;1
Hospitality Design B.V.;;1;;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;1;;;;1
Hotel Pillows Zwolle B.V.;;1;;;;1
HR Groep Leek;;1;;;3;3
HR Groep Zuid;;1;;;;1
HRGroep B.V.;;2;;;;2
Huitink Media;;2;;;;2
HulstFlier Installateurs Elburg B.V.;;2;;;;2
Hummingbird B.V.;;;;;5;5
Hunneman Milieu-Advies Raalte B.V.;;3;;;2;3
Huys te Voorn Vastgoed B.V.;;;;;7;7
Hydroscope B.V.;;2;;;;2
Ibis B.V.;;3;;;;3
IBK Koudetechniek B.V.;1;;;;;1
IBS Consultants B.V.;;1;;;;1
Icat Textielrestauratie B.V.;;1;;;;1
ICOP B.V.;;2;;;;2
ICP Nederland B.V.;;3;;;4;5
Icrow B.V.;;2;;;2;2
ID bouwen van architectuur B.V.;;1;;;;1
ID Ware International B.V.;;2;;;;2
If Technology B.V.;;3;;;;3
IGG Bointon de Groot B.V.;;2;;;;2
IJbouw B.V.;;6;;;;6
Ilex Installatie Management B.V.;;4;;;;4
IMD Raadgevende Ingenieurs;;2;;;;2
IMI Aero-Dynamiek B.V.;;2;;;;2
Imming Logistics;;1;;;;1
Imtech Industrial Services B.V.;;1;;;;1
Imtech Nederland B.V.;;4;;;;4
in60seconds B.V.;;1;;;;1
Inbo;;2;;;;2
Incendio B.V.;;1;;;;1
Inclusief Gresbo B.V.;;4;;;;4
Indurfloor B.V.;;2;;;;2
Industrial Solutions Zuid-Oost B.V.;;3;;;;3
Infrasoil B.V.;;;;;2;2
Infrasoil Gebiedsontwikkeling B.V.;;5;;;;5
Ing.bur. Bouwtechn. Goudstikker-de Vries B.V.;;2;;;;2
Ingenieurs- en Adviesburo Technion B.V.;;2;;;;2
Ingenieursbureau Leon van Nierop;;2;;;;2
Ingenieursbureau 'Oranjewoud' III B.V.;;2;;;4;4
Ingenieursbureau Wassenaar B.V.;;1;;;;1
Ingrid Oosterheerd;;2;;;;2
Initial B.V.;;1;;;;1
Inpijn-Blokpoel Ingenieursbureau;;1;;;;1
Installatiebedrijf Embrechts B.V.;;2;;;;2
Installatiebedrijf Haerkens B.V.;;3;;;;3
Installatiebedrijf Spiek en de Vries B.V.;;2;;;;2
Installatiebedrijf Van de Blaak B.V.;;2;;;;2
Installatiebedrijf Van den Hoever B.V.;1;;;;;1
Installatietechniek Louwer B.V.;;1;;;;1
Inteco B.V.;;1;;;;1
Integron B.V.;;3;;;;3
International Cleaning Service Nederland B.V.;;1;;;;1
Interparking Nederland B.V.;;;;;3;3
Intersafe Groeneveld B.V.;;4;;;;4
Interswitch;;1;;;;1
Investment in den Eng B.V.;;4;;;5;5
Iolan B.V.;;4;;;;4
Ir. Raphael van Amerongen Architekt B.V.;;4;;;;4
Iris Huys;;1;;;;1
Issos B.V.;;;;;4;4
ITBB Klimaattechniek;;1;;;;1
ITN Installatietechniek B.V.;;5;;;;5
ITS Hendrion B.V.;;1;;;;1
Ivast B.V.;;;;;5;5
Iv-Bouw B.V.;;2;;;;2
Iv-Industrie B.V.;;;;;3;3
J. van Esch B.V.;;7;;;;7
J.H. Visser Holding B.V.;;3;;;;3
J.P. van Eesteren B.V.;;7;;;4;7
Jabor Advies B.V.;;;;;2;2
Jacobs Architekten B.V.;;3;;;;3
Jacot Audiovisueel Rental B.V.;;1;;;;1
Jan Montijn Beheer B.V.;;1;;;;1
Jan Snel B.V.;;7;;;6;7
Jan Verschuuren B.V.;;1;;;;1
Janssen-van Bergen Schildersbedrijf;;6;;;;6
Jobse Leidekkers- en Restauratiebedrijf B.V.;;4;;;;4
Johnson Controls Systems & Service B.V.;;3;;;;3
Jones Lang LaSalle B.V.;;4;;;;4
Jos Scholman Groen B.V.;;6;;;;6
Josefien & co;;3;;;;3
Joss B.V.;;;;;3;3
JOVI Investments Events & Business Company II;;;;;5;5
JuBi B.V.;;4;;;;4
Julo Systeemwanden en Kantoorinr. B.V.;;1;;;;1
Jungheinrich Nederland B.V.;;1;;;;1
Jurriëns;;6;;;;6
Jurriëns Midden B.V.;;1;;;;1
JWP Waterservice;;2;;;;2
K.T.D. Klimaatbeheersing B.V.;;1;;;;1
Kaal Masten B.V.;;2;;;;2
KABA Nederland B.V.;;2;;;;2
Kalsbeek B.V.;;1;;;;1
Kaptein Bouwgroep B.V.;;2;;;;2
Karres en Brands Landschapsarchitecten B.V.;;2;;;;2
Keizer Karelplein 32 B.V.;;;;;2;2
Kemkens Gasservice B.V.;;2;;;;2
Kemkens Utiliteit B.V.;;6;;;;6
Kemp Schalkwijk B.V.;;2;;;1;2
Kemper en van Twist Diesel B.V.;;4;;;;4
Kemtec B.V.;;2;;;;2
Kenter;;;1;;;1
Kerkhof Technische Installaties Leersum B.V.;;3;;;;3
Kieback & Peter Nederland B.V.;;2;;;;2
Kin Machinebouw B.V.;;2;;;;2
Kirsten Schipper Architectuurbeleid Advies;;1;;;;1
Klein Architecten B.V.;;4;;;;4
Klein Poelhuis Emmeloord B.V.;;7;;;;7
Knol Bouwgroep B.V.;;7;;;;7
Knook Totaal Techniek B.V.;;1;;;;1
Koek & Reinders Schilderwerken B.V.;;6;;;;6
Koen Ketel Hoveniers;;1;;;;1
Koffiebranderij G. Peeze B.V.;;1;;;;1
Komfort B.V.;;;;;10;10
Kondor Wessels Amsterdam B.V.;;4;;;;4
Kone B.V.;;5;;;;5
KONE Deursystemen B.V.;;2;;;;2
Kone Gevelliftinstallaties;;8;;;;8
Koninklijke Saint-Gobain Glass Nederland N.V.;;3;;;;3
Koninklijke Talens B.V.;;;;;2;2
Koninklijke Woudenberg;;7;;;;7
Korporaal Installatietechniek B.V.;;3;;;;3
Kors Hoogwerksystemen B.V.;;1;;;;1
Kosterbeemden Kerkrade B.V.;;;;;5;5
KPN B.V.;;2;;;5;5
KPN ITNS Networks B.V.;;1;;;;1
Kragten B.V.;;3;;;3;4
Krämer Bouw B.V.;;7;;;;7
Kreuze Telecom;;1;;;;1
Krinkels B.V.;;2;;;1;2
Kroep Elektro;;2;;;;2
Kropman Installatietechniek;;7;;;;7
KTB Klimaat Techniek Brabant B.V.;;4;;;;4
Kuijpers;;6;;;;6
Kuijpers Beveiligingssystemen B.V.;;2;;;;2
Kuijpers Centrale Projecten B.V.;;9;;;;9
Kuijpers Installaties;;7;;;;7
Kuijpers Maintenance;;6;;;;6
Kuiper Bouw B.V.;;7;;;;7
Kumpulan Congres- en Reuniecentrum;;1;;;;1
Kunstwacht B.V.;;2;;;;2
Kwerreveld Dakbedekkingen B.V.;;2;;;;2
KYBYS B.V.;;2;;;;2
Laarhoven Design;;2;;;;2
Lagemaat Sloopwerken B.V.;;2;;;5;5
Lammertink Groep;;2;;;;2
Landgoed Den Treek-Henschoten N.V.;;;;;4;4
Landustrie Sneek B.V.;;4;;;;4
Lankelma Geotechniek Zuid B.V.;;2;;;1;2
Lareco Nederland B.V.;;1;;;;1
LBP Sight B.V.;;1;;;;1
Le Gardinier B.V.;;1;;;;1
Leemans;;3;;;;3
Leeuwesteijn B.V.;;1;;;;1
Leo Baumann;;1;;;;1
let C communicatieadvies;;1;;;;1
Liander N.V.;;4;6;;;6
Lichtdruk- en Reproductiebureau Cito B.V.;;1;;;;1
Lichtpunt Theatertechniek B.V.;;2;;;;2
Liftinstituut B.V.;;1;;;;1
Liftinstituut Solutions B.V.;;1;;;;1
Limburgse Koelindustrie Liko B.V.;;1;;;2;2
Lineair Bouwmanagement;;1;;;;1
Lloyd's Register Nederland B.V.;;2;;;;2
lokhorst;;;;;4;4
Lomans Amersfoort B.V.;;3;;;;3
Loo Plan B.V.;;1;;;;1
Loodg.- en Installatiebedrijf Van Kooten B.V.;;3;;;;3
Loonbedrijf Schriek en Hol B.V.;;6;;;;6
Loyens & Loeff N.V.;;1;;;;1
Lubron Waterbehandeling B.V.;;2;;;;2
Luchttechnisch Revis.-Bureau Van Elewout B.V.;;1;;;;1
Lukasse Dakbedekkingen Goes B.V.;;1;;;;1
Lyreco Nederland B.V.;;;;;1;1
M. van der Spek Hoveniersbedrijf B.V.;;2;;;;2
M.E.S. Liften B.V.;;1;;;;1
Maarten's Bedrijf;;1;;;;1
Maasbouw B.V.;;4;;;;4
Maastricht Aachen Airport Beh.&Infrastr. B.V.;;;;;1;1
Maatschap Hoekstra;;4;;;;4
Maatschap R.L. en W. Rap;;;;;1;1
Maatschap Rijp;;;;;4;4
Maatschap tussen J. Brill & E. Brill-Van Eijk;;2;;;;2
Machinefabriek Rusthoven B.V.;;2;;;;2
MacTwin Security B.V.;;6;;;;6
Madurodam B.V.;;1;;;1;1
Manovert B.V.;;1;;;;1
Mansveld Projecten & Services B.V.;;;;;3;3
Manutan B.V.;;;;;1;1
marco.broekman urbanism research architecture;;2;;;;2
Marees Installatie en Techniek B.V.;;2;;;;2
Marsoft Kabeltelevisie & Communicatie;;2;;;;2
MAS Architectuur;;2;;;;2
Mastermate Brinkman B.V.;;1;;;;1
Mastermate VBT Groep;;;;;1;1
MB Safety B.V.;;;;;4;4
Menerga Klimaattechnologie B.V.;;4;;;;4
Mennens Dongen B.V.;;3;;;1;3
Mennens Groningen B.V.;;2;;;;2
Mennens Hengelo B.V.;;3;;;;3
Mennens Rotterdam B.V.;;3;;;;3
Merin Add-On 6 B.V.;;;;;7;7
Merin B.V.;;;;;7;7
Merk X B.V.;;3;;;;3
Metaalrestauratie Amsterdam;;1;;;;1
MeteoGroup Dutch Holdco B.V.;;3;;;;3
Metos B.V.;;3;;;;3
Michel Heesen Architectuur & Landschap;;1;;;;1
Michiel Clercx Architectuur;;;;;1;1
Millvision B.V.;;;;;3;3
MILON B.V.;;2;;;2;3
Mobius Consult B.V.;;1;;;1;2
Moeskops' Bouwbedrijf B.V.;;;;;1;1
Möhringer Liften;;6;;;;6
Monument en Project;;2;;;;2
Monumenten Advies Bureau;;2;;;;2
Mostert's Schoonmaakbedrijf B.V.;;2;;;;2
Motus B.V.;;2;;;;2
Movares Nederland B.V.;;7;;;;7
Mr. André Bosscher t.h.o.d.n. Notar. Kuhlmann;;1;;;;1
Mr-Orange B.V.;;1;;;;1
Muco Technologies B.V.;;2;;;;2
MUG Ingenieursbureau;;1;;;1;1
'Mulder Liftservice' B.V.;;1;;;;1
Muller Bouw B.V.;;;;;2;2
Multi Instruments;;2;;;;2
Multi-Deur Service B.V.;;3;;;;3
Munters Netherlands B.V.;;2;;;;2
Museum Boerhaave;;2;;;;2
MWH B.V.;;;;;1;1
N.A. van den Hoven & Zonen B.V.;;1;;;;1
N.V. Beleggingsmaatschappij De Pyramiden;;;;;7;7
N.V. Luchthaven Schiphol;;;;;7;7
N.V. Nuon Sales Nederland;;;1;;;1
N.V. PWN Waterleidingbedrijf Noord-Holland;;2;1;;;2
N.V. Stedin Netten Weert;;;5;;;5
N.V. Waterbedrijf Groningen;;1;1;;;1
N.V. Waterleidingmaatschappij Drenthe;;1;1;;;1
NAi Boekverkopers/Booksellers;;1;;;;1
nai010 uitgevers/publishers;;2;;;;2
Natuurbalans/Limes Divergens B.V.;;;;;1;1
Nebest B.V.;;;;;1;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;4;;;;4
Nederl. Sociët. v. Extra-Corporale Circulatie;;1;;;;1
Nederlands Instituut v. Management Ontw. B.V.;;;;;6;6
Nederlandse Waterschapsbank N.V.;;;;;7;7
Nederman Nederland B.V.;;1;;;;1
Negam B.V.;;3;;;;3
Nelissen Ingenieursbureau B.V.;;2;;;;2
Nering Bögel B.V.;;1;;;;1
Nettenhandel J. van Dijk en Zn. B.V.;;1;;;;1
Neuf & Associates B.V.;;6;;;;6
NIBA Bleskensgraaf;;1;;;;1
NIC Best Deal B.V.;;;;;4;4
Nieman Groep B.V.;;;;;2;2
Nieuwe Stijl Meubelmakerij;;1;;;;1
Nieuwenhuizen Daandels Bouw B.V.;;;;;4;4
Nissen Advisering Energie en Klimaat;;4;;;;4
Nooijen Terreininrichting B.V.;;1;;;;1
Noordelijk Atelier Textielrestauratie;;1;;;;1
Nootenboom Sport B.V.;;3;;;;3
NORD Architectuur;;2;;;;2
Notariskantoor Ellens & Lentze B.V.;;1;;;;1
NS Poort Ontwikkeling B.V.;;8;;;;8
NS Stations B.V.;;;;;7;7
NS Vastgoed B.V.;;;;;6;6
NSI Bedrijfsgebouwen B.V.;;;;;1;1
NSI HNK B.V.;;;;;5;5
NSI Kantoren B.V.;;;;;2;2
NSI N.V.;;;;;6;6
NTP Infra B.V.;;2;;;7;7
Numan & Kant B.V.;;2;;;;2
NUON Power Generation B.V.;;;;;2;2
Nu-Swift Brandbeveiliging B.V.;;2;;;;2
Nyenburgstaete B.V.;;1;;;3;3
O.R. Goedverhuur Bosch;;;;;2;2
Oasen N.V.;;;1;;;1
Obex B.V.;;1;;;;1
Octatube Services B.V.;;2;;;;2
OD205SL B.V.;;1;;;;1
ODS B.V.;;1;;;;1
Oesterbaai B.V.;;4;;;2;4
Office Radarweg B.V.;;;;;5;5
Ok Gas B.V.;;;1;;;1
Olster Dakwerken B.V.;;2;;;;2
Onderhoudsbedrijf PVL;;1;;;;1
One Architecture B.V.;;2;;;;2
Ooms Construction B.V.;;4;;;;4
Ooperon Services B.V.;;5;;;;5
Oostelbos van den Berg B.V.;;2;;;;2
Oostendorp Interieur en Meubelstoffering B.V.;;3;;;;3
Oosterberg B.V.;;2;;;;2
OPPS Advies B.V.;;3;;;;3
Optima Forma B.V.;;1;;;1;2
Orange5 Catering & Events B.V.;;1;;;;1
OTH Architecten B.V.;;2;;;;2
Othec;;1;;;;1
Otis B.V.;;5;;;;5
Otjens Groep B.V.;;;;;2;2
Oudaen B.V.;;1;;;;1
Ouwerkerk Montagebedrijf;;2;;;;2
Overvoorde & Van Tilborg adv. & dienstv. B.V.;;1;;;;1
Oving Architekten;;4;;;;4
P. Smit B.V.;;3;;;;3
P.C. van der Heijde Management B.V.;;1;;;;1
P.H.H. de Vet B.V.;;1;;;2;2
P/flex;;1;;;;1
P+ Industry B.V.;;;;;1;1
Painting Bouw B.V.;;2;;;;2
Pal. Het Loo;;4;;;;4
Pals Advies B.V.;;1;;;1;1
Panta Real Estate B.V.;;;;;7;7
Pantem B.V.;;1;;;;1
Parkstad Inspecties;;5;;;;5
Patina Valbeveiliging B.V.;;6;;;;6
Patisan Vastgoed B.V.;;;;;2;2
PBLQ B.V.;;;;;2;2
PCF Holland B.V.;;2;;;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;9;;;2;9
Pennings Bouwmaatschappij B.V.;;;;;1;1
Pensioenfonds Metaal en Techniek;;;;;8;8
Perinco Real Estate II B.V.;;;;;3;3
Peter Stierman & Zoon Plafond Systemen B.V.;;2;;;;2
Peutz B.V.;;5;;;2;5
PHB Facility;;8;;;7;8
Pi2 B.V.;;11;;;8;11
PingProperties Corporate Office Fund IV C.V.;;3;;;8;8
Plant E B.V.;;1;;;;1
Platina Argenta Events & Business Company;;;;;6;6
Plein 9 A B.V.;;1;;;;1
Ploegmakers Cultuurtechniek B.V.;;1;;;;1
Polomnis B.V.;;2;;;;2
Polygon Nederland B.V.;;2;;;;2
Polypla B.V.;;2;;;;2
Poort van Den Haag B.V.;;7;;;8;8
PoortCentraal B.V.;;8;;;;8
Portakabin B.V.;;;;;2;2
Posad B.V.;;3;;;;3
Possehl Aannemingsmaatschappij B.V.;;5;;;;5
Powerhouse Company International B.V.;;1;;;;1
Powertec Diesel Services B.V.;;1;;;;1
Pranger-Rosier Installaties B.V.;;7;;;;7
Praxair B.V.;;1;;;;1
Pricewaterhousecoopers Advisory N.V.;;5;;;;5
Primagaz Nederland B.V.;;;1;;;1
Prime Advice B.V.;;2;;;;2
Prins Bouw B.V.;;;;;4;4
ProGoDo;;2;;;;2
Project PVS B.V.;;;;;9;9
Promad;;;;;2;2
Promosana B.V.;;;;;4;4
Propertize B.V.;;;;;7;7
Propertunity NL N.V.;;;;;6;6
Propertynl B.V.;;1;;;;1
Provada B.V.;;2;;;;2
Provian Bouwadvies & Projectbegeleiding;;2;;;;2
ProXYZ Consultancy B.V.;;2;;;;2
Puur Utrecht;;1;;;;1
PVM Eindhoven B.V.;;3;;;;3
QC Light Factory B.V.;;3;;;;3
QP Amsterdam Property I B.V.;;;;;1;1
Q-Park Beheer B.V.;;2;;;4;5
Quadraat Infraprojecten B.V.;;2;;;;2
Quadrance B.V.;;3;;;;3
Quatro Systems B.V.;;5;;;;5
Quist Wintermans Architekten B.V.;;5;;;;5
R2B Inspecties B.V.;;2;;;1;2
Raadg. Ingenieursbur. Wiertsema & Partn. B.V.;;;;;2;2
Raadg. Techn. Bur. Huisman en v. Muijen B.V.;;2;;;;2
Raadgevend Ingenieursbureau Beekink B.V.;;2;;;;2
Raadgevend Ingenieursbureau Dijkoraad B.V.;;7;;;;7
Raak Engineering B.V.;;1;;;;1
RAAP Archeolog. Adviesbureau Oost Nederland;;;;;4;4
Rack Inspecs;;;;;1;1
Rademaker Vastgoed B.V.;;;;;7;7
RAI Amsterdam B.V.;;1;;;;1
Railtechniek Van Herwijnen B.V.;;1;;;;1
RaNo+ Advies en projectmanagement;;2;;;;2
Rapenburg Plaza B.V.;;1;;;;1
Rappange & Partners Architecten B.V.;;3;;;;3
Rasenberg Bouwbedrijf B.V.;;1;;;;1
Rasp-Stuc Adviseur;;1;;;;1
RD Bouw M2 B.V.;;5;;;;5
Realher Groep;;4;;;;4
Reaseuro;;2;;;;2
Reclamestudio Guthschmidt B.V.;;;;1;1;1
Record Automatische Deuren B.V.;;2;;;;2
Redefine International Den Haag B.V.;;;;;7;7
Regel Partners B.V.;;2;;;;2
Regelink Ecologie B.V.;;1;;;1;1
Reisswolf Scheemda B.V.;1;;;;;1
REKO Service;;;;;3;3
Renpart Vastgoed Holding N.V.;;;;;5;5
Rensen Regeltechniek B.V.;;5;;;3;5
Rent-a-Plant Almelo B.V.;;1;;;;1
Rentokil pest control;;2;;;;2
Restauratie Atelier Oude Delft;;2;;;;2
Reym Amsterdam;;2;;;;2
RH Marine Netherlands B.V.;;1;;;;1
Rhine Group B.V.;;2;;;;2
Richard Schraven Bouworganisatie;;1;;;;1
Riekelt Slot Holding B.V.;;;;;2;2
Rietdekkersbedrijf Konink;;2;;;;2
Rijkaart;;3;;;;3
Rijsbergen Beveiliging;;2;;;;2
Riool.nl;;1;;;;1
Rioolwacht B.V.;;;;;1;1
Risc²on B.V.;;1;;;;1
Riweltie B.V.;;3;;;;3
RN Project B.V.;;2;;;;2
Robert Bosch B.V.;;9;;;4;9
Roc Beheer 3 B.V.;;;;;1;1
Roc Vastgoed I C.V.;;;;;3;3
Roel Timmerman B.V.;;;;;1;1
Roelofs Wegenbouw B.V.;;4;;;;4
Rooijakkers Installatietechnieken B.V.;;;;;2;2
Root B.V.;;4;;;;4
Roozeboom & Van den Bos Instrument B.V.;;2;;;;2
Rosmalen Dakbedekkingen B.V.;;4;;;;4
Rotterdam Airport B.V.;;;;;3;3
Royal Invest Europe B.V.;;;;;1;1
RpG Vastgoed B.V.;;;;;4;4
RPS advies- en ingenieursbureau;;3;;;3;4
RPS Analyse B.V.;;1;;;2;2
Ruissen Installatie- en Koeltechniek B.V.;;2;;;;2
Ruth Jongsma;;2;;;;2
S.B.R. Vloeren en Interieur B.V.;;1;;;;1
Saan Horizontaal & Verticaal Transport B.V.;;1;;;;1
Safety Control Real Estate B.V.;;;;;2;2
Safire B.V.;;;;;9;9
Sajoscha;;1;;;;1
Salland Parket B.V.;;4;;;;4
Salverda Bouw B.V.;;7;;;;7
San Sebastian;;;;;5;5
Sander Grip;;1;;;;1
Sanitas Milieukundig Adviesbureau B.V.;;2;;;;2
Saricon B.V.;;;;;1;1
Saskia Voest Architectuurhistoricus;;3;;;;3
Saval B.V.;;4;;;;4
Schaufeli Vastgoed B.V.;;;;;4;4
Schekman Elektrotechniek B.V.;;6;;;;6
Scheldebouw B.V.;;4;;;;4
Schermer Installatietechniek;;2;;;;2
Schildersbedrijf F. van Triest B.V.;;4;;;;4
Schildersbedrijf Hoogstraten Haarzuilens B.V.;;7;;;;7
Schildersbedrijf Sikkens B.V.;;5;;;;5
Schildersbedrijf Wolters B.V.;;7;;;;7
Schindler Liften B.V.;;5;;;;5
Schiphol Real Estate B.V.;;7;;;8;9
Schmidt Watertechniek B.V.;;2;;;;2
Schoonmaakbedrijf Argo B.V.;;1;;;;1
Schoonmaakbedrijf Jeurcrama B.V.;;2;;;;2
Schoonmaakbedrijf Vlietstra B.V.;;1;;;;1
Schouten & De Jong Projectontwikkeling B.V.;;;;;3;3
Schuiteman Elspeet;;5;;;;5
SDR Electrotechniek;;4;;;;4
Search Milieu;;3;;;2;4
SEB.;;;;;8;8
Security Monitoring Centre;;1;;;;1
Service Support B.V.;;1;;;;1
Services United B.V.;;5;;;;5
SGS Intron B.V.;;2;;;;2
SH Producties;;1;;;;1
Siemens Nederland N.V.;;7;;;5;7
Siers Leiding-Montage;;2;;;;2
SIGHT Landscaping B.V.;;7;;;2;7
Siris B.V.;;2;;;;2
Sita Recycling Services;;2;;;;2
SITE Urban Development B.V.;;3;;;;3
Slangen Staal B.V.;;1;;;;1
Sloop- & Isolatiebedrijf De Dijk B.V.;;3;;;;3
Sloopbedrijf J.H. Oosterbeek B.V.;;;;;3;3
Smeba Brandbeveiliging B.V.;;3;;;;3
Smezo Handelsonderneming B.V.;;1;;;;1
Smits Van Burgst Beheer en Onderhoud B.V.;;6;;;;6
Smits Van Burgst Beveiliging B.V.;;7;;;;7
Smits van Burgst Groep B.V.;;7;;;;7
Smits van Burgst Raadgevend Ingenieursbureau;;2;;;;2
SmitsRinsma;;2;;;;2
Snelvertaler B.V.;;1;;;;1
Sodexo B.V.;;1;;;;1
Solar Nederland B.V.;;1;;;1;1
Solidé Projectadvies B.V.;;2;;;;2
Soloan B.V.;;1;;;;1
SP 20 B.V.;;;;;6;6
Space Encounters B.V.;;3;;;;3
Spaces Rode Olifant B.V.;;1;;;;1
Spark B.V.;;1;;;;1
SPIE TB Delft B.V.;;1;;;;1
SRLEV N.V.;;;;;4;4
St.stg. Ver. v. Zoogdierk. en Zoogdierbesch.;;1;;;1;2
Stadgenoot Buurtentree;;;;;1;1
Standard Fasel B.V.;;1;;;;1
Stanley Security Nederland B.V.;;1;;;4;4
Staples Nederland B.V.;;;;;1;1
Stationslocaties O.G. C.V.;;;;;2;2
Stavast Bewaar B.V.;;;;;6;6
Stedin;;6;4;;1;6
Stedin Infradiensten B.V.;;;1;;;1
Stedin Meetbedrijf B.V.;;1;2;;1;2
Steegman Elektrotechniek B.V.;;6;;;3;6
Steinbuch Consultancy;;2;;;;2
Stena Realty B.V.;;;;;5;5
Stevens Van Dijck Bouwmanag. en Adv. B.V.;;6;;;;6
Stg. Bedr.takpens.fnds voor de Bouwnijverheid;;;;;8;8
Stg. Beveiliging Industrieterrein Moerdijk;;;;;1;1
Stg. Burgerweeshs - Jongens Weeshuis (BWRCJW);;;;;7;7
Sticht. Administratiekantoor Orange Portfolio;;;;;6;6
Sticht. Bedrijfspens.fds. voor de Landbouw;;;;;5;5
Sticht. INT. ARCHITECTUUR BIENNALE ROTTERDAM;;1;;;;1
Sticht. Nederl. Inst. voor Beeld en Geluid;;1;;;;1
Sticht. ROI v/h het Rijks Opleidingsinstituut;;;;;3;3
Stichting Architectuur Lokaal;;2;;;;2
Stichting Bewaarder Hanzevast Fonds 27 C.V.;;;;;4;4
Stichting Bureau Documentatie Bouwwezen;;1;;;;1
Stichting Collectief Beheer Winkelcentra;;2;;;;2
Stichting Edese Schaapskudde;;3;;;;3
Stichting Fonds Collectieve Kennis-CT;;1;;;2;2
Stichting Groennetwerk;;1;;;;1
Stichting Het Nieuwe Instituut;;1;;;;1
Stichting Het Utrechts Landschap;;;;;1;1
Stichting Monument 'De Witte';;;;;5;5
Stichting Raad van Arbitrage voor de Bouw;;1;;;;1
Stichting Restauratie Atelier Limburg (SRAL);;4;;;;4
Stichting Salvage;;1;;;;1
Stichting Spoorwegpensioenfonds;;;;;4;4
Stichting Support AOT Noord;;;1;;;1
Stichting Waternet;;2;;;1;2
Stoof Verhuizingen;;1;;;;1
Stork Technical Services Group B.V.;;1;;;;1
Strukton Systems B.V.;;7;;;;7
Strukton Worksphere B.V.;1;10;;;;10
STU Project - Naritaweg Amsterdam B.V.;;;;;2;2
Studio Marco Vermeulen B.V.;;1;;;;1
Studio Seven Architecten;;2;;;;2
Stulz Groep B.V.;;2;;;;2
Suez Water;;3;;;;3
Sulzer Pumps Wastewater Netherlands B.V.;;2;;;;2
Sun Solutions B.V.;;2;;;;2
Sunchar Beheer B.V.;;1;;;;1
SUPAIR Intermediairs;;3;;;;3
SW B.V.;;4;;;;4
Sweco Holdco B.V.;;1;;;2;2
Sweco Nederland B.V.;;7;;;;7
Swisslog B.V.;;4;;;;4
Synto Installatiebedrijf Goes B.V.;;4;;;;4
Syntrus Achmea Vastgoed;;;;;7;7
T & G Terrein- en Groenvoorziening B.V.;;3;;;;3
't Schoutenhuis B.V.;;;;;2;2
T. Oomen Installatietechniek;;;;;1;1
T.F.I. 4000 B.V.;;2;;;;2
T.H. Klimaatbeheersing B.V.;;1;;;;1
Tab B.V.;;4;;;;4
Tango Properties Management B.V.;;;;;6;6
