Stembureau_naam;Stembureau_nummer;Stembureau_adres;Stembureau_plaats;VVD;PvdA;PVV;CDA;SP;D66;GL;CU;SGP;50+;PvdD;NLOK;LIBP;VLok;VrP;JL;Geldig;Blanco;Ongeldig;Oproep
42 De Koloriet/De Fontein;42;Matthijs Marisstraat 33;Dordrecht;35;68;131;43;113;50;28;55;25;15;23;23;2;2;1;3;617;5;4;2264
50 Het Waterwiel;50;Admiraalsplein 700;Dordrecht;40;63;113;36;69;35;10;18;8;30;25;2;0;4;1;6;460;1;7;1113
51 Speeltuin Zeehavenkwartier;51;Sportlaan 17;Dordrecht;0;7;49;5;22;2;0;1;0;3;2;0;2;0;0;0;93;0;0;958
52 Wijkcentrum de Admiraal;52;Admiraalsplein 168;Dordrecht;31;52;79;25;73;28;4;8;15;21;19;4;0;0;0;3;362;0;6;1333
54 Wooncentrum Watersteijn;54;M.H. Trompweg 382, ingang achterzijde;Dordrecht;113;57;62;50;53;53;12;27;35;24;32;1;0;0;0;3;522;0;1;1014
55 Postillion Hotel;55;Rijksstraatweg 30;Dordrecht;62;17;38;32;29;13;8;19;22;4;11;0;0;2;0;0;257;0;2;599
60 Wooncentrum de Klockelaer;60;Tak van Poortvlietstr., ing. 1a - 337c;Dordrecht;36;47;96;32;66;29;9;23;12;42;13;0;1;2;0;2;410;0;4;1080
61 J.F. Kennedyschool;61;Bosstraat 1;Dordrecht;37;60;102;29;61;35;18;29;8;15;21;4;0;0;2;1;422;3;1;1142
64 Kerk van de Nazarener;64;Talmaweg 121;Dordrecht;20;34;54;33;54;20;8;19;7;8;12;7;2;0;0;4;282;1;1;856
65 Schoolgebouw;65;Dresselhuysstraat 1;Dordrecht;18;37;74;43;69;32;9;22;8;39;14;0;0;1;0;2;368;0;6;2366
66 Zorgcentrum Vreedonk;66;Vreedonklaan 2;Dordrecht;56;34;38;76;33;39;11;45;90;15;16;2;0;0;0;2;457;3;1;761
70 Bewonersver. 't Trefpunt;70;Planetenlaan 16A;Dordrecht;78;65;101;102;100;62;25;39;26;30;25;1;1;2;0;0;657;1;0;1205
71 Dep J.F. Kennedyschool;71;Eddingtonweg 3;Dordrecht;36;53;68;65;59;39;17;36;53;19;19;3;1;4;0;0;472;2;6;1287
72 Cultureel Centrum Sterrenburg;72;Dalmeyerplein 10;Dordrecht;23;33;50;42;54;21;13;21;15;19;10;4;0;1;0;1;307;1;1;1109
73 Wielborgh, het Sterrenwiel;73;Dalmeyerplein 80;Dordrecht;27;72;103;64;94;40;11;28;31;45;28;3;0;1;0;4;551;2;3;960
74 Verpleegtehuis De Sterrenlanden;74;Minnaertweg 4;Dordrecht;111;47;125;112;87;63;16;43;34;26;21;5;1;2;0;1;694;1;3;1453
75 Polyanderschool;75;Atmosfeerstraat 34;Dordrecht;34;61;82;68;70;28;11;47;91;26;13;1;2;0;0;4;538;0;0;1342
76 School de Driehoek;76;Driehoek 41;Dordrecht;84;79;86;72;73;67;21;23;10;19;18;3;2;2;1;0;560;1;2;1389
77 School De Sterrekijker;77;Boogschutter 71;Dordrecht;127;62;79;82;55;76;30;32;9;19;27;6;1;4;0;1;610;2;0;1326
78 School De Keerkring;78;Ockenburg 44;Dordrecht;62;56;83;51;73;55;33;15;1;36;33;4;0;1;1;2;506;0;3;1443
81 Ontmoetingskerk;81;Slangenburg 3;Dordrecht;144;118;155;93;93;126;41;48;24;51;43;5;0;1;0;4;946;1;2;1445
82 School De Meridiaan;82;Kinkelenburg 19;Dordrecht;118;63;90;78;65;98;20;24;10;28;23;4;0;6;3;0;630;4;3;1399
83 School Het Kristal Dependance;83;Zuilenburg 68;Dordrecht;24;33;83;56;44;31;5;13;7;16;18;3;0;0;0;0;333;1;0;1303
84 School Het Kristal;84;Heimerstein 36;Dordrecht;92;61;114;109;113;83;25;75;16;22;34;3;0;3;0;2;752;3;1;1364
91 Verzorgingshuis Dubbelmonde;91;Koningstraat 290;Dordrecht;186;72;106;181;53;99;27;68;55;38;32;4;1;0;0;0;922;3;7;1438
93 Beatrixschool, de boerderij;93;Dubbelsteynlaan West 54;Dordrecht;165;73;97;136;75;85;25;67;96;33;37;1;1;2;0;3;896;6;1;2569
94 Verpleeghuis Het Parkhuis;94;Haaswijkweg Oost 69A;Dordrecht;171;53;83;139;50;76;21;64;58;35;41;3;1;0;1;4;800;3;0;1427
96 Gymzaal;96;Iepenlaan 35;Dordrecht;158;68;102;119;59;72;16;49;76;32;24;5;0;4;0;2;786;3;1;1373
97 Wooncentrum De Gravenhorst;97;Vijverlaan 1002;Dordrecht;181;63;110;153;63;79;26;56;46;33;24;0;1;5;0;1;841;1;3;1472
98 Hotel de Watertoren;98;Kromme Zandweg 80;Dordrecht;285;55;79;110;28;107;24;43;53;17;30;0;0;4;1;5;841;1;2;1511
102 Voormalig Buurtcentrum 't Erfje;102;Selma Lagerlöf-erf 163;Dordrecht;77;72;127;80;121;72;40;59;19;34;23;6;1;0;0;2;733;3;4;2590
103 Voormalige Peuterspeelzaal;103;Henriëtte Roland Holst-erf 134;Dordrecht;57;62;89;50;72;40;18;47;42;20;25;1;0;3;0;3;529;2;1;1323
105 Geert Grooteschool;105;Van den Broek-erf 3;Dordrecht;143;98;145;85;123;103;29;56;30;33;42;3;0;3;3;1;897;1;3;2246
106 Wielborgh, het Polderwiel;106;Dudok-erf 58;Dordrecht;93;103;171;97;109;93;21;32;20;56;29;4;0;0;1;0;829;4;4;820
107 Portacabin;107;Mina Krüseman-erf 470;Dordrecht;100;90;161;77;105;92;22;86;36;41;47;5;0;2;0;11;875;4;2;2750
109 Kandelaarkerk;109;Van Eesterenplein 230;Dordrecht;52;33;56;45;26;47;9;32;21;17;20;0;0;0;2;3;363;2;0;642
110 Speeltuin Stadspolders;110;Meranti 50;Dordrecht;68;46;67;49;43;57;15;19;8;17;23;5;2;2;0;1;422;0;0;1383
111 School De Bever;111;Chico Mendesring 188;Dordrecht;146;56;132;76;56;114;23;35;11;28;30;2;0;0;0;2;711;0;1;1568
112 Johan Frisoschool Dependance;112;Chico Mendesring 821;Dordrecht;115;68;115;64;40;74;22;35;24;13;27;1;0;0;0;0;598;2;0;1518
200 Portacabin Centraal Station;200;Stationsplein ;Dordrecht;82;112;41;55;109;152;98;28;28;14;43;2;1;1;2;2;770;4;1;0
210 Alb. Schweitzerzhs, Dordtwijk;210;Alb. Schweitzerplaats 25;Dordrecht;54;55;40;31;49;45;16;24;17;23;14;0;0;0;0;0;368;1;0;89
