FID,cluster_,se_anno_cad_data,gdb_geomattr_data,shape
werkvakken_bestortingen.12,3,,,"POLYGON ((56913.13919999823 394273.61190000176, 56380.27210000157 394468.6042999998, 56055.84519999847 394500.5427000001, 55997.01130000129 394532.48110000044, 55637.28400000185 394626.6152999997, 55398.58650000021 394688.81120000035, 55395.22450000048 394749.3260000013, 55827.23350000009 394640.063099999, 56008.77809999883 394592.99599999934, 56079.378800000995 394556.0146000013, 56395.400899998844 394525.75719999894, 56933.310800001025 394324.04100000113, 56913.13919999823 394273.61190000176))"
werkvakken_bestortingen.13,3,,,"POLYGON ((53483.64939999953 384153.90989999846, 53483.64939999953 384174.13870000094, 53613.89429999888 384097.8372000009, 53642.64039999992 384063.7677000016, 53640.51110000163 384027.21389999986, 53623.121399998665 384011.9536000006, 53537.16550000012 384063.4439000003, 53534.0848999992 384080.7289999984, 53538.27699999884 384081.42770000175, 53542.342099998146 384083.1427000016, 53542.40560000017 384087.46189999953, 53541.897500000894 384092.6702999994, 53534.44689999893 384102.4096000008, 53502.10370000079 384134.39090000093, 53483.64939999953 384153.90989999846))"
werkvakken_bestortingen.14,2,,,"POLYGON ((52892.875900000334 382878.96009999886, 52905.849599998444 383057.9976999983, 52987.39880000055 383193.2952999994, 53016.68239999935 383240.7421000004, 53052.34279999882 383279.42819999903, 53119.197399999946 383237.10449999943, 53050.00059999898 383148.4250999987, 53007.00450000167 383056.3865999989, 52990.88100000098 383008.6878999993, 52988.86719999835 382947.6532999985, 52980.20560000092 382858.55530000106, 52892.875900000334 382878.96009999886))"
werkvakken_bestortingen.15,2,,,"POLYGON ((52877.72500000149 382813.10880000144, 52906.90500000119 382808.44000000134, 52913.13010000065 382827.1152999997, 52972.65740000084 382815.44319999963, 52917.86710000038 382659.40089999884, 52883.319899998605 382566.2734999992, 52860.789000000805 382464.13369999826, 52839.76029999927 382319.9365000017, 52800.70679999888 382072.09739999846, 52782.68219999969 382034.5460000001, 52693.30700000003 382080.1057999991, 52703.42280000076 382094.1121999994, 52706.5353000015 382107.7296000011, 52715.48389999941 382166.47879999876, 52720.93079999834 382238.4561999999, 52734.54820000008 382322.4948000014, 52745.831099998206 382373.07360000163, 52813.5289000012 382681.21499999985, 52877.72500000149 382813.10880000144))"
werkvakken_bestortingen.16,2,,,"POLYGON ((43725.35949999839 380245.16209999844, 43694.952300000936 380202.41429999843, 43434.47549999878 380397.50389999896, 43269.39959999919 380505.7679999992, 42837.41539999843 380753.38170000166, 42783.81940000132 380811.2655000016, 42855.99540000036 380827.52589999884, 42869.50800000131 380806.6261, 43037.18499999866 380698.96979999915, 43385.87700000033 380498.9006000012, 43625.32490000129 380319.7910999991, 43725.35949999839 380245.16209999844))"
werkvakken_bestortingen.17,2,,,"POLYGON ((39111.26029999927 382140.8792000003, 39118.57580000162 382148.71730000153, 39145.22509999946 382125.20320000127, 39120.66600000113 382096.46379999816, 39177.622299999 382041.07510000095, 39192.25319999829 382012.33570000157, 39216.81239999831 381980.4609999992, 39243.98420000076 381916.18930000067, 39296.237700000405 381882.2245000005, 39347.968600001186 381845.6471000016, 39329.46930000186 381814.2333999984, 39223.16389999911 381884.64350000024, 39190.7201000005 381952.29239999875, 39154.134500000626 381989.5683000013, 39145.850900001824 382019.2509999983, 39065.77670000121 382093.11250000075, 39111.26029999927 382140.8792000003))"
werkvakken_bestortingen.18,2,,,"POLYGON ((41796.47870000079 410451.8706, 41896.30920000002 410496.4615999982, 41987.48779999837 410541.7181000002, 42059.36580000073 410585.6435999982, 42071.34549999982 410613.5962000005, 42083.990699999034 410618.9204000011, 42137.37280000001 410506.24810000136, 42074.007599998266 410387.3134999983, 41856.37700000033 410274.83779999986, 41796.47870000079 410451.8706))"
werkvakken_bestortingen.19,2,,,"POLYGON ((46049.89860000089 412019.44739999995, 46288.131799999624 411920.9589000009, 46192.41809999943 411796.5951000005, 45940.066500000656 411876.55900000036, 46049.89860000089 412019.44739999995))"
werkvakken_bestortingen.20,3,,,"POLYGON ((42236.80820000172 402619.1130999997, 41843.318900000304 402592.2078000009, 41498.59530000016 402563.62099999934, 41194.229499999434 402519.89990000054, 40917.06269999966 402471.68499999866, 40928.97320000082 402540.76579999924, 41095.7201000005 402616.9930000007, 41305.34470000118 402669.3990999982, 41412.539200000465 402743.2441999987, 41722.21189999953 402752.77259999886, 42226.71880000085 402772.1367000006, 42236.80820000172 402619.1130999997))"
werkvakken_bestortingen.21,3,,,"POLYGON ((42117.455899998546 410549.70320000127, 42233.33610000089 410602.2113999985, 42292.18149999902 410632.9921000004, 42320.246199999005 410670.1099999994, 42360.985399998724 410815.8654999994, 42417.1147999987 410796.85390000045, 42383.482400000095 410690.1328999996, 42357.52639999986 410639.55209999904, 42314.93210000172 410592.2989999987, 42137.37280000001 410506.24810000136, 42117.455899998546 410549.70320000127))"
werkvakken_bestortingen.22,3,,,"POLYGON ((37821.799800001085 403066.94849999994, 37873.05139999837 403030.8203999996, 38052.011700000614 403016.53709999844, 38044.449999999255 402850.17969999835, 37828.52129999921 402861.1020999998, 37628.556299999356 402876.2254999988, 37542.01680000126 402951.00239999965, 37547.898099999875 403012.33619999886, 37554.61969999969 403084.5925000012, 37821.799800001085 403066.94849999994))"
