ELEMENTNUMMER,SRT_NAAM,Nederlandse naam,HOOGTE,DIAMETER,AANLEGJAAR,STANDPLAATS,BOOMVORM,EIGENDOM,EINDBEELD,STATUS,COORD_X,COORD_Y,longitude,latitude
"00-01-761-0040","Tilia tomentosa","Zilverlinde","10","20","2006","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105438.156","425689.207","4.66872992381086","51.8185636833616"
"00-01-001-0130","Ulmus x hollandica","","20","35","1980","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105301.461","425610.686","4.66675856203798","51.8178457086829"
"01-03-116-0010","Tilia cordata","Winterlinde","13","30","1975","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","104704.85","424992.798","4.65819524261432","51.812238134676"
"01-03-191-0780","Tilia x europaea 'Euchlora'","Krimlinde","10","25","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","104977.535","424831.083","4.66217315622641","51.8108090234558"
"01-03-191-0520","Tilia x europaea 'Euchlora'","Krimlinde","14","50","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105007.736","424830.331","4.66261123049238","51.8108049711751"
"01-03-191-0530","Tilia x europaea 'Euchlora'","Krimlinde","14","50","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105000.017","424832.305","4.66249900651548","51.8108220233497"
"01-03-191-0540","Tilia x europaea","Hollandse linde","15","35","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","104992.527","424834.162","4.66239012026418","51.8108380442505"
"01-03-041-0180","Fagus sylvatica","Beuk","7","25","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","104952.514","424855.249","4.66180681172345","51.811024003627"
"01-03-191-1000","Tilia x europaea","Hollandse linde","15","40","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","104983.403","424836.642","4.66225744803548","51.8108595185972"
"01-03-191-0550","Tilia x europaea","Hollandse linde","15","35","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","104969.681","424840.465","4.66205790249199","51.8108926524576"
"01-03-371-0090","Pyrus calleryana 'Chanticleer'","","9","25","1985","VERHARDING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","104949.839","424774.414","4.66177971991827","51.8102971504958"
"01-03-371-0080","Pyrus calleryana 'Chanticleer'","","8","15","1985","VERHARDING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","104957.087","424772.503","4.66188510359938","51.8102806230357"
"01-03-371-0070","Pyrus calleryana 'Chanticleer'","","8","15","1985","VERHARDING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","104966.83","424770.073","4.66202674347153","51.8102596540566"
"01-03-371-0030","Pyrus calleryana 'Chanticleer'","","8","15","1985","VERHARDING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","104974.617","424768.152","4.66213994465872","51.8102430848369"
"01-05-576-0200","Tilia x europaea","Hollandse linde","10","25","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105887.996","424966.017","4.67535724027264","51.8121028257628"
"01-05-576-0190","Tilia x europaea","Hollandse linde","8","20","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105898.908","424981.673","4.67551326429384","51.8122445160218"
"01-05-576-0160","Tilia x europaea","Hollandse linde","8","20","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105903.162","425002.981","4.67557193085345","51.8124364251618"
"01-05-576-0140","Tilia x europaea","Hollandse linde","9","20","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105925.728","425034.99","4.67589464533248","51.812726135413"
"01-05-251-0670","Platanus x hispanica","plataan","17","65","1970","GRAS EXTENSIEF","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","106122.592","424788.305","4.67878450695882","51.8105260007186"
"01-05-251-0680","Platanus x hispanica","plataan","17","65","1970","GRAS EXTENSIEF","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","106116.246","424779.421","4.67869373548232","51.8104455875357"
"01-05-251-0690","Platanus x hispanica","plataan","16","65","1970","GRAS INTENSIEF","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","106108.43","424773.445","4.67858123582576","51.8103911850854"
"01-05-251-0700","Platanus x hispanica","plataan","16","70","1970","GRAS INTENSIEF","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","106099.593","424771.01","4.67845342956919","51.810368522619"
"01-05-251-0720","Platanus x hispanica","plataan","16","65","1970","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","106077.394","424779.524","4.67813030422703","51.8104431074873"
"01-05-251-0740","Salix x sepulcralis 'Chrysocoma'","","10","40","1985","GRAS INTENSIEF","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","106089.926","424778.799","4.67831214098723","51.8104376894511"
"01-03-191-0840","Tilia x europaea","Hollandse linde","10","25","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6/8 beide zijde verschil.","Bomenlijst en -structuur","105804.997","424857.004","4.67416908765797","51.811115609351"
"01-03-191-0830","Tilia x europaea","Hollandse linde","10","25","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6/8 beide zijde verschil.","Bomenlijst en -structuur","105816.508","424870.167","4.67433414576281","51.8112349447709"
"01-03-191-0820","Tilia x europaea","Hollandse linde","10","20","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6/8 beide zijde verschil.","Bomenlijst en -structuur","105827.844","424883.016","4.67449671156349","51.8113514420298"
"01-03-191-0230","Tilia x europaea","Hollandse linde","11","20","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6/8 beide zijde verschil.","Bomenlijst en -structuur","105837.897","424894.588","4.67464085379071","51.8114563472155"
"01-03-191-0240","Tilia x europaea","Hollandse linde","12","35","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6/8 beide zijde verschil.","Bomenlijst","105709.146","424747.807","4.67279464001897","51.8101255915152"
"01-03-051-0080","Platanus x hispanica","plataan","18","50","1970","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","105630.268","424899.993","4.67162906234724","51.811486594976"
"01-03-051-0280","Platanus x hispanica","plataan","18","50","1970","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","105638.943","424892.244","4.671755972835","51.8114177080024"
"01-05-576-0220","Tilia x europaea","Hollandse linde","10","25","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105861.57","424927.933","4.67497941916013","51.8117581666733"
"01-03-391-0010","Fagus sylvatica 'Pendula'","","18","95","1930","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105918.592","424856.09","4.67581655190813","51.8111173997146"
"01-03-406-0210","Platanus x hispanica","plataan","17","100","1930","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105984.713","424832.381","4.67677878797718","51.8109100963844"
"01-03-406-0200","Platanus x hispanica","plataan","18","105","1930","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105966.587","424843.928","4.67651429165999","51.8110122978805"
"01-03-406-0190","Platanus x hispanica","plataan","14","40","1975","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6/8 beide zijde verschil.","Bomenlijst en -structuur","105948.192","424855.403","4.67624590336865","51.811113827925"
"01-03-406-0180","Platanus x hispanica","plataan","16","95","1930","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105931.379","424865.695","4.67600062368523","51.8112048626823"
"01-03-406-0170","Platanus x hispanica","plataan","17","95","1930","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105914.384","424876.799","4.67575258839887","51.8113031798678"
"01-03-406-0060","Platanus x hispanica","plataan","17","110","1930","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105955.703","424837.875","4.67635731271322","51.8109569314803"
"01-03-406-0070","Platanus x hispanica","plataan","17","120","1980","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105939.392","424848.15","4.67611931642551","51.8110478578132"
"01-03-406-0090","Platanus x hispanica","plataan","20","120","1930","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105909.35","424868.187","4.67568080860348","51.8112253247846"
"01-03-406-0100","Platanus x hispanica","plataan","17","105","1930","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105892.724","424878.74","4.6754382019616","51.8113187209117"
"01-03-406-0160","Platanus x hispanica","plataan","17","100","1930","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105897.818","424886.935","4.67551091081755","51.8113928330668"
"01-03-406-0150","Platanus x hispanica","plataan","17","110","1930","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105879.766","424898.668","4.67524745552218","51.8114967101331"
"01-03-406-0110","Platanus x hispanica","plataan","18","70","1980","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105875.109","424889.897","4.67518116610739","51.8114174587143"
"01-03-406-0120","Platanus x hispanica","plataan","16","110","1930","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105857.134","424901.409","4.67491885797188","51.8115193552826"
"01-03-406-0140","Platanus x hispanica","plataan","17","95","1930","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105862.364","424909.402","4.67499356726971","51.8115916639862"
