Leveranciersnaam;9410 - Lokale belastingen - waterschapslasten;9520 - BZK Specifiek;9560 - I&M specifiek;Eindtotaal
ADEDE Nederland;;;3;3
AdeHoon;;;2;2
ADGOU;;;2;2
Adigis B.V.;;;1;1
Adinf B.V.;;;4;4
ADoBZ;;;3;3
Adriaanse van der Weel Advocaten;;;2;2
Adse Holding B.V.;;;3;3
Adv.bur. Schadeverg. J.R.M. van der Poel B.V.;;;5;5
Advanced Programs Managed Services B.V.;;;1;1
Adventure and Thrill;;;1;1
Adventurecook;;;1;1
Advies- en Ingenieursbureau Damicom B.V.;;;2;2
Advies Talent B.V.;;;6;6
Adviesbur. voor Bouwconstruct. Wagemaker B.V.;;;7;7
Adviesbureau C2 B.V.;;;5;5
Adviesbureau Gyroscoop;;;4;4
ADVIESBUREAU INZAKE GRONDWATER-;;;3;3
Adviesbureau ir. J.G. Hageman B.V.;;;1;1
Adviesbureau Kiene B.V.;;;3;3
Adviesbureau Kusters B.V.;;;3;3
Adviesbureau Movement;;;2;2
Adviesbureau Omgevingsatlas.nl;;;2;2
Adviesbureau STATEMA B.V.;;;3;3
Adviesbureau VEM;;;3;3
Adviesbureau Wieland;;;2;2
Adviesdienst Mens & Veiligheid B.V.;;;6;6
Advin B.V.;;;8;8
Advisafe Risk Management B.V.;;;3;3
Advitec B.V.;;;3;3
Advocatenkantoor De Haan B.V.;;;1;1
Advocatenpraktijk Acquisition Management B.V.;;;1;1
Ad-voice;;;1;1
Ae Sensors B.V.;;;2;2
Aebi Schmidt Nederland B.V.;;;6;6
AEG BELGIUM N.V.;;;2;2
Aegolius;;;2;2
AEQUATOR Groen & Ruimte B.V.;;;2;2
Aeres Agree Payroll B.V.;;;2;2
Aeres Hogeschool Wageningen;;;1;1
Aeret;;;1;1
AEVO Zuid-Holland;;;5;5
Afvalwater Services B.V.;;;3;3
AGENCIJA 101 D.O.O.;;;1;1
AGM Inspectie;;;2;2
Agmi Traffic B.V.;;;2;2
Agonus Fisheries Consultancy;;;2;2
AGOTEC B.V.;;;5;5
Agrarische Natuur Vereniging 'Het Camperland';;;1;1
Agrowa;;;2;2
Agtersloot Hydraulisch Advies B.V.;;;4;4
Ahead Recruitment B.V.;;;5;5
Ahoy' Horeca B.V.;;;2;2
Ahoy Rotterdam N.V.;;;2;2
Ahrend Inrichten;;;1;1
Ahrend Nederland B.V.;;;2;2
Aicom B.V.;;;3;3
Aikima;;;1;1
Aircr. Develop. and Systems Engineering B.V.;;;4;4
Ajilon Young Professionals B.V.;;;1;1
Akerflex B.V.;;;3;3
akkiDO milieuadvies;;;4;4
Aktis Hydraulics B.V.;;;5;5
Aktiviteitencentrum Poortershoes;;;1;1
AKZO Nobel Industrial Chemicals B.V.;;;6;6
Alan en Pim's Rotterdam B.V.;;;1;1
Alba Secretarisdiensten & Projectbegeleiding;;;4;4
Albeka Nieuwegein;;;1;1
Albert Heijn B.V.;;;1;1
Albron Nederland B.V.;;;1;1
Alcredis Finance B.V.;;;1;1
Alfa Laval Benelux B.V.;;;2;2
Alfabet B.V.;;;1;1
Algemeen Groninger Persbureau Tammeling B.V.;;;1;1
Algemeen Octrooi- en Merkenbureau B.V.;;;1;1
All4Events B.V.;;;1;1
Allekabels B.V.;;;1;1
Alles in beeld;;;1;1
Allgifts.nl B.V.;;;1;1
ALLIANCE FOR LOGISTIC INNOVATION;;;1;1
Allianz Global Assistance;;;9;9
All-round Catering Service Hapjesgigant M & M;;;2;2
Allround Zeilcharter Oxalex B.V.;;;1;1
Alnic B.V.;;;6;6
Aloha Bar;;;1;1
Alpha Holland B.V.;;;1;1
Alphatron Marine B.V.;;;1;1
ALTEA;;;4;4
Alten DDA;;;5;5
Altenburg & Wymenga Ecologisch Onderzoek B.V.;;;5;5
Alterego Consult B.V.;;;1;1
Alticom B.V.;;;1;1
Alt-Tab Bedrijfsondersteuning;;;2;2
Alvero Kantoormeubelverhuur B.V.;;;2;2
Always Sunshine V.O.F.;;;1;1
AL-West B.V.;;;6;6
Amadore Wellness Hotel de Kamperduinen B.V.;;;2;2
Amateur Tuinders Vereniging 'Terbregge';;;2;2
Amazing Bread Company B.V.;;;1;1
AMBAGT | trainen.coachen.counselen;;;2;2
Ambi�nt Advies B.V.;;;5;5
Ambitiekompas B.V.;;;3;3
Ambulance Event Service;;;1;1
Amdyte B.V.;;;1;1
Ameco Adviesgroep Milieubeleid B.V.;;;4;4
Amenddak;;;1;1
Amersfoort Beheer B.V.;;;1;1
Ames Auto Lease B.V.;;;1;1
AMI Maastricht;;;3;3
Amnesty International, Afdeling Nederland;;;1;1
Amos Milieutechniek B.V.;;;1;1
Ampersand Text & Translation;;;1;1
Ampersand, Bureau voor Mediatiek B.V.;;;2;2
Amstelsport;;;1;1
AmsterBammetje;;;2;2
Amsterdam Engineering B.V.;;;4;4
Amsterdam Schiphol Pijpleiding C.V.;;;7;7
Amsterdam Soil;;;1;1
Amsterdamse Lawn Tennis Club Joy-Jaagpad;;;6;6
Amuse, Delicatessen & Wijnen;;;1;1
Amvest Management B.V.;;;1;1
AMVM Advies;;;5;5
Analyse Bureau Safety Inventarisatie B.V.;;;1;1
Ander Licht;;;2;2
Andersson Elffers Felix;;;4;4
Andes B.V.;;;4;4
Andeweg B.V.;;;4;4
Andre Weijers Grond-, Water en Wegenbouw B.V.;;;2;2
Anny van Huet;;;2;2
Anoniem 1001;;;2;2
Anoniem 1002;;;1;1
Anoniem 1005;;;2;2
Anoniem 1007;;;2;2
Anoniem 1009;;;2;2
Anoniem 101;;;1;1
Anoniem 1010;;;1;1
Anoniem 1011;;;1;1
Anoniem 1012;;;2;2
Anoniem 1014;;;2;2
Anoniem 1016;;;1;1
Anoniem 1018;;;1;1
Anoniem 102;;;1;1
Anoniem 1020;;;1;1
Anoniem 1023;;;3;3
Anoniem 103;;;1;1
Anoniem 1030;;;8;8
Anoniem 1031;;;1;1
Anoniem 1033;;;1;1
Anoniem 1034;;;3;3
Anoniem 1036;;;1;1
Anoniem 1037;;;1;1
Anoniem 1038;;;1;1
Anoniem 1039;;;2;2
Anoniem 104;;;1;1
Anoniem 1040;;;1;1
Anoniem 1042;;;4;4
Anoniem 1043;;;2;2
Anoniem 1047;;;1;1
Anoniem 1049;;;3;3
Anoniem 105;;;1;1
Anoniem 1050;;;10;10
Anoniem 1051;;;10;10
Anoniem 106;;;5;5
Anoniem 1060;;;1;1
Anoniem 1062;;;2;2
Anoniem 1063;;;1;1
Anoniem 107;;;4;4
Anoniem 1071;;;7;7
Anoniem 1073;;;3;3
Anoniem 1079;;;2;2
Anoniem 1080;;;2;2
Anoniem 1081;;;2;2
Anoniem 1083;;;1;1
Anoniem 1087;;;3;3
Anoniem 1089;;;1;1
Anoniem 1092;;;1;1
Anoniem 1093;;;1;1
Anoniem 1095;;;1;1
Anoniem 1097;;;1;1
Anoniem 11;;;1;1
Anoniem 110;;;1;1
Anoniem 1101;;;2;2
Anoniem 1104;;;1;1
Anoniem 1105;;;3;3
Anoniem 1108;;;2;2
Anoniem 1109;;;1;1
Anoniem 111;;;2;2
Anoniem 1111;;;2;2
Anoniem 1115;;;1;1
Anoniem 1116;;;2;2
Anoniem 112;;;2;2
Anoniem 1120;;;2;2
Anoniem 1121;;;1;1
Anoniem 1125;;;1;1
Anoniem 1126;;;1;1
Anoniem 1128;;;1;1
Anoniem 1129;;;2;2
Anoniem 1130;;;1;1
Anoniem 1131;;;1;1
Anoniem 1132;;;1;1
Anoniem 1133;;;1;1
Anoniem 1135;;;2;2
Anoniem 1136;;;1;1
Anoniem 1139;;;2;2
Anoniem 1140;;;2;2
Anoniem 1141;;;1;1
Anoniem 1143;;;2;2
Anoniem 1146;;;2;2
Anoniem 1148;;;1;1
Anoniem 1150;;;1;1
Anoniem 1152;;;2;2
Anoniem 1153;;;2;2
Anoniem 1155;;;1;1
Anoniem 1157;;;1;1
Anoniem 1159;;;1;1
Anoniem 116;;;1;1
Anoniem 1162;;;1;1
Anoniem 1163;;;5;5
Anoniem 1164;;;1;1
Anoniem 1168;;;5;5
Anoniem 1169;;;13;13
Anoniem 117;;;3;3
Anoniem 1171;;;1;1
Anoniem 1172;;;9;9
Anoniem 1174;;;1;1
Anoniem 1176;;;9;9
Anoniem 1178;;;4;4
Anoniem 1179;;;1;1
Anoniem 1180;;;1;1
Anoniem 1182;;;1;1
Anoniem 1183;;;1;1
Anoniem 1184;;;1;1
Anoniem 1185;;;2;2
Anoniem 1187;;;1;1
Anoniem 1188;;;8;8
Anoniem 119;;;1;1
Anoniem 1190;;;1;1
Anoniem 1191;;;2;2
Anoniem 1192;;;1;1
Anoniem 1194;;;2;2
Anoniem 1195;;;4;4
Anoniem 1196;;;2;2
Anoniem 12;;;1;1
Anoniem 120;;;8;8
Anoniem 1208;;;1;1
Anoniem 1209;;;1;1
Anoniem 121;;;2;2
Anoniem 1212;;;2;2
Anoniem 1216;;;1;1
Anoniem 1219;;;1;1
Anoniem 1221;;;4;4
Anoniem 1223;;;1;1
Anoniem 1225;;;7;7
Anoniem 1229;;;1;1
Anoniem 1230;;;1;1
Anoniem 1232;;;1;1
Anoniem 1233;;;5;5
Anoniem 124;;;2;2
Anoniem 1241;;;1;1
Anoniem 1246;;;1;1
Anoniem 1249;;;1;1
Anoniem 125;;;1;1
Anoniem 1250;;;1;1
Anoniem 1251;;;1;1
Anoniem 1252;;;2;2
Anoniem 1253;;;2;2
Anoniem 1254;;;3;3
Anoniem 1255;;;2;2
Anoniem 1256;;;5;5
Anoniem 1260;;;1;1
Anoniem 1263;;;3;3
Anoniem 1264;;;12;12
Anoniem 1265;;;3;3
Anoniem 1267;;;1;1
Anoniem 1270;;;2;2
Anoniem 1276;;;1;1
Anoniem 1284;1;;;1
Anoniem 1285;;;1;1
Anoniem 1286;;;2;2
Anoniem 1288;;;2;2
Anoniem 129;;;4;4
Anoniem 1290;;;4;4
Anoniem 1292;;;2;2
Anoniem 1293;;;2;2
Anoniem 1295;;;3;3
Anoniem 1298;;;2;2
Anoniem 1304;;;3;3
Anoniem 1306;;;2;2
Anoniem 1307;;;4;4
Anoniem 1308;;;2;2
Anoniem 1309;;;1;1
Anoniem 1310;;;2;2
Anoniem 1311;;;1;1
Anoniem 1312;;;2;2
Anoniem 1313;;;1;1
Anoniem 1314;;;2;2
Anoniem 1315;;;1;1
Anoniem 1316;;;5;5
Anoniem 1317;;;3;3
Anoniem 1318;;;3;3
Anoniem 1319;;;4;4
Anoniem 132;;;1;1
Anoniem 1320;;;1;1
Anoniem 1321;;;1;1
Anoniem 1322;;;1;1
Anoniem 1323;;;2;2
Anoniem 1324;;;3;3
Anoniem 1325;;;4;4
Anoniem 1326;;;1;1
Anoniem 1327;;;2;2
Anoniem 1328;;;1;1
Anoniem 1329;;;3;3
Anoniem 133;;;2;2
Anoniem 1330;;;1;1
Anoniem 1331;;;5;5
Anoniem 1332;;;5;5
Anoniem 1333;;;2;2
Anoniem 1334;;;1;1
Anoniem 1335;;;7;7
Anoniem 1336;;;2;2
Anoniem 1337;;;1;1
Anoniem 1338;;;1;1
Anoniem 1339;;;2;2
Anoniem 1340;;;3;3
Anoniem 1341;;;1;1
Anoniem 1342;;;1;1
Anoniem 1343;;;1;1
Anoniem 1344;;;4;4
Anoniem 1345;;;1;1
Anoniem 1346;;;2;2
Anoniem 1347;;;1;1
Anoniem 1348;;;3;3
Anoniem 1349;;;5;5
Anoniem 135;;;2;2
Anoniem 1350;;;1;1
Anoniem 1351;;;1;1
Anoniem 1352;;;1;1
Anoniem 1353;;;2;2
Anoniem 1354;;;2;2
Anoniem 1355;;;1;1
Anoniem 1356;;;1;1
Anoniem 1357;;;1;1
Anoniem 1358;;;1;1
Anoniem 1359;;;4;4
Anoniem 1360;;;2;2
Anoniem 1361;;;2;2
Anoniem 1362;;;1;1
Anoniem 1363;;;1;1
Anoniem 1364;;;5;5
Anoniem 1365;;;2;2
Anoniem 1366;;;1;1
Anoniem 1367;;;2;2
Anoniem 1368;;;1;1
Anoniem 1369;;;2;2
Anoniem 1370;;;2;2
Anoniem 1371;;;1;1
Anoniem 1372;;;1;1
Anoniem 1373;;;1;1
Anoniem 1374;;;1;1
Anoniem 1375;;;2;2
Anoniem 1376;;;1;1
Anoniem 1377;;;2;2
Anoniem 1378;;;1;1
Anoniem 1379;;;1;1
Anoniem 1380;;;2;2
Anoniem 1381;;;1;1
Anoniem 1382;;;1;1
Anoniem 1383;;;2;2
Anoniem 1384;;;1;1
Anoniem 1385;;;1;1
Anoniem 1386;;;2;2
Anoniem 1387;;;2;2
Anoniem 1388;;;1;1
Anoniem 1389;;;2;2
Anoniem 1390;;;1;1
Anoniem 1391;;;1;1
Anoniem 1392;;;1;1
Anoniem 1393;;;2;2
Anoniem 1394;;;2;2
Anoniem 1395;;;1;1
Anoniem 1396;;;1;1
Anoniem 1397;;;2;2
Anoniem 1398;;;1;1
Anoniem 1399;;;1;1
Anoniem 14;;;3;3
Anoniem 140;;;2;2
Anoniem 1400;;;4;4
Anoniem 1401;;;3;3
Anoniem 1402;;;1;1
Anoniem 1403;;;1;1
Anoniem 1404;;;1;1
Anoniem 1405;;;2;2
Anoniem 1406;;;2;2
Anoniem 1407;;;2;2
Anoniem 1408;;;1;1
Anoniem 1409;;;2;2
Anoniem 141;;;2;2
Anoniem 1410;;;1;1
Anoniem 1411;;;2;2
Anoniem 1412;;;1;1
Anoniem 1413;;;1;1
Anoniem 1414;;;1;1
Anoniem 1415;;;1;1
Anoniem 1416;;;1;1
Anoniem 1417;;;2;2
Anoniem 1418;;;11;11
Anoniem 1419;;;1;1
Anoniem 1420;;;2;2
Anoniem 1421;;;2;2
Anoniem 1422;;;1;1
Anoniem 1423;;;1;1
Anoniem 1424;;;8;8
Anoniem 1425;;;2;2
Anoniem 1426;;;5;5
Anoniem 1427;;;9;9
Anoniem 1428;;;2;2
Anoniem 1429;;;1;1
Anoniem 143;;;3;3
Anoniem 1430;;;2;2
Anoniem 1431;;;4;4
Anoniem 1432;;;2;2
Anoniem 1433;;;5;5
Anoniem 1434;;;1;1
Anoniem 1435;;;2;2
Anoniem 1436;;;1;1
Anoniem 1437;;;2;2
Anoniem 1438;;;1;1
Anoniem 1439;;;1;1
Anoniem 1440;;;2;2
Anoniem 1441;;;1;1
Anoniem 1442;;;4;4
Anoniem 1443;;;1;1
Anoniem 1444;;;5;5
Anoniem 1445;;;1;1
Anoniem 1446;;;1;1
Anoniem 1447;;;2;2
Anoniem 1448;;;1;1
Anoniem 1449;;;5;5
Anoniem 145;;;10;10
Anoniem 1451;;;1;1
Anoniem 146;;;7;7
Anoniem 1464;;;1;1
Anoniem 147;;;1;1
Anoniem 1471;;;2;2
Anoniem 148;;;1;1
Anoniem 1491;;;1;1
Anoniem 151;;;1;1
Anoniem 152;;;9;9
Anoniem 153;;;1;1
Anoniem 156;;;3;3
Anoniem 157;;;5;5
Anoniem 16;;;1;1
Anoniem 160;;;1;1
Anoniem 162;;;3;3
Anoniem 163;;;2;2
Anoniem 164;;;1;1
Anoniem 166;;;1;1
Anoniem 168;;;2;2
Anoniem 169;;;1;1
Anoniem 170;;;1;1
Anoniem 172;;;1;1
Anoniem 173;;;2;2
Anoniem 174;;;1;1
Anoniem 175;;;4;4
Anoniem 176;;;4;4
Anoniem 177;;;1;1
Anoniem 179;;;1;1
Anoniem 181;;;4;4
Anoniem 182;;;4;4
Anoniem 184;;;4;4
Anoniem 185;;;8;8
Anoniem 186;;;9;9
Anoniem 187;;;1;1
Anoniem 189;;;1;1
Anoniem 19;;;3;3
Anoniem 190;;;1;1
Anoniem 191;;;3;3
Anoniem 192;;;1;1
Anoniem 196;;;3;3
Anoniem 198;;;1;1
Anoniem 199;;;1;1
Anoniem 2;;;7;7
Anoniem 201;;;2;2
Anoniem 202;;;1;1
Anoniem 205;;;3;3
Anoniem 206;;;1;1
Anoniem 21;;;1;1
Anoniem 210;;;2;2
Anoniem 211;;;1;1
Anoniem 214;;;1;1
Anoniem 217;;;1;1
Anoniem 22;;;1;1
Anoniem 221;;;3;3
Anoniem 222;;;3;3
Anoniem 224;;;3;3
Anoniem 226;;;3;3
Anoniem 227;;;9;9
Anoniem 229;;;1;1
Anoniem 230;;;1;1
Anoniem 231;;;1;1
Anoniem 232;;;1;1
Anoniem 235;;;10;10
Anoniem 236;;;1;1
Anoniem 238;;;5;5
Anoniem 24;;;1;1
Anoniem 240;;;1;1
Anoniem 245;;;2;2
Anoniem 25;;;2;2
Anoniem 250;;;1;1
Anoniem 251;;;1;1
Anoniem 252;;;12;12
Anoniem 253;;;2;2
Anoniem 254;;;9;9
Anoniem 255;;;6;6
Anoniem 256;;;7;7
Anoniem 257;;;1;1
Anoniem 258;;;7;7
Anoniem 259;;;10;10
Anoniem 260;;;11;11
Anoniem 261;;;5;5
Anoniem 262;;;6;6
Anoniem 263;;;4;4
Anoniem 264;;;7;7
Anoniem 265;;;10;10
Anoniem 266;;;11;11
Anoniem 267;;;7;7
Anoniem 268;;;10;10
Anoniem 269;;;9;9
Anoniem 270;;;9;9
Anoniem 271;;;4;4
Anoniem 272;;;4;4
Anoniem 273;;;8;8
Anoniem 274;;;7;7
Anoniem 275;;;9;9
Anoniem 276;;;10;10
Anoniem 277;;;8;8
Anoniem 278;;;8;8
Anoniem 279;;;7;7
Anoniem 28;;;1;1
Anoniem 280;;;9;9
Anoniem 283;;;10;10
Anoniem 284;;;1;1
Anoniem 286;;;3;3
Anoniem 29;;;1;1
Anoniem 291;;;1;1
Anoniem 292;;;1;1
Anoniem 296;;;1;1
Anoniem 297;;;1;1
Anoniem 299;;;1;1
Anoniem 3;;;1;1
Anoniem 30;;;1;1
Anoniem 300;;;1;1
Anoniem 301;;;2;2
Anoniem 304;;;1;1
Anoniem 307;;;1;1
Anoniem 309;;;2;2
Anoniem 311;;;1;1
Anoniem 312;;;1;1
Anoniem 315;;;1;1
Anoniem 316;;;2;2
Anoniem 317;;;1;1
Anoniem 318;;;2;2
Anoniem 319;;;1;1
Anoniem 321;;;1;1
Anoniem 323;;;1;1
Anoniem 328;;;1;1
Anoniem 329;;;1;1
Anoniem 332;;;1;1
Anoniem 335;;;1;1
Anoniem 337;;;2;2
Anoniem 338;;;2;2
Anoniem 339;;;3;3
Anoniem 341;;;1;1
Anoniem 343;;;3;3
Anoniem 344;;;4;4
Anoniem 346;;;1;1
Anoniem 347;;;2;2
Anoniem 348;;;3;3
Anoniem 349;;;1;1
Anoniem 35;;;2;2
Anoniem 350;;;3;3
Anoniem 351;;;1;1
Anoniem 354;;;2;2
Anoniem 355;;;2;2
Anoniem 358;;;3;3
Anoniem 359;;;2;2
Anoniem 363;;;2;2
Anoniem 371;;;1;1
Anoniem 374;;;1;1
Anoniem 377;;;1;1
Anoniem 38;;;2;2
Anoniem 381;;;2;2
Anoniem 384;;;1;1
Anoniem 385;;;4;4
Anoniem 387;;;1;1
Anoniem 390;;;11;11
Anoniem 397;;;1;1
Anoniem 398;;;2;2
Anoniem 400;;;1;1
Anoniem 402;;;1;1
Anoniem 405;;;1;1
Anoniem 407;;;5;5
Anoniem 408;;;1;1
Anoniem 41;;;1;1
Anoniem 410;;1;;1
Anoniem 413;;;3;3
Anoniem 42;;;2;2
Anoniem 422;;;1;1
Anoniem 424;;;1;1
Anoniem 426;;;1;1
Anoniem 428;;;1;1
Anoniem 43;;;1;1
Anoniem 430;;;1;1
Anoniem 433;;;1;1
Anoniem 434;;;3;3
Anoniem 435;;;2;2
Anoniem 436;;;2;2
Anoniem 439;;;1;1
Anoniem 442;;;1;1
Anoniem 443;;;1;1
Anoniem 444;;;2;2
Anoniem 445;;;3;3
Anoniem 446;;;1;1
Anoniem 447;;;1;1
Anoniem 449;;;1;1
Anoniem 45;;;2;2
Anoniem 450;;;1;1
Anoniem 451;;;2;2
Anoniem 452;;;3;3
Anoniem 453;;;1;1
Anoniem 457;;;4;4
Anoniem 458;;;2;2
Anoniem 46;;;3;3
Anoniem 465;;;1;1
Anoniem 470;;;1;1
Anoniem 471;;;3;3
Anoniem 475;;;1;1
Anoniem 476;;;2;2
Anoniem 478;;;2;2
Anoniem 479;;;5;5
Anoniem 480;;;4;4
Anoniem 481;;;1;1
Anoniem 484;;;1;1
Anoniem 485;;;3;3
Anoniem 488;;;2;2
Anoniem 491;;;2;2
Anoniem 492;;;3;3
Anoniem 494;;;1;1
Anoniem 497;;;4;4
Anoniem 498;;;1;1
Anoniem 5;;;3;3
Anoniem 50;;;1;1
Anoniem 501;;;1;1
Anoniem 506;;;1;1
Anoniem 507;;;2;2
Anoniem 509;;;1;1
Anoniem 512;;;2;2
Anoniem 514;;;1;1
Anoniem 515;;;1;1
Anoniem 516;;;1;1
Anoniem 519;;;4;4
Anoniem 521;;;1;1
Anoniem 522;;;1;1
Anoniem 528;;;2;2
Anoniem 53;;;2;2
Anoniem 531;;;2;2
Anoniem 532;;;2;2
Anoniem 533;;;1;1
Anoniem 535;;;10;10
Anoniem 537;;;1;1
Anoniem 538;;;1;1
Anoniem 539;;;1;1
Anoniem 54;;;1;1
Anoniem 540;;;2;2
Anoniem 541;;;1;1
Anoniem 542;;;2;2
Anoniem 543;;;2;2
Anoniem 548;;;1;1
Anoniem 549;;;1;1
Anoniem 551;;;2;2
Anoniem 552;;;2;2
Anoniem 556;;;2;2
Anoniem 557;;;2;2
Anoniem 558;;;1;1
Anoniem 56;;;3;3
Anoniem 560;;;1;1
Anoniem 561;;;1;1
Anoniem 563;;;1;1
Anoniem 564;;;2;2
Anoniem 566;;;1;1
Anoniem 57;;;2;2
Anoniem 570;;;2;2
Anoniem 572;;;2;2
Anoniem 573;;;2;2
Anoniem 577;;;4;4
Anoniem 579;;;4;4
Anoniem 58;;;1;1
Anoniem 580;;;10;10
Anoniem 582;;;1;1
Anoniem 584;;;1;1
Anoniem 585;;;1;1
Anoniem 587;;;1;1
Anoniem 59;;;2;2
Anoniem 591;;;1;1
Anoniem 592;;;1;1
Anoniem 596;;;2;2
Anoniem 598;;;1;1
Anoniem 60;;;3;3
Anoniem 604;;;1;1
Anoniem 605;;;2;2
Anoniem 608;;;3;3
Anoniem 610;;;1;1
Anoniem 613;;;1;1
Anoniem 618;;;2;2
Anoniem 619;;;1;1
Anoniem 621;;;2;2
Anoniem 622;;;1;1
Anoniem 626;;;2;2
Anoniem 63;;;1;1
Anoniem 632;;;4;4
Anoniem 633;;;1;1
Anoniem 636;;;4;4
Anoniem 64;;;2;2
Anoniem 642;;;2;2
Anoniem 645;;;1;1
Anoniem 648;;;2;2
Anoniem 652;;;3;3
Anoniem 654;;;2;2
Anoniem 658;;;1;1
Anoniem 660;;;1;1
Anoniem 666;;;1;1
Anoniem 667;;;1;1
Anoniem 668;;;1;1
Anoniem 673;;;2;2
Anoniem 677;;;1;1
Anoniem 679;;;1;1
Anoniem 685;;;1;1
Anoniem 687;;;1;1
Anoniem 689;;;5;5
Anoniem 690;;;1;1
Anoniem 692;;;2;2
Anoniem 694;;;1;1
Anoniem 696;;;1;1
Anoniem 698;;;4;4
Anoniem 7;;;1;1
Anoniem 700;;;1;1
Anoniem 701;;;1;1
Anoniem 702;;;2;2
Anoniem 705;;;1;1
Anoniem 706;;;1;1
Anoniem 707;;;2;2
Anoniem 708;;;3;3
Anoniem 709;;;4;4
Anoniem 712;;;1;1
Anoniem 717;;;1;1
