naam_stembureau,bag_referentie_nummer,Straatnaam,Huisnummer,Huisnummertoevoeging,postcode,_woon_plaats,Gemeente,CBS Gemeentecode,Wijknaam,CBS Wijknummer,Buurtnaam,CBS Buurtnummer,latitude,longitude,X,Y
"De Shelter Scouting, naast ambulancepost",333100000017447,Floraweg,16,,3608 BW,Maarssen,Stichtse Vecht,G1904,Maarssenbroek,WK190412,Boomstede,BK19041204,5.034363,52.121621,130835.6,459325.7
Sportzaal Fazantenkamp,333100000018077,Fazantenkamp,163,,3607 CH,Maarssen,Stichtse Vecht,G1904,Maarssenbroek,WK190412,Fazantenkamp,BK19041203,5.01746,52.131639,129683.64,460446.14
Kerkcentrum De Ark,333100000018656,Duivenkamp,844,,3607 WG,Maarssen,Stichtse Vecht,G1904,Maarssenbroek,WK190412,Duivenkamp,BK19041208,5.02648,52.130903,130300.81,460361.09
RK Verrijzenisgemeenschap,333100000020946,Reigerskamp,611,,3607 JK,Maarssen,Stichtse Vecht,G1904,Maarssenbroek,WK190412,Reigerskamp,BK19041205,5.018255,52.132692,129738.64,460562.99
Jenaplan Basisschool 't Bontenest,333100000017739,Spechtenkamp,232,,3607 KN,Maarssen,Stichtse Vecht,G1904,Maarssenbroek,WK190412,Spechtenkamp,BK19041215,5.017149,52.137616,129665.74,461111.16
Rientjes Mavo,0333100000014396,Valkenkamp,551,,3607MJ,Maarssen,Stichtse Vecht,G1904,Maarssenbroek,WK190412,Valkenkamp,BK19041207,5.015837,52.137049,129575.59,461048.61
Wijkcentrum 't Schuurtje,333100000013240,Zwanenkamp,1305,,3607 NZ,Maarssen,Stichtse Vecht,G1904,Maarssenbroek,WK190412,Zwanenkamp,BK19041206,5.009906,52.141196,129171.98,461512.09
Willem van Hoornhof,333100000018802,Zebraspoor,304,,3605 GP,Maarssen,Stichtse Vecht,G1904,Maarssenbroek,WK190412,Zebraspoor,BK19041210,5.016253,52.141321,129606.48,461523.75
Zwembad Safari,1904100000038179,Bisonspoor,237,,3605 JM,Maarssen,Stichtse Vecht,G1904,Maarssenbroek,WK190412,Bisonspoor,BK19041214,5.026252,52.135893,130288,460916.4
Zwembad Safari,1904100000038179,Bisonspoor,237,,3605 JM,Maarssen,Stichtse Vecht,G1904,Maarssenbroek,WK190412,Bisonspoor,BK19041214,5.026252,52.135893,130288,460916.4
Basisschool Het Kompas 1,333100000017478,Buitenweg,328,,3602 ZK,Maarssen,Stichtse Vecht,G1904,Maarssen,WK190401,Zandweg-Oostwaard,BK19040105,5.053434,52.136105,132149.07,460931.07
Gemeentelijke Sporthal,311100000005088,Broekdijk Oost,28,,3621 LN,Breukelen,Stichtse Vecht,G1904,Breukelen,WK190402,Landgoed Nijenrode,BK19040209,4.9991,52.16386,128445.68,464037.51
Gemeentehuis Boom en Bosch,311100000006432,Markt,13,,3621 AB,Breukelen,Stichtse Vecht,G1904,Breukelen,WK190402,Breukelen Zuid,BK19040213,5.005845,52.170898,128911.3,464818.11
Zwembad 't Kikkerfort 1,311100000005058,Schepersweg,14,a,3621 JK,Breukelen,Stichtse Vecht,G1904,Breukelen,WK190402,Breukelen Noord,BK19040207,4.997963,52.179068,128377.01,465730
OBS De Regenboog,311100000006233,Heycoplaan,13,,3621 WS,Breukelen,Stichtse Vecht,G1904,Breukelen,WK190402,Breukelen Midden,BK19040215,5.000393,52.175531,128541.1,465335.59
Zwembad 't Kikkerfort 2,311100000005058,Schepersweg,14,a,3621 JK,Breukelen,Stichtse Vecht,G1904,Breukelen,WK190402,Breukelen Noord,BK19040207,4.997963,52.179068,128377.01,465730
Dorpshuis Ons Genoegen,311100000009107,Doude van Troostwijkstraat,20,,3626 AV,Nieuwer Ter Aa,Stichtse Vecht,G1904,Nieuwer Ter Aa,WK190404,Nieuwer Ter Aa,BK19040402,4.980634,52.189998,127198.55,466952.49
Sporthal 1 Kockengen,311100000001265,Sportweg,4,,3628 AZ,Kockengen,Stichtse Vecht,G1904,Kockengen,WK190405,Kockengen Dorp,BK19040505,4.954732,52.146957,125398.83,462174.04
Sporthal 2 Kockengen,311100000001265,Sportweg,4,,3628 AZ,Kockengen,Stichtse Vecht,G1904,Kockengen,WK190405,Kockengen Dorp,BK19040505,4.954732,52.146957,125398.83,462174.04
Studio Idee,329100000000524,Doude van Troostwijkplein,47,,3632 BK,Loenen aan de Vecht,Stichtse Vecht,G1904,Loenen aan de Vecht,WK190403,Driehoven,BK19040308,5.019857,52.20898,129891.34,469050.11
Dorpshuis Nigtevecht,329100000004162,Jhr. Huydecoperstraat,1,,1393 NV,Nigtevecht,Stichtse Vecht,G1904,Nigtevecht,WK190408,Nigtevecht Dorp,BK19040804,5.026339,52.273693,130370.26,476248.03
Dorpshuis Vreeland,329100000006066,Fetha,14,,3633 CT,Vreeland,Stichtse Vecht,G1904,Vreeland,WK190406,Vreeland Dorp,BK19040603,5.031538,52.22997,130701.26,471381.59
Montessorischool Loenersloot,329100000003287,Hollandstraat,25,,3634 AS,Loenersloot,Stichtse Vecht,G1904,Loenersloot,WK190410,Loenersloot Dorp,BK19041003,5.001231,52.229629,128630.47,471354.16
Gymzaal Loenen,329100000000528,Hoflaan,2,,3632 BT,Loenen aan de Vecht,Stichtse Vecht,G1904,Loenen aan de Vecht,WK190403,Driehoven,BK19040308,5.017567,52.209069,129734.86,469060.9
