Handelsnaam anonimiseerd;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Red Star Electronics B.V.;;;;;;1;;1
Repromat B.V.;;;;;1;;;1
RevelX Consulting B.V.;;;;;;;2;2
Rexel Nederland B.V.;1;;;;;;;1
Ricoh;;;;;;1;;1
Rittal B.V.;2;1;;;2;;;2
Romex B.V.;1;;;;1;;;1
Romijn IJzerwaren & Gereedschappen B.V.;1;;;;;;;1
Roossien Hoogwerktechniek;1;;;;;;;1
Rotterdam Airport B.V.;;;;;;1;;1
RS Components B.V.;1;;;;1;1;;2
Saab Technologies B.V.;;;;;;2;;2
Sabern B.V.;;;2;;;;;2
Safety Solutions Consultants B.V.;;;;;;1;;1
Sakko Commercial B.V.;1;;;;;;;1
SAP Nederland B.V.;;;;7;;;3;8
Sas Institute B.V.;;;;;;6;;6
Schiphol Nederland B.V.;;;;;;2;;2
Schiphol Telematics B.V.;;;;;;5;;5
Schippers IT B.V.;;;2;;;;;2
Scholten Awater B.V.;7;6;;1;3;4;;7
Scos Software B.V.;;;;;;1;;1
Sdu Uitgevers B.V.;;;;;;1;;1
Sellox B.V.;1;;;;;;;1
Silicon Graphics B.V.;;;;;;4;;4
Simac Electronics B.V.;1;1;;;;;;1
SKF B.V.;;;;;;2;;2
Slimstock B.V.;;;;4;;;2;5
SMS Implementation Engineers B.V.;;;;3;;;;3
SMT Simple Management Technologies B.V.;;;2;;;;;2
Socia B.V.;2;1;;;;;;2
Software AG Nederland B.V.;;;;4;;;2;5
Solipsis B.V.;;;;2;;;;2
SSC Plus B.V.;;;;;;;7;7
Start People;1;;;;;;5;5
StatAlike B.V.;1;;;;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;;;;;1;1
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;;;;;;1;;1
Stichting Bureau Krediet Registratie (BKR);;;;;;3;;3
Stichting Reprorecht;;;;;;4;;4
Strict Consultancy B.V.;;;;;;;2;2
Strict Project Masters B.V.;;;;;;;2;2
Strijbosch B.V.;2;;;;;1;;2
Studio 38C;1;;;;;;;1
SURFmarket;;;;;;3;;3
SURFnet B.V.;;;;;;5;;5
Synergy Benelux B.V.;;;;4;;;;4
Syntro B.V.;;;;;;;1;1
T&T Compet&t.b.v.;;;2;3;;;;3
Tapes Amsterdam B.V.;2;;;;;;;2
Technical Logistic Solutions B.V.;1;;;;;;;1
Technische Unie B.V.;1;;;;;1;;1
Technolution B.V.;;;;;;3;;3
Tedas B.V.;;;;;;2;;2
Tele2 Nederland B.V.;;;;;;2;;2
Telegrootgebruik B.V.;;;;;;7;;7
Telindus-ISIT B.V.;;;;;2;;;2
Telpress Benelux B.V.;;;;2;;;;2
Tensing Safety & Security B.V.;;;;2;;2;;3
Thales Nederland;;;2;;;3;;4
The Future Store;1;;;;;;;1
The MathWorks B.V.;;;2;;1;1;;2
The Two Automatiseringsdiensten B.V.;;;;;;;2;2
TM7 B.V.;;;;;;2;;2
T-Mobile Netherlands B.V.;;;;;;1;;1
TOPdesk Nederland B.V.;;;1;;;;;1
Totech Europe B.V.;1;;;;;;;1
Trescal B.V.;;;;;;2;;2
Trin-IT Software Solutions B.V.;;;;;2;;;2
Trots Consultancy & Detachering B.V.;1;;;;;;;1
TrueCom;1;;;;;;;1
Ukomst B.V.;;;;;;;4;4
Ultimo Software Solutions B.V.;;;;1;2;2;;2
Unique Nederland B.V.;;;;;;;1;1
UNIT4 IT Solutions B.V.;;;;;;1;;1
United4all;3;;;;;;;3
UP learning B.V.;;;;1;;2;;2
Upsell;;;;;;;3;3
V.O.F. Boekbinderij Verschoor;1;;;;;;;1
V.O.F. Boet Schouwink Producties;1;;;;;;;1
Van Dijk Zakelijk B.V.;;;;;;1;;1
Van Hal Totaal;7;2;;;;8;;8
Vanderkooij Telecommunicatie B.V.;2;;2;;;1;;3
Vertimart Consultants B.V.;;;;2;;;;2
Vicrea Solutions B.V.;;;;1;;;;1
Video Duplication Holland B.V.;1;;;;;;;1
Vosko Networking B.V.;6;;;;1;;;6
VX Company External Resources B.V.;;;;;;;2;2
Waidmann;1;;;;;;;1
We-Got-IT B.V.;4;3;2;;;2;;5
Wiba Zevenaar B.V.;1;;;;;;;1
XBWORKS;;;;;;;4;4
Xerox (Nederland) B.V.;1;;;;;7;;7
Xolphin B.V.;;;;;;1;;1
XS4ALL Internet B.V.;;;;;;1;;1
Yacht;;;;;;;7;7
Yorcom Computers B.V.;1;;;;;;;1
YourIT B.V.;;;;;;1;;1
Zalsman B.V.;;;;;;4;;4
Zalsman Print B.V.;;;;;;2;;2
Ziggo B.V.;;;;;;1;;1
Eindtotaal;10;7;10;9;7;10;9;12
