titel_dataset;thema_s;restricties_aan_toegang_tot_data;update_frequentie;data_vanaf_jaar;data_tot_en_met_jaar;bevat_historie;afdeling_dataverzameling;geo_aanduiding_aanwezig;type_geo_data;metadata_aanwezig;mag_data_openbaar;beschikbaar_als_open_data;locatie_open_data;url_open_data;naam_open_data_verzameling;beschikbaar_op_andere_wijze;plaats_data_andere_wijze_toegankelijk;url_data_andere_wijze_toegankelijk;beschikbaar_in_andere_vorm;plaats_data_andere_vorm_toegankelijk;url_data_andere_vorm_toegankelijk
Basisregistratie ondergrond (BRO);Meerdere waarden ingevuld;Intern/extern;Onregelmatig;2018;;Dataverzameling bevat historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Publieke Dienstverlening Op de Kaart (PDOK);https://www.pdok.nl/downloads/-/article/basisregistratie-ondergrond-bro-;BRO Geotechnisch sondeeronderzoek;Volledig beschikbaar op andere wijze;BRO-Loket;https://www.broloket.nl/ondergrondgegevens;Volledig beschikbaar in andere vorm;BRO-Loket;https://www.broloket.nl/ondergrondgegevens
Bewonerstekeningen;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;Onregelmatig;2020;;Dataverzameling bevat geen historie;RU.VPR Voorbereiding & Projectrealisatie;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;n.v.t.;n.v.t.;n.v.t.;Volledig beschikbaar op andere wijze;Tekeningen zijn onderdeel van de informatiebrief die naar omwonenden van projecten gestuurd wordt.;n.v.t.;Niet beschikbaar in andere vorm;;
Branche-indeling markten;Economie;Beperkte groep binnen de organisatie;Onregelmatig;2004;;Dataverzameling bevat geen historie;RU.HH Handhaving;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Collectie-archief Van Abbemuseum;Cultuur en recreatie;Alle medewerkers;Onregelmatig;;;Niet gevuld;VAM Van Abbemuseum;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;Website Van Abbemuseum;https://vanabbemuseum.nl/;Niet beschikbaar in andere vorm;;
Definitieve documenten behorend bij aanbestedingen.;Bestuur;Alle medewerkers;Onregelmatig;2016;;Niet gevuld;FAO.INK Inkoop;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/aanbestedingen-van-gemeente-eindhoven/;data.eindhoven.nl;Volledig beschikbaar op andere wijze;Tenderned;www.tenderned.nl;Niet beschikbaar in andere vorm;;
Erfgoedkaart: Archeologisch Landschap, Archeologische onderzoekslocaties;Cultuur en recreatie;Alle medewerkers;Onregelmatig;1999;2015;Dataverzameling bevat historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://data.eindhoven.nl/explore/dataset/erfgoedkaart-archeologisch-landschap/information/?disjunctive.onderzoektype;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Erfgoedkaart: Fysisch landschap;Ruimte en infrastructuur;Alle medewerkers;Onregelmatig;2009;2015;Dataverzameling bevat historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://data.eindhoven.nl/explore/dataset/erfgoedkaart-fysisch-landschap/information/?disjunctive.soort;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Fietsparkeeronderzoek binnenstad;Verkeer;Alle medewerkers;Onregelmatig;2006;2018;Dataverzameling bevat historie;RE.VMD Verkeer, Milieu en Duurzaamheid;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;I:\VMD\Verkeer\2. Anders en veiliger verplaatsen\1. Projecten\Actieplan Fiets !\monitoring\Fietsparkeertelling 2018;Niet beschikbaar
Groenbeleidsplan kaart ruimtelijke strategieën;Natuur en milieu;Alle medewerkers;;2017;;Niet gevuld;RE.OPR Openbare Ruimte;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;site Eindhoven;www.eindhoven.nl;Niet beschikbaar in andere vorm;;
Groenbeleidsplan rapport;Natuur en milieu;Alle medewerkers;;2016;;Niet gevuld;RE.OPR Openbare Ruimte;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;site Eindhoven;www.eindhoven.nl;Niet beschikbaar in andere vorm;;
Huisnummerkaart;Ruimte en infrastructuur;Intern/extern;Meerdere keren per jaar;2004;;Dataverzameling bevat geen historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
IV3 Jaarrekeningen;Financiën;Alle medewerkers;;2004;;Niet gevuld;FAO Facilitaire en Administratieve Ondersteuning;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Open Spending;http://openspending.nl/;Open Spending;Volledig beschikbaar op andere wijze;CBS - Statline voor derden;https://www.cbs.nl/nl-nl/onze-diensten/open-data/iv3;Niet beschikbaar in andere vorm;;
Indeling stadsdelen, wijken en buurten;Ruimte en infrastructuur;Alle medewerkers;Onregelmatig;2000;;Dataverzameling bevat geen historie;CTRL.OCC.BIO Team Beleidsinformatie & Onderzoek;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl en pdok;http://pdokviewer.pdok.nl    en   https://eindhoven.opendatasoft.com/explore/dataset/buurten/;Buurtgrens;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Inhoud websites Eindhoven Sport;Cultuur en recreatie;Beperkte groep binnen de organisatie;Onregelmatig;2014;;Dataverzameling bevat geen historie;RU.ES Eindhoven Sport;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;Website Eindhoven Sport;https://eindhovensport.nl/activiteit-kalender
Kwaliteitsniveaus openbare ruimte;Ruimte en infrastructuur;Alle medewerkers;;2016;;Niet gevuld;PG.PROGR Programmering;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;n.v.t.;n.v.t.;n.v.t.;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Locaties gereguleerd parkeren;Verkeer;Alle medewerkers;Onregelmatig;2010;;Dataverzameling bevat geen historie;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Data.Eindhoven.nl;https://data.eindhoven.nl/explore/?q=parkeren&sort=modified;"Betreft verscheidene subdatasets: Parkeerplaatsen"", ""Parkeerautomaten"", ""Parkeerborden"", en ""Parkeerreguleringsgebied""""";Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;via www.eindhoven.nl;https://www.eindhoven.nl/parkeergebieden-betaald-parkeren-woonwijken
Meerjarenbegrotingen;Financiën;Beperkte groep binnen de organisatie;Continu;2008;;Dataverzameling bevat geen historie;FAO.FA1 Financiële Administratie 1;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Narrow Casting op eigen sportlocaties;Cultuur en recreatie;Beperkte groep binnen de organisatie;;2015;;Niet gevuld;RU.ES Eindhoven Sport;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;Eigen narrow casting;n.v.t.
Nationaliteitentabel;Bestuur;Intern/extern;Onregelmatig;1900;;Dataverzameling bevat historie;PC.OOD Ontwikkeling & Onderst Dienstverlening;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;n.v.t.;n.v.t.;Volledig beschikbaar in andere vorm;Via RVIG;https://publicaties.rvig.nl/Landelijke_tabellen/Landelijke_tabellen_32_t_m_61_excl_tabel_35
Openbare verlichting;Verkeer;Beperkte groep binnen de organisatie;Continu;1980;;Dataverzameling bevat historie;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/data-openbare-verlichting-2017/;Openbare Verlichting;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Peilingen maatschappelijke impact van de corona crisis op Eindhovenaren;Meerdere waarden ingevuld;Intern/extern;Onregelmatig;2020;;Dataverzameling bevat historie;CTRL.OCC.BIO Team Beleidsinformatie & Onderzoek;Geen geo-aanduiding aanwezig in dataverzameling;;Metadata aanwezig bij dataverzameling;Het betreft open data;Deels beschikbaar als open data;Eindhoven in Cijfers;https://www.eindhoven.nl/bestuur-en-beleid/onderzoek-en-data/feiten-en-cijfers-van-eindhoven;Peilingen Eindhoven in Cijfers;Volledig beschikbaar op andere wijze;Eindhoven in Cijfers;https://www.eindhoven.nl/bestuur-en-beleid/onderzoek-en-data/feiten-en-cijfers-van-eindhoven;Niet beschikbaar in andere vorm;;
Realisatie;Financiën;Beperkte groep binnen de organisatie;Continu;2008;;Dataverzameling bevat historie;FAO.FA1 Financiële Administratie 1;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Deels beschikbaar als open data;Open Spending;https://openspending.nl/eindhoven/realisatie/2020/lasten/hoofdfuncties/;Realisatie lasten hoofdfuncties;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Risicocontouren vervoer gevaarlijke stoffen over de weg;Natuur en milieu;Alle medewerkers;Onregelmatig;2015;;Niet gevuld;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Risicokaart;Openbare orde en veiligheid;Alle medewerkers;Onregelmatig;2004;;Niet gevuld;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;Adres;Metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;landelijke risicokaart;http://www.risicokaart.nl/;Niet beschikbaar in andere vorm;;
Rondje Eindhoven;Verkeer;;;2017;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;in folder;n.v.t.;Niet beschikbaar in andere vorm;;
Ruimtelijke plannen - planinformatie (IMRO);Ruimte en infrastructuur;Alle medewerkers;1 x Per dag;2010;;Dataverzameling bevat geen historie;RE.RO Ruimtelijke Ordening;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl en pdok;https://www.pdok.nl/nl/service/wms-ruimtelijke-plannen;Ruimtelijke plannen;Volledig beschikbaar op andere wijze;www.ruimtelijkeplannen.nl;www.ruimtelijkeplannen.nl;Niet beschikbaar in andere vorm;;
Statische VRI gegevens;Verkeer;Beperkte groep binnen de organisatie;1 x Per maand;2020;;Dataverzameling bevat historie;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Strooiroutes;Verkeer;Alle medewerkers;;;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;n.v.t.;n.v.t.;n.v.t.;Niet beschikbaar op andere wijze;;;Deels beschikbaar in andere vorm;n.v.t.;n.v.t.
Tabel Autoriteit verstrekking;Bestuur;Alle medewerkers;Meerdere keren per jaar;1988;;Dataverzameling bevat historie;PC.OOD Ontwikkeling & Onderst Dienstverlening;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;deels , via Buurtmonitor / CBS;n.v.t.;Volledig beschikbaar in andere vorm;n.v.t.;n.v.t.
Tabel Nederlands reisdocument;Bestuur;Intern/extern;Onregelmatig;1980;;Dataverzameling bevat historie;PC.OOD Ontwikkeling & Onderst Dienstverlening;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;deels , via Buurtmonitor / CBS;n.v.t.;Volledig beschikbaar in andere vorm;Via RVIG;https://publicaties.rvig.nl/Landelijke_tabellen/Landelijke_tabellen_32_t_m_61_excl_tabel_35
Tabel Reden opnemen/beëindigen nationaliteit;Bestuur;Intern/extern;Meerdere keren per jaar;1900;;Dataverzameling bevat historie;PC.OOD Ontwikkeling & Onderst Dienstverlening;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;deels , via Buurtmonitor / CBS;n.v.t.;Niet beschikbaar in andere vorm;;
Vastgoedkaart;Meerdere waarden ingevuld;Alle medewerkers;Onregelmatig;2012;;Dataverzameling bevat historie;EC.EZA Economische Zaken en Arbeidsmarkt;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Deels beschikbaar als open data;als app in www.eindhoven.nl;n.v.t.;als app in www.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Verkeersborden Eindhoven (NDW);Verkeer;Alle medewerkers;1x Per week;2021;;Dataverzameling bevat geen historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Data.Eindhoven.nl;https://data.eindhoven.nl/explore/dataset/dice-data-inventarisatie-en-classificatie-eindhoven/information/?disjunctive.titel_dataset;Verkeersborden Eindhoven (NDW);Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;NDW API;https://docs.ndw.nu/api/trafficsigns/nl/index.html
Verkiezingslocaties;Bestuur;Beperkte groep binnen de organisatie;Onregelmatig;2018;;Dataverzameling bevat geen historie;PC.OOD Ontwikkeling & Onderst Dienstverlening;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Open data portaal en waarismijnstemlokaal.nl;https://eindhoven.opendatasoft.com/pages/home/ en http://www.waarismijnstemlokaal.nl/;stembureaus/afgiftepunten;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Welstandsgebieden;Huisvesting;Alle medewerkers;Onregelmatig;2016;;Dataverzameling bevat geen historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Data.Eindhoven.nl;https://data.eindhoven.nl/explore/dataset/gebiedsgerichte-welstandscriteria/information/;Gebiedsgerichte welstandscriteria;Deels beschikbaar op andere wijze;Website Eindhoven;https://www.eindhoven.nl/gebiedsgerichte-criteria;Niet beschikbaar in andere vorm;;
Buurtpreventie in wijken;Openbare orde en veiligheid;Afdeling;Meerdere keren per jaar;2016;;Dataverzameling bevat geen historie;RE.GE Gebiedsexpertise;Geo-aanduiding aanwezig in dataverzameling;Buurt;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Fietstellingen 8 fietstellers in de stad;Verkeer;Beperkte groep binnen de organisatie;Continu;2014;2021;Dataverzameling bevat historie;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Deels beschikbaar op andere wijze;Externe server van Signco (leverancier fietstellers);https://www.signcoserv.be/map/measuringpoints;Deels beschikbaar in andere vorm;Externe server van Signco;https://www.signcoserv.be/map/measuringpoints
Geschiedenis op straat;Cultuur en recreatie;Alle medewerkers;Onregelmatig;2016;;Dataverzameling bevat geen historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;Website gemeente;http://www.eindhoven.nl/stad/historie-1/Geschiedenis-op-straat.htm
Locaties Intake;Meerdere waarden ingevuld;Alle medewerkers;Continu;2022;;Dataverzameling bevat geen historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;Adres;Metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;Geofundament;https://geofundament.ad.gemehv.nl/WebViewer/Index.html?viewer=Grondbank.EHVHTML#;Locaties Intake;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Postcode-buurt-wijk;Ruimte en infrastructuur;Intern/extern;Meerdere keren per jaar;2015;;Dataverzameling bevat geen historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven;https://data.eindhoven.nl/explore/dataset/postcode-buurt-wijk/information/?disjunctive.straatnaam&disjunctive.postcode6&disjunctive.postcode4&disjunctive.buurtnaam&disjunctive.wijknaam&disjunctive.sta;Postcode Buurt Wijk;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
aanbestedingskalender;Bestuur;Beperkte groep binnen de organisatie;Onregelmatig;2016;;Niet gevuld;FAO.INK Inkoop;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/aanbestedingen-van-gemeente-eindhoven/;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Afvalbakken;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;;2011;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/afvalbakken0/;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Gegevens verordening opkoopbescherming;Meerdere waarden ingevuld;Intern/extern;1 x Per jaar;2022;;Dataverzameling bevat historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;Buurt;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Data.Eindhoven.nl en Overheid.nl;https://data.eindhoven.nl/explore/dataset/werkingsbereik-opkoopbescherming/ en https://zoek.officielebekendmakingen.nl/gmb-2022-87431.html;Werkingsbereik opkoopbescherming en Huisvestingsverordening gemeente Eindhoven;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;Eindhoven.nl;https://www.eindhoven.nl/sites/default/files/2022-03/checklist%20opkoopbescherming.pdf
Productcatalogus Jeugd/WMO;Sociale zekerheid;Beperkte groep binnen de organisatie;1 x Per dag;2015;;Dataverzameling bevat historie;SD Sociaal Domein;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Waterlopen en sloten;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;Continu;2011;;Dataverzameling bevat historie;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Zitbanken;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;;2011;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/zitbanken0/;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Aansluitingen;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;1x Per week;2000;;Dataverzameling bevat geen historie;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Data.Eindhoven.nl;https://data.eindhoven.nl/explore/dataset/riolering-en-aansluitingen;Riolering en aansluitingen;Volledig beschikbaar op andere wijze;ArcGIS Online (dashboard om afstanden in te meten);https://experience.arcgis.com/experience/1b930fe090e845d5b28b527de179630e/page/Page/;Niet beschikbaar in andere vorm;;
