ID,STEMBUREAU,Wijk,GROOTSTEPERWIJK,Buurt,GROOTSTEPERBUURT,,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
14,Stembureau Pannekoekenhuis 't Hof,Oostwijk,P.v.d.A./Europese Sociaaldemocraten,Hofbuurt,P.v.d.A./Europese Sociaaldemocraten,,11,21,11,36,17,75,19,29,15,8,1,6,1,36,0,2
15,Stembureau Daltonschool de Klinker,Oostwijk,P.v.d.A./Europese Sociaaldemocraten,Oostbuurt,P.v.d.A./Europese Sociaaldemocraten,,49,38,38,56,58,107,24,80,41,32,2,25,1,101,5,16
16,Stembureau Basisschool het Christal,Vlaardinger Ambacht,P.v.d.A./Europese Sociaaldemocraten,Babberspolder West,Forum voor Democratie,,23,38,27,45,37,89,43,36,15,34,1,27,1,109,0,7
17,Stembureau Leger des Heils,Vlaardinger Ambacht,P.v.d.A./Europese Sociaaldemocraten,Babberspolder Oost,P.v.d.A./Europese Sociaaldemocraten,,51,68,34,95,63,159,32,54,38,37,1,55,1,127,0,11
18,Stembureau Bethelkerk,Vlaardinger Ambacht,P.v.d.A./Europese Sociaaldemocraten,Oranjebuurt,P.v.d.A./Europese Sociaaldemocraten,,90,146,19,199,52,207,71,121,33,44,2,3,4,82,1,19
19,Stembureau Begraafplaats Emaus,Centrum,Forum voor Democratie,Oranjebuurt,P.v.d.A./Europese Sociaaldemocraten,,36,42,15,115,41,121,37,75,25,35,2,10,0,91,0,14
20,Stembureau Hotel Restaurant Campanile,Vlaardinger Ambacht,P.v.d.A./Europese Sociaaldemocraten,Babberspolder Noord,Forum voor Democratie,,17,28,24,51,21,62,18,24,20,12,0,31,0,92,1,4
21,Stembureau Zorgcentrum De Meerpaal,Holy Zuid,P.v.d.A./Europese Sociaaldemocraten,Vaart Zuid,VVD,,27,62,26,129,26,83,24,20,8,22,0,1,0,65,0,2
22,Stembureau Vaartland,Holy Zuid,P.v.d.A./Europese Sociaaldemocraten,Statenbuurt,P.v.d.A./Europese Sociaaldemocraten,,26,54,12,73,18,80,31,28,14,20,2,2,0,43,0,4
23,Stembureau Het Zonnehuis,Holy Zuid,P.v.d.A./Europese Sociaaldemocraten,Statenbuurt,P.v.d.A./Europese Sociaaldemocraten,,16,29,25,30,25,74,11,21,18,22,0,8,0,65,1,4
24,Stembureau Drie‰n-huysenÿ,Holy Zuid,P.v.d.A./Europese Sociaaldemocraten,Vaart Zuid,VVD,,28,90,28,87,38,113,41,33,17,32,2,0,0,69,0,4
25,Stembureau Kerkcentrum Holy,Holy Zuid,P.v.d.A./Europese Sociaaldemocraten,Vogelbuurt Zuid,P.v.d.A./Europese Sociaaldemocraten,,40,119,47,73,53,168,54,66,40,49,3,41,2,165,0,14
26,Stembureau Kerk van de Nazarener,Holy Zuid,P.v.d.A./Europese Sociaaldemocraten,Sportpark Holy,P.v.d.A./Europese Sociaaldemocraten,,19,31,27,38,37,72,26,24,16,26,0,23,0,71,1,7
27,Stembureau Zorgcentrum Uitzicht,Holy Noord,P.v.d.A./Europese Sociaaldemocraten,Vaart Noord,VVD,,17,45,34,72,13,74,92,37,19,21,0,2,1,70,0,3
28,Stembureau Hoylede,Holy Noord,P.v.d.A./Europese Sociaaldemocraten,Vaart Noord,VVD,,37,61,26,97,38,93,27,41,23,23,1,1,2,87,0,5
29,Stembureau IKC de Ark,Holy Noord,P.v.d.A./Europese Sociaaldemocraten,Hoofdstedenbuurt,P.v.d.A./Europese Sociaaldemocraten,,35,57,41,99,74,136,22,38,26,35,1,17,1,102,3,8
30,Stembureau De Wouthof,Holy Noord,P.v.d.A./Europese Sociaaldemocraten,Hoevenbuurt,P.v.d.A./Europese Sociaaldemocraten,,29,84,64,61,68,177,54,58,32,55,0,20,2,172,1,7
31,Stembureau Begraafplaats Holy,Holy Noord,P.v.d.A./Europese Sociaaldemocraten,Drevenbuurt,VVD,,47,86,24,184,36,143,23,49,37,32,1,0,1,109,0,6
32,Stembureau De Hoeksteen RK Basisschool,Holy Noord,P.v.d.A./Europese Sociaaldemocraten,Drevenbuurt,VVD,,80,85,22,182,52,167,29,92,29,46,2,3,1,136,1,22
