CODE;OBJECTI;STD_KPP;STD_D_S;STD_ID_;WK_KPPL;WK_ID_S;WK_ID_I;BRT_KPP;BRT_D_S;SHP_LNG;SHAP_AR;BRT_NAM;WK_NAAM;STD_NAM;AANTBEV;LFT019;LFT2064;LFT65_;GESLM;GESLV;ETNCBS8;ETNCBS9;AANTGEB;ANTSTRF;NATLOOP;VESTTOT;VERTRTT;SALDVEV;BEVSALD;AANTHH;EPHH;MPHHZK;MPHHMK;EENOUD;SRWON3;SRWON4;SRWON5;SRWON6;SRWON7;SRWON8;SRWON9;SRWON10;SRWON11;SRWON12;SRWON1;SRWON2;SRWON13;EIGEND1;EIGEND3;EIGEND2;EIGEND4;AANTOZB;BVOWON;TTPRS;AKANTOR;AWINKLS;ABEDRJF;AHORECA;AHOTELS;AUITGAN;ACULTUR;AATRACT;ASPORTS;ARECRET;AMEDSCH;ABIJZND;ASCHOLN;AKERKEN;ABIJWON;AOVERIG;VESTTTL;WPTOTAL;POTBERP;NW_2014;WPS1;WPS2;WPS3;WPS4;WPS5;WPS6;WPS7;WPS8;WPS9;PARTAUT;PARTMTR
11;11;05 Centrum;05;5;28 Centrum;28;28;11 Kortenbos;11;3935.675825410000016;630543.690850000013597;Kortenbos;Centrum;Centrum;7271;1134;5222;915;3664;3607;3303;3968;0;0;0;0;0;0;0;4387;2699;979;422;287;156;952;419;2070;317;44;246;0;2;0;292;3914;76;1313;1372;1411;186;4282;404334;191375;85;305;49;92;6;1;3;0;3;12;14;1;2;6;1;597;0;0;5524;0;0;0;0;0;0;0;0;0;0;0;0
12;12;05 Centrum;05;5;28 Centrum;28;28;12 Voorhout;12;3434.939789770000061;621221.579350000014529;Voorhout;Centrum;Centrum;2367;213;1793;361;1280;1087;1136;1231;0;0;0;0;0;0;0;1549;992;427;93;37;107;877;21;273;7;21;181;0;2;0;204;1285;56;512;794;161;78;1545;192692;377825;366;323;25;126;6;5;10;0;3;7;6;0;3;8;0;192;0;0;1843;0;0;0;0;0;0;0;0;0;0;0;0
13;13;05 Centrum;05;5;28 Centrum;28;28;13 Uilebomen;13;2193.562031999999817;286998.104449999984354;Uilebomen;Centrum;Centrum;3190;506;2309;375;1661;1529;1207;1983;0;0;0;0;0;0;0;1908;1078;475;204;151;76;276;232;1210;8;18;62;0;1;0;81;1802;12;439;581;781;94;1895;185374;230426;64;95;21;47;1;1;2;0;2;3;6;0;1;2;0;165;0;0;2416;0;0;0;0;0;0;0;0;0;0;0;0
14;14;05 Centrum;05;5;28 Centrum;28;28;14 Zuidwal;14;4051.745418309999877;507328.660299999988638;Zuidwal;Centrum;Centrum;6900;880;5289;731;3551;3349;2929;3971;0;0;0;0;0;0;0;4469;2847;958;344;320;264;1140;366;1941;50;28;295;1;1;0;325;3761;167;676;1438;2041;98;4253;362001;162572;77;426;155;145;6;7;5;0;4;5;14;0;6;5;0;496;0;0;5516;0;0;0;0;0;0;0;0;0;0;0;0
15;15;05 Centrum;05;5;29 Schildersbuurt;29;29;15 Schildersbuurt-West;15;4191.966614250000021;643674.228899999987334;Schildersbuurt-West;Schildersbuurt;Centrum;14142;3968;8913;1261;7134;7008;1077;13065;0;0;0;0;0;0;0;6248;2717;1023;1652;856;507;606;383;2463;795;79;472;0;0;0;551;4754;65;1354;841;3121;54;5370;488663;125422;29;102;60;39;0;0;0;0;2;13;9;1;12;10;0;201;0;0;10040;0;0;0;0;0;0;0;0;0;0;0;0
16;16;05 Centrum;05;5;29 Schildersbuurt;29;29;16 Schildersbuurt-Noord;16;3175.110645360000035;472417.618750000023283;Schildersbuurt-Noord;Schildersbuurt;Centrum;9991;2837;6074;1080;4937;5054;1139;8852;0;0;0;0;0;0;0;4591;2163;693;1048;687;230;264;322;2630;10;87;591;1;0;0;679;3456;10;625;359;3125;36;4145;373528;117699;13;56;17;21;0;0;2;0;5;11;14;0;8;5;0;121;0;0;6863;0;0;0;0;0;0;0;0;0;0;0;0
17;17;05 Centrum;05;5;29 Schildersbuurt;29;29;17 Schildersbuurt-Oost;17;3028.30492366999988;348506.791949999984354;Schildersbuurt-Oost;Schildersbuurt;Centrum;7241;2160;4374;707;3574;3667;454;6787;0;0;0;0;0;0;0;3033;1178;496;853;506;101;163;86;1067;803;58;347;1;0;0;406;2220;7;417;143;2070;3;2633;259010;125454;3;23;50;10;0;0;1;0;0;4;3;1;2;0;0;93;0;0;5031;0;0;0;0;0;0;0;0;0;0;0;0
18;18;05 Centrum;05;5;27 Stationsbuurt;27;27;18 Huygenspark;18;3782.156982710000193;465588.158300000010058;Huygenspark;Stationsbuurt;Centrum;7925;1505;5868;552;3959;3966;1992;5933;0;0;0;0;0;0;0;5272;3725;796;418;333;145;380;199;2856;27;10;268;0;1;0;279;3607;651;406;568;3099;464;4537;320177;120096;39;93;31;36;2;0;0;0;0;2;6;0;2;1;0;204;0;0;6457;0;0;0;0;0;0;0;0;0;0;0;0
19;19;06 Laak;06;6;38 Laakkwartier en Spoorwijk;38;38;19 Laakhaven-Oost;19;2741.943986629999927;337671.368799999996554;Laakhaven-Oost;Laakkwartier en Spoorwijk;Laak;4077;861;2871;345;1991;2086;777;3300;0;0;0;0;0;0;0;2410;1420;432;287;271;17;17;245;1253;6;11;41;0;0;0;52;1538;580;382;198;1587;3;2170;161455;145185;33;29;17;7;0;0;0;0;1;2;3;0;1;0;0;80;0;0;3157;0;0;0;0;0;0;0;0;0;0;0;0
20;20;02 Escamp;02;2;36 Moerwijk;36;36;20 Moerwijk-Oost;20;2988.899026470000081;385900.411248999997042;Moerwijk-Oost;Moerwijk;Escamp;3272;798;2110;364;1751;1521;771;2501;0;0;0;0;0;0;0;1776;1038;223;288;227;0;0;16;1451;0;16;118;2;0;0;136;1467;20;137;16;1449;21;1623;126960;97791;9;16;16;6;0;0;0;0;1;0;7;0;1;2;0;134;0;0;2250;0;0;0;0;0;0;0;0;0;0;0;0
21;21;05 Centrum;05;5;37 Groente- en Fruitmarkt;37;37;21 Groente- en Fruitmarkt;21;3484.911486349999905;495612.355700000014622;Groente- en Fruitmarkt;Groente- en Fruitmarkt;Centrum;5254;1530;3389;335;2740;2514;573;4681;0;0;0;0;0;0;0;2178;794;422;707;255;88;211;74;469;368;101;338;0;0;0;439;1210;82;709;456;555;11;1731;181983;141686;18;41;82;4;1;1;0;0;0;7;5;0;3;1;0;73;0;0;3801;0;0;0;0;0;0;0;0;0;0;0;0
22;22;06 Laak;06;6;38 Laakkwartier en Spoorwijk;38;38;22 Laakhaven-West;22;3997.946714860000156;615536.978549999999814;Laakhaven-West;Laakkwartier en Spoorwijk;Laak;5523;1299;3760;464;2808;2715;1005;4518;0;0;0;0;0;0;0;3144;1955;403;500;286;0;3;223;2480;0;14;49;0;0;0;63;2706;80;485;492;1443;429;2849;213283;113656;36;85;145;7;0;0;0;0;4;1;4;2;4;3;0;216;0;0;4115;0;0;0;0;0;0;0;0;0;0;0;0
23;23;06 Laak;06;6;38 Laakkwartier en Spoorwijk;38;38;23 Spoorwijk;23;2644.853964020000149;332664.652650000003632;Spoorwijk;Laakkwartier en Spoorwijk;Laak;4338;1242;2779;317;2150;2188;941;3397;0;0;0;0;0;0;0;1882;704;322;561;295;170;228;25;288;35;184;646;0;26;0;856;746;5;579;118;905;5;1607;162235;152791;1;3;0;3;0;0;0;0;1;4;3;0;1;1;0;36;0;0;3083;0;0;0;0;0;0;0;0;0;0;0;0
24;24;06 Laak;06;6;38 Laakkwartier en Spoorwijk;38;38;24 Laakkwartier-West;24;3251.98481903999982;467297.103950000018813;Laakkwartier-West;Laakkwartier en Spoorwijk;Laak;8115;1901;5592;622;4278;3837;2414;5701;0;0;0;0;0;0;0;3987;1722;924;915;426;230;348;10;197;2171;69;470;0;0;0;539;2956;12;1760;1323;410;14;3507;300596;117821;10;79;13;16;0;1;1;0;2;2;13;0;6;5;0;61;0;0;6036;0;0;0;0;0;0;0;0;0;0;0;0
25;25;06 Laak;06;6;38 Laakkwartier en Spoorwijk;38;38;25 Laakkwartier-Oost;25;3977.153496339999947;558978.172600000048988;Laakkwartier-Oost;Laakkwartier en Spoorwijk;Laak;11277;2488;7853;936;5885;5392;3464;7813;0;0;0;0;0;0;0;5837;2617;1510;1164;546;169;327;36;195;4027;34;292;0;0;0;326;4754;20;2537;2359;183;21;5100;422455;112908;11;65;31;20;0;0;1;0;1;2;7;0;6;1;0;102;0;0;8425;0;0;0;0;0;0;0;0;0;0;0;0
26;26;06 Laak;06;6;38 Laakkwartier en Spoorwijk;38;38;26 Noordpolderbuurt;26;2926.040825330000189;494430.78035000001546;Noordpolderbuurt;Laakkwartier en Spoorwijk;Laak;8401;2059;5680;662;4360;4041;1322;7079;0;0;0;0;0;0;0;4247;2106;827;803;511;179;232;98;1351;1420;20;154;0;0;0;174;3280;74;900;1005;1607;16;3528;314005;112756;11;82;10;18;0;0;0;0;2;7;12;0;4;4;0;55;0;0;6239;0;0;0;0;0;0;0;0;0;0;0;0
30;27;02 Escamp;02;2;31 Rustenburg en Oostbroek;31;31;30 Rustenburg;30;2529.11700873000018;344178.212249999982305;Rustenburg;Rustenburg en Oostbroek;Escamp;6116;1324;4130;662;3182;2934;2913;3203;0;0;0;0;0;0;0;3130;1428;728;678;296;91;90;0;134;1963;70;570;0;0;0;640;2278;6;1624;811;485;4;2924;242161;124521;6;21;13;9;0;0;0;0;2;4;3;0;2;0;0;40;0;0;4389;0;0;0;0;0;0;0;0;0;0;0;0
31;28;02 Escamp;02;2;31 Rustenburg en Oostbroek;31;31;31 Oostbroek-Noord;31;2061.086820129999978;225317.44484999999986;Oostbroek-Noord;Rustenburg en Oostbroek;Escamp;4516;1028;3169;319;2344;2172;1405;3111;0;0;0;0;0;0;0;2283;1028;530;507;218;1;13;4;2;1972;3;23;0;0;0;26;1992;15;1257;763;6;7;2033;177326;119775;13;72;5;19;0;0;0;0;0;2;13;0;1;2;0;45;0;0;3390;0;0;0;0;0;0;0;0;0;0;0;0
32;29;05 Centrum;05;5;30 Transvaalkwartier;30;30;32 Transvaalkwartier-Noord;32;1905.627758370000038;184702.169200000003912;Transvaalkwartier-Noord;Transvaalkwartier;Centrum;3947;1006;2553;388;1941;2006;339;3608;0;0;0;0;0;0;0;1938;947;331;399;261;116;389;118;933;118;0;78;0;1;0;79;1674;6;194;367;1183;15;1759;152700;96656;1;71;32;15;0;0;0;0;1;5;3;0;1;2;0;31;0;0;2821;0;0;0;0;0;0;0;0;0;0;0;0
33;30;05 Centrum;05;5;30 Transvaalkwartier;30;30;33 Transvaalkwartier-Midden;33;2198.690892460000214;273282.958749999990687;Transvaalkwartier-Midden;Transvaalkwartier;Centrum;5001;1457;2964;580;2508;2493;372;4629;0;0;0;0;0;0;0;2163;926;400;616;221;99;266;71;815;268;27;274;1;1;0;303;1519;7;513;503;803;10;1829;187626;133345;7;86;19;21;0;0;1;0;0;5;9;0;4;2;0;217;0;0;3267;0;0;0;0;0;0;0;0;0;0;0;0
34;31;05 Centrum;05;5;30 Transvaalkwartier;30;30;34 Transvaalkwartier-Zuid;34;2516.191540499999974;361133.236050000006799;Transvaalkwartier-Zuid;Transvaalkwartier;Centrum;7251;2111;4632;508;3742;3509;471;6780;0;0;0;0;0;0;0;3080;1246;569;937;328;97;83;93;428;1246;78;451;0;0;0;529;1947;9;1126;641;687;31;2485;250044;131908;15;73;19;23;0;2;0;0;2;4;8;0;10;3;0;83;0;0;5191;0;0;0;0;0;0;0;0;0;0;0;0
35;32;02 Escamp;02;2;31 Rustenburg en Oostbroek;31;31;35 Oostbroek-Zuid;35;2838.312764509999852;376744.246749999991152;Oostbroek-Zuid;Rustenburg en Oostbroek;Escamp;8114;2005;5595;514;4156;3958;2177;5937;0;0;0;0;0;0;0;3958;1723;894;943;398;2;14;0;179;3157;15;61;0;0;0;76;3352;10;1969;1422;32;15;3438;286274;114404;10;83;5;10;0;0;0;0;1;2;10;0;3;1;0;64;0;0;6030;0;0;0;0;0;0;0;0;0;0;0;0
36;33;02 Escamp;02;2;35 Zuiderpark;35;35;36 Zuiderpark;36;4439.054639400000269;1082118.962749999947846;Zuiderpark;Zuiderpark;Escamp;111;1;23;87;42;69;90;21;0;0;0;0;0;0;0;95;79;16;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;100;0;100;7337;101090;4;0;3;5;0;0;1;0;10;8;0;1;0;1;0;11;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0
37;34;02 Escamp;02;2;36 Moerwijk;36;36;37 Moerwijk-West;37;3087.615854010000021;508980.116099999984726;Moerwijk-West;Moerwijk;Escamp;6251;1633;3771;847;3179;3072;1611;4640;0;0;0;0;0;0;0;3288;1773;428;529;558;13;30;0;2842;18;34;119;0;0;0;153;2903;36;167;76;2833;16;3092;241913;93639;4;75;3;13;0;0;0;0;3;5;6;0;3;2;0;67;0;0;4083;0;0;0;0;0;0;0;0;0;0;0;0
38;35;02 Escamp;02;2;36 Moerwijk;36;36;38 Moerwijk-Noord;38;3796.065980010000203;474346.584150000009686;Moerwijk-Noord;Moerwijk;Escamp;7047;1810;4523;714;3642;3405;1864;5183;0;0;0;0;0;0;0;3533;1634;706;723;470;3;34;34;1469;1302;25;263;0;0;0;288;2842;2;1171;473;1477;11;3132;263221;111025;5;9;5;7;0;1;0;0;2;1;4;0;7;1;0;57;0;0;4939;0;0;0;0;0;0;0;0;0;0;0;0
39;36;02 Escamp;02;2;36 Moerwijk;36;36;39 Moerwijk-Zuid;39;3187.660966219999864;433185.099849999998696;Moerwijk-Zuid;Moerwijk;Escamp;4603;1209;2980;414;2428;2175;1178;3425;0;0;0;0;0;0;0;2442;1354;354;459;275;92;74;35;1782;0;52;257;0;0;0;309;1983;3;322;45;1908;20;2295;175414;105476;10;9;6;1;0;0;0;0;0;7;7;0;2;2;0;35;0;0;3148;0;0;0;0;0;0;0;0;0;0;0;0
40;37;01 Loosduinen;01;1;18 Waldeck;18;18;40 Nieuw Waldeck;40;3399.221526389999781;645661.383249999955297;Nieuw Waldeck;Waldeck;Loosduinen;7209;1565;4132;1512;3438;3771;4540;2669;0;0;0;0;0;0;0;3476;1493;819;751;413;94;100;585;942;266;369;1004;8;5;0;1386;1987;8;1046;170;2163;2;3381;346447;165996;2;9;3;2;0;0;1;0;0;6;6;0;2;0;0;394;0;0;4514;0;0;0;0;0;0;0;0;0;0;0;0
41;38;04 Scheveningen;04;4;10 Zorgvliet;10;10;41 Zorgvliet;41;3864.564169419999871;875515.336050000041723;Zorgvliet;Zorgvliet;Scheveningen;503;83;249;171;258;245;270;233;0;0;0;0;0;0;0;275;118;109;38;10;25;22;1;208;0;7;14;11;18;0;50;256;4;193;100;8;9;310;59117;611912;83;0;0;2;3;0;5;0;0;1;2;0;4;0;0;90;0;0;265;0;0;0;0;0;0;0;0;0;0;0;0
42;39;04 Scheveningen;04;4;11 Duinoord;11;11;42 Stadhoudersplantsoen;42;2223.074960360000205;233285.387450000009267;Stadhoudersplantsoen;Duinoord;Scheveningen;1970;359;1200;411;930;1040;1055;915;0;0;0;0;0;0;0;1154;652;265;179;58;80;225;43;693;2;6;106;0;0;0;112;1043;9;544;505;92;23;1164;138874;277799;21;30;5;10;0;0;1;0;2;1;4;0;3;1;0;288;0;0;1255;0;0;0;0;0;0;0;0;0;0;0;0
43;40;04 Scheveningen;04;4;11 Duinoord;11;11;43 Sweelinckplein eo;43;3163.005935310000041;444781.802800000004936;Sweelinckplein eo;Duinoord;Scheveningen;5823;1259;3891;673;2870;2953;3479;2344;0;0;0;0;0;0;0;3012;1453;793;615;151;660;1411;0;279;79;32;378;0;6;0;416;2429;35;1674;1032;139;35;2880;416161;351917;48;69;23;14;3;0;0;0;1;1;11;0;3;4;0;133;0;0;4165;0;0;0;0;0;0;0;0;0;0;0;0
44;41;03 Segbroek;03;3;21 Regentessekwartier;21;21;44 Koningsplein eo;44;2923.863333050000165;427338.728600999980699;Koningsplein eo;Regentessekwartier;Segbroek;7584;1367;5495;722;3760;3824;4229;3355;0;0;0;0;0;0;0;4245;2240;1079;666;260;869;2145;82;358;18;30;385;0;0;0;415;3472;65;1704;1743;443;62;3952;429977;223364;22;142;29;32;0;0;1;0;2;2;9;0;0;2;0;73;0;0;5766;0;0;0;0;0;0;0;0;0;0;0;0
45;42;05 Centrum;05;5;22 Zeeheldenkwartier;22;22;45 Zeeheldenkwartier;45;4064.386327619999975;812819.863148999982513;Zeeheldenkwartier;Zeeheldenkwartier;Centrum;11853;1960;8627;1266;5982;5871;6208;5645;0;0;0;0;0;0;0;6767;3918;1557;839;453;709;2267;211;1932;201;51;673;4;1;0;729;5320;198;2237;2180;1531;299;6247;688647;241938;150;254;88;80;5;1;3;0;8;4;23;0;3;4;0;482;0;0;9114;0;0;0;0;0;0;0;0;0;0;0;0
46;43;05 Centrum;05;5;05 Archipelbuurt;05;5;46 Archipelbuurt;46;4071.453740349999862;871290.805851000011899;Archipelbuurt;Archipelbuurt;Centrum;6106;1168;3619;1319;2908;3198;3534;2572;0;0;0;0;0;0;0;3391;1853;806;549;183;390;892;141;1097;75;96;783;16;42;0;937;2595;49;2000;1025;492;64;3581;524140;443721;174;53;35;14;2;0;1;0;2;5;11;2;1;2;0;319;0;0;3943;0;0;0;0;0;0;0;0;0;0;0;0
47;44;05 Centrum;05;5;23 Willemspark;23;23;47 Willemspark;47;2880.523694429999978;345816.778349999978673;Willemspark;Willemspark;Centrum;1491;197;1013;281;764;727;754;737;0;0;0;0;0;0;0;944;576;232;104;32;64;275;51;472;4;12;211;4;2;0;229;866;12;422;622;37;26;1107;129829;372093;144;74;9;23;13;0;2;0;2;1;7;0;2;0;0;210;0;0;1057;0;0;0;0;0;0;0;0;0;0;0;0
48;45;07 Haagse Hout;07;7;04 Benoordenhout;04;4;48 Nassaubuurt;48;2172.586033449999832;287010.696300000010524;Nassaubuurt;Benoordenhout;Haagse Hout;1633;410;895;328;785;848;930;703;0;0;0;0;0;0;0;763;292;239;197;35;49;127;0;142;80;37;310;1;0;0;348;398;14;530;216;8;6;760;155460;550149;45;27;3;3;0;0;0;0;1;0;4;0;2;0;0;19;0;0;990;0;0;0;0;0;0;0;0;0;0;0;0
49;46;07 Haagse Hout;07;7;24 Haagse Bos;24;24;49 Haagse Bos;49;6098.932085450000159;1277111.328650000039488;Haagse Bos;Haagse Bos;Haagse Hout;436;32;225;179;212;224;225;211;0;0;0;0;0;0;0;272;194;56;19;3;6;20;8;298;8;0;0;1;0;0;1;340;3;162;141;32;9;344;35920;176757;18;2;0;2;0;0;0;0;0;0;0;0;1;0;0;75;0;0;231;0;0;0;0;0;0;0;0;0;0;0;0
50;47;03 Segbroek;03;3;12 Bomen- en Bloemenbuurt;12;12;50 Bloemenbuurt-West;50;2945.92803425000011;282151.538600000028964;Bloemenbuurt-West;Bomen- en Bloemenbuurt;Segbroek;2348;504;1256;588;1087;1261;1815;533;0;0;0;0;0;0;0;1105;445;295;280;85;107;118;0;344;97;62;358;0;0;0;420;666;5;941;132;17;1;1091;143879;294658;4;1;0;0;0;0;1;0;1;0;6;0;3;1;0;50;0;0;1385;0;0;0;0;0;0;0;0;0;0;0;0
51;48;03 Segbroek;03;3;12 Bomen- en Bloemenbuurt;12;12;51 Bloemenbuurt-Oost;51;3533.676993550000134;611403.266999999992549;Bloemenbuurt-Oost;Bomen- en Bloemenbuurt;Segbroek;6464;1343;3850;1271;2942;3522;4465;1999;0;0;0;0;0;0;0;3381;1566;837;685;293;162;240;18;1186;1471;29;224;8;22;0;283;3077;11;2315;887;165;4;3371;368277;211723;10;59;18;12;0;0;0;0;3;1;9;0;4;1;0;134;0;0;4164;0;0;0;0;0;0;0;0;0;0;0;0
52;49;03 Segbroek;03;3;12 Bomen- en Bloemenbuurt;12;12;52 Bomenbuurt;52;3257.506950909999887;530968.127650000038557;Bomenbuurt;Bomen- en Bloemenbuurt;Segbroek;5883;1162;3559;1162;2725;3158;3871;2012;0;0;0;0;0;0;0;3086;1479;764;590;253;99;358;0;842;1479;19;335;3;0;0;357;2778;40;2024;854;263;34;3175;367558;227941;32;129;21;22;0;0;1;0;3;1;17;0;7;1;0;166;0;0;3780;0;0;0;0;0;0;0;0;0;0;0;0
53;50;03 Segbroek;03;3;19 Vruchtenbuurt;19;19;53 Vruchtenbuurt;53;3449.262385619999804;535095.012349999975413;Vruchtenbuurt;Vruchtenbuurt;Segbroek;7164;1738;4277;1149;3389;3775;5356;1808;0;0;0;0;0;0;0;3218;1158;829;940;291;217;448;0;207;1597;51;674;0;0;0;725;2469;10;2558;458;172;16;3204;399664;255937;12;71;22;8;0;0;0;0;3;2;25;0;2;1;0;68;0;0;4664;0;0;0;0;0;0;0;0;0;0;0;0
54;51;03 Segbroek;03;3;20 Valkenboskwartier;20;20;54 Heesterbuurt;54;3204.681052649999856;410936.833649999985937;Heesterbuurt;Valkenboskwartier;Segbroek;6824;1404;4711;709;3300;3524;3848;2976;0;0;0;0;0;0;0;3770;1935;805;609;421;113;228;0;162;2925;13;153;1;2;0;169;3428;12;1857;805;930;17;3609;313717;151426;5;28;40;13;0;0;1;0;0;3;9;0;1;3;0;75;0;0;5000;0;0;0;0;0;0;0;0;0;0;0;0
55;52;03 Segbroek;03;3;20 Valkenboskwartier;20;20;55 Valkenboskwartier;55;3405.794777659999909;658992.483149999985471;Valkenboskwartier;Valkenboskwartier;Segbroek;11463;2189;8160;1114;5721;5742;5267;6196;0;0;0;0;0;0;0;6217;3137;1506;1061;513;1050;2166;51;311;1625;34;478;0;0;0;512;5203;95;2958;2607;178;67;5810;571104;168861;35;140;85;59;0;1;1;0;4;6;14;1;5;7;0;227;0;0;8671;0;0;0;0;0;0;0;0;0;0;0;0
