FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,doorstroomoppervlakte,opmerkingen,stakeholders,afwijking,gdb_geomattr_data,shape
duiker_vlak_legger.11,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker KRW De Zande,ON,IJssel,"YS3.KZ.L.982,166.--",-99,,,0,,"POLYGON ((195104.88100000098 503503.3200000003, 195114.5610000007 503510.44299999997, 195115.91600000113 503508.55700000003, 195106.30000000075 503501.42500000075, 195104.88100000098 503503.3200000003))"
duiker_vlak_legger.12,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker KRW De Zande,ON,IJssel,"YS3.KZ.L.982,165.--",-99,,,0,,"POLYGON ((195104.87700000033 503503.3929999992, 195103.79100000113 503504.8920000009, 195113.42799999937 503511.95600000024, 195114.51099999994 503510.493999999, 195104.87700000033 503503.3929999992))"
duiker_vlak_legger.13,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uitstroom Havikerwaard,ON,IJssel,"YS1.KZ.L.891,090.--",-99,,,0,,"POLYGON ((201903.25299999863 447500.0549999997, 201903.60799999908 447510.0249999985, 201904.62900000066 447509.98800000176, 201904.2740000002 447500.0179999992, 201903.25299999863 447500.0549999997))"
duiker_vlak_legger.14,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uitstroom Herxer uiterwaarden,ON,IJssel,"YS2.KZ.R.970,584.000.--",-99,,,0,,"POLYGON ((204945.70059999824 494094.78830000013, 204942.04839999974 494093.76740000024, 204941.84690000117 494094.4648000002, 204945.50769999996 494095.503800001, 204945.60449999943 494095.53130000085, 204948.7697999999 494096.42969999835, 204948.813000001 494096.44200000167, 204949.01900000125 494095.71599999815, 204948.9796999991 494095.7049999982, 204945.7976000011 494094.81540000066, 204945.70059999824 494094.78830000013))"
duiker_vlak_legger.15,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Toegangsweg Suis Amerongen,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL2.KZ.R.922,050.--",-99,,,0,,"POLYGON ((156589.13060000166 443245.9880999997, 156589.0833999999 443245.97150000185, 156587.96460000053 443249.2846999988, 156588.0122999996 443249.3009000011, 156588.7789000012 443249.561900001, 156592.74130000174 443250.91110000014, 156601.19909999892 443253.79100000113, 156602.34739999846 443254.18200000003, 156605.2831000015 443255.1816000007, 156620.03510000184 443260.2047000006, 156620.0832999982 443260.2210999988, 156621.08399999887 443257.20369999856, 156621.0373999998 443257.1873999983, 156609.57779999822 443253.1651000008, 156609.4833999984 443253.1319999993, 156607.2157999985 443252.3359999992, 156607.12150000036 443252.3029000014, 156606.33179999888 443252.0256999992, 156603.41120000184 443251.000599999, 156602.24529999867 443250.5914000012, 156593.34540000185 443247.4675000012, 156589.68560000136 443246.18290000036, 156589.13060000166 443245.9880999997))"
duiker_vlak_legger.16,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker nevengeul Hurwenensche Uiterwaarden,ON,Boven-Rijn - Waal,"BR3.KZ.L.932,095.--",-99,,,0,,"POLYGON ((147850.125500001 425324.11239999905, 147849.90450000018 425323.6710000001, 147848.1757999994 425324.49909999967, 147848.41450000182 425324.95329999924, 147849.9224999994 425327.8229999989, 147852.31019999832 425332.366799999, 147854.998399999 425337.4822999984, 147856.29349999875 425339.94689999893, 147858.06819999963 425343.32389999926, 147858.20800000057 425343.58999999985, 147859.48999999836 425342.8200000003, 147859.3553000018 425342.5507999994, 147857.64719999954 425339.13859999925, 147856.40399999917 425336.6550000012, 147853.85940000042 425331.5716999993, 147851.56159999967 425326.9813000001, 147851.2285999991 425326.31599999964, 147851.14400000125 425326.1471000016, 147850.125500001 425324.11239999905))"
duiker_vlak_legger.17,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker nevengeul Hurwenensche Uiterwaarden,ON,Boven-Rijn - Waal,"BR3.KZ.L.932,095.--",-99,,,0,,"POLYGON ((147871.47399999946 425319.24379999936, 147871.3999999985 425319.11400000006, 147869.42599999905 425320.1649999991, 147869.50039999932 425320.2965000011, 147873.6072999984 425327.55519999936, 147874.9166000001 425329.86930000037, 147875.54830000177 425330.98580000177, 147876.2584999986 425332.2410000004, 147876.3077000007 425332.3280000016, 147879.9210000001 425338.7140999995, 147879.99500000104 425338.8449999988, 147882.02199999988 425337.73999999836, 147881.94739999995 425337.60929999873, 147878.26570000127 425331.15309999883, 147878.21609999985 425331.0661999993, 147877.502700001 425329.8128999993, 147876.96220000088 425328.8674999997, 147875.67720000073 425326.6141999997, 147871.47399999946 425319.24379999936))"
duiker_vlak_legger.18,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker 3 Overlaat Lent (Drempel),ON,Boven-Rijn - Waal,"BR1.KZ.R.882,720.ov",-99,,,0,,"POLYGON ((188555.7760999985 429988.07730000094, 188555.65700000152 429987.6180000007, 188555.35660000145 429987.6950000003, 188548.82660000026 429989.36989999935, 188544.51309999824 429990.4763999991, 188544.02870000154 429990.60060000047, 188542.56789999828 429990.9752999991, 188532.05900000036 429993.6708999984, 188531.94949999824 429993.69900000095, 188531.61800000072 429993.78400000185, 188531.99700000137 429995.21400000155, 188532.31019999832 429995.13369999826, 188532.42489999905 429995.1042999998, 188542.91310000047 429992.4136000015, 188544.3964000009 429992.0331000015, 188544.87849999964 429991.90940000117, 188549.18459999934 429990.80469999835, 188555.71159999818 429989.1301999986, 188556.02800000086 429989.0489999987, 188555.7760999985 429988.07730000094))"
duiker_vlak_legger.70,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,,,WNZ,Noordwaard,"109A.KZ.-.965,71",-99,,,0,,"POLYGON ((116502.4151000008 422740.9677999988, 116479.67309999838 422705.5982000008, 116478.80719999969 422706.1548999995, 116501.54919999838 422741.5245000012, 116502.4151000008 422740.9677999988))"
duiker_vlak_legger.19,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker 5 Overlaat Lent (Drempel),ON,Boven-Rijn - Waal,"BR1.KZ.R.882,750.ov",-99,,,0,,"POLYGON ((188548.09299999848 429965.61499999836, 188547.78700000048 429964.1730999984, 188547.4598999992 429964.2426000014, 188543.68450000137 429965.07719999924, 188543.67799999937 429965.0476000011, 188543.2030000016 429965.14869999886, 188538.875500001 429966.06980000064, 188538.39950000122 429966.17020000145, 188536.8524999991 429966.5003999993, 188530.01639999822 429967.87970000133, 188529.60170000046 429967.9633000009, 188529.29100000113 429968.02600000054, 188529.57200000063 429969.4620000012, 188529.89350000024 429969.39730000123, 188530.31689999998 429969.31219999865, 188537.14710000157 429967.93840000033, 188538.71220000088 429967.6061999984, 188539.16750000045 429967.5095999986, 188543.51249999925 429966.58729999885, 188543.99170000106 429966.4855999984, 188547.76460000128 429965.68470000103, 188548.09299999848 429965.61499999836))"
duiker_vlak_legger.20,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker 2 Overlaat Lent (Drempel),ON,Boven-Rijn - Waal,"BR1.KZ.R.882,700.ov",-99,,,0,,"POLYGON ((188559.5780000016 430000.8220000006, 188559.19299999997 429999.3999999985, 188554.17399999872 430000.81599999964, 188552.58579999954 430001.2575000003, 188551.99760000035 430001.4210000001, 188547.72839999944 430002.6079000011, 188547.2120999992 430002.75140000135, 188545.85339999944 430003.1290999986, 188545.85709999874 430003.14499999955, 188545.82400000095 430003.1541999988, 188542.47899999842 430004.0881999992, 188541.96939999983 430004.23050000146, 188541.63800000027 430004.3229999989, 188542.04300000146 430005.7520000003, 188542.36850000173 430005.66039999947, 188542.87359999865 430005.5183000006, 188546.2362000011 430004.57229999825, 188547.59450000152 430004.190200001, 188548.11800000072 430004.04300000146, 188552.3852000013 430002.8427999988, 188552.99109999835 430002.67240000144, 188554.5639999993 430002.23000000045, 188559.5780000016 430000.8220000006))"
duiker_vlak_legger.21,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker 4 Overlaat Lent (Drempel),ON,Boven-Rijn - Waal,"BR1.KZ.R.882,740.ov",-99,,,0,,"POLYGON ((188558.9455000013 429975.8969999999, 188558.55519999936 429974.21499999985, 188558.04670000076 429974.33249999955, 188555.33630000055 429974.95800000057, 188546.32400000095 429977.04089999944, 188546.32250000164 429977.0346999988, 188545.84950000048 429977.1436999999, 188541.51300000027 429978.1431999989, 188541.05710000172 429978.248300001, 188539.65850000083 429978.58089999855, 188539.63320000097 429978.58669999987, 188524.8027999997 429982.01309999824, 188520.4593999982 429983.0166000016, 188520.32600000128 429983.0480999984, 188520.15249999985 429983.0903000012, 188520.5485999994 429984.7947999984, 188520.7195999995 429984.74760000035, 188520.79349999875 429984.7291000001, 188525.13690000027 429983.7270000018, 188540.05480000004 429980.2851999998, 188541.44929999858 429979.96339999884, 188541.9213999994 429979.85449999943, 188546.25829999894 429978.85390000045, 188546.73479999974 429978.743999999, 188555.6424999982 429976.68890000135, 188558.95210000128 429975.9252999984, 188558.9455000013 429975.8969999999))"
duiker_vlak_legger.22,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker 6 Overlaat Lent (Drempel),ON,Boven-Rijn - Waal,"BR1.KZ.R.882,770.ov",-99,,,0,,"POLYGON ((188557.64609999955 429951.3830000013, 188557.34200000018 429949.7320000008, 188556.26399999857 429949.93030000106, 188555.59659999982 429950.05310000107, 188553.93569999933 429950.3586000018, 188550.99109999835 429950.9001000002, 188541.27320000157 429952.6873999983, 188540.78049999848 429952.77800000086, 188536.433699999 429953.5775000006, 188535.91699999943 429953.6724999994, 188534.38800000027 429953.95380000025, 188519.4250999987 429956.7060999982, 188513.43789999932 429957.8073000014, 188509.9076000005 429958.4565999992, 188510.22340000048 429960.1710000001, 188513.76779999956 429959.5197999999, 188519.97949999943 429958.37860000134, 188534.76330000162 429955.6623999998, 188536.25019999966 429955.38919999823, 188536.75560000166 429955.2963999994, 188541.09870000184 429954.4985000007, 188541.59380000085 429954.4074999988, 188551.31500000134 429952.6215999983, 188554.32880000025 429952.0678999983, 188557.65960000083 429951.45600000024, 188557.64609999955 429951.3830000013))"
duiker_vlak_legger.23,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker 1 Overlaat Lent (Drempel),ON,Boven-Rijn - Waal,"BR1.KZ.R.882,690.ov",-99,,,0,,"POLYGON ((188571.41739999875 430010.1748000011, 188571.0199000016 430008.9162000008, 188570.16369999945 430009.1766999997, 188569.61419999972 430009.3438999988, 188569.5982999988 430009.34870000184, 188569.3322999999 430009.4296000004, 188565.29419999942 430010.6583000012, 188555.5912999995 430013.6105999984, 188551.33999999985 430014.9041999988, 188550.85289999843 430015.0524000004, 188549.4492000006 430015.47949999943, 188535.82200000063 430019.62590000033, 188529.09519999847 430021.67269999906, 188525.76810000092 430022.68499999866, 188524.58540000021 430023.0449000001, 188524.9822999984 430024.3942999989, 188526.1939000003 430024.0304000005, 188529.48299999908 430023.0425999984, 188536.28220000118 430021.000500001, 188549.87480000034 430016.9180999994, 188551.2965000011 430016.49109999835, 188551.7853000015 430016.34430000186, 188556.04129999876 430015.06599999964, 188565.7714000009 430012.1435999982, 188569.79659999907 430010.93470000103, 188570.1037000008 430010.8425000012, 188570.12909999862 430010.8348999992, 188571.496199999 430010.4243000001, 188571.41739999875 430010.1748000011))"
duiker_vlak_legger.24,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Hattem Outdoor (uiterwaard Hoenwaard),ON,IJssel,"YS2.KZ.L.977,255.--",-99,,,0,,"POLYGON ((201605.6876000017 498745.3634000011, 201604.3449999988 498744.2829999998, 201603.86899999902 498744.8669999987, 201605.2333999984 498745.8995999992, 201606.85599999875 498747.12750000134, 201608.8599999994 498748.64400000125, 201609.2190000005 498748.2049999982, 201607.24659999833 498746.617899999, 201605.6876000017 498745.3634000011))"
duiker_vlak_legger.25,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Apeldoornskanaal/uiterwaard Hoenwaard,ON,IJssel,"AK2.KZ.L.54,105.--",-99,,,0,,"POLYGON ((201428.67190000042 498928.9899000004, 201362.3900000006 498900.7980000004, 201362.13199999928 498901.8770000003, 201427.89180000126 498930.0588000007, 201432.2049999982 498931.9070999995, 201432.7901000008 498932.15780000016, 201435.81170000136 498933.4527999982, 201435.9188000001 498933.4989, 201436.58830000088 498932.36499999836, 201436.59200000018 498932.3585000001, 201436.46950000152 498932.30640000105, 201433.72630000114 498931.1396000013, 201432.79509999976 498930.74379999936, 201428.67190000042 498928.9899000004))"
duiker_vlak_legger.26,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uitstroom Hoenwaard op Apeldoornskanaal,ON,IJssel,"YS2.KZ.L.977,506.--",-99,,,0,,"POLYGON ((201449.92599999905 499195.5920000002, 201449.8740000017 499194.8530000001, 201444.4563000016 499195.50450000167, 201441.00719999894 499195.9193000011, 201438.17399999872 499196.26000000164, 201438.23000000045 499196.9510000013, 201441.08430000022 499196.61930000037, 201444.51139999926 499196.2210999988, 201449.92599999905 499195.5920000002))"
duiker_vlak_legger.27,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Drempel Vreuderijkerwaard & Westenholte,ON,IJssel,"YS3.KZ.-.982,445.--",-99,,,0,,"POLYGON ((198431.5342000015 503056.70529999956, 198429.51429999992 503056.3513999991, 198429.4492000006 503056.7347000018, 198428.24830000103 503063.8033000007, 198427.74430000037 503066.7697999999, 198427.1614000015 503070.2003999986, 198426.0720999986 503076.6114999987, 198426.00039999932 503077.03379999846, 198427.877700001 503077.375, 198427.95309999958 503076.94849999994, 198429.06049999967 503070.689199999, 198429.59760000184 503067.65309999883, 198429.6468999982 503067.374400001, 198430.1673000008 503064.43279999867, 198430.20010000095 503064.24709999934, 198431.4695999995 503057.0705999993, 198431.5342000015 503056.70529999956))"
duiker_vlak_legger.28,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Drempel Vreuderijkerwaard & Westenholte,ON,IJssel,"YS3.KZ.-.982,445.--",-99,,,0,,"POLYGON ((198436.52690000087 503057.61719999835, 198434.49480000138 503057.24650000036, 198434.4257999994 503057.64829999954, 198433.16470000148 503064.98849999905, 198432.6458999999 503068.00840000063, 198432.05950000137 503071.42170000076, 198431.0164999999 503077.49219999835, 198430.94049999863 503077.93459999934, 198432.92570000142 503078.2853000015, 198433.002700001 503077.8431000002, 198434.0379000008 503071.9023000002, 198434.6361999996 503068.4684999995, 198435.15060000122 503065.5161000006, 198436.4552000016 503058.0287999995, 198436.52690000087 503057.61719999835))"
duiker_vlak_legger.29,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Drempel Vreuderijkerwaard & Westenholte,ON,IJssel,"YS3.KZ.-.982,445.--",-99,,,0,,"POLYGON ((198429.05429999903 503056.2049999982, 198427.26049999893 503055.8717, 198427.17770000175 503056.31650000066, 198425.88309999928 503063.27529999986, 198425.33049999923 503066.2457000017, 198424.71229999885 503069.5687999986, 198423.48820000142 503076.14829999954, 198423.41110000014 503076.5628999993, 198425.45949999988 503076.93499999866, 198425.53159999847 503076.51949999854, 198426.65019999817 503070.06859999895, 198427.24120000005 503066.66059999913, 198427.75580000132 503063.6933000013, 198428.97459999844 503056.6647000015, 198429.05429999903 503056.2049999982))"
duiker_vlak_legger.30,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker in overlaat Pontwaard,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL4.KZ.L.950,425.--",-99,,,0,,"POLYGON ((134938.96429999918 445668.6761999987, 134937.73999999836 445668.4629999995, 134937.19200000167 445671.78400000185, 134938.65089999884 445672.0461000018, 134940.21400000155 445672.3269999996, 134943.92859999835 445672.96559999883, 134979.08529999852 445679.00930000097, 134981.8115000017 445679.4778999984, 134984.0262000002 445679.8586000018, 134984.18769999966 445679.88639999926, 134984.76399999857 445676.5940000005, 134984.59090000018 445676.564100001, 134982.41750000045 445676.1884999983, 134979.61239999905 445675.70369999856, 134944.49049999937 445669.63379999995, 134940.8350000009 445669.0020000003, 134938.96429999918 445668.6761999987))"
duiker_vlak_legger.31,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker (noordelijke) nevengeul Palmerswaard,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL2.KZ.R.911,730.--",-99,,,0,,"POLYGON ((165973.3500000015 441795.9637000002, 165973.1495999992 441795.7373000011, 165972.6592000015 441796.1840999983, 165972.16910000145 441796.63060000166, 165972.30739999935 441796.7895000018, 165976.89559999853 441802.061900001, 165977.12669999897 441802.3275000006, 165978.1865000017 441801.4259000011, 165978.17440000176 441801.41230000183, 165977.93200000003 441801.1385000013, 165973.3500000015 441795.9637000002))"
duiker_vlak_legger.32,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker (zuidelijke) Nevengeul Palmerswaard,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL2.KZ.R.911,250.--",-99,,,0,,"POLYGON ((166271.38179999962 441409.7197000012, 166270.9200000018 441409.6933999993, 166270.8803000003 441409.99230000004, 166271.3676000014 441410.0390000008, 166278.6886 441410.74109999835, 166278.98149999976 441410.7692000009, 166279.05739999935 441410.1570000015, 166278.7188999988 441410.1376999989, 166271.38179999962 441409.7197000012))"
duiker_vlak_legger.33,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Hondsbroeksche Pleij,ON,IJssel,"YS1.KZ.R.880,240.--",-99,,,0,,"POLYGON ((194028.3552000001 441939.4061000012, 194025.6099999994 441937.3894999996, 194019.96770000085 441944.6719000004, 194016.8770999983 441948.6609000005, 194011.64319999889 441955.4160999991, 194013.6251000017 441956.93939999864, 194014.17559999973 441957.36250000075, 194019.19619999826 441951.00459999964, 194022.16319999844 441947.2474000007, 194028.3552000001 441939.4061000012))"
duiker_vlak_legger.34,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker instroom nevengeul t Waalsche waard,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL3.KZ.R.947,990.--",-99,,,0,,"POLYGON ((136900.56929999962 445752.1981999986, 136898.73039999977 445749.4147000015, 136898.58989999816 445749.50829999894, 136893.96040000021 445752.5931000002, 136870.3687000014 445768.31280000135, 136868.56599999964 445769.51399999857, 136867.35399999842 445770.2969999984, 136869.21299999952 445773.12000000104, 136870.36499999836 445772.3599999994, 136872.35130000114 445771.0340999998, 136896.01249999925 445755.2399000004, 136900.41939999908 445752.29830000177, 136900.56929999962 445752.1981999986))"
duiker_vlak_legger.71,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Noordwaard,109A.KZ.L. 967.5122,-99,,,0,,"POLYGON ((113796.55090000108 419910.9479999989, 113796.4737999998 419910.52959999815, 113778.7712999992 419914.34270000085, 113771.68930000067 419915.8680999987, 113767.62590000033 419916.74340000004, 113759.90670000017 419918.4061000012, 113741.73889999837 419922.3194999993, 113741.87970000133 419922.97309999913, 113760.66869999841 419919.1229999997, 113768.46059999987 419917.52639999986, 113772.56320000067 419916.68569999933, 113779.67889999971 419915.2276000008, 113796.42960000038 419911.79520000145, 113796.69700000063 419911.7404000014, 113796.55090000108 419910.9479999989))"
duiker_vlak_legger.35,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uitstroom Munnikenland op afgedamde Maas,ON,Boven-Rijn - Waal,"BR4.KZ.L.950,225.--",-99,,,0,,"POLYGON ((130823.83100000024 423872.5533000007, 130822.02389999852 423869.7168000005, 130821.71959999949 423869.84490000084, 130821.70549999923 423869.85080000013, 130820.85539999977 423870.20859999955, 130822.70169999823 423873.10720000044, 130825.55359999835 423877.5843999982, 130828.54439999908 423882.27980000153, 130834.30350000039 423891.32119999826, 130835.49819999933 423893.1966999993, 130835.53940000013 423893.26150000095, 130836.61789999902 423892.62480000034, 130836.57669999823 423892.5601999983, 130835.39279999956 423890.70169999823, 130829.67500000075 423881.7265999988, 130826.68470000103 423877.03280000016, 130823.83100000024 423872.5533000007))"
