Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Folkuniversitetet Stockholm;;;;;1;;;;1
Fondo ICT Professionals B.V.;;2;;;;;;;2
Foodzie;;;;;;1;;;1
FOREST PEOPLES PROGRAMME;;;;;;;;1;1
Fortes Solutions B.V.;;;;;1;;;;1
Fotogeniek;;;;1;;;;;1
Frank van Leeuwen;;;;2;;;;;2
Frisse Zin;;;;1;;;;;1
Fruitful Office Benelux;;1;1;;;1;;1;2
GARAGE D.A. ASHRUF;;;;;;;;1;1
GBT III B.V.;;;;;;;;1;1
Gerard Borkus Amsterdam;;;;;2;;;;2
Geschenkbezorgen.NL Haarlem;;;1;;;;;;1
Gh Holding B.V.;;;1;;;;;;1
GH+O;;;;3;;;;;3
Global Connection;;;;;2;;;;2
Global Project Performance;;;;;1;;;;1
Globetrotter Travel Management Serv;;;;;;;;1;1
Glowgolf Rotterdam;;;1;;;;;;1
GLS SPRACHENZENTRUM BERLIN;;;;;1;;;;1
Goedhart Reclame V.O.F.;;;1;;;;;;1
GoodHabitz B.V.;;;;;2;;;;2
Gran Mercado B.V.;;;;;;1;;;1
Grand Cafe De Tijd Den Haag;;1;;;;1;;;1
Grand Hyatt Hotel Amman;;;;;;;;1;1
Grand Hyatt Hotel Muscat;;;;;;;;1;1
Granny's Corner;;;;;;1;;;1
Gusto Mangia e Bevi;;;;;;1;;;1
h eerlijk ondernemend;;;;;;1;;;1
H.F. Meijer Opleidingen;;;;;1;;;;1
Haagse Hogeschool Den Haag;;;;;1;;;;1
Haagse Hogeschool Den Haag 2;;;;;1;;;;1
Habtoor Grand Resort & Spa Dubai;;;;;;;;1;1
Hackwise;;;;;1;;;;1
Hamaici Belaid Alger;;;;;;;;1;1
Hampshire Exploitatie I B.V.;;;;;1;;;;1
Harmony Relocation B.V.;6;4;;;;;;;6
Havana Den Haag;;;;;;1;;;1
Hcch - Hague Conference On Private;;;;;1;;;;1
Hearttotouch;;;;;2;;;;2
Hemelaar-van Campenhout;;;1;;;;;;1
Henriëtte van Dueren den Hollander;;;;;2;;;;2
Het Kabinet, Eten en Drinken;;;1;;;;;;1
Het Nutshuis;;1;;;;;;;1
Het Pleidooi;;1;1;;;1;;;1
HIGHSTORM INVESTMENTS;;;;;;;;1;1
Hilton Addis Abeba;;;;;;;;1;1
Hilton Den Haag;;;;;;1;;;1
HILTON LIMA;;;;;1;;;1;1
Hilton Nicosia;;;;;;;;1;1
Hof Der Muzen Den Haag;;;;;;1;;;1
Hofstad Apotheek Den Haag;;2;;;;;;;2
Holding Beheermaatschappij Ropeni B.V.;;1;1;;;2;;;2
Holland Tour Guides B.V.;;1;;;;;;;1
Horeca Exploitatie Maatschappij Zalmhuis B.V.;;;1;;;;;;1
HOTEL BERLAYMONT;;;;;;;;1;1
Hotel Café Restaurant Centraal;;;1;;;;;;1
Hotel Contact B.V.;;1;;1;1;2;;3;4
Hotel De Wereld Restaurant O Mundo;;;;;;1;;1;1
Hotel Des Indes B.V.;;;;;;1;;;1
HOTEL DIVA;;;;;;;;1;1
Hotel Dubrovnik Zagreb;;;;;;;;1;1
HOTEL IMPERIALE;;;;;;;;1;1
Hotel Maison Fl Paris;;;;;;;;1;1
Hotel Melia Havana;;;;;;;;1;1
Hotel Mon Repos (Mme Lina Lydie Kel;;;;;;;;1;1
Hotel Okura Tokyo;;;;;;;;1;1
Hotel Palomar Washington;;;;;;;;1;1
HOTEL ROTHSCHILD;;;;;;;;1;1
Hotel Silken Brussels;;;;;;;;1;1
Hotel Torarica Paramaribo;;;;;;;;1;1
House of Lords B.V.;;;;;;2;;;2
How 2 perform optimal;;;;;1;;;;1
HR Trend Institute B.V.;;;;1;;;;;1
Hsbc Bank Usa, N.A. Buffalo, Ny;;;;;;1;;1;1
HSK Interventie B.V.;;;;;1;;;;1
HTM Specials B.V.;;1;;;;;;1;1
Ibfd International Bureau Of Fiscal;;;;;1;;;;1
Ibis Hotel Geneve;;;;;;;;1;1
ICM Administratie B.V.;;;;;1;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;1;;;;1
Icta Interv. Communicatie Training & Advies;;;;;1;;;;1
Ideeaanzee B.V.;;;;;2;;;;2
IDGift B.V.;;;1;;;;;;1
Iep Holding B.V.;;;;;1;;;;1
IKAN Consultancy;;;;;1;;;;1
Impero Romano Holding B.V.;;;;;;1;;;1
Improven B.V.;;;;;1;;;;1
In Je Kracht ' Trainingen, Coach. & Healing;;;;;1;;;;1
In Transition;;;;;1;;;;1
In2Content B.V.;;1;;;;;;;1
Incidental Suppliers Abuja;;;;;;;;1;1
Incidental Suppliers Addis Abeba;;;;;;;;1;1
Indian Restaurant Maharani;;;;;;1;;;1
Indisch Restaurant Garoeda;;1;1;;;1;;;1
Indonesisch Restaurant Poentjak;;;;;;1;;;1
ING Bank;;;;;;1;;1;1
ING Bank N.V.;;;;;;1;;1;1
Inkom Astana;;;;;;;;1;1
Inmobiliaria 56 Ca. Caracas;;;;;;;;1;1
INSTITUTO CERVANTES PRAHA;;;;;1;;;;1
Instituut voor Psychotrauma Nederland B.V.;;2;;;;;;;2
Instock Amsterdam;;1;;;;;;;1
Intact;;;;;;;;1;1
Intention;;;;;1;;;;1
INTERCITY HOTEL HAMBURG;;;;;;;;1;1
INTERCONTINENTAL HOTEL KUALA LUMPUR;;;;;;;;1;1
Intercult. Business Improvement Holding B.V.;;;;;4;;;;4
Interkerkelijk Vredesberaad (IKV);;;;;1;;;;1
International Finance Corporation (;;;;;1;;;;1
International Sos Manama;;2;;;;;;;2
International Training Centre Of Th;;;;;1;;;;1
Internet Society Nederland;;;;;1;;;;1
Intervote;;;;;;1;;;1
INVERSIONES LA OPERA S.A.;;;;;;;;1;1
iPeople;;;;;1;;;;1
Ises Computrain Hilversum;;;;;1;;;;1
ISLAMABAD SERENA HOTEL;;;;;;;;1;1
IT Management Group;;;;;2;;;;2
Italtravel Bogota;;;;;;;;1;1
ITC LTD - MAURYA;;;;;;;;1;1
ITV Hogeschool Levenlang Leren B.V.;;;;;1;;;;1
IUP MINSK PRINCESS HOTEL;;;;;;;;1;1
Ivo Broekhuizen Communicatie;;2;;;;;;;2
IWDA INTERNATIONAL WOMEN'S DEVELOPM;;;;;;;;1;1
Jaarbeurs Ontwikkeling B.V.;;;;2;;;;;2
Jacobs Training & Coaching;;;;;1;;;;1
JACOMIJNE VAN WOERKOM;;;;;1;;;;1
Jenny'S Travel Cc Pretoria;;;;;;;;1;1
JI Wildschut Coaching;;;;;1;;;;1
Job Boersma Producties;;;;;1;;;;1
Joli V.O.F.;;;;;;1;;;1
Joop Vos Coaching;;;;;1;;;;1
JVDT B.V.;;;;;1;;;;1
Kaap Doorn B.V.;;;;;1;;;;1
KANSAI AIRPORTS (HOTEL NIKKO);;;;;;;;1;1
KATHOLIEKE UNIVERSITEIT LEUVEN;;;;;1;;;;1
Kazamias Andreas Nicosia;;;;;;;;1;1
Keizer Culinair B.V.;;;;;;1;;;1
KEMPINSKI HOTEL GOLD COAST CITY;;;;;;;;1;1
Kenan Services;;;;;1;;;;1
Kessels & Smit Something B.V.;;;;;1;;;;1
KIN PLAZA ARJAAN BY ROTANA;;;;;;;;1;1
Kind- en jeugdpraktijk Den Haag B.V.;;1;;;;;;;1
Klinks Bakkerij;;1;;;;;;;1
KLM Health Services B.V.;;4;;;;;;;4
Koken-op-maat;;;1;;;1;;;1
Koninklijk Instituut voor de Tropen;;;;;2;;;;2
Koninklijke Luchtvaart Maatschappij N.V.;;;;;;;;1;1
Koolhaas Concepts B.V.;;1;;;;;;;1
Kouwenhoven Consultancy B.V.;;1;;;;;;;1
Ksg Incompany Nieuwegein;;;;;3;;;;3
L.B.B. Beheer B.V.;;;;;;1;;;1
La Cuisine De Flore Bruxelles;;;;;1;;;;1
La Vina B.V.;;1;;;;1;;;1
Lake Geneva Hotel Geneve;1;;;;;;;;1
Lake Hospitality D.O.O. Sarajevo;;;;;;;;1;1
Landgoed de Horst;;;;;1;;;1;1
Language Partners;;;;;1;;;;1
Langue Onze Toulouse - L.O.T.;;;;;1;;;;1
Lauwen Projects;;;;;;1;;;1
Lavacon, riskconsult;;;;;1;;;;1
LD Horeca B.V.;;;;;;1;;;1
Le Bistroquet B.V.;;;;;;1;;;1
Le Passage To India Tours & Travel;;;;;;;;1;1
Learn it B.V.;;;;;1;;;;1
Lee Hecht Harrison Nederland B.V.;;;;;1;;;;1
Leeuwendaal Advies B.V.;;;;1;;;;;1
Leidse Schouwburg - Stadsgehoorzaal;;;;;;1;;;1
Leonidas Delft;;;;;;1;;;1
LEOPOLD HOTEL BRUSSELS EU;;;;;;;;1;1
Les Ombrelles Visspecialieiten;;;1;;;1;;;1
LianHua Chinese School;;;;;1;;;;1
Libereaux B.V.;;;;;2;;;;2
Link 2 Learn;;;;;2;;;;2
Lisitsina, A. St. Petersburg;;;;;;;;1;1
Listel Canada Limited Vancouver;;;;;;;;1;1
Little V Den Haag B.V.;;;;;;1;;;1
Logeion;;;;;1;;;;1
LSE  - THE LONDON SCHOOL OF ECONOMI;;;;;1;;;;1
Ltp, B.V. Amsterdam;;;;3;3;;;;4
Luz azul trainingen, advies & coaching;;;;;1;;;;1
M. Wisbrun;;1;;;;;;;1
Maatschap MSB Gouda;;1;;;;;;;1
Madurodam B.V.;;;;;;1;;;1
Magnet.me;;;;1;;;;;1
Maison De La Foret Den Haag;;;1;;;1;;;1
Maison Van Den Boer Veghel;;;;;;2;;;2
MaMa Kelly B.V.;;;1;;;1;;;1
Manessis Travel S.A Athens;;;;;;;;1;1
MariÃ«nhof Amersfoort B.V.;;;;;;1;;;1
Marion.tc;;;;;1;;;;1
Markus Verbeek Praehep Hilversum;;;;;1;;;;1
MARRIOTT HOTEL KIGALI;;;;;;;;1;1
Marriott Skopje;;;;;;;;1;1
Mauritshuis Den Haag;;;;;;1;;;1
MAX Company Amsterdam B.V.;;;;;;1;;;1
Maximum;;;;;1;;;;1
Maxlead Services B.V.;;;;1;;;;;1
MDF Training en Consultancy B.V.;;;;;1;;;;1
Mediclinic Muelmed Arcadia;;1;;;;;;;1
Medisch Specialisten Coöperatief Haga UA;;1;;;;;;;1
Meer & More Consultancy;;;;;1;;;;1
Mensink & Partners;;;;;1;;;;1
Mercure Den Haag Central;;;;;;;;2;2
Mercure Hotel Amsterdam City;;;;;;;;1;1
Metamorfose Vertalingen B.V.;;1;;;;;;;1
Michaela Marakova;;;;;;;;1;1
MILLENIUM HILTON NEW YORK ONE UN PL;;;;;;;;2;2
Millers;;;;;;1;;;1
MingleMush B.V.;;;;;;1;;;1
Mobility Mixx B.V.;;;;;;;;7;7
MOCHI RESTAURANT;;;;;;1;;;1
Move Cocktails B.V.;;;;;;1;;;1
Movenpick Hotel Accra;;;;;;;;1;1
Movenpick Hotel Kuwait;;;;;;;;1;1
Movenpick Hotel Ramallah;;;;;;;;2;2
Munckhof Taxi B.V.;;1;1;;1;1;;2;2
Museon;;;1;;;;;;1
Museum Catering Den Haag B.V.;;;;;;1;;;1
MyGolf;;;1;;;;;;1
N.V. Nederlandse Spoorwegen;;;;;;;;5;5
NACER DAOUD;;;;;;;;1;1
NATO COOP. CYBER DEFENCE CENTRE OF;;;;;1;;;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;2;;;;2
Ned. Financ.-Mij. v. Ontwikkelingslanden N.V.;;;;;;;;1;1
Nederlands cursus collectief;;;;;1;;;;1
Nedvan Projectverhuizingen Facility Solutions;4;;;;;;;;4
Nestgeuren Relatietherapie En Begel;;;;;1;;;;1
Neth-Er Brussel;;;;;1;;;;1
New Babylon Meeting Center B.V.;;;1;;;1;;1;1
New Image Café B.V.;;;;;;1;;;1
Nextpertise B.V.;;;;1;;;;;1
NFGD Zoetermeer B.V.;;;1;;1;1;;;1
NH GRAND PLACE ARENBERG;;;;;2;;;;2
NH ITALIA SPA;;;;;;;;1;1
Nieuwe of Litteraire Sociëteit De Witte;;;;;;1;;;1
NJ Cook4You;;1;;;;;;;1
Noordzee Services B.V.;;;;;;;;1;1
Norea Amsterdam;;;;;;;1;;1
Not For Sale Retail B.V.;;;;;;1;;;1
NOVI Opleidingen B.V.;;1;;;2;;;;2
Novotel Budapest;;;;;;;;1;1
NRC Handelsblad Weekeditie voor buitenland;;2;;;;;;;2
NS Stations Retailbedrijf B.V.;;;;;;1;;;1
Nsob;;;;;2;;;;2
Nvic - Nederlands Vlaams Instituut;;;;;1;;;;1
NVO2 (Ned.Ver. Hrd-Professionals;;;;;1;;;;1
Nynke Jansen;;;;;1;;;;1
Oase Beach Exploitatie B.V.;;;;;;1;;;1
Odi - Overseas Development Institut;;;;;1;;;;1
Ole-Sereni Hotel Nairobi;;;;;;;;1;1
Oneclick Internet Hilvarenbeek;;1;;;;;;;1
Ontbijt & Lunch Juni;;1;;;;1;;;1
Open Ateliers B.V.;;;;;1;;;;1
Opleidingscentrum Haaglanden B.V.;;;;;4;;;;4
Opleidingscentrum Permanente Educatie (OCPE);;;;;1;;;;1
Orange5 Catering & Events B.V.;;;;1;;;;;1
Orchids;;;;;;1;;;1
Organizing Works;;;;;1;;;;1
Original Tours & Activities Nederland B.V.;;;;;;1;;;1
Ornstein, L.S. Amsterdam;;;;;;;;1;1
ORSEU CONCOURS;;;;1;;;;;1
Oscars Scheveningen B.V.;;;;;;1;;;1
Osce/Ovse Wenen;;;;;;;;1;1
OSR Juridische Opleidingen B.V.;;;;;1;;;;1
Ouwehands Dierenpark B.V.;;;;;;1;;;1
P.B.N. Sport & Adventure B.V.;;;;;;1;;;1
Palace Hotel Holland B.V.;;;;;;1;;;1
Park Tower Suites Beiroet;;;;;;;;1;1
Parker Hotel Brussels Airport Diege;;;;;;;;1;1
Passionned Nederland B.V.;;;;;1;;;;1
Pastis Den Haag B.V.;;1;;;;;;;1
Pauline Bloembinders;;1;;;;;;;1
Paviljoen Malieveld Rotterdam;;;;;;1;;;1
PBLQ B.V.;;;;;1;;;;1
PDC Informatie Architectuur B.V.;;;;2;;;;;2
PE Fotostudio B.V.;;;;1;;;;;1
PEACOCK HOTEL AND RESORT;;;;;;;;1;1
Pechersk School International Ltd L;;;;;1;;;;1
PERFECTLY PLACED NYC LLC;;;;;;;;1;1
Perticas;;;;;;1;;;1
Petta Coaching & Advies;;;;;1;;;;1
Phenix Capital Impact Events B.V.;;;;;1;;;;1
Phoenix Opleidingen;;;;;1;;;;1
Place Lux Sprl Hulpe;;;;;1;;;;1
Planmen Nederland B.V.;;;;;1;;;;1
Planon B.V.;;;;;1;;;;1
Platform P;;;;;1;;;;1
POMEGRANATE LANGUAGE INSTITUTE;;;;;1;;;;1
Power Mandarin Shanghai;;;;;1;;;;1
PRADOS & PARTNERS;;;;;1;;;;1
Praktijk Monique Molendijk;;1;;;;;;;1
Praktijk voor Haptotherapie GelukkigVoelen;;1;;;;;;;1
Premium Cards B.V.;;;1;;;;;;1
Preventional;;;;;1;;;;1
Primera Den Haag;;;1;;;;;;1
Privacy Company B.V.;;;;;2;;;;2
Promoboer B.V.;;;1;;;;;;1
PROMOCIONES Y PROYECTOS, S.A.;;;;;;;;1;1
Promopodium B.V.;;1;;;;;;;1
Prosecco;;;;;;1;;;1
Prowareness WeOn Academy B.V.;;;;;1;;;;1
PT. PUSAKA PRIMA TRANSPORT;;;1;;;;;;1
Public Partners B.V.;1;;;;4;;;;5
Public Support & More B.V.;;;;;1;;;;1
Publiec B.V.;;;;;1;;;;1
Publiquest, de Communicatie CoÃ¶peratie UA;;;;;2;;;;2
PULLMAN KINSHASA GRAND HOTEL;;;;;;;;1;1
PvIB: Platform voor informatiebeveiliging;;1;;;;;;;1
Qompas B.V.;;;;2;;;;;2
QUETTA SERENA HOTEL;;;;;;;;1;1
quickcartoon;;;;;1;;;;1
Quint Wellington Redwood Nederland B.V.;;;;;1;;;;1
Quinton Brandveiligheid B.V.;;;;;2;;;;2
Quist Executive Coaches B.V.;;;;;2;;;;2
QuoVadis Trustlink B.V.;;;;1;;;;;1
R.J. Fijlstra B.V.;;;;;1;;;;1
Radisson Blu Hotel Addis Abeba;;;;;;;;1;1
RADISSON BLU HOTEL TRIPOLI;;;;;;;;1;1
Ramada Hotel Muscat;;;;;;;;1;1
Recoop Tour A.S. Praha 6;;;;;;;;1;1
Rederij de Nederlanden B.V.;;;;;;1;;;1
Reflectwell;;;;;1;;;;1
Refractiecentrum Haaglanden B.V.;;1;;;;;;;1
Regina Bloemsierkunst;;;1;;;;;;1
Regina Coeli Language Courses B.V.;;;;;1;;;;1
RePe Horeca B.V.;;1;;;;;;;1
Residence Inn Bethesda;;;;;;;;1;1
Residence Inn Washington;;;;;;;;2;2
Restaurant Cafe In De Waag Amsterda;;;;;;1;;;1
Restaurant Christian;;;1;;;1;;;1
Restaurant De Basiliek B.V.;;;1;;;1;;;1
Restaurant De Knip;;;;;;1;;;1
