MAATREGEL;OPMERKING;PLAATSINGSDATUM;BOUWJAAR;LEEFTIJD;OMSCHRIJVING;UITGEVOERD;JAAR_GEREALISEERD;ECO_CODE;IMGEO_KUNSTWERK_TYPE_CODE;IMGEO_KUNSTWERK_TYPE_OMSC;GEBIED_ID;GEBIED_CODE;GEBIED_OMSC;IMGEO_KUNSTWERKDEELTYPE_P_CODE;IMGEO_KUNSTWERKDEELTYPE_P_OMSC;BUURT_ID;BUURT_CODE;BUURT_OMSC;IMGEO_PLUS_STATUS_CODE;IMGEO_PLUS_STATUS_OMSC;STRAAT_CODE;STRAAT_OMSC;BEHEERDER_CODE;BEHEERDER_OMSC;EIGENAAR_CODE;EIGENAAR_OMSC;FAUNAVOORZIENINGTYPE_CODE;FAUNAVOORZIENINGTYPE_OMSC;COUNTER;ID;GUID
Ecotunnel en geleiding aanleggen;uitvoering wenselijk, wacht op vervanging brug, huidige brug biedt geen ruimte voor een tunnel;;;;Ecotunnel onder de Oudemansstraat nabij de grens met Rijswijk (Steenlaan) gewenst;Nee;;LZ 11;NBGT;niet BGT;117663;;Laakzone;NBGT_FVZ;faunavoorziening;;;;;;;;;;;;ET;Ecotunnel;50;118647;{85D84D5E-610A-4E44-B99D-77E26B624091}
Ecotunnel en geleiding op het punt waar de Broeksloot kruist met de Genestetlaan aanleggen;uitvoering wenselijk, door tramsporen is uitvoering alleen in combinatie met ander project (herinrichting, vervanging sporen) mogelijk;;;;Ecotunnel onder de De Genetstetlaan nabij de grens met Rijswijk (Burg. Elsenlaan) gewenst;Nee;;LZ 10;NBGT;niet BGT;1224149;;Lijn 17;NBGT_FVZ;faunavoorziening;30167;25;Laakkwartier-oost;;;;;;;;;ET;Ecotunnel;51;118648;{681EB339-0E02-4B77-BE56-50E2DE2903CF}
Ecorichel en geleiding aanleggen;U-vormig metalen richel;;2013;4;Ecorichel onder de brug die het Erasmusplein en de Moerweg verbindt;Ja;2013;EZ EP2;NBGT;niet BGT;2576088;;Vliegroute vleermuizen;NBGT_FVZ;faunavoorziening;30162;20;Moerwijk-oost;;;;;;;;;LR;Looprichel;52;118650;{21B97628-8C96-418B-A009-96AA02E5C510}
Ecorichel en geleiding aanleggen;U-vormig metalen richel, Code Groenbedrijf: 6;;2009;8;Ecorichel onder de brug die het Erasmusplein met de Erasmusweg / Middachtenweg verbindt;Ja;2009;EZ EP2;NBGT;niet BGT;117539;;Erasmuszone;NBGT_FVZ;faunavoorziening;30162;20;Moerwijk-oost;;;;;;;;;LR;Looprichel;53;118652;{A75C549C-A395-4D30-A5AB-0C1FCEDD051A}
;U-vormige metalen richel, niet in EVZ, extra aangebracht tijdens herinrichting van de Erasmuszone;;;;Ecorichel onder de brug van de kruising Remmersteinstrat - Erasmusweg;Ja;;EZ 4a;NBGT;niet BGT;117639;;Erasmuszone;NBGT_FVZ;faunavoorziening;30178;39;Moerwijk-zuid;;;;;;;;;LR;Looprichel;54;119043;{1FE328A0-AD16-42F2-A695-4F57AD841E97}
;"U-vormige metalen richel, Code Groenbedrijf: 12;";;;;Ecorichel onder de brug van de kruising Loevesteinlaan - Erasmusweg;Ja;;EZ 4B;NBGT;niet BGT;1190673;;Erasmuszone;NBGT_FVZ;faunavoorziening;30178;39;Moerwijk-zuid;;;;;;;;;LR;Looprichel;55;119045;{99A862BC-717D-4DD2-8DA0-F7496F9EB63D}
Aan kant van de Pharostoren (nabij de kiosk) stobbenwal met struiken aanleggen;Lichtrooster in midenberm, Code Groenbedrijf: 23.5;;;;Ecotunnel onder de Loevesteinlaan nabij de kruising met de Melis Stokelaan;Ja;;GA F;NBGT;niet BGT;117480;;Zuiderpark;NBGT_FVZ;faunavoorziening;30224;89;Morgenstond-oost;;;;;;;;;ET;Ecotunnel;56;119069;{30422806-18FE-4188-BC51-CA0958EFCA51}
Ecorichel met geleiding aanleggen, aan de kant van de Melis Stokelaan moet de richel nog worden aangelegd.  Lage struiken voor geleiding aanplanten;Kruising Leyweg - Melis Stokelaan wordt 2015 - 2016 vervangen, lift mpogelijk mee met herinrichting entree Winkelcentrum Leyweg, Code Groenbedrijf: 23.4;;;;Ecorichel onder de brug van de Leyweg tussen de Melis Stokelaan en de Grevenbergstraat aan de kant  van het winkelcentrum;Ja;;GA E;NBGT;niet BGT;117504;;Groene Assen Zuidwestzone;NBGT_FVZ;faunavoorziening;30224;89;Morgenstond-oost;;;;;;;;;LR;Looprichel;57;119070;{75FB2232-0915-41C1-B21B-DA572B3B5B4F}
Ecotunnel en geleiding onder de Dedemsvaartweg aanleggen ;Droge, ronde, betonnen tussen met houten geleiding, Code Groenbedrijf: 23.3;;;;Ecotunnel onder de Dedemsvaartweg nabij het Drentheplantsoen ter verbinding van delen van de groenzone langs de Melis Stokelaan;Ja;;GA EP7;NBGT;niet BGT;1136322;;Reservespoor Dedemsvaartweg;NBGT_FVZ;faunavoorziening;30231;96;Zijden, Steden en Zichten;;;;;;;;;ET;Ecotunnel;58;119071;{96BD2D86-E033-4D2E-9DAC-D9D8FA3C9AB3}
Ecotunnel en geleiding ter verbinding van de Scheveningse Bosjes aanleggen;droge kierkante metalen tunnel (metaal gecoat), wegens zwaar verkeer is de tunnel voorzien van een overkluizing;;2011;6;Ecotunnel onder de Prof. B.M. Teldersweg nabij de oversteek voor fietsers en voetgangers;Ja;2011;SCH 8;NBGT;niet BGT;206274;;Scheveningse zone;NBGT_FVZ;faunavoorziening;30147;5;Van Stolkprk./Schev.Bosjes;;;;;;;;;ET;Ecotunnel;59;348634;{D59C4CCD-E70B-4F89-AE27-7CB8FFF21C6E}
Ecotunnel en geleiding aanleggen;"Code Groenbedrijf 17.1; droge, rechthoekige betonnen tunnels in de rijbaan, lichtinval door openingen in het plafond van de tunnel";;;;Ecotunnel onder de Boslaan langs het fietspad van de Bezuidenhoutseweg aan de kant van het bos;Ja;;SZ BN3;NBGT;niet BGT;207149;;Haagse Bos;NBGT_FVZ;faunavoorziening;30188;49;Haagse Bos;;;;;;;;;ET;Ecotunnel;60;662057;{049B7FF5-093B-432A-B08A-4A3CDB7C8A6A}
Ecotunnel en geleiding aanleggen;droge vierkante metalen tunnel (metaal gecoat);;2012;5;Ecotunnel onder de Denenburg nabij de sloot;Ja;;SZ 16;NBGT;niet BGT;117611;;Schenkzone;NBGT_FVZ;faunavoorziening;30204;69;Burgen en Hosten;;;;;;;;;ET;Ecotunnel;61;749367;{6F6793FD-62EF-4035-B48D-1B2CD9DF7316}
;uitvoering wenselijk, door tramsporen is uitvoering alleen in combinatie met ander project (herinrichting, vervanging sporen) mogelijk;;;;Ecotunnel onder Het Kleine Loo nabij de sloot gewenst;Nee;;SZ 15;NBGT;niet BGT;117611;;Schenkzone;NBGT_FVZ;faunavoorziening;;;;;;;;;;;;ET;Ecotunnel;62;749368;{6282771F-1340-4083-8A49-9642376F0DF0}
Ecotunnel en geleiding aanleggen;uitvoering wenselijk, wacht op onderhoud / herinrichting Melis Stokelaan;;;;Ecotunnel onder de Melis Stokelaan nabij de kruising met de Dedemsvaartweg ter verbinding van de groenstrook langs de Dedemsvaartweg  gewenst;Nee;;GA;NBGT;niet BGT;15179;193;Functioneel gebied IMGeo;NBGT_FVZ;faunavoorziening;30233;98;Dreven en Gaarden;;;;;;;;;ET;Ecotunnel;1;119072;{601726C7-BEFC-495F-A7A8-F9E28CBBBD1D}
Ecottunnel en geleiding aanleggen;vierkante droge metalen tunnel (metaal gecoat), Code Groenbedrijf: 23.2;;2011;6;Ecotunnel onder de Vrederustlaan nabij de kruising met de Melis Stokelaan ter verbinding van delen van de groenzone langs de Melis Stokelaan;Ja;2011;GA 6;NBGT;niet BGT;117515;;Groene Assen;NBGT_FVZ;faunavoorziening;30231;96;Zijden, Steden en Zichten;;;;;;;;;ET;Ecotunnel;2;120729;{73596236-538C-4D49-ADB3-E1F29F26255E}
Ecotunnel en geleiding aanleggen;"vierkante droge mertalen tunnel (metaal gecoat), Code Groenbedrijf: 23.1;";;2011;6;Ecotunnel onder de Beresteinlaan nabij de kruising met de Melis Stokelaan ter verbinding van delen van de groenzone langs de Melis Stokelaan;Ja;2011;GA 5;NBGT;niet BGT;117514;;Groene Assen;NBGT_FVZ;faunavoorziening;30231;96;Zijden, Steden en Zichten;;;;;;;;;ET;Ecotunnel;3;120730;{070842D8-7739-4A18-98C4-D4708892ABC7}
;Code Groenbedrijf: 1.1;;2008;9;Ecorichel onder de Monsterseweg tegenover tuincentrum Ockenburgh;Ja;2008;GA LD1;NBGT;niet BGT;117724;;Madestein;NBGT_FVZ;faunavoorziening;30232;97;Kraayenstein;;;;;;;;;LR;Looprichel;4;121336;{516A97B2-7875-4E1E-8554-51378BAB711E}
;"Code Groenbedrijf: 1.1;";;2008;12;Ecorichel onder de Monsterseweg tegenover het tuincentrum Ockenburgh;Ja;2008;GA LD1;NBGT;niet BGT;;;;NBGT_FVZ;faunavoorziening;30232;97;Kraayenstein;;;;;;;;;LR;Looprichel;5;121337;{9DC65B9E-7ECC-41B4-BDD8-C3622E9906D1}
;Code Groenbedrijf: 2.1;;2008;9;Ecorichel onder de brug van de kruising Madepolderweg/Nieuwe Weg;Ja;2008;GA LD3;NBGT;niet BGT;117724;;Madestein;NBGT_FVZ;faunavoorziening;30232;97;Kraayenstein;;;;;;;;;LR;Looprichel;6;121338;{19DE9385-F56F-47B6-8147-1748EC3AF433}
;Code Groenbedrijf: 2.2;;2008;9;Ecorichel onder de brug van de kruising Madepolderweg/Nieuwe Weg;Ja;2008;GA LD3;NBGT;niet BGT;117724;;Madestein;NBGT_FVZ;faunavoorziening;30232;97;Kraayenstein;;;;;;;;;LR;Looprichel;7;121339;{CC2BA75C-2832-4DBE-9F9A-AE43F8C7C128}
;"Code Groenbedrijf: 3; richel aan de andere kant van de brug lijkt niet uitgevoerd te zijn";;2008;9;Ecorichel onder de brug van de kruising Madepolderweg/Nieuwe Weg t.h.v.het  Wenpad;Ja;2008;GA LD4;NBGT;niet BGT;;;;NBGT_FVZ;faunavoorziening;30234;99;De Uithof;;;;;;;;;LR;Looprichel;8;121341;{D686424D-7DF0-4B4C-8937-85A8CAA1B564}
Ecotunnel en geleiding aanleggen;droge vierkante metalen tunnel (metaal gecoat);;2013;4;Ecotunnel onder de Melis Stokelaan nabij de kruising met de Lozerlaan ter verbinding van delen van de groenzone langs deLozerlaan;Ja;2013;GA EP5;NBGT;niet BGT;794302;;Groene Assen Zuidwestzone;NBGT_FVZ;faunavoorziening;30233;98;Dreven en Gaarden;;;;;;;;;ET;Ecotunnel;9;123662;{8B0796CB-9E71-478D-B5FC-276FB1E53465}
Ecotunnel en geleiding aanleggen;"droge vierkante metalen tunnel (metaal gecoat), Code Groenbedrijf: 19; aangelegd in het kader van de herinrichting van de Erasmuszone";;2010;7;Ecotunnel onder de  Medlerstraat als verbinding tussen twee delen van de Erasmuszone;Ja;2010;EZ BN1;NBGT;niet BGT;344469;;;NBGT_FVZ;faunavoorziening;30162;20;Moerwijk-oost;;;;;;;;;ET;Ecotunnel;10;123673;{EED9AE8C-12AB-4D3B-8170-ACB2D023DBED}
Ecotunnel met geleiding aanleggen;droge vierkante metalen tunnel (metaal gecoat),  code Groenbedrijf: 50;;2013;4;Ecotunnel onder de Duinlaan ter hoogte van de Haagse Beek;Ja;2013;HB 20;NBGT;niet BGT;117555;;Haagse Beekzone;NBGT_FVZ;faunavoorziening;30226;91;Kijkduin;;;;;;;;;ET;Ecotunnel;11;123684;{BA047DF0-3D43-4621-B78C-F468B7ED941F}
Ecotunnel en geleiding aanleggen;droge vierkante metalen tunnel (metaal gecoat);;2013;4;Ecotunnel onder de Hoek van Hollandlaan ter hoogte van de Haagse Beek;Ja;2013;HB 18;NBGT;niet BGT;117556;;Haagse Beekzone;NBGT_FVZ;faunavoorziening;30225;90;Ockenburgh;;;;;;;;;ET;Ecotunnel;12;123689;{70391E64-DDE6-4434-8900-A35EF1A8F7F7}
Ecotunnel en geleiding aanleggen;droge vierkante metalen tunnel (metaal gecoat);;2012;5;Ecotunnel langs de sloot naast de Carel Reinierszkade ter hoogte van de kruising met het Vlaskamp;Ja;2012;SZ 10;NBGT;niet BGT;117609;;Schenkzone;NBGT_FVZ;faunavoorziening;30202;67;Kampen;;;;;;;;;ET;Ecotunnel;13;123691;{99A7B0A4-7B6F-40E5-B0C6-7ABB5B649207}
Ecotunnel en geleiding aanleggen;droge, ronde betonnen tunnel, Code Groenbedrijf: 10;;2009;8;Ecotunnel onder de Berensteinlaan in het stuk tussen de Erasmusweg en de grens  met Wateringen;Ja;2009;EZ 1;NBGT;niet BGT;117644;;Erasmuszone;NBGT_FVZ;faunavoorziening;30233;98;Dreven en Gaarden;;;;;;;;;ET;Ecotunnel;14;123693;{90B49BC9-F89C-4143-A358-DED529AE62FA}
Looprichel en geleiding;U-vormig metalen richel, Code Groenbedrijf: 37.1;;2012;5;"Ecorichel op het punt waar de sloot naast de Ypenburgse Boslaan kruist met de Karekietsingel""Op het punt waar de sloot naast de Ypenburgse Boslaan kruist met de Karekietsingel""Looprichel op het punt waar de sloot naast de Ypenburgse Boslaan kruist met de Karekietsingel";Ja;2012;YB 20;NBGT;niet BGT;793795;;Ypenburgzone;NBGT_FVZ;faunavoorziening;30247;112;Morgenweide;;;;;;;;;LR;Looprichel;15;138490;{1C916C17-92D5-40AF-9820-63CEDF090CC6}
Looprichel en geleiding aanbrengen;U-vormig metalen richel, Code Groenbedrijf: 36.1;;2012;5;Ecorichel op het punt waar de sloot naast de Ypenburgse Boslaan kruist met de Sperwersingel;Ja;2012;YB 17;NBGT;niet BGT;117565;;Ypenburgzone;NBGT_FVZ;faunavoorziening;30247;112;Morgenweide;;;;;;;;;LR;Looprichel;16;138492;{313E230D-B65B-4DC8-AC34-6CD064F00BA4}
Looprichel en geleiding aanbrengen;U-vormig metalen richel, Code Groenbedrijf: 35.1;;2012;5;Ecorichel op het punt waar de sloot naast de Ypenburgse Boslaan kruist met de Zomertalinglaan;Ja;2012;YB 16;NBGT;niet BGT;793744;;Ypenburgzone;NBGT_FVZ;faunavoorziening;30247;112;Morgenweide;;;;;;;;;LR;Looprichel;17;138494;{AD0AE86E-A04F-42A4-8734-3C9B68A7ABEF}
Looprichel en geleiding aanbrengen;U-vormig metalen richel, Code Groenbedrijf: 35.2;;2012;5;Ecorichel op het punt waar de sloot naast de Ypenburgse Boslaan kruist met de Zomertalinglaan;Ja;2012;YB 16;NBGT;niet BGT;793744;;Ypenburgzone;NBGT_FVZ;faunavoorziening;30247;112;Morgenweide;;;;;;;;;LR;Looprichel;18;138495;{11A3A4B8-B002-4759-918A-9E03ADF91217}
Looprichel en geleiding aanbrengen;"U-vormig metalen richel, Code Groenbedrijf: 38.1; ";;2011;6;Ecorichel op het punt waar de sloot naast de Singel kruist met de Anthony Fokkersingel;Ja;2011;YB 38;NBGT;niet BGT;117562;;Ypenburgzone;NBGT_FVZ;faunavoorziening;30248;113;Singels;;;;;;;;;LR;Looprichel;19;138496;{ACA83A1A-07EB-495E-A90A-71A9F6FFFD5B}
Looprichel en geleiding aanbrengen;"U-vormig metalen richel, Code Groenbedrijf: 38.1; ";;2011;6;Ecorichel op het punt waar de sloot naast de Singel kruist met de Anthony Fokkersingel;Ja;2011;YB 38;NBGT;niet BGT;117562;;Ypenburgzone;NBGT_FVZ;faunavoorziening;30248;113;Singels;;;;;;;;;LR;Looprichel;20;138497;{F97D7CC2-21EF-4AA9-9863-80EE2DD14726}
Looprichel en geleiding aanbrengen;U-vormig metalen richel;;;;Ecorichel op het punt waar de sloot naast de Singel kruist met de Wethouder Hopmanstraat;Ja;;YB 39;NBGT;niet BGT;117563;;Ypenburgzone;NBGT_FVZ;faunavoorziening;;;;;;;;;;;;LR;Looprichel;21;138509;{BB5A43AA-59E8-453F-8303-30C48F895807}
Loprichel en geleiding aanbrengen;U-vormig metalen richel;;;;Ecorichel op het punt waar de sloot naast de Singel kruist met de Wethouder Hopmanstraat;Ja;;YB 39;NBGT;niet BGT;117563;;Ypenburgzone;NBGT_FVZ;faunavoorziening;;;;;;;;;;;;LR;Looprichel;22;138510;{804A53CC-7AD0-4338-82B4-EFDBD19EF841}
Ecorichel en geleiding aanbrengen;U-vormig metalen richel: Code Groenbedrijf: 5.1;;2009;8;Ecorichel onder de brug van de Wassenaarseweg aan de kruising met de Neuhuyskade;Ja;2009;HZ 3;NBGT;niet BGT;117689;;Houtzone;NBGT_FVZ;faunavoorziening;30214;79;Van Hoytemastraat e.o.;;;;;;;;;LR;Looprichel;23;138512;{A5B6CC4A-C86C-43E7-906A-A4AD0F1032CB}
Ecorichel en geleiding aanbrengen;"U-vormig metalen richel; Code Groenbedrijf: 5.2";;2009;8;Ecorichel onder de brug van de Weissenbruchstraat aan de kruising met de Neuhuyskade;Ja;2009;HZ 2;NBGT;niet BGT;117688;;Houtzone;NBGT_FVZ;faunavoorziening;30214;79;Van Hoytemastraat e.o.;;;;;;;;;LR;Looprichel;24;138514;{3BEBDB05-C4FE-459A-AF47-738C7AF11BAC}
Ecorichels en geleiding aanleggen;"U-vormig metalen richel; Code Groenbedrijf: 5.3";;2009;8;Ecorichel onder de brug van de Benoordenhoutseweg aan de T-kruising met de Neuhuyskade;Ja;2009;HZ 1;NBGT;niet BGT;2577755;;Vliegroute vleermuizen;NBGT_FVZ;faunavoorziening;30188;49;Haagse Bos;;;;;;;;;LR;Looprichel;25;138515;{61711197-D7EA-4895-A8D2-08C97B29E6D1}
faunatunnel aanleggen;droge, ronde betonnen tunnel, Code Groenbedrijf: 9;;2009;8;Ecotunnel onder de Aaltje Noordewierstraat ter verbinding van de groenstrook langs de Beethovenlaan;Ja;2009;HB LD 5;NBGT;niet BGT;344346;;Gazon en plantsoen;NBGT_FVZ;faunavoorziening;30148;6;Waldeck-zuid;;;;;;;;;ET;Ecotunnel;26;138518;{93652FE2-D53B-4651-8120-231C0FEAADEC}
Langs brug Ver Huellweg/Cremerweg looprichels aanbrengen met geleiding en beschutting voor verbinding over afvoerkanaal.;U-vormig metalen richel, Code Groenbedrijf: 4;;2008;9;Ecorichel onder de Haringkade tussen de brug bij de Nieuwe Duinweg en de Verhuellweg;Ja;2008;SCH 16a;NBGT;niet BGT;1117410;;Scheveningse zone;NBGT_FVZ;faunavoorziening;30208;73;Westbroekpark;;;;;;;;;LR;Looprichel;27;138519;{283ED17D-8C1C-4DF4-874D-562E9D80A170}
Ecotunnel en geleiding aan kant Hofzichtlaan (ecologische oever) aanleggen ;droge vierkante metalen tunnel (metaal gecoat)droge vierkante metalen tunnel (metaal gecoat)droge vierkante metalen tunnel (metaal gecoat);;2012;5;Ecotunel onder de Diamanthorst ter hoogte van de kruising Robijnhorst/Diamandhorst;Ja;2012;SZ 12;NBGT;niet BGT;117610;;Schenkzone;NBGT_FVZ;faunavoorziening;30204;69;Burgen en Hosten;;;;;;;;;ET;Ecotunnel;28;138521;{940ED8C8-AFA7-46B5-B6BA-E3FE0776BB04}
Ecotunnel en geleiding aan overzijde Hofzichtlaan aanleggen ;droge vierkante metalen tunnel (metaal gecoat);;2012;5;Ecotunnel onder de Granaathorst ter hoogte van de T-kruising Ivoorhorst/Granaathorst;Ja;2012;SZ 14;NBGT;niet BGT;117660;;Schenkzone;NBGT_FVZ;faunavoorziening;30204;69;Burgen en Hosten;;;;;;;;;ET;Ecotunnel;29;138522;{1A6F7E91-B80B-4EA0-957A-B80F1A8649E9}
Ecotunnel en geleiding aan kant Reigersbergenweg aanleggen ;droge vierkante metalen tunnel (metaal gecoat);;2012;5;Ecotunnel onder de Hongarenburg ter hoogte van de kruising Norenburg/Hongarenburg;Ja;2012;SZ 11;NBGT;niet BGT;117612;;Schenkzone;NBGT_FVZ;faunavoorziening;;;;;;;;;;;;ET;Ecotunnel;30;138523;{860CE31C-FDCE-467D-B67D-188B09E0A9E8}
ecotunnel met rooster, geleiding en afscherming aanleggen;droge, vierkant emetalen tunnel (metaal met coating), Code Groenbedrijf: 49.5;;2011;6;Ecotunnel op het punt waar de Houtkade kruist met de Zoetermeerse Rijweg;Ja;2011;LV 19;NBGT;niet BGT;117545;;Leidschenveenzone;NBGT_FVZ;faunavoorziening;30255;120;De Vissen;;;;;;;;;ET;Ecotunnel;31;138810;{9D6ED6EE-027B-416E-B3DB-B908B5595319}
ecotunnel met rooster, geleiding en afscherming aanleggen;droge, vierkante metalen tunnel (metaal met coating), Code Groenbedrijf: 49.2;;2011;6;Ecotunnel op het punt waar de Barbeeldam kruist met de Zoetermeerse Rijweg;Ja;2011;LV 18;NBGT;niet BGT;117545;;Leidschenveenzone;NBGT_FVZ;faunavoorziening;30255;120;De Vissen;;;;;;;;;ET;Ecotunnel;32;138811;{633B7C93-7B52-49CA-87EA-4EF241EA2D8D}
ecotunnel met geleiding en afscherming aanleggen;droge, vierkante metalen tunnel (metaal met coating), Code Groenbedrijf: 49.3;;2013;4;Ecotunnel op het punt waar het Eendplein kruist met de Mosselsingel;Ja;2013;LV 25;NBGT;niet BGT;15878;763;Functioneel gebied IMGeo;NBGT_FVZ;faunavoorziening;30255;120;De Vissen;;;;;;;;;ET;Ecotunnel;33;138812;{E20BF88D-6969-490F-8231-1194602390D6}
ecotunnel met geleiding en afscherming aanleggen;droge, vierkante metalen tunnel (metaal met coating), Code Groenbedrijf: 49.4;;2013;4;Ecotunnel op het punt waar de Mosselsingel kruist met de Parelduikersingel;Ja;2013;LV 26;NBGT;niet BGT;15760;592;Functioneel gebied IMGeo;NBGT_FVZ;faunavoorziening;30255;120;De Vissen;;;;;;;;;ET;Ecotunnel;34;138813;{AEE26B8E-BABE-40C4-A0E9-77ABC32F910F}
