FID,jaar,bed_zosnol,bed_zosmar,bed_rupmar,bedzostot,bio_zosnol,bio_zosmar,bio_rupmar,biozostot,bio_tot,type_ws,hoofdgeb,gebied,deelgeb,gdb_geomattr_data,shape
zostera_noltei_2022.1271147,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34840 386520, 34820 386520, 34820 386540, 34840 386540, 34840 386520))"
zostera_noltei_2022.1271148,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386540, 34700 386540, 34700 386560, 34720 386560, 34720 386540))"
zostera_noltei_2022.1271149,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386540, 34720 386540, 34720 386560, 34740 386560, 34740 386540))"
zostera_noltei_2022.1271150,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386540, 34740 386540, 34740 386560, 34760 386560, 34760 386540))"
zostera_noltei_2022.1271151,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34780 386540, 34760 386540, 34760 386560, 34780 386560, 34780 386540))"
zostera_noltei_2022.1271152,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34800 386540, 34780 386540, 34780 386560, 34800 386560, 34800 386540))"
zostera_noltei_2022.1271153,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34820 386540, 34800 386540, 34800 386560, 34820 386560, 34820 386540))"
zostera_noltei_2022.1271154,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34840 386540, 34820 386540, 34820 386560, 34840 386560, 34840 386540))"
zostera_noltei_2022.1271155,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386560, 34700 386560, 34700 386580, 34720 386580, 34720 386560))"
zostera_noltei_2022.1271156,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386560, 34720 386560, 34720 386580, 34740 386580, 34740 386560))"
zostera_noltei_2022.1271157,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386560, 34740 386560, 34740 386580, 34760 386580, 34760 386560))"
zostera_noltei_2022.1271158,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34780 386560, 34760 386560, 34760 386580, 34780 386580, 34780 386560))"
zostera_noltei_2022.1271159,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34800 386560, 34780 386560, 34780 386580, 34800 386580, 34800 386560))"
zostera_noltei_2022.1271160,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34820 386560, 34800 386560, 34800 386580, 34820 386580, 34820 386560))"
zostera_noltei_2022.1271161,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34840 386560, 34820 386560, 34820 386580, 34840 386580, 34840 386560))"
zostera_noltei_2022.1271162,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34960 386560, 34940 386560, 34940 386580, 34960 386580, 34960 386560))"
zostera_noltei_2022.1271163,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34980 386560, 34960 386560, 34960 386580, 34980 386580, 34980 386560))"
zostera_noltei_2022.1271164,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((35000 386560, 34980 386560, 34980 386580, 35000 386580, 35000 386560))"
zostera_noltei_2022.1271165,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((35020 386560, 35000 386560, 35000 386580, 35020 386580, 35020 386560))"
zostera_noltei_2022.1271166,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((35040 386560, 35020 386560, 35020 386580, 35040 386580, 35040 386560))"
zostera_noltei_2022.1271167,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((35060 386560, 35040 386560, 35040 386580, 35060 386580, 35060 386560))"
zostera_noltei_2022.1271168,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((35080 386560, 35060 386560, 35060 386580, 35080 386580, 35080 386560))"
zostera_noltei_2022.1271169,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((35100 386560, 35080 386560, 35080 386580, 35100 386580, 35100 386560))"
zostera_noltei_2022.1271170,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386580, 34700 386580, 34700 386600, 34720 386600, 34720 386580))"
zostera_noltei_2022.1271171,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386580, 34720 386580, 34720 386600, 34740 386600, 34740 386580))"
zostera_noltei_2022.1271172,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386580, 34740 386580, 34740 386600, 34760 386600, 34760 386580))"
zostera_noltei_2022.1271173,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34780 386580, 34760 386580, 34760 386600, 34780 386600, 34780 386580))"
zostera_noltei_2022.1271174,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34800 386580, 34780 386580, 34780 386600, 34800 386600, 34800 386580))"
zostera_noltei_2022.1271175,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34820 386580, 34800 386580, 34800 386600, 34820 386600, 34820 386580))"
zostera_noltei_2022.1271176,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34840 386580, 34820 386580, 34820 386600, 34840 386600, 34840 386580))"
zostera_noltei_2022.1271177,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34960 386580, 34940 386580, 34940 386600, 34960 386600, 34960 386580))"
zostera_noltei_2022.1271178,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34980 386580, 34960 386580, 34960 386600, 34980 386600, 34980 386580))"
zostera_noltei_2022.1271179,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((35000 386580, 34980 386580, 34980 386600, 35000 386600, 35000 386580))"
zostera_noltei_2022.1271180,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((35020 386580, 35000 386580, 35000 386600, 35020 386600, 35020 386580))"
