;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
Citrus Andriessen Operations B.V.;;;;1;;;1
Cloose;;1;;;;;1
CLTR - Culture in Control;;;;2;;;2
CNV Connectief;;1;;;;;1
Coaching met Sanne;;;;1;;;1
CoachNetwerk B.V.;;;;1;;;1
CoBeO;;;;1;;;1
COCD;;;;1;;;1
Colorado Charlie;;1;;;;;1
Colors World Food;;1;;;;;1
Communicatiebureau De Walvis;;;;;;1;1
Computrain Opleidingen;;;;2;;;2
Coney B.V.;;;;1;;;1
Coniche Business School Facilities;;;;2;;;2
Coniche IN consultancy & projects B.V.;;;;1;;;1
ConnectTools B.V.;;;;1;;;1
Conny de Laat Communicatie;;;;2;;;2
Coöperat. Collectief Agrar. Natuurbeheer UA;;;;;;1;1
Coöperatie ACS partners UA;;;;2;;;2
Coöperatie De Vuurmakers UA;;;;;;1;1
Coöperatief De Haagse Stadswijngaard UA;;1;;;;;1
Courius B.V.;;;;2;;;2
CowParade;;1;;;;;1
Cowsignals Training Company B.V.;;;;1;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;1;;;1
Dagvoorzitter.nl;;;;1;;;1
DataExpert B.V.;;;;2;;;2
DAVO Bieren Holding B.V.;;1;;;;;1
DC Taleninstituut;;;;1;;;1
De Argumentenfabriek B.V.;;;;2;;;2
De Baak Administratie;;;;2;;;2
De Baak B.V.;;;;1;;;1
De Bierelier B.V.;;1;;;;;1
De Blaauwe Kamer B.V.;;1;;;;;1
De Boerinn B.V.;;1;;;;;1
De Docentenacademie;;;;2;;;2
De Herderin;;1;;;;;1
De investeringsmaatschappij;;;;2;;;2
De Nonnen in Vught;;;;1;;;1
De Onderstroom Karin Brugman;;;;1;;;1
De Poort van Kleef Utrecht B.V.;;1;;;;;1
De Postkamer van Heerde B.V.;;1;;;;;1
De Reehorst' B.V.;;2;;;;;2
De Roos Geschenken B.V.;;2;;;;;2
De Schenker B.V.;;1;;;;;1
De Secretaresse Trainer;;;;1;;;1
De Stadstuin Events B.V.;;1;;;;1;1
De Succesvolle Introvert;;;;1;;;1
De Tijd;;1;;;;;1
De Tuinderij;;1;;;;;1
De Veldkeuken Restaurant B.V.;;1;;;;;1
Dekxels B.V.;;1;;;;;1
Delft Congress Support B.V.;;;;1;;;1
Denk Producties B.V.;;;;1;;;1
depoorte.com;;;;1;;;1
Die Akademie Fresenius GmbH;;;;;;1;1
Diergeneeskundige Studenten Kring;;;1;;;;1
DIOR Opleidingen;;;;2;;;2
Djembé - AGOGÓ;;1;;;;;1
Dols Consult;;;;1;;;1
Drs. V.d. Molen Pers. Ontw., Therapie/Coach.;;;;1;;;1
Dudok RDM B.V.;;1;;;;;1
Dutch Association for Laborat. Animal Science;;;;;;1;1
Dutch at Home;;;;1;;;1
E.W. Storm Exploitatie Rhenen B.V.;;1;;;;;1
Eetcafé H41 B.V.;;1;;;;1;1
Eetcafé het leven;;1;;;;;1
EEZI V.O.F. / Brasserie 't Zusje Eindhoven;;1;;;;;1
Elycio Talen B.V.;;;;1;;;1
Ergatis B.V.;1;;;;;;1
Ergonomiespecialist B.V.;1;;;;;;1
Ergra Low-Vision B.V.;1;;;;;;1
Erik Mathlener;;;;1;;;1
Ervaren Ambtenaren;;;;1;;;1
ESTP Research;;;;;;1;1
Eten & Co Groningen B.V.;;1;;;;;1
Euroforum;;;;;;1;1
Event B.V.;;;;1;;;1
eX:plain;;;;2;;;2
EXENZO NL B.V.;;;1;;;;1
Expl. Mij. Heerlijkh. Mariënwaerdt V.O.F.;;1;;;;;1
Exploitatie Schimmelpenninckhuys B.V.;;1;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;;;1;1
F-Act B.V.;;;;1;;;1
Factor Veiligheid! B.V.;;;;4;;;4
FairPlay Engineering B.V.;;;;;;3;3
Falke & Verbaan B.V.;;;;1;;;1
Favier Training & Coaching in Samen- werking;;;;1;;;1
FERA SCIENCE LTD;;;;1;;;1
Fietstochten Utrecht;;1;;;;1;1
Firefly Training en Coaching;;;;1;;;1
Fletcher Boutique Hotel Restaurant Duinoord;;1;;;;;1
Fletcher Hotel Restaur. De Wageningsche Berg;;1;;1;;;1
Fletcher Hotel Restaurant Doorwerth-Arnhem;;1;;;;;1
Flooow Learning;;;;1;;;1
Focus Academy;;;;1;;;1
FocusXL B.V.;;;;1;;;1
Foodlog Media B.V.;;;;1;;1;1
Fox-IT;;;;1;;;1
Frame B.V.;;;;1;;;1
Frejos B.V.;;;;1;;;1
Frisian Sailing Company B.V.;;1;;;;;1
Fruitproeverij Zandberg;;1;;;;;1
G4S Training & Safety B.V.;;;;3;;;3
Gabriël Anthonio;;;;1;;;1
Garrelds B.V.;;;;1;;;1
Gebr. Barendsen B.V.;;1;;;;;1
Generatiewerk;;;;1;;;1
geodomein;;;;1;;;1
gfa-consulting gmbh;;;;1;;;1
GITP B.V.;;;;1;;;1
GJM Communicatie B.V.;;;;;;1;1
Gladwell Academy B.V.;;;;1;;;1
Gleim Publications Inc.;;;;1;;;1
Goal Trainingen B.V.;;;;1;;;1
GoedeReede Wijnen;;;;1;;;1
GORTcoaching B.V.;;;;1;;;1
GPAL B.V.;;;;2;;;2
GrachtenAtelier;;1;;;;;1
Gran Mercado B.V.;;1;;;;;1
Grand Café 't Gelagh;;1;;;;;1
Grand Hotel Huis Ter Duin B.V.;;;;;;1;1
Gumption26 B.V.;;;;1;;1;1
Gusto Mangia e Bevi;;1;;;;;1
Hand. en Trans.bdr. Mostert & van de Weg B.V.;;;;1;;;1
Hapjes Enzo;;1;;;;;1
Happy Day Tours;;;;;1;;1
Health2Work B.V.;1;;;;;;1
Heilig Vuur;;;;1;;;1
Heinde & Ver Woerden;;1;;;;;1
Henko Workwear B.V.;1;;;;;;1
Henny Venekamp - Prakt. voor Bewustz.ontwikk.;;;;1;;;1
Het Boze Wijf Café Restaurant;;1;;;;;1
Het Kookplein;;1;;;;;1
Het Nederlands Openluchtmuseum;;1;;;;;1
Het Pleidooi;;1;;;;;1
Het Poorthuis;;1;;;;;1
Het Rieten Dak B.V.;;1;;;;;1
Het Zuiden F.G.;;1;;;;;1
Hogeschool Windesheim;;;;1;;;1
Hokra B.V.;;1;;;;;1
HoLaPress Congresbureau B.V.;;;;1;;;1
Holding Beheermaatschappij Ropeni B.V.;;1;;;;;1
Holland Geschenkpakket;;1;;;;;1
Home food & drinks;;1;;;;;1
Horeca Exploitatie Maatschappij De Zalm B.V.;;1;;;;;1
Horecabedrijf De Witte Raaf B.V.;;1;;;;;1
Hotel De Wereld Restaurant O Mundo;;1;;;;;1
Hotel Des Indes B.V.;;1;;;;;1
House of Sports;;1;;;;;1
HR-ICT;;;;1;;;1
HSK Interventie B.V.;1;;;;;;1
Hu V.O.F.;;1;;;;;1
Huize Molenaar B.V.;;1;;;;;1
Human Dimensions B.V.;;;;1;;;1
Human Potential Development;;;;2;;;2
Humphrey's Utrecht B.V.;;1;;;;;1
Hutten Business Catering B.V.;;1;;;;;1
ICM Opleidingen & Trainingen B.V.;;;;2;;1;2
ID Ware International B.V.;;;;1;;;1
IMK Opleidingen B.V.;;;;1;;;1
Impromex Technics B.V.;1;;;;;;1
In De Ruimte;;1;;;;;1
Indisch Restaurant Garoeda;;1;;;;;1
Innovatie & Implementatie Gouda;;;;;;1;1
InsightsWorld B.V.;;;;3;;;3
Inspiration Company Nederland B.V.;;1;;1;;;2
Instituto Nacional de Saúde Doutor Ricardo Jorge (INSA);;;;;;1;1
Instituut van Internal Auditors Nederland;;;;1;;1;1
Instituut voor Bedrijfskundige Opleidingen;;;;1;;;1
Instock Den Haag;;1;;;;;1
Int. Knowledge & Networking (IKN) B.V.;;;;1;;;1
International Anti Crime Academy B.V.;;;;1;;;1
Interoffice Kantoorinrichting B.V.;;1;;;;;1
In-Zichtelijk org. & comm./iQ Coaches Leiden;1;;;;;;1
IPV Opleiding & Training B.V.;;;;1;;;1
Jaarbeurs B.V.;;;;;4;;4
Jacqueline Spaans Fotografie;;;;1;;;1
Ja-maar® B.V.;;;;1;;;1
Jansen TOP;;;;1;;;1
Janskerkhof B.V.;;1;;;;;1
Japas Café;;1;;;;;1
Jochem Kin Werk-organisatie;;;;1;;;1
Joep Stassen;;1;;;;;1
JS Consultancy B.V.;;;2;;;;2
Kameryck B.V.;;1;;;;;1
KD training en advies;;;;1;;;1
Keiretsu Europe B.V.;;2;;;;;2
Kennis- en Adviescentrum Dierplagen;;;;1;;;1
Kern Konsult B.V.;;;;1;;;1
Keurmerkinstituut B.V.;;;;2;;;2
Kickstart School B.V.;;;;1;;;1
KIT Intercultural Professionals;;;;2;;;2
Klingen Bomen;;;;1;;;1
Kodision B.V.;;;;1;;;1
KOM;;1;;;;;1
Kompassie;;;;1;;;1
Koninklijke Burgers' Zoo;;1;;;;;1
Koninklijke Hondenbescherming;;;;1;;;1
Koninklijke Nederl. Mij. voor Diergeneeskunde;;;;;;1;1
Konnichi WA B.V.;;1;;;;;1
Kookstudio Amsterdam;;1;;;;;1
Kremer Communicatie;;;;1;;;1
KSG Trainers & Consultants;;;;1;;;1
Kudding & Partners B.V.;;;;3;;;3
La Cantina di David B.V.;;1;;;;;1
La Carte Internet B.V.;;1;;;;;1
La Red B.V.;;;;1;;;1
Lab QC;;;;1;;;1
Lagerweij & Partner Consultants B.V.;;;;2;;;2
Landgoed de Horst;;;;;;1;1
Landhuis Eten en Drinken;;1;;;;;1
Langedijk Consult;;;;1;;;1
Lanting Advies;;;;1;;;1
Lasaulec B.V.;2;;;;1;;2
Latin Supreme;;;;;1;;1
Learn it B.V.;;;;1;;;1
Leeuwendaal Advies B.V.;1;;2;4;;;4
Leidse Onderwijsinstellingen B.V.;;;;1;;;1
Leopold Hotel Brussels EU;;;;;;1;1
Lexxion Publisher;;;;1;;;1
LHC Exploitatie B.V.;;1;;;;;1
Live Action Play;;;;;1;;1
Lloyd's Register Nederland B.V.;;;;1;;;1
Loburg B.V.;;1;;;;;1
Locatie Westersingel;1;;;;;;1
Logeion;;;;1;;;1
Lokaal 58 B.V.;;;;2;;;2
Loko Cartoons;;;;;1;;1
Loof training en advies B.V.;;;;1;;;1
Lucifers Slagwerk;;1;;;;;1
Luden Utrecht;;1;;;;;1
Maakum Websites;;;;1;;;1
Maatschap The Demand Group;;;;1;;;1
Mainpress B.V.;;;;;1;;1
Marcel Hammink Media;;;;2;;;2
Marosel B.V.;;;;1;;;1
Maud Wilms;;1;;;;;1
Maximes Denneweg 10B B.V.;;1;;;;;1
Mediavrouw;;;;1;;;1
Mediterraan Restaurant Het Zuiden B.V.;;;;;;1;1
Mekander;;;;1;;;1
Meneer Nieges;;1;;;;;1
Merlijn B.V.;;;;2;;;2
MingleMush B.V.;;1;;;;;1
Mini Camping de Hoge Hof;;;;1;;;1
MJtaal;;;;1;;;1
Modelspoorland B.V.;;1;;;;;1
Movenience B.V.;;;;;;1;1
Mulder Media B.V.;;1;;;;;1
Munckhof Business Travel;;;;;;1;1
Munckhof Regie;;;;;;1;1
Munckhof Reizen B.V.;;;;;;1;1
Museumkwartier B.V.;;1;;;1;1;1
Museumshop Den Haag;;1;;;;;1
MVO. De KETENORGANISATIE VOOR OLI+N EN VETTEN;;;;1;;;1
MW & V;;;;3;;;3
Natureatwork Personal Development;;;;1;;;1
Natuur & Ruimte invasieve exoten B.V.;;;;1;;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;2;;;2
Ned.Org.voor toegepast-nat.wetensch. o.z. TNO;;1;;;;;1
Nederl. Academie Van Voedingswetenschappen;;;;;;1;1
Nederlandse Mosselveiling B.V.;;;;1;;;1
Nederlandse Orde van Register EDP-Auditors;;;1;;;1;1
Nederlandse School voor Openbaar Bestuur B.V.;;;;2;;1;2
Netherlands Trade en Investment Office;;;;;;1;1
Nevi B.V.;;;;1;;;1
New Babylon Meeting Center B.V.;;1;;;;;1
Nicole van der Ouw Creatief Veranderman.;;;;1;;;1
Nivoo Beheer B.V.;;;;1;;;1
Nivoo Opleidingen B.V.;;;;1;;;1
Noor Bongers Onderneemt.;;;;1;;;1
NS Reizigers B.V.;;;;;;4;4
O&i management consultants B.V.;;;;2;;;2
OAK consultants B.V.;;;;1;;;1
OANEvents;;;;1;;;1
Odyssee B.V.;;;;1;;;1
Onemeeting.com B.V.;;;;1;;;1
Oopen advies & interim B.V.;;;;2;;;2
Oostduinhaghe Hotel B.V.;;1;;;;;1
Optima Forma B.V.;;;;;1;;1
Orthocor.nl;1;;;;;;1
OSR Juridische Opleidingen B.V.;;;;1;;;1
Oudaen B.V.;;1;;;;;1
P.G. Kusters Land- & Tuinbouwbenodigdh. B.V.;;;;1;;;1
P1 Off Street Management B.V.;;;;;;2;2
PAK organisatieontwikkeling B.V.;;;;;;1;1
ParkPlus B.V.;;;;;;1;1
Passar Performing Arts;;;;;1;;1
Patricia de Wit Coaching;;;;1;;;1
PDS Professional Driving Solutions B.V.;;;;1;;;1
Percuris B.V.;1;;;;;;1
Peter Janssen Re-Integr. & Arb.desk. Advies;1;;;;;;1
Phaos Advies B.V.;;;;1;;;1
Phoenix Opleidingen;;;;1;;;1
Pianostem- en Reparatiebedrijf Jef Slijderink;;;;;1;;1
Pinkcube B.V.;;1;;;;;1
Plant Care Education;;;;1;;;1
Pluimen B.V.;;1;;;;;1
Possible B.V.;;;;1;;;1
Postwagen Tolbert B.V.;;1;;;;;1
Primera Den Haag;;1;;;;;1
Project 13;;;;1;;;1
Promopodium B.V.;;1;;;;;1
Protinus IT B.V.;2;;;;;;2
Prowareness WeOn Academy B.V.;;;;1;;;1
Psyon B.V.;1;;;;;;1
Puur Utrecht;;1;;;;;1
Q4 Profiles B.V.;;;;2;;;2
QAducation;;;;1;;;1
Qidos B.V.;;;;1;;;1
QO Storm Utrecht B.V.;;1;;;;;1
QuoVadis Trustlink B.V.;;;1;;;;1
R. C. Bos Consulting B.V.;;;;1;;;1
R.B.A. Frijlink thodn de Gelderse IJzerhandel;;1;;;;;1
RAAKuitroepteken;;1;;;;;1
RB Group B.V.;;1;;;;;1
Re Assist;1;;;;;;1
Reijnders Advies & Ontwikkeling B.V.;;;;1;;;1
Remlicht;;;;;1;;1
Restaurant Boathouse Almere B.V.;;1;;;;;1
Restaurant C'est ça B.V.;;1;;;;;1
Restaurant De Basiliek B.V.;;1;;;;;1
Restaurant De Cantine;;1;;;;;1
Restaurant De Goedheyd B.V.;;1;;;;;1
Restaurant De Smoezer V.O.F.;;;;;;1;1
Restaurant De Zakkendrager B.V.;;1;;;;;1
Restaurant Fouquet;;1;;;;;1
Restaurant La Viña;;1;;;;;1
Restaurant Onz;;1;;;;;1
Restaurant Sarinande;;1;;;;;1
Restaurant 't Reeuwijkse Hout B.V.;;1;;;;;1
Restaurant Wilhelminapark B.V.;;;;;;1;1
Restaurant Zenne B.V.;;1;;;;;1
Robert Walters B.V.;;;2;;;;2
Roel Dijkstra Persfotografie;;1;;;;;1
Roos Digitale Producties;;;;;1;;1
ROVC Technische Opleidingen B.V.;;;;2;;;2
Royal GD;;;;2;;;2
Ruijgrok CareerCoaching;;;;1;;;1
Saar Café & Deli;;1;;;;;1
Sancy Tres B.V.;;1;;;;;1
Sas Institute B.V.;;;;3;;;3
SBI Formaat Opleiding en Advies B.V.;;;;1;;;1
Scaled Agile, Inc.;;;;;;;
Schiphol Nederland B.V.;;;;1;;3;3
ScienceWorks B.V.;;;;;;1;1
SCS Training & Consultancy B.V.;;;;1;;;1
Sdu Uitgevers B.V.;;;1;1;;1;1
Seats2Meet.com Utrecht B.V.;;;;;1;;1
Semico;;;;1;;;1
SENSTECH;;;;1;;;1
Serum;1;;;;;;1
Shuttel B.V.;;;;;;7;7
Simonis Oude Visafslag B.V.;;1;;;;;1
Sjoerd van der Hucht Fotografie;;1;;;;;1
Skils B.V.;2;;;1;;;2
Slagerij Augustinus Tiel;;1;;;;;1
Smart Drone Agentschap;;;;1;;;1
Smeets Loopcomfort B.V.;1;;;;;;1
Smile Licht en Geluid Utrecht B.V.;;;;;2;;2
Smit Giethoorn;;1;;;;;1
SNR Schouten & Nelissen Recovery B.V.;;;;2;;;2
Sodexo B.V.;;;;;;1;1
Solid Sense B.V.;1;;;;;;1
Speelplan B.V.;;;;1;;;1
Sprengers Advocaten;;;;1;;;1
SRS Consulting B.V.;;;;1;;;1
St. George Oy;;;;;;1;1
Stairway To Heaven B.V.;;1;;;;;1
Start People;;;;1;;1;1
STC Training & Consultancy;;;;1;;;1
Stg. Atlantic and Pacific Exchange Program;;;;;;1;1
Stg. Diergeneeskund. Congres 'Voorjaarsdagen';;;;;;1;1
Stg. Exameninstelling Toezicht en Handhaving;;;;1;;;1
Stg. Horeca Het Nationale Park De Hoge Veluwe;;1;;;;;1
Stg. Ned. Inst. voor Int. Betr. 'Clingend.';;;;1;;;1
Sticht. Bevordering Beeldvorm. Int. Samenlev.;;1;;;;;1
Sticht. HAS KennisTransfer en Bedr.opleid.;;;;2;;;2
Stichting Commonland;;;;1;;;1
Stichting De Ooievaart;;1;;;;;1
Stichting ESPHM2019;;;;1;;;1
Stichting Food Micro and Innovation;;;;;;1;1
Stichting Food Micro Methods;;;;1;;1;1
Stichting Hogeschool Leiden;;;;1;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;;;1;;1
Stichting ir.D.F. Woudagemaal;;1;;;;;1
Stichting Jeugdtheater Hofplein;;1;;;;;1
Stichting Naturalis Biodiversity Center;;;;;2;;2
Stichting NLcoach Office;;;;;;1;1
Stichting Projecten MKB-Nederland;;;;1;;;1
Stichting PTC+;;;;2;;;2
Stichting Raakvlak;;;;1;;;1
Stichting Recruiters United;;;;1;;;1
Stichting Theater 't Kapelletje;;1;;;;;1
Stichting Tomato World;;1;;;;;1
Stichting United Events;;1;;;;;1
Stichting Vanuit autisme bekeken;;;;1;;;1
Stichting Werken op Maat;;;1;;;;1
Stichting Zuiderzeemuseum;;1;;;;;1
Stichting Zuyd Hogeschool;;;;1;;;1
Stokes Verhoor Strategie;;;;2;;;2
Strabrecht Juridisch Advies;;;;1;;;1
Sturingsadvies;;;;1;;;1
Suzie Q Horeca B.V.;;;;1;;;1
Sweet Supply B.V.;;1;;;;;1
Symbol B.V.;;;;3;;;3
t Parkhuys;;1;;;;;1
t Ruysdael B.V.;;;;1;;;1
t Vuurspoor;;1;;;;;1
t Zusje Woerden B.V.;;1;;;;;1
T.G.J. van Hattum Juridisch Advies;;;;1;;;1
Taalstrategie B.V.;;;;1;;;1
Taarten.nl B.V.;;1;;;;;1
Tabasco;;1;;;;;1
Taleninstituut Amsterdam;;;;5;;;5
Tara Advies;;;;1;;;1
Tas Trainingen, Advies & Onderzoek;;;;2;;;2
Taste of Innovation;;;;1;;;1
Taxibedrijf Van der Wijst;;;;;;3;3
Team Biesbosch B.V.;;1;;;;;1
Technical University of Denmark;;;;;;1;1
Teka Groep B.V.;;;;1;2;;2
Tele'Train Education II B.V.;;;;1;;;1
The Hangar B.V.;;1;;;;;1
The Internet Academy;;;;1;;;1
The Knott B.V.;;;;;;1;1
The Leadership Factory;;;;1;;;1
This is Holland B.V.;;;;1;;;1
Tinqwise B.V.;;;;1;;;1
TivoliVredenburg;;1;;;;;1
Topgeschenken Nederland B.V.;;1;;;;;1
Trainmark;;;;1;;;1
TreeForce;;;;;1;;1
Trimension B.V.;;;;2;;;2
Triple E Publications;;;1;;;;1
TSTC Training B.V.;;;;1;;;1
Tyrilo B.V.;;1;;;;;1
U.R.- Coaching en Zelfsturing;;;;1;;;1
Uitjesbazen B.V.;;1;;;;;1
UNESCO;;1;;;;;1
Université de Liège;;;;1;;;1
UOVODORO;;;;1;;;1
Utrecht's Rondvaartbedr. Rederij Schuttevaer;;1;;;;;1
V.O.F. Exploitatie Kernhem;;1;;;;;1
V.O.F. Klapwijk & Oranje thodn Zuivelhoeve;;1;;;;;1
Vakmedianet Food & Horeca B.V.;;;;1;;1;1
Vakmedianet Management B.V.;;;;1;;2;2
Van den Berg Vleesexperts;;;;1;;;1
Van der Ende Racing Inn B.V.;;1;;;;;1
Van der Hilst Communicatie B.V.;;;;1;;;1
Van der Valk Hotel Eindhoven;;;;;;1;1
Van Groningen Corporate & Fin. Training B.V.;;;;1;;;1
Van Harte & Lingsma Man. en Organisatie B.V.;;;;2;;;2
Van Mook Schoentechniek;1;;;;;;1
Van Wijnen Horeca Beemster B.V.;;1;;;;;1
VanBinnennaarBuiten communicatie met effect;;;;2;;;2
VAT Business B.V.;;4;;;;;4
VCK Travel B.V.;;;;;;5;5
Veldhuis Opleidingsadvies;;;;1;;;1
Veluvia Harderwijk B.V.;;1;;;;;1
Vereniging tot Behoud van Natuurmonumenten;;1;;;;;1
Vereniging van Registercontrollers;;;;1;;;1
Vereniging voor Milieurecht;;;;1;;;1
Vermaat Leisure B.V.;;2;;;;;2
Vigor B.V.;;;;1;;;1
Vijverberg Advocaten B.V.;;;;1;;;1
Viking Life-Saving Equipment B.V.;;;;1;;;1
Villa Augustus B.V.;;1;;;;;1
Vineyard Domplein B.V.;;1;;;;;1
Vispaleis en Rokerij Van der Star B.V.;;1;;;;;1
Visserij-inn.centrum Zuidwest-Nederland B.V.;;;;2;;;2
VIStrainingen B.V.;;;;2;;;2
Vlastuin Mechanisatie B.V.;;;;1;;;1
Voor Claar B.V.;;1;;;;;1
VR Experience B.V.;;1;;;;;1
Vreemde Streken;;1;;;;;1
VRescaperooms;;1;;;;;1
VVV Cards B.V.;;4;;;;;4
Wageningen Food Safety Research;;1;;;;;1
Wageningen International Congress Centre B.V.;;;;;;5;5
Walas Projects B.V.;;;;;;1;1
Wat is Wijsheid.nu;;;;1;;;1
Waterproof Events B.V.;;1;;;;;1
Wijndomein De Slootgaert;;1;;;;;1
Wijnhandel GrapeWine;;1;;;;;1
Winnock B.V.;1;;;;;;1
Wooninc.;;;;;;2;2
Worktrainer B.V.;1;;;;;;1
Worldmeetings.com B.V.;;;;;;4;4
Xerox (Nederland) B.V.;;1;;2;;;2
Yacht B.V.;;;1;;;;1
Yearth B.V.;;;;1;;;1
YourGift Cards B.V.;;5;;;;;5
Yvonne de Hont Fotografie en Tekenen;;;;1;;;1
Zeelenberg Professionals B.V.;;;3;;;;3
Zeilvaart Enkhuizen B.V.;;1;;;;;1
Zilt Proefbedrijf B.V.;;1;;;;;1
ZonderMeer Coaching;;;;1;;;1
Zuid B.V.;;1;;;;;1
Eindtotaal;4;7;5;7;5;7;8
