FID,gdb_geomattr_data,shape
water_nacht.20,,"POLYGON ((184920.89070000127 327516.8339000009, 184924.4134999998 327524.41629999876, 184922.42830000073 327511.1132999994, 184915.0711000003 327506.93389999866, 184905.1677000001 327508.46189999953, 184920.89070000127 327516.8339000009))"
water_nacht.21,,"POLYGON ((198501.41310000047 309474.191300001, 198515.88589999825 309474.38329999894, 198548.12269999832 309450.6680999994, 198526.2399000004 309437.5758999996, 198474.39009999856 309433.75450000167, 198453.46649999917 309441.71770000085, 198425.4717000015 309463.0810999982, 198406.6539000012 309502.3407000005, 198422.05790000036 309509.1543000005, 198439.95690000057 309504.18829999864, 198501.41310000047 309474.191300001))"
water_nacht.22,,"POLYGON ((189628.94449999928 309497.94530000165, 189613.23570000008 309499.61410000175, 189622.31529999897 309499.12110000104, 189639.56549999863 309501.820700001, 189628.94449999928 309497.94530000165))"
water_nacht.23,,"POLYGON ((189538.2699000016 309777.2111000009, 189534.35449999943 309770.89009999856, 189526.4902999997 309770.6992999986, 189538.2699000016 309777.2111000009))"
water_nacht.24,,"POLYGON ((198118.7402999997 309947.5758999996, 198145.22309999913 309937.6462999992, 198150.11690000072 309934.810899999, 198143.80730000138 309923.56969999894, 198116.7520999983 309940.69110000134, 198118.7402999997 309947.5758999996))"
water_nacht.25,,"POLYGON ((195497.74010000005 310148.0199000016, 195482.21229999885 310156.8013000004, 195474.50189999864 310177.0410999991, 195481.78390000015 310181.8601000011, 195507.07389999926 310180.32229999825, 195548.92870000005 310171.04410000145, 195553.1050999984 310161.51309999824, 195531.0449000001 310149.62629999965, 195497.74010000005 310148.0199000016))"
water_nacht.26,,"POLYGON ((198119.09710000083 310412.8090999983, 198128.60489999875 310397.89070000127, 198132.69889999926 310375.1545000002, 198129.83949999884 310367.13589999825, 198121.58249999955 310358.1772999987, 198120.8348999992 310346.12049999833, 198111.45569999889 310291.7283000015, 198111.13529999927 310297.55249999836, 198108.68609999865 310407.8502999991, 198119.09710000083 310412.8090999983))"
water_nacht.27,,"POLYGON ((193364.7501000017 310438.28290000185, 193363.97789999843 310426.0368999988, 193361.18389999866 310422.8271000013, 193364.7501000017 310438.28290000185))"
water_nacht.28,,"POLYGON ((195874.4829000011 310784.43609999865, 195957.50890000165 310738.6383000016, 195957.3060999997 310737.9754999988, 195960.08069999889 310724.6647000015, 195954.09970000014 310715.18250000104, 195924.00189999864 310702.6068999991, 195922.3610999994 310702.1561000012, 195896.43710000068 310729.0960999988, 195874.5800999999 310769.2520999983, 195873.31210000068 310785.1072999984, 195874.4829000011 310784.43609999865))"
water_nacht.29,,"POLYGON ((196501.1785000004 311079.95710000023, 196514.11089999974 311046.6660999991, 196517.72569999844 311037.3440999985, 196538.0186999999 310983.78390000015, 196468.17709999904 311023.13109999895, 196481.72129999846 311058.6449000016, 196501.1785000004 311079.95710000023))"
water_nacht.30,,"POLYGON ((192077.9791000001 311317.6660999991, 192066.6900999993 311324.007100001, 192074.61210000142 311329.15309999883, 192082.71049999818 311321.45270000026, 192077.9791000001 311317.6660999991))"
water_nacht.31,,"POLYGON ((190793.94810000062 311608.38969999924, 190833.88830000162 311584.05370000005, 190831.8425000012 311576.2325000018, 190817.96909999847 311580.3671000004, 190806.1053000018 311588.2415000014, 190787.17110000178 311615.7961000018, 190793.94810000062 311608.38969999924))"
water_nacht.32,,"POLYGON ((188531.06010000035 311860.46709999815, 188518.93409999833 311835.6944999993, 188510.4208999984 311831.5225000009, 188497.91710000113 311842.4781000018, 188517.31870000064 311841.01590000093, 188531.06010000035 311860.46709999815))"
water_nacht.33,,"POLYGON ((189235.92449999973 312082.3812999986, 189233.81929999962 312051.0603, 189218.6827000007 312033.90469999984, 189206.3460999988 312042.8390999995, 189198.10709999874 312068.28510000184, 189221.98910000175 312079.5480999984, 189235.92449999973 312082.3812999986))"
water_nacht.34,,"POLYGON ((188898.96869999915 312416.2914999984, 188907.19269999862 312424.10229999945, 188923.27809999883 312417.2811000012, 188922.00809999928 312404.5810999982, 188898.96869999915 312416.2914999984))"
water_nacht.35,,"POLYGON ((189311.48950000107 312797.4748999998, 189315.9787000008 312792.3834999986, 189335.69110000134 312765.84910000116, 189283.58909999952 312726.9871000014, 189273.374499999 312719.3726999983, 189265.0036999993 312722.15029999986, 189257.82649999857 312736.37849999964, 189311.48950000107 312797.4748999998))"
water_nacht.36,,"POLYGON ((189403.44409999996 312802.7360999994, 189419.74909999967 312785.35009999946, 189393.14809999987 312740.1123000011, 189363.58850000054 312732.8134999983, 189362.56529999897 312762.16209999844, 189403.44409999996 312802.7360999994))"
water_nacht.37,,"POLYGON ((189249.2837000005 312773.21829999983, 189228.24329999834 312792.3997000009, 189224.55249999836 312801.48790000007, 189248.57229999825 312819.1308999993, 189256.30790000036 312819.3894999996, 189269.6897 312791.6647000015, 189249.2837000005 312773.21829999983))"
water_nacht.38,,"POLYGON ((189416.3150999993 312824.1479000002, 189365.3137000017 312808.5861000009, 189394.24969999865 312824.02849999815, 189416.3150999993 312824.1479000002))"
water_nacht.39,,"POLYGON ((189215.88369999826 312721.6501000002, 189169.23470000178 312704.63010000065, 189153.97150000185 312707.48310000077, 189153.85709999874 312707.29470000044, 189150.26729999855 312710.3253000006, 189094.2815000005 312769.6942999996, 189119.27109999955 312791.1191000007, 189130.2124999985 312816.3396999985, 189165.67810000107 312824.30249999836, 189157.17430000007 312789.4039000012, 189165.32730000094 312768.67390000075, 189215.88369999826 312721.6501000002))"
water_nacht.40,,"POLYGON ((189899.53610000014 313310.1207000017, 189897.02450000122 313309.09690000117, 189894.00510000065 313308.4400999993, 189896.95050000027 313309.33509999886, 189899.53610000014 313310.1207000017))"
water_nacht.41,,"POLYGON ((189886.7655000016 313224.4604999982, 189872.41470000148 313262.3134999983, 189880.95050000027 313265.23050000146, 189888.64330000058 313227.4241000004, 189926.12330000103 313250.19150000066, 189934.6031000018 313263.8632999994, 189919.78550000116 313316.2734999992, 189899.53610000014 313310.1207000017, 189923.78869999945 313320.0064999983, 189931.16090000048 313317.90890000015, 189938.83889999986 313301.8317000009, 189939.2296999991 313248.3326999992, 189910.79949999973 313225.9829000011, 189886.7655000016 313224.4604999982))"
water_nacht.42,,"POLYGON ((190287.75409999862 313725.7842999995, 190278.43310000002 313713.63910000026, 190262.6660999991 313708.03009999916, 190235.95710000023 313727.4506999999, 190233.42709999904 313736.09369999915, 190256.00809999928 313773.5810999982, 190271.4250999987 313786.90210000053, 190270.54930000007 313792.40890000015, 190324.68549999967 313845.4032999985, 190336.68690000102 313840.1768999994, 190359.64730000123 313813.87370000035, 190297.34789999947 313736.1843000017, 190287.75409999862 313725.7842999995))"
water_nacht.43,,"POLYGON ((191317.00250000134 314181.9697000012, 191331.74350000173 314163.5164999999, 191335.13489999995 314149.76790000126, 191331.99230000004 314156.76029999927, 191314.59490000084 314172.18670000136, 191317.00250000134 314181.9697000012))"
water_nacht.44,,"POLYGON ((192486.88709999993 311453.5491000004, 192486.23910000175 311486.65349999815, 192493.9781000018 311487.0502999984, 192494.19150000066 311505.1363000013, 192494.36149999872 311506.2831000015, 192502.48950000107 311510.89930000156, 192519.80490000173 311541.73889999837, 192521.86609999835 311545.11730000004, 192521.9851000011 311545.0212999992, 192522.20210000128 311538.74109999835, 192553.3531000018 311538.8968999982, 192552.81309999898 311476.13809999824, 192491.70910000056 311477.8671000004, 192491.94209999964 311448.5810999982, 192486.45710000023 311448.245099999, 192486.88709999993 311453.5491000004))"
water_nacht.45,,"POLYGON ((198149.6875 317448.2104999982, 198149.8258999996 317447.70430000126, 198155.19269999862 317436.38749999925, 198182.3847000003 317444.1116999984, 198165.5976999998 317426.0133000016, 198140.85029999912 317419.7072999999, 198149.6875 317448.2104999982))"
water_nacht.46,,"POLYGON ((189201.55310000107 318132.37629999965, 189200.810899999 318132.0998999998, 189187.79809999838 318146.4246999994, 189132.7917000018 318148.7536999993, 189113.57889999822 318169.8610999994, 189106.82869999856 318233.39649999887, 189153.42170000076 318300.8240999989, 189151.05270000175 318312.6031000018, 189141.04830000177 318317.08089999855, 189084.20809999853 318332.1592999995, 189026.0298999995 318317.373300001, 189002.60810000077 318330.87590000033, 189010.46709999815 318342.439100001, 189010.59750000015 318342.63589999825, 189010.14449999854 318341.7738999985, 189027.67130000144 318331.66970000044, 189087.8841000013 318346.69949999824, 189121.94949999824 318338.21489999816, 189162.1999000013 318322.6015000008, 189170.51909999922 318302.97309999913, 189120.38789999858 318229.6618999988, 189123.1906999983 318205.867899999, 189126.45169999823 318176.6704999991, 189140.47630000114 318166.6495000012, 189188.88170000166 318163.7243000008, 189193.8060999997 318159.11950000003, 189214.13390000165 318137.00250000134, 189201.55310000107 318132.37629999965))"
water_nacht.47,,"POLYGON ((187979.29210000113 318529.81529999897, 187985.73950000107 318532.63489999995, 188048.55469999835 318558.6020999998, 188051.4825000018 318553.4263000004, 188059.20010000095 318554.8931000009, 188088.71409999952 318497.32609999925, 188025.84109999985 318466.23970000073, 187995.83549999818 318464.7699000016, 187976.377700001 318517.9835000001, 187979.29210000113 318529.81529999897))"
water_nacht.48,,"POLYGON ((188108.53590000048 318461.9572999999, 188118.84169999883 318469.07669999823, 188081.9908999987 318545.72729999945, 188068.02070000023 318568.0293000005, 188069.63870000094 318597.7734999992, 188059.57569999993 318605.8975000009, 188072.23110000044 318618.1085000001, 188082.6015000008 318624.9851000011, 188083.63769999892 318619.92770000175, 188141.64510000125 318466.6807000004, 188121.38309999928 318452.5225000009, 188104.8038999997 318443.1977000013, 188088.80849999934 318437.09809999913, 188073.49870000035 318429.3359000012, 188051.83810000122 318414.4880999997, 187997.97709999979 318438.1033000015, 187995.83549999818 318464.7699000016, 188025.84109999985 318466.23970000073, 188027.75890000165 318448.64070000127, 188054.07409999892 318433.91330000013, 188082.09329999983 318448.23849999905, 188108.53590000048 318461.9572999999))"
water_nacht.49,,"POLYGON ((188087.9851000011 318649.5020999983, 188075.79769999906 318657.77109999955, 188093.20710000023 318654.4803000018, 188087.9851000011 318649.5020999983))"
water_nacht.50,,"POLYGON ((188075.79769999906 318657.77109999955, 188073.92190000042 318658.1257000007, 188072.183699999 318660.2232999988, 188075.79769999906 318657.77109999955))"
water_nacht.51,,"POLYGON ((188072.183699999 318660.2232999988, 188063.16010000184 318666.3456999995, 188049.63709999993 318675.32550000027, 188039.12669999897 318673.09789999947, 188030.78689999878 318659.67990000173, 188015.9860999994 318624.7949000001, 187988.58669999987 318623.0806999989, 187937.01269999892 318627.0478999987, 187924.28709999844 318616.05790000036, 187899.9503000006 318582.8374999985, 187842.27010000125 318577.1180999987, 187801.82829999924 318527.0535000004, 187722.57389999926 318497.97150000185, 187706.87829999998 318505.93290000036, 187697.0929000005 318535.2897000015, 187686.9844999984 318538.6239, 187686.4668999985 318542.36769999936, 187683.85990000144 318552.37469999865, 187683.65190000087 318553.53990000114, 187706.9074999988 318546.502700001, 187719.20930000022 318510.6823000014, 187739.28709999844 318517.8396999985, 187793.13910000026 318537.9081000015, 187837.06709999964 318591.06749999896, 187893.00189999864 318595.813099999, 187923.06709999964 318636.68510000035, 187944.66649999842 318642.61890000105, 187973.24489999935 318637.15190000087, 188006.8572999984 318637.1686999984, 188023.89970000088 318675.7296999991, 188052.39909999818 318684.0971000008, 188072.183699999 318660.2232999988))"
water_nacht.52,,"POLYGON ((188618.01590000093 318595.10489999875, 188612.68690000102 318601.1510999985, 188609.42669999972 318617.9615000002, 188587.54050000012 318631.81489999965, 188548.78649999946 318642.26370000094, 188487.85909999907 318642.66750000045, 188453.2226999998 318638.65410000086, 188421.99350000173 318611.93569999933, 188340.82169999927 318591.26729999855, 188316.2050999999 318593.1180999987, 188295.58069999889 318606.2457000017, 188311.84010000154 318606.2030999996, 188300.41490000114 318668.8761, 188272.19909999892 318707.5430999994, 188247.0273000002 318725.01370000094, 188224.49709999934 318725.81069999933, 188176.51929999888 318710.5439000018, 188141.69830000028 318735.41209999844, 188133.55150000006 318770.4365000017, 188062.1347000003 318782.6325000003, 187937.52230000123 318786.44750000164, 187916.2996999994 318795.0736999996, 187896.58410000056 318814.2888999991, 187881.40590000153 318814.95589999855, 187774.97129999846 318807.76370000094, 187751.40029999986 318811.6363000013, 187722.4963000007 318810.757100001, 187722.10909999907 318812.63369999826, 187718.9620999992 318826.28449999914, 187749.6436999999 318824.7402999997, 187779.5417000018 318823.0282999985, 187868.83949999884 318832.1341000013, 187901.26909999922 318826.57290000096, 187956.28590000048 318800.87970000133, 188074.20430000126 318796.9979000017, 188145.8370999992 318784.13430000097, 188153.29149999842 318777.7958999984, 188154.10229999945 318742.9803000018, 188170.04410000145 318733.429299999, 188240.0282999985 318744.28990000114, 188260.3786999993 318739.98910000175, 188274.16310000047 318729.25670000166, 188312.83790000156 318673.5775000006, 188326.4010999985 318606.53810000047, 188343.76289999858 318606.7377000004, 188411.08929999918 318624.79569999874, 188439.48209999874 318649.6261, 188469.7281000018 318655.1526999995, 188557.90029999986 318657.34870000184, 188614.0817000009 318645.69750000164, 188628.27270000055 318635.2168999985, 188647.6308999993 318609.35229999945, 188698.3365000002 318587.33249999955, 188722.5097000003 318514.64510000125, 188707.19689999893 318488.19029999897, 188702.9924999997 318483.2533, 188672.3825000003 318466.5023000017, 188649.45309999958 318477.85869999975, 188624.44310000166 318511.3920999989, 188611.8850999996 318512.9761000015, 188602.3198999986 318499.35709999874, 188587.51190000027 318440.8000999987, 188594.4039000012 318424.6392999999, 188611.26429999992 318413.123300001, 188652.066300001 318437.492899999, 188664.45549999923 318434.6884999983, 188684.09070000052 318442.4946999997, 188723.6414999999 318466.9365000017, 188776.80710000172 318469.10009999946, 188797.87730000168 318477.8566999994, 188819.28269999847 318487.1728999987, 188848.7201000005 318494.00609999895, 188878.29210000113 318486.0590999983, 188976.71049999818 318401.48369999975, 188976.4001000002 318375.82990000024, 189010.46709999815 318342.439100001, 189002.60810000077 318330.87590000033, 189002.07290000096 318327.89130000025, 188995.2063000016 318333.75869999826, 188987.6372999996 318339.93030000106, 188979.33630000055 318343.80310000107, 188971.0148999989 318347.4604999982, 188967.32710000128 318357.48209999874, 188963.6708999984 318367.0865000002, 188960.1986999996 318376.35009999946, 188957.20789999887 318385.58850000054, 188879.52409999818 318454.4640999995, 188861.78429999948 318462.52369999886, 188841.93809999898 318462.5181000009, 188784.89510000125 318438.124499999, 188751.2600999996 318436.86829999834, 188720.08669999987 318391.1955000013, 188717.71049999818 318416.09789999947, 188679.93310000002 318423.18769999966, 188653.29250000045 318418.69469999894, 188615.19029999897 318396.1251000017, 188585.98050000146 318412.2622999996, 188572.7287000008 318440.5427000001, 188577.0117000006 318472.43030000106, 188595.4365000017 318516.0775000006, 188614.1411000006 318532.5720999986, 188636.25090000033 318518.61890000105, 188664.0874999985 318484.7644999996, 188674.13210000098 318480.6928999983, 188695.55829999968 318500.75290000066, 188676.4508999996 318553.24390000105, 188670.78590000048 318570.78869999945, 188625.85669999942 318596.10390000045, 188618.01590000093 318595.10489999875))"
water_nacht.53,,"POLYGON ((186894.03689999878 318957.71550000086, 186895.43609999865 318938.1757000014, 186973.2281000018 318946.438099999, 186978.84109999985 318955.9560999982, 187011.2111000009 318958.59809999913, 187049.29890000075 318912.6823000014, 187010.7661000006 318903.4204999991, 187003.8920999989 318869.1330999993, 186994.81309999898 318858.8841000013, 187005.56010000035 318843.5960999988, 187003.6561000012 318826.8220999986, 187060.77409999818 318790.17810000107, 187093.7670999989 318746.6180999987, 187096.1970999986 318722.1680999994, 187134.72210000083 318701.9765000008, 187118.689100001 318682.9690999985, 187118.18409999833 318670.5731000006, 187067.0714999996 318671.34050000086, 187045.04410000145 318702.2760999985, 187009.34809999913 318703.3220999986, 186987.5320999995 318675.1121000014, 186973.0058999993 318675.01689999923, 186969.6875 318678.7782999985, 186963.79210000113 318693.92909999937, 186928.31810000166 318742.9631000012, 186935.96510000154 318769.8348999992, 186945.9397 318768.56529999897, 186950.10830000043 318806.84050000086, 186910.9662999995 318852.3988999985, 186885.4886999987 318879.76150000095, 186894.5267000012 318948.6590999998, 186894.03689999878 318957.71550000086))"
water_nacht.54,,"POLYGON ((187604.64350000024 318536.0142999999, 187615.35649999976 318533.10229999945, 187635.7393000014 318534.88170000166, 187652.6015000008 318537.4567000009, 187669.56289999932 318539.94409999996, 187686.4668999985 318542.36769999936, 187686.9844999984 318538.6239, 187691.94049999863 318515.39649999887, 187662.16110000014 318515.0119000003, 187623.19269999862 318514.71550000086, 187606.2239000015 318520.5064999983, 187562.5615000017 318535.4998999983, 187517.15949999914 318574.0967000015, 187486.22370000184 318644.7184999995, 187453.5075000003 318670.78830000013, 187458.2734999992 318700.21930000186, 187448.5544999987 318716.1821000017, 187448.92229999974 318736.77490000054, 187436.13309999928 318755.04349999875, 187423.78189999983 318816.54670000076, 187417.47410000116 318822.9717000015, 187392.52389999852 318829.34369999915, 187377.48369999975 318863.6185000017, 187380.52050000057 318877.40729999915, 187411.23809999973 318894.80310000107, 187398.43989999965 318911.34809999913, 187296.63709999993 319011.76110000163, 187232.46730000153 319065.89510000125, 187219.9001000002 319081.6218999997, 187205.9637000002 319086.49529999867, 187176.0474999994 319080.50890000165, 187150.42610000074 319068.57229999825, 187144.52470000088 319080.3920999989, 187167.49810000136 319092.84329999983, 187204.44429999962 319104.56909999996, 187237.74329999834 319087.47309999913, 187266.6682999991 319059.41010000184, 187326.8038999997 319027.5251000002, 187410.70789999887 318933.62249999866, 187434.68769999966 318913.85990000144, 187443.49489999935 318896.9547000006, 187461.18310000002 318888.14990000054, 187505.52749999985 318872.2729000002, 187559.57569999993 318854.2708999999, 187598.2831000015 318838.76729999855, 187689.64510000125 318829.8498999998, 187718.88969999924 318828.5465000011, 187718.9620999992 318826.28449999914, 187722.10909999907 318812.63369999826, 187690.9455000013 318816.33469999954, 187594.15089999884 318822.1116999984, 187552.60810000077 318839.7322999984, 187509.29630000144 318847.8757000007, 187428.9908999987 318890.73050000146, 187390.22709999979 318867.7109000012, 187404.78590000048 318839.8412999995, 187423.64070000127 318835.08790000156, 187436.56929999962 318822.0795000009, 187449.12150000036 318759.2853000015, 187463.21810000017 318738.7131000012, 187461.80490000173 318719.5516999997, 187472.00429999828 318702.3856999986, 187467.94590000063 318676.1682999991, 187496.69449999928 318653.40309999883, 187524.7386999987 318589.70589999855, 187573.05050000176 318547.6827000007, 187604.64350000024 318536.0142999999))"
water_nacht.55,,"POLYGON ((186862.2584999986 319154.26850000024, 186864.88809999824 319153.75290000066, 186884.77809999883 319152.48110000044, 186896.41710000113 319134.9835000001, 186903.46330000088 319127.4354999997, 186939.97370000184 319106.01249999925, 186947.81489999965 319104.50769999996, 186959.5036999993 319118.18189999834, 186970.6565000005 319138.0747000016, 187000.27270000055 319175.29949999973, 187023.9167000018 319175.13390000165, 187062.02809999883 319159.0293000005, 187077.57930000126 319150.33509999886, 187114.99549999833 319127.4659000002, 187131.31230000034 319098.4528999999, 187144.52470000088 319080.3920999989, 187150.42610000074 319068.57229999825, 187153.0903000012 319063.7721000016, 187123.0951000005 319053.73110000044, 187097.0938999988 319055.10929999873, 187081.74810000136 319062.7980999984, 187074.48110000044 319085.0650999993, 187081.11470000073 319101.48970000073, 187096.63309999928 319111.2217000015, 187096.22830000147 319118.000500001, 187047.2949000001 319137.84589999914, 187030.35190000013 319139.0080999993, 187022.6660999991 319133.78229999915, 186971.5689000003 319065.31230000034, 186968.0177000016 319060.0742999986, 186945.7511 319047.4252999984, 186944.74909999967 319047.2109000012, 186941.34629999846 319044.1805000007, 186936.46189999953 319049.1596999988, 186914.02930000052 319059.7831000015, 186906.94090000167 319076.6752999984, 186906.92289999872 319076.3434999995, 186879.42130000144 319090.7357000001, 186860.85229999945 319114.4908999987, 186862.2584999986 319154.26850000024))"
water_nacht.56,,"POLYGON ((186862.2584999986 319154.26850000024, 186860.85229999945 319114.4908999987, 186811.07710000128 319135.4530999996, 186791.2820999995 319155.2159000002, 186766.3863000013 319182.60770000145, 186764.00989999995 319182.5366999991, 186712.70710000023 319282.2045000009, 186656.15349999815 319281.85990000144, 186610.53590000048 319305.6440999992, 186607.68789999932 319310.0410999991, 186613.68129999936 319315.2917000018, 186620.38450000063 319322.7120999992, 186634.00930000097 319338.25510000065, 186637.6088999994 319344.5500999987, 186655.78909999877 319324.98110000044, 186658.9167000018 319317.41970000044, 186669.42210000008 319315.53730000183, 186735.5161000006 319323.47289999947, 186755.995099999 319304.4598999992, 186771.69909999892 319251.3630999997, 186784.30169999972 319237.63269999996, 186778.6041000001 319230.97309999913, 186809.19330000132 319202.72410000116, 186822.50030000135 319188.60990000144, 186829.34209999815 319182.44310000166, 186845.05889999866 319183.01370000094, 186850.52549999952 319185.627700001, 186856.3872999996 319181.02849999815, 186872.5384999998 319169.4877000004, 186864.88809999824 319153.75290000066, 186862.2584999986 319154.26850000024))"
water_nacht.57,,"POLYGON ((197013.29769999906 319668.82229999825, 197024.4813000001 319660.5362999998, 197020.87070000172 319659.070700001, 197013.29769999906 319668.82229999825))"
water_nacht.58,,"POLYGON ((196202.1405000016 320235.6559000015, 196221.25070000067 320208.2804999985, 196210.7553000003 320206.7833000012, 196199.2824999988 320195.46189999953, 196216.2291000001 320168.94409999996, 196228.5203000009 320159.49810000136, 196233.33810000122 320137.4499000013, 196229.68829999864 320109.99489999935, 196221.08449999988 320104.59149999917, 196222.77210000157 320099.7954999991, 196223.66310000047 320093.8825000003, 196181.69830000028 320169.6059000008, 196163.13390000165 320204.9880999997, 196158.34690000117 320213.7661000006, 196166.95190000162 320218.1431000009, 196196.94590000063 320232.77870000154, 196202.1405000016 320235.6559000015))"
