Handelsnaam;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
SITA Industrie & Ziekenhuizen;;;;;;;2;;;;2
SITA National Sales;;;;;;;6;;;;6
Sita Recycling Services West;;;;;;;2;;;;2
Smits Van Burgst Beveiliging B.V.;;;4;;;;;;;;4
Sodexo B.V.;;1;;;;;;;;;1
Soons Interieurbouw B.V.;;;;;;;;;1;;1
Speciaaldrukkerij Lijnco Groningen B.V.;;;;;;1;;;;;1
Special Cargo Services Schiphol;;;;;1;;;;;;1
Sportrusten BV;;;;;;;;;1;;1
Spot display GmbH;;;;;;;;1;;;1
Springstof;;;;;;;;;1;;1
Stagepower;;;;;;;;1;;;1
Staples Nederland B.V.;;;;;;;;;7;;7
Stempelfabriek De Maas B.V.;;;;;;;;;1;;1
Stichting 'Atlas Van Stolk';;;;;;1;;;;;1
Stichting Fund for Excellence of th;;;;;;;;1;;;1
Stichting Kanaal Centraal;;;;;;;;;1;;1
Stichting Nederlandse Orde van Beroepscoaches;;;;;;;;;1;;1
Stomerij Panda;;;;;;;;;1;;1
Stomerij Peeters;;;;;;;;;1;;1
Stow Nederland B.V.;;;;;;;;;1;;1
Studio David Laport;;;;;;;;1;;;1
SUITSUPPLY BUSINESS CENTRE DEN HAAG;;;;;;;;;1;;1
Supermagnete;;;;;;;;;1;;1
Swedamast Nederland B.V.;;;;;;;;;1;;1
Sweeltex;;;;;;;;;1;;1
SWIFT SCRL;;;;;;;;;;2;2
Sytec B.V.;;;1;;;;;;;;1
Tapes Amsterdam B.V.;;;;;;;;;2;;2
Tapwacht Service B.V.;;1;;;;;;;;;1
Tawi B.V.;;;;;;;;;2;;2
Tempelman Vak en Horecakleding;;;;;;;;;1;;1
The Tailors, Dutch Tailoring;;;;;;;;;1;;1
Theun Mosk;;;;;;;;1;;;1
Tint, Buro voor Grafische;;;;;;;;;1;;1
Tint, Buro voor Grafische Vormgeving;;;;;;1;;;;;1
TNT Express Nederland B.V.;;;;;1;;;;;;1
Tonnaer Bykorf;;;;;;;;;2;;2
Tool Com B.V.;;;;;;;;1;;;1
Transportbedr. Van de Wetering Loosdr. B.V.;;;;;2;;;;;;2
Transposafe Systems;;;1;;;;;1;2;;2
Trigion Alarmcentrale B.V.;;;1;;;;;;;;1
Trigion Beveiligingstechniek B.V.;;;1;;;;;;;;1
Trigion Services B.V.;;;2;1;;;;;;;2
Tumi's Foodservice;;1;;;;;;;;;1
Unica Installatietechniek;;;1;;;;;;;;1
UNITED PARCEL SERVICE NEDERLAND BV;;;;;1;;;;;;1
Van Gansewinkel Milieuserv. Overh.dnst. B.V.;;;;1;;;;;;;1
Van Gansewinkel Nederland B.V.;;;;;;;2;;;;2
Van Gansewinkel Regio Zuid-Nederland;;;;;;;1;;;;1
