OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,AZIMUT,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,PRORAIL_GEBIED,X,Y,LATITUDE,LONGITUDE
11,0633d0c1-3a0f-4222-9ddb-371a34577a3c,,120,Bestaand,,,,,,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,6.421602,"6,421602",56.903762,"56,903762",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,90486.578,431881.078,51.87173699,4.45042071
12,bb1db734-74b9-4964-b8d8-618397f4629a,,120,Bestaand,,,,,,Mvta-Mvtn,Maasvlakte Aansl. - Maasvlakte Noordwesthoek ,478,a,478,478_a,Rotterdam Europoort 4,0.74369,"0,743690",-150.751266,"-150,751266",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,61634.298,439024.259,51.93183832,4.02962143
13,fd43a880-7ac0-4dbb-9f43-06e006077276,,60,Bestaand,,,,,,Ht-Nm,s-Hertogenbosch - Nijmegen ,514,b,514,514_b,Nijmegen,65.28312,"65,283120",-33.537613,"-33,537613",ProRail,Noord-Oost,NO,BASIS,Gelre,400,Maas en Waal,28,ASSET Rail,Oost,186846.436,427935.521,51.83909689,5.84929335
14,e2bb5559-840c-4f49-8819-f9ec20409ec5,,60,Bestaand,,,,,,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,54.452033,"54,452033",15.405624,"15,405624",ProRail,Zuid,Z,BASIS,Brabant,330,Boxtel,23,ASSET Rail,Zuid-West,158252.734,386500.851,51.46756161,5.43401084
15,152bf3fe-6725-4723-b9e5-70dbe946ce9c,,60,Bestaand,,,,,,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,8.500503,"8,500503",-27.392126,"-27,392126",ProRail,Zuid,Z,BASIS,De Peel,300,Venlo,27,ASSET Rail,Zuid-Oost,202736.871,380440.877,51.41107987,6.07335362
16,81104eae-3211-494f-b0cb-8dae6add708e,,60,Bestaand,,,,,,Mt-Vl,Maastricht - Venlo ,517,b,517,517_b,Venlo,69.70742,"69,707420",-85.812928,"-85,812928",ProRail,Zuid,Z,BASIS,De Peel,300,Venlo,27,ASSET Rail,Zuid-Oost,209667.406,375157.16,51.36296094,6.17214534
17,709b83e4-c30b-438d-aa0c-c82175721496,,60,Bestaand,,,,,,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,9.424939,"9,424939",4.758255,"4,758255",ProRail,Zuid,Z,BASIS,De Peel,300,Venlo,27,ASSET Rail,Zuid-Oost,202019.941,381027.582,51.41641348,6.06312756
18,a38604c5-f8f3-4fa6-8ec0-e82627c76758,,60,Bestaand,,,,,,Vl-Ehv,Venlo - Eindhoven ,516,a,516,516_a,Blerick,1.973323,"1,973323",71.789271,"71,789271",ProRail,Zuid,Z,BASIS,De Peel,300,Venlo,27,ASSET Rail,Zuid-Oost,208053.025,376663.913,51.37665756,6.14919307
19,4dcac4bc-f3fd-431b-9667-4de5e04b7205,,60,Bestaand,,,,,,Vl-Ehv,Venlo - Eindhoven ,517,a,517,517_a,Venlo,0.192012,"0,192012",-46.028921,"-46,028921",ProRail,Zuid,Z,BASIS,De Peel,300,Venlo,27,ASSET Rail,Zuid-Oost,209395.03,375472.468,51.36582122,6.16828323
20,62067895-ad40-4015-9715-7157fe7c0a15,,60,Bestaand,,,,,,Mt-Vl,Maastricht - Venlo ,517,b,517,517_b,Venlo,69.196692,"69,196692",-45.833498,"-45,833498",ProRail,Zuid,Z,BASIS,De Peel,300,Venlo,27,ASSET Rail,Zuid-Oost,209956.347,374783.3,51.35957267,6.17623569
21,6ce43bd0-68e3-476b-aca6-bc5e2a722f3e,,60,Bestaand,,,,,,Ah-Zl,Arnhem - Zwolle ,503,c,503,503_c,Deventer,42.795279,"42,795279",-28.711179,"-28,711179",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,IJsselstreek,31,Strukton Rail,Oost,208583.17,474484.052,52.25578181,6.17197305
22,9c45cce6-646c-447b-b6a7-59aabf1b04cf,,60,Bestaand,,,,,,Zp-Esg,Zutphen - Enschede Grens ,543,c,543,543_c,Hengelo,45.357896,"45,357896",50.264288,"50,264288",ProRail,Noord-Oost,NO,BASIS,Twente,410,Twente,32,VolkerRail,Oost,251256.982,475702.007,52.26092097,6.79717185
23,43ff7ce1-8e32-492f-a19a-5a3af48f6987,,60,Bestaand,,,,,,Zp-Esg,Zutphen - Enschede Grens ,543,c,543,543_c,Hengelo,45.697078,"45,697078",-8.622011,"-8,622011",ProRail,Noord-Oost,NO,BASIS,Twente,410,Twente,32,VolkerRail,Oost,251596.559,475650.007,52.26039426,6.80212966
24,6e3ee151-3c95-4e4a-83e8-dda6790d86d0,,60,Bestaand,,,,,,Mt-Vl,Maastricht - Venlo ,553,c,553,553_c,Sittard,21.717071,"21,717071",-55.845427,"-55,845427",ProRail,Zuid,Z,BASIS,Limburg,340,Roermond,25,Strukton Rail,Zuid-Oost,188013.95,334714.067,51.00111794,5.85750478
25,612ad65a-e0f6-4524-b16d-e7525648cab8,,60,Bestaand,,,,,,Mt-Vl,Maastricht - Venlo ,553,c,553,553_c,Sittard,22.122904,"22,122904",-49.561341,"-49,561341",ProRail,Zuid,Z,BASIS,Limburg,340,Roermond,25,Strukton Rail,Zuid-Oost,188149.961,335089.117,51.0044812,5.85947679
26,ea2e132b-cb68-42db-82fb-d4b3c506152b,,60,Bestaand,,,,,,Std-Bon,Sittard - Born ,433,,433,433__,Sittard - Born,5.252153,"5,252153",18.612042,"18,612042",ProRail,Zuid,Z,BASIS,Limburg,340,Roermond,25,Strukton Rail,Zuid-Oost,184545.347,338726.478,51.03737375,5.80842266
27,d5f2b5f5-d57f-4caf-bf12-69aeebe06143,,60,Bestaand,,,,,,Swd-Rd,Sauwerd - Roodeschool ,200,,200,200__,Winsum - Roodeschool,26.974183,"26,974183",16.6651,"16,665100",ProRail,Noord-Oost,NO,BASIS,Wadden,420,Groningen,37,Strukton Rail,Noord,246367.065,604566.168,53.41952571,6.76148263
28,d909fd16-d541-4c79-99ad-f320c74fa1a8,,60,Bestaand,,,,,,Mt-Vl,Maastricht - Venlo ,519,a,519,519_a,Roermond,46.631475,"46,631475",15.533371,"15,533371",ProRail,Zuid,Z,BASIS,Limburg,340,Roermond,25,Strukton Rail,Zuid-Oost,197553.197,356383.434,51.1952586,5.99596407
29,c14c8164-5d79-4f14-91fc-f2767fdfe287,,60,Bestaand,,,,,,Sloe-Vck,Sloehaven Emplacement - Van Citterskanaal ,817,a,817,817_a,Vlissingen Sloehaven,115.325516,"115,325516",81.006413,"81,006413",ProRail,Zuid,Z,BASIS,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,40824.817,385293.681,51.44516241,3.7447774
30,56e87d9f-c033-4afb-a7c2-c4ea7aa46d47,,60,Bestaand,,,,,,Sloe-Vck,Sloehaven Emplacement - Van Citterskanaal ,817,a,817,817_a,Vlissingen Sloehaven,115.239404,"115,239404",14.153914,"14,153914",ProRail,Zuid,Z,BASIS,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,40909.404,385331.467,51.44551906,3.74598148
31,603ff32f-020d-47b0-a95f-29d562bd44db,,60,Bestaand,,,,,,Sloe-Qh,Sloehaven Emplacement - Quarleshaven ,817,e,817,817_e,Vlissingen Sloehaven,205.709341,"205,709341",12.710645,"12,710645",Strukton Rail Short Line,Zuid,Z,BASIS,n.v.t.,,n.v.t.,,n.v.t.,Zuid-West,37742.682,388276.435,51.47133156,3.6994658
32,0a96917e-4c8d-4fc6-bf91-9f4a7b91c261,,60,Bestaand,,,,,,Sloe-Qh,Sloehaven Emplacement - Quarleshaven ,817,e,817,817_e,Vlissingen Sloehaven,205.146956,"205,146956",12.089758,"12,089758",ProRail,Zuid,Z,BASIS,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,37464.622,388765.26,51.47566597,3.69530197
33,16c9cb62-21c5-4795-8ccd-ece2d1acbe4e,,60,Bestaand,,,,,,Sloe-Vck,Sloehaven Emplacement - Van Citterskanaal ,817,a,817,817_a,Vlissingen Sloehaven,114.583194,"114,583194",107.319976,"107,319976",ProRail,Zuid,Z,BASIS,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,40559.253,385864.18,51.45023489,3.74077352
34,b4f66e09-8178-4f8f-9c4e-a01f0dd677d1,,120,Bestaand,,,,,,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,11.517655,"11,517655",-7.027589,"-7,027589",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,85528.023,432608.324,51.8776768,4.37828246
35,1a656091-5849-4247-9d4b-74654c47b329,,120,Bestaand,,,,,,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,11.927851,"11,927851",43.345321,"43,345321",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,85115.937,432644.89,51.87795387,4.37229134
36,8412d9f8-2980-42f1-aabd-52e75d203c2f,,120,Bestaand,,,,,,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,12.655847,"12,655847",46.690297,"46,690297",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,84383.473,432617.463,51.877615,4.36166116
37,02926ad9-f150-4bcc-b599-635b2687d5ea,,120,Bestaand,,,,,,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,17.396757,"17,396757",21.073528,"21,073528",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,79770,431677.427,51.86856273,4.29487777
38,7aacf60c-32ef-4e3e-861c-350694487246,,120,Bestaand,,,,,,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte",950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,26.875232,"26,875232",8.702219,"8,702219",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,73110.323,436493.806,51.91090659,4.19705494
39,b439d98a-0a86-46be-bd01-d9e66182a1b3,,60,Bestaand,,,,,,Zlw-Np,Lage Zwaluwe - Nispen ,545,b,545,545_b,Roosendaal,23.344491,"23,344491",-10.358479,"-10,358479",ProRail,Zuid,Z,BASIS,Zeeland,310,Roosendaal,19,Strukton Rail,Zuid-West,90350.618,394758.511,51.53808162,4.45534623
40,33c5465f-2cf8-4dae-98f3-174867359d76,,60,Bestaand,,,,,,Dzsh-Ohm3,Delfzijl Stamlijn Havenschap - Oosterhorn Midden 3 ,803,i,803,803_i,Delfzijl Stamlijn Havenschap,120.052,"120,052000",19.699783,"19,699783",Derden - Overig - Chemcom voorheen Dynea,Noord-Oost,NO,BASIS,n.v.t.,,n.v.t.,,n.v.t.,Noord,260085.204,592993.445,53.313046,6.96393473
41,be2e12c5-3046-4d92-b0fa-f152b3d82704,,60,Bestaand,,,,,,Ddr-Ddrz,Dordrecht - Dordrecht Zeehaventerrein ,805,a,805,805_a,Dordrecht Zeehaventerrein,100.119825,"100,119825",-9.627852,"-9,627852",ProRail,Randstad Zuid,RZ,BASIS,Dordrecht,140,Dordrecht,5,ASSET Rail,Zuid-Holland Zuid,104442.712,424742.481,51.80901834,4.65410062
42,82ac14ca-f58c-4b93-a64a-ef2b16524a89,,60,Bestaand,,,,,,Fsz-Tnz,Zelzate (B) - Terneuzen ,131,,131,131__,Sas van Gent Grens - Terneuzen Aansl.,17.205832,"17,205832",-13.089445,"-13,089445",ProRail,Zuid,Z,BASIS,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,43700.033,360710.02,51.22483128,3.79384296
43,b6d9124f-7e22-49ed-8b2e-d81a21b1d34b,,60,Bestaand,,,,,,Axa-Sluo1,Axel Aansl. - Sluiskil Oost 1 ,130,c,130,130_c,Axel Aansl. - Terneuzen Aansl.,200.071691,"200,071691",4.637927,"4,637927",Strukton Rail Short Line,Zuid,Z,BASIS,n.v.t.,,n.v.t.,,n.v.t.,Zuid-West,48629.22,366563.456,51.27837649,3.86263434
44,351cf035-051a-4225-b079-3719f99b4656,,60,Bestaand,,,,,,Fsz-Tnz,Zelzate (B) - Terneuzen ,557,a,557,557_a,Terneuzen Aansl.,28.240417,"28,240417",5.95591,"5,955910",ProRail,Zuid,Z,BASIS,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,47230.628,370232.879,51.31108601,3.84148214
45,657e3905-ac41-4ea3-9fdc-5d17ee0f51c6,,60,Bestaand,,,,,,Fsz-Tnz,Zelzate (B) - Terneuzen ,557,a,557,557_a,Terneuzen Aansl.,27.421101,"27,421101",5.422111,"5,422111",ProRail,Zuid,Z,BASIS,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,47425.445,369438.315,51.30398303,3.8445163
46,66a8ca1f-e617-4c7e-8111-e466098eb1e9,,60,Bestaand,,,,,,Axa-Tnzz,Axel Aansl. - Terneuzen Zuidzijde (Racc.)  ,130,a,130,130_a,Axel Aansl. - Terneuzen Aansl.,61.852603,"61,852603",-1.071987,"-1,071987",ProRail,Zuid,Z,BASIS,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,47825.899,366994.276,51.28209654,3.85099474
47,6baa3667-355d-48b6-8548-5ed82fbe97b6,,60,Bestaand,,,,,,Axa-Tnzz,Axel Aansl. - Terneuzen Zuidzijde (Racc.)  ,130,a,130,130_a,Axel Aansl. - Terneuzen Aansl.,61.503099,"61,503099",-12.951046,"-12,951046",ProRail,Zuid,Z,BASIS,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,48088.742,366762.313,51.28006174,3.85483075
48,4042a7d5-65e1-499b-88cc-44957945f896,,60,Bestaand,,,,,,Bd-Rtd,Breda - Rotterdam Centraal ,625,b,625,625_b,Lage Zwaluwe,14.897782,"14,897782",-0.022478,"-0,022478",ProRail,Zuid,Z,BASIS,Zeeland,310,Roosendaal,19,Strukton Rail,Zuid-West,104974.342,411507.027,51.69010782,4.66371675
49,a47ee877-222b-4533-9129-fd30fca3b7bd,,60,Bestaand,,,,,,Mt-Vl,Maastricht - Venlo ,063,,63,063__,Maastricht - Sittard,17.39859,"17,398590",-64.9351,"-64,935100",Derden - Overig - Chemelot (DSM),Zuid,Z,BASIS,n.v.t.,,n.v.t.,,n.v.t.,Zuid-Oost,185284.318,331397.094,50.97145444,5.81834189
50,01ed1717-1b44-41a4-bf35-316425409e86,,60,Bestaand,,,,,,Bdl-Rm,Budel - Roermond ,518,,518,518__,Weert,63.684604,"63,684604",51.26985,"51,269850",ProRail,Zuid,Z,BASIS,Limburg,340,Roermond,25,Strukton Rail,Zuid-Oost,176427.999,362204.514,51.2487725,5.69410403
51,a0e84014-0a2e-4b05-b874-e35a452e9d54,,120,Bestaand,,,,,,Bottha-Botbh,Botlek Theemsweg Aansl. - Botlek Brittanniëhaven ,476,b,476,476_b,Rotterdam Europoort 2,201.7199,"201,719900",1.838895,"1,838895",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,75697.461,433894.382,51.88792093,4.23524656
52,a05caf9f-a84d-43be-9ece-c89150c55630,,60,Bestaand,,,,,,Ah-Vl,Arnhem - Venlo ,514,a,514,514_a,Nijmegen,17.040531,"17,040531",64.532918,"64,532918",ProRail,Noord-Oost,NO,BASIS,Gelre,400,Maas en Waal,28,ASSET Rail,Oost,187004.661,428413.292,51.84338207,5.85163344
53,07494b5c-e99b-4db2-8705-250d7747ef38,,60,Bestaand,,,,,,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),5.268019,"5,268019",2.947299,"2,947299",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,Midden,114407.356,490328.039,52.39928822,4.79077045
54,698625f2-4610-4cae-902c-42ab078a414d,,60,Bestaand,,,,,,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,44.418551,"44,418551",-29.641345,"-29,641345",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,95023.291,434685.158,51.89744515,4.51580171
55,a779142e-7f2c-4e59-b051-6487c9a380a2,,60,Bestaand,,,,,,Mp-Gn,Meppel - Groningen ,011,,11,011__,Assen - Haren,68.15093,"68,150930",73.633144,"73,633144",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Drenthe,35,ASSET Rail,Noord,238377.101,574394.988,53.14979327,6.63347761
56,0d3182fb-f5af-4901-96d5-d3ac9f6b6c05,,60,Bestaand,,,,,,Mp-Gn,Meppel - Groningen ,011,,11,011__,Assen - Haren,69.850503,"69,850503",7.786727,"7,786727",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Drenthe,35,ASSET Rail,Noord,237786.171,575998.963,53.16429491,6.62505864
57,b5a14bd3-9e86-452a-acd8-7712f4009250,,60,Bestaand,,,,,,Brvalw-Brvalo,Betuweroute Valburg West - Betuweroute Valburg Oost ,938,,938,938__,CUP Valburg,0.257587,"0,257587",-27.859705,"-27,859705",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,A15trace,71,VolkerRail,Zee-Zevenaar,181999.894,435282.352,51.9053872,5.77954774
58,a3d8ee94-f958-4b53-baf2-26008068e75c,,60,Bestaand,,,,,,Asd-Zp,Amsterdam Centraal - Zutphen ,506,b,506,506_b,Amersfoort,43.824578,"43,824578",-163.499115,"-163,499115",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,Midden,153263.334,462986.746,52.15505107,5.3618265
59,5c256c93-4180-4a20-98bd-b8a8407e3cce,,60,Bestaand,,,,,,Std-Bon,Sittard - Born ,433,,433,433__,Sittard - Born,5.943647,"5,943647",11.44336,"11,443360",ProRail,Zuid,Z,BASIS,Limburg,340,Roermond,25,Strukton Rail,Zuid-Oost,184334.359,339383.391,51.04328934,5.80546829
60,e868dc07-4743-409e-99f6-3e0e3044e402,,60,Bestaand,,,,,,Mp-Gn,Meppel - Groningen ,011,,11,011__,Assen - Haren,69.004005,"69,004005",55.397508,"55,397508",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Drenthe,35,ASSET Rail,Noord,238123.343,575220.381,53.15724799,6.62989823
61,6072d82e-a14d-4ef3-abfc-571ca71a6cfe,,60,Bestaand,,,,,,Vl-Ehv,Venlo - Eindhoven ,516,a,516,516_a,Blerick,1.685253,"1,685253",27.920806,"27,920806",ProRail,Zuid,Z,BASIS,De Peel,300,Venlo,27,ASSET Rail,Zuid-Oost,208263.349,376447.001,51.37468816,6.152181
62,57851dc5-bf4d-4bb4-aae6-e13b1096785e,,60,Bestaand,,,,,,Fsz-Tnz,Zelzate (B) - Terneuzen ,557,a,557,557_a,Terneuzen Aansl.,27.838942,"27,838942",8.584705,"8,584705",ProRail,Zuid,Z,BASIS,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,47327.423,369843.531,51.30760571,3.84298814
63,67dcd39c-3b58-4648-85fd-2693c488c9a8,,60,Bestaand,,,,,,Aml-Hgl,Almelo - Hengelo ,606,a,606,606_a,Almelo,0.66391,"0,663910",-58.556428,"-58,556428",ProRail,Noord-Oost,NO,BASIS,Twente,410,Twente,32,VolkerRail,Oost,241357.478,486335.87,52.35811774,6.65492458
64,ceb1b34d-17a1-46ab-a20b-76820647a221,,60,Bestaand,,,,,,Bd-Rtd,Breda - Rotterdam Centraal ,625,b,625,625_b,Lage Zwaluwe,15.153804,"15,153804",0.900761,"0,900761",ProRail,Zuid,Z,BASIS,Zeeland,310,Roosendaal,19,Strukton Rail,Zuid-West,104879.455,411745.824,51.69224562,4.66231018
65,00720dc2-4121-4e69-8ebb-253f2631821b,,60,Bestaand,,2020/11/05 00:00:00+00,,,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,0.747493,"0,747493",36.615912,"36,615912",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,Noord,201705.602,501067.499,52.49531475,6.07495037
66,0859a12e-767c-4b0e-9cd3-4599eddce5ee,,60,Bestaand,,,,,,Ah-Vl,Arnhem - Venlo ,514,a,514,514_a,Nijmegen,18.078202,"18,078202",7.43889,"7,438890",ProRail,Noord-Oost,NO,BASIS,Gelre,400,Maas en Waal,28,ASSET Rail,Oost,187242.72,427456.371,51.83476744,5.85499848
67,9a8c83a4-7b2e-4dd4-8679-9a4e8edec919,,120,Bestaand,,,,,,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte",950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,40.706202,"40,706202",4.576286,"4,576286",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,61928.409,439412.373,51.93537527,4.03379171
68,74b2020a-1616-4261-9b14-66ea064456a6,,120,Bestaand,,,,,,Mvta-Mvtn,Maasvlakte Aansl. - Maasvlakte Noordwesthoek ,478,a,478,478_a,Rotterdam Europoort 4,0.6,"0,600000",-50.627241,"-50,627241",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,61781.628,438918.656,51.93091409,4.03179177
69,664fd918-8973-44c5-b437-6d491fa4aebe,,60,Bestaand,,,,,,Ah-Vl,Arnhem - Venlo ,514,a,514,514_a,Nijmegen,16.5,"16,500000",12.371015,"12,371015",ProRail,Noord-Oost,NO,BASIS,Gelre,400,Maas en Waal,28,ASSET Rail,Oost,187184.699,428921.103,51.84793595,5.85429333
