FID,jaar,bed_zosnol,bed_zosmar,bed_rupmar,bedzostot,bio_zosnol,bio_zosmar,bio_rupmar,biozostot,bio_tot,type_ws,hoofdgeb,gebied,deelgeb,gdb_geomattr_data,shape
zostera_noltei_2002.1468,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258160 600020, 258140 600020, 258140 600040, 258160 600040, 258160 600020))"
zostera_noltei_2002.1471,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258179.9998999983 600020, 258160 600020, 258160 600040, 258179.9998999983 600040, 258179.9998999983 600020))"
zostera_noltei_2002.1474,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258179.9998999983 600000.0001000017, 258160 600000.0001000017, 258160 600020, 258179.9998999983 600020, 258179.9998999983 600000.0001000017))"
zostera_noltei_2002.1475,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258179.9998999983 600040, 258160 600040, 258160 600060, 258179.9998999983 600060, 258179.9998999983 600040))"
zostera_noltei_2002.1478,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258119.9998999983 599940, 258099.9998999983 599940, 258099.9998999983 599960, 258119.9998999983 599960, 258119.9998999983 599940))"
zostera_noltei_2002.1484,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258459.99980000034 600160, 258439.9998999983 600160, 258439.9998999983 600180, 258459.99980000034 600180, 258459.99980000034 600160))"
zostera_noltei_2002.1485,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258459.99980000034 600099.9998999983, 258439.9998999983 600099.9998999983, 258439.9998999983 600119.9998999983, 258459.99980000034 600119.9998999983, 258459.99980000034 600099.9998999983))"
zostera_noltei_2002.1488,2002,0,30,0,0,0,10440,0,0,10440,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258079.9998999983 600000.0001000017, 258060 600000.0001000017, 258060 600020, 258079.9998999983 600020, 258079.9998999983 600000.0001000017))"
zostera_noltei_2002.1489,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258099.9998999983 600000.0001000017, 258079.9998999983 600000.0001000017, 258079.9998999983 600020, 258099.9998999983 600020, 258099.9998999983 600000.0001000017))"
zostera_noltei_2002.1492,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258099.9998999983 599940, 258079.9998999983 599940, 258079.9998999983 599960, 258099.9998999983 599960, 258099.9998999983 599940))"
zostera_noltei_2002.1493,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258079.9998999983 599940, 258060 599940, 258060 599960, 258079.9998999983 599960, 258079.9998999983 599940))"
zostera_noltei_2002.1503,2002,0,12,0,0,0,4176,0,0,4176,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258099.9998999983 599960, 258079.9998999983 599960, 258079.9998999983 599979.9998999983, 258099.9998999983 599979.9998999983, 258099.9998999983 599960))"
zostera_noltei_2002.1524,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258060 600380, 258040 600380, 258040 600400, 258060 600400, 258060 600380))"
zostera_noltei_2002.1541,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258179.9998999983 600380, 258160 600380, 258160 600400, 258179.9998999983 600400, 258179.9998999983 600380))"
zostera_noltei_2002.1547,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258179.9998999983 600400, 258160 600400, 258160 600419.9998999983, 258179.9998999983 600419.9998999983, 258179.9998999983 600400))"
zostera_noltei_2002.1552,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258319.9998999983 600160, 258299.9998999983 600160, 258299.9998999983 600180, 258319.9998999983 600180, 258319.9998999983 600160))"
