type;nabijadres;buurtnaam;wijknaam;geo_point_2d;objectid;identificatiekast;aansluitwaardehoofd;stadsdeelnaam
In kelder tegen wand;Frits Philips, Markt, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 EB, Nederland;Binnenstad;Wijk Centrum;51.43951726740675, 5.478268639189639;692;11047;;Stadsdeel Centrum
OPS kast Woenselse markt;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451642386834905, 5.470916509669984;694;41002;;Stadsdeel Woensel-Zuid
OPS kast Woenselse markt;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45177138910797, 5.471889845125155;696;41004;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45166086327659, 5.4705968776809355;715;WCD 73616;;Stadsdeel Woensel-Zuid
Putkast contactdoos enkel;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45145290017914, 5.470924362164598;716;WCD 73621;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45084507167545, 5.472185487162574;717;NLEFLEV3764442;;Stadsdeel Woensel-Zuid
OPS kast Woenselse markt;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45084614576577, 5.472068529789983;702;41010;;Stadsdeel Woensel-Zuid
OPS kast Woenselse markt;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.450879558121386, 5.472349553600744;704;41012;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45166086327659, 5.4705968776809355;714;WCD 73615;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45180630368004, 5.471589233137355;724;WCD 73630;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451841271113196, 5.471711007281717;727;WCD 73634;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451646432568005, 5.471661876447942;730;WCD 73636;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451646432568005, 5.471661876447942;731;WCD 73637;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451646432568005, 5.471661876447942;732;WCD 73635;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.4515331179177, 5.4717410793824515;735;WCD 73643;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.4515331179177, 5.4717410793824515;736;WCD 73644;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45155591722044, 5.472032014053282;739;WCD 73647;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45155591722044, 5.472032014053282;740;WCD 73648;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451261383727164, 5.471254175765545;741;WCD 73649;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45111512377246, 5.471522641096054;749;WCD 73658;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45111512377246, 5.471522641096054;750;WCD 73659;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.4513478034872, 5.4716972893254265;757;WCD 73666;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45111538040405, 5.47203536687091;768;WCD 73678;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45110937750777, 5.472008597320304;772;WCD 73682;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.450859817159646, 5.472179904032671;774;WCD 73691;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45071754102953, 5.472283218972584;780;WCD 73689;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.450859817159646, 5.472179904032671;784;WCD 73695;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.450859817159646, 5.472179904032671;785;WCD 73696;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45089672812872, 5.472347283862203;787;WCD 73699;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45089672812872, 5.472347283862203;791;WCD 73703;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45095968487724, 5.472420770898704;792;WCD 73704;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45062434474144, 5.4726293180291705;798;WCD 73710;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45156049308325, 5.471300331665369;806;WCD 73625;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45156049308325, 5.471300331665369;807;WCD 73626;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45156049308325, 5.471300331665369;808;WCD 73627;;Stadsdeel Woensel-Zuid
EBG 4v kunststof kast;Eindhoven Centraal Station, Fellenoord, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 ZS, Nederland;Fellenoord;Wijk Centrum;51.44392548347072, 5.478964992762149;809;11050;;Stadsdeel Centrum
OPS900 standaard kast 6V;De Schatkamer, Lekstraat, Acht, Woensel-Noord, Eindhoven, Noord-Brabant, Nederland, 5626 BD, Nederland;Kerkdorp Acht;Wijk Achtse Molen;51.47976339680727, 5.428662507934617;811;Lekstraat;Legrand DX3-IS 4P 100A;Stadsdeel Woensel-Noord
OPS900 standaard kast 6V;4, IJsselstraat, Acht, Woensel-Noord, Eindhoven, Noord-Brabant, Nederland, 5626 BL, Nederland;Kerkdorp Acht;Wijk Achtse Molen;51.479824057459446, 5.428192845964704;812;IJsselstraat;Legrand DX3-IS 4P 100A;Stadsdeel Woensel-Noord
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.4515331179177, 5.4717410793824515;737;WCD 73645;;Stadsdeel Woensel-Zuid
Easy Power Supply (marktkast);45, Catharinaplein, Bergen, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 DE, Nederland;Binnenstad;Wijk Centrum;51.43723399792663, 5.479934244883305;641;11005;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);De Kleine Trommelaar aan de kerk, Catharinaplein, Bergen, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 GN, Nederland;Binnenstad;Wijk Centrum;51.437383400974724, 5.479467568454447;642;11006;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);Pakdöner, Dommelstraat, Fellenoord, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 CC, Nederland;Binnenstad;Wijk Centrum;51.44079512607961, 5.479939759332825;645;11010;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);Sopranos, 9, Stationsplein, Fellenoord, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AB, Nederland;Binnenstad;Wijk Centrum;51.441378182500365, 5.479875357309903;647;11012;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);17, Sint Gerardusplein, Gerardusplein, Stratum, Eindhoven, Noord-Brabant, Nederland, 5644 NG, Nederland;Gerardusplein;Wijk Kortonjo;51.42105681376221, 5.48875168212194;653;22003;ABB 4P/63A;Stadsdeel Stratum
Easy Power Supply (marktkast);The Harbour Club, 3, Sumatralaan, Karpen, Tongelre, Eindhoven, Noord-Brabant, Nederland, 5631 AA, Nederland;Karpen;Wijk Oud-Tongelre;51.45312453589597, 5.497643995432289;657;33002;ABB 4P/80A;Stadsdeel Tongelre
Easy Power Supply (marktkast);Sint Trudokerk, Strijpsestraat, Schouwbroek, Strijp, Eindhoven, Noord-Brabant, Nederland, 5616 GT, Nederland;Schouwbroek;Wijk Oud-Strijp;51.44115955448686, 5.455010299467523;660;61002;ABB 4P/63A;Stadsdeel Strijp
Easy Power Supply (marktkast);Jumbo, Kastelenplein, Hanevoet, Gestel, Eindhoven, Noord-Brabant, Nederland, 5653 LX, Nederland;Hanevoet;Wijk Gestelse Ontginning;51.419230680555096, 5.441102857656902;667;73003;ABB 4P/63A;Stadsdeel Gestel
Easy Power Supply (special E-kast);Stadhuis Eindhoven, 1, Stadhuisplein, Bergen, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 EM, Nederland;Binnenstad;Wijk Centrum;51.435010031908575, 5.4801447219585215;674;11001;Holec 250A;Stadsdeel Centrum
Easy Power Supply (marktkast);WoensXL P1, Winkelcentrum Woensel, Winkelcentrum WoensXL, Woensel-Noord, Eindhoven, Noord-Brabant, Nederland, 5625 AE, Nederland;Winkelcentrum;Wijk Ontginning;51.46863008300987, 5.474064097908857;676;51012;ABB 4P/63A;Stadsdeel Woensel-Noord
EBG 4v kunststof kast;McDonald's, 18 Septemberplein, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AR, Nederland;Binnenstad;Wijk Centrum;51.441060024471454, 5.476721801100872;679;11029;;Stadsdeel Centrum
Easy Power Supply (marktkast);Dr. Martens, Demer, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AS, Nederland;Binnenstad;Wijk Centrum;51.439383977678716, 5.477328906364955;680;11036;ABB 4P/63A;Stadsdeel Centrum
;91-N01, Insulindelaan, Karpen, Tongelre, Eindhoven, Noord-Brabant, Nederland, 5631 AB, Nederland;Karpen;Wijk Oud-Tongelre;51.45193883744001, 5.496120613809572;682;33004;;Stadsdeel Tongelre
Putkast Markt type basis;HEMA, 3, 18 Septemberplein, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AL, Nederland;Binnenstad;Wijk Centrum;51.44151466060925, 5.477550158648877;684;11038;;Stadsdeel Centrum
Putkast Markt type basis;15, 18 Septemberplein, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AL, Nederland;Binnenstad;Wijk Centrum;51.44102254638849, 5.476246943253488;688;11042;;Stadsdeel Centrum
Putkast Markt type basis;McDonald's, 18 Septemberplein, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AR, Nederland;Binnenstad;Wijk Centrum;51.441066468884, 5.476640549462649;689;11043;;Stadsdeel Centrum
Putkast Markt type basis;4, 18 Septemberplein, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AL, Nederland;Binnenstad;Wijk Centrum;51.44112922627227, 5.476969469662488;690;11044;;Stadsdeel Centrum
Putkast Markt type basis;HEMA, 3, 18 Septemberplein, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AL, Nederland;Binnenstad;Wijk Centrum;51.441186700187345, 5.477850547428685;691;11045;;Stadsdeel Centrum
OPS kast Woenselse markt;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45155681273026, 5.472036619357322;697;41005;;Stadsdeel Woensel-Zuid
OPS kast Woenselse markt;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.4513224576662, 5.472188102840778;700;41008;;Stadsdeel Woensel-Zuid
OPS kast Woenselse markt;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45084507062506, 5.472186925775287;703;41011;;Stadsdeel Woensel-Zuid
STAKA RH1600EN;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45057356129068, 5.472625914137754;705;41013;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451472888917046, 5.4708772116383155;707;WCD 73608;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45172502563694, 5.470870624760264;709;WCD 73610;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45172502563694, 5.470870624760264;710;WCD 73611;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45172502563694, 5.470870624760264;711;WCD 73612;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45166086327659, 5.4705968776809355;712;WCD 73613;;Stadsdeel Woensel-Zuid
;Bossers Vlees, 185A, Kruisstraat, Gildebuurt, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CH, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45010169028609, 5.473068548216221;719;N.t.b. Kast 1;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45180630368004, 5.471589233137355;721;WCD 73631;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45180630368004, 5.471589233137355;722;WCD 73628;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451646432568005, 5.471661876447942;728;WCD 73638;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451801681593025, 5.471888894309946;729;WCD 73639;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.4515331179177, 5.4717410793824515;734;WCD 73642;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45135324368703, 5.471259955673457;746;WCD 73654;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.4513478034872, 5.4716972893254265;758;WCD 73667;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.4513478034872, 5.4716972893254265;759;WCD 73668;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451400232390476, 5.472156885550809;760;WCD 73670;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451297386951666, 5.472054407507299;765;WCD 73675;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45111538040405, 5.47203536687091;767;WCD 73677;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45111538040405, 5.47203536687091;770;WCD 73680;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45110937750777, 5.472008597320304;773;WCD 73683;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45100117593374, 5.471731318043544;775;WCD 73684;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45100117593374, 5.471731318043544;776;WCD 73685;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.450859817159646, 5.472179904032671;782;WCD 73693;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45089672812872, 5.472347283862203;788;WCD 73700;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45089672812872, 5.472347283862203;789;WCD 73701;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45037491206875, 5.472747967006308;793;WCD 73705;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45062434474144, 5.4726293180291705;801;WCD 73713;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45145290017914, 5.470924362164598;802;WCD 73607;;Stadsdeel Woensel-Zuid
