;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal;
Office Depot Europe B.V.;;;;;;;;;1;;1;
Office Team Hoekschewaard;;;;;;;;;1;;1;
Ombits-Telecom;;;;;;;;;1;;1;
Omega Containertransport Den Haag B.V.;;1;;;;;;;;;1;
On Tower Netherlands 3 B.V.;1;;;;;;;;;;1;
Opvallers B.V.;;;;1;;;;;;;1;
Organiq B.V.;;;;;;1;;;;;1;
Pactechno;;;;;;;;;1;;1;
Papyrus Groep Nederland B.V.;;;;;;3;;;1;;3;
PATboard B.V.;;;;;;;;;1;;1;
Peltex;;;;;;;;;1;;1;
Permanent Fire Protection Service B.V.;;1;;;;;;;;;1;
PingPong Design B.V.;;;;;;1;;;;;1;
Plastiglas-Den Haag;;;;;;;;;1;;1;
Plastikor Nederland B.V.;;;;;;;;;1;;1;
Progenta Project Services Benelux B.V.;;;;1;;;;;;;1;
Promis Electro-Optics B.V.;;;;;;;;1;;;1;
Protinus IT B.V.;;;;;4;3;;;2;;5;
Publiquest, de Communicatie Coöperatie UA;;;;;;3;;;;;3;
PvIB: Platform voor informatiebeveiliging;;;;;;;;;1;;1;
Quadient Finance Netherlands B.V.;;;;;;;;;1;;1;
Rajapack Benelux;;;;;;;;;1;;1;
Reisswolf Nederland B.V.;;;;1;;;1;;;;1;
Renewi Nederland B.V.;;;;2;;;2;;;;3;
Reprografisch Centrum Groningen B.V.;;;;;;1;;;;;1;
Robert Bosch B.V.;;;1;;;;;;;;1;
Rodi Media Zuid-Holland B.V.;;;;;;;;1;;;1;
Ruys Handelsvereniging B.V.;;;;;;;;;1;;1;
SAM International B.V.;;;;;;;;;1;;1;
San Reclame, Design & Belettering;;;;;;;;1;;;1;
Schäfer Shop B.V.;;;;;;;;;1;;1;
Schürgers Sleutelservice V.O.F.;;;;;;;;1;;;1;
Scrum.shop;;;;;;;;;1;;1;
Securitas Beveiliging B.V.;;;4;;;;;;;;4;
Selecta Netherlands B.V.;;3;;;;;;;;;3;
Significant Synergy B.V.;;;;;;1;;;;;1;
Silo B.V.;;;;;;1;;;;;1;
SiSto Trading B.V.;;;;;;;;1;;;1;
Snelle Jelle Fietsservice;;;;;;;;1;;;1;
Software Borg;;;;;;;;;1;;1;
Staples Nederland B.V.;;;;;;;;;2;;2;
Stas Picture Hanging Systems B.V.;;;;;;;;1;;;1;
Stg. Beheer Derdengelden Robers Advocaten;1;;;;;;;;;;1;
Stichting Beheer Derdengelden C-Legal;1;;;;;;;;;;1;
Stichting Bureau Krediet Registratie (BKR);;;;;;;;;1;;1;
Stichting Heden Den Haag;;;;;;;;1;;;1;
Stichting MVO Nederland;;;;;;1;;;;;1;
Stichting NBD Biblion;;;;;;;;;1;;1;
Stout/Kramer;;;;;;2;;;;;2;
Studio Duel;;;;;;1;;;;;1;
Suit Supply;;;;;;;;;1;;1;
Taxibedrijf Van der Wijst;;;;;1;;;;;;1;
TB Brandveiligheid;;;2;;;;;;;;2;
Ton Persoon;;;;;;1;;;;;1;
Top Label B.V.;;;;;;1;;;1;;1;
Traas Zuidwest Nederland B.V.;;;;1;;;;;;;1;
Transposafe Systems;;;;;;;;;1;;1;
Travelcard B.V.;;;;;1;;;;;;1;
Triav B.V.;;;;;;;;1;;;1;
Trimension B.V.;;;1;;;;;;;;1;
Triple E International B.V.;;;;;;;;1;;;1;
Uitgeverij de 12 Provinciën B.V.;;;;;;;;;1;;1;
UniCarriers Netherlands B.V.;;;;;;;;;1;;1;
UnifiedPost B.V.;;;;;;1;;;;;1;
Unishore Bedrijfskleding B.V.;;;;;;;;;1;;1;
UNOPS;;;;;;;;;;1;1;
Urbain Trade B.V.;;1;;;;;;;;;1;
V.O.F. Restaurant 't Regthuijs;;1;;;;;;;;;1;
V.O.F. Visserijben.-Inkoopcomb. Westvoorn;;;;;;;;;1;;1;
Van den Brink's High Tech Parts B.V.;;;;;;;;;1;;1;
VANWAARDE Documentenwacht B.V.;;;;;;2;;;;;2;
Venema Communicatie B.V.;;;1;;;;;;;;1;
Vermaat Bedrijfshoreca B.V.;;5;1;;;;;;;;5;
Vitam Catering;;2;;;;;;;;;2;
W.I.K. Interieurbouw B.V.;;;;;;;;1;;;1;
Werkplekzonwering;;;;;;;;1;;;1;
Wertheim advocatuur B.V.;1;;;;;;;;;;1;
Wesco International B.V.;;;;;;;;;1;;1;
Westrom;;;;;;1;;;;;1;
Westvlietbewaking B.V.;;;1;;;;;;;;1;
Wooncentrum Veerman B.V.;;;;;;;;1;;;1;
WorkWire B.V.;;;;;;;;;1;;1;
Xerox (Nederland) B.V.;;;;;3;6;;;2;;6;
Zegwaard Rioolbeheer B.V.;;1;;;;;;;;;1;
Ziggo B.V.;;;;;;;;;1;;1;
Eindtotaal;1;7;6;2;6;7;4;5;6;1;8;
