CODE;OBJECTID;STD_KOPPEL;STD_ID_S;STD_ID_I;WK_KOPPEL;WK_ID_S;WK_ID_I;BRT_KOPPEL;BRT_ID_S;SHAPE_LENG;SHAPE_AREA;BRT_NAAM;WK_NAAM;STD_NAAM;AANTBEV;LFT019;LFT2064;LFT65_;GESLM;GESLV;ETNICBS8;ETNICBS9;AANTGEB;AANTSTRF;NATLOOP;VESTTOT;VERTRTOT;SALDVEVE;BEVSALDO;AANTHH;EPHH;MPHHZK;MPHHMK;EENOUD;SRWON1;SRWON2;SRWON3;SRWON4;SRWON5;SRWON6;SRWON7;SRWON8;SRWON9;SRWON10;SRWON11;SRWON12;SRWON13;EIGEND1;EIGEND3;EIGEND2;EIGEND4;AANTOZB;BVOWON;TTPRS;ANIETWON;AKANTOOR;AWINKELS;ABEDRIJF;AHORECA;AHOTELS;AUITGAAN;ACULTUUR;AATRACTI;ASPORTS;ARECREAT;AMEDISCH;ABIJZOND;ASCHOLEN;AKERKEN;ABIJWON;AOVERIG;VESTTOTAAL;WPTOTAAL;POTBEROEP;NWWTOT;WPS1;WPS2;WPS3;WPS4;WPS5;WPS6;WPS7;WPS8;WPS9;PARTAUTO;PARTMOTOR
79;72;07 Haagse Hout;07;7;04 Benoordenhout;04;4;79 v Hoytemastraat eo;79;2168.095475330000227;258752.615500000014435;v Hoytemastraat eo;Benoordenhout;Haagse Hout;2308;645;1324;339;1128;1180;1427;881;0;0;0;0;0;0;0;1025;363;275;320;67;259;760;213;463;0;76;8;47;208;4;0;0;6;753;266;1;5;1025;163781;396412;135;18;57;1;3;0;0;0;0;0;1;5;0;4;1;0;45;312;1202;1438;40;0;33;246;432;0;213;189;26;0;819;0
80;73;02 Escamp;02;2;34 Morgenstond;34;34;80 Morgenstond-Zuid;80;3031.2621589700002;485521.690249999985099;Morgenstond-Zuid;Morgenstond;Escamp;5876;1385;3831;660;2989;2887;1602;4274;0;0;0;0;0;0;0;3179;1633;588;511;447;56;2786;27;0;143;2616;0;6;50;0;0;0;4;537;416;1889;4;2846;220635;98628;245;13;36;12;6;0;0;0;0;4;5;5;0;3;0;0;161;451;1028;4100;760;84;225;110;156;174;151;39;68;0;1554;71
81;74;01 Loosduinen;01;1;14 Bohemen, Meer en Bos;14;14;81 Bosjes van Pex;81;3142.488098220000211;463566.390400999982376;Bosjes van Pex;Bohemen, Meer en Bos;Loosduinen;399;77;240;82;188;211;288;111;0;0;0;0;0;0;0;206;98;43;49;16;39;170;1;1;96;72;0;10;13;3;13;0;0;181;28;0;0;209;24700;258550;78;0;1;5;1;0;0;0;0;3;5;0;0;0;2;0;61;52;101;281;20;0;2;33;24;0;19;2;15;0;173;0
82;75;01 Loosduinen;01;1;18 Waldeck;18;18;82 Rosenburg;82;3326.052395340000203;516877.660800000012387;Rosenburg;Waldeck;Loosduinen;2971;353;1548;1070;1369;1602;2130;841;0;0;0;0;0;0;0;1581;864;405;167;145;19;1548;1;1;5;693;848;6;7;5;1;0;7;527;313;672;62;1574;165346;157846;206;15;37;4;6;0;0;0;0;7;4;5;0;5;2;0;121;223;5368;1634;160;2;32;524;135;4;4214;377;57;0;946;45
83;76;03 Segbroek;03;3;19 Vruchtenbuurt;19;19;83 Eykenduynen;83;3220.69040343000006;501320.463399000000209;Eykenduynen;Vruchtenbuurt;Segbroek;2669;566;1672;431;1265;1404;2034;635;0;0;0;0;0;0;0;1329;539;368;305;117;80;1242;25;51;0;216;950;18;60;1;1;0;2;1011;259;54;0;1324;140801;186923;98;1;17;3;6;0;0;0;0;0;2;6;0;0;1;0;62;220;434;1805;80;0;88;107;100;0;43;10;18;0;1011;60
84;77;02 Escamp;02;2;32 Leyenburg;32;32;84 Leyenburg;84;5999.196546400000443;1353530.815799999982119;Leyenburg;Leyenburg;Escamp;14864;2852;9294;2718;7207;7657;9617;5247;0;0;0;0;0;0;0;7762;3614;1876;1515;757;655;6757;71;182;0;4117;2387;48;535;0;72;0;9;4560;1934;916;11;7421;688904;131094;696;11;62;23;9;0;0;2;0;6;4;12;0;5;5;0;557;973;5838;9987;830;32;358;844;329;9;3965;177;35;0;5297;398
85;78;01 Loosduinen;01;1;17 Loosduinen;17;17;85 Kerketuinen/Zichtenburg;85;4490.039219700000103;817793.617398999980651;Kerketuinen/Zichtenburg;Loosduinen;Loosduinen;45;0;42;3;38;7;24;21;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;1;2;1;0;4;6656;0;354;49;10;217;3;0;0;0;0;2;1;1;2;1;0;0;68;342;8040;42;10;133;4458;765;1078;861;445;256;18;0;0;0
86;79;01 Loosduinen;01;1;17 Loosduinen;17;17;86 Houtwijk;86;6163.508465480000268;1457136.334749999921769;Houtwijk;Loosduinen;Loosduinen;12601;2760;7356;2485;6168;6433;8364;4237;0;0;0;0;0;0;0;5627;1992;1553;1511;571;2592;2834;417;366;328;1300;423;612;1978;2;0;0;11;3083;235;2100;19;5437;611559;188472;485;9;26;131;5;0;1;0;0;1;3;12;0;5;1;0;291;819;3081;8103;650;71;1116;570;430;0;652;146;51;0;4698;334
87;80;02 Escamp;02;2;33 Bouwlust/Vrederust;33;33;87 Venen/Oorden/Raden;87;4485.858357869999963;811685.105050000012852;Venen/Oorden/Raden;Bouwlust/Vrederust;Escamp;8447;2270;5072;1105;4196;4251;2272;6175;0;0;0;0;0;0;0;4024;1857;718;916;533;616;3026;55;2;54;2915;0;197;419;0;0;0;3;844;203;2594;4;3645;329628;114244;311;10;27;3;1;0;0;0;0;1;12;7;0;2;0;0;248;485;1380;5591;920;129;228;313;192;11;363;102;16;0;2293;115
88;81;02 Escamp;02;2;34 Morgenstond;34;34;88 Morgenstond-West;88;3676.587558249999802;608080.466299999970943;Morgenstond-West;Morgenstond;Escamp;7296;1770;4453;1073;3579;3717;2689;4607;0;0;0;0;0;0;0;3565;1624;710;914;317;740;2659;179;29;355;2096;0;131;581;1;27;0;1;1394;139;1852;15;3400;333001;145001;380;12;98;6;12;0;0;1;0;3;10;12;0;7;1;0;218;504;1447;4833;540;37;178;548;224;60;181;165;16;0;2342;124
