EU Type goedkeuringssleutel,EEG variantcode,EEG Uitvoeringscode,Uitvoering wijzigingsnummer,Volgnummer handelsbenaming,Handelsbenaming fabrikant,Registratiedatum handelsbenaming,Registratiedatum handelsbenaming_DT
e1*01/116*0023*21,SEA8FAUYX01,NAGFA59B024S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAUYX11,NSGQM62N013Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAUYX11,NSGQM62N013R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAUYX11,NSGQM62N013S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAWCX01,NAGFA59B010P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAWCX01,NAGFA59B010Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAWCX01,NAGFA59B010R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAWCX01,NAGFA59B010S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAWCX01,NAGFA59B022P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAWCX01,NAGFA59B022Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAWCX01,NAGFA59B022R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAWCX01,NAGFA59B022S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAYLX01,NAGFA59B010P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAYLX01,NAGFA59B010Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAYLX01,NAGFA59B010R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAYLX01,NAGFA59B010S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAYLX01,NAGFA59B023P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAYLX01,NAGFA59B023Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAYLX01,NAGFA59B023R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAYLX01,NAGFA59B023S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAYLX11,NSGQM62N012Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAYLX11,NSGQM62N012R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8FAYLX11,NSGQM62N012S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAUYX01,NAGFA59B009Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAUYX01,NAGFA59B009R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAUYX01,NAGFA59B009S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAUYX01,NAGFA59B024Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAUYX01,NAGFA59B024R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAUYX01,NAGFA59B024S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAUYX11,NSGQM62N013Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAUYX11,NSGQM62N013R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAUYX11,NSGQM62N013S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAUYX11,NSGQM62N013T,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAWCX01,NAGFA59B010P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAWCX01,NAGFA59B010Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAWCX01,NAGFA59B010R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAWCX01,NAGFA59B010S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAWCX01,NAGFA59B022P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAWCX01,NAGFA59B022Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAWCX01,NAGFA59B022R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAWCX01,NAGFA59B022S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAYLX01,NAGFA59B010P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAYLX01,NAGFA59B010Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAYLX01,NAGFA59B010R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAYLX01,NAGFA59B010S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAYLX01,NAGFA59B023P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAYLX01,NAGFA59B023Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAYLX01,NAGFA59B023R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8TAYLX01,NAGFA59B023S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
