Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
Lock Tight Sloten Service;1;;;;1
Loonbedrijf Post;1;;;;1
Lubron Waterbehandeling;1;;;;1
Lukon Air;1;;;;1
Luuk Westerkamp Rijwielhuis;1;;;;1
M.F.W. Machinefabriek Wageningen;;;;1;1
Maasmond Groep;4;;;;4
Makelaarscentrum;;;;2;2
Manutan (vh Overtoom International);1;;;1;1
Math Slabbers Timmerwerken;2;;;;2
Matser D.;;;;1;1
Meesterbouw;2;;;;2
Merin (vh Uni-Invest);;;;3;3
Metsemakers;;;;1;1
Meyer Service & Onderhoud;1;;;;1
Mobilenergy;1;;;;1
Mondial Movers;1;;4;1;4
Movares Nederland;;;;1;1
Mts De Twentsche Poort;;;;2;2
Multicopy (incl. Andre Cossee);;;;1;1
Nauta Security Storage;1;;;;1
Nederlandse Mosselveiling B.V.;;;;1;1
Nefkens;;;;1;1
Neo Metaal Metaalwarenfabriek;2;;;;2
Neopost (incl. Neopost Finance);;;;1;1
Nestle Waters Direct (incl. Nutrition, Aqua System);1;;;;1
New Facilities;1;;1;;1
New Solutions / New Directions;1;;;;1
NewFacts;;;;2;2
Nic Best Deal;1;;;;1
Nijeboer-Hage;1;;;;1
Niscayah Stanley Security Nederland;1;;;3;3
NSI Kantoren en Winkel;;;;1;1
Nuon Business;;1;;;1
Oasen;;1;;;1
Out of The Sun;;;;3;3
P1 Off Street/On Street;;;;2;2
Pensioen Fonds Metaal en Techniek;;;;2;2
PHB De Combi Nijmegen B.V.;1;;;;1
Pisces marketingcommunicatie;;;;1;1
Planplan Adviesbureau;1;;;;1
Portakabin;;;;2;2
Powertec Diesel Services;1;;;;1
Pree E-rf-tech;1;;;;1
Promosana;;;;2;2
PWN Waterleidingbedrijf Noord-Holland;;1;;;1
Qbiq;1;;;;1
Reconse Groep;1;;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);2;;;;2
Rexel Nederland;1;;;;1
Rodi Media;2;;;;2
Rohde & Grahl (incl. Working Well);;;;1;1
Rohde & Schwarz Nederland;2;;;;2
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);;;;1;1
RS Components;1;;;;1
Ruad Audiovisual Solutions;1;;;;1
Ruys Efficiency in Zakenpost, Handelsvereniging;1;;;;1
Saval;1;;;1;1
Schiphol Groep (incl. Real Estate);;;;1;1
Scholten Awater & Partners;2;;;;2
Schuuring Glasvezel;1;;;;1
Sealane Agency;;;;1;1
Secumar Benelux;1;;;;1
Sitex Electronics;1;;;;1
Sleutel en Slotenservice Zwijndrecht;1;;;;1
Stedin (vh Eneco Netbeheer, Mdds);1;5;;;5
Struweel Beheer;;;;1;1
't Schoutenhuis;;;;1;1
T&G Terrein- en Groenvoorziening;4;;;;4
T&M Systems;2;;;;2
Tapwacht Service;1;;;;1
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);1;;;2;2
TCN SIG Telehousingexploitatie;;;;4;4
Technische Unie;1;;;1;1
TFM Total Facility Management;;;;1;1
Thesis Bouw;1;;;;1
Thibor Projectinrichting;1;;;;1
Top Movers;;;5;;5
Triple P Nederland;2;;;;2
Udink & De Jong Advocaten;1;;;;1
Ultimoo Incasso;;1;;;1
Unica (ICT Network, Technisch beheer, Installatietechniek, Automatic Sprinkler);1;;;1;1
United Fish Auctions;;;;1;1
Urban Ink;1;;;;1
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;;;1;;1
Van Assem Interieurbouw;;;;2;2
Van der Ent;;;3;;3
Van der Velden Rioleringsbeheer;1;;;;1
Van Dorp Installaties, Service Equipe, Prolux;1;;;;1
Van Enckevort Groothandel;;1;;;1
Van Ginkel Groep Hoveniersbedrijf (incl. Pius Floris);1;;;;1
Van Wijnen;1;;;;1
Van Zwanenburg Handelmaatschappij, Projekten;1;;;;1
VBT Groep;1;;;;1
Velthuizen Loodgietersbedrijf;1;;;;1
Verkaart Groep;1;;;;1
Verschoor Groep;1;;;4;4
Videma;;;;1;1
Vinitex Laboratoriuminrichtingen;;;;1;1
Vitens;1;2;;;2
Viva Balonia;;;;1;1
Voorberg Bouwkunde;1;;2;;3
Vormhelden;;;;1;1
Warema (vh Delta Nederland);1;;;;1
Waterbedrijf Groningen;;1;;;1
Westra Etc;1;;;;1
WillSupport;;;;1;1
WMD Waterleidingmaatschappij Drenthe;;1;;;1
Wooninc;;;;1;1
WPM Groep (incl. Kantoormanagement);1;;;3;3
Zeeuwse Visveiling Breskens;;1;;;1
Ziggo (vh Casema);1;;;1;1
Zuidkoop Natural Projects;1;;;;1
Eindtotaal;7;7;6;8;9
