objectid;gsmcode;tariefcode;shape_area;shape_len;geo_shape;geo_point_2d
365;5134;A2;4193.40763264;370.779759251557;"{""coordinates"": [[[5.4833371294636, 51.44150674295465], [5.483280085821791, 51.441560076676645], [5.483241873584696, 51.44163165262439], [5.483755262361711, 51.44167609674088], [5.484211607424459, 51.441670171388466], [5.484539605637509, 51.44170572647103], [5.484582506279666, 51.44162135260348], [5.48552853759343, 51.44165192796541], [5.485642625147252, 51.44155711345208], [5.485428713772252, 51.44148303871246], [5.4845518625692256, 51.441445333330044], [5.484368478605621, 51.441388688911346], [5.483926393678412, 51.44135017113591], [5.4835175837974175, 51.44135609650659], [5.483356145087014, 51.441408965576834], [5.4833371294636, 51.44150674295465]]], ""type"": ""Polygon""}";51.44153309879644, 5.484290998477019
366;5174;B2;5325.125852215;429.716978572107;"{""coordinates"": [[[5.461193080932871, 51.44954158175383], [5.461018475542173, 51.44966338387594], [5.460595673447497, 51.45009266134948], [5.460457905984202, 51.45025252884283], [5.460215881144244, 51.45047737866608], [5.46041712863662, 51.45054371616367], [5.460484626783861, 51.45049550702188], [5.460543217471234, 51.45045208632356], [5.460589609408816, 51.450433248294], [5.460800498608891, 51.450283627332205], [5.461822494889513, 51.45065767774276], [5.461910096409181, 51.450558605120776], [5.461760853123809, 51.45037663459832], [5.461160632453459, 51.4501016553986], [5.461514279502385, 51.44972962122191], [5.461442902093679, 51.449626503006286], [5.461193080932871, 51.44954158175383]]], ""type"": ""Polygon""}";51.45014351311499, 5.46109442865693
367;5185;B2;121223.77914159;1859.7468385691302;"{""coordinates"": [[[5.47514403993205, 51.44759378361045], [5.474857105253739, 51.447546384358894], [5.474832907216706, 51.44745158473679], [5.474699526031404, 51.44646763646245], [5.474586205045857, 51.44647778889004], [5.474502951933999, 51.44646359443615], [5.474319086546897, 51.4464006614235], [5.47440951256264, 51.446296399782426], [5.474236196578223, 51.44624192066442], [5.474093021595248, 51.44622313525774], [5.473811770339533, 51.4465047827251], [5.473598688239142, 51.44680079854648], [5.473208349032413, 51.44673974538717], [5.472747175427592, 51.446611063741656], [5.472547067940835, 51.44684460855967], [5.472093431751261, 51.446695261949046], [5.471912578736236, 51.44675819393794], [5.471802126156495, 51.44671402936562], [5.471787489212201, 51.44656564071789], [5.470403971498056, 51.446153291483675], [5.470167354618202, 51.44636651157784], [5.470233069679938, 51.446488945181656], [5.469986908609032, 51.446741701172904], [5.469836948868745, 51.44671995180592], [5.469777531703839, 51.44677050309417], [5.46991711536091, 51.446842802284536], [5.469624161897728, 51.44710500188675], [5.469441190850162, 51.44728134064537], [5.469179939789871, 51.44745885427157], [5.4690865693260555, 51.44744533543541], [5.469033774907842, 51.44747834928974], [5.469071543648831, 51.44749557736908], [5.469124430094067, 51.44760354436657], [5.46923125346242, 51.44767364543216], [5.468705379354315, 51.44810808657525], [5.468407419785905, 51.44838523925511], [5.468442995409846, 51.44855845926638], [5.468927421458404, 51.44872456768854], [5.4685216195907005, 51.44904467496308], [5.468460272486239, 51.449342827744374], [5.468624814049431, 51.4494869439288], [5.469030614276173, 51.449509807805306], [5.469227399975068, 51.44943567099918], [5.469789960231499, 51.449483478438694], [5.469871119732544, 51.44960473002068], [5.470124605934158, 51.449652536562795], [5.4702924839031954, 51.44965115122306], [5.470614902321461, 51.44937747015613], [5.470580437459625, 51.449277697314145], [5.470689393550144, 51.44918762470117], [5.471374249673689, 51.449300562046616], [5.471466526103706, 51.44937123426071], [5.471740025168762, 51.44931996233152], [5.47207201642884, 51.44889793032213], [5.472663482424559, 51.44907253378803], [5.472144816618277, 51.4494600345806], [5.472333573983464, 51.44950761658523], [5.472445979191299, 51.44961820094682], [5.472639684182861, 51.44969618209043], [5.472971247319636, 51.44950849761417], [5.473446323727261, 51.449215953837395], [5.473601147799054, 51.44921375094373], [5.474240239968864, 51.448546710440034], [5.4744954518858515, 51.44839118349213], [5.474724504876346, 51.448407925473056], [5.474805098868274, 51.4483951485875], [5.474927403220437, 51.448221557268155], [5.474642501065576, 51.44806646994742], [5.474822533812399, 51.44778769044233], [5.475144038919179, 51.447798463619634], [5.47524083741306, 51.447751064231], [5.475233923196871, 51.447682119202696], [5.47514403993205, 51.44759378361045]]], ""type"": ""Polygon""}";51.44797296943913, 5.471725258858694
369;5184;B2;49001.73242679;1888.26771764817;"{""coordinates"": [[[5.454940141143813, 51.43903725851542], [5.455356079881219, 51.43920837834755], [5.457785164567171, 51.43965432509295], [5.457918265583729, 51.43954024632501], [5.458217742280007, 51.439607656008334], [5.4582426983408405, 51.439519504136854], [5.458084643375447, 51.43921356320449], [5.458292616097289, 51.43884020950838], [5.457518970548053, 51.43835276999729], [5.456878420245567, 51.43886095158486], [5.456088134921825, 51.438793539724855], [5.455272893625514, 51.43874687038971], [5.455867031735214, 51.437564863960105], [5.455840970610149, 51.437480027158735], [5.455615113170974, 51.43742948654838], [5.455444269807956, 51.437496272960885], [5.455150538992034, 51.43792880727532], [5.455229644333276, 51.43801448152806], [5.4551927002200085, 51.43807857798351], [5.454928912343137, 51.438042739405695], [5.454552598117284, 51.43873290324296], [5.4547789779547955, 51.43884030795179], [5.454680870282237, 51.439121411927204], [5.453921082845252, 51.43908238807578], [5.453837652847026, 51.43907222386297], [5.453455498227985, 51.43899633324578], [5.453292041854925, 51.438836117744636], [5.453333752040289, 51.4386941727896], [5.453087191865795, 51.43864526060896], [5.45306013636356, 51.438797043371835], [5.4530172979945, 51.43886942103577], [5.452812128740044, 51.43901698801205], [5.452295444632932, 51.43970509685155], [5.451985690135474, 51.440337973368024], [5.452063934237792, 51.44037551679661], [5.452235916164552, 51.44025895096824], [5.452537677507476, 51.4404289455228], [5.4529559117435005, 51.44016233150065], [5.453136027238835, 51.44009676955655], [5.453272115087758, 51.43996154407272], [5.453828060902468, 51.440041287314145], [5.453710795518265, 51.44019806291634], [5.453798850233859, 51.440304844705224], [5.4536371449232215, 51.44073396645298], [5.453874895184958, 51.44108075445122], [5.454014184322635, 51.441116680457654], [5.454094235338672, 51.44105430882136], [5.454940141143813, 51.43903725851542]]], ""type"": ""Polygon""}";51.439300329558264, 5.454967734831841
377;5122;A1;16310.874480295;814.264040262856;"{""coordinates"": [[[5.473766384542381, 51.435488292124205], [5.473254596800253, 51.435419387846906], [5.473159523038322, 51.43555570213933], [5.473254594863487, 51.43558533585778], [5.473406372751615, 51.43569962509409], [5.47382976930335, 51.43605513728673], [5.474133998231801, 51.43624775256914], [5.474346479721974, 51.436201847611734], [5.474394530224839, 51.43623441174848], [5.474408361605796, 51.436243785561814], [5.474338402146692, 51.4364136978326], [5.474599848022712, 51.43669224687938], [5.474814100107069, 51.436623901316544], [5.4748467784254755, 51.43665550785777], [5.4749064678166075, 51.43672568241685], [5.4746141084132525, 51.43682559483329], [5.47465688820962, 51.43724341378124], [5.474809002519437, 51.43743306107323], [5.474956362127963, 51.43777679469103], [5.475127491382385, 51.437948660213685], [5.47544130871049, 51.43804704825402], [5.475602930678781, 51.43799371087386], [5.4757216927215815, 51.437720493482274], [5.475664649666497, 51.437590112095684], [5.475538831219054, 51.437496151968965], [5.475688419076254, 51.43737675954509], [5.47558658049276, 51.4372652128737], [5.475733889652062, 51.437200053485256], [5.475655246104739, 51.437131412842106], [5.475601456091715, 51.43716005566679], [5.475650392741427, 51.43703598557785], [5.475631378971642, 51.43689967599867], [5.475227326503331, 51.43630998188615], [5.474851792507708, 51.436161816436034], [5.4745998533483045, 51.4359188244968], [5.474357420625437, 51.435844740962416], [5.4742338273916085, 51.43574102414515], [5.473943858726759, 51.43559285737437], [5.473766384542381, 51.435488292124205]]], ""type"": ""Polygon""}";51.43672140036567, 5.474796658498589
379;5189;M1;259301.84310815;2083.3500720153097;"{""coordinates"": [[[5.460948342011422, 51.443813779817525], [5.458709693514792, 51.44453073193244], [5.4577673250380885, 51.44482757833587], [5.45751844117627, 51.44490090845504], [5.453781713622619, 51.44602038933238], [5.453344059709766, 51.446653198450875], [5.452060580791505, 51.4479530360694], [5.4557683776759704, 51.449152851369185], [5.456534892861884, 51.449441690870266], [5.45794314561876, 51.44946390885624], [5.4588522754428395, 51.44880846181385], [5.4633266195271615, 51.44540887267663], [5.462809667287139, 51.44520888921486], [5.462400021400417, 51.4449508554555], [5.461739505663806, 51.44448429584974], [5.460948342011422, 51.443813779817525]]], ""type"": ""Polygon""}";51.446755154907926, 5.457737297765777
381;5128;A2;16649.371396135;549.8924650367401;"{""coordinates"": [[[5.4714624219109, 51.441172846525696], [5.471715320109646, 51.44112641016672], [5.471697327037524, 51.440996782346566], [5.471595533386274, 51.44066754098999], [5.4712347451251215, 51.44051238791033], [5.471116142692751, 51.44059150098283], [5.471002056201112, 51.44053209255929], [5.471001105898682, 51.44046497932779], [5.470022085948409, 51.4402869044334], [5.4692947868639745, 51.4402098654657], [5.46900006323557, 51.44026912675956], [5.469123652579112, 51.44089432504101], [5.469285273008857, 51.44117581000327], [5.46965346385836, 51.441395231023215], [5.471338828074398, 51.44106914107382], [5.4714624219109, 51.441172846525696]]], ""type"": ""Polygon""}";51.440789748775416, 5.47021236371557
383;5192;C1;29060.859219635004;709.4418820015111;"{""coordinates"": [[[5.450393847766062, 51.44921488899411], [5.450508851186542, 51.44919758619364], [5.450752537970632, 51.44926594689792], [5.450812760431206, 51.449287533505974], [5.451036179836569, 51.4491097852285], [5.451487774492361, 51.44864467417003], [5.45154220875285, 51.44860266160763], [5.451621627370248, 51.4485085782255], [5.451534960787052, 51.44845119761069], [5.451830850394337, 51.448103495792], [5.451814920175255, 51.44809945075444], [5.451837563196939, 51.44805924984786], [5.451371866623911, 51.447914071100584], [5.4513976161785695, 51.447842498119904], [5.450913430161035, 51.447681166119686], [5.450847001766825, 51.44773429854192], [5.450094984753348, 51.447466952347796], [5.449814522434272, 51.447529165926895], [5.449110985087141, 51.44832016771449], [5.448938163014974, 51.4484300228958], [5.448867175075235, 51.44852124518683], [5.448702931315305, 51.44855116555433], [5.448579116281302, 51.448658248233954], [5.448743360012093, 51.44868344384388], [5.448804003623648, 51.448736985978776], [5.44885453803858, 51.448897609126085], [5.449129996098826, 51.44893044396448], [5.449410455329898, 51.44936888982296], [5.449576830798519, 51.44946961304255], [5.4501805393023695, 51.44925039127048], [5.450393847766062, 51.44921488899411]]], ""type"": ""Polygon""}";51.44846337217132, 5.450251419299776
384;5162;B1;37228.11171998;1460.8456642299;"{""coordinates"": [[[5.475039535292436, 51.44577778967572], [5.47494707328365, 51.44586700450994], [5.474837393099038, 51.44593479246594], [5.474628233306392, 51.44618069359223], [5.474466610784731, 51.4462517974715], [5.474333508828581, 51.446396967971296], [5.474394667991905, 51.44641555118301], [5.4744939301317945, 51.44644647150106], [5.474592570487094, 51.4464726273136], [5.4747066563466875, 51.4464607763458], [5.474775590373024, 51.446862100816446], [5.47484213931576, 51.4471287354681], [5.474851645308747, 51.44724723937781], [5.47484213644704, 51.44746943377363], [5.474861549708961, 51.44754535360777], [5.475147056972703, 51.447593286954614], [5.475193850103951, 51.44763642595434], [5.475225673813397, 51.44766970400348], [5.4752386345734205, 51.4476829893382], [5.475243920451064, 51.447753453783314], [5.475144127545883, 51.4478026495743], [5.474827396507876, 51.44779169752483], [5.474651989471323, 51.44806490778088], [5.474937203200528, 51.448221922013545], [5.474889658334598, 51.44830202257537], [5.47485725729559, 51.448332981468624], [5.47480748937817, 51.44839796833063], [5.474724083150158, 51.44841005250833], [5.474497605499261, 51.448395006553994], [5.474242758669255, 51.44855038222397], [5.473924683646936, 51.44889144916163], [5.473596683505595, 51.44921732095969], [5.473444568234763, 51.44922028407907], [5.473007235389566, 51.44949282991371], [5.472645961034174, 51.44970020080866], [5.472712510555857, 51.44989868365754], [5.472945426845383, 51.45000396101795], [5.472997878714052, 51.450080192977154], [5.473222576431024, 51.450170955555045], [5.473247475482159, 51.450144958114095], [5.4733542350591335, 51.450211329637405], [5.473587168990168, 51.45024528515091], [5.47381534202092, 51.4501741869338], [5.474195632724109, 51.44985128398671], [5.474257429293703, 51.44978611041564], [5.474347748396381, 51.449720937032474], [5.474528386411233, 51.449569853205595], [5.474694763132237, 51.44934174428294], [5.4749086772649385, 51.44901883541757], [5.474727299801551, 51.44892367679733], [5.4747077963355935, 51.44886091731956], [5.474860689805249, 51.448696144329865], [5.475054098262768, 51.448754489575954], [5.475095295426344, 51.44875300051772], [5.475464850564789, 51.44846188636094], [5.475465135108925, 51.44831601628593], [5.475575108949961, 51.448150805676434], [5.475588442891091, 51.44812492887079], [5.47566569699548, 51.44796362791225], [5.47562419893236, 51.44792898835825], [5.475514532982238, 51.44788728239771], [5.475534613255344, 51.44783302775651], [5.475538174603856, 51.44757057578894], [5.475659745693094, 51.447502133660485], [5.4757310597227065, 51.44740129403352], [5.47580711640433, 51.44737759328188], [5.475963985338229, 51.44736278000777], [5.475963986367336, 51.44724723879489], [5.475921205829017, 51.44687987675465], [5.4758926859888035, 51.44670508151052], [5.475887934251781, 51.446479921733044], [5.47580712489039, 51.446079963334384], [5.475464867410753, 51.445801471297685], [5.475291352278308, 51.445822322504696], [5.475267585500952, 51.44575121766077], [5.475574202278493, 51.445650374249986], [5.475545322816279, 51.445608936842675], [5.475390267860826, 51.44555154042494], [5.475296867009078, 51.445516746802575], [5.475160946568101, 51.44546516205196], [5.474969412505663, 51.44539893340271], [5.4749447680774885, 51.4453946589937], [5.4748853557867845, 51.44550377224585], [5.474856767418862, 51.44573774270805], [5.475039535292436, 51.44577778967572]]], ""type"": ""Polygon""}";51.44799916985183, 5.474681757187684
386;5157;B1;11337.257541225;557.116245476897;"{""coordinates"": [[[5.449538660352787, 51.44640679950812], [5.4492972174637515, 51.44641134302513], [5.448933321055864, 51.4464473638111], [5.448980057453122, 51.44653055247496], [5.449237402209291, 51.44660878316083], [5.449415193441056, 51.44664538890233], [5.449633859010657, 51.44673426850627], [5.449725441549599, 51.44678786097557], [5.4498341241521375, 51.44685443728308], [5.450209042137628, 51.44698312776323], [5.450570313840308, 51.44710459488723], [5.450901205069121, 51.44721379092467], [5.451473006952493, 51.44738443989279], [5.451630081133492, 51.44742491704306], [5.4519487256715715, 51.44731928506553], [5.452080277085719, 51.447324623837105], [5.452143098051472, 51.44732370609198], [5.452320665606003, 51.447168628724086], [5.452280408646951, 51.44715912057209], [5.452148145691093, 51.44709721135193], [5.451982133367869, 51.44688239839626], [5.450670143697724, 51.446500219796555], [5.450509036053139, 51.446647682189294], [5.4498010620335045, 51.44643596072267], [5.449538660352787, 51.44640679950812]]], ""type"": ""Polygon""}";51.446885789502986, 5.450820056943416
