Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
anoniem 1394;;;;;;;1;;1
anoniem 1398;;;;;;2;;;2
anoniem 1402;;;;;;3;;;3
anoniem 1403;;;;;;2;;;2
anoniem 1404;;;;;;1;;;1
anoniem 1410;;;;;;1;;;1
anoniem 1411;;;;;;1;;;1
anoniem 1412;;;;;;7;;;7
anoniem 1414;;;;;;1;;;1
anoniem 1417;1;;;;;;;;1
anoniem 1420;;;;;;3;;;3
anoniem 1428;;;;;;3;;;3
anoniem 1432;;;;;;1;;;1
anoniem 1439;;;;1;;;;;1
anoniem 1442;;;;;;2;;;2
anoniem 1449;;;;;;;;1;1
anoniem 1453;;;;;;;1;;1
anoniem 1455;;;;;1;;;;1
anoniem 1456;;;;;;1;;;1
anoniem 1461;;2;;;;;;;2
anoniem 1465;;;;;;;1;;1
anoniem 1467;;;;;1;;;;1
anoniem 147;;;;;;1;;;1
anoniem 1472;;;;;1;;;;1
anoniem 1473;;;;;;2;;;2
anoniem 1475;;;;;;1;;;1
anoniem 1477;;;;1;;;;;1
anoniem 1479;;;;;;;1;;1
anoniem 1485;;;;;;1;;;1
anoniem 1488;;;;;;1;;;1
anoniem 1499;;;;;;1;;;1
anoniem 1504;;4;;;;;;;4
anoniem 1507;;;;;;1;;;1
anoniem 1508;;;;;;1;;;1
anoniem 152;;;;;;1;;;1
anoniem 1522;;;;;;;1;;1
anoniem 1526;;;;;;1;;;1
anoniem 1533;;;;1;1;;;;1
anoniem 1538;;;;;;1;;;1
anoniem 1542;;;;1;;;;;1
anoniem 1544;;;;1;;;;;1
anoniem 1545;;;;1;;;;;1
anoniem 1546;;;;1;;;;;1
anoniem 1549;;;;;;3;;;3
anoniem 156;;;;;;1;;;1
anoniem 1560;;;;;1;;;;1
anoniem 1561;;;;;;2;;;2
anoniem 1568;;;;;;1;;;1
anoniem 1571;;;1;;;;;;1
anoniem 1572;;;1;;;;;;1
anoniem 1574;;;;;;1;;;1
anoniem 1579;;3;;;;;;;3
anoniem 1580;;;;;;;1;;1
anoniem 1583;;;;;;;1;;1
anoniem 1588;;;;;;1;;;1
anoniem 159;;2;;;;;;;2
anoniem 1591;;;2;;;;;;2
anoniem 1598;;;1;;;;;;1
anoniem 1599;;;;;;2;;;2
anoniem 160;;;;;;1;;;1
anoniem 1600;;;;;;1;;;1
anoniem 1604;;;;;;1;;;1
anoniem 1610;;;;;;1;;;1
anoniem 1611;;;;;;1;;;1
anoniem 1613;1;;;;;;;;1
anoniem 1619;;;;;;1;;;1
anoniem 1630;;;;;;;1;;1
anoniem 1637;;;;;;2;;;2
anoniem 1639;;;;;;1;;;1
anoniem 1641;;;;;;1;;;1
anoniem 1649;;;;;;1;;;1
anoniem 1652;;;;;;1;;;1
anoniem 1658;;;;;;1;;;1
anoniem 1663;;;;;;1;;;1
anoniem 1665;1;;;;;;;;1
anoniem 1668;;;;;;2;;;2
anoniem 1675;;;;;;1;;;1
anoniem 168;;;;;;1;;;1
anoniem 1683;;;;;4;;;;4
anoniem 1684;;;;;;1;;;1
anoniem 1690;;2;;;;;;;2
anoniem 1696;;;;;;1;;;1
anoniem 1701;;;;;;5;;;5
anoniem 1710;2;;;;;;;;2
anoniem 1713;;;;;;;2;;2
anoniem 1714;;;;;;2;;;2
anoniem 1719;;2;;;;;;;2
anoniem 1721;;;1;;;;;;1
anoniem 1728;;;;;;2;;;2
anoniem 1738;;;;;;2;;;2
anoniem 1739;;;;;;2;;;2
anoniem 1740;;;;;;2;;;2
anoniem 1767;;;;;;1;;;1
anoniem 1769;;;;;;1;;;1
anoniem 1771;;;;;;1;;;1
anoniem 1772;1;;;;;;;;1
anoniem 1775;;;;;;1;;;1
anoniem 1783;;;;;;1;;;1
anoniem 1784;;;;;;;1;;1
anoniem 1786;;;;;1;;;;1
anoniem 1789;1;;;;;;;;1
anoniem 1790;;;;;;1;;;1
anoniem 1793;;;;;;1;;;1
anoniem 1794;;;;;;;1;;1
anoniem 1795;;;;;;;1;;1
anoniem 18;;;;;;1;;;1
anoniem 1809;;;;;;1;;;1
anoniem 1814;;;;;;2;;;2
anoniem 1821;1;;;;;;;;1
anoniem 1825;;;;;;;1;;1
anoniem 1827;;;;;;;1;;1
anoniem 1830;;;;;;2;;;2
anoniem 1831;;;;;;1;;;1
anoniem 1842;;;;;;7;;;7
anoniem 1847;;;1;;;;;;1
anoniem 1849;;;1;;;;;;1
anoniem 1852;;;;;;1;;;1
anoniem 1861;;;;;;;1;;1
anoniem 1865;;;;;;1;;;1
anoniem 1868;;;1;;;;;;1
anoniem 1870;;;;;;1;;;1
anoniem 1873;;;;;;2;;;2
anoniem 1888;1;;;;;;;;1
anoniem 1891;;;;;;3;;;3
anoniem 1892;;;;;;1;;;1
anoniem 1897;;;;;;1;;;1
anoniem 1911;;;;;;;1;;1
anoniem 1914;;;;;;1;;;1
anoniem 1916;;;;;;2;;;2
anoniem 1921;;;;;;1;;;1
anoniem 1924;;;;;;2;;;2
anoniem 1926;;;;1;;;;;1
anoniem 1927;;;;;;;1;;1
anoniem 1928;;;;;;1;;;1
anoniem 1930;;;;;;1;;;1
anoniem 1937;;;;;;1;;;1
anoniem 1938;;;;2;;;;;2
anoniem 1942;;;;;;1;;;1
anoniem 1944;;;;;;2;;;2
anoniem 1951;;;;1;;;;;1
anoniem 1952;;;;;;1;;;1
anoniem 1954;;;;;;1;;;1
anoniem 1955;;2;;;;;;;2
anoniem 1956;1;;;;;;;;1
anoniem 1957;;;;;;1;;;1
anoniem 1966;;;;1;;;;;1
anoniem 1969;;;;;;1;;;1
anoniem 1977;;;;;;1;;;1
anoniem 1978;;;;;;1;;;1
anoniem 1979;;;;;;2;;;2
