Leveranciersnaam;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Fleetlogic B.V.;;;1;1
FOUQUET RESTAURANT;;1;;1
Garage Meer en bos;;;1;1
GH Catering B.V.;;1;;1
Gran Mercado B.V.;;1;;1
Grand Hotel De l'Empereur;;1;;1
GRAND HOTEL KAREL V;;1;;1
Granny's Corner;;1;;1
HAAGSE BEEK ORGANISATIEADVIES B.V.;;1;;1
Hampshire;;1;;1
HAMPSHIRE HOTEL BABYLON;;1;;1
HAMPSHIRE INN - MOOI VELUWE;;1;;1
Havengebouw Amsterdam B.V.;;1;;1
HET KOOKPLEIN;;1;;1
HET MUNTGEBOUW UTRECHT;;1;;1
Holi Holding B.V.;;1;;1
HOP & STORK DEN HAAG;;1;;1
Hotel Berlaymont;;1;;1
Hotel Contact B.V.;;1;;1
HOTEL DES INDES;;1;;1
Hotel Mitland;;1;;1
HOUSE OF LORDS;;1;;1
HR Via Care B.V.;;;6;6
HTM Specials B.V.;;;1;1
HUIS TEN HAGHE;;1;;1
HUMANITY HOUSE;;1;;1
IGLUU;;1;;1
Igluu B.V.;;1;;1
Inalise B.V.;;;2;2
INSPIRATIE OP LOCATIE B.V.;;1;;1
InterCityHotel Enschede;;1;;1
INTERNET NEW BUSINESS CONCEPTS BV;;1;;1
JAARBEURS UTRECHT;;1;;1
Jungheinrich Nederland B.V.;;;1;1
KASTEEL OUD-POELGEEST;;1;;1
Kasteel Oud-Poelgeest B.V.;;2;;2
Kemper Fietsen B.V.;;;1;1
Kerkhof en Zonen Beheer;;;1;1
Kings Shop;;;2;2
KIVI Engineering Society;;1;;1
KOENEN INTERN TRANSPORT B.V.;;;1;1
LA GALLERIA BOULEVARD;;1;;1
Landegent Holding B.V.;;;1;1
LANDGOED DE HORST;;1;;1
Landgoed ISVW;;1;;1
Landgoed Kraaybeekerhof B.V.;;1;;1
Landgoed Te Werve;;1;;1
LEASEPLAN NED;;;2;2
Leaseplan Nederland N.V.;;;7;7
LEEF Tapas B.V.;;1;;1
Luc Utrecht;;1;;1
LUDEN DEN HAAG;;1;;1
LUMENZ;;1;;1
MALIEBAAN45;;1;;1
MEANDER;;1;;1
MEETING PLAZA UTRECHT;;1;;1
Mercedes-Benz Leiden;;;1;1
Mercure Den Haag Central;;1;;1
Mobility Mixx B.V.;;;5;5
MOTEL HAARLEM ZUID B.V.;;1;;1
MOTUS;;1;;1
Motus B.V.;;1;;1
MOVENPICK HOTEL AMSTERDAM CITY CENTRE;;1;;1
Munckhof Taxi B.V.;;;3;3
MUSEUM CATERING;;1;;1
MUSEUM CATERING DEN HAAG;;1;;1
NEW BABYLON GARDENS B.V.;;1;;1
NEW BABYLON MEETING CENTER B.V.;;2;;2
NEW ROYAL YORK HOTEL;;1;;1
Noordzee Services B.V.;;;1;1
NOTEBOOM;;1;;1
NW OF LITTERAIRE SOCIETEIT DE WITTE;;1;;1
NWC EVENTS;;1;;1
OOSTDUINHAGHE HOTEL;;1;;1
Oudaen B.V.;;1;;1
PAGESHUIS;;1;;1
PARK PLAZA UTRECHT;;1;;1
Park-line B.V.;;;2;2
PLEIN 10A;;1;;1
POP-UP FUN B.V.;;1;;1
POSG Professionals BV;;;7;7
Profile Tyrecenter Van Kleef;;;1;1
Proline Automotive Solutions;;;1;1
Q-PARK BEHEER;;;1;1
REAL - LIFE XCAPE;;1;;1
REGARDZ;;1;;1
Regus;;2;;2
REGUS AMSTERDAM;;1;;1
Remto Automaterialen;;;1;1
REST LA PASSIONE;;1;;1
Restaurant Oker;;1;;1
RESTAURANT VAN AKEN;;1;;1
Retraiterie Rottemeren;;1;;1
RID;;1;;1
ROOTZ HARBOUR;;1;;1
ROPENI;;1;;1
Schiphol Nederland B.V.;;;1;1
Scooter-Ypenburg;;;1;1
Se7en;;1;;1
SEATS2MEET.COM UTRECHT;;1;;1
Simonis Oude Visafslag B.V.;;1;;1
SOLBEACH B.V.;;1;;1
SPACES RODE OLIFANT;;1;;1
SPIZE;;1;;1
SSRotterdam;;1;;1
Start People;;;1;1
STICHTING BEHEER SYNAGOGE;;1;;1
Stichting CAOP;;1;;1
STICHTING DOMINICANENKLOOSTER ZWOLLE;;1;;1
Stichting Grote Kerk;;1;;1
Stichting Internationaal Perscentrum;;1;;1
STICHTING INTERNATIONALE SCHOOL VOOR;;1;;1
STICHTING IPOORT;;1;;1
STICHTING OOSTERLENGTE;;1;;1
Stichting Philadelphia Horeca &;;1;;1
STILL INTERN TRANSPORT;;;2;2
Taverne Meer en Bosch B.V.;;1;;1
TAXIBEDRIJF VAN DER WIJST;;;5;5
TCR Vervoer  Regio Raalte;;;1;1
THE POOL HOLDING B.V.;;1;;1
The Rat Pack B.V.;;1;;1
TOWER LEISURE;;1;;1
Travelcard Nederland B.V.;;;1;1
Truckland Noord-Holland;;;1;1
Truckland Zuid-Holland B.V.;;;1;1
Van der Spek Heftrucks B.V.;;;1;1
Van der Valk Utrecht;;1;;1
Van Stenis Carrosseriebouw B.V.;;;1;1
VCK Travel B.V.;;;1;1
VERMAAT BEDRIJFSHORECA;;1;;1
Wilminktheater;;1;;1
WINKEL VAN SINKEL;;1;;1
Wittebrug;;;1;1
ZAALVERHUUR7;;1;;1
Zandhof B.V;;1;;1
Ziegler Brandweertechniek B.V.;;;1;1
Anoniem 844;1;;;1
Anoniem 845;;1;;1
Eindtotaal;1;6;8;8
