FID,omschr,type_conv,doseerinst,hectobord,toeritnr,toeritnaam,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
convergenties_kenmerk.19,Haarlemmermeer-aansluiting,I,N,8.5b,5,'DORDRECHT-STERRENBURG'VBW. b,R,8.63000011,003,KPK0001219585,I,,POINT (104907.71420000121 421171.7824999988)
convergenties_kenmerk.20,Niet indeelbaar,C,N,0.0#,,'NELSON MANDELA DREEF',R,12.6789999,004,KPK0001219638,I,,POINT (108203.16000000015 476397.7023999989)
convergenties_kenmerk.21,Pseudo T-knooppunt,I,N,6.2d,,'KP.ZURICH'ZURICH VBW. d,R,6.06500006,031,KPK0001221905,I,,POINT (154652.27329999954 567890.3889000006)
convergenties_kenmerk.22,Halfklaverblad-aansluiting,I,N,17.4d,19,'HARLINGEN-HAVENS'VBW. d,R,17.19099998,031,KPK0001221922,I,,POINT (159574.78709999844 577340.6284999996)
convergenties_kenmerk.23,Halfklaverblad-aansluiting,I,N,17.7b,19,'HARLINGEN-HAVENS'VBW. b,R,17.88199997,031,KPK0001221925,I,,POINT (160172.124499999 577668.5601000004)
convergenties_kenmerk.24,Niet indeelbaar,I,N,0.0#,,'TWEE PROVINCIENWEG' (N381),R,160.21499634,028,KPK0001140370,I,,POINT (231008.44299999997 543969.5399999991)
convergenties_kenmerk.25,T-knooppunt,C,N,155.1#,,'KP.BUREN'BORNE(RW1),R,54.70700073,035,KPK0001140959,I,,POINT (246691.68030000106 479056.131000001)
convergenties_kenmerk.26,Halfklaverblad-aansluiting,I,N,110.3b,10,'EERDE'VBW. b,R,110.42199707,050,KPK0001141391,I,,POINT (163615.67559999973 401518.18250000104)
convergenties_kenmerk.27,T-aansluiting halfklaverblad,I,N,118.2b,12,'VEGHEL-NOORD'VBW. b,R,118.37599945,050,KPK0001141403,I,,POINT (167974.8739 405608.5810999982)
convergenties_kenmerk.28,Haarlemmermeer-aansluiting,I,N,122.6b,14,'ZEELAND'VBW. b,R,122.75499725,050,KPK0001141416,I,,POINT (169711.86059999838 409175.6680999994)
convergenties_kenmerk.29,Halfklaverblad-aansluiting,I,N,197.6b,23,'LOENEN'VBW. b,R,197.74200439,050,KPK0001141839,I,,POINT (196300.5832999982 461504.15019999817)
convergenties_kenmerk.30,Pseudo Overig volledig knooppunt,C,N,170.4b,,'KP.LEENDERHEIDE'MAASTRICHT VBW. b,R,170.72200012,002,KPK0001219419,I,,POINT (163256.57250000164 378647.64820000157)
convergenties_kenmerk.31,,I,N,14.8n,,BS.PPL.+REST.'DEN RUYGEN HOEK',R,14.63000011,004,KPK0001219736,I,,POINT (107413.9151000008 475172.49439999834)
convergenties_kenmerk.32,Niet indeelbaar,I,N,0.0#,,BUSBAAN,R,16.4659996,004,KPK0001219760,I,,POINT (106160.39919999987 473771.4895000011)
convergenties_kenmerk.33,Pseudo T-knooppunt,I,N,10.2e,,'KP.DE HOEK'HAARLEM VBW. e(RW4),R,1.45899999,005,KPK0001219888,I,,POINT (110249.88120000064 478924.2558999993)
convergenties_kenmerk.34,,I,N,227.4m,,BS.PPL.'KOLTHOORN',R,227.61300659,050,KPK0001141974,I,,POINT (197721.47989999875 489745.41690000147)
convergenties_kenmerk.35,Klaverbladknooppunt,I,N,85.7j,,'KP.HATTEMERBROEK'KAMPEN VBW. j (RW28),R,238.33399963,050,KPK0001141998,I,,POINT (198298.7199999988 499984.0890999995)
convergenties_kenmerk.36,Halfklaverblad-aansluiting,I,N,99.4d,8,'SON EN BREUGEL'VBW. d,R,99.26999664,050,KPK0001150260,I,,POINT (160697.84479999915 391579.6275999993)
convergenties_kenmerk.37,Halfklaverblad-aansluiting,I,N,128.4d,15,'NISTELRODE'VBW. d,R,128.18600464,050,KPK0001150289,I,,POINT (167555.51619999856 413965.6121999994)
convergenties_kenmerk.38,Klaverbladknooppunt,I,N,48.3s,,'KP.HEERENVEEN'HEERENVEEN-WEST VBW. s(RW32),R,143.04499817,007,KPK0001204326,I,,POINT (189987.30939999968 554009.1926999986)
convergenties_kenmerk.39,Haarlemmermeer-aansluiting,I,N,60.9d,18,'HOOGRAVEN'VBW. d,R,60.71900177,012,KPK0001204550,I,,POINT (136361.8627000004 452250.3852000013)
convergenties_kenmerk.40,Pseudo Overig volledig knooppunt,I,N,70.7q,,'KP.LUNETTEN'RING UTRECHT VBW. q(RW27),R,62.19499969,012,KPK0001204558,I,,POINT (137764.15700000152 451934.9210000001)
convergenties_kenmerk.41,Klaverbladknooppunt,I,N,5.4s,,'KP.ZAANDAM'BEVERWIJK VBW. s(RW8),R,4.33199978,007,KPK0001219977,I,,POINT (117499.39059999958 496485.25349999964)
convergenties_kenmerk.42,Niet indeelbaar,C,N,0.0#,,'PROVINCIALE WEG'(N244),R,17.56500053,007,KPK0001220233,I,,POINT (125000.79899999872 505050.46599999815)
convergenties_kenmerk.43,Niet indeelbaar,C,N,0.0#,,'HOORN',R,31.66200066,007,KPK0001220234,I,,POINT (131320.4186999984 517939.8256999999)
convergenties_kenmerk.44,Haarlemmermeer-aansluiting,I,N,180.1d,33,'BOERAKKER'VBW. d,R,179.96699524,007,KPK0001204370,I,,POINT (217655.54659999907 576229.1944000013)
convergenties_kenmerk.45,Pseudo T-knooppunt,C,N,66.3h,,'KP.RIDDERKERK-ZUID'RING-OOST VBW. h(RW15),R,26.93600082,016,KPK0001205086,I,,POINT (100304.08949999884 430543.2534000017)
convergenties_kenmerk.46,T-aansluiting halfklaverblad,I,N,36.6b,10,'WOGNUM'VBW. b,R,36.78699875,007,KPK0001220048,I,,POINT (130866.80169999972 522910.65579999983)
convergenties_kenmerk.47,Halfklaverblad-aansluiting,I,N,43.2b,11,'MEDEMBLIK'VBW. b,R,43.38000107,007,KPK0001220059,I,,POINT (131142.7686999999 529421.1539000012)
convergenties_kenmerk.48,T-aansluiting halfklaverblad,I,N,50.0d,12,'MIDDENMEER'VBW. d,R,49.87400055,007,KPK0001220061,I,,POINT (129525.30110000074 535414.4787999988)
convergenties_kenmerk.49,,I,N,0.0#,,BS.'WIERINGERWERF',R,61.38999939,007,KPK0001220072,I,,POINT (131008.30200000107 546655.4541999996)
convergenties_kenmerk.50,Halfklaverblad-aansluiting,I,N,21.1b,20,'GEERTRUIDENBERG'VBW. b,R,21.22100067,027,KPK0001205225,I,,POINT (120587.62739999965 414099.5896999985)
convergenties_kenmerk.2010,,I,N,81.7p,,PPL.'BRUGGELEN',R,81.81900024,001,KPK0001463594,I,,POINT (193226.92179999873 465491.95859999955)
convergenties_kenmerk.51,Niet indeelbaar,I,N,0.0#,,'SCHUTSTRAAT',R,141.39900208,028,KPK0001205400,I,,POINT (227942.3898999989 526362.7305000015)
convergenties_kenmerk.52,,I,N,0.0#,,PPL.'DE MARKTE',R,101.58300018,028,KPK0001205549,I,,POINT (208391.04879999906 507721.8412999995)
convergenties_kenmerk.53,Niet indeelbaar,I,N,0.0#,,'SCHELLINGSWOUDE',R,7.125,010,KPK0001220605,I,,POINT (126420.02360000089 489038.70760000125)
convergenties_kenmerk.54,Haarlemmermeer-aansluiting,C,N,25.2z,,'AMSTERDAM-DE BAARSJES'VBW. z,R,25.11700058,010,KPK0001220614,I,,POINT (117875.02070000023 487474.7857000008)
convergenties_kenmerk.55,Niet indeelbaar,I,N,0.0#,,WISSELSTROOK q,R,28.90600014,010,KPK0001220623,I,,POINT (118781.83249999955 491004.05319999903)
convergenties_kenmerk.56,Niet indeelbaar,I,N,0.0#,,'NIEUWERBRUG',R,39.94800186,012,KPK0001220653,I,,POINT (116235.69469999894 453284.0498000011)
convergenties_kenmerk.57,Pseudo Overig volledig knooppunt,I,N,29.4t,,'KP.KLEINPOLDERPLEIN'AMSTERDAM VBW. t(RW20),R,18.77099991,013,KPK0001220893,I,,POINT (89488.85779999942 438948.1152999997)
convergenties_kenmerk.58,Haarlemmermeer-aansluiting,I,N,148.0b,28,'RUINEN'VBW. b,R,148.09100342,028,KPK0001205604,I,,POINT (226525.98059999943 532812.6948000006)
convergenties_kenmerk.59,Halfklaverblad-aansluiting,I,N,157.5b,30,'BEILEN'VBW. b,R,157.65299988,028,KPK0001205614,I,,POINT (229678.39990000054 541743.9604999982)
convergenties_kenmerk.60,,I,N,0.0#,,BS.PPL.'WITTE MOLEN',R,193.0059967,028,KPK0001205647,I,,POINT (236561.22419999912 573991.4340999983)
convergenties_kenmerk.61,Niet indeelbaar,I,N,0.0#,,'PROVINCIALE WEG N375',R,10.57999992,032,KPK0001205664,I,,POINT (210250.9285000004 524507.6937999986)
convergenties_kenmerk.62,Niet indeelbaar,C,N,0.0#,,'HEERENVEEN-CENTRUM',R,46.42399979,032,KPK0001205666,I,,POINT (191830.31080000103 553338.0139000006)
convergenties_kenmerk.63,,I,N,0.0#,,BS.PPL.'DORPSHELLEN',R,40.4280014,032,KPK0001205705,I,,POINT (194716.71279999986 547849.1097999997)
convergenties_kenmerk.64,Haarlemmermeer-aansluiting,I,N,45.5b,11,'HEERENVEEN'VBW. b,R,45.64400101,032,KPK0001205712,I,,POINT (192162.87000000104 552286.5920000002)
convergenties_kenmerk.65,Haarlemmermeer-aansluiting,I,N,42.3d,10,'HEERENVEEN-ZUID'VBW. d,R,42.1269989,032,KPK0001205713,I,,POINT (193716.31590000167 549163.2283999994)
convergenties_kenmerk.66,Haarlemmermeer-aansluiting,I,N,44.9d,11,'HEERENVEEN'VBW. d,R,44.72499847,032,KPK0001205714,I,,POINT (192440.0148999989 551414.9497999996)
convergenties_kenmerk.67,Haarlemmermeer-aansluiting,I,N,57.8d,13,'AKKRUM'VBW. d,R,57.63999939,032,KPK0001205729,I,,POINT (185839.4675000012 562051.7681999989)
convergenties_kenmerk.68,Haarlemmermeer-aansluiting,I,N,58.3b,13,'AKKRUM'VBW. b,R,58.43199921,032,KPK0001205735,I,,POINT (185642.0196999982 562818.9935999997)
convergenties_kenmerk.69,Haarlemmermeer-aansluiting,I,N,103.1d,,'BALKBRUG'VBW. d,R,102.9280014,048,KPK0001205836,I,,POINT (224173.59919999912 512804.34690000117)
convergenties_kenmerk.70,Klaverbladknooppunt,I,N,134.2e,,'KP.HOOGEVEEN'OMMEN VBW. e(RW28),R,115.40399933,048,KPK0001205841,I,,POINT (227095.43499999866 524502.6594000012)
convergenties_kenmerk.71,Haarlemmermeer-aansluiting,I,N,93.7b,31,'TERHEIJDEN'VBW. b,R,93.84200287,059,KPK0001206137,I,,POINT (111867.37530000135 407796.10810000077)
convergenties_kenmerk.72,Haarlemmermeer-aansluiting,I,N,96.8b,32,'MADE'VBW. b,R,96.9509964,059,KPK0001206141,I,,POINT (114637.4653000012 409212.6625000015)
convergenties_kenmerk.73,,I,N,98.3m,,BS.PPL.'HESPELAAR',R,98.44300079,059,KPK0001206149,I,,POINT (116037.20210000128 409721.64020000026)
convergenties_kenmerk.74,T-aansluiting halfklaverblad,I,N,100.2b,33,'OOSTERHOUT'VBW. b,R,100.26499939,059,KPK0001206150,I,,POINT (117761.39339999855 410321.28610000014)
convergenties_kenmerk.75,T-knooppunt,I,N,128.0d,45,'RING-WEST 's-HERTOGENBOSCH-WEST'VBW. d,R,127.86000061,059,KPK0001206190,I,,POINT (144640.1213000007 411830.68659999967)
convergenties_kenmerk.76,Niet indeelbaar,I,N,114.5z,,'WAALWIJK-OOST'VBW. z,R,114.52999878,059,KPK0001206232,I,,POINT (131709.40139999986 411381.0254999995)
convergenties_kenmerk.77,Niet indeelbaar,C,N,0.0#,,'HEUSDEN',R,123.00499725,059,KPK0001206236,I,,POINT (139614.6259999983 412378.09899999946)
convergenties_kenmerk.78,Pseudo T-knooppunt,I,N,41.0u,,'KP.MUIDERBERG'HENGELO VBW. u(RW6),R,15.49800014,001,KPK0001148710,I,,POINT (135883.8990000002 480731.48970000073)
convergenties_kenmerk.79,Haarlemmermeer-aansluiting,I,N,18.5b,6,'NAARDEN-VESTING'VBW. b,R,18.68799973,001,KPK0001148730,I,,POINT (138855.92760000005 479803.12779999897)
convergenties_kenmerk.80,Halfklaverblad-aansluiting,I,N,132.1b,26,'BOXTEL'VBW. b,R,132.38400269,002,KPK0001124800,I,,POINT (152852.1713999994 398240.89550000057)
convergenties_kenmerk.81,,I,N,208.0m,,BS.PPL.'ELLERBRUG',R,208.09399414,002,KPK0001149250,I,,POINT (184629.57009999827 358959.65399999917)
convergenties_kenmerk.82,,I,N,235.9n,,BS.PPL.'SWENTIBOLT',R,235.80999756,002,KPK0001149280,I,,POINT (184167.36080000177 336112.9074999988)
convergenties_kenmerk.83,Klaverbladknooppunt,C,N,2.4s,,'KP.KERENSHEIDE'HEERLEN VBW. s(RW76),R,240.772995,002,KPK0001149287,I,,POINT (183130.81850000098 331548.05490000173)
convergenties_kenmerk.84,Klaverbladknooppunt,I,N,241.2n,,'KP.KERENSHEIDE'ANTWERPEN RANG.BAAN n,R,241.11199951,002,KPK0001149291,I,,POINT (183139.92350000143 331210.2058000006)
convergenties_kenmerk.85,,I,N,245.0m,,BS.PPL.'VOSSEDAL',R,245.13699341,002,KPK0001149306,I,,POINT (182823.52149999887 327274.2719999999)
convergenties_kenmerk.86,Pseudo T-knooppunt,C,N,12.5u,,'KP.BATADORP'NIJMEGEN VBW. u (RW58),R,155.70199585,002,KPK0001124936,I,,POINT (156471.7800000012 388246.7468999997)
convergenties_kenmerk.87,,I,N,181.6m,,BS.PPL.'t HAASJE',R,181.67500305,002,KPK0001125179,I,,POINT (169613.70789999887 370144.69139999896)
convergenties_kenmerk.88,Pseudo Haarlemmermeer-aansluiting,C,J,255.0h,53,'MAASTRICHT-CENTRUM HASSELT'VBW. h,B,254.85600281,002,KPK0001149370,I,,POINT (178113.7613000013 318948.4263000004)
convergenties_kenmerk.89,Halfklaverblad-aansluiting,I,N,75.8q,,BS+PPL,R,75.70700073,015,KPK0001221324,I,,POINT (106107.82779999822 429416.38489999995)
convergenties_kenmerk.90,Haarlemmermeer-aansluiting,I,N,224.4d,45,'ECHT'VBW. d,R,224.18499756,002,KPK0001125309,I,,POINT (187877.05270000175 346541.117899999)
convergenties_kenmerk.91,Halfklaverblad-aansluiting,I,N,43.3d,4,'VINKEVEEN'VBW. d,R,43.03099823,002,KPK0001123749,I,,POINT (127215.6446999982 471466.1336000003)
convergenties_kenmerk.92,T-knooppunt,I,N,29.6#,,'KP.KLAVERPOLDER'ROOSENDAAL (RW17 L.RIJB.),R,46.18500137,016,KPK0001221429,I,,POINT (103677.19799999893 413324.10550000146)
convergenties_kenmerk.93,Haarlemmermeer-aansluiting,I,N,232.2d,47,'BORN'VBW. d,R,232.10899353,002,KPK0001125406,I,,POINT (185770.04340000078 339352.6257000007)
convergenties_kenmerk.94,Pseudo Overig volledig knooppunt,C,N,64.3m,,'KP.OUDENRIJN'RING N/W RANG.BAAN m,R,64.7009964,002,KPK0001124073,I,,POINT (133006.16360000148 452187.58740000054)
convergenties_kenmerk.95,Pseudo Haarlemmermeer-aansluiting,I,J,254.9d,53,'MAASTRICHT-CENTRUM NOORD'VBW. d,B,254.6309967,002,KPK0001125789,I,,POINT (178233.5859999992 319130.86609999835)
convergenties_kenmerk.96,Halfklaverblad-aansluiting,I,N,81.2b,13,'CULEMBORG'VBW. b,R,81.40899658,002,KPK0001124266,I,,POINT (139709.84090000018 437788.4930000007)
convergenties_kenmerk.97,Haarlemmermeer-aansluiting,I,N,168.3d,33,'WAALRE'VBW. d,R,168.2250061,002,KPK0001126479,I,,POINT (161246.28700000048 379631.7360999994)
convergenties_kenmerk.98,Pseudo Klaverbladknooppunt,C,N,38.7s,,'KP.RAASDORP'ROTTERDAM VBW. s (RW9),R,7.6880002,005,KPK0001128578,I,,POINT (110672.61609999835 485077.4846000001)
convergenties_kenmerk.99,Pseudo Klaverbladknooppunt,I,N,39.3v,,'KP.RAASDORP'ROTTERDAM VBW. v (RW9),R,8.43999958,005,KPK0001128586,I,,POINT (110949.60610000044 485765.41050000116)
convergenties_kenmerk.100,Pseudo Klaverbladknooppunt,I,N,8.5f,,'KP.RAASDORP'ALKMAAR VBW. f,R,8.9460001,005,KPK0001128598,I,,POINT (110780.53500000015 485936.0940999985)
convergenties_kenmerk.101,Pseudo T-knooppunt,C,N,15.7f,,'KP.MUIDERBERG'LELYSTAD VBW. f(RW1),R,42.70999908,006,KPK0001128609,I,,POINT (136741.2039999999 481041.4263000004)
convergenties_kenmerk.102,Halfklaverblad-aansluiting,C,N,43.4d,1,'MUIDERBERG'VBW. d,R,43.23400116,006,KPK0001128629,I,,POINT (137167.17660000175 481338.49439999834)
convergenties_kenmerk.103,Halfklaverblad-aansluiting,I,N,43.6b,1,'MUIDERBERG'VBW. b,R,43.72399902,006,KPK0001128640,I,,POINT (137589.70100000128 481564.65359999985)
convergenties_kenmerk.104,Niet indeelbaar,C,N,45.5n,,'ALMERE'RANG.BAAN n,R,45.21699905,006,KPK0001128657,I,,POINT (138731.30270000175 482537.5267000012)
convergenties_kenmerk.105,Haarlemmermeer-aansluiting,C,N,2.0d,1,'AMSTERDAM-SLOTEN'VBW. d,R,1.80700004,004,KPK0001127217,I,,POINT (116333.73530000076 483528.55849999934)
convergenties_kenmerk.106,Niet indeelbaar,I,N,55.6n,,'UTRECHT'RANG.BAAN n,R,55.36800003,006,KPK0001128776,I,,POINT (147670.99179999903 486379.4893000014)
convergenties_kenmerk.107,Haarlemmermeer-aansluiting,C,N,117.5m,,'RING 'S HERTOGENBOSCH'RANG.BAAN m,R,117.76399994,002,KPK0001124599,I,,POINT (152088.37790000066 410038.626699999)
convergenties_kenmerk.108,Pseudo T-knooppunt,C,N,1.9#,,'KP.VUGHT'RING 's-HERTOGENBOSCH WEST (RW65),R,119.9960022,002,KPK0001124647,I,,POINT (150134.9600000009 409031.45120000094)
convergenties_kenmerk.109,Pseudo T-knooppunt,I,N,121.5r,,'KP.VUGHT'RING-WEST VBW. r,R,121.73500061,002,KPK0001124668,I,,POINT (149131.6099999994 407850.12999999896)
convergenties_kenmerk.110,Pseudo T-aansluiting halfklaverblad,I,N,6.3f,2,'SCHIPHOL'VBW. f,R,6.12799978,004,KPK0001127262,I,,POINT (112505.23999999836 481842.0188000016)
convergenties_kenmerk.111,Niet indeelbaar,C,N,60.7m,,'ALMERE-OOSTVAARDERS'RANG.BAAN m,R,60.89599991,006,KPK0001128853,I,,POINT (151834.2697999999 489874.71990000084)
convergenties_kenmerk.112,T-aansluiting Haarlemmermeer,I,N,61.7b,8,'ALMERE-OOSTVAARDERS'VBW. b,R,61.82300186,006,KPK0001128876,I,,POINT (152592.88210000098 490345.11499999836)
convergenties_kenmerk.113,Halfklaverblad-aansluiting,I,N,126.5d,25,'BOXTEL-NOORD'VBW. d,R,126.30599976,002,KPK0001124705,I,,POINT (150104.4039000012 403399.2972000018)
convergenties_kenmerk.114,Haarlemmermeer-aansluiting,I,N,58.6b,7,'UTRECHT-CENTRUM'VBW. b,R,58.92699814,002,KPK0001125999,I,,POINT (132531.999499999 457542.3914999999)
convergenties_kenmerk.115,Halfklaverblad-aansluiting,I,N,75.7b,10,'LELYSTAD'VBW. b,R,75.86199951,006,KPK0001128894,I,,POINT (163229.25699999928 499433.5460000001)
convergenties_kenmerk.116,Haarlemmermeer-aansluiting,I,N,86.6d,11,'LELYSTAD-NOORD'VBW. d,R,86.41600037,006,KPK0001128896,I,,POINT (164764.86199999973 506456.679299999)
convergenties_kenmerk.117,Haarlemmermeer-aansluiting,I,N,87.1b,11,'LELYSTAD-NOORD'VBW. b,R,87.35700226,006,KPK0001128898,I,,POINT (164730.47399999946 507357.3790999986)
convergenties_kenmerk.118,,I,N,90.9p,,PPL.'OEVERWAL',R,91.08100128,006,KPK0001128902,I,,POINT (166024.80260000005 510722.5152999982)
convergenties_kenmerk.119,Pseudo T-knooppunt,I,N,0.0s,,'SWIFTERBANT'VBW. s,R,97.68199921,006,KPK0001128908,I,,POINT (171878.2063000016 513362.85020000115)
convergenties_kenmerk.120,,I,N,100.8m,,BS.PPL.'DE ABT',R,100.8710022,006,KPK0001128911,I,,POINT (173988.80669999868 515722.86780000106)
convergenties_kenmerk.121,Halfklaverblad-aansluiting,I,N,102.4d,13,'URK'VBW. d,R,102.30799866,006,KPK0001128914,I,,POINT (174375.77749999985 517094.8319000006)
convergenties_kenmerk.122,Halfklaverblad-aansluiting,I,N,102.6b,13,'URK'VBW. b,R,102.76000214,006,KPK0001128917,I,,POINT (174513.6468999982 517536.91110000014)
convergenties_kenmerk.123,Haarlemmermeer-aansluiting,I,N,109.4b,14,'EMMELOORD-WEST'VBW. b,R,109.54399872,006,KPK0001128922,I,,POINT (179349.5011 522066.59120000154)
convergenties_kenmerk.124,T-knooppunt,C,N,278.9s,,'KP.EMMELOORD'IND. NAGELERWEG VBW. s,R,111.01300049,006,KPK0001128923,I,,POINT (180653.0025999993 522762.38589999825)
convergenties_kenmerk.125,Haarlemmermeer-aansluiting,I,N,283.1b,15,'EMMELOORD'VBW. b,R,283.25799561,006,KPK0001128929,I,,POINT (180880.5214000009 527029.6519999988)
convergenties_kenmerk.126,Haarlemmermeer-aansluiting,I,N,286.8d,16,'BANT'VBW. d,R,286.5920105,006,KPK0001128932,I,,POINT (180529.8333999999 530336.063099999)
convergenties_kenmerk.127,Haarlemmermeer-aansluiting,I,N,287.6b,16,'BANT'VBW. b,R,287.80999756,006,KPK0001128935,I,,POINT (180344.42229999974 531540.3359999992)
convergenties_kenmerk.128,,I,N,289.8m,,BS.PPL.'WELLERZAND',R,290.00299072,006,KPK0001128936,I,,POINT (179908.64710000157 533696.6059000008)
convergenties_kenmerk.129,,I,N,292.9n,,BS.PPL.'LEMSTERHOP',R,292.74301147,006,KPK0001128939,I,,POINT (179167.64400000125 536329.3024000004)
convergenties_kenmerk.130,Halfklaverblad-aansluiting,I,N,296.5b,17,'LEMMER'VBW. b,R,296.64001465,006,KPK0001128940,I,,POINT (177647.1521999985 539881.0192999989)
convergenties_kenmerk.131,Halfklaverblad-aansluiting,I,N,300.2b,18,'OOSTERZEE'VBW. b,R,300.25201416,006,KPK0001128944,I,,POINT (179122.37909999862 542974.5678000003)
convergenties_kenmerk.132,Halfklaverblad-aansluiting,I,N,297.1d,17,'LEMMER'VBW. d,R,297.05200195,006,KPK0001128945,I,,POINT (177524.1662000008 540287.8460000008)
convergenties_kenmerk.133,Halfklaverblad-aansluiting,I,N,300.1d,18,'OOSTERZEE'VBW. d,R,299.96499634,006,KPK0001128946,I,,POINT (178971.23380000144 542730.3198000006)
convergenties_kenmerk.134,,I,N,302.6p,,PPL.'DE LANEN',R,302.67401123,006,KPK0001128949,I,,POINT (180289.06019999832 545095.7060999982)
convergenties_kenmerk.135,Halfklaverblad-aansluiting,I,N,305.1b,19,'ST.NICOLAASGA'VBW. b,R,305.17401123,006,KPK0001128954,I,,POINT (181047.63969999924 547460.2410000004)
convergenties_kenmerk.136,Halfklaverblad-aansluiting,I,N,305.4d,19,'ST.NICOLAASGA'VBW. d,R,305.33499146,006,KPK0001128955,I,,POINT (181052.82330000028 547617.1301000006)
convergenties_kenmerk.137,T-knooppunt,I,N,136.4#,,'KP.JOURE',R,310.04699707,006,KPK0001128963,I,,POINT (183342.22300000116 551564.2459999993)
convergenties_kenmerk.138,,I,N,134.2n,,BS.PPL.'OOIENDONK',R,133.96499634,002,KPK0001124804,I,,POINT (153001.39930000156 396663.0174999982)
convergenties_kenmerk.139,Halfklaverblad-aansluiting,I,N,138.4d,27,'BEST-WEST'VBW. d,R,138.22200012,002,KPK0001124860,I,,POINT (155233.09409999847 393048.0581)
convergenties_kenmerk.140,Halfklaverblad-aansluiting,I,N,138.6b,27,'BEST-WEST'VBW. b,R,138.78799438,002,KPK0001124871,I,,POINT (155529.89499999955 392574.3845999986)
convergenties_kenmerk.141,T-aansluiting Haarlemmermeer,C,N,141.2b,28,'BEST'VBW. b,R,141.46800232,002,KPK0001124872,I,,POINT (157110.8761 390407.6105999984)
convergenties_kenmerk.142,T-aansluiting Haarlemmermeer,I,N,140.9d,28,'BEST'VBW. d,R,140.39500427,002,KPK0001124873,I,,POINT (156425.47670000046 391234.3178000003)
