FID,entiteit_separatiezone,naam_separatiezone,se_anno_cad_data,gdb_geomattr_data,shape
separatiezones.10,Seperatiezone,Maas Noord West VSS,,,"POLYGON ((541828.2116999999 5772659.4333999995, 541404.3838 5772260.487400001, 535693.8574999999 5775477.0611000005, 535980.6780000003 5775953.1798, 541828.2116999999 5772659.4333999995))"
separatiezones.11,Seperatiezone,Maas Noord VSS,,,"POLYGON ((558296.3668999998 5802560.8133000005, 557230.5497000003 5797108.0001, 561715.7330999998 5774710.2422, 553752.3658999996 5774563.190099999, 554219.0188999996 5792986.2444, 555107.1074000001 5797529.7665, 556172.9276999999 5802982.5789, 558296.3668999998 5802560.8133000005), (558559.8372999998 5784467.1623, 558493.8471999997 5790028.7389, 554967.3898 5789987.981000001, 555029.1827999996 5784426.6862, 558559.8372999998 5784467.1623))"
separatiezones.12,Seperatiezone,Nabij Texel VSS,,,"POLYGON ((531669.2423 5820355.6328, 529797.4683999997 5821102.9079, 532366.0334999999 5824813.461200001, 531669.2423 5820355.6328))"
separatiezones.13,Seperatiezone,IJmuiden West Buiten VSS,,,"POLYGON ((577302.2730999999 5815823.8192, 562400.5098000001 5812600.3947, 563210.7461000001 5816961.126499999, 563210.7465000004 5816961.1274, 563465.2981000002 5816967.793299999, 564464.9562999997 5816993.9714, 565464.6106000002 5817020.148600001, 566464.2675000001 5817046.3267, 567463.9358000001 5817072.5044, 568463.5839 5817098.6821, 568571 5817101.495100001, 569463.1705 5817124.856699999, 570463.0850999998 5817151.0392, 571462.5519000003 5817177.2107, 572462.2117999997 5817203.386700001, 573461.8607999999 5817229.5626, 574461.4803999998 5817255.737600001, 575013.1401000004 5817270.1831, 575461.3558999998 5817281.9197, 576461.0027000001 5817308.0956, 576634.5239000004 5817312.6395, 576634.5247999998 5817312.6373, 577302.2730999999 5815823.8192))"
separatiezones.14,Seperatiezone,IJmuiden West Buiten VSS,,,"POLYGON ((576368.4482000005 5817905.8837, 575445.6501000002 5817881.7195999995, 575005.4702000003 5817870.1929, 574445.7746000001 5817855.536699999, 573446.1546 5817829.3599, 572446.506 5817803.182600001, 571446.8455999997 5817777.005000001, 570447.3793000001 5817750.832599999, 569447.4647000004 5817724.6483, 568563.3398000002 5817701.496099999, 568447.8776000002 5817698.4728, 567448.2295000004 5817672.2973, 566448.5617000004 5817646.1218, 565448.9047999997 5817619.9464, 564449.2500999998 5817593.7709, 563449.5922999997 5817567.5954, 563322.8131999997 5817564.275800001, 563322.8131999997 5817564.2771000005, 563541.7314999998 5818742.5044, 575914.3645000001 5818918.3136, 576368.4482000005 5817905.8837))"
separatiezones.15,Seperatiezone,IJmuiden West Binnen VSS,,,"POLYGON ((582407.2654999997 5817389.1567, 583393.8772999998 5817226.1372, 584380.4890000001 5817063.1173, 585367.1098999996 5816900.096000001, 586353.7216999996 5816737.0765, 587340.3430000003 5816574.0548, 588326.9543000003 5816411.0353, 589313.5674 5816248.0154, 590300.1886999998 5816084.994100001, 590491.7194999997 5816053.3467, 590329.4484999999 5815069.341700001, 578380.6942999996 5817039.7917, 578239.4715 5817354.6643, 578239.4709999999 5817354.6657, 578460.3181999996 5817360.4483, 579459.9685000004 5817386.6247000005, 580459.6354999999 5817412.8015, 581401.7100999998 5817437.470000001, 582017.3102000002 5817453.5901999995, 582407.2654999997 5817389.1567))"
separatiezones.16,Seperatiezone,IJmuiden West Binnen VSS,,,"POLYGON ((590565.3953 5816500.1118, 590373.8539000005 5816531.697699999, 589387.1974 5816694.503799999, 588400.5483999997 5816857.3082, 587413.9016000004 5817020.112600001, 586427.2451 5817182.9188, 585440.5977999996 5817345.723200001, 584453.9413000001 5817508.528899999, 583467.2939999998 5817671.3333, 582480.6467000004 5817834.137700001, 581494.0099999998 5817996.940400001, 581268.2998000002 5818034.1899999995, 580443.9292000001 5818012.6032, 579444.2626999998 5817986.4264, 578444.6119999997 5817960.249600001, 577973.3953 5817947.9103, 577527.8775000004 5818941.241, 579363.0765000004 5818967.3182, 590656.6736000003 5817053.6204, 590565.3953 5816500.1118))"
separatiezones.17,Seperatiezone,IJmuiden Noord VSS,,,"POLYGON ((579824.8282000003 5820085.191400001, 577032.6003999999 5820045.5156, 576016.0880000005 5822311.941, 579743.8852000004 5820132.514799999, 579824.8282000003 5820085.191400001))"
separatiezones.18,Seperatiezone,"Nabij Bruine Bank VSS
",,,"POLYGON ((521056.7784000002 5862606.954299999, 519384.5712000001 5863156.146500001, 524318.3278000001 5878067.1437, 525985.9630000005 5877519.660499999, 521056.7784000002 5862606.954299999))"
separatiezones.19,Seperatiezone,Nabij Texel VSS,,,"POLYGON ((563756.9601999996 5855267.705700001, 560387.2390999999 5858383.0591, 563527.0239000004 5862144.5428, 565345.6616000002 5863848.1313000005, 563756.9601999996 5855267.705700001))"
separatiezones.20,Seperatiezone,Nabij Texel VSS,,,"POLYGON ((593308.1875 5883234.2303, 587119.0367 5872973.1906, 581501.4652000004 5857840.5206, 573141.7523999996 5846591.3376, 565763.2506999997 5853412.8628, 568228.1046000002 5866326.086999999, 590134.9533000002 5885139.4158, 595850.8914000001 5890072.626800001, 602436.3235999998 5905307.3956, 608487.7308999998 5923545.858100001, 613036.8240999999 5925488.858200001, 601172.4040000001 5896247.408, 593308.1875 5883234.2303))"
separatiezones.21,Seperatiezone,Nabij Vlieland VSS,,,"POLYGON ((597228.5259999996 5907238.4125, 591259.7115000002 5893451.042300001, 585125.7079999996 5888182.019300001, 599694.9331 5915172.4997000005, 597228.5259999996 5907238.4125))"
separatiezones.22,Seperatiezone,Nabij Botney Gronden VSS,,,"POLYGON ((491267.34360000025 5910638.9758, 488019.5197999999 5911925.412900001, 498639.27469999995 5939453.169299999, 503932.2281999998 5953232.1458, 519796.3674999997 5977286.757099999, 547690.6131999996 5980901.9986000005, 548229.6478000004 5978478.122099999, 529978.1963999998 5974448.5075, 509713.5963000003 5949272.436899999, 503349.82639999967 5937637.0677000005, 497843.7363999998 5927559.938100001, 491267.34360000025 5910638.9758))"
separatiezones.23,Seperatiezone,Vlieland Noord VSS,,,"POLYGON ((615978.8898 5932795.0331999995, 607101.6253000004 5929004.9991999995, 610391.369 5939654.5056, 619151.2895 5940647.308700001, 615978.8898 5932795.0331999995))"
separatiezones.24,Seperatiezone,Nabij Vlieland VSS,,,"POLYGON ((637090.6996999998 5926384.835100001, 645063.3099999996 5929239.118100001, 645202.3488999996 5928315.591700001, 637447.3372999998 5925541.6842, 630343.1320000002 5922167.9561, 610666.4166000001 5901280.913899999, 606149.9347999999 5893758.695499999, 615203.534 5916043.1865, 637090.6996999998 5926384.835100001))"
separatiezones.25,Seperatiezone,Vlieland Noord VSS,,,"POLYGON ((623342.6357000005 5941144.918099999, 639914.8733999999 5943111.5858, 620811.3294000002 5934864.2787, 623342.6357000005 5941144.918099999))"
separatiezones.26,Seperatiezone,"Terschelling - Duitse Bocht VSS
",,,"POLYGON ((719960.1525999997 5964991.4201, 720105.8147999998 5963066.490599999, 643159.0198999997 5934376.615700001, 634961.7218000004 5931537.2949, 615800.8967000004 5922457.7433, 617867.0447000004 5927554.6822, 641836.5356000001 5937917.8839, 719804.4166000001 5966897.3058, 719960.1525999997 5964991.4201))"
separatiezones.27,Seperatiezone,-,,,"POLYGON ((723437 5967961.429500001, 795571.3362999996 5989645.8818, 801216.1101000002 5990716.3716, 802897.0499 5987979.343599999, 723738.7528999997 5964186.371300001, 723593.3483999996 5966074.160499999, 723437 5967961.429500001))"
separatiezones.28,Seperatiezone,-,,,"POLYGON ((806588.6111000003 5989077.7925, 804748.4784000004 5988528.5525, 803165.7125000004 5991085.2458, 805116.6032999996 5991436.5836, 806588.6111000003 5989077.7925))"
