;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;Eindtotaal
Dr. van Haeringen Laboratorium B.V.;;1;;;1
Draw for Good;;1;;;1
Dudok Den Haag B.V.;;1;;;1
Dutch Research Institute for Transitions B.V.;;2;;;2
EcoAgriculture International;;1;;;1
ECORYS Nederland B.V.;;4;;;4
Eenmooietoekomst B.V.;;4;;;4
Effectory Holding B.V.;;3;;;3
Eiffel B.V.;;;5;;5
Ekpe Sonigitu Asibong;;1;;;1
Elannet B.V.;;2;;;2
Ellipsis Earth Intelligence;;2;;;2
Enterprise Relations Ltd.;;2;;;2
Ergo B.V.;;2;;;2
Ernst & Young Accountants LLP;;;2;;2
Eten en drinken BIJRipperda;;1;;;1
Eurowet;;2;;;2
Eva Meijer;;1;;;1
Evite Services B.V.;;1;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;;1
Expomedia;;2;;;2
EY Montesquieu Finance B.V.;;3;;;3
Factor Vijf;;1;;;1
Ferro Explore B.V.;;3;;;3
Fletcher Hotel Restaur. De Wageningsche Berg;;1;;;1
Food Hub B.V.;;1;;;1
Fortress Staffing Services B.V.;;4;;;4
Fotogeniek;;1;;;1
Fotografie : Paul Voorham;;1;;;1
Fresh Studio Innovations Asia Ltd;;2;;;2
Gartner Nederland B.V.;;4;;;4
Geelen Consultancy;;1;;;1
GenomeScan B.V.;;5;;;5
Genzai B.V.;;2;;;2
GFK Panel Services Benelux;;2;;;2
GH+O;;1;;;1
Gielissen's Bedrijven B.V.;;1;;;1
Gimaris;;3;;;3
Green Art International B.V.;;2;;;2
Groeneveld Horeca B.V.;;1;;;1
H.J. Smith;;1;;;1
HACH;;1;;;1
HAI*QPM B.V.;;1;;;1
Hans Alders Procesregie & Advies B.V.;;3;;;3
Hans van der Meer;;1;;;1
HaskoningDHV Nederland B.V.;;2;;;2
HE Den Haag B.V.;;1;;;1
Het Stalplein B.V.;;1;;;1
HEYDAY Consultancy & Detachering B.V.;;1;;;1
HEYDAY Ventures B.V.;;1;;;1
Hilbrands Laboratorium B.V.;;2;;;2
Hogeschool Van Hall Larenstein;;2;;;2
Horsonality;;1;;;1
Hortiworldwide;;1;;;1
Hostnet B.V.;;;;1;1
Hotel New York B.V.;;1;;;1
Hutten Catering B.V.;;1;;;1
I. Noordhoff;;1;;;1
ICAEW The Institute of Chartered Accountants in England and Wales;;2;;;2
in60seconds B.V.;;2;;;2
Infoplaza B.V.;;1;;;1
InsideStory;;1;;;1
Instituut voor Landbouw- en Visserijonderzoek (ILVO);;1;;;1
Instock Den Haag;;1;;;1
International Council for the Exploration of the SEA (ICES);;2;;;2
Intraval B.V.;;1;;;1
IPS Software;;2;;;2
IRAS-NKAL;;1;;;1
ItaQ;;4;;;4
ITsPeople B.V.;;2;;;2
J.P. van Soest-Advies voor Duurzaamheid B.V.;;1;;;1
Jansen TOP;;2;;;2
Jantine Wijnja;;2;;;2
Joffi events & communicatie;;1;;;1
KCM Survey B.V.;;2;;;2
Keek Training & Advies;;1;;;1
Keurmerkinstituut B.V.;;1;;;1
Kirstenvanhees.nl;;2;;;2
Kiwa CMR B.V.;;3;;;3
Koffiehuus Ons Moe;;1;;;1
Koninklijk NIOZ;;1;;;1
Korn Ferry Advisory (NL) B.V.;;1;;;1
KPMG Advisory N.V.;;4;;;4
KSG Trainers & Consultants;;2;;;2
Kuiper Engineering Beheer B.V.;;1;;;1
LAMA landscape architects VOF;;2;;;2
Linguist Link Europe;;1;;;1
Livewords;;3;;;3
Lizzy van Leeuwen;;1;;;1
Lugt Food Law;;2;;;2
Maatschap H.Jolink,A.Jolink,J.Jolink&H.Jolink;;1;;;1
Machteld Aardse;;1;;;1
MAEXchange B.V.;;2;;;2
Martijn Beekman Fotografie;;1;;;1
Martijn de Groot Communicatie;;1;;;1
Meike de Jong Media;;1;;;1
Milieufederatie Noord-Holland;;2;;;2
mind@work;;2;;;2
Motivaction International B.V.;;2;;;2
M'unyk;;1;;;1
NAK;;6;;;6
Naktuinbouw;;5;;;5
Ned.Org.voor toegepast-nat.wetensch. o.z. TNO;;4;;;4
Nederlandse Elasmobranchen Vereniging.;;2;;;2
NewForesight Holding B.V.;;1;;;1
Niek Roozen B.V.;;3;;;3
Nieuw Allardsoog;;1;;;1
Nuchter B.V.;;2;;;2
OfficeVitae B.V.;;1;;;1
Onderzoeksbureau MARINX;;1;;;1
Or. Café & Restaurant Sir Stamford Raffles;;1;;;1
Org.-id B.V.;;2;;;2
Organisatieregie B.V.;;2;;;2
Overheidenonderwijs B.V.;;4;;;4
P2 Proces- en Projectmanagers B.V.;;4;;;4
Panta Rheyn Bedrijfsadvies en Training;;1;;;1
Panteia B.V.;;2;;;2
Pardon Consult;;1;;;1
Paul Tolenaar Fotografie;;1;;;1
Pauwer Consult;;1;;;1
Pegasus Geospatial Consulting B.V.;;1;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;1;;1
Periplus Archeomare B.V.;;2;;;2
Phaos Advies B.V.;;1;;;1
Phil Nijhuis Fotografie;;1;;;1
Pouderoyen B.V.;;1;;;1
Pricewaterhousecoopers Accountants N.V.;;2;;;2
PROFYTA B.V.;;2;;;2
Project 13;;2;;;2
Protinus IT B.V.;;1;;;1
PW Consulting B.V.;;2;;;2
QSM Nederland B.V.;;2;;;2
Quotation;;1;;;1
RAVON;;5;;;5
Reed Business B.V.;;1;;;1
Rentokil pest control;;5;;;5
Reveal Your Beauty;;1;;;1
Rijksmuseum Volkenkunde;;1;;;1
Robor Electronics B.V.;;1;;;1
Roel Dijkstra Persfotografie;;1;;;1
Royal GD;;2;;;2
Rozatekst;;1;;;1
S. Bijlsma B.V.;;1;;;1
Saar;;2;;;2
Saba Conservation Foundation;;2;;;2
SAMR;;2;;;2
Schiphol Nederland B.V.;;1;;;1
Schuttelaar & Partners, Maatsch. Comm. B.V.;;3;;;3
Sea Turtle Conversation Bonaire;;2;;;2
Sendiri;;2;;;2
SGS;;1;;;1
SGS Institut Fresenius Gmbh;;1;;;1
Shinto Labs B.V.;;1;;;1
Sietsema Productions;;1;;;1
Significant APE B.V.;;2;;;2
Sikkerhedsstyrelsen;;2;;;2
Silliker Netherlands B.V.;;1;;;1
Simonis Oude Visafslag B.V.;;1;;;1
Smits Consult voor Groene Groei;;2;;;2
Sovon Vogelonderzoek Nederland;;3;;;3
Spiegelhart;;1;;;1
Springh;;2;;;2
St.stg. Ver. v. Zoogdierk. en Zoogdierbesch.;;3;;;3
Stadscafe De Waag B.V.;;1;;;1
Stg. European Invertebrate Survey Nederland;;3;;;3
Stg. Nederlands Centrum voor Mestverwaarding;;2;;;2
Sticht. tot steun aan het Brainwash Festival;;1;;;1
Stichting Agri-ProFocus;;3;;;3
Stichting Bargerveen;;1;;;1
Stichting BoP Innovation Center;;2;;;2
Stichting Crosswise Works;;2;;;2
Stichting Duurzame Palingsector Nederland;;5;;;5
Stichting Kwaliteits-Controle-Bureau;;6;;;6
Stichting Louis Bolk Instituut;;2;;;2
Stichting Naturalis Biodiversity Center;;4;;;4
Stichting Omrop Fryslan;;1;;;1
Stichting Pleio;;2;;;2
Stichting Probos;;4;;;4
Stichting S.O.S. Dolfijn;;1;;;1
Stichting Saxion Nevenvestiging;;1;;;1
Stichting SEO Economisch Onderzoek;;4;;;4
Stichting Smart Rivers;;2;;;2
Stichting Streekeigen Producten Nederland;;1;;;1
Stichting Tasty Green Lifestyle Experience;;1;;;1
Stichting VeiligheidNL;;1;;;1
Stichting Voedseltransitie;;1;;;1
Stichting WeConnect;;1;;;1
Stichting World of Birds Foundation;;1;;;1
Studio 38C;;1;;;1
Studio Aandacht;;2;;;2
Studio Ronald van der Heide;;1;;;1
SURFsara B.V.;;1;;;1
Sweco Nederland B.V.;;1;;;1
Synergos Communicatie B.V.;;1;;;1
TDA Financiële Diensten;;1;;;1
Team Communicatie Management B.V.;;1;;;1
TEN HAVE Change Management B.V.;;4;;;4
Tethys : aquatic ecosystem advice;;2;;;2
The Flea Market;;1;;;1
The Fork B.V.;;2;;;2
The Knott B.V.;;1;;;1
Things To Make And Do B.V.;;2;;;2
Thunen Institut(VW);;1;;;1
TLG Beheer B.V.;;2;;;2
Tolk- en Vertaalcentrum Nederland;;1;;;1
True Food;;2;;;2
UJG;;;5;;5
UNIMORE;;1;;;1
Universiteit Gent;;;1;;1
V.O.F. Boeren in het Bos;;1;;;1
Valerie Kuypers Fotografie;;1;;;1
Van der Valk Hotel Den Haag B.V.;;1;;;1
Van Triest Communicatiemanagement;;1;;;1
Vanberkel Interim Professionals B.V.;;;2;;2
Vanberkel Professionals Holding B.V.;;;3;;3
VDE Prüf- und Zertifizierungsinstitut GmbH;;3;;;3
Veldmanadvies;;1;;;1
Vennix Multimedia & Organisation;;1;;;1
verbostconsultancy;;1;;;1
Vereniging 'De BredeStroomversnelling';;3;;;3
Vereniging voor Zoogdierkunde en Zoogdierbescherming;;1;;;1
Vijverberg Holding B.V.;;3;;;3
Vissers vd Kust Geintegr. Visserij Coöper. UA;;2;;;2
Vlastuin Mechanisatie B.V.;;1;;;1
Vollering Maatschap G.J.W.M. en A.W.M.;;1;;;1
Wageningen Centre for Development Innovation;;1;;;1
Wageningen Food Safety Research;;6;;;6
Washoe;;2;;;2
Werkpartner B.V.;;2;;;2
Wijsman Ontwerp;;2;;;2
WING Process Consultancy B.V.;;2;;;2
Witteveen+Bos;;3;;;3
Wolfs Company;;2;;;2
Worcflow;;1;;;1
World Animal Protection;;3;;;3
Worldmeetings.com B.V.;;2;;;2
Xerox (Nederland) B.V.;;2;;;2
Yacht B.V.;;1;6;;6
Yes! We Connect B.V.;;1;;;1
Zuiderpier Communicatie;;1;;;1
Eindtotaal;4;10;7;1;10
