Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
Jehago Meubel- en Interieurbouw;;1;;;;1
Jeol;;1;;;;1
Joh. Vos Capelle BV;;1;;;;1
Jones Lang Lasalle;;;;;1;1
Jonker Ongedierte- & Mollenbestrijding;;1;;;;1
Joran van Heerbeek;;1;;;;1
Jovi Groep (incl. Platina Argenta);;;;;2;2
Kaba Nederland;;1;;;;1
Kardex Systemen;;1;;;;1
Kasteel Metaal;;1;;;;1
Kattenberg Verhuizingen;;;;1;;1
Kemper en van Twist Diesel;;1;;;;1
Kitvoegen.nl;;1;;;;1
Klaver Klimaattechniek;;1;;;;1
Klussenbedrijf Michel van Dijk;;1;;;;1
Koninklijke Ahrend (incl. Ahrend Inrichtingen);;1;;;;1
Kortmann Art Packers & Shippers;;;;4;;4
KPMG;;4;;;;4
KPN (incl. Getronics, PTT Telecom);;2;;;1;2
Krist Graphic Service;;1;;;;1
La Fuente;;;;1;;1
Labshop Gerrit Van Rijn;;1;;;;1
Lasaulec;;1;;;;1
LCW Groningen b.v.;;;;1;;1
Leica Microsystems & Geosystems;;1;;;;1
Leijdsman Elektro;;1;;;;1
Liander;;;1;;;1
Lijst 37;;1;;;;1
Linde Gas (incl. Cryoservice en Therapeutics);;1;;;;1
Linnen At Work;;1;;;;1
Lisette van Baars;;;;2;;2
Loes Huis- en Tuindiensten;;1;;;;1
Lorist;;1;;;;1
M. van der Spek Hoveniersbedrijf;;2;;;;2
Manutan (vh Overtoom International);;1;;;;1
Maurice van Kalleveen;;1;;;;1
Maxilia (incl. Greengiving.nl);;1;;;;1
Mechanisatiebedrijf De Nieuwstad;;1;;;;1
Mennens;;1;;;;1
Metafors;;1;;;;1
Mondial Movers;;;;3;;3
Moorman Karton Weesp;;1;;;;1
Multipaint;;1;;;;1
Multiplaat Werkendam;;1;;;;1
MWH Montagewerken;;1;;;;1
Nauta Security Storage;;1;;;;1
Nazar Bouwbedrijf;;1;;;;1
Nederlands Openluchtmuseum;;;;1;;1
NFGD Audiovisuele Technieken;;1;;;;1
Nilfisk Advance;;1;;;;1
Nsecure;;2;;;;2
Nuon Business;;;1;;;1
Octavius Vastgoed;;2;;;;2
Office Depot (incl. Viking Direct, vh Guilbert);;1;;;;1
Oskam Vastgoed Cothen;;3;1;;;3
PANalytical;;1;;;;1
Papyrus Groep;;1;;;;1
Perkinelmer Nederland;;1;;;;1
Post technische groothandel;;1;;;;1
Posthuma Batterijen;;1;;;;1
Pracht;;2;;;;2
Printxpress;;1;;;;1
Protinus It;;1;;;;1
PTB Transportmiddelen;;1;;;;1
Q-Vision;;1;;;;1
R. van den Burg ;;1;;;;1
Rational Nederland Grootkeukentechniek;;1;;;;1
Redson Regio;;1;;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;2;;;;2
Reprorecht;;1;;;;1
Rijksmuseum Amsterdam;;1;;2;6;6
Roodenburg W. Service;;2;;;;2
Rova Bedrijven;;1;;;;1
RpG Vastgoed;;1;;;;1
RRS Riool Reinigings Service (incl. HRT Holland Riooltechniek);;1;;;;1
San Reklame;1;;;;;1
Scheeres (incl. Lockerschop);;1;;;;1
Schildersbedrijf Variant;;1;;;;1
Schiphorst Vastgoed B.V.;;1;;;;1
Schreuder-Ruitenbeek ;;1;2;;;2
Schurgers Sleutelservice;1;;;;;1
Securitas (incl. Data en Archief, Telematics, Direct, Alert Teleservices, Meldkamer MG, MPL Beveiligingsdiensten);;;;;5;5
Senang Optical & Material Solutions;;1;;;;1
Serve Verhuurservice;;;;1;;1
Service Team Nederland;;1;;;;1
SG Verpakkingen;;1;;;;1
Sight Landscaping (vh ISS Landscaping);;1;;;;1
Sigma-Aldrich;;1;;;;1
Sita;;1;;;;1
Smiemans Projecten;;1;;;;1
Solits;;1;;;;1
Spaarnestad Foto;;1;;;;1
Srlev;;1;;;;1
Stedin (vh Eneco Netbeheer, Mdds);;;3;;;3
Stena Realty;;;;;2;2
Stichting Goed Bezig in Groningen;;2;;;;2
Stichting LIMA;;;;2;;2
Struers Nederland;;1;;;;1
Superneon Lichtreclame;;1;;;;1
Tasman Properties;;1;2;;;2
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);;2;;;;2
TCN SIG Telehousingexploitatie;;1;5;;;5
Team Reacon;;1;;;;1
Technische Unie;;1;;;;1
Tech-Sup;;1;;;;1
Telder Bouw en Industrie;;1;;;;1
Tes Installatietechniek;;1;;;;1
Teygeler;;1;;;;1
Thermatras;;2;;;;2
Thermo Fisher Scientific (incl. Fisher Emergo, Fermentas);;1;;;;1
Tim Doorschodt;;1;;;;1
Timmer en Onderhoudsbedrijf Chris v/d Linden;;2;;1;;2
Top Movers;;;;2;;2
Tresforte Beheer;;1;;;1;2
UninU (incl. Uniglas, HerstelDirect);;2;;;;2
Van Barneveld Digitaal;;1;;;;1
Van Breukelen Groenvoorzieningen;;2;;;;2
van den Heuvel IJzerwaren;;1;;;;1
Van der Vlugt Glashandel;;1;;;;1
Van Dorp Installaties, Service Equipe, Prolux;;2;;;;2
van Keulen heftrucks;;1;;;;1
Van Kralingen (Hizkia);;;;1;;1
Van Riemsdijk Verhuizingen;;;;1;;1
Van Vliet L Vorkheftrucks;;1;;;;1
Van Wieren Special;;;;1;;1
Vandeputte Medical;;1;;;;1
VBT Groep;;1;;;;1
VDK Handelsonderneming;;2;;;;2
Verwol Projektafbouw;;1;;;;1
Videma;;1;;;;1
Vink Lisse;;1;;;;1
Visser & Smit Bouw;;1;;;;1
Viteau Watercoolers (incl. Viteau Direct);1;;;;;1
Vitens;;;2;;;2
Vollebregt Installatie;;1;;;;1
VVE Beheer;;;1;;;1
Waterbedrijf Groningen;;;1;;;1
Waters Chromatography;;1;;;;1
Weiss Enet Industrietechniek;;2;;;;2
Wendy Oakes;;;;1;;1
Wiek De Laat Beveiliging;;1;;;;1
Wiltec (incl. Ter Horst);;1;;;;1
Worksphere - Stork en Strukton;;1;;;;1
Zalsman;;1;;;;1
ZargesTubesca (incl. Zarges, Skyworks);;1;;;;1
Zuidkoop Natural Projects;1;;;;;1
Eindtotaal;4;7;7;5;7;7
