Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Klinkende Taal B.V.;;;;;;;;2;2
Kodision B.V.;;;;;1;;;1;1
KPMG Staffing & Facility Services B.V.;;;;;;;;3;3
KPN B.V.;;2;;1;;;5;;5
KPN Business Center;;;;;;;2;;2
KPN Consulting B.V.;;3;;1;;7;3;3;7
KPN Critical Communications;;;;;;;1;;1
KYOCERA Document Solutions Nederland B.V.;;;;;;;;1;1
L & M Software B.V.;;;;;;;;2;2
Lead Solutions B.V.;;;;;;;;2;2
Leaseplan Nederland N.V.;;1;;;;2;;;2
LetShare Holding B.V.;;;;;;;;2;2
Log*in Consultants Nederland B.V.;;;;;;;;2;2
Logan ICT Services B.V.;;;;;;;;2;2
Lucom Benelux B.V.;;;;1;;;;4;4
Lupprian's Computer Express B.V.;;;;;;;;1;1
M.J. Bakker;;;;;;;;2;2
Madison Gurkha B.V.;;;;;;;;2;2
Magneet Grafische Communicatie B.V.;;;;;;;;2;2
Manutan B.V.;;;;;;1;;;1
MapGear B.V.;;;;;1;;;;1
Marnecs Management;;;;;;;;2;2
Mattmo Creative B.V.;;;;;;;;4;4
Mavim B.V.;;;;;;;;1;1
Mavim Holding B.V.;;;;;;;;1;1
MB Safety B.V.;;;;;;;;1;1
Mediaan/ABS B.V.;;;;;;;;2;2
Metis IT B.V.;;;;;;;;5;5
Microsoft B.V.;;;;;;;;5;5
Misco Nederland B.V.;;1;;;;;;;1
Misco Solutions B.V.;;6;4;4;2;8;1;7;8
Multitask ICT B.V.;;;;;;1;;1;1
NCC Group Escrow Europe B.V.;1;;;;;;;;1
Ned. ICT, V.b. Inf.techn., Telec.&aanv. sect.;;;;;1;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;1;;;2;2
Ned. Software Metrieken Gebruikers Associatie;;;;;1;;;;1
Ned-IT B.V.;1;;;;;;;;1
Neo, Netherl. Geomat. & Earth Observat. B.V.;;;;;;;;1;1
Netrex Internet Solutions;;;;;;;;1;1
New Facilities B.V.;;;;;;;;1;1
NewTelco B.V.;;;;;;;1;;1
Nxs Internet B.V.;;;;;;4;;1;4
Ombits-Telecom;;1;;;;;;;1
Omnext B.V.;;;;;;;;2;2
Onsight Solutions B.V.;;3;;;3;4;;;5
Opensesame ICT B.V.;1;;;;1;;;;1
Operator Groep Delft B.V.;;;;;;;;4;4
Optelec Nederland B.V.;;;;;;;;1;1
Oracle Gebruikersclub Holland;1;;;;;;;;1
Oracle Nederland;;;6;;7;;;7;7
Orcavoice B.V.;;;;;;;1;;1
Ordina Beheer & Outsourcing;;;;3;3;;;7;7
P & R Groep B.V.;;;;;;;;2;2
Paragin B.V.;;;;;;;;3;3
Paralax B.V.;;;;;;;;1;1
Perfectview;;;;;3;2;;;4
PHB De Combi Nijmegen B.V.;;;;;;1;;2;2
Pinewood B.V.;;;;;;;;3;3
Planon B.V.;;;;;;;;2;2
PQR B.V.;;5;;;3;6;;2;7
Priority;;1;;;;;;;1
Prolocation B.V.;;;;;1;3;;;3
Protinus IT B.V.;;6;3;3;1;5;2;1;6
QuoVadis Trustlink B.V.;;;;1;2;;;1;2
Re3com Solutions B.V.;;;;;;;;1;1
Repromat B.V.;;1;;;;1;;1;1
Ricoh;;;;;;;;1;1
Ritom Beveiligingstechniek B.V.;;;;;;;;1;1
Rohde & Schwarz Benelux B.V.;;;1;3;;;;;3
Rulemanagement Group B.V.;;;;;;;;3;3
Sabern B.V.;;;;;;;1;;1
SAP Nederland B.V.;;;;;2;;;;2
Sas Institute B.V.;;;;;3;;;;3
Satcomm.;;;;;;;1;;1
Saval B.V.;;;;;;;;1;1
Scan Sys B.V.;;;;;;;;1;1
SCC Services B.V.;;1;;;;5;;4;5
Schiphol Telematics B.V.;;;;;;;2;;2
Schipper Safestore B.V.;1;;;;;;;;1
Scholten Awater B.V.;;7;6;5;1;2;;2;7
Schoonderbeek Installatie B.V.;;;;;;;;1;1
Schuiling Consult;;;;;;;;1;1
Sectra Communications B.V.;;1;;;2;;;;2
SecureLink Nederland B.V.;;;;;;;;1;1
Sendrata B.V.;;;;;;;;3;3
Shaking Networks;;;;;;;;2;2
Sira Consulting B.V.;;;;;;;;3;3
Sitebytes B.V.;;;;;1;;;;1
Siteimprove B.V.;;;;;2;;;;2
Skalar Analytical B.V.;;1;;;;;;;1
Small Connection B.V.;;;;;;1;;;1
smartphonehoesjes.nl;;;;;;;1;;1
Smidswater B.V.;;;;;;;;2;2
SMT Simple Management Technologies B.V.;;;;;;;;2;2
SoftwareONE B.V.;;2;3;5;9;2;1;6;9
Sogeti Nederland B.V.;;;;;4;2;;8;8
Square Consulting Group;1;;;;1;;;;2
Stanley Security Solutions;;;;;;;1;2;2
Staples Nederland B.V.;;;;;;;1;;1
Start People;;;;;;;;1;1
STB Automatisering & Advies B.V.;;;;;;;;1;1
stichting government roaming nederland;;;;;;;;2;2
Stichting Kwaliteits-Controle-Bureau;;2;;;;;;;2
Stichting Videma;;;;;1;;;;1
SURFmarket;;2;;;1;;;;2
SURFnet B.V.;;;;;3;;;;3
T&T Compet&t.b.v.;;;;;2;;;2;3
Talk & Vision B.V.;;;;;;;;1;1
Tangelo Software B.V.;;;;;2;;;4;5
Tangram B.V.;;;;;3;;;;3
Tax Consultants International;;;;;;;;2;2
Taxibedrijf Van der Wijst;;;;;;;;1;1
TCN SIG Telehousing Exploitatie B.V.;;2;;;;6;;1;6
Team51 B.V.;;;;;;;;1;1
TecFocus B.V.;;;;;;;;2;2
Telan B.V.;;;;;;;1;;1
Tele2 Nederland B.V.;;;1;;2;;7;1;7
Telegrootgebruik B.V.;;6;1;;;1;6;2;7
Teleknowledge Call Center Solutions;;;;;2;1;;;2
Telengy Management & Advies B.V.;;;;;;;;1;1
Telepage B.V.;;;;;;;1;;1
Telfort Zakelijk B.V.;;;;;;;1;;1
Telindus-ISIT B.V.;;7;;;;6;5;;7
The MathWorks B.V.;;;;;2;;;;2
Thomson Reuters Netherlands B.V.;2;;;;;;;;2
T-Mobile Netherlands B.V.;;;;;;;1;;1
TOPdesk Nederland B.V.;;;;;2;2;;2;2
Total Identity;;;;;;;;1;1
TransFollow B.V.;;;;;1;;;;1
Transformation Technologies B.V.;;;;;;;;4;4
Transportbedrijf P.A. Van Rooyen B.V.;;;;;;;;1;1
Triple P Nederland B.V.;;;;;;1;2;2;3
Twin Catering & Partyservice B.V.;;;;;;;;1;1
Uniscape B.V.;;;;;;;2;;2
Unisys Nederland N.V.;;;;;4;;;3;5
Uselab B.V.;;;;;3;2;;;4
Van Dorp installaties B.V.;;;;;;1;;;1
Van Veelen Bedrijfskleding;;;;1;;;;;1
Varadouro B.V.;;;;;;;;1;1
VCD Business Solutions B.V.;;;;;;;;1;1
Vebe Handelsonderneming;;;;;;;;1;1
Vektis C.V.;;;;;1;;;;1
Verdonck, Klooster & Associates B.V.;;;;;;;;2;2
Vereniging tot Behoud van Natuurmonumenten;;;;;;;;1;1
Vevida Nederland B.V.;;;;;;;;1;1
Viadesk;2;;;;;;;1;2
Vicrea Solutions B.V.;;;;;;;;4;4
View Archiefspecialisten;;;;;1;;;;1
VirTeck;;;;;;;;1;1
Vodafone;;1;;;;;7;1;7
Vodafone Libertel B.V.;;;;;;;1;;1
Vosko Networking B.V.;;;;;;;;1;1
Vrieservice B.V.;;;;;;;1;;1
Webservices.nl B.V.;;;;;2;;;1;2
Wedomedia B.V.;1;;;;;;;;1
WiesWeb Application Development;;;;;1;;;;1
Xerox (Nederland) B.V.;2;2;6;;2;4;;1;6
Xolphin B.V.;;;;;1;;;;1
XS4ALL Internet B.V.;;;;;;;2;;2
Ymor E-Services B.V.;;;;;;;;2;2
ZEPCAM B.V.;;1;;;;;;;1
Zet Solutions B.V.;;;;1;2;1;;2;2
Ziggo B.V.;;;;;;;1;;1
Zilverline B.V.;;;;;;;;1;1
Zylab Benelux B.V.;;;;;2;;;;2
Eindtotaal;4;8;7;8;9;9;8;10;12
