Handelsnaam;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
NL Hosting Internet B.V.;;;1;;1;1;;1
NMI Strategy Consultants;;;;;;;2;2
Notice Branded Media B.V.;;;;;1;;;1
Notuleerservice Nederland B.V.;;;;;;;1;1
Nováccent ICT Solutions B.V.;;;;2;2;;;2
Novagraaf Nederland B.V.;;;;;;;1;1
Nsecure B.V.;2;2;;;;;;2
N-Store B.V.;;;;1;;1;;1
Nuus Kassasystemen B.V.;;1;;;;;;1
NWONE;;;;;;;2;2
Oasis Data & Archief;;;;;;;4;4
Objectif Lune Benelux B.V.;;;;1;;;;1
OCLC B.V.;;;2;3;;1;;3
ODMedical B.V.;;;;2;;;;2
Okaphone Elektronika B.V.;;;1;;;;;1
Onderwijsbureau Groei;;;;1;;;;1
One.com Nederland;;;1;;;;;1
one2many B.V.;;2;;;;;;2
Onestopsourcing B.V.;;;;2;;;2;3
OneXS Nederland B.V.;;;;;;;2;2
Onlyhuman B.V.;;;;;;;3;3
On-Site B.V.;;;1;;;;;1
Ooperon Services B.V.;;;;1;1;;;1
Optelec Nederland B.V.;;1;;1;;;;1
Oracle Nederland;;;;5;2;;3;6
Orbis Software Benelux B.V.;;;;1;;;;1
Orcavoice B.V.;;;1;;;1;;1
Ordina Nederland B.V.;;;;;;;3;3
Ordina Technologie & Competenties B.V.;;;;1;6;;;6
OSAGE communicatie en ontwerp;;;;;;;2;2
Oudegracht Advocatenkantoor;;;;;;;1;1
Owja B.V.;;;;;;1;;1
OXILION;;;1;;;;;1
P & R Groep B.V.;;;;;;;1;1
P. & R. Grootkeukens B.V.;;1;;;;;;1
P.M.F. Otten Deurwaarder Heerlen B.V.;;;;;;;1;1
PA Consulting Services B.V.;;;;;;;7;7
Pactechno;;1;;;;;;1
Panteia B.V.;;;;;;;2;2
Paperwork I.T. B.V.;;;;;;;2;2
Papyrus Groep Nederland B.V.;;;1;;;;;1
Paralax B.V.;;;;1;;;;1
Pardon Consult;;;1;;;;;1
Parkhuis Lombok;;;;;;;2;2
Parthen R & S B.V.;;;;;;;2;2
PassQuat B.V.;;2;;1;;;;2
Paul Tolenaar Fotografie;;;;;;;1;1
Pay As You Go Mobile B.V.;;;;;1;;;1
Payeasy Internet Solutions B.V.;;;;;;;2;2
PC070;;;1;;;;;1
Pe Netlogics B.V.;;;;;;;2;2
PEAK-System Technik GmbH;;;;1;;;;1
Pearson Assessment and Information B.V.;;;;;1;;;1
PeerCode;;;;;2;;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;;;1;1
PersonalWorkZ;;;;;;;1;1
Phone MediQ;;;1;;;1;;1
Photo Republic;;;;;;;1;1
Pinewood B.V.;;;1;2;;;;2
Ping Media B.V.;;;;;;;1;1
Pioen Partners;;;;1;;;;1
Planon B.V.;;;;2;;;;2
Plentyparts Almelo;;1;;;;;;1
Plex B.V.;;;;;;;2;2
Pluform B.V.;;;;;;1;;1
Plusport B.V.;;;;;1;;;1
POCOS;;;;;;;2;2
Point FWD;;;;;;;2;2
Pointgroup B.V.;;;;;;;1;1
Policy Productions B.V.;;;;;;;2;2
Polman Organisatieontwikkeling;;;;;;;1;1
Polytrack B.V.;;;;;1;;;1
Poortvliet Fotografie V.O.F.;;;;;;;1;1
Portiva B.V.;;;;1;;;;1
Postcode.NL B.V.;;;;1;;;;1
PQR B.V.;6;7;4;3;2;;3;7
Prepend;;;;1;;;;1
Pres Persad Produkties;;;;;;;1;1
Pretium Telecom;;;;;;;2;2
Previder;;;;;;;2;2
Pricewaterhousecoopers Accountants N.V.;;;;;;;6;6
Pricewaterhousecoopers N.V.;;;;;;;2;2
PrivacyCare;;;;;;;2;2
Pro Conference B.V.;;;;;;1;;1
Pro Facility Adviesbureau B.V.;;;;;;;2;2
Proact VX B.V.;;;;;2;;;2
PROambt Advies;;;;;;;1;1
Promax Information Technology B.V.;;;2;;;;;2
Promptus Cursussoftware B.V.;;;;1;;;;1
Props Applications B.V.;;;;;;1;;1
Protinus IT B.V.;5;7;6;7;7;2;1;9
Prototypa-ZM s.r.o.;;1;;;;;;1
Psyom;;;;;;;1;1
Public State;;;;2;;;;2
Publiek Domein B.V.;;;;;;;1;1
PV Radboud Universiteit en Radboudumc;;;;;;;3;3
PvIB: Platform voor informatiebeveiliging;;;;;;1;;1
Qconferencing B.V.;;2;;;;;3;4
Q-Fast Telecom B.V.;;;;;;;2;2
Qmatic Holland B.V.;;1;;2;;;;2
Qpr Costcontrol B.V.;;;;1;;;;1
Quality Systems B.V.;;;;;;;2;2
Quarter House Limited;;;;;;;2;2
Quarto B.V.;;;;2;;;;2
Quatro Systems B.V.;;;;1;;;;1
Quay Consult B.V.;;;;;;;2;2
Quintiq Applications B.V.;;;;4;;;;4
QuoVadis Trustlink B.V.;;;;1;;1;1;2
R2 Retail Solutions B.V.;;1;;3;1;;;3
Raatwerk B.V.;;;;1;;;;1
Radar Advies B.V.;;;;;;;2;2
Radik;;;;;;;2;2
Ramboll Management Consulting AS;;;;;;;2;2
RAPIDE Internet;;;;;;;2;2
RB&W;;;;;;;1;1
Read My Lips - The Speakers Office;;;;;;;1;1
Reasonnet B.V.;;;;;;;2;2
RebelGroup Executives B.V.;;;;;;;4;4
Rechtnet B.V.;;;1;1;;;;1
Rechtsorde B.V.;;;;2;;;;2
Reclamestudio Guthschmidt B.V.;;;;;;;1;1
Red Hat Limited;;;;1;;;;1
Redworks B.V.;;;;;;;2;2
Regioplan Beleidsonderzoek B.V.;;;;;;;1;1
Relined B.V.;;;2;;;;;2
Rene Verleg Fotografie;;;;;;;1;1
Republicom;;;;;;;2;2
Reputatiegroep B.V.;;;;;;;1;1
Research Link;;;;1;;;;1
Reyke Zwartjes Training & Coaching;;;;;;;1;1
RF Shows B.V.;;;;;;;1;1
Rhenus Data Office Netherlands B.V.;;1;;;;;;1
Ricoh;1;2;1;3;1;1;;4
Rijksuniversiteit Groningen;;;;;;;3;3
Ripperda Advocaten;;;;;;;1;1
RMD Advies;;;;;;;1;1
ROBKOOPS.COM;;;;;;;1;1
ROHDE & GRAHL B.V.;;1;;;;;;1
ROI B.V.;;2;;;;;3;3
Routit B.V.;;;;;;;2;2
Rris;;;;;;;2;2
Runway Group B.V.;;;;;;;2;2
Ruys Handelsvereniging B.V.;;2;1;1;;;;2
S&S Online Marketing;;;1;;;;;1
S.M.J. van Zeijl;;;;;;;1;1
Sailor Telecom B.V.;;;;;;;2;2
Samira Bouchibti Communicatie & Advies;;;;;;;2;2
SAP Nederland B.V.;;;;2;1;;;3
Sara van Broekhoven Empower Talent & Team;;;;;;;1;1
Scarlet N.V.;;;;;;;2;2
Scenarios 4 Summits B.V.;;;;;;;1;1
Schadutech;;1;;;;;;1
Schiphol Nederland B.V.;;;;;;;3;3
Schiphol Telematics B.V.;;;1;;;2;2;2
Scholten Awater B.V.;7;7;3;5;3;;1;7
Scholten Awater Hardware en IT-Diensten;;;;6;;;;6
Schouten Techniekgroep B.V.;;1;1;;;;;1
Schrijf-Schrijf;;;;;;;1;1
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;2;;;2
Schutten It B.V.;;4;;;;;;4
Scientific Analysis Instruments Limited;;;;1;;;;1
Screencheck Europe;;1;;;;;;1
Seceurtronics Nederland B.V.;;;;;1;;;1
Sectra Communications B.V.;;2;2;;;;;3
SecureLink Nederland B.V.;;;;2;;;;2
Securitas Alert Services Nederland B.V.;;;1;;;;;1
Securitech Detection & Verification B.V.;;2;1;;;;;2
Security Lab Sagl;;;1;;;;;1
Security Monitoring Centre;;;1;;;;;1
SeederDeBoer;;;;;;;2;2
SET Telecom B.V.;;;1;;;1;;2
Sharewire B.V.;;;;;;;2;2
Sharpcloud Software Limited;;;;2;;;;2
Sherazade Advies;;;;;;;1;1
Shutterstock, inc;;;;1;;;;1
Siemens Nederland N.V.;;;;;1;;;1
Significant B.V.;;;;;;;5;5
Silent Partners;;;;;;;2;2
Simone van Trier Presentaties;;;;;;;1;1
Singeling Constructie-Lastechniek B.V.;;;;;;;1;1
Sinis;;;;;1;;;1
Sitcon;;;1;;;;;1
Skybites B.V.;;;;;;;2;2
SmartDocuments Nederland B.V.;;;1;;;;2;2
Smith Communicatie B.V.;;;;;;;1;1
Smits Van Burgst Beveiliging B.V.;;;;;;;1;1
Snelpas Business Service B.V.;;;1;;;;;1
Softcrow B.V.;;;;1;;;;1
Software Borg;;;;1;;;;1
Software Portfolio Monitor B.V.;;;;2;;;;2
Softwarehosting.nl B.V.;;;;;;;2;2
SoftwareONE B.V.;;3;2;8;2;;2;8
Sogeti Nederland B.V.;;;;7;2;;1;7
Solcon Internetdiensten N.V.;;;;;;;1;1
Solid Business Systems;;;;;1;;;1
Sollie.Comm. B.V.;;;;;;;2;2
SOS (Netherlands) B.V.;;;;;;;4;4
Soundfocus;;;;;;;1;1
Spaces B.V.;;;;;;1;;1
Spanjaard Development & Training;;;;;;;2;2
Speakup;;;6;;;;4;6
Spencer Training B.V.;;;1;;;;;1
Spete.nl Webshops B.V.;;;;;1;;;1
SPITZ congres & event B.V.;;;;;;;3;3
SPPS Consultants B.V.;;;;;;;2;2
Sprengers Advocaten;;;;;;;1;1
Square Consulting Group;;;2;;;;;2
ST Instruments B.V.;;1;;;;;;1
St. Landelijke Expertisegr. Veiligheidsperc.;;;;;;;1;1
Stabiplan B.V.;;;;1;;;;1
Staples Nederland B.V.;;1;4;1;1;;;4
Start People;;;;;;;3;3
STB Automatisering & Advies B.V.;;;;;1;;;1
Stg. ArbeidsmobiliteitsCentrum M.- & W.-Brab.;;;1;;;;;1
Stg. Beh. Derdengelden Rotshuizen Geense Adv.;;;1;;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;;;;1;5;5
Stg. Routerings (Int.)Nat. Informatiestromen;;;;3;;;;3
Stg. Service Centrum Auteurs & Nabur. rechten;;;;1;;;;1
Stg. Trimbos-Inst., Inst. Ment. Health & Add.;;;;1;;;;1
Sticht. Beheer Derdengelden Looten Advocatuur;;;;;;;2;2
Sticht. Software Depot CMS Derks Star Busmann;;;;1;;;;1
Stichting Accessibility;;;;;;;1;1
Stichting Administratiekantoor Hippo B.V.;;;;;;;3;3
Stichting Alnajo;;;;;;;3;3
Stichting ARS Aequi;;;1;;;;;1
Stichting De Verlichting;;;;;;;2;2
Stichting Dutch Institute for Technology, Safety & Security;;;;;;;1;1
Stichting Expertisecentrum ETV.nl;;;;1;;;;1
Stichting Expertisecentrum JSO;;;;;;;2;2
Stichting Hogeschool Leiden;;;;;;;2;2
Stichting Migratierecht Nederland;;;1;;;;;1
Stichting Nationaal Onderwijs Museum;;;;;;;3;3
Stichting Nederlands Jeugdinstituut/NJi;;;;;;;2;2
Stichting NTR;;;;1;;;;1
Stichting Optimale Samenwerking;;;;;;;2;2
Stichting Slachtoffer in Beeld;;;;;;;4;4
Stichting Stemra;;;;1;;;;1
Stichting Videma;;;;;;1;;1
Stichting Villa Pinedo;;;;;;;1;1
Stipp B.V.;;;;2;;;;2
STN Telefact;;;;;;2;;2
Stratix B.V.;;;;;;;3;3
Stream B.V.;;;;2;;;;2
Strict Consultancy B.V.;;;;;;;2;2
Strijbosch B.V.;;1;;;;;;1
Stronkman Invest B.V.;;;;2;;;;2
Strukton Worksphere B.V.;;;;;;1;;1
Studio Kerstin;;;;;;;2;2
Suprieur B.V.;;;;;;;2;2
SURFnet B.V.;;;;;2;2;;3
SurveyMonkey Europe;;;;;1;;;1
Swakhoven B.V.;;;1;;;;;1
Sweco Nederland;;;;;;;1;1
Symantec;;;;1;;;;1
Systemec B.V.;;;;;;;2;2
T&T Compet&t.b.v.;;;;1;;1;4;4
Tabo Goudswaard;;;;;;;1;1
Tabula Rasa B.V.;;;;;;;1;1
Talk & Vision B.V.;2;5;2;2;2;;;6
Tappan Communicatie B.V.;;;;;1;1;5;5
Target Hospitality;;;;1;;;;1
Tecan Benelux B.V.B.A.;;1;;;;;;1
Technische Handelsonderneming P. van Leeuwen;;1;1;;;1;;1
Technische Unie B.V.;;;1;;;;;1
Technische Universiteit Delft;;;;;2;;;2
TechnoPager;;;;;;1;;1
Tecnolimit;;;;1;;;;1
TELBO Telefonia Bonariano N.V.;;;;;;1;;1
Tele2 Nederland B.V.;1;6;5;;5;8;6;8
Teleena Nederland B.V.;;;;;;;2;2
Telegrootgebruik B.V.;1;2;1;;5;7;3;7
Telfort Zakelijk;;;;;;1;;1
Telio Nederland B.V.;;1;;;2;;;2
Ter Hoeven & Partners B.V.;;1;;;;;;1
Termeer Infra Service;;;;;;;2;2
TES Install.techn. Service & Onderhoud B.V.;;1;;1;;1;;1
TES Installatietechniek Tilburg B.V.;;1;;;;;;1
The CF & C Company V.O.F.;;1;;;;;;1
The Solutions Factory B.V.;;;;;1;;;1
Things To Make And Do;;;;;;;2;2
TimeTell B.V.;;;;1;;;;1
TKM Diacarb B.V.;;1;;;;;;1
Toby enzo;;;;;;;1;1
Toner Webshop;;;1;;;;;1
TOPdesk Nederland B.V.;;;3;2;;;;3
Topicus Zorg 2e lijn B.V.;;;;4;4;;;5
Total Identity;;;1;1;;;;1
Touzani productions;;;;;;;1;1
TRAC;;;;;;1;;1
Transport en Logistiek Nederland;;;;;;;1;1
Transposafe Systems;;;;;1;;;1
Transquest Tag & Tracing Solutions B.V.;;;;2;;;;2
Trendcall Nederland;;;;;;;2;2
TrendCall Nederland B.V.;;;;;;;2;2
Trilogic Technologies B.V.;;;;;;1;;1
Trimension B.V.;;;;;;;2;2
TriNed;;;;;;;2;2
Trust Alliance Compliance Solutions B.V.;;;;;;3;;3
Truven Health Analytics mc.;;;2;;;;;2
Tulip 2;;;3;;;5;;5
TWS Networkconcepts;;;;;;;2;2
Twynstra Gudde;;;;;;;3;3
Twynstra Gudde Huisv., V.g. en Fac. Man. B.V.;;;;;;;1;1
Twynstra Gudde Overheid en Organisatie B.V.;;;;;;;3;3
Tyco Fire and Security Nederland B.V.;;;;1;;;;1
U&I Learning Info Architects B.V.;;2;;;;;;2
UBM Nederland;;;2;;;;;2
Uitgeverij Paris B.V.;;;;;1;;;1
Ultimoo Incasso B.V.;;;1;;;;;1
UmaMedia;;;;;;;2;2
Unbranded B.V.;;;;;;;1;1
Unet B.V.;;;;;;;2;2
Unica Networks & Services B.V.;;;;;1;;;1
Unilogic Networks B.V.;;;;;;;2;2
Unipas B.V.;;;;;1;;;1
Unisys Nederland N.V.;;;;7;6;;7;8
Uniteam B.V.;;;;;1;;;1
Universiteit Twente;;;;;2;;;2
Universiteit Utrecht;;;;;;;1;1
Universiteit v. Amsterdam/University of A'dam;;;;;;;2;2
User Intelligence Netherlands B.V.;;;;;;;2;2
USG HR Professionals;;;;;;;2;2
V.O.F. Hagemann Fotografie;;1;;;;;;1
VaComTec (Vastgoed Comfort Techniek);;;;1;;;;1
Van de Vlekkert Organisatieontwikkeling;;;;;;;1;1
Van der Put/DatabaseMarketing;;;;;;;1;1
Van der Schaaf Onderzoek;;;;;;;2;2
Van Randwijk Paperflow Solutions B.V.;;1;;;;;;1
Van Rossum IJzerhandel B.V.;;;1;;;;;1
Van Vlier Media B.V.;;;;;;;2;2
Vanthoff Mediation;;;;;;;2;2
VANWAARDE Documentenwacht B.V.;;;;;;;1;1
VECOZO B.V.;;;;3;;;;3
Vellance B.V.;;;;;1;;;1
Velzart;;;;;;;2;2
Venema Communicatie B.V.;;;1;;;;;1
Verdonck, Klooster & Associates B.V.;;;;;2;;;2
Verdraaide Organisaties B.V.;;;;;1;;;1
Vereniging Coin;;;;;;;1;1
Verfrist Media & Communicatie;;;1;;;;1;1
Verhalenpodium;;;;;;;2;2
Verizon Nederland B.V.;;;;;;2;;2
Verstraten Antenne Installaties;;1;;;;;;1
Vertimart Consultants B.V.;;;;1;;;;1
Vest IT Engineering B.V.;;;;2;;;;2
Viadesk;;;;2;2;;;2
Vierpool;;1;;;;;;1
VisionBI B.V.;;;;1;;;;1
Vision-Box Netherlands B.V.;;1;;;;;7;7
VNSG Diensten B.V.;;;;;;1;;1
Vodafone;;2;3;;6;7;;7
Vodafone Libertel B.V.;;;;;;2;;2
Vodafone Test Center;;;1;;;;;1
Voicebooking B.V.;;;;;1;;;1
VoiceData;;;;;;;2;2
Voiceworks B.V.;;;;;;;2;2
Voipro Nederland B.V.;;;;;;;2;2
Voizz Nederland B.V.;;;;;;;2;2
Voorn en Koning Trading B.V.;;;1;;;;;1
Voornenet B.V.;;;;;;;2;2
Vorm Vijf Grafisch Adviesteam B.V.;;;1;;;;;1
Voskamp Beveiligingstechniek Zwolle B.V.;;;1;;;;;1
Voxalys AB;;;;;;;1;1
VRH Informatisering B.V.;;2;;1;;;;2
Vrieservice B.V.;;;;;;4;;4
Vrije Universiteit;;;;;;;4;4
VWR International B.V.;;1;;;;;;1
VX Company Forensic Analytics B.V.;;;;1;;;;1
VX Company IT Services B.V.;;;;6;;;4;6
W.Th. Pot en Zoons B.V.;;;;;1;;;1
Wanders Software;;;;1;;;;1
WCC Services;;;;5;;;;5
Webelect;;;;1;;;;1
WEKA Business Media B.V.;;;;;;1;;1
Wesselink Van Zijst B.V.;;;;;;;1;1
West Hosting+ B.V.;2;;;;;;;2
Westhoff communicatie;;;;;;;3;3
WEWO EUROPE B.V.;;1;;;;;;1
Wilt-Cyrox Groep BV;1;;;;;;;1
Winkelman-v. Hessen Market. & Publ. Rel. B.V.;;;;;;;2;2
Winkwaves B.V.;;;;2;;;;2
WiseMen B.V.;;;;;;;1;1
Wissenraet van Spaendonck B.V.;;;;;;;6;6
WITT international;;;1;;;;;1
Wolters Kluwer Nederland B.V.;;;;2;;;;2
Worldline B.V.;;;1;;;;;1
X Pact B.V.;;;4;;3;;;4
X2Com B.V.;;;;;;;2;2
XA Document Solutions;;1;1;;;;;2
Xbase Software Ontwikkeling B.V.;;;;1;;;;1
Xenosite B.V.;;;;;;;2;2
Xentech B.V.;;;;;;;2;2
Xerox (Nederland) B.V.;7;3;2;1;2;1;;7
XRC®services B.V.;;;;;;;2;2
XS 2 Knowledge B.V.;;;1;;;;;1
XS4ALL Internet B.V.;;;2;;1;2;;3
Yellow Yard B.V.;;;1;1;;;;2
Ymor E-Services B.V.;;;;;2;;;2
You Name It !;;;;;;;1;1
Youfone;;;;;;;2;2
Your Hosting B.V.;;;;1;;;;1
YourRequest B.V.;;;2;;;;2;3
Ypex Eurosales B.V.;;;;1;;;;1
YPOS Internettoepassingen B.V.;;;;1;;;;1
YTEC Development B.V.;;;;2;;;;2
Z. Dot. Al. Holdings N.V.;;;;;;;2;2
Zeelandnet B.V.;;;;;;1;2;2
Zento Eventfull;;;;;;;2;2
Zet Solutions B.V.;;1;;;;1;;1
Ziggo B.V.;;1;2;;1;2;;3
Ziggo Services B.V.;;;1;;;2;;2
Zoer Assen;;1;;;;;;1
Zomerdijk & Groenheijde Telecommunicatie;;1;1;1;;1;;1
Zoranet Connectivity Services B.V.;;;;;;;2;2
Zorg van de Zaak N.V.;;;;;1;;;1
Zumo Media;;;;;;;3;3
ZZ_Show Rental Hilversum;;;;;1;;;1
Eindtotaal;8;9;8;11;9;9;11;13
