FID,hoogte,soort,jaar,se_anno_cad_data,gdb_geomattr_data,shape
tophoogte.39,1,nat,1977,,,POINT (101053.3909999989 399668.9059999995)
tophoogte.40,3.2,nat,1977,,,POINT (109493.07800000161 399667.9059999995)
tophoogte.41,5.4,nat,1977,,,POINT (105970.4059999995 399664.186999999)
tophoogte.42,3,nat,1977,,,POINT (109250.79699999839 399663.7809999995)
tophoogte.43,3.8,nat,1977,,,POINT (108489.99199999869 399663.3440000005)
tophoogte.44,2.7,nat,1977,,,POINT (109767.54699999839 399662.1559999995)
tophoogte.45,2.4,nat,1977,,,POINT (100768.45300000161 399661.5940000005)
tophoogte.46,4.2,nat,1965,,,POINT (107717.24199999869 399661.436999999)
tophoogte.47,3.5,nat,1977,,,POINT (109398.3200000003 399660.5940000005)
tophoogte.48,3.6,nat,1977,,,POINT (102850.72700000182 399660.5309999995)
tophoogte.49,4,nat,1977,,,POINT (100647 399660.4059999995)
tophoogte.50,3.3,nat,1977,,,POINT (109163.92199999839 399658.2190000005)
tophoogte.51,3.9,nat,1977,,,POINT (102025.4059999995 399657.436999999)
tophoogte.52,2.1,nat,1977,,,POINT (100883.5309999995 399656.75)
tophoogte.53,3.6,nat,1977,,,POINT (108897.02299999818 399655.5309999995)
tophoogte.54,4.1,kunst,1978,,,POINT (103685.14799999818 399654.9690000005)
tophoogte.55,4.1,nat,1977,,,POINT (108993 399654.686999999)
tophoogte.56,3.3,nat,1977,,,POINT (102977.92199999839 399653.9059999995)
tophoogte.57,4.2,nat,1977,,,POINT (108329.1799999997 399650.8440000005)
tophoogte.58,3.6,nat,1977,,,POINT (101931.1559999995 399650.375)
tophoogte.59,3.9,nat,1977,,,POINT (103062.45300000161 399649.0940000005)
tophoogte.60,3.9,nat,1977,,,POINT (109076.25800000131 399649.0940000005)
tophoogte.61,4.6,nat,1965,,,POINT (106819.49199999869 399648.5940000005)
tophoogte.62,2.3,kunst,1978,,,POINT (104285.1559999995 399646.75)
tophoogte.63,2.2,nat,1977,,,POINT (100354.27299999818 399064.0309999995)
tophoogte.64,4.7,nat,1965,,,POINT (107763.97700000182 399063.375)
tophoogte.65,4.3,nat,1977,,,POINT (105705.5390000008 399063.186999999)
tophoogte.66,4.1,kunst,1979,,,POINT (109564.4059999995 399063.0940000005)
tophoogte.67,4.2,nat,1977,,,POINT (101597.79699999839 399062.75)
tophoogte.68,4.2,nat,1977,,,POINT (100474.95300000161 399060.9059999995)
tophoogte.69,4.3,nat,1977,,,POINT (101707.49199999869 399060.813000001)
tophoogte.70,5,nat,1977,,,POINT (102665.35200000182 399060.063000001)
tophoogte.71,4.4,nat,1977,,,POINT (108530.0940000005 399059.7190000005)
tophoogte.72,5.6,nat,1977,,,POINT (101892.6090000011 399059.686999999)
tophoogte.73,1,nat,1977,,,POINT (104745.61699999869 399059.375)
tophoogte.74,5.9,nat,1977,,,POINT (101987.8440000005 399058.5940000005)
tophoogte.75,4.1,nat,1977,,,POINT (108414.2890000008 399057.875)
tophoogte.76,5,nat,1977,,,POINT (102784.95300000161 399057.561999999)
tophoogte.77,4.5,nat,1977,,,POINT (105634.14799999818 399057.5)
tophoogte.78,3.2,nat,1977,,,POINT (100802.93699999899 399057.2809999995)
tophoogte.79,2.9,nat,1977,,,POINT (101212.54699999839 399056.9690000005)
tophoogte.80,5.4,nat,1977,,,POINT (105868.27299999818 399056.3440000005)
tophoogte.81,2.4,nat,1977,,,POINT (104429.95300000161 399054.688000001)
tophoogte.82,4.4,nat,1977,,,POINT (108606.5 399054.186999999)
tophoogte.83,4.6,nat,1965,,,POINT (107967.07800000161 399053.75)
tophoogte.84,3.7,nat,1977,,,POINT (105422.85200000182 399052.9690000005)
tophoogte.85,4.2,nat,1977,,,POINT (109010.50800000131 399051.9690000005)
tophoogte.86,5.3,nat,1977,,,POINT (106061.24199999869 399050.3440000005)
tophoogte.87,2.2,nat,1977,,,POINT (105203.6799999997 399050.2190000005)
tophoogte.88,4.5,kunst,1978,,,POINT (103434.2190000005 399048.7809999995)
tophoogte.89,3.7,kunst,1977,,,POINT (109500.8440000005 399048.75)
tophoogte.90,3.9,nat,1977,,,POINT (109104.70300000161 399047.8440000005)
tophoogte.91,7.6,nat,1977,,,POINT (102222.6559999995 399047.2809999995)
tophoogte.92,3,nat,1977,,,POINT (104514.2109999992 399046.0309999995)
tophoogte.93,5.7,nat,1977,,,POINT (105940.8440000005 399046)
tophoogte.94,1.1,nat,1977,,,POINT (105011.17199999839 399045.813000001)
tophoogte.95,6.5,nat,1977,,,POINT (102308.99199999869 399045.4690000005)
tophoogte.96,4.2,nat,1977,,,POINT (101470.47700000182 399044.2190000005)
tophoogte.97,4.3,kunst,1979,,,POINT (109933.27299999818 399042.813000001)
tophoogte.98,4.4,nat,1977,,,POINT (108224.25 399041)
tophoogte.99,4.4,nat,1977,,,POINT (108786.7190000005 399039.375)
tophoogte.100,6.7,nat,1977,,,POINT (102425.25800000131 399037.6559999995)
tophoogte.101,1.5,nat,1977,,,POINT (100114.88300000131 399035.938000001)
tophoogte.102,1.5,nat,1977,,,POINT (100208.63300000131 399034.938000001)
tophoogte.103,4.2,nat,1977,,,POINT (108877.3440000005 399034.5)
tophoogte.104,5.5,kunst,1978,,,POINT (103764.27299999818 399034.0940000005)
tophoogte.105,4.5,kunst,1978,,,POINT (103599.20300000161 399032.813000001)
tophoogte.106,6.3,nat,1977,,,POINT (102034.9059999995 399031.1559999995)
tophoogte.107,5.2,nat,1977,,,POINT (101741.10200000182 399030.9059999995)
tophoogte.108,2.2,nat,1977,,,POINT (100004.0940000005 399029.125)
tophoogte.109,4.9,nat,1977,,,POINT (104139.54699999839 399028)
tophoogte.110,3.8,nat,1977,,,POINT (101636.2109999992 399027.7190000005)
tophoogte.111,1.6,nat,1977,,,POINT (100328.2809999995 399027.5309999995)
tophoogte.112,5.5,nat,1977,,,POINT (101839.6090000011 399026.75)
tophoogte.113,1.3,nat,1977,,,POINT (104857.1799999997 399026.186999999)
tophoogte.114,5.8,nat,1977,,,POINT (101938.3909999989 399026.1559999995)
tophoogte.115,1.5,nat,1977,,,POINT (100069.63300000131 399025.9059999995)
tophoogte.116,0.9,nat,1977,,,POINT (105096.38300000131 399025.5)
tophoogte.117,4.9,nat,1977,,,POINT (104021.7109999992 399025.4059999995)
tophoogte.118,6.6,nat,1977,,,POINT (102141.5309999995 399023.9059999995)
tophoogte.119,3,nat,1977,,,POINT (100416.17199999839 399023.25)
tophoogte.120,5.4,nat,1965,,,POINT (106818.0940000005 399023.1559999995)
tophoogte.121,5.6,nat,1978,,,POINT (101531.75800000131 398321.125)
tophoogte.122,9.7,nat,1977,,,POINT (106557.72700000182 398320.0309999995)
tophoogte.123,6.5,kunst,1978,,,POINT (102134.0940000005 398318.75)
tophoogte.124,5.6,nat,1978,,,POINT (101634.0940000005 398318.7190000005)
tophoogte.125,6,nat,1978,,,POINT (101730.57800000161 398317.625)
tophoogte.126,5.8,nat,1977,,,POINT (106183.6559999995 398315.9690000005)
tophoogte.127,3.3,nat,1977,,,POINT (100714.1559999995 398315.938000001)
tophoogte.128,5.5,nat,1977,,,POINT (106298.1799999997 398314.25)
tophoogte.129,2.5,nat,1977,,,POINT (105473.88300000131 398313.4059999995)
tophoogte.130,3.5,nat,1977,,,POINT (105652.39799999818 398312.5940000005)
tophoogte.131,2.8,nat,1977,,,POINT (105314.1409999989 398311.3440000005)
tophoogte.132,3.2,nat,1977,,,POINT (109380.72700000182 398311)
tophoogte.133,4.6,nat,1977,,,POINT (108268.2190000005 398309.125)
tophoogte.134,6.7,kunst,1978,,,POINT (101839.2109999992 398308.0940000005)
tophoogte.135,7.2,nat,1978,,,POINT (101935.95300000161 398306.4690000005)
tophoogte.136,8.7,kunst,1978,,,POINT (102927.5940000005 398306.0309999995)
tophoogte.137,2.2,nat,1977,,,POINT (100873.4299999997 398305.375)
tophoogte.138,7.4,kunst,1978,,,POINT (103237.88300000131 398302.875)
tophoogte.139,3.9,nat,1978,,,POINT (101126.11699999869 398302)
tophoogte.140,6.1,nat,1977,,,POINT (104167.2890000008 398300.5309999995)
tophoogte.141,5.5,nat,1977,,,POINT (104832.3590000011 398300.313000001)
tophoogte.142,4.9,nat,1977,,,POINT (107049 398300.2809999995)
tophoogte.143,5.3,nat,1977,,,POINT (106621.86699999869 398298.811999999)
tophoogte.144,6.1,nat,1977,,,POINT (104063.4059999995 398297.625)
tophoogte.145,4.9,nat,1977,,,POINT (108499.49199999869 398297.063000001)
tophoogte.146,4.4,nat,1977,,,POINT (108672.1559999995 398296.25)
tophoogte.147,8.9,kunst,1978,,,POINT (102779.72700000182 398295.7809999995)
tophoogte.148,5.5,nat,1977,,,POINT (106452.97700000182 398294.7809999995)
tophoogte.149,5.6,nat,1977,,,POINT (100461.8200000003 398294.75)
tophoogte.150,3.5,nat,1977,,,POINT (105559.0940000005 398291.063000001)
tophoogte.151,3.7,nat,1977,,,POINT (105033.17199999839 398290.188000001)
tophoogte.152,7.9,kunst,1978,,,POINT (103167.2109999992 398288.8440000005)
tophoogte.153,3.3,nat,1977,,,POINT (105230.72700000182 398288.75)
tophoogte.154,2.6,nat,1977,,,POINT (109511.38300000131 398286.8440000005)
tophoogte.155,1.9,nat,1977,,,POINT (100112.97700000182 398286.75)
tophoogte.156,7.3,kunst,1978,,,POINT (103361.7190000005 398286.375)
tophoogte.157,5.7,nat,1977,,,POINT (106107.8200000003 398285.688000001)
tophoogte.158,5.7,nat,1977,,,POINT (105872.6559999995 398284.063000001)
tophoogte.159,5.2,nat,1977,,,POINT (106943.75800000131 398279.3440000005)
tophoogte.160,5.8,nat,1977,,,POINT (106205.2890000008 398277.5)
tophoogte.161,4.6,nat,1977,,,POINT (107503.92199999839 398275.188000001)
tophoogte.162,6.5,kunst,1978,,,POINT (102369.24199999869 398272.375)
tophoogte.163,4,kunst,1979,,,POINT (109706.3200000003 398270.438000001)
tophoogte.164,4.6,nat,1977,,,POINT (107348.99199999869 398269.7809999995)
tophoogte.165,8.3,nat,1977,,,POINT (104509.17199999839 398267.7190000005)
tophoogte.166,6.7,nat,1977,,,POINT (104603.11699999869 398267.6559999995)
tophoogte.167,2.2,nat,1977,,,POINT (100786.7109999992 398265.7190000005)
tophoogte.168,4.7,nat,1977,,,POINT (107213.86699999869 398265.5)
tophoogte.169,5.6,nat,1977,,,POINT (106616.85200000182 398264.813000001)
tophoogte.170,3.2,nat,1977,,,POINT (108803.25800000131 398260.688000001)
tophoogte.171,5.9,nat,1977,,,POINT (106506.88300000131 398260.6559999995)
tophoogte.172,4.9,nat,1977,,,POINT (107749.4059999995 398260.4690000005)
tophoogte.173,6.7,nat,1977,,,POINT (104418.2190000005 398260.4059999995)
tophoogte.174,6.1,nat,1977,,,POINT (106288.99199999869 398259.9690000005)
tophoogte.175,6.6,nat,1977,,,POINT (104036.2809999995 398259.188000001)
tophoogte.176,5.7,nat,1977,,,POINT (105770.95300000161 398259.061999999)
tophoogte.177,2.5,nat,1977,,,POINT (105459.3590000011 398258.9059999995)
tophoogte.178,5,nat,1977,,,POINT (105954.2890000008 398258.688000001)
tophoogte.179,5.5,nat,1977,,,POINT (106129.6799999997 397505.186999999)
tophoogte.180,5.9,nat,1977,,,POINT (106337.64799999818 397503.686999999)
tophoogte.181,4.8,nat,1978,,,POINT (101210.0940000005 397503.3440000005)
tophoogte.182,7.3,nat,1977,,,POINT (104864.2809999995 397502.7190000005)
tophoogte.183,7.6,kunst,1978,,,POINT (102281.7109999992 397502.686999999)
tophoogte.184,5.7,nat,1977,,,POINT (106448.3590000011 397502)
tophoogte.185,2.8,nat,1977,,,POINT (105659.36699999869 397501.9690000005)
tophoogte.186,5.3,nat,1977,,,POINT (107285.0940000005 397501.2190000005)
tophoogte.187,4.3,nat,1977,,,POINT (109578.9059999995 397498.436999999)
tophoogte.188,6.5,nat,1977,,,POINT (105058.50800000131 397495.7190000005)
tophoogte.189,6.3,nat,1978,,,POINT (101917.00800000131 397493.9690000005)
tophoogte.190,6.4,nat,1977,,,POINT (104329.43800000101 397493.2809999995)
tophoogte.191,3.9,nat,1977,,,POINT (109255.3590000011 397493.063000001)
tophoogte.192,4.5,nat,1978,,,POINT (101287.47700000182 397492.4690000005)
tophoogte.193,5.5,nat,1977,,,POINT (106846.72700000182 397491.938000001)
tophoogte.194,8.1,kunst,1978,,,POINT (102483.0309999995 397491.813000001)
tophoogte.195,7,kunst,1978,,,POINT (102120.39799999818 397490.4690000005)
tophoogte.196,6.3,nat,1977,,,POINT (104644.29699999839 397489.3440000005)
tophoogte.197,4.7,nat,1977,,,POINT (109089 397487.7190000005)
tophoogte.198,5.5,nat,1977,,,POINT (106035.6090000011 397485.188000001)
tophoogte.199,5.7,nat,1977,,,POINT (107065.5940000005 397485.0309999995)
tophoogte.200,2.7,nat,1977,,,POINT (105369.27299999818 397484.938000001)
tophoogte.201,7.5,kunst,1978,,,POINT (103842.32800000161 397484.811999999)
tophoogte.202,5.4,nat,1978,,,POINT (101703.3909999989 397483.8440000005)
tophoogte.203,5.4,nat,1977,,,POINT (108680.11699999869 397482.311999999)
tophoogte.204,5,nat,1977,,,POINT (108119.92199999839 397479.9059999995)
tophoogte.205,4.5,nat,1977,,,POINT (109776.88300000131 397479.4690000005)
tophoogte.206,7.5,nat,1977,,,POINT (104451.75 397478.061999999)
tophoogte.207,8.7,kunst,1978,,,POINT (102969.25 397477.688000001)
tophoogte.208,4.6,nat,1977,,,POINT (109685.45300000161 397476.9690000005)
tophoogte.209,3.2,nat,1977,,,POINT (105709.5 397475.25)
tophoogte.210,2.5,nat,1977,,,POINT (105526.64799999818 397472.811999999)
tophoogte.211,7.4,nat,1977,,,POINT (104243.22700000182 397472.4690000005)
tophoogte.212,5.3,nat,1978,,,POINT (101028.35200000182 397472.2190000005)
tophoogte.213,3.9,nat,1977,,,POINT (109394.39799999818 397470.875)
tophoogte.214,5.6,nat,1977,,,POINT (106461.89799999818 397470.1559999995)
tophoogte.215,6.4,kunst,1978,,,POINT (100867.52299999818 397468.8440000005)
tophoogte.216,8.5,kunst,1978,,,POINT (103511.8590000011 397467.0309999995)
tophoogte.217,5.3,nat,1977,,,POINT (106664.27299999818 397466.4059999995)
tophoogte.218,5.8,nat,1977,,,POINT (107441.82800000161 397466.25)
tophoogte.219,5.6,nat,1978,,,POINT (101772.88300000131 397466.1559999995)
tophoogte.220,5.3,nat,1977,,,POINT (100083.4690000005 397465.2809999995)
tophoogte.221,5.2,nat,1977,,,POINT (107760.25800000131 397464.313000001)
tophoogte.222,4,nat,1977,,,POINT (108240.45300000161 397463.4059999995)
tophoogte.223,6.6,nat,1977,,,POINT (104971.99199999869 397463.2190000005)
tophoogte.224,4.7,nat,1978,,,POINT (101564.36699999869 397462.8440000005)
tophoogte.225,5.7,nat,1977,,,POINT (108814.5940000005 397460.186999999)
tophoogte.226,6.4,nat,1978,,,POINT (100697.02299999818 397459.375)
tophoogte.227,3.4,nat,1977,,,POINT (109963.1559999995 397458.5309999995)
tophoogte.228,6.6,nat,1977,,,POINT (104542.54699999839 397456.938000001)
tophoogte.229,5.6,nat,1977,,,POINT (105162.14799999818 397455.7190000005)
tophoogte.230,4.9,nat,1977,,,POINT (107872.20300000161 397455.25)
tophoogte.231,3,nat,1977,,,POINT (105286.0700000003 397455.2190000005)
tophoogte.232,5.2,nat,1977,,,POINT (108943.5700000003 397454.813000001)
tophoogte.233,4.8,nat,1977,,,POINT (109501.4690000005 397453.7190000005)
tophoogte.234,4.5,nat,1977,,,POINT (105795.9609999992 397451.875)
tophoogte.235,5.6,nat,1977,,,POINT (107558.04699999839 397450.563000001)
tophoogte.236,3.3,nat,1977,,,POINT (109875.75800000131 397450.436999999)
tophoogte.237,3.4,nat,1977,,,POINT (109903.82800000161 399645.3440000005)
tophoogte.238,4.9,nat,1977,,,POINT (108180.5940000005 399643.625)
tophoogte.239,5.4,nat,1977,,,POINT (105780.85200000182 399643.2190000005)
tophoogte.240,4.7,nat,1977,,,POINT (105551.2809999995 399642.3440000005)
tophoogte.241,5.2,nat,1977,,,POINT (105654.61699999869 399640.186999999)
tophoogte.242,5.6,nat,1977,,,POINT (102609.61699999869 399639.6559999995)
tophoogte.243,3.8,nat,1977,,,POINT (108584.57800000161 399638.375)
tophoogte.244,3.1,nat,1977,,,POINT (108827.3200000003 399635.125)
tophoogte.245,3.5,nat,1978,,,POINT (104713.49199999869 399635)
tophoogte.246,3.8,nat,1977,,,POINT (108737.17199999839 399634.9059999995)
tophoogte.247,3.2,nat,1977,,,POINT (109680.54699999839 399633.25)
tophoogte.248,5.4,nat,1977,,,POINT (102430.04699999839 399633.125)
tophoogte.249,2.8,nat,1977,,,POINT (101732.97700000182 399632.5309999995)
tophoogte.250,5.2,nat,1977,,,POINT (105346.29699999839 399631.6559999995)
tophoogte.251,5.5,nat,1977,,,POINT (106348.8440000005 399631.1559999995)
tophoogte.252,3.7,nat,1977,,,POINT (101637.5 399630.8440000005)
tophoogte.253,3.5,nat,1977,,,POINT (101833.7809999995 399629.375)
tophoogte.254,4.9,nat,1977,,,POINT (105845.27299999818 399628.625)
tophoogte.255,5,nat,1977,,,POINT (106033.43800000101 399628.25)
tophoogte.256,2.8,nat,1977,,,POINT (101533.36699999869 399628.1559999995)
tophoogte.257,3.9,kunst,1978,,,POINT (103331.25800000131 399628.1559999995)
tophoogte.258,5.9,nat,1977,,,POINT (102230.6799999997 399627.4690000005)
tophoogte.259,5.5,nat,1977,,,POINT (102130.11699999869 399626.313000001)
tophoogte.260,2.6,nat,1977,,,POINT (101426.70300000161 399625.25)
tophoogte.261,1.7,nat,1977,,,POINT (101233.95300000161 399625.1559999995)
tophoogte.262,5.9,nat,1977,,,POINT (102329.70300000161 399625.0940000005)
tophoogte.263,1.2,nat,1977,,,POINT (100221.86699999869 399623.6559999995)
tophoogte.264,5.4,nat,1977,,,POINT (106251.79699999839 399623.5940000005)
tophoogte.265,5.6,nat,1977,,,POINT (105013.5940000005 399623)
tophoogte.266,4,nat,1977,,,POINT (108258.1799999997 399622.8440000005)
tophoogte.267,4.1,nat,1977,,,POINT (108382.8590000011 399622.5940000005)
tophoogte.268,2.4,nat,1977,,,POINT (101032.8200000003 399622.561999999)
tophoogte.269,2.1,nat,1977,,,POINT (100520.3909999989 399622.125)
tophoogte.270,4.6,nat,1977,,,POINT (104895.24199999869 399621.936999999)
tophoogte.271,2.4,nat,1977,,,POINT (100925.38300000131 399621.8440000005)
tophoogte.272,5,nat,1977,,,POINT (106161.38300000131 399620.8440000005)
tophoogte.273,3.5,nat,1977,,,POINT (102926.95300000161 399619.686999999)
tophoogte.274,2.2,nat,1977,,,POINT (100119.47700000182 399619.625)
tophoogte.275,4.7,nat,1977,,,POINT (108448.8590000011 399618.625)
tophoogte.276,0.7,nat,1977,,,POINT (101120.6559999995 399618.5)
tophoogte.277,2.2,nat,1977,,,POINT (101329.9059999995 399618.4690000005)
tophoogte.278,4,nat,1977,,,POINT (102822.31300000101 399618.0309999995)
tophoogte.279,3,kunst,1978,,,POINT (104007.95300000161 399617.186999999)
tophoogte.280,3.8,nat,1977,,,POINT (103015.04699999839 399617.125)
tophoogte.281,5.4,nat,1977,,,POINT (105425.45300000161 399616.686999999)
tophoogte.282,5.1,nat,1977,,,POINT (102719.7109999992 399616.375)
tophoogte.283,2.9,nat,1977,,,POINT (109560.85200000182 399615.686999999)
tophoogte.284,2.7,nat,1977,,,POINT (100014.02299999818 399614.561999999)
tophoogte.285,4,nat,1977,,,POINT (100709.6559999995 399614.2809999995)
tophoogte.286,3.6,nat,1977,,,POINT (103130.56300000101 399613.125)
tophoogte.287,1.8,kunst,1978,,,POINT (104511.99199999869 399612.3440000005)
tophoogte.288,5.2,nat,1977,,,POINT (105103.9299999997 399612.311999999)
tophoogte.289,2.4,kunst,1978,,,POINT (104403.56300000101 399611.75)
tophoogte.290,0.7,nat,1977,,,POINT (100414.17199999839 399610.4690000005)
tophoogte.291,4.1,nat,1977,,,POINT (108641.54699999839 399608.561999999)
tophoogte.292,3.7,nat,1978,,,POINT (104790.0390000008 399608.375)
tophoogte.293,1.3,nat,1977,,,POINT (101156.3909999989 399604.561999999)
tophoogte.294,3.6,nat,1977,,,POINT (109465.54699999839 399603.313000001)
tophoogte.295,3.8,nat,1977,,,POINT (101336.52299999818 399021.1559999995)
tophoogte.296,4,nat,1977,,,POINT (101535.35200000182 399019.436999999)
tophoogte.297,5.7,nat,1977,,,POINT (102625.50800000131 399018.9059999995)
tophoogte.298,3.7,nat,1977,,,POINT (105541.25 399018.7190000005)
tophoogte.299,6.7,nat,1977,,,POINT (102331.45300000161 399018.438000001)
tophoogte.300,5.2,nat,1977,,,POINT (103925.4299999997 399018.375)
tophoogte.301,4,nat,1977,,,POINT (105647.89799999818 399017.811999999)
tophoogte.302,3.6,nat,1977,,,POINT (105369.82800000161 399017.2190000005)
tophoogte.303,3.3,nat,1977,,,POINT (100815.0390000008 399016.875)
tophoogte.304,2.8,nat,1977,,,POINT (104410.45300000161 399016.7190000005)
tophoogte.305,4.3,nat,1977,,,POINT (100514.99199999869 399016.6559999995)
tophoogte.306,2.2,nat,1977,,,POINT (105253.27299999818 399016.1559999995)
tophoogte.307,4.6,nat,1977,,,POINT (102813.92199999839 399016)
tophoogte.308,4.7,nat,1977,,,POINT (105731.1799999997 399015.5309999995)
tophoogte.309,4.1,kunst,1977,,,POINT (109042.04699999839 399014.9690000005)
tophoogte.310,6,nat,1977,,,POINT (106377.70300000161 399014.1559999995)
tophoogte.311,5.5,nat,1977,,,POINT (102717.9059999995 399013.5309999995)
tophoogte.312,3.1,nat,1977,,,POINT (104313.1559999995 399013.5)
tophoogte.313,3.9,nat,1977,,,POINT (104219.20300000161 399012.7809999995)
tophoogte.314,2.9,nat,1977,,,POINT (104654.7109999992 399012.686999999)
tophoogte.315,2.5,nat,1977,,,POINT (100914.38300000131 399012.561999999)
tophoogte.316,4.4,nat,1977,,,POINT (108318.81300000101 399012.5)
tophoogte.317,4.3,kunst,1979,,,POINT (109805.61699999869 399011.8440000005)
tophoogte.318,7.1,nat,1977,,,POINT (102237.9609999992 399011.375)
tophoogte.319,3.5,nat,1977,,,POINT (100713.9059999995 399010.0309999995)
tophoogte.320,5.9,nat,1977,,,POINT (106537.9059999995 399009.875)
tophoogte.321,4.5,nat,1977,,,POINT (101452 399009.561999999)
tophoogte.322,1.2,nat,1977,,,POINT (104789.5309999995 399008.313000001)
tophoogte.323,5.9,nat,1977,,,POINT (106267.4609999992 399007.688000001)
tophoogte.324,4,nat,1977,,,POINT (109335.79699999839 399006.311999999)
tophoogte.325,9.8,kunst,1977,,,POINT (109246.6559999995 399004.563000001)
tophoogte.326,4.3,kunst,1977,,,POINT (108917.04699999839 399004.5309999995)
tophoogte.327,2,nat,1977,,,POINT (101130.99199999869 399004.125)
tophoogte.328,4.5,nat,1977,,,POINT (105815.67199999839 399002.563000001)
tophoogte.329,4.5,nat,1965,,,POINT (107884.27299999818 399002.186999999)
tophoogte.330,4.2,nat,1977,,,POINT (105445.6799999997 399002.0309999995)
tophoogte.331,4.3,kunst,1977,,,POINT (108726.57800000161 399001.9059999995)
tophoogte.332,5.5,nat,1977,,,POINT (106142.72700000182 399000.8440000005)
tophoogte.333,4.4,kunst,1979,,,POINT (109987.88300000131 398999.313000001)
tophoogte.334,2.7,nat,1977,,,POINT (104564.22700000182 398999)
tophoogte.335,3.3,nat,1977,,,POINT (101258.43699999899 398997.7809999995)
tophoogte.336,5.5,nat,1977,,,POINT (105933.72700000182 398997.5309999995)
tophoogte.337,4.6,nat,1977,,,POINT (108641.22700000182 398995.811999999)
tophoogte.338,6.4,nat,1977,,,POINT (102500.68699999899 398994.2809999995)
tophoogte.339,4.8,kunst,1978,,,POINT (103527.1090000011 398993.375)
tophoogte.340,3.8,kunst,1979,,,POINT (109600.5940000005 398992)
tophoogte.341,5,nat,1977,,,POINT (106441.54699999839 398986.8440000005)
tophoogte.342,6.8,nat,1977,,,POINT (102091.79699999839 398985.5940000005)
tophoogte.343,3.8,nat,1977,,,POINT (109174.95300000161 398984.688000001)
tophoogte.344,5.7,nat,1977,,,POINT (106017.45300000161 398984.0940000005)
tophoogte.345,4.7,nat,1965,,,POINT (107694.70300000161 398980.75)
tophoogte.346,6.4,nat,1977,,,POINT (101998.5700000003 398979.063000001)
tophoogte.347,0.8,nat,1977,,,POINT (105137.27299999818 398979.0309999995)
tophoogte.348,1.6,nat,1977,,,POINT (104933.0940000005 398978.75)
tophoogte.349,5.9,nat,1977,,,POINT (106610.61699999869 398978.438000001)
tophoogte.350,5.1,nat,1977,,,POINT (104123.77299999818 398975.5309999995)
