FID,id,gebied,omschrijving,geldig_van,geldig_tot,aanmaak_dd,mutatie_dd,bron,entiteit,systeem,status,lengte_km,se_anno_cad_data,gdb_geomattr_data,shape
verkeersscheidingsstelsel.67,68,Botney Ground,Begrenzing separatiezone Botney Ground oostzijde,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,61.1291885,,,"LINESTRING (505965.90660000034 5936638.398499999, 512017.88680000044 5947683.106899999, 530604.3210000005 5970799.362600001, 549033.4244999997 5974870.193600001)"
verkeersscheidingsstelsel.68,69,Botney Ground,Begrenzing separatiezone Botney Ground westzijde,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,74.96010196,,,"LINESTRING (496048.35199999996 5940437.3486, 501446.6350999996 5954510.15, 518840.8048999999 5980898.8727, 546888.6118000001 5984528.724300001)"
verkeersscheidingsstelsel.70,71,Brown Ridge,Scheidingslijn DW-separatiezone Brown Ridge 1,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,13.79253183,,,"LINESTRING (531393.0223000003 5914821.801000001, 534807.6996999998 5913325.158500001, 540797.1660000002 5910684.192500001, 544017.3481999999 5909266.607999999)"
verkeersscheidingsstelsel.73,74,Botney Ground,Scheidingslijn DW-separatie OFF Botney Ground 2,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,9.89381066,,,"LINESTRING (546888.6118000001 5984528.724300001, 547690.6140999999 5980901.9986000005, 548229.6478000004 5978478.1226, 549033.4244999997 5974870.193600001)"
verkeersscheidingsstelsel.74,75,Brown Ridge,Scheidingslijn DW-separatiezone Brown Ridge 2,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,9.16218107,,,"LINESTRING (520805.17760000005 5879237.2261, 524318.3283000002 5878067.144099999, 525985.9630000005 5877519.660499999, 529501.6531999996 5876353.362)"
verkeersscheidingsstelsel.75,76,Brown Ridge,Scheidingslijn DW-separatie OFF Brown Ridge,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,9.16636136,,,"LINESTRING (515872.9983000001 5864329.8697999995, 519384.5712000001 5863156.146500001, 521056.77880000044 5862606.9539, 524570.8811999997 5861436.998400001)"
verkeersscheidingsstelsel.93,105,Vlieland,Begrenzing separatiezone OFF Vlieland westzijde 1,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,5.59241026,,,"LINESTRING (559847.4112999998 5866474.2826000005, 556389.1690999996 5862079.329700001)"
verkeersscheidingsstelsel.94,106,Texel,Nabij Texel VSS,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,48.92042584,,,"LINESTRING (526179.0007999996 5823606.833699999, 528857.3398000002 5827323.6635, 556389.1690999996 5862079.329700001)"
verkeersscheidingsstelsel.99,111,Noord Hinder,Begrenzing Noord Hinder westzijde,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,5.55591198,,,"LINESTRING (495622.3568000002 5781404.2064, 498879.90500000026 5785904.9332)"
verkeersscheidingsstelsel.103,115,Noord Hinder Noord,Noord Hinder Noord VSS,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,5.55591756,,,"LINESTRING (507219.4093000004 5771330.7323, 511052.9883000003 5775352.1613)"
verkeersscheidingsstelsel.105,117,Maas North outer,Begrenzing westgaande Route noordzijde,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,12.58472126,,,"LINESTRING (509732.2133999998 5769148.0514, 522311.95529999956 5769502.0451)"
verkeersscheidingsstelsel.122,134,Texel,Nabij Texel VSS,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,47.65090385,,,"LINESTRING (560387.2390999999 5858383.0591, 535012.3836000003 5827983.8072999995, 533768.7496999996 5820027.463400001)"
verkeersscheidingsstelsel.130,142,IJgeul,IJmuiden Noord VSS,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,12.20130573,,,"LINESTRING (582829.9534 5819855.088400001, 577175.8179000001 5823346.627599999, 574902.1195 5828416.0878)"
verkeersscheidingsstelsel.131,143,IJgeul,Vrije Scheepvaartzone nabij IJmuiden,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,19.54154141,,,"LINESTRING (572198.4079 5827203.446699999, 575419.0873999996 5820022.588099999, 563748.7631000001 5819856.7578)"
verkeersscheidingsstelsel.132,144,IJgeul,IJmuiden Noord VSS,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,6.02547801,,,"LINESTRING (576016.0880000005 5822311.941, 573550.2633999996 5827809.767200001)"
verkeersscheidingsstelsel.135,147,Vlieland,Begrenzing separatiezone OFF Vlieland oostzijde,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,15.60608328,,,"LINESTRING (586449.5407999996 5855197.877599999, 578644.9851000002 5844355.4867, 577821.2889 5842265.041999999)"
verkeersscheidingsstelsel.137,149,IJmuiden,Maas Noord VSS,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,22.14866763,,,"LINESTRING (551041.5603999998 5781510.471100001, 551172.3767999997 5787299.577, 554150.5262000002 5803384.276000001)"
verkeersscheidingsstelsel.139,151,IJmuiden,Maas Noord VSS,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,27.90889813,,,"LINESTRING (563849.6222000001 5774749.616, 563849.6161000002 5774749.6467, 559456.0328000002 5796665.9659, 560463.9946999997 5802130.270300001)"
verkeersscheidingsstelsel.141,153,IJmuiden,IJmuiden West Binnen VSS,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,RWS Zee en Delta,begrenzing,VSS,Actief,12.13065616,,,"LINESTRING (580200.9944000002 5814674.894300001, 582204.9863 5814344.4189, 587838.3602999998 5813415.428099999, 589997.9731999999 5813059.2896)"
verkeersscheidingsstelsel.143,155,Noord Hinder,Maas West Buiten VSS,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,VSS,VSS,Actief,8.58499651,,,"LINESTRING (518852.2104000002 5747334.7774, 510660.25739999954 5744766.8851)"
verkeersscheidingsstelsel.144,156,Maas West inner,Begrenzing oostgaande Route noordzijde,2013-08-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,37.83658942,,,"LINESTRING (527853.2958000004 5750182.1184, 534655.8499999996 5712962.0600000005)"
verkeersscheidingsstelsel.182,77,Friesland,Scheidingslijn DW-Junction Friesland,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,8.81130753,,,"LINESTRING (575193.2779999999 5987599.231000001, 575598.8269999996 5984823.741)"
verkeersscheidingsstelsel.183,,Scheldemonden,Westpit westzijde,2017-06-01T00:00:00,2999-12-31T00:00:00,2016-11-10T00:00:00,2016-11-10T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Concept,23.06495088,,,"LINESTRING (511527.84810000006 5720748.9878, 510021.9269000003 5713549.456499999, 503098.84279999975 5706372.522, 498051.30879999977 5703644.0682)"
verkeersscheidingsstelsel.184,,Scheldemonden,Westpit oostzijde,2017-06-01T00:00:00,2999-12-31T00:00:00,2016-11-10T00:00:00,2016-11-10T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Concept,26.77172087,,,"LINESTRING (500355.7237999998 5701502.2051, 504994.8847000003 5704018.557700001, 512745.91500000004 5712101.1581999995, 514478.1138000004 5722249.917300001)"
verkeersscheidingsstelsel.185,,Scheldemonden,Schouwenbank Northeast oostzijde,2017-06-01T00:00:00,2999-12-31T00:00:00,2016-11-10T00:00:00,2016-11-10T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Concept,8.24782065,,,"LINESTRING (523783.2929999996 5743007.534399999, 527852.9199000001 5750181.4233)"
verkeersscheidingsstelsel.186,,Scheldemonden,Schouwenbank Northwest oostzijde,2017-06-01T00:00:00,2999-12-31T00:00:00,2016-11-10T00:00:00,2016-11-10T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Concept,7.91535086,,,"LINESTRING (514692.4255999997 5737955.5417, 510660.25739999954 5744766.8851)"
verkeersscheidingsstelsel.187,,Scheldemonden,Schouwenbank Northwest westzijde,2017-06-01T00:00:00,2999-12-31T00:00:00,2016-11-10T00:00:00,2016-11-10T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Concept,10.48728887,,,"LINESTRING (503978.2451999998 5742679.9913, 506502.2633999996 5741927.4866, 511268.18709999975 5735685.437899999)"
verkeersscheidingsstelsel.188,,Scheldemonden,Schouwenbank Northeast westzijde,2017-06-01T00:00:00,2999-12-31T00:00:00,2016-11-10T00:00:00,2016-11-10T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Concept,7.49571217,,,"LINESTRING (517674.2368999999 5739935.081, 518849.99340000004 5747338.005899999)"
verkeersscheidingsstelsel.189,,Scheldemonden,Schouwenbank Southeast westzijde,2017-06-01T00:00:00,2999-12-31T00:00:00,2016-11-10T00:00:00,2016-11-10T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Concept,9.05642311,,,"LINESTRING (517751.0680999998 5723917.555600001, 523926.30680000037 5717292.9629)"
verkeersscheidingsstelsel.190,,Scheldemonden,Schouwenbank Southeast oostzijde,2017-06-01T00:00:00,2999-12-31T00:00:00,2016-11-10T00:00:00,2016-11-10T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Concept,9.01897091,,,"LINESTRING (527104.5071999999 5718680.671, 524245.23759999964 5727234.4078)"
verkeersscheidingsstelsel.167,70,Terschelling-Duitse Bocht,Begrenzing separatie Terschell-Duitse Bocht noord,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,166.69875304,,,"LINESTRING (639914.8739 5943111.5858, 713427.9123999998 5970221.093800001)"
verkeersscheidingsstelsel.175,86,Friesland-Duitse Bocht,Begrenzing separatie Friesland-Duitse Bocht zuid,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,160.72499022,,,"LINESTRING (639407.341 5988751.641000001, 699262.3580999998 5999040.3729)"
verkeersscheidingsstelsel.176,85,Friesland-Duitse Bocht,Begrenzing separatie Friesland-Duitse Bocht noord,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,156.7446214,,,"LINESTRING (642268.8591 5997652.926999999, 651670.7139999997 5999226.3168, 695867.6336000003 6007812.3608)"
verkeersscheidingsstelsel.178,85,Friesland-Duitse Bocht,Begrenzing separatie Friesland-Duitse Bocht noord,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,156.7446214,,,"LINESTRING (631676.4570000004 5995910.2508000005, 638145.6028000005 5996971.146600001)"
verkeersscheidingsstelsel.181,77,Friesland,Scheidingslijn DW-Junction Friesland,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,8.81130753,,,"LINESTRING (576076.7450000001 5981659.980900001, 576494.1320000002 5978884.763)"
