OBJECTID,MATERIAAL,DIEPTE,KWKSTATU,KWKOPME,KWKPLAAN,OSMOMSCH,IWS_MEMO,KWKNAAM,KSMIDENT,VERANKERING,KERIDENT,IWS_EIGENAAR,KSM_TYPE,Shape__Length,GlobalID
49272,,0,300,waterdichte opsluiting, , , , ,259,,,,1,324.873188223404,4b47d76b-e106-45d7-954e-b9d758906af0
49273,8,-1,300,,,intrede gestuurde boring,,,IWK,,IWK,,4,4.63527563068167,8d66e873-eec0-48f5-b41d-f80dd93221cb
49274,11,0,300,damwand, , , , ,42,,,,2,421.344818246106,a9ae2457-ca38-4a72-a076-dfe2cc94eccf
49275,,0,300,waterdichte opsluiting, , , , ,245,,,,1,10.7658610884563,c668f202-2c76-407f-8850-fd62834e9649
49276,,0,300,waterdichte opsluiting, , , , ,392,,,,1,7.55944201448281,c74ff777-b161-4e07-8eea-d9ab290d6ee3
49277,,0,300,waterdichte opsluiting, , , , ,249,,,,1,27.6742664836354,67ad8572-cf59-4d75-a5b3-e70840ac0113
49278,,0,300,damwand, , , , ,47,,,,2,140.920579550754,baba72d5-0251-49f1-ab56-3507b295c2ff
49279,11,0,300,damwand,geen onderdeel van de primaire kering,geen onderdeel van de primaire kering,geen onderdeel van de primaire kering,geen onderdeel van de primaire kering,40,,,,2,167.54480949826,1c152dfa-5a91-41ab-983f-d505c239b3a9
49280,8,,300,,,intrede gestuurde boring,join Z/18/021683 W-DPV-01-B02-versie2.pdf,,IWK,,IWK,,4,6.68464920933116,55050770-8dc1-430a-9241-deb7a8048f76
49281,8,,300,,,intrede gestuurde boring,join Z/18/021683 W-DPV-01-B02-versie2.pdf,,IWK,,IWK,,4,8.43765370369714,66d90c6f-17c9-445c-86d4-fde8951c46ac
49282,,0,300,waterdichte opsluiting, , , , ,350,,,,1,290.721589611107,f5dd0a07-a649-4201-af38-55bf464a99ca
49283,8,,300,Gestuurde boring De broekhuizen 3 te Dalfsen,,intrede gestuurde boring,,, ,,,,4,3.65086670522783,c0e0e49c-3ab5-49c4-9858-3e9db9bb89dc
49284,,0,300,damwand, , , , ,93,,,,2,52.7730558673192,eb59d943-b819-4621-9b26-021426519af3
49285,,0,300,waterdichte opsluiting, , , , ,390,,,,1,48.9702567874148,21d221fa-f1f4-4eeb-b2e2-775547c653af
49286,,0,300,waterdichte opsluiting, , , , ,403,,,,1,1.65014158997398,ff2de453-3cb2-42f5-a47e-5be4e8d8e5e8
49287,,0,300,waterdichte opsluiting, , , , ,311,,,,1,12.2119933206145,b85ee5f9-0f10-4974-b8c8-5e22ffb3663c
49288,,0,300,waterdichte opsluiting, , , , ,332,,,,1,32.4903023313403,af6497dd-c705-4101-80cd-8ed8576558e4
49289,,0,300,damwand, , , , ,84,,,,2,74.5539978575493,a9714f75-cb2b-406e-8cf8-dff497bb19dd
49290,,0,300,waterdichte opsluiting, , , , ,357,,,,1,41.9076035898415,4a9ed689-24e7-4082-9baa-5f25ff2209fa
49291,,0,300,damwand, , , , ,92,,,,2,74.1787873606425,9f01e56b-a738-4fd7-a7d3-9049921e9824
49292,,0,300,waterdichte opsluiting, , , , ,339,,,,1,16.1202473464562,0c7e819d-4b63-48f5-af3b-b5c928e7f7e3
49293,,,300,,,Puinkoffer,"diepte 4-6m tov maaiveld, aanleg 2014?",, ,,IWK,,4,3.94233129451192,660a43e5-8a8c-432e-9e55-80c3ac96a085
49294,,,300,,,Puinkoffer,"diepte 4-6m tov maaiveld, aanleg 2014?",, ,,IWK,,4,3.93526191239097,8517f2d0-a302-487b-81b3-0d3343f1a454
49295,,,300,,,Puinkoffer,"diepte 4-6m tov maaiveld, aanleg 2014?",, ,,IWK,,4,4.00922075273125,badcfb25-400a-4e6c-b016-421accb96c47
49296,,,300,,,Puinkoffer,"diepte 4-6m tov maaiveld, aanleg 2014?",, ,,IWK,,4,3.99829429884266,af9fed2f-8d5e-43e2-afe0-d2940976b3d5
49297,,,300,,,Puinkoffer,"diepte 4-6m tov maaiveld, aanleg 2014?",, ,,IWK,,4,4.01106207358373,5f63e38f-37fa-45de-844a-d729026ae6bc
49298,,,300,,,Puinkoffer,"diepte 4-6m tov maaiveld, aanleg 2014?",, ,,IWK,,4,4.06962790524079,1a303401-c891-482b-9ae8-c73d427b3ed0
49299,,,300,,,Puinkoffer,"diepte 4-6m tov maaiveld, aanleg 2014?",, ,,IWK,,4,4.17556334775555,f837f832-62b6-4e3d-987d-aa75d24daea8
49300,,,300,lengte buis gemeten 2m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,, IWK,,IWK-11-0055O,,4,17.2815515496095,cb862d72-d151-414b-b34d-99d6f1dc9e7c
49301,22,,300,"omhuld met nylonkous, diepte niet opgegeven",drainage vanaf nr.84 tot nr.48,drainage 100mm,,,19074,3,,,20,152.209919503809,740758e1-6e2e-4fd8-9e9e-9f6cdb596800
49302,4,-10.5,300,damwand,,,ZN 31/830,,BC1281,3,,,2,255.858083475282,246bfb84-9658-4148-834a-690c35b5d130
49303,,0,300,waterdichte opsluiting, , , , ,309,,,,1,186.072894427511,411da103-ecaf-4c31-88f3-d9b2ee424308
49304,4,-7,300,damwand,nabij hm 10-43.6,damwand,ZN 31/830,,4342,3,,,2,112.20159369071,384c861e-1138-4388-8dcb-668dfbdfb94e
49305,11,5,300,damwand,met gemetselde keermuur,met gemetselde keermuur,met gemetselde keermuur,met gemetselde keermuur,20,,,,2,196.755268622646,96af64ea-b3e4-4091-acef-ff12c4228c48
49306,,0,300,damwand, , , , ,55,,,,2,57.2996982088224,585051eb-3b8c-4c79-afe5-2914fc4bbc63
49307,,0,300,waterdichte opsluiting, , , , ,342,,,,1,575.786426253098,df01d868-9d5c-441e-b278-739f3744458d
49308,,0,300,damwand, , , , ,99,,,,2,306.41164325382,424b97df-2692-4151-a2a8-2023dea2face
49309,22,,300,"ligging 0,8m onder maaiveld in 1995, echter tuin opnieuw aangelegd",drainage bij nr.84,Drain 100mm in grindkoffer,,,19073,3,,,20,16.0501949761993,137c3480-7870-4610-9e10-b0a105c3cd58
49310,,0,300,waterdichte opsluiting, , , , ,267,,IWK,,1,4.4734573234483,e15d18a5-cd9e-42f8-ab27-701cab5f3f53
49311,,-8,300,ZN31/830,,,10_40_div_008,,6572,3,IWK,,2,101.373747465534,5d842511-421e-4a13-99ff-fadd976cfeba
49312,,,300,lengte buis gemeten 11m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0055I,,4,20.0120252551421,dc712ca2-684b-476d-a7b4-16132fdc9765
49313,,0,300,waterdichte opsluiting, , , , ,363,,,,1,13.0974229747849,1756cd6e-ad59-46ec-bc2c-0d7405b327bb
49314,,,300,lengte buis gemeten 11m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0055J,,4,26.1879311069242,bc01117d-31eb-427e-b482-e476819a639f
49315,,0,300,waterdichte opsluiting, , , , ,217,,,,1,26.0618113405815,98ae9ce7-31c9-4a67-b758-dc454759c862
49316,,0,300,waterdichte opsluiting, , , , ,376,,,,1,13.4131346271989,63e97f2f-ed01-4de1-ba18-3613b55104a0
49317,,,300,lengte buis gemeten 12m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0055K,,4,18.7791834232467,a1b17877-3029-4a8b-8544-1e8db1b3a26d
49318,,,300,lengte buis gemeten 2m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0055L,,4,16.8725805717018,170177d7-7521-4972-9855-187baed7534d
49319,,0,300,waterdichte opsluiting, , , , ,273,,,,1,11.974360943961,42319220-1de6-43aa-841c-dbcc41ea7b48
49320,,,300,lengte buis gemeten 11m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0055M,,4,18.1788001456365,c1524774-c74a-4a8b-97cf-f690f2c89350
49321,,0,300,waterdichte opsluiting, , , , ,229,,,,1,54.5626843718849,9619afad-dad8-4844-ab4e-3604309e3556
49322,11,11,300,damwand,kademuur Deventer,kademuur Deventer,kademuur Deventer,kademuur Deventer,16,,,,2,94.6021733556713,ea651dbb-d1f7-4036-a224-2ea1a4a162e0
49323,,0,300,waterdichte opsluiting, , , , ,355,,,,1,56.8447383182642,f2923eb7-c4f0-4e31-b3f9-280b8f1f77df
49324,,0,300,waterdichte opsluiting, , , , ,315,,,,1,19.8024313220908,06344e3c-c60a-47d3-a5fe-aefb630dbe36
49325,,0,300,waterdichte opsluiting, , , , ,290,,,,1,904.611755936998,7c7718ba-d265-4c4c-b51f-bf8229064b87
49326,,,300,lengte buis gemeten 20m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0055N,,4,18.2284686337108,2b2a880f-d818-41a5-b0be-823f8b071e8f
49327,,,300,lengte buis gemeten 114m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0062A,,4,98.969254680106,26c17976-98e5-444a-9716-56661f08996e
49328,,0,300,waterdichte opsluiting, , , , ,275,,,,1,198.992527276079,71f1e1e6-d272-454a-8fff-e4e183832e72
