straatnaam_identificatie_mast;objectid;stadsdeel;wijk;buurt;straatnaam;wegvak;identificatie;lokatie;eigenaar;x;y;identificatie_lamp;type_lamp;datum_plaatsing_lamp;datum_onderhoud_lamp;soort_lamp;kleur_lamp;wattage_lamp;lumen_lamp;ra_waarde_lamp;fitting_lamp;schakelschema_lamp;identificatie_armatuur;type_armatuur;datum_plaatsing_armatuur;datum_onderhoud_armatuur;lph_armatuur;brandstand_armatuur;identificatie_drager_mast;type_drager_mast;datum_plaatsing_drager_mast;datum_onderhoud_drager_mast;identificatie_drager_uithouder;type_drager_uithouder;datum_plaatsing_drager_uithoud;datum_onderhoud_drager_uithoud;geo_shape;geo_point_2d;locat
Geert Grootestraat 009;95912;2 Stratum;23 Putten;232 Burghplan;Geert Grootestraat;;009;;Gemeente Eindhoven;163152.41;381998.17;1;SON-T PIA PLUS 50W;2019-04-10;2022-11-18;sont;geel;50;4400;25;E27;in30lux 100% - uit30;A;SGS203 SON/T 50 W;1998-01-01;2028-01-01;700;1;;AL 7 NIEUW;2000-03-20;2030-03-20;;AL OPZETSTUK 0,20 M;2000-03-20;2030-03-20;"{""coordinates"": [5.504419888394774, 51.427038895100374], ""type"": ""Point""}";51.427038895100374, 5.504419888394774;51.427039212105164, 5.504420987737157
Geert Grootestraat 011;95913;2 Stratum;23 Putten;232 Burghplan;Geert Grootestraat;;011;;Gemeente Eindhoven;163176.19;381981.78;1;SON-T PIA PLUS 50W;2019-04-10;2022-11-18;sont;geel;50;4400;25;E27;in30lux 100% - uit30;A;SGS203 SON/T 50 W;1998-01-01;2028-01-01;700;1;;AL 7 NIEUW;2000-03-20;2030-03-20;;AL OPZETSTUK 0,20 M;2000-03-20;2030-03-20;"{""coordinates"": [5.504761431480718, 51.42689122621628], ""type"": ""Point""}";51.42689122621628, 5.504761431480718;51.42689154322659, 5.5047625291158475
Geert Grootestraat 013;95915;2 Stratum;23 Putten;232 Burghplan;Geert Grootestraat;;013;;Gemeente Eindhoven;163223.49;381949.07;1;SON-T PIA PLUS 50W;2018-09-17;2022-02-12;sont;geel;50;4400;25;E27;in30lux 100% - uit30;A;SGS203 SON/T 50 W;1998-01-01;2028-01-01;700;1;;AL 7 OUD;2000-03-20;2030-03-20;;AL OPZETSTUK 0,20 M;2000-03-20;2030-03-20;"{""coordinates"": [5.505440774236869, 51.42659651845188], ""type"": ""Point""}";51.42659651845188, 5.505440774236869;51.4265968354692, 5.505441868481629
Geert Grootestraat 016;95918;2 Stratum;23 Putten;232 Burghplan;Geert Grootestraat;;016;;Gemeente Eindhoven;163293.87;381900.58;1;SON-T PIA PLUS 50W;2019-04-10;2022-11-18;sont;geel;50;4400;25;E27;in30lux 100% - uit30;A;SGS203 SON/T 50 W;1998-01-01;2028-01-01;700;1;;AL 7 NIEUW;2000-03-20;2030-03-20;;AL OPZETSTUK 0,20 M;2000-03-20;2030-03-20;"{""coordinates"": [5.506451589753889, 51.42615962626414], ""type"": ""Point""}";51.42615962626414, 5.506451589753889;51.42615994328491, 5.506452678983693
Geert Grootestraat 023;95924;2 Stratum;23 Putten;230 Puttensedreef;Geert Grootestraat;;023;;Gemeente Eindhoven;163436.848;381796.517;1;SON PIA PLUS 50W I;2021-01-25;2025-01-29;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1983-01-01;2013-01-01;700;1;;AL 7 NIEUW;2000-03-20;2030-03-20;;AL OPZETSTUK 0,20 M;2000-03-20;2030-03-20;"{""coordinates"": [5.508504883494768, 51.42522211565404], ""type"": ""Point""}";51.42522211565404, 5.508504883494768;51.42522243267782, 5.508505962587407
Geert Grootestraat 024;95925;2 Stratum;23 Putten;230 Puttensedreef;Geert Grootestraat;;024;;Gemeente Eindhoven;163471.352;381790.163;1;SON-T PIA PLUS 50W;2019-11-22;2023-04-30;sont;geel;50;4400;25;E27;in30lux 100% - uit30;A;SGS201 SON 70 W;1983-01-01;2013-01-01;700;1;;AL 7 NEDAL;2000-03-20;2030-03-20;;AL OPZETSTUK 0,20 M;2000-03-20;2030-03-20;"{""coordinates"": [5.509000829934899, 51.425164483773855], ""type"": ""Point""}";51.425164483773855, 5.509000829934899;51.4251648009676, 5.509001907359284
Geert Grootestraat 025;95926;2 Stratum;23 Putten;230 Puttensedreef;Geert Grootestraat;;025;;Gemeente Eindhoven;163488.108;381769.444;1;SON-T PIA PLUS 50W;2019-11-22;2023-04-30;sont;geel;50;4400;25;E27;in30lux 100% - uit30;A;SGS203 SON/T 50 W;1983-01-01;2013-01-01;700;1;;AL 7 NEDAL;2000-03-20;2030-03-20;;AL OPZETSTUK 0,20 M;2000-03-20;2030-03-20;"{""coordinates"": [5.50924124912754, 51.424977995438454], ""type"": ""Point""}";51.424977995438454, 5.50924124912754;51.42497831258265, 5.509242325105672
St Lidwinastraat 004;95928;2 Stratum;23 Putten;232 Burghplan;St Lidwinastraat;;004;;Gemeente Eindhoven;163093.582;381923.286;1;SON PIA PLUS 50W I;2017-04-15;2021-04-24;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1996-05-10;2026-05-10;700;1;;ST 7 V-100.L.084 VZ;1994-06-30;2034-06-30;;ST OPZETSTUK 0,40 M;1994-06-30;2034-06-30;"{""coordinates"": [5.503572306368106, 51.426366636660035], ""type"": ""Point""}";51.426366636660035, 5.503572306368106;51.42636695286074, 5.503573405639336
"Thomas &agrave; Kempislaan 012";95930;2 Stratum;23 Putten;233 Sintenbuurt;"Thomas &agrave; Kempislaan";;012;;Gemeente Eindhoven;162905.149;381771.879;1;SON PIA PLUS 70W I;2016-05-10;2021-12-08;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;1983-01-01;2013-01-01;700;1;;ST 7 STANDAARD VZ;1990-01-01;2030-01-01;;ST ENKEL 1 M LOS VZ;1990-01-01;2030-01-01;"{""coordinates"": [5.5008595519236865, 51.425008366599684], ""type"": ""Point""}";51.425008366599684, 5.5008595519236865;51.4250086809008, 5.500860654095244
"Thomas &agrave; Kempislaan 014";95932;2 Stratum;23 Putten;233 Sintenbuurt;"Thomas &agrave; Kempislaan";;014;;Gemeente Eindhoven;162856.329;381757.541;1;SON PIA PLUS 70W I;2016-05-10;2021-12-08;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;1983-01-01;2013-01-01;700;1;;ST 7 STANDAARD VZ;1990-01-01;2030-01-01;;ST ENKEL 1 M LOS VZ;1990-01-01;2030-01-01;"{""coordinates"": [5.500157300908774, 51.424880170262654], ""type"": ""Point""}";51.424880170262654, 5.500157300908774;51.424880484247936, 5.500158404746918
St Petrus Canisiuslaan 042;95936;2 Stratum;23 Putten;232 Burghplan;St Petrus Canisiuslaan;;042;;Gemeente Eindhoven;163334.976;381751.81;1;SON PIA PLUS 70W I;2016-05-13;2021-12-11;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;1983-01-01;2013-01-01;700;1;;AL 6 NEDAL V.060PT03.0T.000 (Avenue);2019-06-19;2049-06-19;;AL OPZETSTUK 0,20 M;2019-06-19;2049-06-19;"{""coordinates"": [5.507039109815079, 51.424821776350115], ""type"": ""Point""}";51.424821776350115, 5.507039109815079;51.42482209250168, 5.507040191751136
"Thomas &agrave; Kempislaan 001";95937;2 Stratum;23 Putten;233 Sintenbuurt;"Thomas &agrave; Kempislaan";;001;;Gemeente Eindhoven;163037.805;381818.378;1;SON PIA PLUS 70W I;2022-10-17;2028-03-13;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;1983-01-01;2013-01-01;700;1;;ST 7 STANDAARD VZ;1975-01-01;2023-08-02;;ST ENKEL 1 M LOS VZ;1975-01-01;2015-01-01;"{""coordinates"": [5.502767933133055, 51.425424452871354], ""type"": ""Point""}";51.425424452871354, 5.502767933133055;51.425424768095624, 5.502769031030518
"Thomas &agrave; Kempislaan 005";95940;2 Stratum;23 Putten;233 Sintenbuurt;"Thomas &agrave; Kempislaan";;005;;Gemeente Eindhoven;162981.562;381771.712;1;SON PIA PLUS 70W I;2021-09-29;2027-02-24;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;1983-01-01;2013-01-01;700;1;;ST 7 STANDAARD;1990-01-01;2030-01-01;;ST ENKEL 1 M LOS;1990-01-01;2030-01-01;"{""coordinates"": [5.501958210745571, 51.42500578778444], ""type"": ""Point""}";51.42500578778444, 5.501958210745571;51.42500610243569, 5.501959309443096
"Thomas &agrave; Kempislaan 019";95943;2 Stratum;23 Putten;233 Sintenbuurt;"Thomas &agrave; Kempislaan";;019;;Gemeente Eindhoven;162834.002;381751.206;1;SON PIA PLUS 70W I;2018-07-30;2024-01-15;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;1983-01-01;2013-01-01;700;1;;ST 7 STANDAARD VZ;1975-01-01;2023-08-02;;ST ENKEL 1 M LOS VZ;1975-01-01;2015-01-01;"{""coordinates"": [5.499836144554841, 51.42482353808226], ""type"": ""Point""}";51.42482353808226, 5.499836144554841;51.424823851925474, 5.499837249161796
"Thomas &agrave; Kempislaan 021";95944;2 Stratum;23 Putten;233 Sintenbuurt;"Thomas &agrave; Kempislaan";;021;;Gemeente Eindhoven;162810.509;381743.87;1;SON PIA PLUS 70W I;2016-05-10;2021-12-08;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;1983-01-01;2013-01-01;700;1;;ST 7 STANDAARD VZ;1975-01-01;2023-08-02;;ST ENKEL 1 M LOS VZ;1975-01-01;2015-01-01;"{""coordinates"": [5.499498202211582, 51.424757923533875], ""type"": ""Point""}";51.424757923533875, 5.499498202211582;51.42475823722519, 5.499499307622598
"Thomas &agrave; Kempislaan 022";95945;2 Stratum;23 Putten;233 Sintenbuurt;"Thomas &agrave; Kempislaan";;022;;Gemeente Eindhoven;162788.748;381737.603;1;SON PIA PLUS 70W I;2016-05-10;2021-12-08;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;1983-01-01;2013-01-01;700;1;;ST 7 STANDAARD VZ;1975-01-01;2023-08-02;;ST ENKEL 1 M LOS VZ;1975-01-01;2015-01-01;"{""coordinates"": [5.499185186759078, 51.424701892930976], ""type"": ""Point""}";51.424701892930976, 5.499185186759078;51.424702206491936, 5.4991862930620865
"Thomas &agrave; Kempislaan 024";95946;2 Stratum;23 Putten;233 Sintenbuurt;"Thomas &agrave; Kempislaan";;024;;Gemeente Eindhoven;162764.088;381728.767;1;SON PIA PLUS 70W I;2018-08-03;2024-01-17;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;1983-01-01;2013-01-01;700;1;;ST 7 STANDAARD VZ;1975-01-01;2023-08-02;;ST ENKEL 1 M LOS VZ;1975-01-01;2015-01-01;"{""coordinates"": [5.498830434166346, 51.42462280958142], ""type"": ""Point""}";51.42462280958142, 5.498830434166346;51.42462312298224, 5.49883154141095
"Thomas &agrave; Kempislaan 025";95947;2 Stratum;23 Putten;233 Sintenbuurt;"Thomas &agrave; Kempislaan";;025;;Gemeente Eindhoven;162741.594;381711.094;1;SON PIA PLUS 70W I;2018-08-02;2024-01-16;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;2008-04-10;2038-04-10;700;1;;ST 7 STANDAARD VZ;1975-01-01;2023-08-02;;ST ENKEL 1 M LOS VZ;1975-01-01;2015-01-01;"{""coordinates"": [5.498506631262551, 51.42446426255829], ""type"": ""Point""}";51.42446426255829, 5.498506631262551;51.42446457574824, 5.49850773898981
Neushoornstraat 003;95950;2 Stratum;23 Putten;234 Tivoli;Neushoornstraat;;003;;Gemeente Eindhoven;163316.361;381597.762;1;SON PIA PLUS 100W;2022-09-21;2027-09-30;son;geel;100;9700;25;E40;in30lux 100% - 19:00;A;SGS203 SON 100 W DIM;1988-01-01;2018-01-01;900;1;;ST 9 STANDAARD VZ;1988-01-01;2028-01-01;;ST OPZETSTUK 0,40 M;1988-01-01;2028-01-01;"{""coordinates"": [5.5067678329744165, 51.42343736583308], ""type"": ""Point""}";51.42343736583308, 5.5067678329744165;51.42343768108477, 5.5067689112186695
Neushoornstraat 006;95953;2 Stratum;23 Putten;232 Burghplan;Neushoornstraat;;006;;Gemeente Eindhoven;163386.062;381571.883;1;SON PIA PLUS 100W;2016-08-19;2021-08-17;son;geel;100;9700;25;E40;in30lux 100% - 19:00;A;SGS203 SON 100 W DIM;1988-01-01;2018-01-01;900;1;;ST 9 STANDAARD VZ;1988-01-01;2028-01-01;;ST OPZETSTUK 0,40 M;1988-01-01;2028-01-01;"{""coordinates"": [5.507769340460091, 51.423203714754436], ""type"": ""Point""}";51.423203714754436, 5.507769340460091;51.42320403025107, 5.507770415061047
Neushoornstraat 007;95954;2 Stratum;23 Putten;234 Tivoli;Neushoornstraat;;007;;Gemeente Eindhoven;163401.899;381549.939;1;SON PIA PLUS 100W;2017-10-23;2022-10-24;son;geel;100;9700;25;E40;in30lux 100% - 19:00;A;SGS203 SON 100 W DIM;1988-01-01;2018-01-01;900;1;;ST 9 STANDAARD VZ;1988-01-01;2028-01-01;;ST OPZETSTUK 0,40 M;1988-01-01;2028-01-01;"{""coordinates"": [5.5079965121165735, 51.423006231451595], ""type"": ""Point""}";51.423006231451595, 5.5079965121165735;51.42300654696835, 5.507997585578441
Kanaaldijk-Zuid 092;95959;2 Stratum;21 Oud-Stratum;211 Irisbuurt;Kanaaldijk-Zuid;;092;;Gemeente Eindhoven;163096.13;382856.39;1;SON PIA PLUS 70W I;2022-02-03;2027-09-22;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;2000-11-13;2030-11-13;700;1;;ST 7 V-100.L.084 VZ;2001-01-01;2041-01-01;;ST OPZETSTUK 0,40 M;2001-01-01;2041-01-01;"{""coordinates"": [5.5036303587610735, 51.43475395309829], ""type"": ""Point""}";51.43475395309829, 5.5036303587610735;51.434754276754816, 5.503631495567386
van Renesseweg 007;95960;2 Stratum;23 Putten;232 Burghplan;van Renesseweg;;007;;Gemeente Eindhoven;163760.44;382090.84;1;SON PIA PLUS 70W I;2017-10-24;2023-03-23;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;1989-01-01;2019-01-01;700;1;;ST 7 V-100.L.084 VZ;1989-01-01;2029-01-01;;ST OPZETSTUK 0,40 M;1989-01-01;2029-01-01;"{""coordinates"": [5.513164803005168, 51.42786274414578], ""type"": ""Point""}";51.42786274414578, 5.513164803005168;51.42786306557794, 5.513165879192979
Puttensedreef 032;95964;2 Stratum;23 Putten;230 Puttensedreef;Puttensedreef;;032;;Gemeente Eindhoven;164004.32;381903.19;1;SOX PSG 35W;2019-09-26;2022-09-30;sox;oranje;35;4700;25;BY22d;in30lux 100% - uit30;A;XGS SOX 35 W;1981-01-01;2011-01-01;700;1;;AL 7 NIEUW;1990-01-01;2020-01-01;;AL OPZETSTUK 0,20 M;1990-01-01;2020-01-01;"{""coordinates"": [5.516666725368982, 51.42617217637098], ""type"": ""Point""}";51.42617217637098, 5.516666725368982;51.42617249793051, 5.516667784723634
Diepmeerven 004;95969;2 Stratum;23 Putten;235 Gijzenrooi;Diepmeerven;;004;;Gemeente Eindhoven;163560.03;381537.851;;LED55/830 I DX70 DGR;2017-11-17;2042-12-20;LED;wit;64;9400;70;LED;in30lux 100% - 22:00;A;BGP761 LED55/830 I D;2017-11-17;2037-11-17;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.510269717825144, 51.42289519540845], ""type"": ""Point""}";51.42289519540845, 5.510269717825144;51.42289551188858, 5.51027078453478
Diepmeerven 006;95971;2 Stratum;23 Putten;235 Gijzenrooi;Diepmeerven;;006;;Gemeente Eindhoven;163580.167;381526.009;;LED55/830 I DX70 DGR;2017-11-17;2042-12-20;LED;wit;64;9400;70;LED;in30lux 100% - 22:00;A;BGP761 LED55/830 I D;2017-11-17;2037-11-17;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.510558944931845, 51.42278844523301], ""type"": ""Point""}";51.42278844523301, 5.510558944931845;51.422788761808924, 5.510560010572496
Diepmeerven 019;95975;2 Stratum;23 Putten;235 Gijzenrooi;Diepmeerven;;019;;Gemeente Eindhoven;163712.96;381503.82;;LED55/830 I DX70 DGR;2017-11-17;2042-12-20;LED;wit;64;9400;70;LED;in30lux 100% - 22:00;A;BGP761 LED55/830 I D;2017-11-17;2037-11-17;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.512467594116209, 51.4225869572308], ""type"": ""Point""}";51.4225869572308, 5.512467594116209;51.42258727460124, 5.512468653867028
Diepmeerven 021;95976;2 Stratum;23 Putten;235 Gijzenrooi;Diepmeerven;;021;;Gemeente Eindhoven;163732.944;381484.317;;LED55/830 I DX70 DGR;2017-11-17;2042-12-20;LED;wit;64;9400;70;LED;in30lux 100% - 22:00;A;BGP761 LED55/830 I D;2017-11-17;2037-11-17;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.5127544246554425, 51.422411341802466], ""type"": ""Point""}";51.422411341802466, 5.5127544246554425;51.422411659254884, 5.512755483202284
Diepmeerven 023;95978;2 Stratum;23 Putten;235 Gijzenrooi;Diepmeerven;;023;;Gemeente Eindhoven;163785.41;381468.63;;LED55/830 I DX70 DGR;2017-11-17;2042-12-20;LED;wit;64;9400;70;LED;in30lux 100% - 22:00;A;BGP761 LED55/830 I D;2017-11-17;2037-11-17;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.513508344051279, 51.422269520730715], ""type"": ""Point""}";51.422269520730715, 5.513508344051279;51.422269838488205, 5.513509400147305
Diepmeerven 026;95981;2 Stratum;23 Putten;235 Gijzenrooi;Diepmeerven;;026;;Gemeente Eindhoven;163843.029;381420.234;;LED55/830 I DX70 DGR;2017-11-17;2042-12-20;LED;wit;64;9400;70;LED;in30lux 100% - 22:00;A;BGP761 LED55/830 I D;2017-11-17;2037-11-17;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.514335523271663, 51.421833603635136], ""type"": ""Point""}";51.421833603635136, 5.514335523271663;51.421833921663605, 5.514336576081556
Diepmeerven 027;95982;2 Stratum;23 Putten;235 Gijzenrooi;Diepmeerven;;027;;Gemeente Eindhoven;163871.44;381410.42;;LED55/830 I DX70 DGR;2017-11-17;2042-12-20;LED;wit;64;9400;70;LED;in30lux 100% - 22:00;A;BGP761 LED55/830 I D;2017-11-17;2037-11-17;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.514743739660265, 51.42174494212879], ""type"": ""Point""}";51.42174494212879, 5.514743739660265;51.42174526032539, 5.514744791128171
Kanunnikensven 003;95986;2 Stratum;23 Putten;235 Gijzenrooi;Kanunnikensven;;003;;Gemeente Eindhoven;163512.476;380909.616;;LED55/830 I DX70 DGR;2017-11-17;2042-12-20;LED;wit;64;9400;70;LED;in30lux 100% - 22:00;A;BGP761 LED55/830 I D;2017-11-17;2037-11-17;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.5095708555775715, 51.417248920525225], ""type"": ""Point""}";51.417248920525225, 5.5095708555775715;51.41724923490919, 5.509571911241266
Kanunnikensven 005;95988;2 Stratum;23 Putten;235 Gijzenrooi;Kanunnikensven;;005;;Gemeente Eindhoven;163561.565;380916.192;;LED55/830 I DX70 DGR;2017-11-17;2042-12-20;LED;wit;64;9400;70;LED;in30lux 100% - 22:00;A;BGP761 LED55/830 I D;2017-11-17;2037-11-17;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.510276693967875, 51.41730728604068], ""type"": ""Point""}";51.41730728604068, 5.510276693967875;51.41730760081489, 5.510277747876566
Kanunnikensven 006;95989;2 Stratum;23 Putten;235 Gijzenrooi;Kanunnikensven;;006;;Gemeente Eindhoven;163585.843;380919.122;;LED55/830 I DX70 DGR;2017-11-17;2042-12-20;LED;wit;64;9400;70;LED;in30lux 100% - 22:00;A;BGP761 LED55/830 I D;2017-11-17;2037-11-17;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.510625774047926, 51.417333253314936], ""type"": ""Point""}";51.417333253314936, 5.510625774047926;51.41733356828101, 5.510626827081146
