Kenteken,Subcategorie voertuig volgnummer,Subcategorie voertuig europees,Subcategorie voertuig europees omschrijving
0079PZ,1,SA,Kampeerwagen
0080ZZ,1,SG,Overig voertuig voor speciale doeleinden
0081WE,1,SE,Caravan
0081WH,1,SE,Caravan
0082ZZ,1,SG,Overig voertuig voor speciale doeleinden
0083ZZ,1,SF,Mobiele kraan
0084WX,1,SE,Caravan
0084ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0086WJ,1,SE,Caravan
0086ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0087ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0088ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0090ZZ,1,SF,Mobiele kraan
0091ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0092WN,1,SE,Caravan
0092ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0093ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0094EB,1,SA,Kampeerwagen
0094ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0097WE,1,SE,Caravan
0098ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0099ZZ,1,SF,Mobiele kraan
00BBL2,1,SG,Overig voertuig voor speciale doeleinden
00BBX9,1,SA,Kampeerwagen
00BFS1,1,SF,Mobiele kraan
00BGT1,1,SF,Mobiele kraan
00BHF8,1,SF,Mobiele kraan
00BHP9,1,SG,Overig voertuig voor speciale doeleinden
00BKF5,1,SF,Mobiele kraan
00BKK3,1,SF,Mobiele kraan
00BKK5,1,SF,Mobiele kraan
00BKN7,1,SF,Mobiele kraan
00BNG2,1,SF,Mobiele kraan
00BNP3,1,SG,Overig voertuig voor speciale doeleinden
00BPD4,1,SF,Mobiele kraan
00BPD6,1,SG,Overig voertuig voor speciale doeleinden
00BRB5,1,SG,Overig voertuig voor speciale doeleinden
00BRB8,1,SF,Mobiele kraan
00BRV9,1,SF,Mobiele kraan
00BTP1,1,SF,Mobiele kraan
00DB24,1,SA,Kampeerwagen
00GB01,1,SA,Kampeerwagen
00GBL2,1,SA,Kampeerwagen
00GDT1,1,SA,Kampeerwagen
00GDT4,1,SA,Kampeerwagen
00GFJ8,1,SA,Kampeerwagen
00GFS8,1,SA,Kampeerwagen
00GFT7,1,SA,Kampeerwagen
00GFX2,1,SA,Kampeerwagen
00GG30,1,SA,Kampeerwagen
00GPN6,1,SA,Kampeerwagen
00GPP8,1,SA,Kampeerwagen
00GS25,1,SA,Kampeerwagen
00GTB3,1,SA,Kampeerwagen
00HDB4,1,SA,Kampeerwagen
00HE03,1,SA,Kampeerwagen
00HGT2,1,SA,Kampeerwagen
00HHH9,1,SA,Kampeerwagen
00HJH1,1,SA,Kampeerwagen
00HJH8,1,SA,Kampeerwagen
00HJK4,1,SA,Kampeerwagen
00HJL4,1,SA,Kampeerwagen
00HNG7,1,SA,Kampeerwagen
00HNV8,1,SA,Kampeerwagen
00HPL3,1,SA,Kampeerwagen
00HPN6,1,SA,Kampeerwagen
00HRD3,1,SA,Kampeerwagen
00HSX5,1,SA,Kampeerwagen
00HVF1,1,SA,Kampeerwagen
00HXL1,1,SA,Kampeerwagen
00HXL6,1,SA,Kampeerwagen
00HXP1,1,SA,Kampeerwagen
00HXX7,1,SA,Kampeerwagen
00HXZ2,1,SA,Kampeerwagen
00HZG7,1,SA,Kampeerwagen
00JBX5,1,SA,Kampeerwagen
00JDT6,1,SA,Kampeerwagen
00JFT8,1,SA,Kampeerwagen
00JGL9,1,SA,Kampeerwagen
00JGR2,1,SA,Kampeerwagen
00JHK1,1,SA,Kampeerwagen
00JHT4,1,SA,Kampeerwagen
00JHV4,1,SA,Kampeerwagen
00JJG6,1,SA,Kampeerwagen
00JJR2,1,SA,Kampeerwagen
00JKD6,1,SA,Kampeerwagen
00JKJ9,1,SA,Kampeerwagen
00JKP6,1,SA,Kampeerwagen
00JKS3,1,SA,Kampeerwagen
00JLL8,1,SA,Kampeerwagen
00JM16,1,SA,Kampeerwagen
00JNF1,1,SA,Kampeerwagen
00JNJ1,1,SA,Kampeerwagen
00JNX9,1,SA,Kampeerwagen
00JPS8,1,SA,Kampeerwagen
00JPX2,1,SA,Kampeerwagen
00JPX3,1,SA,Kampeerwagen
00JRB3,1,SH,Voor rolstoelen toegankelijk voertuig
00JRG5,1,SA,Kampeerwagen
00JTD4,1,SA,Kampeerwagen
00JVD3,1,SA,Kampeerwagen
00JZB4,1,SA,Kampeerwagen
00KBZ4,1,SA,Kampeerwagen
00KDV1,1,SA,Kampeerwagen
00KDV3,1,SA,Kampeerwagen
00KFK3,1,SA,Kampeerwagen
00KGL8,1,SA,Kampeerwagen
00KGT9,1,SA,Kampeerwagen
00KGV5,1,SA,Kampeerwagen
00KHD4,1,SA,Kampeerwagen
00KHV5,1,SA,Kampeerwagen
00KJF6,1,SA,Kampeerwagen
00KJG5,1,SA,Kampeerwagen
00KJT1,1,SA,Kampeerwagen
00KJT2,1,SA,Kampeerwagen
00KJT9,1,SH,Voor rolstoelen toegankelijk voertuig
00KJZ7,1,SH,Voor rolstoelen toegankelijk voertuig
00KKF2,1,SA,Kampeerwagen
00KPV6,1,SA,Kampeerwagen
00KRB6,1,SA,Kampeerwagen
00KTH6,1,SA,Kampeerwagen
00KVL2,1,SA,Kampeerwagen
00KZB5,1,SA,Kampeerwagen
00LBN6,1,SA,Kampeerwagen
00LBV7,1,SA,Kampeerwagen
00LDX9,1,SA,Kampeerwagen
00LFJ9,1,SA,Kampeerwagen
00LFV4,1,SA,Kampeerwagen
00LGD2,1,SA,Kampeerwagen
00LGJ5,1,SA,Kampeerwagen
00LGR2,1,SA,Kampeerwagen
00LGZ1,1,SA,Kampeerwagen
00LGZ5,1,SA,Kampeerwagen
00LHD2,1,SA,Kampeerwagen
00LHJ3,1,SD,Lijkwagen
00LHS3,1,SA,Kampeerwagen
00LJR1,1,SA,Kampeerwagen
00LJV6,1,SA,Kampeerwagen
00LLJ9,1,SA,Kampeerwagen
00LNL9,1,SA,Kampeerwagen
00LPS8,1,SA,Kampeerwagen
00LPT2,1,SA,Kampeerwagen
00LRG5,1,SA,Kampeerwagen
00LRG7,1,SA,Kampeerwagen
00LRN8,1,SA,Kampeerwagen
00LSB8,1,SA,Kampeerwagen
00LSJ9,1,SA,Kampeerwagen
00LTP9,1,SA,Kampeerwagen
00LVR9,1,SA,Kampeerwagen
00LZP8,1,SA,Kampeerwagen
00LZS5,1,SA,Kampeerwagen
00MB23,1,SA,Kampeerwagen
00MJ52,1,SA,Kampeerwagen
00MN55,1,SA,Kampeerwagen
00MT44,1,SA,Kampeerwagen
00NB03,1,SA,Kampeerwagen
00NB82,1,SA,Kampeerwagen
00NBD5,1,SA,Kampeerwagen
00NBK9,1,SA,Kampeerwagen
00NDF5,1,SA,Kampeerwagen
00NFV1,1,SA,Kampeerwagen
00NFX4,1,SH,Voor rolstoelen toegankelijk voertuig
00NHR2,1,SH,Voor rolstoelen toegankelijk voertuig
00NHR9,1,SA,Kampeerwagen
00NJG9,1,SA,Kampeerwagen
00NLS4,1,SA,Kampeerwagen
00NNV5,1,SA,Kampeerwagen
00NPS6,1,SA,Kampeerwagen
00NR34,1,SA,Kampeerwagen
00NTX1,1,SH,Voor rolstoelen toegankelijk voertuig
00NVH2,1,SA,Kampeerwagen
00NVN7,1,SA,Kampeerwagen
00NVX2,1,SA,Kampeerwagen
00NXL2,1,SA,Kampeerwagen
00NXT3,1,SA,Kampeerwagen
00NXZ8,1,SA,Kampeerwagen
00NZB1,1,SA,Kampeerwagen
00NZR7,1,SH,Voor rolstoelen toegankelijk voertuig
00PF27,1,SA,Kampeerwagen
00PF63,1,SA,Kampeerwagen
00PFZ4,1,SD,Lijkwagen
00PJL7,1,SA,Kampeerwagen
00PJR2,1,SA,Kampeerwagen
00PKG2,1,SH,Voor rolstoelen toegankelijk voertuig
00PKG5,1,SH,Voor rolstoelen toegankelijk voertuig
00PKR5,1,SA,Kampeerwagen
00PKZ7,1,SA,Kampeerwagen
00PL46,1,SA,Kampeerwagen
00PLF2,1,SA,Kampeerwagen
00PLF5,1,SA,Kampeerwagen
00PLL8,1,SA,Kampeerwagen
00PLV8,1,SA,Kampeerwagen
00PNK3,1,SA,Kampeerwagen
00PPR1,1,SA,Kampeerwagen
00PPT5,1,SA,Kampeerwagen
00PPX7,1,SA,Kampeerwagen
00PRB6,1,SA,Kampeerwagen
00PRJ4,1,SA,Kampeerwagen
00PRK9,1,SA,Kampeerwagen
00PRR5,1,SA,Kampeerwagen
00PSN9,1,SA,Kampeerwagen
00PTN2,1,SA,Kampeerwagen
00PTT1,1,SA,Kampeerwagen
00PXX3,1,SA,Kampeerwagen
00PZN3,1,SA,Kampeerwagen
00PZR9,1,SA,Kampeerwagen
00RBP5,1,SA,Kampeerwagen
00RFN8,1,SA,Kampeerwagen
00RFZ7,1,SA,Kampeerwagen
00RFZ8,1,SA,Kampeerwagen
00RGL3,1,SA,Kampeerwagen
00RGL5,1,SA,Kampeerwagen
00RJF8,1,SA,Kampeerwagen
00RJK8,1,SA,Kampeerwagen
00RJK9,1,SA,Kampeerwagen
00RKB5,1,SA,Kampeerwagen
00RKG4,1,SA,Kampeerwagen
00RKH6,1,SA,Kampeerwagen
00RKN2,1,SA,Kampeerwagen
00RLF3,1,SA,Kampeerwagen
00RLX1,1,SA,Kampeerwagen
00RN34,1,SA,Kampeerwagen
00RNJ7,1,SA,Kampeerwagen
00RR14,1,SA,Kampeerwagen
00RSL6,1,SH,Voor rolstoelen toegankelijk voertuig
00RSN7,1,SA,Kampeerwagen
00RSR6,1,SA,Kampeerwagen
00RT06,1,SA,Kampeerwagen
00RTB4,1,SA,Kampeerwagen
00RTV3,1,SA,Kampeerwagen
00RVD4,1,SA,Kampeerwagen
00RVL3,1,SA,Kampeerwagen
00RXV1,1,SA,Kampeerwagen
00RXZ4,1,SA,Kampeerwagen
00RZL5,1,SH,Voor rolstoelen toegankelijk voertuig
00RZZ7,1,SA,Kampeerwagen
00SBP5,1,SA,Kampeerwagen
00SFB5,1,SA,Kampeerwagen
00SFV8,1,SA,Kampeerwagen
00SFZ6,1,SA,Kampeerwagen
00SHV1,1,SA,Kampeerwagen
00SJ79,1,SA,Kampeerwagen
00SJ87,1,SA,Kampeerwagen
00SJD6,1,SA,Kampeerwagen
00SJJ3,1,SA,Kampeerwagen
00SK05,1,SA,Kampeerwagen
00SL09,1,SA,Kampeerwagen
00SL64,1,SA,Kampeerwagen
00SLG2,1,SA,Kampeerwagen
00SLN2,1,SA,Kampeerwagen
00SN60,1,SA,Kampeerwagen
00SNH7,1,SA,Kampeerwagen
00SNX3,1,SA,Kampeerwagen
00SRF3,1,SA,Kampeerwagen
00SRG4,1,SA,Kampeerwagen
00STJ3,1,SA,Kampeerwagen
00STP3,1,SA,Kampeerwagen
00SVB4,1,SA,Kampeerwagen
00SVJ8,1,SA,Kampeerwagen
00SVP7,1,SA,Kampeerwagen
00SVP9,1,SH,Voor rolstoelen toegankelijk voertuig
00SXF4,1,SH,Voor rolstoelen toegankelijk voertuig
00TFN8,1,SA,Kampeerwagen
00TFX3,1,SD,Lijkwagen
00TGK2,1,SA,Kampeerwagen
00THF2,1,SA,Kampeerwagen
00THN8,1,SA,Kampeerwagen
00TJL8,1,SA,Kampeerwagen
00TKZ9,1,SG,Overig voertuig voor speciale doeleinden
00TLF7,1,SA,Kampeerwagen
00TNB7,1,SA,Kampeerwagen
00TNR8,1,SA,Kampeerwagen
00TNZ1,1,SA,Kampeerwagen
00TPD1,1,SA,Kampeerwagen
00TPJ9,1,SA,Kampeerwagen
00TPK6,1,SA,Kampeerwagen
00TPV9,1,SA,Kampeerwagen
00TRG8,1,SA,Kampeerwagen
00TRT5,1,SA,Kampeerwagen
00TSL5,1,SA,Kampeerwagen
00TSX4,1,SA,Kampeerwagen
00TTF3,1,SA,Kampeerwagen
00TTK4,1,SA,Kampeerwagen
00TTP4,1,SA,Kampeerwagen
00TTV2,1,SA,Kampeerwagen
00TU03,1,SA,Kampeerwagen
00TVG6,1,SA,Kampeerwagen
00TVL1,1,SA,Kampeerwagen
00TVX3,1,SA,Kampeerwagen
00TXH2,1,SA,Kampeerwagen
00TXT4,1,SA,Kampeerwagen
00UB54,1,SA,Kampeerwagen
00UB58,1,SA,Kampeerwagen
00UM37,1,SA,Kampeerwagen
00UM38,1,SA,Kampeerwagen
00UR24,1,SA,Kampeerwagen
00VBK6,1,SA,Kampeerwagen
00VDT2,1,SA,Kampeerwagen
00VDX5,1,SA,Kampeerwagen
00VDZ5,1,SA,Kampeerwagen
00VFB1,1,SA,Kampeerwagen
00VFB6,1,SA,Kampeerwagen
00VGN1,1,SA,Kampeerwagen
00VGN4,1,SA,Kampeerwagen
00VGS8,1,SA,Kampeerwagen
00VHB5,1,SA,Kampeerwagen
00VHB7,1,SA,Kampeerwagen
00VHD2,1,SA,Kampeerwagen
00VHS4,1,SA,Kampeerwagen
00VJB4,1,SA,Kampeerwagen
00VJD4,1,SA,Kampeerwagen
00VJG3,1,SA,Kampeerwagen
00VJK7,1,SA,Kampeerwagen
00VJZ8,1,SA,Kampeerwagen
00VK02,1,SA,Kampeerwagen
00VKK2,1,SA,Kampeerwagen
00VKN2,1,SA,Kampeerwagen
00VLB9,1,SA,Kampeerwagen
00VLX3,1,SA,Kampeerwagen
00VM02,1,SA,Kampeerwagen
00VM36,1,SA,Kampeerwagen
00VN03,1,SA,Kampeerwagen
00VNB3,1,SA,Kampeerwagen
00VNG7,1,SA,Kampeerwagen
00VNJ6,1,SA,Kampeerwagen
00VNP3,1,SA,Kampeerwagen
00VNX2,1,SA,Kampeerwagen
00VPB9,1,SA,Kampeerwagen
00VPF3,1,SA,Kampeerwagen
00VPL9,1,SA,Kampeerwagen
00VPN4,1,SA,Kampeerwagen
00VPX3,1,SA,Kampeerwagen
00VRD1,1,SA,Kampeerwagen
00VRX2,1,SA,Kampeerwagen
00VS48,1,SA,Kampeerwagen
00VT44,1,SA,Kampeerwagen
00VTS8,1,SA,Kampeerwagen
00VTV4,1,SA,Kampeerwagen
00VVP3,1,SA,Kampeerwagen
00VXJ4,1,SA,Kampeerwagen
00VXK7,1,SA,Kampeerwagen
00VZT6,1,SA,Kampeerwagen
00WBB1,1,SE,Caravan
00WBB2,1,SE,Caravan
00WBD2,1,SE,Caravan
00WBD5,1,SE,Caravan
00WBF1,1,SE,Caravan
00WBF2,1,SE,Caravan
00WBF3,1,SE,Caravan
00WBF4,1,SE,Caravan
00WBF6,1,SE,Caravan
00WBF9,1,SE,Caravan
00WBG1,1,SE,Caravan
00WBG7,1,SE,Caravan
00WBH2,1,SE,Caravan
00WBH3,1,SE,Caravan
00WBH4,1,SE,Caravan
00WBH5,1,SE,Caravan
00WBH6,1,SE,Caravan
00WBH8,1,SE,Caravan
00WBJ1,1,SE,Caravan
00WBJ4,1,SE,Caravan
00WBJ6,1,SE,Caravan
00WBK1,1,SE,Caravan
00WBK6,1,SE,Caravan
00WBK7,1,SE,Caravan
00WBL2,1,SE,Caravan
00WBL7,1,SE,Caravan
00WBL8,1,SE,Caravan
00WBL9,1,SE,Caravan
00WBN1,1,SE,Caravan
00WBN4,1,SE,Caravan
00WBP8,1,SE,Caravan
00WBR1,1,SE,Caravan
00WBR2,1,SE,Caravan
00WBT1,1,SE,Caravan
00WBT9,1,SE,Caravan
00WBV1,1,SE,Caravan
00WBV9,1,SE,Caravan
00WBX2,1,SG,Overig voertuig voor speciale doeleinden
00WBZ3,1,SE,Caravan
00WD29,1,SE,Caravan
00WD78,1,SE,Caravan
00WD91,1,SE,Caravan
00WD97,1,SE,Caravan
00WD98,1,SE,Caravan
00WDD1,1,SE,Caravan
00WDH4,1,SE,Caravan
00WDK6,1,SE,Caravan
00WDL4,1,SE,Caravan
00WDL6,1,SE,Caravan
00WDN1,1,SE,Caravan
00WDN8,1,SE,Caravan
00WDP1,1,SE,Caravan
00WDP5,1,SE,Caravan
00WDP9,1,SE,Caravan
00WDR2,1,SE,Caravan
00WDS3,1,SE,Caravan
00WDS9,1,SG,Overig voertuig voor speciale doeleinden
00WDT2,1,SE,Caravan
00WDT3,1,SE,Caravan
00WDT4,1,SE,Caravan
00WDT9,1,SE,Caravan
00WDV1,1,SE,Caravan
00WDV2,1,SE,Caravan
00WDV4,1,SE,Caravan
00WDV6,1,SJ,Dolly
00WDX1,1,SE,Caravan
00WDX3,1,SE,Caravan
00WDX5,1,SE,Caravan
00WDX8,1,SE,Caravan
00WDZ4,1,SE,Caravan
00WDZ5,1,SE,Caravan
00WDZ6,1,SE,Caravan
00WDZ8,1,SE,Caravan
00WE73,1,SE,Caravan
00WF96,1,SE,Caravan
00WFB3,1,SE,Caravan
00WFB5,1,SE,Caravan
00WFD1,1,SE,Caravan
00WFD3,1,SE,Caravan
00WFD6,1,SE,Caravan
00WFD7,1,SE,Caravan
00WFD8,1,SE,Caravan
00WFF2,1,SE,Caravan
00WFF3,1,SE,Caravan
00WFF4,1,SE,Caravan
00WFF9,1,SE,Caravan
00WFG4,1,SE,Caravan
00WFG6,1,SE,Caravan
00WFG8,1,SE,Caravan
00WFH2,1,SJ,Dolly
00WFH5,1,SE,Caravan
00WFH6,1,SE,Caravan
00WFJ2,1,SE,Caravan
00WFJ3,1,SE,Caravan
00WFJ4,1,SE,Caravan
00WFJ7,1,SE,Caravan
00WFJ9,1,SE,Caravan
00WFK1,1,SE,Caravan
00WFK4,1,SE,Caravan
00WFK8,1,SE,Caravan
00WFK9,1,SE,Caravan
00WFL3,1,SE,Caravan
00WFL5,1,SG,Overig voertuig voor speciale doeleinden
00WFN1,1,SE,Caravan
00WFN2,1,SE,Caravan
00WFP1,1,SE,Caravan
00WFP2,1,SE,Caravan
00WFP3,1,SE,Caravan
00WFP4,1,SE,Caravan
00WFP5,1,SE,Caravan
00WFP9,1,SE,Caravan
00WFR1,1,SE,Caravan
00WFR2,1,SE,Caravan
00WFR8,1,SE,Caravan
00WFR9,1,SE,Caravan
00WFS1,1,SE,Caravan
00WFS4,1,SE,Caravan
00WFS7,1,SE,Caravan
00WFS9,1,SE,Caravan
00WFT7,1,SE,Caravan
00WFT8,1,SG,Overig voertuig voor speciale doeleinden
00WFV2,1,SE,Caravan
00WFV4,1,SE,Caravan
00WFV6,1,SG,Overig voertuig voor speciale doeleinden
00WFV8,1,SE,Caravan
00WFV9,1,SE,Caravan
00WFX2,1,SE,Caravan
00WFX3,1,SE,Caravan
00WFX6,1,SE,Caravan
00WFX7,1,SE,Caravan
00WFX9,1,SE,Caravan
00WFZ3,1,SE,Caravan
00WFZ5,1,SE,Caravan
00WG69,1,SE,Caravan
00WGB7,1,SE,Caravan
00WGB9,1,SE,Caravan
00WGD3,1,SE,Caravan
00WGD5,1,SE,Caravan
00WGF4,1,SE,Caravan
00WGG2,1,SE,Caravan
00WGG4,1,SE,Caravan
00WGG5,1,SE,Caravan
00WGG6,1,SE,Caravan
00WGG7,1,SE,Caravan
00WGH1,1,SE,Caravan
00WGH9,1,SG,Overig voertuig voor speciale doeleinden
00WGJ8,1,SE,Caravan
00WGK5,1,SE,Caravan
00WGK8,1,SE,Caravan
00WGL6,1,SE,Caravan
00WGL9,1,SE,Caravan
00WGN1,1,SE,Caravan
00WGN4,1,SE,Caravan
00WGR2,1,SE,Caravan
00WGR9,1,SE,Caravan
00WGT7,1,SE,Caravan
00WGV4,1,SE,Caravan
00WH26,1,SE,Caravan
00WH63,1,SE,Caravan
00WH64,1,SE,Caravan
00WH95,1,SE,Caravan
00WL87,1,SE,Caravan
00WN06,1,SE,Caravan
00WN08,1,SE,Caravan
00WN49,1,SE,Caravan
00WN65,1,SE,Caravan
00WN66,1,SE,Caravan
00WS58,1,SE,Caravan
00WV69,1,SE,Caravan
00WX02,1,SE,Caravan
00WX39,1,SE,Caravan
00WX42,1,SE,Caravan
00WX95,1,SE,Caravan
00WZ16,1,SE,Caravan
00XBB3,1,SA,Kampeerwagen
00XBD2,1,SA,Kampeerwagen
00XBJ6,1,SA,Kampeerwagen
00XBL8,1,SA,Kampeerwagen
00XBN1,1,SA,Kampeerwagen
00XBV1,1,SA,Kampeerwagen
00XBV2,1,SA,Kampeerwagen
00XF56,1,SA,Kampeerwagen
00XGK3,1,SA,Kampeerwagen
00XHF5,1,SA,Kampeerwagen
00XHN7,1,SH,Voor rolstoelen toegankelijk voertuig
00XHR3,1,SH,Voor rolstoelen toegankelijk voertuig
00XHR6,1,SA,Kampeerwagen
00XJD8,1,SA,Kampeerwagen
00XJN4,1,SH,Voor rolstoelen toegankelijk voertuig
00XK11,1,SA,Kampeerwagen
00XKG8,1,SA,Kampeerwagen
00XKP4,1,SA,Kampeerwagen
00XKV8,1,SA,Kampeerwagen
00XLF2,1,SA,Kampeerwagen
00XN18,1,SA,Kampeerwagen
00XNH3,1,SA,Kampeerwagen
00XRF7,1,SA,Kampeerwagen
00XRR9,1,SA,Kampeerwagen
00XRT5,1,SA,Kampeerwagen
00XSV8,1,SA,Kampeerwagen
00XSV9,1,SA,Kampeerwagen
00XTL3,1,SA,Kampeerwagen
00XTS6,1,SA,Kampeerwagen
00XTT6,1,SA,Kampeerwagen
00XVB9,1,SA,Kampeerwagen
00XXF5,1,SA,Kampeerwagen
00XXH6,1,SA,Kampeerwagen
00XXK6,1,SA,Kampeerwagen
00XXT6,1,SA,Kampeerwagen
00XXT7,1,SA,Kampeerwagen
00XZD2,1,SA,Kampeerwagen
00YB85,1,SA,Kampeerwagen
00YB87,1,SA,Kampeerwagen
00YD03,1,SA,Kampeerwagen
00YD52,1,SA,Kampeerwagen
00YE11,1,SA,Kampeerwagen
00YE22,1,SA,Kampeerwagen
00YE86,1,SA,Kampeerwagen
00ZBF1,1,SA,Kampeerwagen
00ZBX8,1,SA,Kampeerwagen
00ZDD1,1,SA,Kampeerwagen
00ZDR7,1,SA,Kampeerwagen
00ZDX8,1,SA,Kampeerwagen
00ZDX9,1,SA,Kampeerwagen
00ZFG7,1,SA,Kampeerwagen
00ZFG8,1,SA,Kampeerwagen
00ZGD5,1,SH,Voor rolstoelen toegankelijk voertuig
00ZGH8,1,SA,Kampeerwagen
00ZHH1,1,SA,Kampeerwagen
00ZHP4,1,SC,Ambulance
00ZHP4,2,SH,Voor rolstoelen toegankelijk voertuig
00ZHZ5,1,SA,Kampeerwagen
00ZJG5,1,SA,Kampeerwagen
00ZJN2,1,SA,Kampeerwagen
00ZKG4,1,SA,Kampeerwagen
00ZRX6,1,SA,Kampeerwagen
00ZRX8,1,SA,Kampeerwagen
00ZTK2,1,SA,Kampeerwagen
00ZTP1,1,SA,Kampeerwagen
00ZVB1,1,SD,Lijkwagen
00ZXK7,1,SA,Kampeerwagen
00ZXN8,1,SA,Kampeerwagen
0100XB,1,SA,Kampeerwagen
0101ZZ,1,SF,Mobiele kraan
0102ZA,1,SA,Kampeerwagen
0102ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0103ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0104ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0105ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0106ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0107ZZ,1,SF,Mobiele kraan
0108WR,1,SE,Caravan
0108ZZ,1,SG,Overig voertuig voor speciale doeleinden
0109ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0110JB,1,SA,Kampeerwagen
0110WS,1,SE,Caravan
0110ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0111VB,1,SA,Kampeerwagen
0111ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0112ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0113ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0114ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0115TN,1,SA,Kampeerwagen
0116WV,1,SE,Caravan
0117WH,1,SE,Caravan
0117ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0118ZZ,1,SG,Overig voertuig voor speciale doeleinden
0119ZZ,1,SG,Overig voertuig voor speciale doeleinden
0121WE,1,SE,Caravan
0122ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0123ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0124WG,1,SE,Caravan
0124ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0126ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
