Handelsnaam anonimiseerd;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
DEKO Alarm en Beveiligingstechniek B.V.;;;;;1;1
DELTA Comfort B.V.;;;1;;;1
DELTA Energy B.V.;;;7;;;7
Delta International Promotioneel B.V.;1;;;;;1
Deltex B.V.;;1;;;;1
Den Hartigh Adviesgroep B.V.;1;;;;;1
Destil B.V.;1;;;;;1
Diaber Benelux B.V.;;;2;;;2
Dierenartsenpraktijk de Zuidwesthoek;1;;;;;1
Dierenkliniek Velp;1;;;;;1
Diesel-Buchli B.V.;;;1;;;1
Dirksen Schoonmaakartikelen B.V.;1;;;;;1
DNV GL Business Assurance;;;1;;;1
Dokkumer Vlaggen Centrale B.V.;3;1;;;;3
Dörr Kampen B.V.;1;;;;;1
DPS Power B.V.;;;1;;;1
DRAGT;1;;;;;1
Dunea N.V.;;;4;;;4
E.ON Benelux Levering B.V.;;;10;;;10
Eco Toilet B.V.;6;;;;;6
Eijsink Afrekensystemen B.V.;1;;;;;1
Ekkels Bouwmaterialen B.V.;1;;;;;1
Endinet B.V.;;;4;;;4
Enduris B.V.;;;2;;;2
Eneco Services B.V.;;;3;;;3
Eneco Zakelijk;;;8;;;8
Enexis B.V.;;;7;;;7
ENGIE Energie Nederland N.V.;;;5;;;5
Ennatuurlijk B.V.;;;4;;;4
Eriks B.V.;;1;;;;1
European Energy Auction B.V.;;;4;;;4
Evides Drinkwater;;;1;;;1
Evides N.V.;;;2;;;2
Expert Dieren B.V.;2;;;;;2
Exploitatie Maatschappij Komfort B.V.;2;;;;1;2
Exploitatiemij. Oostelijk Zwembad B.V.;;;;;1;1
Fa. Van Effrink & Malestein;1;;;;;1
FietsNED B.V.;4;;;;;4
Filter Service Heerenveen B.V.;;1;;;;1
Fisher Emergo B.V.;1;;;;;1
Fliteline B.V.;;4;;;;4
Forbo Flooring B.V.;;1;;;;1
Fudura B.V.;;;1;;;1
Georg Fischer N.V.;;2;;;;2
GGN van Mastrigt & Partners;;;1;;;1
Gom Schoonhouden;;1;;;;1
Groningen Airport Eelde N.V.;;;;;1;1
Haltronic Electro-Installaties B.V.;1;;;;;1
Handelsonderneming J. Snoei B.V.;;2;;;;2
Hatz-Nederland B.V.;;;2;;;2
Havenbedrijf Amsterdam N.V.;;;1;;1;2
Hertz Automobielen Nederland B.V.;1;;;;;1
Hogenboom Vakantieparken B.V.;;1;;;;1
Holland Safety B.V.;;2;;;;2
Hollandse Telecommunicatie Maatschappij;1;;;;;1
Horticoop B.V.;1;;;;;1
HSA Breda B.V.;1;;;;;1
Industrial Solutions Zuid-Oost B.V.;;;3;;;3
Ingenieursbureau Ebatech B.V.;;;3;;;3
Intersafe Groeneveld B.V.;1;;;;;1
Intratuin Duiven;1;;;;;1
Israel Producten Centrum;1;;;;;1
itsme B.V.;;4;;;;4
Jacs. Koopman Electrotechnische Agentur. B.V.;;;1;;;1
Jan Snel B.V.;;;;;1;1
Kantoren Perenhout;1;;;;;1
Kemper en van Twist Diesel B.V.;;3;6;;;7
King Nederland B.V.;1;1;;;;1
Kobout B.V.;;;1;;;1
Kop Beveiliging B.V.;1;;;;;1
Koppeltron B.V.;;1;;;;1
Kortpack;;1;;;;1
Kozijnservice Nederland B.V.;1;;;;;1
KPN B.V.;1;;;;;1
Kringapotheek Velperweg;1;;;;;1
Kruitbosch en De Weerd Deventer B.V.;;;1;;;1
Kruizinga B.V.;1;;;;;1
Kuijpers Installaties;;2;;;;2
KWR Water B.V.;;2;;;;2
Lankhorst Mouldings;;2;;;;2
Leds4You B.V.;;2;;;;2
Lekkerkerker;;;;;1;1
Liander N.V.;;;7;;;7
Linde Gas Benelux B.V.;;;1;;;1
Lopital Nederland B.V.;1;;;;;1
Luchttechnisch Revis.-Bureau Van Elewout B.V.;1;;;;;1
Maastricht Aachen Airport Beh.&Infrastr. B.V.;;;;;1;1
Maatschap Fysiotherapeuten 'Velperweg';1;;;;;1
Maatschap H.P. Volkers en S Volkers-Froonhoff;;1;;;;1
Machine- en Apparatenfabriek Combimac B.V.;;;1;;;1
Magnetenspecialist Import & Export B.V.;1;;;;;1
Manutan B.V.;1;;;;;1
Mastermate Brinkman B.V.;;2;;;;2
Matco B.V.;;1;;;;1
Medifix B.V.;1;;;;;1
MediReva B.V.;1;;;;;1
Mennens Dongen B.V.;;1;;;;1
Milispec International B.V.;;1;;;;1
Moesson Tjalie Robinson;1;;;;;1
MORE Apps B.V.;1;;;;;1
Mo-Tech Industries;2;;;;;2
Motor Snelco B.V.;;;1;;;1
MouseShield;1;;;;;1
Mulder Motoren B.V.;;2;1;;;2
N.V. Luchthaven Lelystad;;;;;1;1
N.V. PWN Waterleidingbedrijf Noord-Holland;;;5;;;5
N.V. Rendo;;;3;;;3
N.V. Waterbedrijf Groningen;;;1;;;1
N.V. Waterleidingmaatschappij Drenthe;;;3;;;3
NAMA;1;;;;;1
Necarex B.V.;;;;;1;1
Nedvan Projectverhuizingen Facility Solutions;;2;;;;2
Neho-Speciaal-Techniek B.V.;;;1;;;1
NeoFos B.V.;;1;;;;1
Nijha B.V.;1;;;;;1
NMM Company B.V.;;;;;8;8
NS Stations B.V.;;;;;2;2
Osma;2;;;;;2
P&O North Sea Ferries B.V.;;;;;1;1
Pagid Benelux B.V.;;;1;;;1
Pion Kunststoffen B.V.;;2;;;;2
PontMeyer Deventer;;2;;;;2
PontMeyer Eindhoven;1;;;;;1
Power Sound Facilitair;1;;;;;1
Q-Park Nederland;;;;;1;1
R.T.H.-Relli Technology Holland B.V.;;;1;;;1
Rederij Brands;1;;;;;1
Reg. Bur. vr Toerisme Knpp. Arnhem Nijm. B.V.;1;;;;;1
Resort Brunssummerheide B.V.;;4;;;1;4
Rijkaart;1;;;;;1
Ritom Beveiligingstechniek B.V.;2;;;;;2
Riweltie B.V.;;1;;;;1
Roompot Service B.V.;;1;;;;1
Roossien Hoogwerktechniek;1;;;;;1
Rotom Nederland;1;;;;;1
Rotterdam Airport B.V.;;;;;2;2
Rotterdam Airport Vastgoed B.V.;;;3;;;3
Safe Site B.V.;;1;;;;1
Safety Support B.V.;;;;1;;1
Schietvereniging 'Willem Tell';;;;;1;1
Schiphol Nederland B.V.;;;1;;1;2
Schiphol Real Estate B.V.;;;;;1;1
Schouten Olie;;;;;1;1
Scolair V.O.F.;1;;;;;1
Securitas Beveiliging B.V.;1;;;;;1
Shop Facilities B.V.;;1;;;;1
Siemens Nederland N.V.;2;;;;;2
Sleut.- & Safespecial. W. van den Hoogen B.V.;1;;;;;1
Sligro B.V.;1;;;;;1
Smeba Brandbeveiliging B.V.;;1;;;;1
Sounds-Perfect.nl;1;;;;;1
Spobex B.V.;;;;;1;1
Sportfondsen Amsterdam-Oost B.V.;;;;;1;1
Staples Nederland B.V.;1;1;;;;1
Start People;1;;;;;1
Stedin;;;7;;;7
Stedin Infradiensten B.V.;;;1;;;1
Stedin Meetbedrijf B.V.;;;1;;;1
SternRent B.V.;1;;;;;1
Stertil B.V.;;;;;1;1
Stg. Kenniscentrum Center People & Buildings;2;;;;;2
Stichting Abrona;2;;;;;2
Stichting Le Carreneuf;;;;;1;1
Stichting Maritiem Erfgoed;1;;;;;1
Stichting Militaire Lourdes Bedevaart;1;;;;;1
Stichting Nationaal Indie-Monument 1945-1962;1;;;;;1
Stichting 's Heeren Loo Zorggroep;1;;;;;1
Story Sound;1;;;;;1
Strijbosch B.V.;2;;;;;2
Technisch Bureau Magema B.V.;1;1;1;;;1
Technisch Handelsburo Visser Assen B.V.;1;;;;;1
Technische Unie B.V.;1;4;;;;4
Technogym Benelux B.V.;1;;;;;1
Tempo-Team Professionals B.V.;1;;;;;1
Tentenverhuur De Weerd Voorst;2;1;;;;2
The Knights of Buildalot;;1;;;;1
The MasterMind Company B.V.;;1;;;;1
Thermo-Noord B.V.;;1;;;;1
Thielco Staalindustrie B.V.;;2;;;;2
Thom. H. van der Boon B.V.;;;1;;;1
Top Movers Nederland B.V.;;;;7;;7
Touax B.V.;;;;;1;1
Transportbedrijf Albert Riksen B.V.;;;;1;;1
Trivium Hotel Etten-Leur B.V.;1;;;;;1
United Fish Auctions N.V.;;;;;1;1
V.O.F. Bos Europe;;3;;;;3
V.O.F. Zeefdrukkerij Bieling;1;;;;;1
Van der Bijl Diervoeders B.V.;1;;;;;1
Van der Heijden Milieu- en Install.techn.;;;;;2;2
Van Drimmelen Toelevering B.V.;;2;;;;2
Van Kralingen B.V.;1;;;;;1
Van Zwanenburg Handelmaatschappij B.V.;1;1;;;;1
VDL Weweler Parts B.V.;;;1;;;1
Vebes Adviseurs B.V.;;;;;2;2
Vello Elektro B.V.;;3;2;;;4
Velmon Service en Revisie B.V.;1;;;;;1
Ver. Bedr. Jansen-Wijsmuller & Beuns B.V.;1;;;;;1
Ver. Behart. Bel. Nederl. Neth. Aerospace Gr.;1;;;;;1
Verag Vloerenbedr. en Handelsonderneming B.V.;1;;;;;1
Verkoopartikelen Natuurmonumenten B.V.;;;;;1;1
Vidipro-International;;1;;;;1
Visser en Visser B.V.;;;1;;;1
Vitens N.V.;;1;7;;;7
Vliegengordijnenexpert V.O.F.;;1;;;;1
Vossenberg Holding B.V.;;3;;;;3
Wattanders B.V.;;;2;;;2
Waverail B.V.;;1;;;;1
Wavin Nederland;;3;;;;3
Wax Art Studio;1;;;;;1
Wear2work;1;;;;;1
Westland Infra Netbeheer B.V.;;2;4;;;4
Wetsports;1;;;;;1
Wiba Zevenaar B.V.;;;3;;;3
Wildkamp B.V.;;2;;;;2
WP Assemblage B.V.;;1;;;;1
Xerox (Nederland) B.V.;1;;;;;1
ZCC-IT B.V.;1;;;;;1
Ziggo B.V.;;;1;;;1
Eindtotaal;7;7;11;7;8;11
