bestemming;brinnummer;school;bestuursnummer;gebouwnummer;postcode;adres;economisch_eigenaar;juridisch_eigenaar;stadsdeel;wijk;bouwaard;bouwjaar;bvo;xcoord;ycoord;ozb;opstal;verzekerd;lesruimte;gymruimte;kadastraal;archief;long;lat
VO;20MM00;Zuid-West College;20281;278;2542 JR;Beresteinlaan 627;Gemeente;20281;2;33;Permanent;1998;8531;77662;450454;0;0;0;67;;GVH AW 2968;0;4.260046878673941;52.03701521107697
GYM;07MZ00;Praktijkschool de Poort;70176;286;2584 AW;Duinstraat 55;Gemeente;70176;4;7;Permanent;1966;244;78647;457708;0;439114;63039;;1;GVH AH 3458;1;4.272777363094101;52.10234128209336
BO;19MP;De Kameleon;41572;318;2516 VN;Ketelstraat 101;Gemeente;41572;6;38;Permanent;1999;949;83033;453228;0;0;0;7;;GVH AI 9661;0;4.337728746236337;52.062668159603994
BO;13EK;Onze Wereld;20281;325;2572 CH;Brandtstraat 80;Gemeente;20281;5;30;Permanent;2000;1865;79842;453743;0;0;0;18;;GVH AB 5067;0;4.2910899504545705;52.0668726026284
BO;26AX;Daltonschool De Vijver;41572;331;2548 WJ;Kikkerbeetlaan 27;Gemeente;41572;2;40;Permanent;2001;2408;80457;448550;0;0;0;18;;GVH AY 4261;0;4.301190147474309;52.0202871833269
BO;19NQ;De Gelderlandschool;41572;0337A;2573 AH;Voorthuizenstraat 245A;Gemeente;41572;2;31;Nood;1993;206;79224;453307;0;0;0;2;;;1;4.282175335423493;52.0628701805429
BO;26AW;De Vlieger;20281;350;2497 DN;Frits Diepenlaan 43;Gemeente;20281;8;42;Permanent;1999;1659;84997;450752;0;0;0;11;;GVH BK 3314;0;4.366872050164955;52.04066806997238
BO;26PJ;Daltonschool Waterland;41572;351;2492 NZ;Eendenplein 1;Gemeente;41572;8;42;Permanent;2001;1219;88114;453464;0;0;0;8;;GVH BD 6093;0;4.411766422707366;52.065425690809086
BO;26PX;RK Basisschool De Walvis;41447;352;2492 NZ;Eendenplein 5;Gemeente;41447;8;42;Permanent;2001;2677;881810;453434;0;0;0;22;;GVH BD 6095;0;15.901988883551256;51.59627156794949
BO;26PP;De Notenkraker;41572;353;2496 HS;Eksterhof 2;Gemeente;41572;8;42;Permanent;2000;1964;86152;451735;0;0;0;15;;GVH BF 4192;0;4.383506206706811;52.049646901915025
GYM;26PP;De Notenkraker;41572;353;2496 HS;Eksterhof 2;Gemeente;41572;8;42;Permanent;2000;338;86139;451728;0;0;0;;1;GVH BF 4153;0;4.383318126228634;52.04958237836111
BO;27CH;De Paradijsvogel;20281;354;2496 HT;Eksterhof 3;Gemeente;20281;8;42;Permanent;2000;1204;86124;451706;0;0;0;12;;GVH BF 4223 A1;0;4.383103917441827;52.049382801158764
GYM;26PJ;Daltonschool Waterland;41572;357;2492 NZ;Eendenplein 3;Gemeente;41572;8;42;Permanent;2001;506;88184;453464;0;0;0;;2;GVH BD 6094;0;4.412787128135952;52.06543413586495
BO;26PT;Balans, Samenwerkingsschool;20281;358;2492 MA;Klaverveld 5;Gemeente;20281;8;42;Permanent;1998;2531;87700;453964;0;0;0;19;;GVH BD 6107;0;4.405631132319814;52.06986907246311
GYM;26PT;Balans, Samenwerkingsschool;20281;358;2492 MA;Klaverveld 5;Gemeente;20281;8;42;Permanent;1998;414;87700;453964;0;0;0;;1;GVH BD 6107;0;4.405631132319814;52.06986907246311
BO;26AV;Christoffel;40928;363;2496 RH;Madurolaan 25;Gemeente;40928;8;42;Permanent;2002;1461;85046;451000;0;0;0;10;;GVH BK 2957;0;4.367535385961216;52.042903023118555
BO;26PJ;Daltonschool Waterland;41572;364;2492 NZ;Eendenplein 4;Gemeente;41572;8;42;Permanent;2001;1470;88184;453464;0;0;0;24;;GVH BD 6094;0;4.412787128135952;52.06543413586495
GYM;27CF;Fontein;78782;365;2496 PN;Steenuillaan 2;Gemeente;78782;8;42;Permanent;2002;410;85479;451187;0;0;0;;1;GVH BG 4718;0;4.373807899052256;52.044638048706325
BO;06ES;Eben-HaÃ«zerschool;42570;372;2582 CH;Paulus Buijsstraat 51;Gemeente;42570;4;9;Permanent;2002;769;78937;457033;0;0;0;5;;GVH AK 10969;0;4.277160024179843;52.096315240967925
BO;17QF;Waalse Louise de Colignyschool voor Chr.;70176;447;2593 PB;Rooseboomstraat 10;Gemeente;70176;7;26;Permanent;1957;1716;83768;455830;0;0;0;14;;GVH AU 4051;0;4.347902187009419;52.08614696665908
GYM;17QF;Waalse Louise de Colignyschool voor Chr.;70176;447;2593 PB;Rooseboomstraat 10;Gemeente;70176;7;26;Permanent;1957;455;83768;455830;0;0;0;;1;GVH AU 4051;0;4.347902187009419;52.08614696665908
BO;17YA;Paul Krugerschool voor Chr. BO;70176;448;2572 PV;Fischerstraat 133;Gemeente;70176;5;30;Permanent;1994;1218;80138;453588;0;0;0;10;;GVH AB 6831;0;4.2954400880702535;52.06551974528362
BO;19TA;Basisschool De Vuurtoren;70176;373;2587 EB;Stevinstraat 65E;Gemeente;70176;4;7;Permanent;2003;1428;79466;458364;0;0;0;11;;GVH V 3536;0;4.284583670098864;52.108348952242864
GYM;19TA;Basisschool De Vuurtoren;70176;373;2587 ED;Stevinstraat 65E;Gemeente;70176;4;7;Permanent;2003;367;79466;458364;0;0;0;;1;GVH V 3536;0;4.284583670098864;52.108348952242864
BO;19OC;Prins Willem Alexander;41572;376;2521 EC;Slachthuisplein 15;Gemeente;41572;6;38;Permanent;2003;1228;82022;453367;0;0;0;8;;GVH AC 3627;0;4.322958353572017;52.06378508032186
GYM;19OC;Prins Willem Alexander;41572;376;2521 EC;Slachthuisplein 15;Gemeente;41572;6;38;Permanent;2003;440;82022;453367;0;0;0;;1;GVH AC 3627;0;4.322958353572017;52.06378508032186
VO;20MM00;Zuid-West College;20281;378;2548 AE;Leyweg 1479a;Gemeente;;2;40;Nood;2003;1330;79443;450566;0;0;0;14;;GVH AX 3899;1;4.285974541186533;52.03826737470113
BO;08NF;De Jonge Wereld;20281;383;2547 ST;Den Helderstraat 250;Gemeente;20281;2;32;Permanent;2003;1988;78059;453422;0;0;0;15;;LSD N 2867;0;4.265163519637933;52.063743037763636
BO;17VA;De Vliermeent Chr. Basisschool;70176;384;2547 ST;Den Helderstraat 248;Gemeente;70176;2;32;Permanent;2003;958;78059;453422;0;0;0;7;;LSD N 2867;0;4.265163519637933;52.063743037763636
VO;20MM00;Zuid-West College;20281;382;2548 AE;Leyweg 1479;Juridisch eigenaar;;2;40;Nood;2003;2031;79443;450566;0;0;0;18;;GVH AX 3899;1;4.285974541186533;52.03826737470113
SO/VSO;23GJ00;Pleysier College Zefier;30815;393;2566 ER;Dr. van Welylaan 4;Gemeente;30815;3;13;Permanent;2002;1694;77525;455718;0;0;0;13;;GVH AO 3172 A4;0;4.2568562832867896;52.08430194047535
GYM;20KP;De Strandwacht (SO-PI);41572;393;2566 ER;Dr. van Welylaan 4;Gemeente;30815;3;13;Permanent;2002;455;77525;455718;0;0;0;;2;GVH AO 3172 A4;0;4.2568562832867896;52.08430194047535
SO/VSO;20KP;De Strandwacht (SO-PI);41572;394;2566 ER;Dr. van Welylaan 6;Gemeente;41572;3;13;Permanent;2002;391;77525;455718;0;0;0;3;;GVH AO 3172 A4;0;4.2568562832867896;52.08430194047535
BO;27CH;De Paradijsvogel;20281;402;2496 MT;Weidevogellaan 201;Gemeente;20281;8;42;Permanent;2004;2037;85652;451487;0;0;0;15;;GVH BG 4755;0;4.376268425840582;52.047355809857045
GYM;27CH;De Paradijsvogel;20281;402;2496 MT;Weidevogellaan 201;Gemeente;20281;8;42;Permanent;2004;425;85652;451487;0;0;0;;1;GVH BG 4755;0;4.376268425840582;52.047355809857045
BO;13JV;St. Paschalis;20281;404;2596 XH;Bisschopstraat 3;Gemeente;20281;7;4;Permanent;2004;2298;82016;456429;0;0;0;17;;GVH X 5973;0;4.322215859780688;52.09130187039346
GYM;13JV;St. Paschalis;20281;404;2596 XH;Bisschopstraat 3;Gemeente;20281;7;4;Permanent;2004;455;82016;456429;0;0;0;;1;GVH X 5973;0;4.322215859780688;52.09130187039346
BO;07AK;De Buutplaats;40928;398;2525 LE;Hoefkade 677;Gemeente;40928;5;29;Permanent;2004;1184;80623;453385;0;0;0;8;;GVH L 13075 A1;0;4.302556174990761;52.063760770676396
BO;17TD;Da Costaschool voor Christelijk Basisond;70176;399;2517 HH;Hollanderstraat 21;Gemeente;70176;4;11;Permanent;2004;1172;79272;455693;0;0;0;9;;GVH N 5212;0;4.282345692338915;52.084319037679116
GYM;17TD;Da Costaschool voor Christelijk Basisond;70176;399;2517 HH;Hollanderstraat 21;Gemeente;70176;4;11;Permanent;2004;204;79272;455693;0;0;0;;1;GVH N 5212;0;4.282345692338915;52.084319037679116
BO;26AU;OBS Ypenburg;41572;392;2497 ZJ;BÃ¶ttgerwater 21;Gemeente;41572;8;42;Permanent;2004;2228;85272;450444;0;0;0;17;;GVH BK 3317;0;4.370942525474346;52.03793472761639
BO;22MH;Shri Vishnu Hindoe Basisschool;30709;403;2525 TH;Abraham van Beyerenstraat 56;Gemeente;30709;5;29;Permanent;2004;3099;80775;453340;0;0;0;26;;GVH L 100060;0;4.304782207628404;52.06337675368347
GYM;22MH;Shri Vishnu Hindoe Basisschool;30709;403;2525 TH;Abraham van Beyerenstraat 56;Gemeente;30709;5;29;Permanent;2004;351;80775;453340;0;0;0;;1;GVH L 10060;0;4.304782207628404;52.06337675368347
BO;17PQ;Prinsehaghe Prot. Chr. Basisschool;70176;409;2512 GG;Prinsegracht 182;Gemeente;70176;5;28;Permanent;2004;1580;80554;454297;0;0;0;13;;GVH K 2797;0;4.301351215676964;52.07194743171836
GYM;17PQ;Prinsehaghe Prot. Chr. Basisschool;70176;409;2512 GG;Prinsegracht 182;Gemeente;70176;5;28;Permanent;2004;455;80554;454297;0;0;0;;1;GVH K 2797;0;4.301351215676964;52.07194743171836
BO;27CF;Fontein;78782;421;2496 PN;Steenuillaan 4;Juridisch eigenaar;;8;42;Nood;2004;1220;85442;451146;0;0;0;15;;GVH BG 4717;0;4.3732769839223256;52.044264941844304
BO;19VL;Zorgvliet Nutsschool;20281;10;2517 JX;Adriaan Goekooplaan 13;Gemeente;20281;4;10;Permanent;1929;1813;79472;456573;0;0;0;11;;GVH N 7173;0;4.285068212581844;52.09225464919544
VO;17HR05;Heldring College;20281;381;2517 RZ;Morsestraat 1;Gemeente;20281;3;12;Permanent;1973;5917;78817;455436;0;0;0;46;;GVH N 8111;0;4.275765920335848;52.08194702757057
BO;19ZJ;Zuidwalschool;41572;266;2512 XT;Zuidwal 47;Gemeente;41572;5;28;Permanent;2005;1827;81178;454294;0;0;0;14;;GVH K 3314;0;4.310451830574859;52.07200400120241
GYM;19ZJ;Zuidwalschool;41572;266;2512 XT;Zuidwal 47;Gemeente;41572;5;28;Permanent;2005;368;81178;454294;0;0;0;;1;GVH K 3314;0;4.310451830574859;52.07200400120241
BO;27PC;AL-QOEBA Basisscholen (IQRA);40389;223;2525 GG;Terwestenstraat 105;Gemeente;40389;5;29;Permanent;2005;2375;80476;45356;0;0;0;21;;GVH L 13284;0;4.381773156065204;48.39702718010777
BO;27PX;De Bras R.K. Basisschool;20281;423;2498 BZ;Oeverwallaan 104 en 106;Gemeente;20281;8;42;Permanent;2006;1683;85972;449711;0;0;0;12;;GVH BH 2724;0;4.381291202023808;52.0314348176363
GYM;27PX;De Bras R.K. Basisschool;20281;425;2498 BK;Oeverwallaan 136;Gemeente;78782;8;42;Permanent;2006;455;86168;449824;0;0;0;;2;GVH BH 3484;0;4.384124240285733;52.03247471037656
BO;13EK;Onze Wereld;20281;1055;2572 BH;Beijersstraat 72A;Gemeente;20281;5;30;Permanent;1992;115;79789;453689;0;0;0;1;;GVH AB 4104;0;4.29032902494418;52.06638012373253
Sport;16XN;Prof. Mr. A. Anemaschool;70176;1060;2542 JR;Beresteinlaan 625H;Gemeente;;2;33;Permanent;1965;2443;77567;450389;0;0;0;;;GVH AW 1688;0;4.258677283530012;52.03641781030713
Welzijn;13WM;Jeroen;20281;1067;2524 XN;Van Meursstraat 1a;Gemeente;;6;38;Permanent;1993;541;81593;452190;0;0;0;2;;GVH AI 9516 A1;0;4.316956241046671;52.05315091268158
BO;04ON01;Tamarschool;33932;539;2545 NL;Fluitenbergstraat 6-8;Gemeente;33932;2;34;Permanent;1962;2061;79897;451909;0;0;0;10;;GVH AW 431;0;4.292295245172186;52.050398342378806
Sport;15VU;'t Palet;20281;1410;2526 JG;Hobbemastraat 93;Gemeente;;5;29;Permanent;1994;2617;80686;454097;0;0;0;;3;GVH AE 5046;0;4.3033197533347645;52.070167807096915
Sport;13ZY;De Regenboog;20281;1780;2522 DM;Paets van Troostwijkstraat 93A;Gemeente;;6;38;Permanent;1992;3064;82574;452811;0;0;0;;;GVH AI 9539;1;4.331124818457924;52.05886083043046
Sport;16FS;De Triangel;20281;1935;2515 GE;Slicherstraat 11;Gemeente;;5;29;Permanent;1982;2989;81405;454132;0;0;0;;;GVH AE 4709;0;4.3137971755935975;52.07057835355471
VO;20MJ14;Johan de Witt Scholengroep, locatie Verm;41360;2035;2525 VM;Vermeerstraat 56;Gemeente;41360;5;29;Permanent;1923;860;80775;453308;0;0;0;5;;GVH L 10061;0;4.304789164173959;52.06308917673326
SO/VSO;23GJ14;Pleysier College Oosterbeek;30815;426;2572 AP;Scheepersstraat 160;Gemeente;30815;5;30;Permanent;2006;2549;79728;453760;0;0;0;27;;GVH AB 7175;0;4.289423904314949;52.067009895147685
GYM;23GJ14;Pleysier College Oosterbeek;30815;426;2572 AP;Scheepersstraat 160;Gemeente;30815;5;30;Permanent;2006;910;79717;453755;0;0;0;;2;GVH AB 6807;0;4.289264609369803;52.06696346632834
BO;17EK01;De Kleine Keizer;41572;256;2553 AZ;Loosduinse Uitleg 10;Gemeente;41572;1;17;Permanent;2007;1058;75917;452164;0;0;0;8;;LSD O 637 638 639;0;4.234223699373133;52.052136150535084
BO;05VX01;The International School Primary School;46879;430;2554 BZ;Wijndaelerduin 1A;Gemeente;46879;1;15;Permanent;2006;5029;75206;452974;0;0;0;33;;LSD H 6668;0;4.223670570827207;52.05931334744271
VO;21GU07;Montaigne Lyceum;20281;435;2496 RP;Kiekendiefstraat 25;Gemeente;20281;8;42;Permanent;2006;9293;86298;452013;0;0;0;71;;GVH BF 4214;0;4.385578440598133;52.05216339897463
BO;26PT;Balans, Samenwerkingsschool;20281;437;2492 MA;Klaverveld 5B;Gemeente;20281;8;42;Nood;2006;513;87700;453964;0;0;0;6;;GVH BD 6107;0;4.405631132319814;52.06986907246311
VO;20CQ01;Lyceum Ypenburg;41360;436;2496 VB;Laan van Kans 3;Gemeente;41360;8;42;Permanent;2007;9005;84643;451297;0;0;0;60;;GVH BK 3323;0;4.36160093144837;52.0455211590749
BO;27CH;De Paradijsvogel;20281;401;2496 MT;Weidevogellaan 203;Juridisch eigenaar;;8;42;Permanent;2005;685;85630;451499;0;0;0;7;;GVH BG 4754;0;4.37594532920974;52.04746090135005
GYM;17UD;Dr. J.A. Gerth van Wijkschool voor Chr.;70176;258;2523 GW;Withuysstraat 2 - 4;Gemeente;70176;6;38;Permanent;1932;284;81579;452763;0;0;0;;1;GVH AI 6724;1;4.316628994816591;52.05829850865018
BO;17PB;De Ark Chr. Basisschool;70176;438;2546 SP;Maarsbergenstraat 169C;Gemeente;70176;2;32;Permanent;2007;2499;78426;45262;0;0;0;20;;LSD N 24218;0;4.354137912182343;48.395930702721124
GYM;13WM;Jeroen;20281;451;2524 HV;Guido Gezellestraat 51;Gemeente;20281;6;38;Permanent;1928;298;84535;452255;0;0;0;;1;;0;4.359829279602801;52.05411693182127
Welzijn;02GP05;The International School of The Hague;46879;2119;2554 BZ;Wijndaelerduin 1 en 3;Gemeente;;1;15;Terrein;2006;12015;74962;453350;0;0;0;1;;LSD H 6669 D1;0;4.220025204105978;52.06265709662456
BO;27PD;Zonnestraal;78782;443;2498 BZ;Oeverwallaan 116;Gemeente;CVDH;8;42;Permanent;2006;723;86056;449748;0;0;0;7;;GVH BH 2726;0;4.382507649213415;52.03177778543836
BO;19LY00;A.M.G. Schmidtschool;41572;253;2584 XJ;Willem Beukelszoonplein 7;Gemeente;;4;7;Permanent;1904;760;79309;457792;0;0;0;6;;GVH AG 2991;0;4.282419337824674;52.10318712745021
VO;02GP05;The International School of The Hague;46879;431;2554 BX;Wijndaelerduin 1;Gemeente;46879;1;15;Permanent;2007;12427;75206;452974;0;0;0;85;;LSD H 6669;0;4.223670570827207;52.05931334744271
GYM;02GP05;The International School of The Hague;46879;431;2554 BZ;Wijndaelerduin 1;Gemeente;46879;1;15;Permanent;2007;910;75206;452974;0;0;0;;4;LSD H 6669;0;4.223670570827207;52.05931334744271
BO;05OL;De Elout;70176;444;2561 VT;Copernicusstraat 159;Gemeente;70176;3;20;Permanent;2007;1309;78906;454867;0;0;0;10;;GVH AM 784;0;4.2771910342831125;52.076845844124875
SO/VSO;20KP;De Strandwacht (SO-PI);41572;442;2554 HZ;Paddepad 8A;Gemeente;41572;1;15;Nood;2007;188;76165;454339;0;0;0;3;;LSD H 7015;0;4.237336539029108;52.07171739910428
BO;13WM;Jeroen;20281;451;2524 CK;Guido Gezellestraat 51;Gemeente;20281;6;38;Permanent;2008;2085;81523;452269;0;0;0;16;;GVH AI 9529;0;4.315918846423152;52.0538515940466
BO;19SG;Nutsschool Morgenstond;20281;455;2545 VC;Zweeloostraat 61;Gemeente;20281;2;34;Permanent;2008;1237;78361;451830;0;0;0;10;;GVH AW 4307;0;4.26992403064338;52.04947806155676
VO;20MM01;Wateringse Veld College, VMBO/HAVO;20281;454;2548 HT;Missouri 1;Gemeente;20281;2;40;Permanent;2008;8421;6041;449520;0;0;0;61;;GVH AX 8206;0;3.2171629520341964;52.01401174890751
BO;23GV;Yunus Emre Islamitische Basisschool;40272;457;2572 HT;Mandelaplein 2;Gemeente;40272;5;30;Permanent;2008;1854;80176;453414;0;0;0;14;;GVH AB 5836 5837;0;4.2960323060060706;52.06396118455314
GYM;19SG;Nutsschool Morgenstond;20281;455;2545 VC;Zweeloostraat 61;Gemeente;20281;2;34;Permanent;2008;455;78361;451830;0;0;0;;1;GVH AW 4307;0;4.26992403064338;52.04947806155676
SO/VSO;05YX17;Midgaard College;62077;458;2553 RM;Monsterseweg 216;Juridisch eigenaar;;1;15;Permanent;2008;1020;74099;451633;0;0;0;10;;LSD H 2856;0;4.207849388005169;52.04710179648317
BO-Voorschool;17TY/VPZ;Voorschool Pippeloentje;;179;2533 TG;Pieter Langendijkstraat 81;Gemeente;70176;2;36;Permanent;2010;115;79932;451851;0;0;0;1;;GVH AL 6455;1;4.29281815525673;52.04988185220131
BO;19XU;De Tweemaster;41572;462;2583 JH;Tesselsestraat 75A;Gemeente;41572;4;8;Permanent;2009;775;77722;456426;0;0;0;4;;GVH AO 1238;0;4.2595694947069624;52.090692012751504
BO-Voorschool;19XU/VPZ;Voorschool De Driemaster;41572;462;2583 JH;Tesselsestraat 75A;Gemeente;41572;4;8;Permanent;2009;115;77722;456426;0;0;0;1;;GVH AO 1238;1;4.2595694947069624;52.090692012751504
GYM;19VH;De Oranjeschool;70176;463;2583 JH;Tesselsestraat 75;Gemeente;70176;4;8;Permanent;2009;455;77722;456426;0;0;0;;2;GVH AO 1238;0;4.2595694947069624;52.090692012751504
BO-Voorschool;17ZS/VPZ;Voorschool den Hertogschool;;14;2595 TA;Amalia van Solmsstraat 5;Gemeente;70176;7;26;Permanent;2007;86;82966;455383;0;0;0;1;;GVH R 11886;1;4.336297006857995;52.08202609662767
SO/VSO;02DE01;Bernardusschool (SO/VSO-ZMLK);20281;452;2597 GV;Theo Mann-Bouwmeesterlaan 63;Gemeente;20281;7;4;Permanent;2011;900;82294;457996;0;0;0;10;;GVH X 6007;0;4.325937487663946;52.10542072912791
SO/VSO;20JG03;Insp S De Vriesschool (VSO);41572;453;2597 TJ;Esther de Boer - Van Rijklaan 80;Gemeente;41572;7;4;Permanent;2011;1834;82294;457996;0;0;0;17;;GVH X 6007;0;4.325937487663946;52.10542072912791
GYM;20JG03;Insp S De Vriesschool (VSO);41572;453;2597 TJ;Esther de Boer - Van Rijklaan 80;Gemeente;41572;7;4;Permanent;2011;340;82294;457996;0;0;0;;1;GVH X 6007;0;4.325937487663946;52.10542072912791
VO;21GU06;Diamant College;20281;456;2592 GD;Diamanthorst 183;Gemeente;20281;7;25;Permanent;1968;5400;84389;456759;0;0;0;47;;GVH AS 1282;0;4.356769003748238;52.09457530705825
GYM;27CH;De Paradijsvogel;20281;435;2496 RP;Kiekendiefstraat 25;Gemeente;20281;8;42;Permanent;2005;1365;86298;452013;0;0;0;;6;GVH BF 4214;0;4.385578440598133;52.05216339897463
BO-Voorschool;23GV/VPZ;Voorschool Yunus Emre;;457;2572 HT;Mandelaplein 2;Gemeente;40272;5;30;Permanent;2008;84;80176;453414;0;0;0;1;;GVH AB 5836 5837;1;4.2960323060060706;52.06396118455314
GYM;20MM01;Wateringse Veld College, VMBO/HAVO;20281;454;2548 HT;Missouri 1;Gemeente;41402;2;40;Permanent;2008;1387;79208;449520;0;0;0;;3;GVH AX 806;0;4.282781873840097;52.02883510191313
GYM;21GU06;Diamant College;20281;456;2592 GD;Diamanthorst 183;Gemeente;20281;7;25;Permanent;1968;455;84389;456759;0;0;0;;1;GVH AS 1282;0;4.356769003748238;52.09457530705825
BO-Voorschool;05HD/VPZ;Voorschool De Zuidwestertjes;59083;140;2544 ME;Marterrade 312;Gemeente;59083;2;33;Permanent;2008;199;77523;451366;0;0;0;2;;GVH AW 3033;1;4.2578147175555365;52.045191683576704
BO;19VH;De Oranjeschool;70176;463;2583 JH;Tesselsestraat 75;Gemeente;70176;4;8;Permanent;2009;823;77722;456426;0;0;0;6;;GVH AO 1238;0;4.2595694947069624;52.090692012751504
BO-Voorschool;17RV/VPZ;Voorschool De Meerpaal;70176;463;2583 JH;Tesselsestraat 75;Gemeente;70176;4;8;Permanent;2009;115;77722;456426;0;0;0;1;;GVH AO 1238;1;4.2595694947069624;52.090692012751504
BO-Voorschool;19VA/VPZ;Voorschool Bezuidenhout - 2Bootjes;;147;2593 TL;Merkusstraat 19;Gemeente;20281;7;26;Permanent;1929;207;83366;455987;0;0;0;2;;GVH AU 1377;1;4.342004820357325;52.08750603650118
BO;19LY01;A.M.G. Schmidtschool;41572;484;2582 RA;Van Hoornbeekstraat 5;Gemeente;41572;4;9;Permanent;2011;1257;79284;456981;0;0;0;9;;GVH AK 916;0;4.282234700660424;52.09589552355604
BO-Voorschool;06MV/VPZ;Voorschool Pinky;59083;161;2573 BA;Nijkerklaan 7;Gemeente;59083;2;31;Permanent;1933;115;79308;453451;0;0;0;1;;GVH AL 4302;1;4.283368150809491;52.064175754883316
BO-Voorschool;06MV/VPZ;Voorschool Pinky;59083;120;2573 XJ;Kootwijkstraat 35;Gemeente;59083;2;31;Permanent;1931;230;79293;453757;0;0;0;2;;GVH AL 4082;1;4.283081582441318;52.06692364298184
BO-Voorschool;13WM/VPZ;Voorschool Dikkie Dik;;451;2524 CK;Guido Gezellestraat 51;Gemeente;20281;6;38;Permanent;2009;98;81523;452269;0;0;0;1;;GVH AI 9529;1;4.315918846423152;52.0538515940466
BO;19VH;De Oranjeschool;70176;1992;2583 JH;Tesselsestraat 61b;Juridisch eigenaar;70176;4;8;Permanent;2011;264;77792;456460;0;0;0;2;;GVH AO 3167;0;4.2605830403133025;52.09100732812861
BO;19WO;Het Galjoen;41572;488;2525 ZX;Arnold Aletrinoplantsoen 8;Gemeente;41572;5;37;Permanent;2011;909;80665;453055;0;0;0;8;;GVH AC 2867;0;4.303240401207601;52.06080077126062
BO;19NT;De Drentse Hoek;41572;489;2545 SL;Oosterhesselenstraat 586;Gemeente;41572;2;34;Permanent;2011;1361;78486;451499;0;0;0;12;;GVH AW 491;0;4.27182012047946;52.04652072673021
BO-Voorschool;15ZZ/VPZ;Voorschool De Vuurvlinder;;57;2592 GH;Diamanthorst 10;Gemeente;20281;7;25;Permanent;1962;66;84201;456655;0;0;0;1;;GVH AS 1861;1;4.354047525606222;52.09361666091107
BO-Voorschool;19SG/VPZ;Voorschool Zweeloostraat;20281;455;2545 VC;Zweeloostraat 61;Gemeente;20281;2;34;Permanent;2008;115;78361;451830;0;0;0;1;;GVH AW 4307;1;4.26992403064338;52.04947806155676
BO-Voorschool;18PQ/VPZ;Voorschool Anne Frank;41572;122;2544 RZ;Laagveen 22;Gemeente;41572;2;33;Permanent;2011;237;77070;450842;0;0;0;2;;GVH AW 1158;1;4.251331990564654;52.04041913276284
BO-Voorschool;19MH/VPZ;Voorschool De Reamurstraat;41572;199;2562 TW;De RÃ©aumurstraat 43;Gemeente;41572;3;20;Permanent;2005;92;79065;454250;0;0;0;1;;GVH AM 4281;1;4.279647314856553;52.071322878912376
BO-Voorschool;19VV/VPZ;Voorschool Het Spectrum;41572;223;2525 GG;Terwestenstraat 105;Gemeente;41572;5;29;Permanent;2008;138;80476;453560;0;0;0;2;;GVH L 13284;1;4.300374630892549;52.06531369790253
BO-Voorschool;05OL/VPZ;Voorschool De Elout;;444;2561 VT;Copernicusstraat 159;Gemeente;70176;3;20;Permanent;2007;122;78906;454867;0;0;0;1;;GVH AM 784;1;4.2771910342831125;52.076845844124875
BO-Voorschool;17PQ/VPZ;Voorschool Prinsehaghe;70176;409;2512 GG;Prinsegracht 182;Gemeente;70176;5;28;Permanent;2004;94;80554;454297;0;0;0;1;;GVH K 2797;1;4.301351215676964;52.07194743171836
BO-Voorschool;17TT/VPZ;Voorschool Erasmusweg;;469;2532 CR;Erasmusweg 6800;Gemeente;70176;2;36;Nood;2009;113;80739;452096;0;0;0;1;;GVH AI 6843;1;4.304527794805915;52.05219235844969
BO-Voorschool;17TY/VPZ;Voorschool Pippeloentje;;470;2533 TG;Pieter Langendijkstraat 81;Gemeente;70176;2;36;Nood;2009;82;79932;451851;0;0;0;1;;GVH AL 6455;1;4.29281815525673;52.04988185220131
BO-Voorschool;17UD/VPZ;Voorschool Withuysstraat;;468;2523 GW;Withuysstraat 2;Gemeente;70176;6;38;Nood;2009;75;81579;452763;0;0;0;1;;GVH AI 6724;1;4.316628994816591;52.05829850865018
BO-Voorschool;17ZH/VPZ;Voorschool Prinses Irene;;206;2515 GE;Slicherstraat 6;Gemeente;70176;5;29;Permanent;2010;115;81470;45084;0;0;0;1;;GVh AE 4731 A2;1;4.395230407195351;48.39470355999511
BO-Voorschool;17ZM/VPZ;Voorschool Sirtemastraat;;203;2513 XX;Sirtemastraat 400;Gemeente;70176;5;28;Permanent;2008;80;80346;454672;0;0;0;1;;GVH C 6362;1;4.298235863298786;52.075289461641816
BO-Voorschool;17ZZ/VPZ;Voorschool De Horizon;;174;2522 DM;Paets van Troostwijkstraat 93;Gemeente;70176;6;38;Permanent;2009;75;82549;452753;0;0;0;1;;GVH AI 10140;1;4.330772645582838;52.058336324548044
BO;19VH;De Oranjeschool;70176;487;2583 AA;Westduinweg 127;Gemeente;70176;4;9;Permanent;2011;1136;78404;456865;0;0;0;12;;GVH AK 5803;0;4.269420724102485;52.09473196096407
GYM;19VH;De Oranjeschool;70176;487;2583 AA;Westduinweg 127;Gemeente;70176;4;9;Permanent;2011;433;78404;456865;0;0;0;;1;GVH 5803;0;4.269420724102485;52.09473196096407
BO-Voorschool;19VH/VPZ;Voorschool De Oranjeschool;;487;2583 AA;Westduinweg 125;Gemeente;70176;4;9;Permanent;2011;196;78404;456865;0;0;0;2;;GVH AK 5803;1;4.269420724102485;52.09473196096407
