GEMEENTE,CBS_GEMEENTECODE,BETREFT,WIJKNAAM,CBS_WIJKCODE,BUURTNAAM,CBS_BUURTCODE,BAGREFNUMMER,STRAATNAAM,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,POSTCODE,WOONPLAATS,longitude,latitude,X,Y,GEOMETRIE
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Loenen aan de Vecht,WK190403,Polder Garsten,WK19040302,1904010000033313,Oostkanaaldijk,11,p,,3632GA,Loenen aan de Vecht,5.013858,52.240739,129499.51,472585.74,"POLYGON ((129456.296 472644.379,129469.945 472600.169,129477.775 472574.625,129504.627 472582.966,129480.858 472657.881,129473.788 472655.686,129475.597 472650.396,129456.296 472644.379))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Loenen aan de Vecht,WK190403,Polder Garsten,WK19040302,1904010000033314,Oostkanaaldijk,11,n,,3632GA,Loenen aan de Vecht,5.013781,52.240723,129494.26,472584.07,"POLYGON ((129456.296 472644.379,129469.945 472600.169,129477.775 472574.625,129504.627 472582.966,129480.858 472657.881,129473.788 472655.686,129475.597 472650.396,129456.296 472644.379))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Loenen aan de Vecht,WK190403,Polder Garsten,WK19040302,1904010000033315,Oostkanaaldijk,11,m,,3632GA,Loenen aan de Vecht,5.013706,52.240711,129489.13,472582.71,"POLYGON ((129456.296 472644.379,129469.945 472600.169,129477.775 472574.625,129504.627 472582.966,129480.858 472657.881,129473.788 472655.686,129475.597 472650.396,129456.296 472644.379))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Loenen aan de Vecht,WK190403,Polder Garsten,WK19040302,1904010000033316,Oostkanaaldijk,11,l,,3632GA,Loenen aan de Vecht,5.013639,52.240695,129484.52,472580.97,"POLYGON ((129456.296 472644.379,129469.945 472600.169,129477.775 472574.625,129504.627 472582.966,129480.858 472657.881,129473.788 472655.686,129475.597 472650.396,129456.296 472644.379))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Loenen aan de Vecht,WK190403,Polder Garsten,WK19040302,1904010000033317,Oostkanaaldijk,11,k,,3632GA,Loenen aan de Vecht,5.013572,52.240681,129479.99,472579.39,"POLYGON ((129456.296 472644.379,129469.945 472600.169,129477.775 472574.625,129504.627 472582.966,129480.858 472657.881,129473.788 472655.686,129475.597 472650.396,129456.296 472644.379))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Tienhoven,WK190407,Tienhoven-Oud Maarsseveen,WK19040703,1904010000033319,Westbroekse Binnenweg,23,e,,3612AG,Tienhoven,5.100216,52.144472,135355.57,461848.3,"POLYGON ((135350.07 461848.394,135357.912 461842.902,135361.346 461848.145,135353.573 461853.483,135350.07 461848.394))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,1904010000033350,De Plassen Zuid,313,,,3621PZ,Breukelen,5.040154,52.173143,131259.57,465056.1,"POLYGON Z ((131256.583 465057.71 0,131256.957 465053.922 0,131262.613 465054.509 0,131262.133 465058.297 0,131256.583 465057.71 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Loenen aan de Vecht,WK190403,Polder Holland,WK19040301,1904010000033354,Rijksstraatweg,177,a,,3632AC,Loenen aan de Vecht,5.010407,52.21481,129248.79,469702.11,"POLYGON Z ((129253.27 469708.426 0,129241.23 469705.435 0,129243.591 469695.613 0,129256.48 469698.898 0,129253.855 469708.571 0,129253.27 469708.426 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Kockengen,WK190405,Portengense Brug,WK19040506,1904010000033471,Portengen,62,a,,3628EG,Kockengen,4.958993,52.160913,125699.67,463725.1,"POLYGON Z ((125697.269 463722.804 0,125700.942 463717.433 0,125707.405 463721.336 0,125699.854 463732.341 0,125690.589 463726.115 0,125694.237 463720.935 0,125697.269 463722.804 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Tienhoven,WK190407,Molenpolder,WK19040701,1904010000033318,Westbroekse Binnenweg,10,,C2,3612AH,Tienhoven,5.084193,52.146721,134259.83,462102.89,"POLYGON ((134251.754 462099.523,134253.464 462098.185,134254.079 462099.12,134256.87 462096.94,134259.991 462101.386,134262.54 462099.36,134265.471 462103.628,134260.413 462107.549,134261.607 462108.883,134259.69 462110.344,134251.754 462099.523))"
