OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,Z,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT,GELDIG_VANAF,PUBLICATIEDATUM,IN_GEBRUIK,PRORAIL_GEBIED,LATITUDE,LONGITUDE,KM_GEOCODE
23,93c10625-36b8-407f-a53d-40dd8e1e3bdb,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,057617",25.883033,"25,883033",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,203001.62599999,502010.194,2.959,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50367427,6.09416858,3.057617
24,2366ed26-1c22-4aab-a246-d9af3ae2fea4,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,"1,379672",16.709198,"16,709198",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,201871.76,501694.44,2.615,Zwolle Rangeerterrein,ZLR,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50093471,6.07748493,1.379672
25,267c1681-8301-463d-81eb-477aac4b0405,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,442652",-0.569967,"-0,569967",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,203338.177,501831.222,2.02899999,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50203624,6.09909895,3.442652
26,6262d9c0-4285-49e1-883c-92e2924d1bf9,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,"1,558723",6.708501,"6,708501",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,201900.383,501870.606,2.742,Zwolle Rangeerterrein,ZLR,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50251542,6.07793119,1.558723
27,6b212dbe-f730-4334-a791-857090067b18,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,422001",-11.758194,"-11,758194",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202468.803,502358.08,2.581,,,,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50684716,6.08637131,2.422001
28,23606476-1647-4e9d-8def-3c1b86ad2379,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,059221",6.859386,"6,859386",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202115.041,502307.68099999,2.71499999,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50642484,6.08115405,2.059221
29,20941acb-599c-40e8-bf18-732ba83099ed,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,883960",-16.129173,"-16,129173",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202872.784,502131.47499999,1.936,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50477549,6.09228856,2.88396
30,6dc9856b-a571-4347-8639-9ac15302a2ff,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,"0,956212",-34.305243,"-34,305243",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,201716.847,501296.33399999,2.891,Zwolle Rangeerterrein,ZLR,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.49737028,6.07514797,0.956212
31,dd1a7003-4843-443c-be9c-41959a86e586,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,"1,770604",9.239255,"9,239255",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,201954.777,502075.63,2.846,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50435325,6.07876107,1.770604
32,0b8021c4-5676-4e65-9f01-9c533029c872,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,534282",7.28357,"7,283570",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202559.314,502291.118,2.689,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50623752,6.0876948,2.534282
33,888a9ef8-2a0a-4a74-96d0-5cd07dd464c3,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,100603",6.654677,"6,654677",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202152.651,502328.613,2.826,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50660971,6.08171091,2.100603
34,968f1a4d-c497-4091-90d7-0bfe1cbdb72e,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,099685",8.846345,"8,846345",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,203047.391,502005.324,3.03299999,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50362648,6.09484185,3.099685
35,fba53f6f-8acc-4432-ba12-fd360d6eb94b,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,758471",24.959719,"24,959719",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,203596.872,501647.24599999,2.822,Zwolle,ZL_NEDTRAIN,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50035996,6.10288175,3.758471
36,e7650176-4f88-4d76-aaec-179f007c8f3b,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,359178",13.209045,"13,209045",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202401.141,502352.981,2.573,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50680721,6.08537407,2.359178
37,d8afe700-d0ee-4c6d-9c21-e4575b3af8fa,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,517238",20.718112,"20,718112",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202538.27499999,502288.293,2.581,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50621396,6.08738454,2.517238
38,d79b000f-f31e-4e9f-bcfa-ba8c68a3d117,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,"0,884838",-13.153524,"-13,153524",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,201714.71599999,501221.352,2.85199999,Zwolle Rangeerterrein,ZLR,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.49669661,6.0751061,0.884838
39,c9cf2b9d-6930-4fa6-80ab-e9e2f75ac5a5,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,597257",-10.086438,"-10,086438",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202620.135,502274.076,2.94,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50607907,6.08858811,2.597257
40,13ceee7f-5577-4deb-ae54-34faeb554422,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,709437",11.402163,"11,402163",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,203561.413,501684.234,3.047,Zwolle,ZL_NEDTRAIN,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50069551,6.10236498,3.709437
41,f24eaf66-44a9-4c1d-b491-2ca43109f30b,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,537292",-5.535639,"-5,535639",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202568.50599999,502300.51299999,1.99,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50632115,6.08783151,2.537292
42,c44b9b73-4dfe-4905-aaf8-2a0aa69b9652,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,"0,788268",-21.388031,"-21,388031",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,201669.972,501131.13699999,1.80499999,Zwolle Rangeerterrein,ZLR,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.49588969,6.07443465,0.788268
43,b783dfff-7106-4393-a3f7-4d11a4580f06,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,266470",-10.22915,"-10,229150",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,203193.995,501933.955,1.99,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.5029722,6.09699054,3.26647
44,01126f44-0a39-422c-a976-5edfe20ffd82,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,534730",7.252068,"7,252068",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202559.69899999,502290.918,2.689,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50623569,6.08770044,2.53473
45,7897db34-12e9-478a-a1bf-b4c49e8e70ef,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,004402",41.279935,"41,279935",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202946.605,502021.798,2.858,Zwolle,ZL_NEDTRAIN,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50378338,6.09335997,3.004402
46,579f47ad-d449-4784-a54d-890b17dc2152,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,327993",-4.105471,"-4,105471",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,203241.68299999,501895.06199999,2.03399999,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50261847,6.09768719,3.327993
47,6d897f09-2c3f-476e-a5a5-3d78c9ff5a6d,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,260662",-46.862808,"-46,862808",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202304.89499999,502420.231,2.74699999,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.5074199,6.08396612,2.260662
48,b04c0abd-3282-401e-ae2e-5988c78847b5,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,425824",4.465294,"4,465294",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,203321.22,501835.57799999,2.754,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50207688,6.09884987,3.425824
49,f61f7167-3901-4e58-a624-268f0e6b78b9,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,029730",38.271248,"38,271248",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202970.77799999,502012.454,2.85999999,Zwolle,ZL_NEDTRAIN,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50369728,6.09371461,3.02973
50,9d656bdb-b0b7-42e4-853d-679f7dbb4741,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,492989",-10.001667,"-10,001667",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202532.774,502326.678,2.798,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.5065594,6.08730899,2.492989
51,641b5415-f360-442d-b110-214deb0da3ca,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,"0,789422",-21.566856,"-21,566856",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,201670.29399999,501132.336,1.788,Zwolle Rangeerterrein,ZLR,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.49590044,6.07443956,0.789422
52,e753ba05-5111-4096-bc65-83f92c147a28,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,735125",13.9453,"13,945300",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,203582.329,501668.77,2.819,Zwolle,ZL_NEDTRAIN,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50055468,6.10267073,3.735125
53,3428576b-56d0-4411-a137-41808f409c48,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,"1,486649",24.721762,"24,721762",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,201900.692,501797.041,2.819,Zwolle Rangeerterrein,ZLR,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50185428,6.0779254,1.486649
54,7d212239-a241-446f-9fe5-84558d9c8c4d,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,607672",38.910781,"38,910781",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202604.30499999,502226.543,2.90399999,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50565328,6.08834819,2.607672
