ID,VOLGNUMMER,BEPERKINGTYPE,ORGAAN,KENMERK,REGISTERNUMMER,OMSCHRIJVING,DATUM_BESLUIT,AARD,STATUS,inside_x,inside_y,inside_lat,inside_lon
1381,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1430,"Monument - Noordmolenstraat 2 : v.m. molenaarswoning, hoek noordvest 65",19960618,Opleggen,Geregistreerd,86874.96750000001,437330.77521550126,51.920284122086926,4.396906740406744
1383,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1432,Monument - Oude Sluis 17 / Prinsensteeg 1 : cafe met bovenwoning,19941011,Opleggen,Geregistreerd,86832.39100000015,437117.2436540699,51.91835986422392,4.396330230478592
1392,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1439,Monument - Schie 3 : v.m. branderij/pakhuis,19940809,Opleggen,Geregistreerd,86958.57449999999,437158.37153514964,51.9187449339029,4.398156016138368
1394,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1441,Monument - Korte Kerkstraat 1 / Nieuwstraat 43 (& b) : winkel/woonhuis,19950224,Opleggen,Geregistreerd,86969.2885,437045.8542221576,51.91773503233934,4.398333982191685
916,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,926,wet monumenten bescherming - Hoogstraat 159 : pand,19950224,Opleggen,Geregistreerd,86906.11219613746,437053.753,51.91779829124241,4.397414242777353
984,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,992,wet monumentenbescherming - Hoogstraat 151 (a & b) : winkel/woonhuis,19940809,Opleggen,Geregistreerd,86896.2076680309,436994.86399999994,51.917267833762125,4.397281951880337
887,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,897,wet monumenten bescherming - Buitenhavenweg 7 (a) : v.m. school,20040907,Opleggen,Geregistreerd,87239.26768979954,436635.941,51.91408401659075,4.402338470779129
892,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,902,wet monumenten bescherming - Burg. Knappertlaan 132 : herenhuis,20030325,Opleggen,Geregistreerd,86313.95450000021,436353.1608065992,51.91142917333108,4.388947941876794
893,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,903,wet monumenten bescherming - Burg. Knappertlaan 130 : herenhuis,20030325,Opleggen,Geregistreerd,86328.77849999999,436351.8800040955,51.91141949215588,4.389163612139079
894,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,904,wet monumenten bescherming - Burg. Knappertlaan 120 : villa,20030325,Opleggen,Geregistreerd,86401.63450000086,436349.30025437975,51.91140529376752,4.390222832039552
914,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,924,wet monumenten bescherming - Hoogstraat 78 : winkel/woonhuis,19941011,Opleggen,Geregistreerd,86985.42160360594,436768.2315,51.9152419625198,4.398623334886016
1553,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1520,Monument - Singel 157 : herenhuis,20030325,Opleggen,Geregistreerd,87523.30245870343,437272.4805,51.91983923262169,4.40634133668183
895,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,905,wet monumenten bescherming - Dam 25 (a & b) : winkel/woonhuis,19950516,Opleggen,Geregistreerd,86722.01699999996,437057.2055626274,51.91780675761063,4.394737998501438
898,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,908,wet monumenten bescherming - Dam 2 / Nieuwe Sluisstraat 1 / Nieuwe Sluisstraat 3 : winkel/woonhuis,19930831,Opleggen,Geregistreerd,86849.92350000009,437068.2398318342,51.917921606837915,4.396594750801052
905,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,915,wet monumenten bescherming - Grote Markt 7 : winkelwoonhuis,19950815,Opleggen,Geregistreerd,86966.62350000002,437080.5968034692,51.91804694382731,4.398288379853513
907,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,917,wet monumenten bescherming - Grote Markt 41 / Ooievaarsteeg 1 : cafe/woonhuis,19940815,Opleggen,Geregistreerd,86975.2995,437152.00304756593,51.91868974449382,4.398400354566542
912,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,922,wet monumenten bescherming - Hoofdstraat 293 / Hoofdstraat 295 : woonhuis-bedrijfspand,20030325,Opleggen,Geregistreerd,87520.73945013943,436010.070405571,51.908493403707865,4.4065516486349345
908,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,918,wet monumenten bescherming - Grote Markt 12 : winkel/woonhuis,19940815,Opleggen,Geregistreerd,87009.93924045272,437124.848,51.91844993191595,4.398909170594814
913,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,923,wet monumenten bescherming - Hoofdstraat 42-46 : woonhuis-bedrijfspand,20030325,Opleggen,Geregistreerd,87533.50699269847,436042.69200000004,51.90878812836458,4.406730774436129
915,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,925,wet monumenten bescherming - Hoogstraat 126 (& b) : winkel/woonhuis,19950224,Opleggen,Geregistreerd,86913.7503174759,436897.89450000005,51.91639849983625,4.397556096003248
985,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,993,wet monumentenbescherming - Hoogstraat 145 (a) : winkel/woonhuis,19940809,Opleggen,Geregistreerd,86893.60684729999,436981.49429904006,51.91714735968237,4.397246799746151
