;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Hotel 96 B.V.;;1;;1
Hotel Baars;;1;;1
Hotel Café Restaurant Duhoux;;1;;1
Hotel Café Restaurant Nap;;1;;1
Hotel De Koophandel B.V.;1;;;1
Hotel De Witte Dame;;1;;1
Hotel Drachten B.V.;;1;;1
Hotel Dux;;1;;1
Hotel Exploitatie Kerckebosch B.V.;;1;;1
Hotel Groningen-Hoogkerk B.V.;;1;;1
Hotel Mercure Noordwijk;;1;;1
Hotel New York B.V.;;1;;1
Hotel Post Plaza B.V.;;1;;1
Hotel Roermond B.V.;;1;;1
Hotel t Koningsbed V.O.F.;;1;;1
Hotel Vianen B.V.;;1;;1
Hotel Wieringermeer B.V.;;1;;1
Hotel Zaltbommel B.V.;;1;;1
Hotel/Restaurant Anna Casparii;1;;;1
Hotel-Café-Restaurant De Biltsche Hoek;;1;;1
Hotel-Café-Restaurant Haarhuis;;1;;1
Hotel-Café-Restaurant 'Zeezicht';;1;;1
Hotelexpl.mij. Stationsstraat Amersfoort B.V.;;1;;1
HR groep Hattem Techniek;;;1;1
Huize Molenaar B.V.;;1;;1
Hutten Business Catering B.V.;;1;;1
Ibis Amsterdam Airport;;1;;1
Ibis Styles Den Haag City Centre B.V.;;1;;1
Igluu B.V.;;1;;1
Impact Company;;1;;1
INBC Verhuur B.V.;;1;;1
Initial;2;;;2
Inn Events Company B.V.;;1;;1
Inspiration Point B.V.;;1;;1
Instituut voor Wijsbegeerte B.V.;;1;;1
ISS Integrated Facility Services B.V.;;1;;1
Isuzu Benelux;;;1;1
ITS Hendrion B.V.;;;1;1
J. Bos Vastgoed B.V.;2;;;2
Jaarbeurs B.V.;;1;;1
Jaarbeurs Catering Services B.V.;;2;;2
Jac. den Dulk en Zonen B.V.;1;;;1
Jachthaven Hindeloopen B.V.;;;1;1
Janoq B.V.;;1;;1
Janskerkhof B.V.;;1;;1
Jouw Zaal;;1;;1
Jozua Aanhangwagens B.V.;;;1;1
JoZZP;;1;;1
Jungheinrich Nederland B.V.;;;1;1
JuRo Horeca;;1;;1
Kaap Doorn B.V.;;2;;2
Kameryck B.V.;;1;;1
Kantien B.V.;;1;;1
Kees Leijen & Zoon Olieprodukten;2;;;2
King Arthur B.V.;;1;;1
KLM;;1;;1
Ko van den Berg Aanhangwagencentrum;;;1;1
Kok Party-Catering Service;;1;;1
Koninklijk Instituut van Ingenieurs;;2;;2
Korte Poten 1-3 B.V.;;1;;1
Kossen Dynamics B.V.;;;1;1
KPN Consulting B.V.;;1;;1
Kuipers Woudsend B.V.;7;;7;7
La Place Food B.V.;;1;;1
