Leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Cesar Moerman Communicatie;;1;;;;;1
CFF Communications B.V.;;2;;;;;2
CGI Nederland B.V.;;4;;;;;4
Change Forward;;3;;;;;3
Chatik International;;2;;;;;2
Cherry Tree Consultancy;;1;;;;;1
ChiPro GmbH;;4;;;;;4
Ciconia Aviation Services B.V.;;2;;;;;2
Cimsolutions;7;;;;;;7
Cinop Advies B.V.;;2;;;;;2
Cit Industriell Energi Ab;;1;;;;;1
Citaat V.O.F.;;3;;;;;3
Clafis Engineering Noord B.V.;;2;;;;;2
Clifford Warwick;;2;;;;;2
Climate Focus B.V.;;1;;;;;1
Climate Sense;;2;;;;;2
Climatic Design Consult;;1;;;;;1
Clipit News B.V.;;1;;;;;1
CLM Onderzoek en Advies B.V.;;3;;;;;3
clothing connect B.V.;;4;;;;;4
CloudVPS;;1;;;;;1
CMS Derks Star Busmann;;1;;;;;1
CMS Derks Star Busmann - Amsterdam;;1;;;;;1
CNV Connectief;;;;1;;;1
CoÃ¶p. Adv.centr. Besch. Vit. Infrastruct. UA;;2;;;;;2
CoÃ¶peratie Generous Minds UA;;2;;;;;2
CoÃ¶peratie Oranje Energie UA;;2;;;;;2
CoÃƒÂ¶p. Energie Dienstenbedrijf Rivierenland B;;1;;;;;1
CoÃƒÂ¶peratie AXXIA UA;;2;;;;;2
CoÃƒÂ¶peratie Royal FloraHolland UA;;2;;;;;2
COCOCAN;;2;;;;;2
CODA-CERVA;;1;;;;;1
Commission for Environmental Assessment;;3;;;;;3
CommPartners;;1;;;;;1
Communicatiebureau De Lynx B.V.;;2;;;;;2
COMPAREX Nederland B.V.;1;;;;;;1
Compass;;3;;;;;3
Compass Group Belgilux;;1;;;;;1
Competa It B.V.;;1;;;;;1
Competence Management Consulting Ltd.;;1;;;;;1
Conico Valves B.V.;;1;;;;;1
Considerati B.V.;;1;;;;;1
Consorcio Ecuatoriano para la Responsabilidad Social;;2;;;;;2
Consultancy Bureau Santema;;1;;;;;1
Consumentenbond;;1;;;;;1
ConsumerView Group Ltd;;2;;;;;2
Contenemos;;2;;;;;2
Continental Bakeries B.V.;;;;1;;;1
Control Union Certifications B.V.;;2;;;;;2
Coöperatie De Betekenaar UA;;1;;;;;1
Coöperatief Congrestolkensecretariaat UA;;2;;;;;2
Coöperatief Nevasco UA;;2;;;;;2
Coöperatieve Circle Economy UA;;1;;;;;1
Coöperatieve Publieke Versnellers UA;;2;;;;;2
Coöperatieve Vereniging SAMEEN UA;;1;;;;;1
Copper8 B.V.;;3;;;;;3
Cornelissen Consulting Services B.V.;;3;;;;;3
Corner Aid;;2;;;;;2
Corporate Facility Partners B.V.;;2;;;;;2
Corten Advocaten;;;;1;;;1
Corten Marine Research;;1;;;;;1
Corviant;;1;;;;;1
Cota B.V.;;2;;;;;2
Cotecna Inspection Services B.V.;;1;;;;;1
Cotrust B.V.;;2;;;;;2
CottonConnect Limited;;3;;;;;3
Courage, Stichting Innovatie Rundveehouderij;;2;;;;;2
Cownexxion;;2;;;;;2
Co-Zijn Coaching;;1;;;;;1
CR Management Consultancy;;2;;;;;2
Craft Afrika;;1;;;;;1
Crazy About Water Pte Ltd;;2;;;;;2
Cre-Aid B.V.;;1;;;;;1
Creatieve Koppen B.V.;;1;;;;;1
Creating Perspective;;2;;;;;2
Creatz;;1;;;;;1
CREM;;4;;;;;4
Crisislab;;2;;;;;2
Crisisplan B.V.;;2;;;;;2
CSIR - Food Research Institute;;1;;;;;1
Cybery B.V.;;3;;;;;3
DAC Zutphen-Laren;;1;;;;;1
Daccle B.V.;;3;;;;;3
Dagvoorzitter.nl;;1;;;;;1
Daily Business;;2;;;;;2
Dammers Interaction;;2;;;;;2
DatacenterAdvies.nl;;2;;;;;2
Dataland B.V.;;2;;;;;2
DBI Gas- und Umwelttechnik GmbH;;2;;;;;2
De Advocaten van Van Riet B.V.;;1;;;;;1
De Architectencombinatie Oeverzaaijerlyongo;;1;;;;;1
De Argumentenfabriek B.V.;;2;;;;;2
De Argumentenfabriek Groep B.V.;;2;;;;;2
De Baaij, Verbeeten & Partners B.V.;;4;;;;;4
De Booij Express;;1;;;;;1
De Booij Party- en Congresarchitekten;;1;;;;;1
De Brauw Blackstone Westbroek N.V.;;;;4;;;4
De CoÃƒÂ¶peratieve Samenleving BA;;1;;;;;1
De Galan Groep B.V.;;5;;;4;;5
De Gemeynt Coöperatie UA;;5;;;;;5
De Goede Advocatuur en Consultancy;;;;1;;;1
De Goede Peer B.V.;;1;;;;;1
De Graaf Onderzoek en Advies;;2;;;;;2
De Groene Zaak;;3;;;;;3
De Groene Zaak, Ond. voor een Duurz. Economie;;2;;;;;2
De Heus Opleidingsconsultancy;;2;;;;;2
De Hypotheekshop;;1;;;;;1
De investeringsmaatschappij;;3;;;;;3
De Klantcontact Monitor B.V.;;1;;;;;1
De Kwartiermakers Huub Janssen;;2;;;;;2
De Laar B.V.;;1;;;;;1
De Laarhoeve B.V.;;1;;;;;1
De Merkplaats B.V.;;1;;;;;1
de Mevrouwen;;2;;;;;2
De Nederlands-Vlaamse Bouwfysica Vereniging;;1;;;;;1
De Noorman;;2;;;;;2
De Oestervisser B.V.;;1;;;;;1
De Oude Bibliotheek B.V.;;3;;;;;3
de PrÃ©sence;;3;;;;;3
De Stadskwekerij B.V.;;1;;;;;1
De Staffing Groep Nederland B.V.;10;3;;;;;10
De Vlinderstichting;;3;;;;;3
De Waard Eetbaar Landschap;;2;;;;;2
de Wijkondernemer;;1;;;;;1
De Wijkplaats B.V.;;1;;;;;1
De Winkel van Sinkel B.V.;;1;;;;;1
De Zevensprong Coöperatie UA;;1;;;;;1
Debat.NL B.V.;;1;;;;;1
Debbee Dale Development Limited;;1;;;;;1
DECHEMA Ausstellungs-GmbH;;1;;;;;1
Decisio B.V.;;3;;;;;3
Decoded;;2;;;;;2
Deerns Nederland B.V.;;1;;;;;1
defKon Solutions;;2;;;;;2
DEKOM B.V.;1;;;;;;1
DEKRA Certification B.V.;2;1;;;;;2
Deloitte Belastingadviseurs B.V.;;1;;;;;1
Deloitte Consulting B.V.;;4;;;4;;5
Delphy B.V.;;4;;;;;4
Delta Park Neeltje Jans B.V.;;2;;;;;2
Demi Sec;;1;;;;;1
Demi-Sec Secretariële- en Typewerkzaamheden;;1;;;;;1
deNies;;1;;;;;1
Denk B.V.;;2;;;;;2
Denkschets.nl;;1;;;;;1
Deskbookers;;1;;;;;1
Det Norske Veritas B.V.;;1;;;;;1
Det Norske Veritas Danmark;;3;;;;;3
Deutsche Gesellschaft Für Internationale Zusammenarbeit GmbH;;6;;;;;6
Development Analysis and Research Team DART;;2;;;;;2
DGEG;;2;;;;;2
DGMR Raadgevende Ingenieurs B.V.;;4;;;;;4
DHI;;3;;;;;3
DhUET Duurzaam Ontwikkelen;;1;;;;;1
Diabel NDAW;;2;;;;;2
Dialogic Innovatie & Interactie;;6;;;;;6
Dialogic Innovatie & Interactie B.V.;;2;;;;;2
Diep Onderzoek;;1;;;;;1
Dierenartspraktijk De Kanaalstreek;;1;;;;;1
Dierenkliniek Muggenburg;;1;;;;;1
Dierenzorggroep B.V.;;1;;;;;1
Dierenzorggroep Brabant B.V.;;1;;;;;1
Difco International B.V.;;5;;;;;5
DIG - Design Innovation Group B.V.;;3;;;;;3
Dikhoff Advies;;1;;;;;1
Direct Teleservice B.V.;;;1;;;;1
Dirks Water Advisory Services;;1;;;;;1
Display Concepts B.V.;;1;;;;;1
Ditty Blom Plan+Project;;1;;;;;1
DLV Intensief Advies B.V.;;1;;;;;1
DNV GL Netherlands B.V.;;3;;;;;3
Doekle Terpstra Advies;;3;;;;;3
Dokkumer Vlaggen Centrale B.V.;;1;;;;;1
Domucantus B.V.;;3;;;;;3
Donki Gotte;;1;;;;;1
Donna Wilson Ltd.;;2;;;;;2
DotX Control Solutions B.V.;;2;;;;;2
DPI Animation House B.V.;;2;;;;;2
Dr2 New Economy B.V.;;2;;;;;2
DrÃ¶ge&V. Drimmelen, Corp.Comm.&Publ.Aff. B.V.;;4;;;;;4
Drawin';;1;;;;;1
DRRR GmbH;;1;;;;;1
DucaRes B.V.;;1;;;;;1
Duff & Phelps;;2;;;;;2
Dunea N.V.;;1;;;;;1
DuneWorks B.V.;;1;;;;;1
Dutch Aquaculture Experts;;2;;;;;2
Dutch Association Geothermal Operators (DAGO);;2;;;;;2
dutch group B.V.;;2;;;;;2
Dutch Innovation Centre for Electric Road Transport;;2;;;;;2
Dutch Operat. Train. Equipm. Services (DOTES);;1;;;;;1
Dutch Research Institute for Transitions B.V.;;3;;;;;3
Duynstate Advies;;1;;;;;1
DWA B.V.;;1;;;;;1
Dwarsverband;;2;;;;;2
E & M Exportmanagement B.V.;;1;;;;;1
E Coltdgroup;;2;;;;;2
E4 Consulting;;2;;;;;2
ECCSEL ERIC;;2;;;;;2
ECN Wind Energy Facilities B.V.;;4;;;;;4
Ecoauthor;;2;;;;;2
Eco-Call Services;;1;;;;;1
Ecofys Netherlands B.V.;;4;;;;;4
Eco-movement B.V.;;2;;;;;2
Economic Insights Pty Ltd;;3;;;;;3
E-Control;;1;;;;;1
ECORYS Nederland B.V.;;6;;;;;6
EcoVision N.V.;;2;;;;;2
EdDDD;;1;;;;;1
Edelmetaal Waarborg Nederland B.V.;1;;;;;;1
EDEN CAFFE S.R.L.;;1;;;;;1
EDM-Competence Centre B.V.;;1;;;;;1
Ednoco LLC;;3;;;;;3
Edurne Quincoces;;2;;;;;2
EdwiseConsult;;1;;;;;1
EED Advisory;;2;;;;;2
Eenmooietoekomst B.V.;;4;;;;;4
EFSA(European Food Safety Authority);;2;;;;;2
EHM Hotel Papendrecht Exploitatiemaatschappij;;1;;;;;1
Eiffel B.V.;;6;;;;;6
Eigeman-ID;;2;;;;;2
Ekwadraat Advies B.V.;;2;;;;;2
Elastomer Research Testing B.V.;;1;;;;;1
Elba-Rec;;1;;;;;1
Elvenstone Networks;;1;;;;;1
Elzinga & Oterdoom Procesmanagement LLP;;4;;;;;4
EMMA Communicatie B.V.;;3;;;;;3
EMMENEL B.V.;;2;;;;;2
Emobility Consulting;;2;;;;;2
Employee Performance Group B.V.;;2;;;;;2
Enact Sustainable Strategies B.V.;;2;;;;;2
enbolivia.com srl.;;2;;;;;2
Enclude B.V.;;3;;;;;3
Ener-D;;1;;;;;1
Energetic Solutions B.V. i.o.;;2;;;;;2
Energie ambassadeur;;2;;;;;2
Energieonderzoek Centrum Nederland;;5;;;;;5
Energiepartners;;1;;;;;1
enerGQ B.V.;;2;;;;;2
Energy Circle B.V.;;1;;;;;1
Energy Matters;;2;;;;;2
Energy Research Institute of Ndrc;;3;;;;;3
Enriched Environments B.V.;;1;;;;;1
Entocare C.V.;;1;;;;;1
Entopic B.V.;;3;;;;;3
Enviu B.V.;;2;;;;;2
EplanA B.V.;;1;;;;;1
Epro Consult B.V.;;2;;;;;2
Erdbohr und Handel GmbH;;1;;;;;1
Ergo B.V.;;2;;;;;2
Ernst & Young Accountants LLP;;6;;;;;6
Ernst & Young Nederland LLP;;1;;;;;1
ESB B.V.;;2;;;;;2
Estate Hosting B.V.;;1;;;;;1
Estheticon;;1;;;;;1
Ethics at Work;;2;;;;;2
Eufores;;1;;;;;1
Eur. Cent. for Agricultural Tourism Internat.;;2;;;;;2
Eur. Regional Affairs Consultants (Erac) B.V.;;2;;;;;2
Eurasian Perspective;;1;;;;;1
Eurobras Trading;;4;;;;;4
Euromonitor International;;1;;;;;1
European And Mediterranean Plant Protection Organization;;1;;;;;1
European Fund Management Consulting OÜ;;2;;;;;2
European Space Imaging;;1;;;;;1
EV Consult B.V.;;3;;;;;3
Evangelische Gemeente Ten Boer;;1;;;;;1
Everest Energy B.V.;;2;;;;;2
Everts Geotechniek B.V.;;2;;;;;2
Everybody Likes Penguins B.V.;;2;;;;;2
Evidente;;1;;;;;1
Evite Services B.V.;;2;;;;;2
Experience;;2;;;;;2
Explanimates;;1;;;;;1
Exploitatiemaatschappij Hotel Best B.V.;;1;;;;;1
Explosive Clearance Group B.V.;;1;;;;;1
Expo Display Service;;1;;;;;1
Expo-id;;2;;;;;2
EXTERUS B.V.;;1;;;;;1
Eye Film Instituut Nederland;;1;;;;;1
Eye On Orbit;;1;;;;;1
FACTO GEO;;1;;;;;1
Factor Vijf;;2;;;;;2
Fair & Sustainable Ethiopia;;2;;;;;2
Fair Venture Consulting Limited;;4;;;;;4
Fairventures Worldwide FVW gGmbH;;1;;;;;1
FAO Food and Agriculture Organisation of the United Nations;;7;;;;;7
Fashion Production Solutions;;3;;;;;3
FEB Development;;1;;;;;1
Federatie Particulier Grondbezit;;2;;;;;2
Federatie Textielbeheer Nederland;;2;;;;;2
FeitH B.V.;;;;1;;;1
FERA SCIENCE LTD;;2;;;;;2
Fiduciaria Colombiana de Comercio Exterior S.A FIDUCOLDEX;;1;;;;;1
Figueres Consultancy;;2;;;;;2
Firma Van Rijsbergen;;2;;;;;2
Fiscaal Economisch Instituut B.V.;;2;;;;;2
Fletcher Hotel Exploitaties B.V.;;1;;;;;1
Flexiblepower Alliance Network;;2;;;;;2
Flirt!;;1;;;;;1
FloodConsult;;2;;;;;2
Flower Watch Kenya Ltd.;;2;;;;;2
Flycatcher Internet Research B.V.;;1;;;;;1
Flying Elephants;;2;;;;;2
Flynth adviseurs en accountants B.V.;;2;;;;;2
FMO Investment Management B.V.;;4;;;;;4
FMS Advisers B.V.;;2;;;;;2
Focal Point B.V.;;1;;;;;1
Foglet;;2;;;;;2
Folkline;;3;;;;;3
Food Cabinet B.V.;;1;;;;;1
Food Synectics;;2;;;;;2
Forest Tree;;1;;;;;1
Forestry Service;;2;;;;;2
Forward in fashion B.V.;;1;;;;;1
Forzes;;2;;;;;2
Foto Video en Telecom Vaszlovszky B.V.;;1;;;;;1
Fox-IT;4;;;;;;4
Fraai Projecten B.V.;;1;;;;;1
Frames Renewable Energy Solutions B.V.;;2;;;;;2
Fraunhofer isi;;2;;;;;2
Fresh Studio Innovations Asia Ltd;;2;;;;;2
Freshplaza B.V.;;1;;;;;1
Friso Advies;;2;;;;;2
Frontier Economics Ltd;;4;;;;;4
Fruit Consultancy Europe B.V.;;3;;;;;3
Fryske Utfieringstsjinst Miljeu en Omjouwing;;1;;;;;1
Fugro Netherlands Marine B.V.;;4;;;;;4
Fugro NL Land B.V.;;2;;;;;2
Fugro Oceanor As;;5;;;;;5
Fugro Survey B.V.;;7;;;;;7
Future Motions;;2;;;;;2
FutureWater;;6;;;;;6
GaiaPark B.V.;;3;;;;;3
Gartner Nederland B.V.;4;2;;;;;4
Gas and Oil technologies Collaboration Program (GOT CP);;2;;;;;2
Gasunie Engineering B.V.;;2;;;;;2
General Chemical State Laboratory;;1;;;;;1
GenomeScan B.V.;;4;;;;;4
Geocontrol;;1;;;;;1
Geocycli B.V.;;2;;;;;2
Geonius Geotechniek B.V.;;1;;;;;1
Geostructures;;1;;;;;1
GerVin Enterprise;;1;;;;;1
Geschreven en Gedrukt;;1;;;;;1
Gezondheidsdienst voor Dieren;;4;;;;;4
GFK Panel Services Benelux;;2;;;;;2
GFM Decorations B.V.;;1;;;;;1
GGN van Mastrigt & Partners;;1;;;;;1
GGNI International B.V.;;4;;;;;4
GH+O;;2;;;1;;2
Ghana Netherlands Business and Culture Council;;2;;;;;2
Gielissen's Bedrijven B.V.;;3;;;;;3
Gimaris;;3;;;;;3
Giraffe Consulting Limited;;2;;;;;2
GJM Communicatie B.V.;;1;;;;;1
Globalink Consulting;;2;;;;;2
Globally Cool B.V.;;5;;;;;5
Gloudemans;;1;;;;;1
GMBS Business Support;;2;;;;;2
Go Global Egypt;;2;;;;;2
Go! Good Opportunity;;4;;;;;4
Goan Peng International;;2;;;;;2
Goderie B.V.;;1;;;;;1
Goed nieuws uit Groningen;;1;;;;;1
Going Places Tours and Travel;;1;;;;;1
Golden Tulip Hotel De Reiskoffer;;1;;;;;1
Good Fish Foundation (Stichting Goede Vis);;4;;;;;4
Gooiconsult Academie B.V.;;1;;;;;1
Grand HÃ´tel AmrÃ¢th Kurhaus B.V.;;1;;;;;1
Grand Kasteel Woerden B.V.;;1;;;;;1
Grant Thornton Executives B.V.;;2;;;;;2
Grapes Consultancy;;1;;;;;1
Gravioli;;1;;;;;1
Green Bridges Energy Environment;;2;;;;;2
Green Dream Productions B.V.;;1;;;;;1
Green Farming;;2;;;;;2
Green Heart Tourism;;1;;;;;1
Green Works Consultancy;;2;;;;;2
Greenbizstartup;;2;;;;;2
Greenhouse Marketing & Innovation B.V.;;2;;;;;2
Greenport Holland;;4;;;;;4
Groeistrategen;;1;;;;;1
Groene Vaert B.V.;;3;;;;;3
Groenholland B.V.;;1;;;;;1
Group 2000 Nederland B.V.;;6;;;;;6
GTM-Advanced Structures B.V.;;2;;;;;2
GuruScan B.V.;;2;;;;;2
