OBJECTID,PUIC,REF_WISSEL_KRUISING_PUIC,NAAM,HOEKVERHOUDING,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_T,OFFSET,OFFSET_T,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,OPC_GEBIED_NAAM,OPC_GEBIED_NR,TECHNIEKVELD,PGO_GEBIED_NAAM,BEHEERDER,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT,X,Y,Z,REF_WISSEL_KRUISING_NAAM,PGO_GEBIED_NR,GELDIG_VANAF,PUBLICATIEDATUM,PCA,IN_GEBRUIK,PRORAIL_GEBIED,LATITUDE,LONGITUDE,KM_GEOCODE
21,1d5eeadf-f72f-463b-9b55-df774fd7dc74,7682e33b-dc78-4276-b7a6-cf109a88631e,117B/119A,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"51,037362",1.759527,"1,759527",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV,PPLG,161959.477,383881.837,18.143,117B/119A,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44398653,5.48730434,51.037362
22,d6379459-ac79-4eb5-92b0-f335f2510403,38ecd03a-924a-4ba3-b8b8-7ec9932061a8,107B/117A,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"51,076765",-2.865116,"-2,865116",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV,PPLG,161920.861,383868.689,18.29299999,107B/117A,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44386882,5.48674863,51.076765
23,7f1afd30-9436-412e-af0f-c2970e422add,84d2a7fe-1b18-4092-8419-fa3a21a8a131,121B/187A,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"50,902557",-17.811696,"-17,811696",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV,PPLG,162097.00899999,383891.951,18.047,121B/187A,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44407572,5.4892828,50.902557
24,f2cd3838-1833-433b-8d39-c63d6767bf38,e3d13ef9-85de-4e3c-b4bb-b8dd5b58d19e,119B/123,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"50,993805",6.924147,"6,924147",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV,PPLG,162002.00399999,383896.401,18.108,119B/123,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44411691,5.48791633,50.993805
25,c315f05a-6ff9-4e57-91a7-f8fae6b014e7,6ea161ad-e483-4ebe-85c5-c716d4571677,185A/195B,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"50,817465",-27.83092,"-27,830920",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV,PPLG,162182.377,383901.17499999,18.033,185A/195B,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44415755,5.49051092,50.817465
26,c3cccaf5-c506-4603-9141-4d1f15e84bf7,b702cf53-8f70-42cb-9498-a9ff80ff2b26,871A/873,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"50,356138",-35.643468,"-35,643468",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV_OOSTZIJDE,NCBG,162631.79699999,383979.79499999,17.73999999,871A/873,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44485832,5.49697708,50.356138
27,35ca816f-be72-4b04-8c21-8664395c6dfe,0f189d71-e28d-44c8-b3ee-d863c9c74677,227/229,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"50,527424",-68.805485,"-68,805485",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV_OOSTZIJDE,NCBG,162470.337,383921.02399999,17.824,227/229,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44433222,5.49465335,50.527424
28,eccf8e1e-6250-4352-a630-13a2afd7ee66,9d62b2dc-bbba-42e0-bfe6-8a035d0468c3,237/239,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"50,485424",-77.509672,"-77,509672",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV_OOSTZIJDE,NCBG,162510.815,383919.755,17.858,237/239,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44432027,5.49523557,50.485424
29,d72d76b0-692d-4530-91ad-63b3b504050d,866b890a-5200-4e08-935d-54d5228f5930,115B/121A,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"51,037247",-2.739707,"-2,739707",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV,PPLG,161960.54999999,383877.466,18.167,115B/121A,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44394723,5.48731969,51.037247
30,1cdec658-d3d1-474b-81dd-c9c2106d1688,d5288632-cae9-492d-8980-707ea6a8991a,1243B/1247A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,833072",-3.139331,"-3,139331",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,105005.35799999,424608.972,1.725,1243B/1247A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80786908,4.66227785,29.833072
31,a7e4a412-4030-4ca0-b097-7e6f02c1f4e5,aa73a12b-f3df-4285-86a3-bb79be6e4dda,1171B/1177A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,133156",-9.514235,"-9,514235",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,105694.846,424477.173,0.027,1171B/1177A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80674583,4.67229345,29.133156
32,eba74c03-a456-4f24-826b-5c2d83553c75,e09c6e46-c9b2-4b8e-8023-908162c8a6c8,1167/1171A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,097346",-5.624958,"-5,624958",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,105731.206,424474.451,0.004,1167/1171A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80672458,4.672821,29.097346
33,b14ecb64-8cfc-4f44-84e4-c156c4cf5303,795c929d-2740-4a9d-bde7-89956500334e,1277B/1281,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"30,021034",-11.063716,"-11,063716",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,104818.678,424638.19,2.801,1277B/1281,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80811493,4.65956697,30.021034
34,112f9dcd-1587-4c8c-ba99-bdf615ec01f0,1047ca94-eaef-4c63-8db4-f5369865aade,1177B/1183A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,196425",-19.406146,"-19,406146",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,105629.621,424478.955,0.001,1177B/1183A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80675609,4.67134752,29.196425
35,01d74edc-a9cb-4623-a00e-d38a8afca976,03852bb6-77f8-4a8d-9573-7cc3e7f5446c,1247B/1261A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,873232",0.715407,"0,715407",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,104966.418,424620.94,2.00899999,1247B/1261A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80797316,4.66171154,29.873232
36,af6a77fa-0eed-4167-9891-c4722f3df0fb,601297a6-bb24-4f96-8d63-dd37be254433,1253B/1263A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,873332",6.728026,"6,728026",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,104967.534,424626.84899999,1.973,1253B/1263A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80802637,4.66172686,29.873332
37,ec56e124-dada-487e-90c2-8f45a91660d9,7d997c69-143e-492a-bf2b-8fb9384f9c14,1245B/1249A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,833246",7.37692,"7,376920",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,105007.31,424619.30699999,1.717,1245B/1249A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80796214,4.66230466,29.833246
38,48b6109c-656c-4157-8baa-57208c4cd579,df679077-6821-45a8-a352-f712d158fe98,1227/1229A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,738807",-13.04003,"-13,040030",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,105097.588,424580.56699999,0.985,1227/1229A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80762204,4.66361918,29.738807
39,01adb45a-41c7-48a0-bc28-34684f368504,68ee831f-0d97-49c2-a8a8-5c4152cead2d,1263B/1267A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,927061",0.354839,"0,354839",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,104913.399,424630.97399999,2.229,1263B/1267A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80805858,4.66094137,29.927061
40,95009a4e-c6e1-475f-959a-c71db8fc819c,896140fa-ab96-4cba-8b21-047357b20632,1261B/1271A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,927075",6.398298,"6,398298",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,104914.49099999,424636.918,2.248,1261B/1271A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80811211,4.66095634,29.927075
41,5b8f9312-2525-4584-9f84-aafbfa871317,5edf4fae-0a5a-4f74-acdb-9433a333ed6d,1183B/1185,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,236331",-26.056668,"-26,056668",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,105588.84299999,424478.69799999,0.023,1183B/1185,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80675017,4.67075634,29.236331
42,9b0619af-e6e7-4325-ab1a-93b0f5c3ea2b,14f1109f-4e0d-47d2-b0c9-74f3d9f6fa84,1267B/1277A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,967731",-4.051398,"-4,051398",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,104872.818,424634.04399999,2.44899999,1267B/1277A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80808253,4.66035254,29.967731
43,139119af-ac0c-4f96-b2cc-7d27f07b0a7e,95c0176d-02b8-4a20-b6f5-220053cad2e9,1151/1153A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"28,995398",0.996299,"0,996299",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,105831.568,424459.25099999,0.04,1151/1153A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80659682,4.67427826,28.995398
44,cf00bc42-e5dd-458a-ab06-c241a845e3b3,7ba1051a-cb4e-474e-94c5-29aa7f801247,1229B/1243A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,779752",-8.576271,"-8,576271",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,105057.372,424592.933,1.28899999,1229B/1243A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80772958,4.66303431,29.779752
45,ac53c238-ff38-4e1a-b6a2-c1a684602d87,87fa5233-ef19-4385-8aef-448f79bdfc1f,1251/1253A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,833313",11.905703,"11,905703",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,105008.159,424623.75599999,1.706,1251/1253A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.80800221,4.66231633,29.833313
46,456bc950-c274-4bb8-be6a-fc361df4426e,abf76364-f260-4ccf-b4cc-1aabb6a6d8b5,1233B/1245A,01:09:00,60,Bestaand,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,"29,779808",1.993083,"1,993083",Randstad Zuid,RZ,Dordrecht,5,Baan,Dordrecht,ProRail,Dordrecht,DDR,PPLG,105059.333,424603.319,1.35,1233B/1245A,140,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Holland Zuid,51.8078231,4.66306125,29.779808
