ID;GUID;NAAM;OPMERKINGEN;ZONE_NAAM;WABO;SGH;BEHEER_DERDEN;TYPE_ECOLOGISCHE_VERBINDINGSZO;BUURT_CODE;BUURT_OMSC;STADSDEEL_CODE;STADSDEEL_OMSC;WIJK_CODE;WIJK_OMSC;BEHEERGEBIEDEN_OMSC;COUNTER
4632229;{7DE360F8-56FC-47B2-828E-A2D598D72013};Zone Lozerlaan;;Groene Assen Zuidwestzone;Ja;Ja;Nee;Ecologische verbindingszone;97;Kraayenstein;1;Loosduinen;16;Kraayenstein en Vroondaal;;251
4632264;{A73D7BB0-8F30-4FF6-BCD7-EC32E4E66A8F};Scheveningse Zone, deelgebied L;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;5;Van Stolkprk./Schev.Bosjes;4;Scheveningen;6;Van Stolkpark en Scheveningse Bosjes;;252
4632265;{E6EC456F-D277-4882-BFD6-E8F82E4F8770};Scheveningse Zone, deelgebied L;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;5;Van Stolkprk./Schev.Bosjes;4;Scheveningen;6;Van Stolkpark en Scheveningse Bosjes;;253
4632266;{6C569E6D-2818-41AB-91AD-F25246C97216};Scheveningse Zone, deelgebied L;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;5;Van Stolkprk./Schev.Bosjes;4;Scheveningen;6;Van Stolkpark en Scheveningse Bosjes;;254
4632233;{BA71A572-BC68-4839-BEC5-4545179C20C7};Zone Lozerlaan;;Groene Assen Zuidwestzone;Ja;Ja;Nee;Ecologische verbindingszone;96;Zijden, Steden en Zichten;2;Escamp;33;Bouwlust;;205
4632234;{616BBF26-C0F0-4BAD-AB79-97093387B651};Zone Lozerlaan;;Groene Assen Zuidwestzone;Ja;Ja;Nee;Ecologische verbindingszone;85;Kerketuinen en Zichtenburg;1;Loosduinen;17;Loosduinen;;206
4632235;{FA5B8C36-8AD6-4753-9DE4-123364A48018};Lozerlaan-Middenberm;;Groene Assen Zuidwestzone;Ja;Ja;Nee;Ecologische verbindingszone;98;Dreven en Gaarden;2;Escamp;33;Bouwlust;;207
4632236;{1700F9D6-435E-4CE5-8840-578A6CA6CB18};Zone Lozerlaan;;Groene Assen Zuidwestzone;Ja;Ja;Nee;Ecologische verbindingszone;85;Kerketuinen en Zichtenburg;1;Loosduinen;17;Loosduinen;;208
4632237;{B833AF9C-A6A6-4179-B636-BE2B41E61D1B};Erasmuszone, deelgebied B;;Erasmuszone;Ja;Ja;Nee;Ecologische verbindingszone;98;Dreven en Gaarden;2;Escamp;33;Bouwlust;;209
4632238;{CD8C8C2E-2D37-4135-A23D-1687F691989F};Erasmuszone, deelgebied B;;Erasmuszone;Ja;Ja;Nee;Ecologische verbindingszone;98;Dreven en Gaarden;2;Escamp;33;Bouwlust;;210
4632239;{52C1FC01-9761-4CF9-90C7-434D0149BE24};Doornpark;;Scheveningse zone;Ja;Ja;Ja;Ecologische verbindingszone;7;Statenkwartier;4;Scheveningen;9;Geuzen- en Statenkwartier;;211
4632240;{696F0F50-C732-4BEF-802C-9A9C5E3F375A};Doornpark;;Scheveningse zone;Ja;Ja;Ja;Ecologische verbindingszone;7;Statenkwartier;4;Scheveningen;9;Geuzen- en Statenkwartier;;212
4632241;{87FB7E7A-1262-4F36-9F6C-8A4ED924DE6B};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;213
4632242;{787F9C4A-4928-4643-AEF8-C1BB7C47AE5A};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;214
4632243;{BC803167-47C0-448B-943A-C1039A6D0BF4};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;215
4632244;{9E5706D1-A206-4DEA-BD1D-DBEAAC0B8289};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;216
4632245;{BD9451FD-119B-4D91-8B2C-508A9DB65E2C};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;217
4632246;{56E97F98-4002-4382-90B9-5D6CB0B7DBF5};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;218
4632247;{826D5075-C2F0-4D91-8DB3-F552668F040A};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;219
4632248;{0EDF860F-C4A7-4A55-AA7A-1D3893A24901};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;220
4632249;{3289D6C7-22DC-413D-A432-EF4C53DB8093};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;221
4632250;{1E67C581-D9BD-4151-9BFD-F766FEEE9E38};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;222
4632251;{2DB26068-4B30-489D-844F-441B96D155CF};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;223
4632252;{363BA7D2-52BB-46FC-B135-164601442AC7};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;224
4632253;{5D8152F5-577B-4F8E-9DB9-18AD38A1FFE1};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;225
4632254;{4CFDA188-0A73-44AE-9017-C5C727FD7245};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;226
4632255;{71835D1A-7D50-490C-A267-6633A89B160A};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;227
4632256;{7FC21ABB-315E-4291-94E8-B88E297A7921};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;228
4632257;{D3C84445-403F-446F-8FA6-EB338EEE968A};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;229
4632258;{2302BA6D-C54A-48ED-8EB6-D5AFC123972E};Scheveningse Zone, deelgebied S;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;230
4632259;{E8E661AF-926A-40F0-84FC-41FB995548D2};Scheveningse Zone, deelgebied L;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;5;Van Stolkprk./Schev.Bosjes;4;Scheveningen;6;Van Stolkpark en Scheveningse Bosjes;;231
4632210;{23237D06-C070-42FF-B4A5-8E765FD2220A};Laakzone, deelgebied N;Gras ecologisch beheren, deels ecologische oevers aanleggen;Laakzone;Ja;Ja;Nee;Ecologische verbindingszone;26;Noordpolderbuurt;6;Laak;38;Laakkwartier en Spoorwijk;;232
4632211;{358EB170-5091-4B9D-9AF4-D69D313694C9};Scheveningse Zone, deelgebied T;Mantel en zoomvegetatie ontwikkelen;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;73;Westbroekpark;4;Scheveningen;3;Westbroekpark en Duttendel;;233
4632212;{C6408FE9-DB10-421D-8FC1-EC4C862E7B64};Scheveningse Zone, deelgebied F;Bomenrij doortrekken, Waterkwaliteit verbeteren.Uitvoering gepland 2015;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;77;Waalsdorp;7;Haagse Hout;4;Benoordenhout;;234
4632213;{0F8C0400-376E-4570-A9B1-60E988D617D6};Houtzone, deelgebeid N;Houtwal aanleggen. Mantel en zoomvegetatie ontwikkelen voor schuilmogelijkheden, deels uitgevoerd, deels onderhoud;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;77;Waalsdorp;7;Haagse Hout;4;Benoordenhout;;235
4632214;{F0EAC2D7-47B6-434F-AFDC-CDD339C9FA07};Houtzone, deelgebied O;Houtwal aanleggenUitvoering niet urgent, mogelijk op te lossen met onderhoudsmaatregelen;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;76;Duinzigt;7;Haagse Hout;4;Benoordenhout;;236
4632215;{97B5DC38-8632-4DAD-9A2B-99082981C45F};Houtzone, deelgebied J;Gras ecologisch beheren. struweel aanplanten, gereed;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;77;Waalsdorp;7;Haagse Hout;4;Benoordenhout;;237
4632216;{6EBD605E-B3FD-492C-A079-AF54AC87A2B5};Zone Tomatenlaan;;Wateringse Veldzone;Ja;Ja;Nee;Ecologische verbindingszone;102;Hoge Veld;2;Escamp;40;Wateringse Veld;Tomatenlaan;238
4632217;{A0F8FC92-EC48-43F4-BB92-3EA997A7B3A5};Zone Havannasingel;;Wateringse Veldzone;Ja;Ja;Nee;Ecologische verbindingszone;102;Hoge Veld;2;Escamp;40;Wateringse Veld;Noordweg;239
4632218;{B978BC1A-3C74-40D5-9394-9788272E18AD};Verbinding Tomatenlaan - Rijnerwatering;;Wateringse Veldzone;Ja;Ja;Nee;Ecologische verbindingszone;102;Hoge Veld;2;Escamp;40;Wateringse Veld;Vlietpark;240
4632219;{07B23BE8-3A3A-4840-B1BC-04145B389C9A};Zone Tomatenlaan;;Wateringse Veldzone;Ja;Ja;Nee;Ecologische verbindingszone;102;Hoge Veld;2;Escamp;40;Wateringse Veld;Tomatenlaan;241
4632220;{8D6A8A56-EC5C-4D6B-9904-EF9571C167E6};Zone Tomatenlaan;;Wateringse Veldzone;Ja;Ja;Nee;Ecologische verbindingszone;102;Hoge Veld;2;Escamp;40;Wateringse Veld;Tomatenlaan;242
4632221;{4EC7A171-A0C9-4513-93B2-3D3938B33BE1};Zone Tomatenlaan;;Wateringse Veldzone;Ja;Ja;Nee;Ecologische verbindingszone;102;Hoge Veld;2;Escamp;40;Wateringse Veld;Zevenwoudenlaan;243
4632278;{3FE85A7F-E196-4DAD-87AB-42226F51B984};Scheveningse Zone, deelgebied G;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;282
4632279;{D1AA4182-E1A7-46BC-BDB2-34A8880F8D93};Scheveningse Zone, deelgebied G;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;;283
4632280;{4D65E9AD-F7DC-421D-B89F-5CBC8CF9E0C6};Scheveningse Zone, deelgebied I;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;73;Westbroekpark;4;Scheveningen;3;Westbroekpark en Duttendel;;284
4632281;{A5BDF442-488F-47CA-BEF7-5F1FC3CF65B7};Scheveningse Zone, deelgebied I;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;73;Westbroekpark;4;Scheveningen;3;Westbroekpark en Duttendel;;285
