X,Y,OBJECTID,WIJK
6.5824118408494,53.0182644586436,116,Marsdijk
6.57911257257473,53.0220538081414,117,Marsdijk
6.5823505911699,53.020397456537,118,Marsdijk
6.5853403850064,53.0225810758579,119,Marsdijk
6.58338839815056,53.0244289205321,120,Marsdijk
6.58976186107064,53.0218617711079,121,Marsdijk
6.58921429731306,53.0247250894935,122,Marsdijk
6.5944220254619,53.0266658033013,123,Marsdijk
6.60003923976088,53.0275032752423,124,Marsdijk
6.59453092681209,53.0242957051956,125,Marsdijk
6.59626404267528,53.0221532788382,126,Marsdijk
6.59048402368861,53.0192216109525,127,Marsdijk
6.59507266532771,53.017854525665,128,Marsdijk
6.60081712731394,53.0198528360111,129,Marsdijk
6.59168300592343,53.0147830091382,130,Marsdijk
6.5955499783893,53.0140217721248,131,Marsdijk
6.57104579718904,52.9860093917496,132,Assen-oost
6.51705915588482,53.0106888942264,133,Kloosterveen
6.51000675530656,53.0069300267256,134,Kloosterveen
6.51130278864088,53.0051660253564,135,Kloosterveen
6.51187729094077,53.0015020786421,136,Kloosterveen
6.51077477776099,53.0030899020878,137,Kloosterveen
6.50287319743351,53.0018602344947,138,Kloosterveen
6.56860631154661,52.9995202289244,139,Centrum
6.56133854920155,52.9963107242455,140,Centrum
6.56785439637884,52.9971728761972,141,Centrum
6.5632822007222,52.9934550119953,142,Centrum
6.56842853441378,52.9894541885828,143,Centrum
6.58900229359491,53.0262796906984,144,Marsdijk
6.54007968241199,53.0049656862158,145,Pittelo
6.55482986895762,52.9955110936084,146,Centrum
6.56850465426294,52.9990924418135,147,Centrum
6.57606658364728,52.9953393951852,148,Assen-oost
