Leverancier;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9540 - EZ specifiek;Eindtotaal
EY Advisory Netherlands LLP;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
F. Haverkamp Holding B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Fa. P.H. Walinga;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Facilitating Company;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
F-Act B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Factor Veiligheid! B.V.;;;;;;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Factor Vijf;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Faillissementsfraude.nl B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
FairPlay Engineering B.V.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Falke & Verbaan B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
FarmHackNL;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Farmusol B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Farnell (Netherlands) B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Fast Flex B.V.;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;4
Federal Institute of Metrology METAS;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Federatie Particulier Grondbezit;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
FERA SCIENCE LTD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1
Ferro Explore B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
Fidato B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;1
Firma Jac. Korpershoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Firma Postuma-Kampen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Fisher Emergo B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;3;;;;3
FishPartners B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Flanderijn B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Flash Rental Services B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fletcher Boutique Hotel Restaurant Duinoord;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fletcher Hotel Restaur. De Wageningsche Berg;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Flevosap B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
FlexVet B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9
Flitz-Events;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Floating Farm Rotterdam B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fluke Nederland B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Focus Academy;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Food Cabinet B.V.;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Foodlog Media B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
FoodTrend Opmeer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
FOOX - Willie Robben B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Fortress Staffing Services B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Foto Tuerlings B.V.;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2
Fotografie : Paul Voorham;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Fotovannoort;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Four Seasons Fruit Supply B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
FOXX AV Rental;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Frame B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Francoise Kooijmans;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Frank Rood;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Frankwatching B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Frejos B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fries Landbouwmuseum;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Friesland Business Events B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Frissekom;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
FT-Service 'Futuretec';;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fullhouse B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Future Food Next;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Future Motions;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
G.H. Lukassen en Zoon B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
G4S Training & Safety B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2
Gartner Nederland B.V.;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
GC Biotech B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Gebr. Barendsen B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Gebroeders De Mooy Amsterdam B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Gebrs van Aarle B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Gemma Denteneer;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
GenomeScan B.V.;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
geodomein;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Geometius B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Geschenk met Verhaal B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Getinge Netherlands B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
GetTheLaughFlow;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Getting the picture B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
GGN van Mastrigt & Partners;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
GH Foodsupply B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
GH+O;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
Gilson International B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Gimaris;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Gispen Groningen;;;1;;;;;;;;;;;;;;;2;4;;;;;;;;;;;;;;;;;;;;;4
Gist Projecten B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Gladwell Academy B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Goderie Ecologisch Advies;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Goedhart Reclame;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Gold Fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Golden Groenten & Fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
GORTcoaching B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Gouds Kaashuis;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
GPH Schoonhouden B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Gran Mercado B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Grayshift, LLC;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Green Bridges;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Greendish B.V.;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Greens in the Park B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Groeneveld Horeca B.V.;;;;1;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Groentehand D. De Vries B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Groenteproductie Flevoland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Groepspraktijk Dierenartsen Apeldoorn;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Groothandel Ustaca B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Gros Food;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Groter Geluk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
GroupM B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gullimex B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Gusto Mangia e Bevi;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
GW Cross Media B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
H.A. Luten, dierenarts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
H72;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hageman Party Catering Haaglanden;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hague Office Investment I Coöperatief U.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
Hajé Natuurpark B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
HAMILTON Germany GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;4
Hand. en Trans.bdr. Mostert & van de Weg B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Handelsonderneming Kara Enschede;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Handelsonderneming T. Pace B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Hanos Venlo B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Han's Adviesbureau Mariene Ecologie (HAME);;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hans Alders Procesregie & Advies B.V.;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Hapjes aan Huis B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Happy Day Tours;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Harbour Club Den Haag B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Harriet Aans;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Hart voor Projecten;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
HaskoningDHV Nederland B.V.;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
HEAD acoustics GmbH;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
HeadFirst B.V.;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;7
Hectas Facility Services C.V.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2
Hela Thissen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Helder en Duidelijk;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Heli Holland Air Service B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
HelioScreen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;;3
HEMA B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Henk van Walderveen en Zonen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Herman Kuijper B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Hesbak 2 B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Het Echte Werkt! Leiderschapsontwikkeling;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Het Eerste Huis B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Het Kookplein;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Het Muntgebouw-Utrecht B.V.;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
Het Pleidooi;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Hettich Benelux B.V.;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;1;2;;;4
Heupink & Bloemen Tabak B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Heuver Den Ham B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
HEYDAY Ventures B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2
Hezelburcht B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hielkema Services & Calibration B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Hiemstra & De Vries B.V.;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
HKV Ochten;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Hoa-An Venlo B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Hoefon B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Hoeksche Hoeve B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Hoeve 202;;;;1;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Hoffmann Bedrijfsrecherche B.V.;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Holding Beheermaatschappij Ropeni B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Holland Foodz B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Holland Geschenkpakket;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hollander Barendrecht B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Hollandse Hoogte B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Hollandse Nieuwe B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Hollandse Visveiling IJmuiden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Holstohus;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Hoogendoorn Automatisering B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Hoppenbrouwers Techniek B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Horizon Natuurvoeding B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Hortilux Schréder B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Hotel Heerlickheijd van Ermelo B.V.;;;;;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
Hotel New York B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hotel Ridderkerk B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Houterman Autosleepdienst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Hoveniersbedrijf Walinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1
HSK Interventie B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Huijbregts Groep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Hulter B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Human Dimensions B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Human Potential Development;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Hunfeld;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
HVR PA/PR;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
I2L, instituut voor innovatie en leren;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
ICAHS4 Conference Secretariat;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ICARA B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ID Ware International B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ideavelop B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ideeaanzee B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
IG Impex B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Igluu Den Haag;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
IJzerman Media;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
illumina Netherlands B.V.;;;;;;2;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2;5;;;5
illycaffè S.p.A. vestiging Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Imkerij de Traay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Impressive Solutions B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Improve Quality Services B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Improven B.V.;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;4
In de Driehoek, congres- en vergadercentrum;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
in60seconds B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3
Inbraakpreventie 'M.I.B.' B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Indisch Restaurant Garoeda;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ingenieursbureau Ebatech B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
Initial;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;4
Inmarsat Solutions B.V.;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;4
Innolabel;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Innovatie & Implementatie Gouda;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Inside Polarisation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
InsideStory;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
InsightsWorld B.V.;;;;;;2;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2
Instituut van Internal Auditors Nederland;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Instituut voor Bedrijfskundige Opleidingen;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Instituut voor Landbouw- en Visserijonderzoek (ILVO);;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Instituut voor Veiligheid en Milieu B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Instrument Solutions Benelux B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Integrated DNA Technologies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Intelligence Group B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Intellisphere Limited;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Inter Relatiegeschenken van Zoest;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Interfit;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;2;;;;;;;;;;2
International Anti Crime Academy B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Interoffice Kantoorinrichting B.V.;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Interscience B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1
Intertembo - Idea. Concept. Reality.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Intrum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ipol B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
IPS Software;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Isogen Life Science B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
ItaQ;;;;;;;;;5;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;5
iWelcome B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2
J. Barbé B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
J.H. Ritmeester B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Jaarbeurs B.V.;;;;1;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Jaeike Stienstra;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Jager Holland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Jan Breembroek Consultancy;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Jan de Geus en Zn. B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Jan Linders B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Jan Pouls training en verkeersadvies;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Jaspersons Vastgoed B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Jennifer Urban Make-up Artist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
JessvanSpengen;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2
JMK Holding B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Joannusmolen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
John W. Hock Company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
John Wiley & Sons Ltd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Jongens van Techniek B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Jos Boone B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Jos Dekkers;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Joules Unlimited B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
