objectid;projectnummer;naamdeelgebied;bouwplan;woningtype;opleverjaardeelgebied;prijsklasse;projectfase;nieuw_verbouw;aantalwoningendeelgebied;project_id
37478;12;Biesterweg;98/2217;Meergezins;2001;Koop(betaalbaar);Gereed;Nieuwbouw;3;
37481;13;Bloemenbuurt Zuid fase 1 Blok L;09/1672;Meergezins;2012;Huur(betaalbaar);Gereed;Nieuwbouw vervangend;1;
37485;13;Bloemenbuurt Zuid fase 2 Blok D;10/2421;Eengezins;2012;Huur(betaalbaar);Gereed;Nieuwbouw vervangend;26;
37488;13;Bloemenbuurt Zuid fase 2 Blok D;10/2421;Eengezins;2012;Koop(middelduur);Gereed;Nieuwbouw vervangend;10;
37489;13;Bloemenbuurt Zuid fase 3 Blok C;12/1936;Eengezins;2013;Huur(betaalbaar);Gereed;Nieuwbouw vervangend;10;
37491;13;Bloemenbuurt Zuid fase 3 Blok C;12/1936;Eengezins;2013;Koop(betaalbaar);Gereed;Nieuwbouw vervangend;30;
37494;13;Bloemenbuurt Zuid fase 1 Blok B;09/1661;Eengezins;2012;Huur(betaalbaar);Gereed;Nieuwbouw vervangend;20;
37496;13;Bloemenbuurt Zuid fase 1 Blok B;09/1661;Meergezins;2012;Huur(betaalbaar);Gereed;Nieuwbouw vervangend;21;
37497;13;Bloemenbuurt Zuid fase 1 Blok B;09/1661;Meergezins;2012;Koop(middelduur);Gereed;Nieuwbouw vervangend;24;
37499;13;Bloemenbuurt Zuid fase 2 Blok F;11/2131;Eengezins;2012;Koop(middelduur);Gereed;Nieuwbouw vervangend;11;
37506;13;Dahlialaan;12/0253;Eengezins;2012;Huur(betaalbaar);Gereed;Nieuwbouw vervangend;1;
37511;17;Boschdijk 922;98/1991;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;1;
37512;18;Boschdijk/Gemmastraat;98/1514;Meergezins;2004;Koop(middelduur);Gereed;Nieuwbouw;23;
37514;19;Oirschotsedijk 24;99/1549;Eengezins;2004;Koop(duur);Gereed;Nieuwbouw;1;
37517;20;Bosvoordelaan 1;98/1327;Eengezins;2001;Koop(duur);Gereed;Nieuwbouw;1;
37518;20;Gaasbeekstraat 1;97/1643;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;1;
37519;22;Brasschaatpad;00/1753;Meergezins;2003;Huur(betaalbaar);Gereed;Nieuwbouw;34;
37520;23;Breitnerstraat (Iristuinen/Irishof);12/0949;Eengezins;2015;Koop(middelduur);Gereed;Nieuwbouw;25;
37521;23;Breitnerstraat (Iristuinen/Irishof);12/0949;Eengezins;2014;Koop(middelduur);Gereed;Nieuwbouw;28;
37523;24;Churchilllaan/Montgomerylaan;06/0373;Meergezins;2009;Huur(middenhuur);Gereed;Nieuwbouw;63;
37534;27;Cederlaan/Ekkerstraat;03/0624;Meergezins;2012;Koop(middelduur);Gereed;Nieuwbouw;53;
37539;33;DAF-terrein West;98/0740;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;25;
37540;33;DAF-terrein West;00/0081;Eengezins;2003;Koop(duur);Gereed;Nieuwbouw;3;
37541;33;DAF-terrein West;98/0771;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;10;
37544;33;DAF-terrein West;98/0770;Eengezins;2003;Koop(duur);Gereed;Nieuwbouw;8;
37547;33;DAF-terrein West;98/0769;Eengezins;2003;Koop(middelduur);Gereed;Nieuwbouw;24;
37550;33;Dick Ketstraat 9;06/0622;Eengezins;2014;Koop(duur);Gereed;Nieuwbouw;1;
37555;36;A.Thijmlaan (Den Elzent) fase 3;V16/26471;Eengezins;2019;Koop(duur);Gereed;Nieuwbouw vervangend;1;onbekend
37566;42;Drents Dorp;11/2366;Eengezins;2013;Huur(betaalbaar);Gereed;Nieuwbouw;107;
37569;42;Lochemstraat (palletterrein) - Lochemstraat 60 t/m 98 even;V21/46510;Meergezins;2023;Huur(middenhuur);In aanbouw;Nieuwbouw;20;881-000
37572;42;Elsthof 3 t/m 6, Lochemstraat 6 t/m 18 (even), 34 t/m 44 (even);V21/45883;Eengezins;2023;Koop(duur);In aanbouw;Nieuwbouw;17;881-000
37576;43;Driehoeksbos/individuele bouw;Div.;Eengezins;2000;Koop(duur);Gereed;Nieuwbouw;44;
37578;43;Driehoeksbos/individuele bouw;Div.;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;1;
37580;43;Jacob van Campenweg 55;04/1511;Eengezins;2007;Koop(duur);Gereed;Nieuwbouw;1;
37582;44;Woenselsestraat;03/1015;Eengezins;2005;Koop(middelduur);Gereed;Nieuwbouw;3;
37586;45;Egelstraat;01/0223;Eengezins;2004;Koop(middelduur);Gereed;Nieuwbouw;21;
37587;45;Egelstraat;01/0223;Eengezins;2005;Koop(middelduur);Gereed;Nieuwbouw;1;
37588;47;Ekkerstraat/Strijpsestraat;95/0837;Meergezins;2001;Koop(middelduur);Gereed;Nieuwbouw;11;
37592;49;Elburglaan 2A;99/2048;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;1;
37593;51;J.Catslaan;03/1547;Eengezins;2005;Koop(duur);Gereed;Verbouw transformatie;2;
37599;54;F. Timmermanslaan 7;05/0731;Eengezins;2007;Koop(duur);Gereed;Nieuwbouw;1;
37600;54;F. Timmermanslaan (ongenummerd);07/1504;Eengezins;2012;Koop(duur);Gereed;Nieuwbouw;1;
37602;56;Fakkellaan/P.Eiffhuis;01/1706;Meergezins;2004;Koop(middelduur);Gereed;Verbouw transformatie;40;
37603;56;Fakkellaan/P.Eiffhuis;01/1706;Meergezins;2004;Huur(betaalbaar);Gereed;Verbouw transformatie;25;
37604;57;Javalaan/?staete;85/0285;Meergezins;2002;Koop(duur);Gereed;Nieuwbouw;8;
37605;57;Javalaan 1, 3, 5, 7;Div.;Eengezins;2001;Koop(duur);Gereed;Nieuwbouw;4;
37609;57;J.de Wittlaan 22;01/1484;Eengezins;2004;Koop(duur);Gereed;Nieuwbouw;1;
37614;57;J.van Oldenbarneveltlaan 2;V15/24701;Eengezins;2017;Koop(duur);Gereed;Nieuwbouw vervangend;1;
37616;59;Frederiklaan 173, 175 en 175d;03/1161;Meergezins;2005;Huur(goedkoop);Gereed;Nieuwbouw;103;
37618;60;Gagelbosch gebouw E;05/1808;Meergezins;2010;Huur(betaalbaar);Gereed;Nieuwbouw;43;
37621;60;Gagelbosch gebouw C;05/1808;Meergezins;2012;Huur(goedkoop);Gereed;Nieuwbouw;40;
37623;61;Gagelstraat/Frederiklaan;99/0839;Meergezins;2005;Koop(middelduur);Gereed;Nieuwbouw;22;
37624;61;Gagelstraat/Frederiklaan;99/0839;Eengezins;2005;Koop(middelduur);Gereed;Nieuwbouw;15;
37626;63;Geldropseweg;97/0852;Meergezins;2002;Huur(betaalbaar);Gereed;Nieuwbouw;19;
37628;65;Geldropseweg/G.Metsulaan;07/0831;Meergezins;2009;Koop(duur);Gereed;Nieuwbouw;3;
37630;69;Gestelsestraat;98/1549;Meergezins;2002;Koop(middelduur);Gereed;Nieuwbouw;22;
37636;73;Kanaaldijk Zuid Havenkwartier DOK40;V17/29898;Eengezins;2019;Koop(duur);Gereed;Nieuwbouw;18;
37644;80;Hoefkestraat (garage);10/2271;Eengezins;2015;Koop(middelduur);Gereed;Nieuwbouw;15;
37660;90;II Blixembosch/Centrum;00/0706;Eengezins;2003;Koop(duur);Gereed;Nieuwbouw;10;
37667;93;II Blixembosch/Sprookjesbos;Div.;Eengezins;2003;Koop(duur);Gereed;Nieuwbouw;1;
37669;93;II Blixembosch/Sprookjesbos;Div.;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;2;
37673;95;Stratumsedijk/hotel Royal;04/0195;Meergezins;2007;Huur(middenhuur);Gereed;Nieuwbouw;4;
37684;104;Kortonjo/De Weerde;00/0043;Meergezins;2004;Huur(betaalbaar);Gereed;Nieuwbouw;76;
37693;106;Kruidenbuurt/fase 1;04/0882;Eengezins;2006;Koop(middelduur);Gereed;Nieuwbouw;16;
37701;106;Kruidenbuurt/fase 2;05/1899;Eengezins;2009;Huur(betaalbaar);Gereed;Nieuwbouw;60;
37705;106;Kruidenbuurt/fase 4;V16/27887;Eengezins;2018;Huur(betaalbaar);Gereed;Nieuwbouw vervangend;133;
37711;106;Kruidenbuurt/fase 4/koopkavels;V20/39561;Eengezins;2022;Koop(duur);Gereed;Nieuwbouw vervangend;56;066-000
37712;106;Kruidenbuurt/fase 4;V16/27887;Meergezins;2018;Huur(betaalbaar);Gereed;Nieuwbouw vervangend;26;
37719;110;Lakerlopen A;00/1618;Eengezins;2004;Huur(betaalbaar);Gereed;Nieuwbouw;6;
37721;110;Lakerlopen A (Indigo);04/0688;Meergezins;2006;Koop(middelduur);Gereed;Nieuwbouw;23;
37722;110;Lakerlopen A;00/1618;Eengezins;2004;Koop(middelduur);Gereed;Nieuwbouw;30;
37725;110;Lakerlopen A;02/1900;Meergezins;2004;Huur(betaalbaar);Gereed;Nieuwbouw;12;
37729;110;Lakerlopen A (Magenta);04/0688;Meergezins;2006;Huur(middenhuur);Gereed;Nieuwbouw;23;
37733;110;Lakerlopen A;04/1052;Meergezins;2006;Huur(middenhuur);Gereed;Nieuwbouw;4;
37735;110;Lakerlopen B;07/0785;Meergezins;2009;Huur(betaalbaar);Gereed;Nieuwbouw;14;
37741;110;Lakerlopen B;07/0786;Meergezins;2010;Huur(betaalbaar);Gereed;Nieuwbouw;12;
37742;110;Lakerlopen C;10/4293;Meergezins;2014;Huur(middenhuur);Gereed;Nieuwbouw;21;
37749;113;Emmasingelkwadrant (De Lichttoren);01/0376;Meergezins;2009;Huur(middenhuur);Gereed;Verbouw transformatie;35;
37751;113;Emmasingelkwadrant (Regentenkwart.);99/1960;Meergezins;2002;Koop(middelduur);Gereed;Nieuwbouw;60;
37752;113;Emmasingelkwadrant (Regentenkwart.);99/1960;Meergezins;2003;Koop(middelduur);Gereed;Nieuwbouw;221;
37761;113;Emmasingelkwadrant (rond Admirant);05/0956;Meergezins;2009;Koop(middelduur);Gereed;Nieuwbouw;10;
37762;113;Emmasingelkwadrant (De Lichttoren);01/0376;Meergezins;2009;Koop(middelduur);Gereed;Verbouw transformatie;35;
37763;113;Emmasingelkwadrant (De Lichttoren);01/0376;Meergezins;2009;Koop(betaalbaar);Gereed;Verbouw transformatie;15;
37768;114;Lievendaal/Polynorm Blok5;07/0623;Eengezins;2010;Huur(betaalbaar);Gereed;Nieuwbouw;11;
37769;114;Lievendaal/Polynorm Blok20;07/0623;Meergezins;2010;Huur(middenhuur);Gereed;Nieuwbouw;27;
37773;114;Lievendaal/Polynorm Blok3;07/0623;Eengezins;2009;Koop(middelduur);Gereed;Nieuwbouw;7;
37785;115;Lijsterbesstraat/fase 2;02/1811;Meergezins;2006;Huur(goedkoop);Gereed;Nieuwbouw;8;
37786;115;Lijsterbesstraat/fase 2;02/1811;Meergezins;2006;Huur(betaalbaar);Gereed;Nieuwbouw;8;
37788;118;Luciferstraat 18-20;99/1481;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;2;
37793;118;Bergstraat (tussen 3 en 5);11/0151;Meergezins;2016;Koop(middelduur);Gereed;Nieuwbouw;5;
37794;119;Marconilaan/Baekelandplein;01/0616;Meergezins;2004;Huur(betaalbaar);Gereed;Nieuwbouw;38;
37798;120;Marconilaan/Leeghwaterstraat;96/0905;Meergezins;2002;Huur(betaalbaar);Gereed;Nieuwbouw;105;
37800;121;Bosrijk/Bosrand/fase 6/cluster 6;10/2326;Eengezins;2012;Koop(duur);Gereed;Nieuwbouw;4;
37802;121;Bosrijk/fase 1/cluster 12;05/1673;Eengezins;2009;Koop(duur);Gereed;Nieuwbouw;20;
37803;121;Bosrijk/fase 1/cluster 13;05/0118;Eengezins;2007;Koop(duur);Gereed;Nieuwbouw;19;
37804;121;Bosrijk - cluster 9 (plan Bostorens) - Bosfazant 79 t/m 87 oneven;V20/41334;Eengezins;2022;Koop(duur);Gereed;Nieuwbouw;5;353-000
37811;121;Bosrijk - cluster 15 (O2) - Bosfazant 186 188 190 en Bosuil 2;V20/41421;Eengezins;2022;Koop(duur);Gereed;Nieuwbouw;4;353-000
37818;121;Bosrijk - cluster 21 - Bosuil 11, 13 en 15;V20/42988;Eengezins;2022;Koop(duur);Gereed;Nieuwbouw;3;353-000
37821;121;Bosrijk - cluster 14 - Bosfazant 140 t/m 184 even;V21/43169;Eengezins;2023;Koop(duur);In aanbouw;Nieuwbouw;23;353-000
37822;121;Bosrijk - cluster 10 - Bosfazant 126;V20/40696;Eengezins;2021;Koop(duur);Gereed;Nieuwbouw;1;353-000
37824;121;Bosrijk - Bosrand - Bosgors 1 t/m 20 - verdeeld over 3 deelgebieden;V20/41449;Meergezins;2022;Koop(duur);Gereed;Nieuwbouw;4;353-000
37829;121;Bosrijk - cluster 10 - Bosfazant 128;V20/40483;Eengezins;2022;Koop(duur);Gereed;Nieuwbouw;1;353-000
37833;122;Grasrijk 3;00/0835;Meergezins;2003;Koop(middelduur);Gereed;Nieuwbouw;104;
37834;122;Grasrijk 4A/4B;00/0838;Eengezins;2003;Koop(duur);Gereed;Nieuwbouw;76;
37847;122;Grasrijk/individuelen;Div.;Eengezins;2004;Koop(duur);Gereed;Nieuwbouw;33;
37850;122;Grasrijk 10;00/1603;Eengezins;2003;Koop(middelduur);Gereed;Nieuwbouw;6;
37852;122;Grasrijk 10;00/2054;Eengezins;2003;Koop(betaalbaar);Gereed;Nieuwbouw;23;
37854;122;Grasrijk 11A;00/0831;Eengezins;2002;Koop(middelduur);Gereed;Nieuwbouw;3;
37855;122;Grasrijk 11B1;05/1851;Eengezins;2007;Huur(betaalbaar);Gereed;Nieuwbouw;22;
37858;122;Grasrijk 12A;00/0837;Eengezins;2004;Huur(betaalbaar);Gereed;Nieuwbouw;56;
37864;122;Grasrijk 15 woonwagenwoningen;07/1905;Eengezins;2009;Huur(goedkoop);Gereed;Nieuwbouw;6;
37866;122;Grasrijk 16;01/1905;Eengezins;2004;Koop(duur);Gereed;Nieuwbouw;9;
37868;122;Grasrijk 16;01/1905;Eengezins;2003;Koop(duur);Gereed;Nieuwbouw;16;
37870;122;Grasrijk 17A;03/0898;Eengezins;2005;Koop(duur);Gereed;Nieuwbouw;19;
37872;122;Grasrijk 18;03/0927;Eengezins;2006;Koop(middelduur);Gereed;Nieuwbouw;64;
37876;122;Grasrijk 17C;04/0500;Eengezins;2006;Koop(duur);Gereed;Nieuwbouw;7;
37878;122;Grasrijk 11B1;06/0834;Eengezins;2007;Huur(betaalbaar);Gereed;Nieuwbouw;2;
37879;122;Grasrijk/individuelen;Div.;Eengezins;2012;Koop(duur);Gereed;Nieuwbouw;2;
37881;122;Grasrijk 11B2;05/1852;Eengezins;2007;Huur(betaalbaar);Gereed;Nieuwbouw;14;
37883;122;Grasrijk 15;04/0640;Eengezins;2007;Huur(betaalbaar);Gereed;Nieuwbouw;37;
37885;122;Grasrijk/individuelen/Het Schaapsdijk/Grasduiker;Div.;Eengezins;2019;Koop(duur);Gereed;Nieuwbouw;3;
37891;122;Grasrijk/individuelen;Div.;Eengezins;2009;Koop(duur);Gereed;Nieuwbouw;17;
37893;122;Grasrijk 11B1;06/0834;Eengezins;2008;Huur(betaalbaar);Gereed;Nieuwbouw;1;
37895;122;Grasrijk/individuelen/schaapsdijk;Div.;Eengezins;2017;Koop(duur);Gereed;Nieuwbouw;1;
37899;122;Grasbaan 257;V19/37394;Eengezins;2021;Koop(duur);Gereed;Nieuwbouw;1;352-000
37901;122;Grasrijk/individuelen/Het Schaapsdijk;Div.;Eengezins;2018;Koop(duur);Gereed;Nieuwbouw;3;
37903;123;Park Forum;;Eengezins;2010;Koop(duur);Gereed;Nieuwbouw;1;
37904;123;Park Forum;09/3111;Eengezins;2013;Koop(duur);Gereed;Nieuwbouw;1;
37908;123;Park Forum;;Eengezins;2009;Koop(duur);Gereed;Nieuwbouw;4;
37909;123;Park Forum Zuid;;Eengezins;2025;Koop(duur);Potentieel;Nieuwbouw;6;358-000
37912;123;Park Forum Zuid;;Eengezins;2028;Koop(duur);Potentieel;Nieuwbouw;7;358-000
37917;124;Meerrijk/fase 1/cluster B/B1;08/2014;Eengezins;2018;Koop(duur);Gereed;Nieuwbouw;14;
37922;124;Meerrijk/fase 1/cluster B/B4;08/2014;Meergezins;2012;Huur(middenhuur);Gereed;Nieuwbouw;42;
37923;124;Meerrijk/fase 2/cluster D/D1;10/2254;Meergezins;2013;Koop(duur);Gereed;Nieuwbouw;34;
37926;124;Meerrijk/fase 1/cluster A/A5;08/2014;Eengezins;2012;Koop(middelduur);Gereed;Nieuwbouw;11;
37930;124;Meerrijk/fase 1/cluster B/B2 Meerring 36-76;08/2014;Meergezins;2019;Koop(middelduur);Gereed;Nieuwbouw;21;
37931;124;Meerrijk/fase 2/cluster D/D1;10/2254;Meergezins;2013;Huur(betaalbaar);Gereed;Nieuwbouw;25;
37939;124;Meerrijk/fase 3/cluster C/C1 Hooghe Heer;V20/40286;Eengezins;2023;Koop(duur);Vergunning verleend;Nieuwbouw;10;355-000
37946;125;Waterrijk/fase 1/blok 5a;06/1852;Eengezins;2009;Koop(duur);Gereed;Nieuwbouw;21;
37947;125;Waterrijk/fase 1/blok 5a;06/1852;Meergezins;2009;Koop(betaalbaar);Gereed;Nieuwbouw;23;
37948;125;Waterrijk/fase 1/blok 6a;07/0238;Eengezins;2009;Koop(middelduur);Gereed;Nieuwbouw;15;
37952;125;Waterrijk/fase 1/blok 5b;07/1906;Eengezins;2011;Koop(middelduur);Gereed;Nieuwbouw;14;
37954;125;Waterrijk/fase 1/blok 5a;06/1852;Meergezins;2009;Koop(middelduur);Gereed;Nieuwbouw;2;
37955;125;Waterrijk/fase 1/blok 5a;06/1852;Eengezins;2009;Koop(middelduur);Gereed;Nieuwbouw;32;
37960;125;Waterrijk/fase 1/blok 3;07/0853;Eengezins;2009;Huur(middenhuur);Gereed;Nieuwbouw;20;
37964;125;Kamer 2A Waterfront;V17/31699;Eengezins;2019;Koop(middelduur);Gereed;Nieuwbouw;62;
37968;125;Hof 6 (Waterwereld) restkavels;;Eengezins;2018;Koop(duur);Gereed;Nieuwbouw;1;
37972;125;Kamer 2B-2C Waterfront-Waterlinie;V16/25664;Eengezins;2018;Koop(middelduur);Gereed;Nieuwbouw;30;
37981;125;Waterrijk/individuelen;div;Eengezins;2017;Koop(duur);Gereed;Nieuwbouw;27;
37987;125;Kamer 6 (Waterwereld) restkavels 2019;Div.;Eengezins;2019;Koop(duur);Gereed;Nieuwbouw;2;
37990;125;kamer 4 overige zelfbouwkavels 4a/d/e/f;;Eengezins;2019;Koop(duur);Gereed;Nieuwbouw;6;
37993;125;Kamer 8A+8B;V16/28148;Eengezins;2019;Koop(duur);Gereed;Nieuwbouw;12;
37996;125;Kamer 9, 9a overige zelfbouwkavels;Div.;Eengezins;2019;Koop(duur);Gereed;Nieuwbouw;4;
37999;125;Kamer 11A (Waterlinie/ Waterlus) Room Eleven;V16/28238;Eengezins;2020;Huur(betaalbaar);Gereed;Nieuwbouw;14;
38002;125;kamer 7 overige zelfbouwkavels;;Eengezins;2020;Koop(duur);Gereed;Nieuwbouw;1;
38003;125;Waterrijk/individuelen - Waterland 158;V19/37546;Eengezins;2021;Koop(duur);Gereed;Nieuwbouw;1;354-000
38004;125;kamer 7 overige zelfbouwkavels;;Eengezins;2021;Koop(duur);Gereed;Nieuwbouw;1;354-000
38006;126;Zandrijk;98/0718;Eengezins;2000;Huur(betaalbaar);Gereed;Nieuwbouw;39;
38007;126;Zandrijk;97/1905;Eengezins;2000;Koop(duur);Gereed;Nieuwbouw;40;
38010;126;Zandrijk;98/0633;Eengezins;1999;Koop(betaalbaar);Gereed;Nieuwbouw;54;
38012;126;Zandrijk/individuelen;Div.;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;12;
38017;126;Zandrijk;99/1618;Eengezins;2001;Koop(betaalbaar);Gereed;Nieuwbouw;16;
38018;126;Zandrijk;97/1907;Eengezins;1999;Koop(duur);Gereed;Nieuwbouw;5;
38023;126;Zandrijk;99/0327;Meergezins;2003;Koop(middelduur);Gereed;Nieuwbouw;53;
38024;126;Zandrijk;99/0327;Meergezins;2003;Koop(duur);Gereed;Nieuwbouw;34;
38026;126;Zandrijk;99/1475;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;22;
38030;126;Zandrijk;97/1908;Eengezins;2000;Koop(betaalbaar);Gereed;Nieuwbouw;140;
38038;126;Zandrijk;99/1413;Eengezins;2001;Koop(duur);Gereed;Nieuwbouw;23;
38039;126;Zandrijk;02/1198;Meergezins;2005;Koop(middelduur);Gereed;Nieuwbouw;3;
38042;126;Zandrijk/individuelen;Div.;Eengezins;2009;Koop(duur);Gereed;Nieuwbouw;2;
38043;126;Zandrijk/individuelen;Div.;Eengezins;2012;Koop(duur);Gereed;Nieuwbouw;2;
38046;127;Mendelssohnlaan;97/1568;Meergezins;2000;Huur(betaalbaar);Gereed;Nieuwbouw;56;
38047;128;Mgr.Swinkelsstraat 3;02/1992;Meergezins;2008;Koop(middelduur);Gereed;Nieuwbouw;49;
38050;129;Mgr.Witloxweg (de Prinsentuin);03/1369;Eengezins;2007;Koop(duur);Gereed;Nieuwbouw;10;
38056;136;Doolstraat 5;99/2019;Eengezins;2004;Koop(duur);Gereed;Nieuwbouw;1;
38060;140;Fliednerstr/Peppelrode (de Parade);02/1729;Meergezins;2008;Koop(middelduur);Gereed;Nieuwbouw;47;
38065;142;Picus Oost/Atrium;01/0759;Meergezins;2003;Huur(betaalbaar);Gereed;Nieuwbouw;68;
38068;143;Picus West/diverse locaties fase 1;05/0119;Eengezins;2009;Koop(duur);Gereed;Nieuwbouw;26;
38069;143;Picus West/verlengde Dommelhfstr f1;05/0119;Meergezins;2009;Huur(betaalbaar);Gereed;Nieuwbouw;28;
38073;144;Putten fase 1;Div.;Eengezins;2007;Koop(duur);Gereed;Nieuwbouw;11;
38075;144;Putten fase 2 (Nolde en omgeving);V15/24272;Eengezins;2016;Koop(duur);Gereed;Nieuwbouw;1;
38076;144;Putten fase 1;Div.;Eengezins;2006;Koop(duur);Gereed;Nieuwbouw;1;
38078;144;Putten fase 1;Div.;Eengezins;2010;Koop(duur);Gereed;Nieuwbouw;5;
38079;144;Putten fase 1;Div.;Eengezins;2011;Koop(duur);Gereed;Nieuwbouw;3;
38084;144;Putten fase 1;Div.;Eengezins;2015;Koop(duur);Gereed;Nieuwbouw;1;
38089;144;Putten fase 1;Div.;Eengezins;2019;Koop(duur);Gereed;Nieuwbouw;3;
38091;144;Putten fase 1 - Puttensedreef 4;V19/38137;Eengezins;2021;Koop(duur);Gereed;Nieuwbouw;1;302-000
38092;144;Putten fase 1 Rijsven 1;V21/45374;Eengezins;2023;Koop(duur);In aanbouw;Nieuwbouw;1;302-000
38093;144;Putten fase 1;Div.;Eengezins;2020;Koop(duur);Gereed;Nieuwbouw;3;
38095;146;Rielsedijk 22A;00/1254;Eengezins;2003;Koop(duur);Gereed;Nieuwbouw;1;
38097;146;Riel 12;04/1319;Eengezins;2006;Koop(duur);Gereed;Nieuwbouw;1;
38103;150;Gestelsestraat 25K, L, M, N, P;V16/26606;Meergezins;2016;Huur(betaalbaar);Gereed;Verbouw transformatie;5;
38106;154;Schuttersbosch B;96/1512;Eengezins;2007;Koop(duur);Gereed;Nieuwbouw vervangend;13;
38108;154;Schuttersbosch B;97/0738;Eengezins;2004;Koop(duur);Gereed;Nieuwbouw vervangend;32;
38112;154;Schuttersbosch B;96/1512;Eengezins;2006;Koop(duur);Gereed;Nieuwbouw vervangend;8;
38114;154;Schuttersbosch A;97/0738;Eengezins;2001;Huur(betaalbaar);Gereed;Nieuwbouw vervangend;24;
38117;154;Schuttersbosch A/B;96/1512;Eengezins;2016;Koop(duur);Gereed;Nieuwbouw vervangend;1;
38121;154;Schuttersbosch A/B;;Eengezins;2026;Huur(betaalbaar);Planologische voorbereiding;Onttrekking sloop;-10;
38128;154;Schuttersbosch A/B;Div.;Eengezins;2020;Koop(duur);Gereed;Nieuwbouw vervangend;5;
38129;154;Schuttersbosch A/B;Div.;Eengezins;2020;Koop(duur);Gereed;Nieuwbouw vervangend;5;
38132;154;Schuttersbosch A/B - Elandsgang 16;;Eengezins;2021;Huur(betaalbaar);Gereed;Onttrekking sloop;-1;
38135;154;Schuttersbosch A/B - Heksenkruidlaan 2;V19/36168;Eengezins;2021;Koop(duur);Gereed;Nieuwbouw vervangend;1;
38138;154;Schuttersbosch A/B - Hazenloop 16;V22/48775;Eengezins;2024;Koop(duur);In aanbouw;Nieuwbouw vervangend;1;
38149;155;Servaasplein (Fatimakerk) - Fatimahof 20;V21/46399;Meergezins;2024;Huur(duur);In aanbouw;Verbouw transformatie;1;731-460
38152;156;Smalle Haven/Caverna;99/0842;Meergezins;2002;Koop(duur);Gereed;Nieuwbouw;5;
38153;156;Smalle Haven/Medina;99/0848;Meergezins;2002;Koop(duur);Gereed;Nieuwbouw;65;
38154;156;Smalle Haven/Medina;99/0848;Meergezins;2002;Koop(duur);Gereed;Nieuwbouw;8;
38156;156;Smalle Haven/Schilbebouwing;02/1222;Meergezins;2005;Huur(betaalbaar);Gereed;Nieuwbouw;21;
