FID,omschr,doorrijhgt,invent_oms,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
kunstoverweg_wegvak.575,Viaduct,0,VIAD. I/D VELSERTRAVERSE N197,210397092,2021-10-01T00:00:00,68,021039709220211001,PKK0000084791,I,,POINT (105174.4488000013 498698.1466999985)
kunstoverweg_wegvak.576,Viaduct,0,VIAD.'SETERS'I/D DEL COURT VAN KRIMPENLAAN,600123012,2021-10-01T00:00:00,972,060012301220211001,PKK0000084798,I,,POINT (118512.86439999938 403199.870099999)
kunstoverweg_wegvak.577,Viaduct,0,VIAD.'SETERS'I/D DEL COURT VAN KRIMPENLAAN,236205025,2021-10-01T00:00:00,271,023620502520211001,PKK0000084798,I,,POINT (118523.01199999824 403193.09369999915)
kunstoverweg_wegvak.578,Aquaduct,0,ECODUCT KOOTWIJKERZAND,600142246,2022-10-01T00:00:00,159,060014224620221001,PKK0000091911,I,,POINT (179501.3299999982 467584.4160999991)
kunstoverweg_wegvak.579,Aquaduct,0,ECODUCT KOOTWIJKERZAND,600189941,2022-10-01T00:00:00,3024,060018994120221001,PKK0000091911,I,,POINT (179511.03379999846 467506.1387999989)
kunstoverweg_wegvak.580,Ecoduct,0,Hoog duurloo,371334005,2022-10-01T00:00:00,1380,037133400520221001,PKK0000091915,I,,POINT (187072.50169999897 466745.3924999982)
kunstoverweg_wegvak.581,Viaduct,0,VIAD.'DE POORTWACHTER'I/D DR.W.DREESLAAN = N781,600448012,2022-08-01T00:00:00,54,060044801220220801,PKK0000091567,I,,POINT (173114.53830000013 447384.3300999999)
kunstoverweg_wegvak.582,Ecoduct,0,Hoog duurloo,600141466,2022-12-01T00:00:00,2006,060014146620221201,PKK0000091915,I,,POINT (187075.6752000004 466757.71070000157)
kunstoverweg_wegvak.583,Viaduct,0,VIAD.'BAARLOSESTRAAT'I/D BAARLOSESTRAAT,600149096,2022-03-01T00:00:00,98,060014909620220301,PKK0000089211,I,,POINT (207327.8823999986 374733.89939999953)
kunstoverweg_wegvak.584,Viaduct,0,VIAD.'BAARLOSESTRAAT'I/D BAARLOSESTRAAT,600149127,2021-10-01T00:00:00,93,060014912720211001,PKK0000089211,I,,POINT (207332.31269999966 374716.7153999992)
kunstoverweg_wegvak.585,Viaduct,0,VIAD.'GROETWEG'I/D GROETWEG,600149096,2022-03-01T00:00:00,617,060014909620220301,PKK0000089212,I,,POINT (206870.11470000073 374978.45969999954)
kunstoverweg_wegvak.586,Viaduct,0,VIAD.'GROETWEG'I/D GROETWEG,413150054,2021-10-01T00:00:00,126,041315005420211001,PKK0000089212,I,,POINT (206869.04149999842 374964.3229999989)
kunstoverweg_wegvak.587,Viaduct,0,VIAD.,600149096,2022-03-01T00:00:00,1313,060014909620220301,PKK0000089213,I,,POINT (206358.2873999998 375433.8200000003)
kunstoverweg_wegvak.588,Viaduct,0,VIAD.,600149095,2021-10-01T00:00:00,932,060014909520211001,PKK0000089213,I,,POINT (206351.6297999993 375409.4653999992)
kunstoverweg_wegvak.589,Viaduct,0,VIAD.,412151020,2022-03-01T00:00:00,149,041215102020220301,PKK0000089214,I,,POINT (206241.44029999897 376086.7633999996)
kunstoverweg_wegvak.590,Viaduct,0,VIAD.,600149095,2021-10-01T00:00:00,235,060014909520211001,PKK0000089214,I,,POINT (206224.3103 376081.32550000027)
kunstoverweg_wegvak.591,Viaduct,0,VIAD.,412151020,2022-03-01T00:00:00,781,041215102020220301,PKK0000089215,I,,POINT (206238.00230000168 376717.0273000002)
kunstoverweg_wegvak.592,Viaduct,0,VIAD.,600149101,2021-10-01T00:00:00,2782,060014910120211001,PKK0000089215,I,,POINT (206223.5111999996 376715.22470000014)
kunstoverweg_wegvak.593,Brug,0,VOETG. BRUG. FLORIADE,412153049,2022-03-01T00:00:00,3063,041215304920220301,PKK0000089216,I,,POINT (206425.67379999906 379711.7344999984)
kunstoverweg_wegvak.594,Brug,0,VOETG. BRUG. FLORIADE,412161018,2021-10-01T00:00:00,937,041216101820211001,PKK0000089216,I,,POINT (206415.69689999893 379691.7173999995)
kunstoverweg_wegvak.595,Viaduct,0,VIAD.'ST.JAN'I/D HORSTERWEG,412153049,2022-03-01T00:00:00,3296,041215304920220301,PKK0000089217,I,,POINT (206393.59209999815 379942.48849999905)
kunstoverweg_wegvak.596,Viaduct,0,VIAD.'ST.JAN'I/D HORSTERWEG,412161018,2021-10-01T00:00:00,685,041216101820211001,PKK0000089217,I,,POINT (206380.4279000014 379941.2017999999)
kunstoverweg_wegvak.597,Viaduct,0,VIAD.'CALIFORNIE'I/D CALIFORNISCHEWEG,600147679,2022-03-01T00:00:00,36,060014767920220301,PKK0000089219,I,,POINT (205659.96020000055 381625.56749999896)
kunstoverweg_wegvak.598,Viaduct,0,VIAD.'CALIFORNIE'I/D CALIFORNISCHEWEG,405168029,2021-10-01T00:00:00,3969,040516802920211001,PKK0000089219,I,,POINT (205647.75620000064 381620.26399999857)
kunstoverweg_wegvak.599,Viaduct,0,VIAD.'WITVELD'I/D WITTEVELDWEG,600147679,2022-03-01T00:00:00,3346,060014767920220301,PKK0000089220,I,,POINT (203260.3599999994 383851.36400000006)
kunstoverweg_wegvak.600,Viaduct,0,VIAD.'WITVELD'I/D WITTEVELDWEG,405168029,2021-10-01T00:00:00,666,040516802920211001,PKK0000089220,I,,POINT (203252.68129999936 383840.72410000116)
kunstoverweg_wegvak.601,Viaduct,0,VIAD.'BRUKSKE'I/D DEURNESEWEG =N270,394190021,2022-03-01T00:00:00,2453,039419002120220301,PKK0000089222,I,,POINT (197716.8302000016 392616.19220000133)
