FID,DD_BIJGEWERKT,ID,INVASIEVE_SOORT,EIGENDOM,OPPERVLAKTE_2021,GEOMETRIE
GRN_INV_SOORTEN.441,2023-02-02,441,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (181852.91483428 427645.8956975)
GRN_INV_SOORTEN.194,2023-02-02,194,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (181850.257 427649.561)
GRN_INV_SOORTEN.45,2023-02-02,45,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (181855.92106527 427677.8922369)
GRN_INV_SOORTEN.21,2023-02-02,21,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (181825.19304291 427621.85472511)
GRN_INV_SOORTEN.59,2023-02-02,59,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182028.60692546 427730.9586378)
GRN_INV_SOORTEN.58,2023-02-02,58,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (181825.40703519 427630.20535888)
GRN_INV_SOORTEN.156,2023-02-02,156,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,40,POINT (182366.404 425004.341)
GRN_INV_SOORTEN.551,2023-02-02,551,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182174.62129186 424900.95333594)
GRN_INV_SOORTEN.476,2023-02-02,476,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182339.02030093 424978.89713768)
GRN_INV_SOORTEN.395,2023-02-02,395,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182355.198 424979.466)
GRN_INV_SOORTEN.538,2023-02-02,538,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182168.05589743 425015.76206988)
GRN_INV_SOORTEN.550,2023-02-02,550,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182203.78795141 424884.38666999)
GRN_INV_SOORTEN.165,2023-02-02,165,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (182531.44036887 425340.05143526)
GRN_INV_SOORTEN.188,2023-02-02,188,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (182053.8958452 425176.79194821)
GRN_INV_SOORTEN.535,2023-02-02,535,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182427.49702403 425278.25334928)
GRN_INV_SOORTEN.534,2023-02-02,534,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182441.4970283 425334.25334714)
GRN_INV_SOORTEN.537,2023-02-02,537,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182117.6558718 425139.89542315)
GRN_INV_SOORTEN.533,2023-02-02,533,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182395.53035594 425330.28668119)
GRN_INV_SOORTEN.517,2023-02-02,517,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182406.105 425379.99)
GRN_INV_SOORTEN.440,2023-02-02,440,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (182459.70403899 425839.08697973)
GRN_INV_SOORTEN.487,2023-02-02,487,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182468.02374214 426042.76368424)
GRN_INV_SOORTEN.390,2023-02-02,390,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182043.26083365 426165.17109736)
GRN_INV_SOORTEN.55,2023-02-02,55,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182339.30150082 426042.76719711)
GRN_INV_SOORTEN.515,2023-02-02,515,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (182041.09875 427278.8625)
GRN_INV_SOORTEN.514,2023-02-02,514,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (182039.235 427283.745)
GRN_INV_SOORTEN.264,2023-02-02,264,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (182347.3 427492.248)
GRN_INV_SOORTEN.341,2023-02-02,341,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (182458.41998851 427333.77865939)
GRN_INV_SOORTEN.437,2023-02-02,437,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (182468.91413605 427802.04465102)
GRN_INV_SOORTEN.622,2023-02-02,622,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182881.02 423930.36)
GRN_INV_SOORTEN.353,2023-02-02,353,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182947.856 424004.962)
GRN_INV_SOORTEN.431,2023-02-02,431,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182840.34619209 423968.48467323)
GRN_INV_SOORTEN.526,2023-02-02,526,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182986.20094457 423745.48226357)
GRN_INV_SOORTEN.625,2023-02-02,625,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182848.26 424017.51)
GRN_INV_SOORTEN.623,2023-02-02,623,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182913.99 424142.88)
GRN_INV_SOORTEN.621,2023-02-02,621,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182776.86 424092.48)
GRN_INV_SOORTEN.620,2023-02-02,620,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182723.94 424076.52)
GRN_INV_SOORTEN.552,2023-02-02,552,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182921.25590382 424114.62872899)
GRN_INV_SOORTEN.432,2023-02-02,432,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182989.504 424207.029)
GRN_INV_SOORTEN.430,2023-02-02,430,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182772.61289533 424054.20962694)
GRN_INV_SOORTEN.604,2023-02-02,604,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182812.823 424169.34)
GRN_INV_SOORTEN.352,2023-02-02,352,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182993.471 424138.268)
GRN_INV_SOORTEN.624,2023-02-02,624,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182811.72 424129.86)
GRN_INV_SOORTEN.189,2023-02-02,189,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,60,POINT (182997.76620502 424522.82682506)
GRN_INV_SOORTEN.474,2023-02-02,474,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (182803.49183981 425435.33998831)
GRN_INV_SOORTEN.192,2023-02-02,192,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (182582.16080861 425448.91782453)
GRN_INV_SOORTEN.147,2023-02-02,147,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (182897.588 425446.237)
GRN_INV_SOORTEN.507,2023-02-02,507,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (182587.89150096 425439.76649904)
GRN_INV_SOORTEN.216,2023-02-02,216,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (182553.75444113 425314.95892476)
GRN_INV_SOORTEN.490,2023-02-02,490,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182928.45217088 425131.12377801)
GRN_INV_SOORTEN.394,2023-02-02,394,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (182567.13552093 425097.0172118)
GRN_INV_SOORTEN.124,2023-02-02,124,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,4,POINT (182983.8194994 425906.26763965)
GRN_INV_SOORTEN.48,2023-02-02,48,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (182931.38407718 425928.23178534)
GRN_INV_SOORTEN.34,2023-02-02,34,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (182714.277 425950.589)
GRN_INV_SOORTEN.29,2023-02-02,29,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (182939.10203014 425929.37336489)
GRN_INV_SOORTEN.589,2023-02-02,589,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (182604.70943415 425965.49388012)
GRN_INV_SOORTEN.36,2023-02-02,36,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,2,POINT (182612.12372686 425642.87629764)
GRN_INV_SOORTEN.520,2023-02-02,520,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (184586.22 422742.6)
GRN_INV_SOORTEN.155,2023-02-02,155,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (184636.951 423944.91)
GRN_INV_SOORTEN.217,2023-02-02,217,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,200,POINT (184687.531 423766.026)
GRN_INV_SOORTEN.385,2023-02-02,385,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (184572.24878138 423792.15834386)
GRN_INV_SOORTEN.561,2023-02-02,561,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,2,POINT (184882.63042448 423610.38663424)
GRN_INV_SOORTEN.214,2023-02-02,214,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (184632.16323685 423972.63147268)
GRN_INV_SOORTEN.502,2023-02-02,502,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (184670.58986158 423766.85924513)
GRN_INV_SOORTEN.133,2023-02-02,133,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (184663.283 423765.077)
GRN_INV_SOORTEN.204,2023-02-02,204,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (184774.44211905 424979.60559953)
GRN_INV_SOORTEN.203,2023-02-02,203,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (184657.44382045 424908.96466195)
GRN_INV_SOORTEN.202,2023-02-02,202,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (184585.16234181 425021.21843804)
GRN_INV_SOORTEN.16,2023-02-02,16,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (184570.78192944 424823.50456908)
GRN_INV_SOORTEN.276,2023-02-02,276,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (184923.47310467 424612.42293543)
GRN_INV_SOORTEN.563,2023-02-02,563,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (184972.96961901 424742.16343667)
GRN_INV_SOORTEN.286,2023-02-02,286,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,61,POINT (184775.208 426859.612)
GRN_INV_SOORTEN.365,2023-02-02,365,Japanse duizendknoop_Fallopia japonica,Prorail,,POINT (184928.82671493 426579.69158575)
GRN_INV_SOORTEN.509,2023-02-02,509,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,30,POINT (184767.12199972 426870.45442765)
GRN_INV_SOORTEN.414,2023-02-02,414,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (184733.64840479 427270.4272562)
GRN_INV_SOORTEN.413,2023-02-02,413,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (184727.8275746 427277.57100235)
GRN_INV_SOORTEN.243,2023-02-02,243,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (184721.25540003 427287.77628602)
GRN_INV_SOORTEN.302,2023-02-02,302,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (184778.91923613 427212.44520775)
GRN_INV_SOORTEN.562,2023-02-02,562,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,30,POINT (184628.53042555 429079.48677971)
GRN_INV_SOORTEN.519,2023-02-02,519,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (185113.32 423163.02)
GRN_INV_SOORTEN.151,2023-02-02,151,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (185375.57 423941.071)
GRN_INV_SOORTEN.557,2023-02-02,557,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (185418.93434132 423973.56560442)
GRN_INV_SOORTEN.135,2023-02-02,135,Japanse duizendknoop_Fallopia japonica,Woningbouw vereniging,,POINT (185309.85688572 424389.67654274)
GRN_INV_SOORTEN.513,2023-02-02,513,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (185161.4625 424123.035)
GRN_INV_SOORTEN.281,2023-02-02,281,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (185337.46540986 425021.59169006)
GRN_INV_SOORTEN.179,2023-02-02,179,Japanse duizendknoop_Fallopia japonica,Prorail,,POINT (185247.41980418 426678.04822704)
GRN_INV_SOORTEN.602,2023-02-02,602,Japanse duizendknoop_Fallopia japonica,Woningbouw vereniging,,POINT (185451.28875 427290.6225)
GRN_INV_SOORTEN.387,2023-02-02,387,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,3,POINT (185394.45275209 427152.02948088)
GRN_INV_SOORTEN.242,2023-02-02,242,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (185287.93812435 427030.9761882)
GRN_INV_SOORTEN.125,2023-02-02,125,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (185202.235 427839.848)
GRN_INV_SOORTEN.256,2023-02-02,256,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen (Ontwikkelbureau),,POINT (185185.2196165 428361.43724432)
GRN_INV_SOORTEN.371,2023-02-02,371,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,12,POINT (185272.97389095 428552.54360908)
GRN_INV_SOORTEN.372,2023-02-02,372,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (185400.768 428530.848)
GRN_INV_SOORTEN.200,2023-02-02,200,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen (Ontwikkelbureau),,POINT (185278.421 428550.149)
GRN_INV_SOORTEN.594,2023-02-02,594,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (185400.17944323 428804.2197944)
GRN_INV_SOORTEN.574,2023-02-02,574,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (185344.01142236 429451.78016863)
GRN_INV_SOORTEN.573,2023-02-02,573,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (185336.66142236 429453.59380266)
GRN_INV_SOORTEN.199,2023-02-02,199,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,130,POINT (185281.563 429508.977)
GRN_INV_SOORTEN.198,2023-02-02,198,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (185532.94394149 429364.95683689)
GRN_INV_SOORTEN.478,2023-02-02,478,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,75,POINT (185763.82131515 424298.61006378)
GRN_INV_SOORTEN.382,2023-02-02,382,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (185687.56822945 424751.74882433)
GRN_INV_SOORTEN.146,2023-02-02,146,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (185622.0851002 424723.36066726)
GRN_INV_SOORTEN.168,2023-02-02,168,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,24,POINT (185996.93676547 425323.4060362)
GRN_INV_SOORTEN.143,2023-02-02,143,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,5,POINT (185918.84946902 425196.56964048)
GRN_INV_SOORTEN.142,2023-02-02,142,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,20,POINT (185952.43389533 425153.67188587)
GRN_INV_SOORTEN.182,2023-02-02,182,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,45,POINT (185725.10027074 425377.5301889)
GRN_INV_SOORTEN.448,2023-02-02,448,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (185927.80404924 425156.15123185)
GRN_INV_SOORTEN.447,2023-02-02,447,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (185950.02903723 425190.28246342)
GRN_INV_SOORTEN.449,2023-02-02,449,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (185896.05406638 425138.68874128)
GRN_INV_SOORTEN.112,2023-02-02,112,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1200,POINT (185674.20916495 426419.58860745)
GRN_INV_SOORTEN.110,2023-02-02,110,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,200,POINT (185629.278 426605.533)
GRN_INV_SOORTEN.444,2023-02-02,444,Japanse duizendknoop_Fallopia japonica,Woningbouw vereniging,,POINT (185836.4419562 427448.00007782)
GRN_INV_SOORTEN.489,2023-02-02,489,Japanse duizendknoop_Fallopia japonica,Woningbouw vereniging,,POINT (185788.36 427838.33)
GRN_INV_SOORTEN.291,2023-02-02,291,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (186029.44535845 427846.87069636)
GRN_INV_SOORTEN.399,2023-02-02,399,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (186011.88053266 428488.83089495)
GRN_INV_SOORTEN.136,2023-02-02,136,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (185725.03183536 428497.5186552)
GRN_INV_SOORTEN.250,2023-02-02,250,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (185608.899 428803.247)
GRN_INV_SOORTEN.420,2023-02-02,420,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,9,POINT (185851.14442601 429479.75019749)
GRN_INV_SOORTEN.275,2023-02-02,275,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (185838.1717656 429422.49736504)
GRN_INV_SOORTEN.572,2023-02-02,572,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (185855.07504465 429535.78016446)
GRN_INV_SOORTEN.560,2023-02-02,560,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,2,POINT (186003.55443922 429576.56609289)
GRN_INV_SOORTEN.565,2023-02-02,565,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (186022.24448592 429548.91663918)
GRN_INV_SOORTEN.417,2023-02-02,417,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,120,POINT (185690.365 431798.822)
GRN_INV_SOORTEN.570,2023-02-02,570,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (185780.39649233 431973.16581755)
GRN_INV_SOORTEN.579,2023-02-02,579,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (185854.984 432127.562)
GRN_INV_SOORTEN.121,2023-02-02,121,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,260,POINT (185804.21026262 432047.91783701)
GRN_INV_SOORTEN.122,2023-02-02,122,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (185856.541 432130.993)
GRN_INV_SOORTEN.366,2023-02-02,366,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (185821.52133901 432142.80065649)
GRN_INV_SOORTEN.540,2023-02-02,540,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (185787.26379689 432250.48686479)
GRN_INV_SOORTEN.381,2023-02-02,381,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (186076.35301535 424423.30169038)
GRN_INV_SOORTEN.422,2023-02-02,422,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,40,POINT (186441.76906505 424802.40083488)
GRN_INV_SOORTEN.298,2023-02-02,298,Japanse duizendknoop_Fallopia japonica,Woningbouw vereniging,,POINT (186366.5785637 424625.25677518)
GRN_INV_SOORTEN.208,2023-02-02,208,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (186121.75252529 424813.73178933)
GRN_INV_SOORTEN.178,2023-02-02,178,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (186149.84687549 424978.31964655)
GRN_INV_SOORTEN.356,2023-02-02,356,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (186102.52835416 425501.57851178)
GRN_INV_SOORTEN.167,2023-02-02,167,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (186124.374 425474.447)
GRN_INV_SOORTEN.49,2023-02-02,49,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,100,POINT (186182.784 426298.058)
GRN_INV_SOORTEN.618,2023-02-02,618,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (186523.05 426023.64)
GRN_INV_SOORTEN.314,2023-02-02,314,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (186285.76332357 426956.44525292)
GRN_INV_SOORTEN.582,2023-02-02,582,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen (VSA),,POINT (186289.874 426959.562)
GRN_INV_SOORTEN.220,2023-02-02,220,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (186234.00068901 426933.88278017)
GRN_INV_SOORTEN.186,2023-02-02,186,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,0,POINT (186490.79049652 426599.15469662)
GRN_INV_SOORTEN.279,2023-02-02,279,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,15,POINT (186416.80067744 427373.5676275)
GRN_INV_SOORTEN.218,2023-02-02,218,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (186394.83141409 427368.85606931)
GRN_INV_SOORTEN.278,2023-02-02,278,Japanse duizendknoop_Fallopia japonica,Prorail,,POINT (186418.43142069 427371.39330842)
GRN_INV_SOORTEN.267,2023-02-02,267,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (186384.70653433 427049.68341804)
GRN_INV_SOORTEN.183,2023-02-02,183,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (186404.171 427049.563)
GRN_INV_SOORTEN.480,2023-02-02,480,Japanse duizendknoop_Fallopia japonica,Woningbouwvereniging,,POINT (186303.57286575 427820.36807064)
GRN_INV_SOORTEN.479,2023-02-02,479,Japanse duizendknoop_Fallopia japonica,Woningbouwvereniging,,POINT (186314.81765134 427829.23160752)
GRN_INV_SOORTEN.114,2023-02-02,114,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (186278.33730257 428550.50684602)
GRN_INV_SOORTEN.445,2023-02-02,445,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (186491.67447078 429072.42043974)
GRN_INV_SOORTEN.313,2023-02-02,313,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (186205.69456262 429373.02986087)
GRN_INV_SOORTEN.315,2023-02-02,315,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen (Ontwikkelbureau),,POINT (186529.67817931 429626.43755297)
GRN_INV_SOORTEN.11,2023-02-02,11,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,,POINT (186364.90936346 429638.08652068)
GRN_INV_SOORTEN.141,2023-02-02,141,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,90,POINT (186049.69677397 433837.3760927)
GRN_INV_SOORTEN.191,2023-02-02,191,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (186628.734 424587.274)
GRN_INV_SOORTEN.425,2023-02-02,425,Japanse duizendknoop_Fallopia japonica,Woningbouw vereniging,,POINT (186796.10946414 425460.30248213)
GRN_INV_SOORTEN.566,2023-02-02,566,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (186656.53437885 425697.66564919)
GRN_INV_SOORTEN.475,2023-02-02,475,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,6,POINT (187028.32569253 425739.20328709)
GRN_INV_SOORTEN.619,2023-02-02,619,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (186856.95 427003.92)
GRN_INV_SOORTEN.576,2023-02-02,576,Japanse duizendknoop_Fallopia japonica,Woningbouw vereniging,,POINT (186798.5854873 428281.99681943)
GRN_INV_SOORTEN.201,2023-02-02,201,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (186629.116822 428391.97278424)
GRN_INV_SOORTEN.494,2023-02-02,494,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,400,POINT (186906.06034275 428296.75264309)
GRN_INV_SOORTEN.309,2023-02-02,309,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (186942.00721751 428793.41359392)
GRN_INV_SOORTEN.378,2023-02-02,378,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,80,POINT (186813.87435533 428789.63691244)
GRN_INV_SOORTEN.460,2023-02-02,460,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (186817.81590645 429115.79219445)
GRN_INV_SOORTEN.316,2023-02-02,316,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen (Ontwikkelbureau),,POINT (186586.01410974 429579.86270832)
GRN_INV_SOORTEN.472,2023-02-02,472,Hooikoortsplant_Ambrosia artemisiifolia,Waterschap,,POINT (186941.74462264 429942.63228732)
GRN_INV_SOORTEN.473,2023-02-02,473,Hooikoortsplant_Ambrosia artemisiifolia,Waterschap,,POINT (186861.31133274 430300.34876082)
