OBJECTID,BEHEERCODE,BEHEERTYPE,HOOFDSOORT,BEHEERDER,PARKNAAM_LANDGOED,OPPERVLAKTE,OMTREK,MAAIFREQUENTIE,BEHEERKLASSE,MATERIAAL_ONDERGROND,GEBIEDSNAAM,SHAPESTArea,SHAPESTLength
48,03.10.G.0521,Heesters laag,Spiraea japonica 'Manon',Stadsdeel 3,,5.997,9.869,,Onkruid beheersen,,Noord-Oost,5.996967235,9.86869777514155
49,02.12.G.2833,Heesters hoog,Rhododendron sp.,Afdeling Bossen & Parken,Park Zijpendaal,55.717,26.765,,Rhododendron,,Noord-West,55.717157,26.7650165341665
50,06.22.G.4341,Gazon,,Stadsdeel 6,,820.469,402.999,16 x per jaar | Machinaal,,,Elden en De Laar,822.136010235,402.964514794215
51,06.21.G.2071,Struweel,,Stadsdeel 6,,190.813,85.303,,,,"Schuytgraaf, Elderveld",190.8125405,85.3028272979108
52,03.09.G.3771,Gras/kruiden,,Stadsdeel 3,,307.076,109.268,2 x per jaar | Machinaal,,,Noord-Oost,306.96515194,109.254685344646
53,06.24.G.2218,Gazon,,Stadsdeel 6,,6.27,13.591,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",6.2697405,13.59086385793
54,06.21.G.1115,Heesters laag,Potentilla fruticosa 'Abbotswood',Stadsdeel 6,,42.523,30.339,,Onkruid beheersen,,"Schuytgraaf, Elderveld",42.52325,30.3387068780379
55,03.08.G.1318,Gras/kruiden,,Afdeling Bossen & Parken,Park Angerenstein,227.282,173.677,2 x per jaar | Machinaal,,,Noord-Oost,227.281723,173.676984394028
56,02.12.G.3189,Gras/kruiden,,Stadsdeel 2,,338.088,150.405,2 x per jaar | Op Talud | Machinaal,,,Noord-West,338.088235,150.404727150983
57,05.23.G.2211,Struweel,,Stadsdeel 5,,84.607,36.259,,,,VKR,84.6069385,36.2591485118917
58,06.22.G.1700,Heesters hoog,Gemengde soorten zie doc.,Stadsdeel 6,,108.999,71.605,,Onkruid beheersen,,Elden en De Laar,108.998888065,71.6045610251604
59,04.03.G.1562,Vlak onderhoud derden,Persicaria amplexicaule 'Lisan',Derden,,5.244,10.501,,,,CSA,5.242711215,10.4998420257944
60,06.21.G.0467,Gazon,,Stadsdeel 6,,75.217,40.355,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",75.21734,40.3554948060859
61,04.04.G.0173,Gazon,,Stadsdeel 4,,143.246,63.479,16 x per jaar | Machinaal,,,Presikhaaf,143.246459,63.4787361412467
62,03.07.G.0725,Haag,Acer campestre,Stadsdeel 3,,15.466,69.443,,,,Noord-West,15.466238,69.4431122027374
63,03.09.G.2272,Gras/kruiden,,Afdeling Bossen & Parken,Begraafpark Moscowa,12050.753,1394.644,3 x per jaar | Machinaal,,,Noord-Oost,12050.74676494,1394.64058654984
64,03.09.G.0849,Gras/kruiden,,Stadsdeel 3,,5.035,10.904,2 x per jaar | Machinaal,,,Noord-Oost,5.03421688,10.9032104185274
65,05.19.G.0424,Gazon,,Stadsdeel 5,,20.975,24.236,16 x per jaar | Machinaal,,,VKR,20.974775,24.235506468821
66,03.09.G.2447,Gras/kruiden,,Afdeling Bossen & Parken,Begraafpark Moscowa,6.622,10.333,3 x per jaar | Machinaal,,,Noord-Oost,6.621722,10.3331421631021
67,05.16.G.0865,Gras/kruiden,,Stadsdeel 5,,660.979,188.703,2 x per jaar | Machinaal,,,Malburgen,660.9793235,188.702790286814
68,04.02.G.0818,Vlak onderhoud derden,,Derden,,6.118,10.74,,,,CSA,6.117506,10.7404889692077
69,06.22.G.0502,Gazon,,Stadsdeel 6,,112.438,93.14,16 x per jaar | Machinaal,,,Elden en De Laar,112.437807,93.1398164943995
70,06.20.G.0158,Gazon,,Stadsdeel 6,,47.597,38.505,16 x per jaar | Machinaal,,,Elden en De Laar,47.5969925,38.504694465998
71,03.09.G.4010,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,45.521,48.664,,Graven onkruidvrij,,Noord-Oost,45.521328,48.6639184407779
72,03.06.G.0962,Vlak onderhoud derden,,Derden,,10.336,12.935,,,,Noord-West,10.3363395,12.9353618275456
73,04.04.G.1020,Haag,Fagus sylvatica,Stadsdeel 4,,3.394,14.576,,,,Presikhaaf,3.3944125,14.5758096230559
74,06.22.G.3166,Blokhaag,Lonicera nitida 'Maigrun',Stadsdeel 6,,6.849,13.173,,,,Elden en De Laar,6.850133895,13.1705420266417
75,03.09.G.0418,Gazon,,Stadsdeel 3,,8.449,15.372,16 x per jaar | Machinaal,,,Noord-Oost,8.448975,15.3715070023342
76,06.20.G.0284,Gras/kruiden,,Stadsdeel 6,,1111.542,315.058,2 x per jaar | Op Talud | Machinaal,,,Elden en De Laar,1111.5420165,315.05788373324
77,05.19.G.1379,Heesters hoog,,Stadsdeel 5,,88.061,42.766,,Geen onkruid beheersen,,VKR,88.060715,42.7659654467626
78,06.24.G.1383,Gras/kruiden,,Stadsdeel 6,,3469.163,662.744,1 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",3469.213096945,662.737663462488
79,05.23.G.0069,Gazon,,Stadsdeel 5,,70.198,47.621,16 x per jaar | Machinaal,,,VKR,70.18922372,47.6190854423671
80,05.18.G.1532,Gazon,,Stadsdeel 5,,43.24,33.854,16 x per jaar | Machinaal,,,Malburgen,43.239768,33.8537255374771
81,03.09.G.4235,Heesters hoog,Diervilla sessillifolia 'Butterfly',Afdeling Bossen & Parken,Begraafpark Moscowa,13.727,15.393,,Onkruid beheersen,,Noord-Oost,13.72664,15.3925640180692
82,04.04.G.1278,Gazon,,Stadsdeel 4,,19.095,19.766,16 x per jaar | Machinaal,,,Presikhaaf,18.98037757,19.7618145538332
83,02.12.G.2772,Gazon,,Stadsdeel 2,,38.406,39.865,16 x per jaar | Machinaal,,,Noord-West,38.899093005,39.846209427091
84,06.24.G.2152,Gras/kruiden,,Stadsdeel 6,,481.686,199.738,2 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",481.68401866,199.736429205412
85,06.24.G.2854,Gras/kruiden,,Stadsdeel 6,,120.838,106.99,1 x per jaar | Op Talud | Machinaal,,,"Schuytgraaf, Elderveld",120.838472,106.989843790296
86,05.17.G.0715,Gazon,,Stadsdeel 5,,62.388,38.852,16 x per jaar | Machinaal,,,Malburgen,62.387741,38.8519044154225
87,06.21.G.3516,Vlak onderhoud derden,,Derden,,4.754,15.95,,,,"Schuytgraaf, Elderveld",4.7539535,15.9501092446549
88,06.22.G.4856,Gras/kruiden,,Stadsdeel 6,,451.137,356.6,2 x per jaar | Machinaal,,,Elden en De Laar,451.929303035,356.594605675953
89,05.16.G.0822,Gazon,,Stadsdeel 5,,12.479,14.31,16 x per jaar | Machinaal,,,Malburgen,12.4788735,14.3096767893162
90,05.23.G.2192,Gazon,,Stadsdeel 5,,30.361,23.256,16 x per jaar | Machinaal,,,VKR,30.3608655,23.2562493242777
91,05.18.G.0068,Blokhaag,,Stadsdeel 5,,79.008,74.523,,,,Malburgen,79.0083365,74.5232540010706
92,05.19.G.1323,Haag,Hedera sp.,Stadsdeel 5,,0.606,4.032,,,,VKR,0.6063225,4.03173164187238
93,06.24.G.2073,Haag,,Stadsdeel 6,,12.546,43.01,,,,"Schuytgraaf, Elderveld",12.5458245,43.0096669971909
94,06.20.G.0378,Haag,Fagus sp.,Stadsdeel 6,,16.553,26.701,,,,Elden en De Laar,16.55312,26.7012787621853
95,03.09.G.3285,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,78.724,81.76,,Graven 3 x maaien handmatig,,Noord-Oost,78.7241955,81.7598385365664
96,06.22.G.3341,Blokhaag,Lonicera nitida 'Maigrun',Stadsdeel 6,,65.099,90.904,,,,Elden en De Laar,65.28785495,90.8761242884758
97,06.21.G.1982,Gazon,,Stadsdeel 6,,38.692,69.935,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",37.193983785,69.9027867192641
98,03.09.G.1802,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,17.027,21.142,,Graven onkruidvrij,,Noord-Oost,17.026962,21.1417326251336
99,05.18.G.1798,Vlak onderhoud derden,,Derden,,28.431,28.492,,,,Malburgen,28.476999555,28.4858077769797
100,04.02.G.0767,Vlak onderhoud derden,,Derden,,36.543,35.705,,,,CSA,36.542998,35.7046283124913
101,04.05.G.0010,Blokhaag,,Stadsdeel 4,,50.242,28.686,,,,Presikhaaf,50.2417255,28.6862143798609
102,04.04.G.1729,Gazon,,Stadsdeel 4,,60.191,66.911,16 x per jaar | Op Talud | Handmatig,,,Presikhaaf,60.19979059,66.90587548383
103,06.24.G.2565,Gazon,,Stadsdeel 6,,10.752,48.805,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",10.7523585,48.8054566789151
104,02.12.G.0716,Gazon,,Stadsdeel 2,,23.049,21.578,16 x per jaar | Machinaal,,,Noord-West,23.047433405,21.5761049257479
105,06.22.G.2686,Blokhaag,Lonicera nitida 'Maigrun',Stadsdeel 6,,38.399,31.005,,,,Elden en De Laar,38.398214185,31.00283271911
106,05.18.G.0494,Gazon,,Stadsdeel 5,,227.107,70.113,16 x per jaar | Machinaal,,,Malburgen,227.1068785,70.1130500403821
107,03.09.G.2483,Haag,Taxus sp.,Afdeling Bossen & Parken,Begraafpark Moscowa,1.906,4.896,,,,Noord-Oost,1.9058705,4.89558116967575
108,03.06.G.0924,Vlak onderhoud derden,,Derden,,5.638,9.49,16 x per jaar,,,Noord-West,5.63735905,9.48886302427965
109,05.17.G.1553,Haag,,Stadsdeel 5,,11.625,35.527,,,,Malburgen,11.624538,35.5270531362174
110,05.18.G.2219,Gazon,,Stadsdeel 5,,19.987,24.269,16 x per jaar | Machinaal,,,Malburgen,19.9875,24.2687796128448
111,06.21.G.0352,Gazon,,Stadsdeel 6,,69.214,33.629,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",69.21439,33.6287043939378
112,03.07.G.0687,Gazon,,Stadsdeel 3,,355.563,142.903,16 x per jaar | Machinaal,,,Noord-West,355.563108,142.90319184863
113,02.12.G.2270,Gazon,,Afdeling Bossen & Parken,Park Zijpendaal,1078.319,238.69,18 x per jaar | Machinaal,,,Noord-West,1078.3192185,238.689847023581
114,06.20.G.0390,Blokhaag,Prunus laurocerasus 'Otto Luyken',Stadsdeel 6,,11.143,13.554,,,,Elden en De Laar,11.14345,13.5536443320175
115,06.22.G.4661,Vlak onderhoud derden,,Derden,,72.931,37.736,,,,Elden en De Laar,72.9311795,37.7363151189066
116,05.23.G.0145,Gazon,,Stadsdeel 5,,238.254,87.386,16 x per jaar | Machinaal,,,VKR,238.2535835,87.3864552511501
117,05.18.G.1433,Gazon,,Stadsdeel 5,,1316.447,341.962,16 x per jaar | Machinaal,,,Malburgen,1316.9194735,341.955160706934
118,03.09.G.4582,Vlak onderhoud derden,,Derden,Begraafpark Moscowa,154.362,83.717,,,,Noord-Oost,154.361981,83.7165766617186
119,04.05.G.0191,Gras/kruiden,,Stadsdeel 4,,770.956,210.01,2 x per jaar | Machinaal,,,Presikhaaf,770.9888404,210.005564052179
120,02.14.G.0331,Gras/kruiden,,Stadsdeel 2,,361.479,116.538,2 x per jaar | Machinaal gefaseerd,,,Noord-West,361.479046,116.537929253821
121,05.19.G.0746,Gazon,,Stadsdeel 5,,3.975,7.462,16 x per jaar | Machinaal,,,VKR,3.97467,7.46156216060366
122,02.12.G.3460,Gazon,,Stadsdeel 2,,11.922,16.197,16 x per jaar | Machinaal,,,Noord-West,11.923467705,16.1937782105012
123,05.23.G.0093,Gazon,,Stadsdeel 5,,2862.799,367.855,16 x per jaar | Machinaal,,,VKR,2862.7990135,367.854549954512
124,05.23.G.0503,Gazon,,Stadsdeel 5,,236.094,156.285,16 x per jaar | Machinaal,,,VKR,236.0938675,156.285059706809
125,05.19.G.2181,Gazon,,Stadsdeel 5,,37.007,25.874,16 x per jaar | Machinaal,,,VKR,37.0065715,25.8739785078263
126,01.01.G.1281,Boomspiegel,,Stadsdeel 1,,3.582,7.57,,,,CSA,3.5815005,7.56994134719681
127,02.12.G.0842,Gras/kruiden,,Stadsdeel 2,,158.995,57.117,2 x per jaar | Machinaal,,,Noord-West,158.9949805,57.1170247317222
128,04.04.G.0935,Gazon,,Stadsdeel 4,,35.569,24.464,16 x per jaar | Machinaal,,,Presikhaaf,35.474300235,24.4555482543514
129,03.09.G.2667,Haag,Taxus sp.,Afdeling Bossen & Parken,Begraafpark Moscowa,1.906,4.896,,,,Noord-Oost,1.9059045,4.89562156894336
130,06.22.G.4714,Vlak onderhoud derden,,Derden,,27.881,30.144,,Onkruid beheersen,,Elden en De Laar,27.8813835,30.1443791654027
131,05.16.G.0243,Gazon,,Stadsdeel 5,,127.557,76.725,16 x per jaar | Machinaal,,,Malburgen,127.556832,76.7246444734606
132,05.16.G.0843,Gras/kruiden,,Stadsdeel 5,,459.47,119.149,2 x per jaar | Machinaal,,,Malburgen,459.4701435,119.148829825643
133,05.19.G.3766,Gazon,,Afdeling Bossen & Parken,Park Immerloo,373.357,255.594,18 x per jaar | Machinaal,,,VKR,373.3571175,255.594269587391
134,04.03.G.0253,Gazon,,Stadsdeel 4,,45.581,42.915,16 x per jaar | Machinaal,,,CSA,45.290470835,42.9086181875175
135,04.04.G.0292,Gazon,,Stadsdeel 4,,12.968,28.435,16 x per jaar | Machinaal,,,Presikhaaf,12.9684935,28.4348024417792
136,06.24.G.1801,Gras/kruiden,,Stadsdeel 6,,1112.009,395.882,2 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",1112.067870775,395.871325505601
137,03.09.G.3444,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,51.431,51.508,,Graven onkruidvrij,,Noord-Oost,51.431468,51.5078913429412
138,06.24.G.1862,Gras/kruiden,,Stadsdeel 6,,557.272,605.053,1 x per jaar | Op Talud | Machinaal,,,"Schuytgraaf, Elderveld",557.27222,605.053019543113
139,03.11.G.1076,Gras/kruiden,,Afdeling Bossen & Parken,Park Klarenbeek,151.953,209.684,2 x per jaar | Machinaal,,,Noord-Oost,151.9528155,209.683859762151
140,02.12.G.0704,Gazon,,Stadsdeel 2,,51.519,41.13,16 x per jaar | Machinaal,,,Noord-West,51.51740758,41.1287193117719
141,03.11.G.1485,Gras/kruiden,,Afdeling Bossen & Parken,Park Klarenbeek,11.585,25.409,2 x per jaar | Machinaal,,,Noord-Oost,11.58535,25.4086464155617
142,02.12.G.2347,Gras/kruiden,,Afdeling Bossen & Parken,Park Zijpendaal,14.284,15.915,2 x per jaar | Machinaal,,,Noord-West,14.2843725,15.914850938102
143,06.24.G.0614,Gazon,,Stadsdeel 6,,135.462,303.047,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",135.47302021,303.044013072635
144,03.09.G.4357,Vaste planten,Persicaria amplexicaule 'Lisan',Afdeling Bossen & Parken,Begraafpark Moscowa,29.128,33.786,,,,Noord-Oost,29.127589,33.7859572194311
145,06.22.G.0467,Gazon,,Stadsdeel 6,,388.187,83.483,16 x per jaar | Machinaal,,,Elden en De Laar,388.1868925,83.4833841468547
146,03.08.G.0749,Gazon,,Stadsdeel 3,,80.733,46.954,16 x per jaar | Machinaal,,,Noord-Oost,80.70667559,46.9518228003163
147,04.03.G.0311,Gazon,,Stadsdeel 4,,78.507,36.066,16 x per jaar | Machinaal,,,CSA,78.507028,36.0655653371291
148,03.11.G.1637,Gazon,,Stadsdeel 3,,3820.88,293.732,16 x per jaar | Machinaal,,,Noord-Oost,3820.9883042,293.727151729153
149,04.02.G.0346,Gazon,,Stadsdeel 4,,8.128,12.237,16 x per jaar | Machinaal,,,CSA,8.1279835,12.2370327141691
150,03.08.G.1822,Vaste planten,Nepeta faassenii 'Grol',Stadsdeel 3,,2.216,5.964,,,,Noord-Oost,2.2161255,5.96383781194751
151,03.09.G.2249,Gras/kruiden,,Afdeling Bossen & Parken,Begraafpark Moscowa,85.996,120.431,3 x per jaar | Handmatig,,,Noord-Oost,85.9962645,120.430812760165
152,05.19.G.2421,Gazon,,Afdeling Bossen & Parken,Park Immerloo,47.969,97.797,18 x per jaar | Machinaal,,,VKR,47.9687005,97.7966224020889
153,06.21.G.2653,Blokhaag,Mahonia wagneri 'Pinnacle',Stadsdeel 6,,35.447,24.584,,,,"Schuytgraaf, Elderveld",35.447466,24.5837595715169
154,04.04.G.0766,Gazon,,Stadsdeel 4,,4.42,8.409,16 x per jaar | Machinaal,,,Presikhaaf,4.4197435,8.40935311253229
155,06.24.G.2498,Haag,Acer campestre,Stadsdeel 6,,8.146,23.218,,,,"Schuytgraaf, Elderveld",8.145824,23.2176702494096
156,05.19.G.3570,Vlak onderhoud derden,,Derden,,2.998,6.957,,,,VKR,2.997814,6.95668676080028
157,06.20.G.0438,Heesters hoog,,Stadsdeel 6,,107.964,42.395,,Geen onkruid beheersen,,Elden en De Laar,107.964081,42.3951839655512
158,03.09.G.1563,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,12.371,16.371,,Graven verplicht onderhoud,,Noord-Oost,12.371497,16.3708046367475
159,02.12.G.0900,Gazon,,Stadsdeel 2,,670.301,118.191,16 x per jaar | Machinaal,,,Noord-West,670.3010585,118.191459111705
160,03.09.G.2959,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,16.822,27.842,,Graven 3 x maaien handmatig,,Noord-Oost,16.8216815,27.8416750587735
161,05.17.G.1535,Gras/kruiden,,Stadsdeel 5,,293.613,79.759,2 x per jaar | Machinaal,,,Malburgen,293.6132485,79.7588352406331
162,05.16.G.0878,Gazon,,Stadsdeel 5,,611.26,471.896,16 x per jaar | Machinaal,,,Malburgen,612.171365025,471.851013847883
163,03.11.G.1072,Gras/kruiden,,Afdeling Bossen & Parken,Park Klarenbeek,132.928,212.581,2 x per jaar | Machinaal,,,Noord-Oost,132.927533,212.581068026277
164,06.20.G.0871,Heesters hoog,Gemengde soorten,Stadsdeel 6,,969.52,534.389,,Geen onkruid beheersen,,Elden en De Laar,969.5200535,534.388949487088
165,03.11.G.1699,Vaste planten,,Stadsdeel 3,,11.613,14.906,,,,Noord-Oost,11.611653725,14.903306885766
166,05.18.G.2482,Gazon,,Stadsdeel 5,,388.286,132.599,16 x per jaar | Op Talud | Machinaal,,,Malburgen,388.285595,132.59858786048
167,06.20.G.1279,Haag,Tilia cordata,Stadsdeel 6,,4.616,9.457,,,,Elden en De Laar,4.6162785,9.45708052929869
168,03.09.G.3358,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,123.961,95.898,,Graven 3 x maaien handmatig,,Noord-Oost,123.960686,95.8975785793543
169,05.19.G.2824,Gras/kruiden,,Stadsdeel 5,,414.525,371.584,1 x per jaar | Machinaal,,,VKR,414.524949,371.583928461356
170,06.21.G.3539,Gazon,,Stadsdeel 6,,71.397,145.951,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",71.3968085,145.950801712902
171,05.23.G.3402,Vlak onderhoud derden,,Derden,,0.833,3.653,,,,VKR,0.833355,3.65325311297956
172,05.23.G.2226,Gazon,,Stadsdeel 5,,209.892,158.262,16 x per jaar | Machinaal,,,VKR,209.88244358,158.260210658022
173,06.22.G.5024,Gras/kruiden,,Stadsdeel 6,,699.158,454.049,2 x per jaar | Op Talud | Machinaal,,,Elden en De Laar,699.158223,454.049237450608
174,05.23.G.0172,Gazon,,Stadsdeel 5,,349.463,155.852,16 x per jaar | Machinaal,,,VKR,350.38706648,155.829124340017
175,03.08.G.1453,Gazon,,Stadsdeel 3,,20.332,18.648,16 x per jaar | Machinaal,,,Noord-Oost,20.33077279,18.6457059085621
176,04.03.G.1195,Gazon,,Stadsdeel 4,,327.552,169.321,16 x per jaar | Machinaal,,,CSA,327.5522245,169.321214781701
177,06.22.G.4994,Gras/kruiden,,Stadsdeel 6,,183.71,325.649,3 x per jaar | Machinaal,,,Elden en De Laar,183.41829325,325.577211432018
178,04.04.G.0709,Gazon,,Stadsdeel 4,,505.342,268.57,16 x per jaar | Machinaal,,,Presikhaaf,505.3417025,268.570473389429
