FUNCTIEKLA,DEELGEB,ZONES_BG,ONTG_BG,TOEP_BG,ZONES_OG,ONTG_OG,TOEP_OG,OBJECTID,Shape__Area,Shape__Length,GlobalID
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,30,732923.78024292,4440.75234489792,c23864ea-2811-4a98-81e8-2369863f5e4b
Water,Water,Water,Water,Water,Water,Water,Water,31,5686.07975006104,422.750999618181,17f1fc12-3d37-4c75-a211-5570f823a8c3
Water,Water,Water,Water,Water,Water,Water,Water,32,57065.5741043091,2862.41256823085,e4917001-2038-432c-b171-5fa14fe2d931
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,33,1480.04550933838,178.526563140456,c5fe4aa0-c1b1-43ec-9a64-7b2293f449f0
Water,Water,Water,Water,Water,Water,Water,Water,34,462235.382125854,3268.73882581942,8fca3014-9437-4079-9bef-6930c6a98c2e
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,35,50240.04637146,1894.47982884757,577dd418-e8f7-4ca9-a87c-9cac24365811
Water,Water,Water,Water,Water,Water,Water,Water,36,29446.9666519165,1156.42537837216,079a5afb-abb5-4ed3-8ffa-87142197a99e
Water,Water,Water,Water,Water,Water,Water,Water,37,13753.7147064209,729.477726428376,cdbf5a9f-2833-4f44-b257-5bfc807ec532
Water,Water,Water,Water,Water,Water,Water,Water,38,8380.5895690918,569.247931905365,9357f807-a638-4b29-8003-e205140ce4ba
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,39,29772.2473449707,978.44442066664,8527d972-4fe5-436f-b44c-1fde18edbce7
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,40,60851.3817596436,2007.27236285355,98c79594-e670-465b-b046-a0ff61e5404a
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,41,22623.1823348999,708.625854805474,4e723593-9dfb-4f00-b6a2-b3785dde14cd
Wonen,Wonen 1900 - 1945,Wonen 1900 - 1945,Wonen,Wonen,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,42,3432.90715789795,260.902793933181,7eb3d4bf-dd3e-45f7-98ad-d3f223fb63a9
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,43,705880.66317749,6074.91868010949,36135d99-b4b4-421b-becf-c947722f86f1
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,44,17828.4167175293,671.38695937988,0294572d-ceec-46e7-9746-2e783b928115
Wonen,Wonen 1900 - 1945,Wonen 1900 - 1945,Wonen,Wonen,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,45,15039.632019043,606.143961520531,7a8b76cc-8c77-45d1-9217-6fde0c6ba5a3
Industrie,Industrie,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,46,19048.6904602051,904.007219477439,acf23e95-cddd-4591-9acf-3b3cd0b0e944
Water,Water,Water,Water,Water,Water,Water,Water,47,0.247314453125,2.30707634714856,9ad33ba6-e05b-4634-8997-f0a57f584186
Industrie,Industrie,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,48,2861.14621734619,243.849592867192,cac8f749-74af-42aa-ada8-b7667685b5c1
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,49,862064.044029236,7343.30599004839,1efffe1a-1333-4701-ae6f-06183459caef
Water,Water,Water,Water,Water,Water,Water,Water,50,146161.104446411,4541.52093749963,237db95d-3523-4e0c-a94e-5c1af98eb97c
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,51,1.07957458496094,51.0062684574759,cabc482c-0fb8-4730-8371-88e42a4cb13b
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,52,113575.706832886,2268.16547299833,115bca0b-b3ef-431d-865c-a52e87e31f3c
Water,Water,Water,Water,Water,Water,Water,Water,53,1386800.3824234,9475.1341111879,ee17a851-5c98-4a74-b29e-26635f0f08d2
Water,Water,Water,Water,Water,Water,Water,Water,54,59.2610321044922,35.606687334823,4b693ceb-ac32-442a-bdc0-cb6c25e6859e
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,55,46543.513671875,1134.01000203919,bebca02b-8598-4bd6-9d8b-3ff7d9b96629
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,56,522.067047119141,92.1003850835132,91c8f092-3b3e-407f-9064-a9fa94b3cffc
Water,Water,Water,Water,Water,Water,Water,Water,57,200561.412155151,4387.43343453699,e9bc27d7-4239-4905-a11b-0ec731328eeb
Water,Water,Water,Water,Water,Water,Water,Water,58,250.65111541748,188.715350958045,ee66517b-f015-496b-bce3-ecc9cb38761f
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,59,93149.251449585,2921.83811045696,24c79eb1-18a4-4cb0-94e1-475eb9ba916a
Water,Water,Water,Water,Water,Water,Water,Water,60,1494.81430053711,194.871770834134,6a8f78df-f050-48e9-905b-764ea8341415
Water,Water,Water,Water,Water,Water,Water,Water,61,24493.2871856689,728.558624972751,37cddf63-ea2d-43c9-baa1-1f12ce02bdc9
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,62,58207.594291687,1217.28564170684,d7e7e58b-ea74-47d6-83db-d9451b5a554a
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,63,20071.8916625977,816.044952038146,279f7dbf-9833-45a5-9584-b10f4b6434b1
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,64,12226647.4684372,20556.1439929211,12567276-274a-4132-88db-1f973f5fef1e
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,65,3364.14518737793,311.740776729546,4161bef9-81dc-464e-9eb6-4581743e5484
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,66,32771.1660766602,841.019628181622,6bd53ab6-cf19-4718-9b87-b02bcf506c19
Water,Water,Water,Water,Water,Water,Water,Water,67,21673.912940979,907.404705423245,2c70700f-c63c-4196-99c6-e54a7d4a1bc5
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,68,241920.474014282,2494.84316477887,ce154044-4fed-40c0-8dfb-6dec2d472cd4
Wonen,Wonen voor 1900,Geen onderdeel van BKK,Geen onderdeel van BKK,Geen onderdeel van BKK,Geen onderdeel van BKK,Geen onderdeel van BKK,Geen onderdeel van BKK,69,213109.384963989,3101.05977423374,66af701e-aaad-47f6-a66c-4690049acf85
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,70,48100.5516815186,1101.86958896266,61a6907f-a338-41c8-b3b6-22ec16b3d17f
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,71,14419.857460022,620.042250839662,f785b4f5-dbce-4dcd-88e9-2916fb41074d
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,72,11237.6968612671,671.253512824995,ff3fdb5e-eea6-4748-83c6-c1d126f9d957
Water,Water,Water,Water,Water,Water,Water,Water,73,11665.2706680298,6414.88929844368,9027ae38-ebd3-45da-bf91-8f5f2ea9dfd7
Water,Water,Water,Water,Water,Water,Water,Water,74,601757.976364136,11182.8960713545,7fd86ded-8238-410b-bcd4-d93d1f089326
Water,Water,Water,Water,Water,Water,Water,Water,75,57294.7308578491,1982.47028599021,aa456d40-0173-441b-8a9a-aa567ccd010d
Water,Water,Water,Water,Water,Water,Water,Water,76,2702.57988739014,259.510886730137,8a974913-a95f-4bc2-83f8-9ba19a6d6df6
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,77,260611.694137573,5087.7989537468,158a79c7-2abe-4f52-aff6-a299a74a377f
Water,Water,Water,Water,Water,Water,Water,Water,78,36163.8868637085,5092.98633727458,8f18ed3d-7165-4e1c-b2c5-204591956420
Water,Water,Water,Water,Water,Water,Water,Water,79,11728.5806655884,891.337081517573,a2ca3422-4581-4513-9471-bfc62cfea494
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,80,123735.557182312,1654.9312597929,d5d4e5ec-977a-407c-9290-dcbd2a5e878a
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,81,29878.1153945923,719.839552870272,6f2464d9-0bb5-4d31-ab1a-f86eb943a32b
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,82,410065.136047363,4192.65208689114,c36e2b9b-a7c1-4d52-ab77-8f6a48e7e441
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,83,21706.8717956543,717.884165744569,19bf85b8-38ad-480d-af30-976ea8509300
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,84,15889.3694000244,607.604022908433,9c1fb614-61fa-403b-9da6-95704139914e
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,85,21070.3962478638,968.946047575332,ba23ffb3-6d8b-4ab7-a487-2247cd028826
Water,Water,Water,Water,Water,Water,Water,Water,86,1007.43321228027,139.245438250399,b833ea5a-da0b-463d-800d-809a6dbd1969
Water,Water,Water,Water,Water,Water,Water,Water,87,276.741859436035,65.3629673738531,5151f503-da4b-41e3-9965-c1e8dcf8a804
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,88,5897788.01744843,15110.6396465061,4d581608-5419-42a4-9c35-89ce54877601
Industrie,Industrie,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,89,187959.150550842,2471.44747355263,cd0396c1-347d-4456-b71b-b65f73355f1e
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,90,133727.52268219,1786.23720923402,5e194fe8-1741-4716-977e-07b41b02c58e
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,91,21660.616859436,799.252901137545,c822fb52-2a1e-47a1-a1b8-801d9dc1d5cf
Water,Water,Water,Water,Water,Water,Water,Water,92,2749.9925994873,329.874214553821,da5f6dad-f31e-41ef-81dd-7aa8ade99568
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,93,46395.1354904175,1119.72823614188,adf5cad7-c021-4e74-b6b2-ab8d7060a264
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,94,11514.5459823608,715.057717015086,fdea34d3-501d-4f61-be6c-cc03027d0a6a
Water,Water,Water,Water,Water,Water,Water,Water,95,12858.5465316772,1047.03226782879,7bec8a3d-2ff7-4c0f-829e-78e86b490a0e
Water,Water,Water,Water,Water,Water,Water,Water,96,23458.3685531616,2570.03158769583,7583a233-a1a5-4b5e-9a6f-7d1ee71a04a5
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,97,1057147.97065735,5303.33425386124,64eca923-81b9-45ad-be22-324d5817b9ef
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,98,19421.5381469727,583.945109002487,fe94f866-d205-47f8-9ab7-aa6f484ecc07
Water,Water,Water,Water,Water,Water,Water,Water,99,215.088134765625,122.919488858446,4f475c4d-07d9-43b2-99f1-de5b5ee4625b
Water,Water,Water,Water,Water,Water,Water,Water,100,2795.3717880249,751.590139400863,a6801fdd-73fd-4313-874c-eb5ea51fc964
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,101,1038.99761199951,484.052386630974,26b4a0ac-5ff4-4179-aa20-f3df18072c22
Water,Water,Water,Water,Water,Water,Water,Water,102,28649.9804000854,705.06571986032,113da9f5-e88c-431e-b628-2c13fe45c344
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,103,17758041.2128448,49053.678416734,e2e0db52-a6ee-49f7-8d84-299390332b51
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,104,27940051.0528488,46786.6149935015,a28e7c26-186a-461c-bc48-076dccb0711f
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,105,1582447.17987823,5312.84359233354,f039dded-82a2-4388-a339-5da083a058e9
Water,Water,Water,Water,Water,Water,Water,Water,106,204.222831726074,122.010585181357,21b25b24-1877-413f-9a9c-78f13599d51e
Water,Water,Water,Water,Water,Water,Water,Water,107,274311.86945343,9689.55802095558,85760580-4c39-4fa2-884e-3f45cae0959e
Wonen,Wonen 1900 - 1945,Wonen 1900 - 1945,Wonen,Wonen,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,108,7551.62272644043,579.046516753843,23eb0eca-8eaf-45f5-96c4-c51259785442
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,109,40494.6318130493,1195.45105734581,eb9ab9c9-a491-4193-840e-9eb1bba40002
Water,Water,Water,Water,Water,Water,Water,Water,110,228270.996673584,2699.0544593015,c266ee02-f9be-43f5-b241-b83abde1cd8c
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,111,515524.626495361,4373.58636803315,848afe54-e7fe-4444-9efb-0e6d30d99803
Water,Water,Water,Water,Water,Water,Water,Water,112,120195.562362671,1912.34695284001,f98d0e60-6c8d-4b47-b066-d2f71f3bf418
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,113,1.87449645996094,59.8267731324915,291a98e6-e3b3-4ac8-b556-37bbbee43813
Water,Water,Water,Water,Water,Water,Water,Water,114,4945.24905395508,383.753508756287,ce76b1e1-4378-4320-a599-ad80070e31e8
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,115,6513.72058105469,338.048865914718,d682412e-9a1d-462d-a40e-9f6b0102f0df
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,116,48218.6277770996,2074.4572428181,d8958268-32a8-4c0a-8f5a-12eb81f1397b
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,117,67220.8293991089,1754.07675432897,f38dd1cf-0c1b-4a70-9492-2285937db1bd
Water,Water,Water,Water,Water,Water,Water,Water,118,123254.035858154,4290.93092483726,6f00d41b-3a6d-4bfc-9c91-49636cfb49c1
Water,Water,Water,Water,Water,Water,Water,Water,119,443980.026954651,2898.94831425795,4e676ba1-e49c-464a-8942-0bf0ab7b485f
Water,Water,Water,Water,Water,Water,Water,Water,120,16466.3948059082,809.181741082961,4e9a508d-edd4-4486-915c-d077ae6cd7ba
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,121,3175.82907104492,358.664961874117,a472bac3-5607-414e-9013-ee4eae5296e1
Water,Water,Water,Water,Water,Water,Water,Water,122,1897.73439788818,421.991009067824,a1cfec3a-7a3d-4873-8c93-2e45bc037829
Water,Water,Water,Water,Water,Water,Water,Water,123,12992.3134384155,614.943401550603,fb21ce86-1d93-410a-a736-87c5c90094ef
Water,Water,Water,Water,Water,Water,Water,Water,124,2305.06072998047,723.321655272333,89770495-c6a6-4fb9-8de0-8d2e6ab891f9
Water,Water,Water,Water,Water,Water,Water,Water,125,8515.07173919678,1535.57814288571,618db21f-b6c8-4693-80a8-93c96074218b
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,126,13915.476890564,679.118257678534,5a9f6afc-5b95-4f38-9c9d-0a27c6c19c48
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,127,1338282.3904953,5875.29003858152,a4c61129-0195-4549-a899-0228f554d5bb
Industrie,Industrie,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,128,88070.9379882813,1959.07374836643,5f702d52-d6fe-45fd-9db2-1ae1c037840b
Water,Water,Water,Water,Water,Water,Water,Water,129,0.0722732543945313,2.70405212649026,954b84f3-de99-4774-ab76-a1edfd285c16
Water,Water,Water,Water,Water,Water,Water,Water,130,6341.74312591553,681.332197954682,ab79efc5-c708-4a2e-a2be-69c2580bfadb
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,131,33355.94921875,779.535876360895,a80d835f-029a-424b-bbe3-a33c7d9f04a1
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,132,8998.33622741699,432.98451143451,1442ae90-0b8f-4972-a693-7eaf4c1598b8
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,133,23913.83543396,710.63618845794,f55181da-914d-469a-8ceb-f6d2bdef039a
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,134,28024.0907669067,728.626105155788,c36ffd0a-00d4-4f90-99da-45ebd7abf473
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,135,3.0517578125e-05,0.06271744141715,3cf2b40d-7a7e-4183-98cf-049a0bc402ac
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,136,139059.063285828,2224.97758022962,7b7dc94e-f190-4263-8329-e1aebe19aa73
Water,Water,Water,Water,Water,Water,Water,Water,137,43285.2547302246,1053.12268832814,7cc7ea19-8173-48e7-88c3-c731de8374b2
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,138,28043.1997680664,751.820959587426,37c4e549-a3de-4cc8-a9ca-ca7f2bb2b36a
Water,Water,Water,Water,Water,Water,Water,Water,139,433516.109428406,10779.9446001285,beb333be-051f-489a-a035-b53b13cc8908
Water,Water,Water,Water,Water,Water,Water,Water,140,17508.9253387451,704.482520635544,9824dd56-3ee8-40f1-9538-1f84d2204b6f
Water,Water,Water,Water,Water,Water,Water,Water,141,8586.94400787354,497.477984934339,f210ab6a-a4dd-4fc2-970d-36d9b3950f28
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,142,258870.337440491,5966.18615648107,4e9c99c1-f78c-49b0-8ad3-07b6f4ad5892
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,143,180360.059669495,2873.46181370323,90f05a0e-df72-48b8-8dda-906b99f80e1d
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,144,287057.708435059,3365.6932405673,87ad94dc-112a-4eac-ab45-6e77542c4086
