OBJECTID,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,SUBTYPE,DROOGVALLEND,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,TIJDSTIP_REGISTRATIE,Shape__Area,Shape__Length
286,W0152,Waterschap Rijn en IJssel,bestaand,0,"oever, slootkant",,82.365,283,,2016/02/10 10:04:12+00,82.347044845,67.4981818804324
287,W0646,Waterschap Hunze en Aa's,bestaand,0,"oever, slootkant",,131.498,283,,2021/05/19 12:46:01+00,131.4978095,263.003109833882
288,W0616,Hoogheemraadschap van Rijnland,bestaand,0,"oever, slootkant",,1201.762,283,,2022/10/13 11:50:01+00,1201.7617395,1239.16901490234
289,G0363,Amsterdam,bestaand,0,"oever, slootkant",,251.404,283,,2006/11/24 08:16:38+00,250.662996335,245.812897342459
290,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,222.28,283,,2019/08/26 17:17:12+00,222.278601425,367.751670289559
291,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,323.017,283,,2022/12/21 07:32:47+00,322.983190995,337.559567386439
292,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,75.788,283,,2019/09/30 09:34:34+00,75.785192895,170.482012074671
293,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,48.704,283,,2016/03/31 11:50:50+00,48.70393,83.7125302171618
294,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,503.382,283,,2019/07/31 14:01:20+00,503.3820515,640.95763471556
295,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,22.669,283,,2018/01/22 10:19:19+00,22.6685095,43.377652020074
296,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,"oever, slootkant",,142.577,283,,2019/07/31 11:02:20+00,142.5766065,167.753895273982
297,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,4435.252,283,,2017/08/03 07:35:54+00,4435.379216325,1765.28658187557
298,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,374.079,283,,2022/09/27 09:21:30+00,374.061234345,1042.9603896045
299,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,1967.813,283,,2016/03/30 16:31:30+00,1967.813445,518.20029163214
300,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,30.53,283,,2016/03/30 16:34:27+00,30.5295325,66.3776319672944
301,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,31.081,283,,2016/03/30 16:31:12+00,31.0810955,93.6490303993588
302,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,342.384,283,,2016/03/30 16:32:21+00,342.3837335,523.668644287766
303,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,361.951,283,,2021/02/04 12:47:54+00,361.950796,679.702518582129
304,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,63.608,283,,2016/03/30 16:33:57+00,63.6083195,95.8531616940216
305,W0663,Waterschap Vechtstromen,bestaand,0,"oever, slootkant",,467.556,283,,2020/03/19 08:49:07+00,466.69939423,902.188357792991
306,W0663,Waterschap Vechtstromen,bestaand,0,"oever, slootkant",,225.348,283,,2017/05/12 16:06:39+00,225.348129,205.758547410352
307,G0164,Hengelo (O),bestaand,0,"oever, slootkant",,6.052,283,,2016/03/08 11:11:24+00,6.063242495,40.0888692167318
308,W0663,Waterschap Vechtstromen,bestaand,0,"oever, slootkant",,14.89,283,,2020/03/19 08:49:07+00,14.992508185,29.3067749369655
309,W0663,Waterschap Vechtstromen,bestaand,0,"oever, slootkant",,90.542,283,,2022/04/12 16:05:29+00,90.5421635,63.9155989178412
310,W0653,Wetterskip Fryslân,bestaand,0,"oever, slootkant",,1532.711,283,,2020/11/27 07:50:41+00,1532.70404128,2385.3367796127
311,G1969,Westerkwartier,bestaand,0,"oever, slootkant",,11.265,283,,2019/01/14 09:09:33+00,11.265366,39.092664344812
312,W0653,Wetterskip Fryslân,bestaand,0,"oever, slootkant",,54.994,283,,2016/04/13 14:23:27+00,54.994086,166.06940835264
313,G1969,Westerkwartier,bestaand,0,"oever, slootkant",,48.97,283,,2021/08/27 15:13:36+00,48.9704265,100.128976209963
314,W0653,Wetterskip Fryslân,bestaand,0,"oever, slootkant",,54.085,283,,2016/04/13 14:23:27+00,54.0854815,110.774382652226
315,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,62.248,283,,2016/03/30 16:33:59+00,62.24752,104.783730111016
316,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,408.213,283,,2016/03/30 16:32:11+00,408.2127785,723.248618635835
317,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,8.649,283,,2016/03/30 16:34:55+00,8.6489145,18.7362440619498
318,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,21.148,283,,2016/03/30 16:34:37+00,21.148258,132.106771729167
319,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,25.056,283,,2016/03/30 16:34:33+00,25.0561085,43.6756614799506
320,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,86.115,283,,2016/03/30 16:33:42+00,86.1147415,138.23829544321
321,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,177.552,283,,2016/03/30 16:31:19+00,177.552285,263.288247516914
322,W0653,Wetterskip Fryslân,bestaand,0,"oever, slootkant",,132.217,283,,2016/04/13 14:23:27+00,132.2166835,362.677368323327
323,G0344,Utrecht,bestaand,0,"oever, slootkant",,44.143,283,,2018/03/13 09:31:04+00,44.14259,73.6186459083015
324,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,16.637,283,,2016/03/31 11:50:50+00,16.637081,53.4894351380977
325,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,115.701,283,,2021/04/21 15:12:09+00,115.79288355,153.0956560995
326,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,109.233,283,,2022/05/18 13:39:30+00,109.233033,170.021101684959
327,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,17.249,283,,2019/09/30 14:07:58+00,17.249205985,32.4379106514145
328,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,67.311,283,,2016/03/31 11:50:50+00,67.311780965,210.411688099086
329,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,367.927,283,,2016/03/31 11:50:50+00,367.9272035,106.437514649208
330,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,1.836,283,,2016/03/31 11:50:50+00,1.835786,7.00211826919108
331,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,8.034,283,,2021/04/21 15:12:09+00,8.034101,19.6121955376969
332,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,82.08,283,,2016/03/31 11:50:50+00,82.078088075,173.538917764721
333,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,103.391,283,,2021/04/21 15:12:09+00,102.531696955,131.320507566137
334,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,11.433,283,,2016/03/31 11:50:50+00,11.433309,26.0042150844948
335,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,53.882,283,,2022/05/18 13:39:30+00,53.8822825,112.752162464257
336,G1969,Westerkwartier,bestaand,0,"oever, slootkant",,16.007,283,,2021/03/09 14:28:05+00,16.006792,29.666016439617
337,W0653,Wetterskip Fryslân,bestaand,0,"oever, slootkant",,73.822,283,,2016/04/13 14:23:27+00,73.8216855,82.7485751587377
338,W0653,Wetterskip Fryslân,bestaand,0,"oever, slootkant",,252.336,283,,2016/04/13 14:23:27+00,252.3360345,400.517744419182
339,W0647,Waterschap Noorderzijlvest,bestaand,0,"oever, slootkant",,14.283,283,,2021/03/09 14:28:05+00,14.283149,30.4160749772606
340,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,342.206,283,,2016/04/05 11:47:32+00,342.16900266,267.895621231186
341,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,7.282,283,,2016/04/05 11:47:32+00,7.27751481,28.8497718463864
