OBJECTID_1,OBJECTID,Gemeentena,Kruispuntn,KPX,KPY,Nomenclatu,Nomencla_1,Omschrijvi,Onderhouds,Onderhou_1,Onderhou_2,Ordernumme,Provincie,Wegbeheerd,Wegbehee_1,Wegbehee_2,Wegnummer,Wegwijzern,WWX,WWY,F21
57,57,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N857,25, , , 
58,58,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N857,26, , , 
59,59,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,3,241109,555654, 
60,60,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,4,240823,555494, 
61,61,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,11,239092,554620, 
62,62,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,12,238749,554537, 
63,63,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,13,239320,554696, 
64,64,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N376,3,241109,555654, 
65,65,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N376,4,240823,555494, 
66,66,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N376,11,239092,554620, 
67,67,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N376,12,238749,554537, 
68,68,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N376,13,239320,554696, 
69,69,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N857,3,241109,555654, 
70,70,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N857,4,240823,555494, 
71,71,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N857,11,239092,554620, 
72,72,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N857,12,238749,554537, 
73,73,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N857,13,239320,554696, 
74,74,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,16349, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,24,239795,554798, 
75,75,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,16349, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,30,240096,555145, 
76,76,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,16349, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N376,24,239795,554798, 
77,77,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,16349, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N376,30,240096,555145, 
78,78,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,16349, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N857,24,239795,554798, 
79,79,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,16349, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N857,30,240096,555145, 
80,80,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,7670, Drenthe, Provincie Drenthe,11233, O, N033,36, , , 
81,81,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,7670, Drenthe, Provincie Drenthe,11233, O, N033,37, , , 
82,82,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,7670, Drenthe, Provincie Drenthe,11233, O, N376,36, , , 
83,83,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,7670, Drenthe, Provincie Drenthe,11233, O, N376,37, , , 
84,84,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,7670, Drenthe, Provincie Drenthe,11233, O, N857,36, , , 
85,85,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,7670, Drenthe, Provincie Drenthe,11233, O, N857,37, , , 
86,86,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,19865, Drenthe, Provincie Drenthe,11233, O, N033,35, , , 
87,87,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,19865, Drenthe, Provincie Drenthe,11233, O, N033,38, , , 
88,88,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,19865, Drenthe, Provincie Drenthe,11233, O, N033,40, , , 
89,89,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,19865, Drenthe, Provincie Drenthe,11233, O, N376,35, , , 
90,90,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,19865, Drenthe, Provincie Drenthe,11233, O, N376,38, , , 
91,91,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,19865, Drenthe, Provincie Drenthe,11233, O, N376,40, , , 
92,92,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,19865, Drenthe, Provincie Drenthe,11233, O, N857,35, , , 
93,93,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,19865, Drenthe, Provincie Drenthe,11233, O, N857,38, , , 
94,94,AA EN HUNZE,10944,239959,555011, wijk-/objectbord, VWF, N33-N376-N857,15038, , PROV,19865, Drenthe, Provincie Drenthe,11233, O, N857,40, , , 
95,95,AA EN HUNZE,20647,240666,566550, paddestoel, NTG, Aan de voor fietsers, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
96,96,AA EN HUNZE,20670,240460,566021, paddestoel, NTG, Te Schipborg aan het fietspad, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
97,97,AA EN HUNZE,20898,240514,562081, paddestoel, NTG, Te Gasteren even ten N. van, Gemeente Aa en Hunze,10652, GEM,7771, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
98,98,AA EN HUNZE,21563,237893,556613, paddestoel, NTG, Aaan het aan de zuidzijde van, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
99,99,AA EN HUNZE,21567,238544,557280, paddestoel, NTG, Aan de weg Rolde-Balloo-Loon, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
100,100,AA EN HUNZE,21568,238734,557718, fietswegwijzer, NFM, Ten Noorden van Balloo aan, Gemeente Aa en Hunze,10652, GEM, S01920, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,2, , , 
101,101,AA EN HUNZE,21569,238644,560258, fietswegwijzer, NFM, Aan de weg Gasteren-Loon bij, Gemeente Aa en Hunze,10652, GEM, S01920, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,2, , , 
102,102,AA EN HUNZE,22147,237036,550929, paddestoel, NTG, Aan de weg Hooghalen-Amen,", Gemeente Aa en Hunze",10652, GEM,10935, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
103,103,AA EN HUNZE,22148,237374,551257, paddestoel, NTG, Aan de weg Ekehaar-Amen-Rolde, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
104,104,AA EN HUNZE,22869,238208,556931, paddestoel, NTG, Aan het prov.fietspad Assen-, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
105,105,AA EN HUNZE,23166,238565,547998, paddestoel, NTG, Aan het fietspad Schoonoord-, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
106,106,AA EN HUNZE,23167,237813,549792, paddestoel, NTG,1,5 Km ZZO van de Wegwijzer, Gemeente Aa en Hunze,10652, GEM,0, Drenthe,0,10652, GEM,0,1, , 
107,107,AA EN HUNZE,23388,236692,552480, paddestoel, NTG, Esweg-Hoofdstraat, Gemeente Aa en Hunze,10652, GEM,10935, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
108,108,AA EN HUNZE,23389,234898,551305, paddestoel, NTG, Ten Z. van Geelbroek,", Gemeente Aa en Hunze",10652, GEM,12092, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
109,109,AA EN HUNZE,23390,234877,550903, paddestoel, NTG, In luchtlijn ca 1,5 km ten, Gemeente Aa en Hunze,10652, GEM,10153, Drenthe,0,10652, GEM,0,1, , 
110,110,AA EN HUNZE,23508,238353,556751, paddestoel, NTG, a/d voor fietsers aangegeven, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
111,111,AA EN HUNZE,23509,239142,556694, paddestoel, NTG, Ballo??rstraat, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
112,112,AA EN HUNZE,23510,239959,556684, paddestoel, NTG, Aan de Esstraat of het, Gemeente Aa en Hunze,10652, GEM,7771, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
113,113,AA EN HUNZE,23512,240586,556997, paddestoel, NTG, Aan het fietspad Rolde-, Gemeente Aa en Hunze,10652, GEM,12308, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
114,114,AA EN HUNZE,23533,238242,554819, paddestoel, NTG, Te Nijland aan de weg Ekehaar-, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
115,115,AA EN HUNZE,23534,237131,555623, paddestoel, NTG, Even ten Z van de kom van het, Gemeente Aa en Hunze,10652, GEM,13610, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
116,116,AA EN HUNZE,23535,237062,555999, paddestoel, NTG, Te Deurze waar het fietspad, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
117,117,AA EN HUNZE,24009,235781,553819, paddestoel, NTG, Hemmenweg, Gemeente Aa en Hunze,10652, GEM,10935, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
118,118,AA EN HUNZE,24010,235469,552967, paddestoel, NTG, Ten W. van Ekehaar., Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
119,119,AA EN HUNZE,24162,237739,549358, paddestoel, NTG, Aaan een fietspad dat van een, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
120,120,AA EN HUNZE,24900,236760,552353, paddestoel, NTG, Te Ekehaar aansluiting, Gemeente Aa en Hunze,10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
121,121,AA EN HUNZE,24901,237909,552395, paddestoel, NTG, Ten O van Ekehaar, aansluiting, Gemeente Aa en Hunze,10652, GEM,0, Drenthe,0,10652, GEM,0,1, , 
122,122,AA EN HUNZE,24902,238179,552601, paddestoel, NTG, Ten O van Ekehaar., Gemeente Aa en Hunze,10652, GEM,13610, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
123,123,AA EN HUNZE,24903,238533,551998, paddestoel, NTG, Ten WNW van Grolloo., Gemeente Aa en Hunze,10652, GEM,11234, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
124,124,AA EN HUNZE,24904,239845,551517, paddestoel, NTG, Ten NW van Grolloo, kruising, Gemeente Aa en Hunze,10652, GEM,0, Drenthe,0,10652, GEM,0,1, , 
125,125,AA EN HUNZE,24905,239105,550019, paddestoel, NTG, Ten zuiden van Rolde., Gemeente Aa en Hunze,10652, GEM,19866, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
126,126,AA EN HUNZE,24906,239179,550781, paddestoel, NTG, Ten NW van Grolloo,", Gemeente Aa en Hunze",10652, GEM,0, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
127,127,AA EN HUNZE,60756,237348,554401, aftakkingsbord, VAS, N033-VERZ.PL. NIJLANDERVELD, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,2,238117,554490, 
128,128,AA EN HUNZE,60756,237348,554401, aftakkingsbord, VAS, N033-VERZ.PL. NIJLANDERVELD, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,4,237816,554465, 
129,129,AA EN HUNZE,60756,237348,554401, uitbord, VUF, N033-VERZ.PL. NIJLANDERVELD, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,5, , , 
130,130,AA EN HUNZE,60756,237348,554401, verzorgingsplaatsbord, VPF, N033-VERZ.PL. NIJLANDERVELD, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,6,237507,554472, 
131,131,AA EN HUNZE,60757,237030,554358, aftakkingsbord, VAS, N033-VERZ.PL. BAARVELD, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,2,236972,554361, 
132,132,AA EN HUNZE,60757,237030,554358, aftakkingsbord, VAS, N033-VERZ.PL. BAARVELD, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,4,237271,554394, 
133,133,AA EN HUNZE,60757,237030,554358, uitbord, VUF, N033-VERZ.PL. BAARVELD, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,5, , , 
