FID,length,id,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2009.15,45330.6015625,15,2009-05-09T00:00:00,,,"LINESTRING (75317.57800000161 370940.7809999995, 33619.08999999985 388720)"
vlieglijnen_wschelde_2009.16,45354,16,2009-05-09T00:00:00,,,"LINESTRING (75271.9059999995 370416.5940000005, 33535.1799999997 388165.811999999)"
vlieglijnen_wschelde_2009.17,46554.1015625,17,2009-05-09T00:00:00,,,"LINESTRING (74894.57800000161 369918.313000001, 32055.890999998897 388142.7190000005)"
vlieglijnen_wschelde_2009.18,45666.19921875,18,2009-05-09T00:00:00,,,"LINESTRING (74834.74199999869 369368.5940000005, 32808.41000000015 387234.4690000005)"
vlieglijnen_wschelde_2009.19,46213,19,2009-05-11T00:00:00,,,"LINESTRING (74409.3909999989 368909.125, 31884.721000000834 387000.375)"
vlieglijnen_wschelde_2009.20,32187.69921875,20,2009-05-11T00:00:00,,,"LINESTRING (61407.69099999964 373844, 31789.881000000983 386446.9059999995)"
vlieglijnen_wschelde_2009.21,33301.19921875,21,2009-05-11T00:00:00,,,"LINESTRING (60605.25 373533.7190000005, 29984.438999999315 386623.313000001)"
vlieglijnen_wschelde_2009.22,36341.69921875,22,2009-05-09T00:00:00,,,"LINESTRING (58270.10200000182 373948.375, 24849.140999998897 388222.8440000005)"
vlieglijnen_wschelde_2009.23,35005.5,23,2009-05-01T00:00:00,,,"LINESTRING (57713.44099999964 373524.4690000005, 25531.079999998212 387296.9059999995)"
vlieglijnen_wschelde_2009.24,32307.5,24,2009-05-01T00:00:00,,,"LINESTRING (56248.01199999824 373586.7809999995, 26593.16000000015 386407.2809999995)"
vlieglijnen_wschelde_2009.25,29702.30078125,25,2009-05-01T00:00:00,,,"LINESTRING (55782.23800000176 373117.8440000005, 28377.381000000983 384572.2190000005)"
vlieglijnen_wschelde_2009.26,17635.19921875,26,2009-05-01T00:00:00,,,"LINESTRING (55161.26999999955 372852, 38847.44099999964 379549.813000001)"
vlieglijnen_wschelde_2009.27,24315,27,2009-05-01T00:00:00,,,"LINESTRING (54390.629000000656 372534.9059999995, 31909 381797.4059999995)"
vlieglijnen_wschelde_2009.28,24705.59960938,28,2009-04-30T00:00:00,,,"LINESTRING (53861.46900000051 372145.2190000005, 31101.890999998897 381756.063000001)"
vlieglijnen_wschelde_2009.29,24866,29,2009-04-30T00:00:00,,,"LINESTRING (53437.48800000176 371695.0309999995, 30544.699000000954 381402.6559999995)"
vlieglijnen_wschelde_2009.30,24550.5,30,2009-04-30T00:00:00,,,"LINESTRING (52487.41000000015 371477.625, 29914.868999999017 381132.061999999)"
vlieglijnen_wschelde_2009.31,26875.5,31,2009-04-30T00:00:00,,,"LINESTRING (51449.33999999985 371226.875, 26740.199000000954 381798.063000001)"
vlieglijnen_wschelde_2009.32,28241.30078125,32,2009-04-30T00:00:00,,,"LINESTRING (50882.879000000656 370963.436999999, 24864.109000001103 381945.0940000005)"
vlieglijnen_wschelde_2009.33,28493.69921875,33,2009-04-30T00:00:00,,,"LINESTRING (50168.30900000036 370577.7809999995, 23921.35000000149 381667.875)"
vlieglijnen_wschelde_2009.34,28639.09960938,34,2009-04-30T00:00:00,,,"LINESTRING (49835.300999999046 370176.2190000005, 23468.210999999195 381355.436999999)"
vlieglijnen_wschelde_2009.35,28746.69921875,35,2009-04-30T00:00:00,,,"LINESTRING (49166.07800000161 369791.2809999995, 22706.050999999046 381026.8440000005)"
