Type;Locatie;Code;Naam;Aanduiding;Straat;Wijk;Plaatsnaam;Objectgroep;Typenummer;Bouwjaar;Ondergrond;Oppervlakte;Aantal;RDX;RDY;LON;LAT
Speeltoestel;102 020 - De Veste 15-32                            ;102 020.02   ;CP - Duikelrek - 1-delig - 80cm           ;Duikelen                                              ;De Veste 15        ;de Veste          ;Lelystad ;Duikelrek              ;30.2.216               ;1989           ;Gras                   ;     ;1;161018;503349;5,4758636395;52,5177786566
Speeltoestel;102 020 - De Veste 15-32                            ;102 020.09   ;Duikelrek 2-delig                         ;                                                      ;De Veste 15        ;de Veste          ;Lelystad ;Duikelrek              ;AK.762b                ;2018           ;Gras                   ;     ;1;161004;503347;5,4756579475;52,5177651497
Speeltoestel;102 020 - De Veste 15-32                            ;102 020.10   ;Wip Midi                                  ;                                                      ;De Veste 15        ;de Veste          ;Lelystad ;Wip                    ;796268 (ME07)          ;2018           ;Gras                   ;0,0  ;1;160995;503339;5,4755262339;52,5176888561
Speelplek   ;102 020 - De Veste 15-32                            ;102 020      ;De Veste 15-32                            ;Zand 215m�                                            ;De Veste 15        ;de Veste          ;Lelystad ;                       ;                       ;2007           ;                       ;     ;1;161006;503333;5,4756845098;52,5176402964
Speelplek   ;102 040 - Vogelveste School                         ;102 040      ;Vogelveste School                         ;school                                                ;de Veste 18        ;de Veste          ;Lelystad ;                       ;                       ;2007           ;                       ;     ;1;160951;503303;5,474879585;52,5173709169
Speeltoestel;102 040 - Vogelveste School                         ;102 040.Nieuw;Boulderwand 6m                            ;                                                      ;de Veste 18        ;de Veste          ;Lelystad ;                       ;714301,0               ;2019           ;Betontegel             ;     ;1;160982;503279;5,4753390884;52,517151286
Speeltoestel;102 040 - Vogelveste School                         ;102 040.02   ;Tafeltennistafel Groen                    ;Pingpongen                                            ;de Veste 18        ;de Veste          ;Lelystad ;Sporttoestel           ;PP.GR                  ;2009           ;Betontegel             ;     ;1;160979;503278;5,4752835234;52,5171390147
Speeltoestel;102 040 - Vogelveste School                         ;102 040.10   ;SP Basketbalpaal Clown                    ;Polyester                                             ;de Veste 18        ;de Veste          ;Lelystad ;Sporttoestel           ;4090200061,0           ;2005           ;Betontegel             ;9,0  ;1;160946;503308;5,4748104355;52,5174173425
Speeltoestel;102 040 - Vogelveste School                         ;102 040.Nieuw;Basketbalpaal                             ;Roosterbord                                           ;de Veste 18        ;de Veste          ;Lelystad ;Sporttoestel           ;710377,0               ;2019           ;Betontegel             ;     ;1;160958;503280;5,4749819968;52,517160179
Speeltoestel;102 040 - Vogelveste School                         ;102 040.Nieuw;Minidoel                                  ;                                                      ;de Veste 18        ;de Veste          ;Lelystad ;Sporttoestel           ;751365,0               ;2019           ;Betontegel             ;     ;1;160960;503282;5,4750122437;52,517183164
Speeltoestel;102 040 - Vogelveste School                         ;102 040.Nieuw;Minidoel                                  ;                                                      ;de Veste 18        ;de Veste          ;Lelystad ;Sporttoestel           ;751365,0               ;2019           ;Betontegel             ;     ;1;160965;503271;5,475081428;52,5170805677
Speeltoestel;102 040 - Vogelveste School                         ;102 040.Nieuw;Zandbak                                   ;                                                      ;de Veste 18        ;de Veste          ;Lelystad ;Zandbak                ;                       ;2019           ;Betontegel             ;23,0 ;1;160938;503310;5,4746868668;52,5174352287
Speeltoestel;102 040 - Vogelveste School                         ;102 040.Nieuw;Balanceerbrug                             ;                                                      ;de Veste 18        ;de Veste          ;Lelystad ;Balanceertoestel       ;773152,0               ;2019           ;Dekowood               ;87,0 ;1;160938;503300;5,4746893368;52,5173436464
Speeltoestel;102 040 - Vogelveste School                         ;102 040.03   ;JP 353 Cirkelduikelrek                    ;kunstof                                               ;de Veste 18        ;de Veste          ;Lelystad ;Duikelrek              ;JGP.353.501            ;2008           ;Dekowood               ;54,0 ;1;160977;503265;5,4752579624;52,5170281306
Speeltoestel;102 040 - Vogelveste School                         ;102 040.Nieuw;Vogelnestschommel                         ;                                                      ;de Veste 18        ;de Veste          ;Lelystad ;Schommel               ;771506,0               ;2019           ;Dekowood               ;46,0 ;1;160937;503300;5,4746661932;52,5173366534
Speeltoestel;102 040 - Vogelveste School                         ;102 040.Nieuw;T-schommel                                ;                                                      ;de Veste 18        ;de Veste          ;Lelystad ;Schommel               ;765940 (KF06)          ;2019           ;Dekowood               ;38,0 ;1;160974;503264;5,475213601;52,517019356
Speeltoestel;102 040 - Vogelveste School                         ;102 040.Nieuw;Speelstructuur Otter                      ;Combinatietoestel                                     ;de Veste 18        ;de Veste          ;Lelystad ;Combinatietoestel      ;771516,0               ;2019           ;Fijn grind             ;80,0 ;1;160942;503292;5,4747425114;52,5172649683
Speeltoestel;102 030 - De Veste 13-22                            ;102 030.01   ;Raket draaitol buiten P1                  ;Draaien/zitten                                        ;De Veste 13        ;de Veste          ;Lelystad ;Draaitoestel           ;101077M                ;2008           ;Rubbertegel            ;9,0  ;1;160922;503431;5,4744459317;52,5185204417
Speeltoestel;102 030 - De Veste 13-22                            ;102 030.03   ;Speelboot                                 ;Wippen                                                ;De Veste 13        ;de Veste          ;Lelystad ;Wip                    ;S168                   ;2008           ;Rubbertegel            ;30,0 ;1;160927;503427;5,4745255619;52,5184832655
Speeltoestel;102 030 - De Veste 13-22                            ;102 030.02   ;Schommel T for 2                          ;Schommelen                                            ;De Veste 13        ;de Veste          ;Lelystad ;Schommel               ;765940 (KF06)          ;2008           ;Rubbertegel            ;28,0 ;1;160933;503423;5,4746162377;52,5184441938
Speelplek   ;102 030 - De Veste 13-22                            ;102 030      ;De Veste 13-22                            ;                                                      ;De Veste 13        ;de Veste          ;Lelystad ;                       ;                       ;2007           ;                       ;     ;1;160926;503430;5,4745164832;52,5185113126
Speelplek   ;102 010 - De Veste 11-24                            ;102 010      ;De Veste 11-24                            ;Trapveld                                              ;De Veste 11        ;de Veste          ;Lelystad ;                       ;                       ;2007           ;                       ;     ;1;161059;503545;5,4764715347;52,5195413258
Speeltoestel;102 070 - de Stelling 10-01                         ;102 070.05   ;Twist                                     ;Balanceren                                            ;de Stelling 10     ;de Stelling       ;Lelystad ;Balanceertoestel       ;SPF-25108              ;2008           ;Betontegel             ;0,0  ;1;160911;502756;5,4742739374;52,512448214
Speeltoestel;102 070 - de Stelling 10-01                         ;102 070.02   ;Blues                                     ;Balanceren                                            ;de Stelling 10     ;de Stelling       ;Lelystad ;Draaitoestel           ;Q01276                 ;2008           ;Betontegel             ;     ;1;160915;502778;5,4743416605;52,5126525353
Speeltoestel;102 070 - de Stelling 10-01                         ;102 070.03   ;Mini Play - Veerhobbel Eekhoorn           ;Veertoestel                                           ;de Stelling 10     ;de Stelling       ;Lelystad ;Veerelement            ;MNP.703.001            ;2008           ;Betontegel             ;     ;1;160903;502779;5,4741634306;52,512658598
Speeltoestel;102 070 - de Stelling 10-01                         ;102 070.01   ;Jungleplay combinatie                     ;                                                      ;de Stelling 10     ;de Stelling       ;Lelystad ;Combinatietoestel      ;JGP.308.501            ;2018           ;Rubbertegel            ;49,0 ;1;160915;502767;5,4743396981;52,512554036
Speeltoestel;102 070 - de Stelling 10-01                         ;102 070.04   ;Schommel T for 2                          ;Schommelen                                            ;de Stelling 10     ;de Stelling       ;Lelystad ;Schommel               ;765940 (KF06)          ;2008           ;Rubbertegel            ;28,0 ;1;160912;502782;5,4743001945;52,5126903125
Speelplek   ;102 070 - de Stelling 10-01                         ;102 070      ;de Stelling 10-01                         ;                                                      ;de Stelling 10     ;de Stelling       ;Lelystad ;                       ;                       ;2007           ;                       ;     ;1;160911;502775;5,4742831153;52,5126200444
Speelplek   ;102 080 - de Stelling 10-73                         ;102 080      ;de Stelling 10-73                         ;                                                      ;de Stelling 10     ;Atol              ;Lelystad ;                       ;                       ;2007           ;                       ;     ;1;160896;502861;5,4740608867;52,5133969797
Speeltoestel;102 080 - de Stelling 10-73                         ;102 080.06   ;Wip Midi                                  ;                                                      ;de Stelling 10     ;Atol              ;Lelystad ;Wip                    ;796268 (ME07)          ;2015           ;Gras                   ;     ;1;160903;502867;5,4741630755;52,5134492108
Speeltoestel;102 080 - de Stelling 10-73                         ;102 080.05   ;Duikelrek 2-delig                         ;                                                      ;de Stelling 10     ;Atol              ;Lelystad ;Duikelrek              ;AK.762b                ;2018           ;Gras                   ;     ;1;160899;502860;5,4741091855;52,5133874178
Speeltoestel;102 080 - de Stelling 10-73                         ;102 080.03   ;Balance springbloem                       ;Springen                                              ;de Stelling 10     ;Atol              ;Lelystad ;Balanceertoestel       ;5590070,0              ;2008           ;Gras                   ;     ;3;160890;502863;5,473974149;52,5134110635
Speeltoestel;102 080 - de Stelling 10-73                         ;102 080.04   ;Schommel T for 2                          ;Schommelen                                            ;de Stelling 10     ;Atol              ;Lelystad ;Schommel               ;765940 (KF06)          ;2008           ;Kunstgras              ;28,0 ;1;160890;502863;5,4739664866;52,5134099008
Speeltoestel;102 050 - Schans 17-34                              ;102 050.04   ;Schommel T for 2                          ;Schommelen                                            ;Schans 17          ;Schans            ;Lelystad ;Schommel               ;765940 (KF06)          ;2008           ;Kunstgras              ;28,0 ;1;160949;502955;5,4748446393;52,5142442638
Speeltoestel;102 050 - Schans 17-34                              ;102 050.01   ;CP - Duikelrek - 1-delig - 80cm           ;Duikelen                                              ;Schans 17          ;Schans            ;Lelystad ;Duikelrek              ;30.2.216               ;2010           ;Gras                   ;     ;1;160949;502947;5,4748440488;52,5141695798
Speeltoestel;102 050 - Schans 17-34                              ;102 050.02   ;Glijbaan                                  ;glijden                                               ;Schans 17          ;Schans            ;Lelystad ;Glijbaan               ;32.3.611 (5)           ;2010           ;Gras                   ;     ;1;160951;502949;5,4748654416;52,5141859209
Speeltoestel;102 050 - Schans 17-34                              ;102 050.03   ;Wip Bumper                                ;Wippen                                                ;Schans 17          ;Schans            ;Lelystad ;Wip                    ;796272 (KF03)          ;2008           ;Gras                   ;0,0  ;1;160949;502967;5,4748354168;52,5143476245
Speelplek   ;102 050 - Schans 17-34                              ;102 050      ;Schans 17-34                              ;                                                      ;Schans 17          ;Schans            ;Lelystad ;                       ;                       ;2007           ;                       ;     ;1;160950;502948;5,4748505511;52,5141799104
Speelplek   ;102 060 - Schans15-01                               ;102 060      ;Schans15-01                               ;                                                      ;Schans 15          ;Schans            ;Lelystad ;                       ;                       ;2007           ;                       ;     ;1;160955;503130;5,4749277562;52,5158149116
Speeltoestel;102 060 - Schans15-01                               ;102 060.02   ;Kikkerwip                                 ;wip                                                   ;Schans 15          ;Schans            ;Lelystad ;Wip                    ;AK.744                 ;2008           ;Gras                   ;     ;1;160953;503131;5,474902881;52,5158257148
Speeltoestel;102 060 - Schans15-01                               ;102 060.01   ;Aster zonder dakje                        ;Kunststof                                             ;Schans 15          ;Schans            ;Lelystad ;Combinatietoestel      ;AK.732a                ;2000           ;Gras                   ;0,0  ;1;160953;503137;5,4749076908;52,5158737932
Speeltoestel;102 060 - Schans15-01                               ;102 060.03   ;Tourniquet                                ;Draaien                                               ;Schans 15          ;Schans            ;Lelystad ;Draaitoestel           ;766007 (PP07)          ;2008           ;Kunstgras              ;9,0  ;1;160959;503143;5,4749888247;52,5159284657
Speeltoestel;110 030 - Bastion 91                                ;110 030.06   ;Streetdoel                                ;Voetballen                                            ;Bastion            ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;5620480,0              ;2008           ;Gras                   ;     ;1;161222;503616;5,4788731625;52,5201770492
Speeltoestel;110 030 - Bastion 91                                ;110 030.07   ;Streetdoel                                ;                                                      ;Bastion            ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;5620480,0              ;2008           ;Gras                   ;0,0  ;1;161221;503635;5,4788574637;52,5203503362
Speeltoestel;110 030 - Bastion 91                                ;110 030.01   ;Klimglijcombinatie                        ;                                                      ;Bastion            ;Zuiderzeewijk     ;Lelystad ;Combinatietoestel      ;AK.711                 ;2016           ;Kunstgras              ;81,0 ;1;161221;503603;5,4788652672;52,5200645345
Speeltoestel;110 030 - Bastion 91                                ;110 030.02   ;Motor                                     ;Veertoestel                                           ;Bastion            ;Zuiderzeewijk     ;Lelystad ;Veerelement            ;AK.743a                ;1996           ;Kunstgras              ;4,0  ;1;161212;503624;5,4787312841;52,5202493268
Speeltoestel;110 030 - Bastion 91                                ;110 030.03   ;Mini Play - Veerhobbel Eendenkuipje       ;Veertoestel                                           ;Bastion            ;Zuiderzeewijk     ;Lelystad ;Veerelement            ;MNP.705.001 (34.3.705) ;1998           ;Kunstgras              ;6,0  ;1;161213;503627;5,4787404693;52,5202736753
Speelplek   ;110 030 - Bastion 91                                ;110 030      ;Bastion 91                                ;                                                      ;Bastion            ;Zuiderzeewijk     ;Lelystad ;                       ;                       ;2007           ;                       ;     ;1;161224;503615;5,4789029083;52,5201696566
Speeltoestel;111 090 - Breehorn 47                               ;111 090.05   ;Krokus met web-net                        ;Glij klim en duikel                                   ;Breehorn           ;Zuiderzeewijk     ;Lelystad ;Combinatietoestel      ;AK.712b                ;2003           ;Rubbertegel            ;56,0 ;1;162085;503860;5,491601823;52,5223630066
Speeltoestel;111 090 - Breehorn 47                               ;111 090.02   ;CP - Duikelrek - 1-delig - 80cm           ;Duikelen                                              ;Breehorn           ;Zuiderzeewijk     ;Lelystad ;Duikelrek              ;30.2.216               ;1990           ;Rubbertegel            ;12,0 ;1;162092;503862;5,4917008763;52,5223802647
Speeltoestel;111 090 - Breehorn 47                               ;111 090.01   ;Klimbol                                   ;klimmen                                               ;Breehorn           ;Zuiderzeewijk     ;Lelystad ;Klimtoestel            ;CSP.312.906 (30.2.312) ;1980           ;Rubbertegel            ;36,0 ;1;162085;503864;5,4915893739;52,5223945629
Speeltoestel;111 090 - Breehorn 47                               ;111 090.04   ;Kikkerwip                                 ;Veertoestel                                           ;Breehorn           ;Zuiderzeewijk     ;Lelystad ;Wip                    ;AK.744                 ;1992           ;Rubbertegel            ;25,0 ;1;162094;503862;5,4917334368;52,5223796069
Speeltoestel;111 090 - Breehorn 47                               ;111 090.07   ;Schommel T for 2                          ;Schommelen                                            ;Breehorn           ;Zuiderzeewijk     ;Lelystad ;Schommel               ;765940 (KF06)          ;2008           ;Rubbertegel            ;28,0 ;1;162088;503858;5,4916380249;52,5223445507
Speelplek   ;111 090 - Breehorn 47                               ;111 090      ;Breehorn 47                               ;                                                      ;Breehorn           ;Zuiderzeewijk     ;Lelystad ;                       ;                       ;               ;                       ;     ;1;162067;503857;5,4913273967;52,5223292762
Speelplek   ;111 110 - Grienderwaard School                      ;111 110      ;Grienderwaard School                      ;230 m� zand even jaar: school Kids Centr              ;Grienderwaard      ;Zuiderzeewijk     ;Lelystad ;                       ;                       ;               ;                       ;     ;1;161826;503899;5,4877775372;52,5227143026
Overig      ;111 110 - Grienderwaard School                      ;54           ;Ballenvanger dubbelstaafmat               ;Lengte 13m, 4,00m.                                    ;Grienderwaard      ;Zuiderzeewijk     ;Lelystad ;Hekwerk                ;                       ;               ;                       ;     ;1;161835;503918;5,4879131769;52,5228809014
Overig      ;111 110 - Grienderwaard School                      ;53           ;Ballenvanger dubbelstaafmat               ;13m, hoogte 4,00m.                                    ;Grienderwaard      ;Zuiderzeewijk     ;Lelystad ;Hekwerk                ;                       ;               ;                       ;     ;1;161858;503927;5,4882498933;52,5229631179
Speeltoestel;111 110 - Grienderwaard School                      ;111 110.12   ;Draaiplateau                              ;                                                      ;Grienderwaard      ;Zuiderzeewijk     ;Lelystad ;Draaitoestel           ;S.546                  ;2016           ;Kunstgras              ;26,0 ;1;161858;503908;5,4882449431;52,5227962283
Speeltoestel;111 110 - Grienderwaard School                      ;111 110.15   ;Sutu                                      ;Interactief                                           ;Grienderwaard      ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;3550 - Yalp            ;2016           ;Kunstgras              ;120,0;1;161871;503963;5,4884469042;52,5232903562
Speeltoestel;111 110 - Grienderwaard School                      ;111 110.16   ;Sportkooi                                 ;                                                      ;Grienderwaard      ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;                       ;2016           ;Kunstgras              ;150,0;1;161900;503946;5,4888644106;52,5231351479
Speeltoestel;111 110 - Grienderwaard School                      ;111 110.13   ;Basket Pro                                ;                                                      ;Grienderwaard      ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;3050,0                 ;2016           ;Asfalt                 ;75,0 ;1;161838;503922;5,4879540861;52,5229227473
Speeltoestel;111 110 - Grienderwaard School                      ;111 110.14   ;Basket Pro                                ;                                                      ;Grienderwaard      ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;3050,0                 ;2016           ;Asfalt                 ;75,0 ;1;161856;503927;5,4882171856;52,5229640445
Speeltoestel;111 110 - Grienderwaard School                      ;111 110.09   ;Apekop                                    ;glijden                                               ;Grienderwaard      ;Zuiderzeewijk     ;Lelystad ;Combinatietoestel      ;772118,0               ;2004           ;Kunstgras              ;30,0 ;1;161807;503899;5,4874993587;52,522714808
Speeltoestel;111 110 - Grienderwaard School                      ;111 110.01   ;Schommel T for 2                          ;Schommelen                                            ;Grienderwaard      ;Zuiderzeewijk     ;Lelystad ;Schommel               ;765940 (KF06)          ;2016           ;Kunstgras              ;30,0 ;1;161864;503908;5,4883368861;52,5227971384
Speeltoestel;111 110 - Grienderwaard School                      ;111 110.11   ;Gravendries                               ;Klimmen                                               ;Grienderwaard      ;Zuiderzeewijk     ;Lelystad ;Klimtoestel            ;772119 (SC24)          ;2006           ;Kunstgras              ;60,0 ;1;161838;503922;5,4879536383;52,5229202312
Speeltoestel;111 140 - Texelstroom 12                            ;111 140.03   ;Roos                                      ;klimmen/schommelen/duikelen                           ;Texelstroom        ;Zuiderzeewijk     ;Lelystad ;Combinatietoestel      ;AK.714                 ;2003           ;Kunstgras              ;48,0 ;1;161877;504066;5,4885414121;52,5242140777
Speeltoestel;111 140 - Texelstroom 12                            ;111 140.02   ;Slider                                    ;glijden                                               ;Texelstroom        ;Zuiderzeewijk     ;Lelystad ;Glijbaan               ;725343 (KF01)          ;2011           ;Kunstgras              ;28,0 ;1;161860;504076;5,4882802312;52,5243059711
Speeltoestel;111 140 - Texelstroom 12                            ;111 140.01   ;Fietsmolen Play-point                     ;Draaien en fietsen                                    ;Texelstroom        ;Zuiderzeewijk     ;Lelystad ;Draaitoestel           ;766016 (PP16)          ;2011           ;Kunstgras              ;27,0 ;1;161861;504070;5,488301756;52,524247086
Speelplek   ;111 140 - Texelstroom 12                            ;111 140      ;Texelstroom 12                            ;                                                      ;Texelstroom        ;Zuiderzeewijk     ;Lelystad ;                       ;                       ;               ;                       ;     ;1;161867;504067;5,4883870116;52,5242219387
Speelplek   ;111 130 - Blauwe Slenk 12                           ;111 130      ;Blauwe Slenk 12                           ;                                                      ;Blauwe Slenk       ;Zuiderzeewijk     ;Lelystad ;                       ;                       ;2011           ;                       ;     ;1;162032;504081;5,4908241121;52,5243465527
Speeltoestel;111 130 - Blauwe Slenk 12                           ;111 130.02   ;Triodraai                                 ;Draaien                                               ;Blauwe Slenk       ;Zuiderzeewijk     ;Lelystad ;Draaitoestel           ;766009 (PP09)          ;2011           ;Kunstgras              ;25,0 ;1;162030;504080;5,4907944797;52,5243398382
Speeltoestel;111 130 - Blauwe Slenk 12                           ;111 130.01   ;combinatie                                ;Schommelen glijden                                    ;Blauwe Slenk       ;Zuiderzeewijk     ;Lelystad ;Combinatietoestel      ;KPL1002                ;2011           ;Kunstgras              ;65,0 ;1;162029;504086;5,4907742583;52,5243876682
Speelplek   ;111 150 - Marderhoek 1                              ;111 150      ;Marderhoek 1                              ;                                                      ;Marderhoek         ;Zuiderzeewijk     ;Lelystad ;                       ;                       ;               ;                       ;     ;1;161651;504054;5,4852070378;52,5241103839
Speeltoestel;111 150 - Marderhoek 1                              ;111 150.01   ;Schommel T for 2                          ;Schommelen                                            ;Marderhoek         ;Zuiderzeewijk     ;Lelystad ;Schommel               ;765940 (KF06)          ;2016           ;Rubbertegel            ;28,0 ;1;161652;504049;5,4852202029;52,5240672341
Speeltoestel;111 150 - Marderhoek 1                              ;111 150.02   ;Classic Play - Klimtrechter Aluminium     ;Klimmen                                               ;Marderhoek         ;Zuiderzeewijk     ;Lelystad ;Klimtoestel            ;CSP.305.502 (30.2.305) ;1990           ;Rubbertegel            ;25,0 ;1;161650;504057;5,4851895589;52,5241352033
Speeltoestel;111 150 - Marderhoek 1                              ;111 150.03   ;Bippie                                    ;GLIJ KLIM COM.                                        ;Marderhoek         ;Zuiderzeewijk     ;Lelystad ;Combinatietoestel      ;$93274                 ;2002           ;Rubbertegel            ;26,0 ;1;161655;504054;5,4852627299;52,5241083606
Speeltoestel;111 190 - Spaanderbank School                       ;111 190.10   ;Tafeltennistafel Blauw                    ;Tafeltennissen                                        ;Spaanderbank       ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;PP.BL                  ;1997           ;Betontegel             ;     ;1;161453;503897;5,4822877306;52,5226997834
Overig      ;111 190 - Spaanderbank School                       ;52           ;Ballenvanger gaas                         ;6m, hoogte 2,00m.                                     ;Spaanderbank       ;Zuiderzeewijk     ;Lelystad ;Hekwerk                ;                       ;               ;                       ;     ;1;161421;503920;5,4818169731;52,5229040817
Speelplek   ;111 190 - Spaanderbank School                       ;111 190      ;Spaanderbank School                       ; sportzaal: school                                    ;Spaanderbank       ;Zuiderzeewijk     ;Lelystad ;                       ;                       ;               ;                       ;     ;1;161430;503925;5,4819384779;52,5229484717
Speeltoestel;111 190 - Spaanderbank School                       ;111 190.01   ;Doel - gaspijp                            ;gaspijp                                               ;Spaanderbank       ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;                       ;1995           ;Gras                   ;0,0  ;1;161432;503915;5,4819724831;52,5228656716
Speeltoestel;111 190 - Spaanderbank School                       ;111 190.02   ;Doel - gaspijp                            ;gaspijp                                               ;Spaanderbank       ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;                       ;1995           ;Gras                   ;0,0  ;1;161451;503916;5,4822534703;52,5228689515
Speeltoestel;111 190 - Spaanderbank School                       ;111 190.03   ;Speelhek Geel                             ;Duikelen                                              ;Spaanderbank       ;Zuiderzeewijk     ;Lelystad ;Speelelement           ;$93275                 ;1995           ;Gras                   ;     ;1;161461;503905;5,4823963328;52,5227735716
Speeltoestel;111 190 - Spaanderbank School                       ;111 190.09   ;Speelhek Geel                             ;                                                      ;Spaanderbank       ;Zuiderzeewijk     ;Lelystad ;Speelelement           ;$93275                 ;1995           ;Gras                   ;     ;1;161446;503925;5,4821739323;52,5229495413
Speeltoestel;111 200 - Laetare School                            ;111 200.02   ;Kllimcombinatie                           ;klimmen/duikelen/glijden                              ;Spaanderbank       ;Zuiderzeewijk     ;Lelystad ;Combinatietoestel      ;AK.712b                ;2011           ;Kunstgras              ;36,0 ;1;161396;503926;5,4814384372;52,5229657666
Speelplek   ;111 200 - Laetare School                            ;111 200      ;Laetare School                            ; school Leekerhoek 16                                 ;Spaanderbank       ;Zuiderzeewijk     ;Lelystad ;                       ;                       ;               ;                       ;     ;1;161383;503922;5,4812575571;52,5229227714
Speeltoestel;111 200 - Laetare School                            ;111 200.03   ;Zandbak                                   ;Kidpitt Pebble                                        ;Spaanderbank       ;Zuiderzeewijk     ;Lelystad ;Zandbak                ;                       ;2015           ;Zand                   ;16,0 ;1;161387;503919;5,481312317;52,5228988218
Speeltoestel;111 210 - Laetare School                            ;111 210.10   ;Midigoal                                  ;                                                      ;Blokkerhoek        ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;                       ;2017           ;Betontegel             ;     ;1;161280;503939;5,4797427748;52,5230806129
Speeltoestel;111 210 - Laetare School                            ;111 210.09   ;Midigoal                                  ;                                                      ;Blokkerhoek        ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;                       ;2017           ;Betontegel             ;0,0  ;1;161284;503921;5,4798015241;52,5229212225
Speeltoestel;111 210 - Laetare School                            ;111 210.08   ;Glijbaan 1,5m                             ;                                                      ;Blokkerhoek        ;Zuiderzeewijk     ;Lelystad ;Glijbaan               ;725350 (ME50)          ;2006           ;Rubbertegel            ;50,0 ;1;161355;503893;5,4808460764;52,5226663309
Speeltoestel;111 210 - Laetare School                            ;223 510.02   ;BLOQX 4, Oranje                           ;                                                      ;Blokkerhoek        ;Zuiderzeewijk     ;Lelystad ;Klimtoestel            ;BLX410401              ;2009           ;Rubbertegel            ;63,0 ;1;161283;503917;5,479776985;52,5228829559
Speeltoestel;111 210 - Laetare School                            ;111 210.05   ;JP 353 Cirkelduikelrek                    ;kunstof                                               ;Blokkerhoek        ;Zuiderzeewijk     ;Lelystad ;Duikelrek              ;JGP.353.501            ;2008           ;Rubbertegel            ;36,0 ;1;161330;503889;5,4804761812;52,52263328
Speelplek   ;111 210 - Laetare School                            ;111 210      ;Laetare School                            ;school                                                ;Blokkerhoek        ;Zuiderzeewijk     ;Lelystad ;                       ;                       ;               ;                       ;     ;1;161300;503886;5,4800271782;52,5226066709
