2018: weekoverzichten F-16 inzet anti-ISIS coalitie;;;;;
Start periode operaties;Einde periode operaties (datum is tot en met);Datum uitgifte overzicht;M = uitgevoerde missie-opdrachten;W = aantal keren wapeninzet (x) = cumulatief;Overzicht operaties 
19-9-2018;25-9-2018;26-9-2018;M: 8 (334);W: 3 (42);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 8 missies. Die zijn gevlogen boven de Syrische provincie Deir al Zour, in de omgeving van Abu Kamal. Er zijn 3 keer wapens ingezet. ISIS-strijders, een wapenopstelling en een logistieke opslagplaats waren het doelwit. Een overzicht van Defensieoperaties in de week van 19 tot 25 september 2018.
26-9-2018;2-10-2018;3-10-2018;M: 9 (343);W: 4 (46);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies boven de Syrische en Irak. Tijdens 4 missies zijn wapens ingezet. Dat gebeurde in de Syrische provincie Deir al Zour, in de omgeving van Abu Kamal. ISIS-wapenopstellingen, een logistieke opslagplaats en ISIS Strijders waren het doelwit.
3-10-2018;9-10-2018;10-10-2018;M: 9 (352);W: 2 (48);Nederlandse F-16's ondersteunden tijdens 9 missies grondtroepen in Syrië. Dit gebeurde in het kader van de strijd tegen terreurorganisatie ISIS. Tijdens 2 missies werden wapens ingezet. Een overzicht van Defensieoperaties in de week van 3 tot 10 oktober 2018. 
;;;;;De wapeninzet gebeurde in de provincie Deir al Zour, in de omgeving van Abu Kamal. ISIS-wapenopstellingen, een logistieke opslagplaats en ISIS-strijders waren het doelwit.
10-10-2018;16-10-2018;17-10-2018;M: 9 (361);W: 4 (52);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies. Bij 4 zijn wapens ingezet. Dat gebeurde in de provincie Deir al Zour, in de omgeving van Hajin en Abu Kamal. ISIS-wapenopstellingen waren het doelwit.
17-10-2018;23-10-2018;24-10-2018;M: 9 (370);W: 6 (58);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies. Bij 6 zijn wapens ingezet tegen ISIS-strijders en voertuigen. Dat gebeurde in de provincie Deir al Zour, in de omgeving van Abu Kamal.
24-10-2018;30-10-2018;31-10-2018;M: 9 (379);W: 4 (62);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies. Bij 4 zijn wapens ingezet. Dat gebeurde in de provincies Deir al Zour en Ninawa, in de omgeving van Abu Kamal (Oost-Syrië) en Mosul (Irak). Doelwit waren opslagplaatsen en voertuigen van ISIS.
31-10-2018;6-11-2018;7-11-2018;M: 9 (388);W: 4 (66);Nederlandse F-16's ondersteunden tijdens 9 missies grondtroepen in de strijd tegen terreurorganisatie ISIS. Bij 4 van deze missies werden wapens ingezet. De F-16's kwamen onder meer in actie boven de Syrische provincie Deir al Zour bij Abu Kamal. Hierbij zijn voertuigen, opslagplaatsen en gevechtsposities van ISIS vernietigd.
7-11-2018;13-11-2018;14-11-2018;M: 8 (396);W: 3 (69);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 8 missies (stand t/m 13/11). Bij 3 werden wapens ingezet. De toestellen kwamen in actie boven de Syrische provincie Deir al Zour bij Abu Kamal. Hierbij zijn opslagplaatsen en gevechtsposities van ISIS vernietigd.
14-11-2018;20-11-2018;21-11-2018;M: 10 (406);W: 3 (72);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 10 missies. Bij 3 werden wapens ingezet. De toestellen kwamen in actie boven de Syrische provincie Deir al Zour bij Abu Kamal. Hierbij zijn opslagplaatsen en gevechtsposities van ISIS vernietigd.
21-11-2018;27-11-2018;28-11-2018;M: 9 (415);W: 3 (75);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies. Bij 3 werden wapens ingezet.De toestellen kwamen in actie boven de Syrische provincie Deir al Zour bij Abu Kamal. Hierbij zijn voertuigen, logistieke plaatsen en ISIS-strijders aangevallen.
28-11-2018;4-12-2018;5-12-2018;M: 9 (424);W: 7 (82);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies. Bij 7 werden wapens ingezet. De toestellen kwamen in actie boven de Syrische provincie Deir al Zour bij Abu Kamal. Hierbij zijn voertuigen, logistieke opslagplaatsen en strijders van ISIS aangevallen.
5-12-2018;11-12-2018;12-12-2018;M: 9 (433);W: 6 (88);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies. Bij 6 werden wapens ingezet. De toestellen kwamen in actie boven de Syrische provincie Deir al Zour bij Abu Kamal. Hierbij zijn voertuigen, logistieke opslagplaatsen en strijders aangevallen.
;;;;;Afgelopen week behaalde het Nederlandse F-16-detachement in Jordanië een mijlpaal. Sinds het begin van de operaties in 2014 vlogen Nederlandse F-16's 11.000 uren boven het inzetgebied in Irak en Oost-Syrië. Het F-16-detachement vliegt nog tot en met 31 december missies voor de internationale coalitie die strijdt tegen terreurgroep ISIS.
12-12-2018;18-12-2018;19-12-2018;M: 9 (442);W: 8 (96);In de strijd tegen ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies. Bij 8 werden wapens ingezet. Een overzicht van Defensieoperaties in de week van 12 t/m 18 december.
;;;;;De toestellen kwamen in actie boven de Syrische provincie Deir al Zour bij Abu Kamal. Hierbij zijn voertuigen, logistieke opslagplaatsen en strijders van ISIS aangevallen.
;;;;;Het F-16-detachement vliegt voor de anti-ISIS-coalitie nog tot en met 31 december. Daarna loopt het mandaat voor Nederlandse deelname af.
19-12-2018;8-1-2019;9-1-2019;M: 15 (457);W: 10 (106);De F-16's en het 136 militairen tellende laatste detachement van de Air Task Force Middle East keerden terug uit Jordanië. De Nederlandse deelname stopte per 31 december. Een redeployment-eenheid zorgt ervoor dat alle goederen terug komen naar Nederland. 
;;;;;In de laatste 10 dagen van het jaar zijn er nog 15 missies gevlogen. Hierbij zijn 10 keer wapens ingezet, tegen gevechtsopstellingen en opslagplaatsen van Islamitische Staat.
