Handelsnaam;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Ruys Handelsvereniging B.V.;;;;;;1;;1
S. ter Burg;;;;;;;1;1
Sander Tiekstra Webontwikkeling;;;;1;;;;1
SAP Nederland B.V.;;5;;5;;;;6
SC Carservice;;;;1;;;;1
Schaapontwerpers;;;;;;;1;1
Scholten Awater B.V.;7;6;;3;;;3;7
SDL Holdings B.V.;;;;1;;;;1
Sectra Communications B.V.;;;;;;2;;2
Securitas Beveiliging B.V.;;;;1;;;;1
Sendsteps B.V.;;;1;;;;;1
Senorita;;;;1;;;;1
Seven Stars Noord B.V.;;;;5;;;;5
Signo Distribution International B.V.;;;;1;;;;1
Simple Solutions;;;;4;;;;4
Sioo B.V.;;;;1;;;;1
SLB Diensten B.V.;;;1;1;;;;1
SLTN IT Products B.V.;4;4;7;5;;;;7
SmartDocuments Europe B.V.;;;;2;;;1;2
Software Borg;;;;1;;;;1
Sogeti Nederland B.V.;;;;7;;;;7
Solvinity B.V.;1;1;1;1;;;;2
Source Automation;;;;4;;;;4
SQL Integrator B.V.;;;;4;;;2;4
SRO Services B.V.;;;;;;1;;1
Stedin;;;;1;;;;1
Steve Madden Europe B.V.;;;;1;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;;1;;;;1
Stg. Kunstbezit en Oudheden Groninger Museum;;;;1;;;;1
Stichting Bartiméus Sonneheerdt;;;1;;;;;1
Stichting Beheer Derdengelden X Pact;;;;;;2;2;2
stichting government roaming nederland;;1;;;;;;1
Stichting Infrastr. Kwaliteitsborg. Bodembeh.;;;;1;;;;1
Stichting MBO Diensten;;;;2;;;;2
Stichting Nationaal Onderwijs Museum;;;1;;;;;1
Stichting Nederland Schoon;;;;1;;;;1
Stichting Open State Foundation;;;;2;;;;2
Stichting Reprorecht;;;;;;1;;1
Stichting saMBO~ICT;;;;2;;;;2
Studio Louter B.V.;;;;2;;;;2
SURFmarket;;;2;2;;;;3
SURFnet B.V.;;;;3;4;4;1;5
Survalyzer Nederland B.V.;;;;2;;;1;2
SV Land B.V.;;;;2;;;;2
Symantec B.V.;;;;1;;;;1
Talent123;;;;4;;;;4
Tangelo Software B.V.;;;1;;;;;1
Target imedia B.V.;;;;2;;;;2
Taxicentrale Groningen;;;;1;;;;1
Tblox B.V.;;;;2;;;;2
TCN SIG Telehousing Exploitatie B.V.;1;2;;2;;;;2
Teamwork Information Projects B.V.;;;;2;;;;2
Tele2 Nederland B.V.;;;1;1;3;4;;4
Telegrootgebruik B.V.;2;1;1;;;6;;7
Telindus-ISIT B.V.;7;7;1;5;;;2;8
Ten Ham Software Engineering;;;;1;;;;1
Ter Hoeven & Partners B.V.;;1;;2;;;;2
Testwerk B.V.;;;;4;;;;4
The One B.V.;;;;3;;;;3
The Rhythm Section Information Solutions B.V.;;;;3;;;;3
Timber;;;;1;;;;1
Tizin B.V.;;;;4;;;;4
T-Mobile Netherlands B.V.;;;;1;;;;1
Toner-Online;1;;;;;;;1
Tools4ever B.V.;;;;2;;;;2
TopX B.V.;;;;3;;;;3
Total Active Media B.V.;;;;2;;;1;2
Totality Informatisering B.V.;;;;9;;;5;9
TouchFix B.V.;;;;;;2;;2
Transfer Managed Services B.V.;;;;3;;;;3
Transip B.V.;;;;;;;1;1
Trigonus B.V.;;;;4;;;;4
TriMM Multimedia B.V.;;;1;;;;;1
Triple P Nederland B.V.;;;;;;3;2;4
TweakPhone;;;;;;1;1;1
Uniscape B.V.;;;;1;;;;1
Uniscape Telematica B.V.;;;;;;1;;1
Unisys Nederland N.V.;;;;4;;;;4
update software Benelux;;;;1;;;;1
USG Restart B.V.;;;;1;;;;1
Uw Kabelpartner;2;;;;;1;1;2
Van Gansewinkel Nederland B.V.;;;;1;;;;1
Vancis B.V.;;;;1;;;;1
VCD Business Solutions B.V.;;;;2;;;;2
VDD Iqware B.V.;;;;1;;;;1
Veenman B.V.;;;;1;;2;;2
Veldkamp B.V.;;;;1;;;;1
Ventus Information Management B.V.;;;;4;;;;4
Vereniging Vakantieverblijven Vitens;;;;1;;;;1
Versio B.V.;;;;;;;1;1
Viadesk;;;2;;;;;2
Virol B.V.;;;;1;;;;1
Vodafone;;1;;;;5;;5
Vodafone Libertel B.V.;2;2;;;;5;;5
Waterloo Bar;;;;1;;;;1
Waters Chromatography B.V.;3;;;;;;;3
Webo Promotion B.V.;;;;1;;;;1
Webservices.nl B.V.;;;1;1;;;;1
Webstate B.V.;;;1;2;;;1;2
Wellnomics B.V.;;;;1;;;;1
Wetransfer B.V.;;;;;;;1;1
Wilms Communication Solutions;;;;1;;;;1
Witteveen Furniture Trading B.V.;;;;1;;;;1
Worktrainer B.V.;;;1;;;;;1
Worldline B.V.;;1;;;;;;1
Wyldebeast & Wunderliebe B.V.;;2;;1;;;;2
XA-Ware;;1;;;;;;1
Xerox (Nederland) B.V.;1;1;;1;;;;1
Xlence People B.V.;;;;4;;;;4
Xlence Resourcing B.V.;;;;3;;;;3
XS4ALL Internet B.V.;;;;1;;1;;1
YA Works B.V.;;;;;;;3;3
Yacht;;;;7;;;;7
YNNO B.V.;;;;;;;2;2
Your Source B.V.;;;1;2;;;2;2
Youwe;;;1;;;;;1
Yuniku B.V.;;;;1;;;;1
Zicht Groep B.V.;;;;1;;;;1
Ziggo B.V.;;;;;2;2;;2
Ziggo Services B.V.;;;;;;1;;1
Ziwi B.V.;;;;1;;;;1
Zoeverein B.V. .;;;;4;;;2;4
Zorg-Lokaal;;;;2;;;;2
Eindtotaal;8;8;8;11;7;7;9;12
