Kenteken,Carrosserie volgnummer,Carrosserie voertuig nummer code volgnummer,Carrosseriecode,Carrosserie voertuig nummer Europese omschrijving
0084ZZ,1,1,01,Open laadvloer
0085ZZ,1,1,01,Open laadvloer
0086WT,1,1,03,Gesloten opbouw
0086ZZ,1,1,01,Open laadvloer
0087ZZ,1,1,01,Open laadvloer
0088ZZ,1,1,29,Dieplader
0089WT,1,1,03,Gesloten opbouw
0089ZZ,1,1,99,Niet in deze lijst opgenomen carrosserie
0091VB,1,1,03,Gesloten opbouw
0091ZZ,1,1,01,Open laadvloer
0092WD,1,1,13,Veewagen
0092ZZ,1,1,01,Open laadvloer
0093ZZ,1,1,01,Open laadvloer
0094ZZ,1,1,01,Open laadvloer
0095WL,1,1,03,Gesloten opbouw
0098ZZ,1,1,29,Dieplader
0099WV,1,1,07,Afneembare bovenbouw
00AB92,1,1,03,Gesloten opbouw
00BB03,1,1,03,Gesloten opbouw
00BB29,1,1,13,Veewagen
00BBB2,1,1,04,Geconditioneerd met temperatuurregeling
00BBB3,1,1,15,Betonmixer
00BBB4,1,1,03,Gesloten opbouw
00BBB7,1,1,03,Gesloten opbouw
00BBF3,1,1,07,Afneembare bovenbouw
00BBF6,1,1,03,Gesloten opbouw
00BBH1,1,1,07,Afneembare bovenbouw
00BBH6,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BBJ4,1,1,03,Gesloten opbouw
00BBJ7,1,1,03,Gesloten opbouw
00BBK3,1,1,31,Brandweerwagen
00BBL2,1,1,18,Vuilniswagen
00BBL8,1,1,07,Afneembare bovenbouw
00BBN1,1,1,18,Vuilniswagen
00BBN4,1,1,01,Open laadvloer
00BBN6,1,1,01,Open laadvloer
00BBN7,1,1,03,Gesloten opbouw
00BBP7,1,1,10,Kipper
00BBR7,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BBS1,1,1,03,Gesloten opbouw
00BBS2,1,1,18,Vuilniswagen
00BBT3,1,1,03,Gesloten opbouw
00BBT5,1,1,18,Vuilniswagen
00BBT7,1,1,06,Huifopbouw
00BBV1,1,1,01,Open laadvloer
00BBV3,1,1,10,Kipper
00BBV4,1,1,04,Geconditioneerd met temperatuurregeling
00BBZ1,1,1,09,Voertuig met haakarm
00BDB1,1,1,03,Gesloten opbouw
00BDB5,1,1,06,Huifopbouw
00BDD2,1,1,05,Geconditioneerd zonder temp. regeling
00BDD4,1,1,06,Huifopbouw
00BDD5,1,1,27,Hoogwerker
00BDD6,1,1,18,Vuilniswagen
00BDF5,1,1,06,Huifopbouw
00BDF8,1,1,08,Containercarrier
00BDG1,1,1,02,Neerklapbare zijschotten
00BDH5,1,1,14,Voor vervoer voertuigen
00BDK1,1,1,04,Geconditioneerd met temperatuurregeling
00BDK2,1,1,03,Gesloten opbouw
00BDK6,1,1,31,Brandweerwagen
00BDK8,1,1,03,Gesloten opbouw
00BDK9,1,1,18,Vuilniswagen
00BDL2,1,1,04,Geconditioneerd met temperatuurregeling
00BDL3,1,1,01,Open laadvloer
00BDL5,2,1,07,Afneembare bovenbouw
00BDL6,1,1,04,Geconditioneerd met temperatuurregeling
00BDL8,1,1,03,Gesloten opbouw
00BDL9,1,1,06,Huifopbouw
00BDN1,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BDN2,1,1,02,Neerklapbare zijschotten
00BDP2,1,1,09,Voertuig met haakarm
00BDR5,1,1,03,Gesloten opbouw
00BDS1,1,1,23,Voor detailhandel- / expositiedoeleinden
00BDS5,1,1,03,Gesloten opbouw
00BDS7,1,1,06,Huifopbouw
00BDS8,1,1,04,Geconditioneerd met temperatuurregeling
00BDT7,1,1,08,Containercarrier
00BDV3,1,1,03,Gesloten opbouw
00BDV4,1,1,03,Gesloten opbouw
00BDV6,1,1,06,Huifopbouw
00BDX1,1,1,03,Gesloten opbouw
00BDX2,1,1,02,Neerklapbare zijschotten
00BDZ5,1,1,10,Kipper
00BDZ8,1,1,14,Voor vervoer voertuigen
00BFB2,1,1,13,Veewagen
00BFB3,1,1,09,Voertuig met haakarm
00BFD7,1,1,03,Gesloten opbouw
00BFD8,1,1,12,Tank voor vervoer gevaarlijke stoffen
00BFD9,1,1,03,Gesloten opbouw
00BFF7,1,1,10,Kipper
00BFG2,1,1,03,Gesloten opbouw
00BFG7,1,1,01,Open laadvloer
00BFH8,1,1,18,Vuilniswagen
00BFJ5,1,1,03,Gesloten opbouw
00BFK4,1,1,15,Betonmixer
00BFK7,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BFL2,1,1,13,Veewagen
00BFN1,1,1,18,Vuilniswagen
00BFN8,1,1,14,Voor vervoer voertuigen
00BFP2,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BFP4,1,1,04,Geconditioneerd met temperatuurregeling
00BFP9,1,1,27,Hoogwerker
00BFR5,1,1,03,Gesloten opbouw
00BFR6,1,1,04,Geconditioneerd met temperatuurregeling
00BFT1,1,1,10,Kipper
00BFT3,1,1,09,Voertuig met haakarm
00BFV6,1,1,31,Brandweerwagen
00BFX1,1,1,04,Geconditioneerd met temperatuurregeling
00BFX7,1,1,04,Geconditioneerd met temperatuurregeling
00BFZ7,1,1,03,Gesloten opbouw
00BFZ9,1,1,02,Neerklapbare zijschotten
00BGB5,1,1,10,Kipper
00BGD1,1,1,01,Open laadvloer
00BGD2,1,1,02,Neerklapbare zijschotten
00BGD3,1,1,03,Gesloten opbouw
00BGG1,1,1,13,Veewagen
00BGG4,1,1,99,Niet in deze lijst opgenomen carrosserie
00BGH1,1,1,04,Geconditioneerd met temperatuurregeling
00BGH9,1,1,10,Kipper
00BGJ1,1,1,03,Gesloten opbouw
00BGJ4,1,1,04,Geconditioneerd met temperatuurregeling
00BGK2,1,1,04,Geconditioneerd met temperatuurregeling
00BGK4,1,1,10,Kipper
00BGK8,1,1,14,Voor vervoer voertuigen
00BGL4,1,1,10,Kipper
00BGL8,1,1,02,Neerklapbare zijschotten
00BGN4,1,1,05,Geconditioneerd zonder temp. regeling
00BGN6,1,1,01,Open laadvloer
00BGN8,1,1,03,Gesloten opbouw
00BGP2,1,1,02,Neerklapbare zijschotten
00BGR8,1,1,03,Gesloten opbouw
00BGT2,1,1,03,Gesloten opbouw
00BGT6,1,1,08,Containercarrier
00BGT7,1,1,13,Veewagen
00BGT8,1,1,04,Geconditioneerd met temperatuurregeling
00BGV4,1,1,13,Veewagen
00BGX2,1,1,03,Gesloten opbouw
00BGX8,1,1,04,Geconditioneerd met temperatuurregeling
00BGX9,1,1,03,Gesloten opbouw
00BGZ5,1,1,03,Gesloten opbouw
00BHB9,1,1,07,Afneembare bovenbouw
00BHD1,1,1,13,Veewagen
00BHD2,1,1,03,Gesloten opbouw
00BHD8,1,1,03,Gesloten opbouw
00BHF1,1,1,03,Gesloten opbouw
00BHF2,1,1,13,Veewagen
00BHF4,1,1,09,Voertuig met haakarm
00BHF6,1,1,03,Gesloten opbouw
00BHG4,1,1,13,Veewagen
00BHG5,1,1,03,Gesloten opbouw
00BHG8,1,1,10,Kipper
00BHH3,1,1,14,Voor vervoer voertuigen
00BHH7,1,1,06,Huifopbouw
00BHH9,1,1,18,Vuilniswagen
00BHJ2,1,1,18,Vuilniswagen
00BHJ3,1,1,03,Gesloten opbouw
00BHJ6,1,1,06,Huifopbouw
00BHJ7,1,1,07,Afneembare bovenbouw
00BHK5,1,1,02,Neerklapbare zijschotten
00BHK7,1,1,03,Gesloten opbouw
00BHK8,1,1,09,Voertuig met haakarm
00BHL3,1,1,18,Vuilniswagen
00BHL5,1,1,01,Open laadvloer
00BHL6,1,1,06,Huifopbouw
00BHL9,1,1,18,Vuilniswagen
00BHN3,1,1,09,Voertuig met haakarm
00BHN8,1,1,01,Open laadvloer
00BHP1,1,1,01,Open laadvloer
00BHP4,1,1,27,Hoogwerker
00BHP5,1,1,23,Voor detailhandel- / expositiedoeleinden
00BHP9,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BHS6,1,1,14,Voor vervoer voertuigen
00BHT3,1,1,10,Kipper
00BHT9,1,1,09,Voertuig met haakarm
00BHV7,2,1,07,Afneembare bovenbouw
00BHV8,1,1,14,Voor vervoer voertuigen
00BHX1,1,1,03,Gesloten opbouw
00BHX3,1,1,05,Geconditioneerd zonder temp. regeling
00BHX6,1,1,18,Vuilniswagen
00BHZ8,1,1,03,Gesloten opbouw
00BJB1,1,1,13,Veewagen
00BJD2,1,1,04,Geconditioneerd met temperatuurregeling
00BJD8,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BJD9,1,1,14,Voor vervoer voertuigen
00BJF1,1,1,15,Betonmixer
00BJF2,1,1,10,Kipper
00BJG2,1,1,09,Voertuig met haakarm
00BJG6,1,1,03,Gesloten opbouw
00BJH1,1,1,18,Vuilniswagen
00BJH5,1,1,03,Gesloten opbouw
00BJJ1,1,1,02,Neerklapbare zijschotten
00BJJ2,1,1,06,Huifopbouw
00BJJ5,1,1,14,Voor vervoer voertuigen
00BJK8,1,1,03,Gesloten opbouw
00BJL6,1,1,10,Kipper
00BJL9,1,1,05,Geconditioneerd zonder temp. regeling
00BJN2,1,1,31,Brandweerwagen
00BJN7,1,1,03,Gesloten opbouw
00BJN9,1,1,01,Open laadvloer
00BJP9,1,1,03,Gesloten opbouw
00BJR2,1,1,03,Gesloten opbouw
00BJR3,1,1,03,Gesloten opbouw
00BJR6,1,1,04,Geconditioneerd met temperatuurregeling
00BJS3,1,1,03,Gesloten opbouw
00BJS6,1,1,04,Geconditioneerd met temperatuurregeling
00BJS7,1,1,13,Veewagen
00BJT6,1,1,06,Huifopbouw
00BJV2,1,1,03,Gesloten opbouw
00BJV3,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BJV7,1,1,06,Huifopbouw
00BJV8,1,1,03,Gesloten opbouw
00BJX1,1,1,03,Gesloten opbouw
00BJZ1,1,1,13,Veewagen
00BJZ2,1,1,01,Open laadvloer
00BJZ3,1,1,02,Neerklapbare zijschotten
00BKB3,1,1,03,Gesloten opbouw
00BKB8,1,1,03,Gesloten opbouw
00BKB9,1,1,09,Voertuig met haakarm
00BKD6,1,1,03,Gesloten opbouw
00BKD9,1,1,07,Afneembare bovenbouw
00BKF3,1,1,07,Afneembare bovenbouw
00BKG3,1,1,08,Containercarrier
00BKG7,1,1,09,Voertuig met haakarm
00BKJ1,1,1,04,Geconditioneerd met temperatuurregeling
00BKJ2,1,1,18,Vuilniswagen
00BKJ3,1,1,03,Gesloten opbouw
00BKJ4,1,1,06,Huifopbouw
00BKJ7,1,1,03,Gesloten opbouw
00BKJ8,1,1,15,Betonmixer
00BKL1,1,1,06,Huifopbouw
00BKL2,1,1,10,Kipper
00BKL3,1,1,06,Huifopbouw
00BKN5,1,1,03,Gesloten opbouw
00BKN6,1,1,04,Geconditioneerd met temperatuurregeling
00BKR4,1,1,10,Kipper
00BKR6,1,1,04,Geconditioneerd met temperatuurregeling
00BKR7,1,1,03,Gesloten opbouw
00BKS1,1,1,04,Geconditioneerd met temperatuurregeling
00BKT1,1,1,11,Tankwagen
00BKT5,1,1,07,Afneembare bovenbouw
00BKT9,1,1,03,Gesloten opbouw
00BKV1,1,1,10,Kipper
00BKV5,1,1,06,Huifopbouw
00BKV9,1,1,99,Niet in deze lijst opgenomen carrosserie
00BKX2,1,1,04,Geconditioneerd met temperatuurregeling
00BKX3,1,1,03,Gesloten opbouw
00BKX4,1,1,05,Geconditioneerd zonder temp. regeling
00BKZ2,1,1,04,Geconditioneerd met temperatuurregeling
00BKZ3,1,1,15,Betonmixer
00BKZ5,1,1,03,Gesloten opbouw
00BKZ9,1,1,14,Voor vervoer voertuigen
00BLB1,1,1,14,Voor vervoer voertuigen
00BLB8,1,1,14,Voor vervoer voertuigen
00BLB9,1,1,06,Huifopbouw
00BLD1,1,1,08,Containercarrier
00BLF1,1,1,03,Gesloten opbouw
00BLF2,1,1,09,Voertuig met haakarm
00BLF3,1,1,18,Vuilniswagen
00BLF7,1,1,04,Geconditioneerd met temperatuurregeling
00BLF9,1,1,03,Gesloten opbouw
00BLG3,1,1,09,Voertuig met haakarm
00BLG6,1,1,10,Kipper
00BLG9,1,1,03,Gesloten opbouw
00BLH2,1,1,02,Neerklapbare zijschotten
00BLJ1,1,1,09,Voertuig met haakarm
00BLJ6,1,1,03,Gesloten opbouw
00BLK2,1,1,09,Voertuig met haakarm
00BLK6,1,1,07,Afneembare bovenbouw
00BLK8,1,1,07,Afneembare bovenbouw
00BLL3,1,1,03,Gesloten opbouw
00BLL4,1,1,04,Geconditioneerd met temperatuurregeling
00BLL6,1,1,10,Kipper
00BLN7,1,1,14,Voor vervoer voertuigen
00BLN8,1,1,03,Gesloten opbouw
00BLR8,1,1,03,Gesloten opbouw
00BLS6,1,1,14,Voor vervoer voertuigen
00BLS8,1,1,03,Gesloten opbouw
00BLT3,1,1,03,Gesloten opbouw
00BLT4,1,1,09,Voertuig met haakarm
00BLT7,1,1,03,Gesloten opbouw
00BLV1,1,1,18,Vuilniswagen
00BLV3,1,1,03,Gesloten opbouw
00BLX1,1,1,08,Containercarrier
00BLX3,1,1,18,Vuilniswagen
00BLX7,1,1,10,Kipper
00BLZ4,1,1,06,Huifopbouw
00BNB1,1,1,03,Gesloten opbouw
00BNB3,1,1,14,Voor vervoer voertuigen
00BNB5,1,1,31,Brandweerwagen
00BNB8,1,1,01,Open laadvloer
00BNB9,1,1,09,Voertuig met haakarm
00BND1,1,1,15,Betonmixer
00BND2,1,1,07,Afneembare bovenbouw
00BND4,1,1,03,Gesloten opbouw
00BND6,1,1,03,Gesloten opbouw
00BND7,1,1,03,Gesloten opbouw
00BNF2,1,1,08,Containercarrier
00BNF3,1,1,07,Afneembare bovenbouw
00BNF7,1,1,10,Kipper
00BNF8,1,1,04,Geconditioneerd met temperatuurregeling
00BNG5,1,1,18,Vuilniswagen
00BNG8,1,1,15,Betonmixer
00BNG9,1,1,15,Betonmixer
00BNH2,1,1,09,Voertuig met haakarm
00BNH7,1,1,03,Gesloten opbouw
00BNH8,1,1,09,Voertuig met haakarm
00BNJ2,1,1,09,Voertuig met haakarm
00BNJ3,1,1,04,Geconditioneerd met temperatuurregeling
00BNJ9,1,1,24,Takelwagen
00BNJ9,1,2,26,Kraanwagen
00BNK1,1,1,02,Neerklapbare zijschotten
00BNK1,1,2,26,Kraanwagen
00BNK4,1,1,04,Geconditioneerd met temperatuurregeling
00BNL5,1,1,15,Betonmixer
00BNL6,1,1,03,Gesloten opbouw
00BNL7,1,1,14,Voor vervoer voertuigen
00BNP1,1,1,01,Open laadvloer
00BNP3,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BNP5,1,1,03,Gesloten opbouw
00BNR3,1,1,09,Voertuig met haakarm
00BNR4,1,1,03,Gesloten opbouw
00BNS4,1,1,99,Niet in deze lijst opgenomen carrosserie
00BNS5,1,1,99,Niet in deze lijst opgenomen carrosserie
00BNS9,1,1,03,Gesloten opbouw
00BNT5,1,1,03,Gesloten opbouw
00BNT9,1,1,04,Geconditioneerd met temperatuurregeling
00BNV3,1,1,01,Open laadvloer
00BNV6,1,1,14,Voor vervoer voertuigen
00BNV9,1,1,31,Brandweerwagen
00BNX7,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BNX9,1,1,03,Gesloten opbouw
00BNZ1,1,1,13,Veewagen
00BNZ9,1,1,10,Kipper
00BPB2,1,1,31,Brandweerwagen
00BPB5,1,1,10,Kipper
00BPB6,1,1,03,Gesloten opbouw
00BPB9,1,1,01,Open laadvloer
00BPD6,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BPD9,1,1,03,Gesloten opbouw
00BPF4,1,1,10,Kipper
00BPF9,1,1,04,Geconditioneerd met temperatuurregeling
00BPG1,1,1,10,Kipper
00BPG8,1,1,10,Kipper
00BPG8,1,2,26,Kraanwagen
00BPG9,1,1,01,Open laadvloer
00BPH2,1,1,31,Brandweerwagen
00BPH8,1,1,26,Kraanwagen
00BPJ1,1,1,09,Voertuig met haakarm
00BPJ2,1,1,14,Voor vervoer voertuigen
00BPJ3,1,1,14,Voor vervoer voertuigen
00BPJ8,1,1,04,Geconditioneerd met temperatuurregeling
00BPK2,1,1,03,Gesloten opbouw
00BPK5,1,1,03,Gesloten opbouw
00BPK7,1,1,09,Voertuig met haakarm
00BPK8,1,1,08,Containercarrier
00BPK9,1,1,09,Voertuig met haakarm
00BPL1,1,1,26,Kraanwagen
00BPL2,1,1,06,Huifopbouw
00BPL3,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BPL4,1,1,18,Vuilniswagen
00BPL6,1,1,04,Geconditioneerd met temperatuurregeling
00BPL9,1,1,03,Gesloten opbouw
00BPN2,1,1,03,Gesloten opbouw
00BPN5,1,1,03,Gesloten opbouw
00BPN9,1,1,10,Kipper
00BPP1,1,1,04,Geconditioneerd met temperatuurregeling
00BPP3,1,1,03,Gesloten opbouw
00BPP9,1,1,09,Voertuig met haakarm
00BPR4,1,1,13,Veewagen
00BPR5,1,1,03,Gesloten opbouw
00BPR7,1,1,03,Gesloten opbouw
00BPR8,1,1,06,Huifopbouw
00BPR9,1,1,27,Hoogwerker
00BPS1,1,1,03,Gesloten opbouw
00BPS2,1,1,04,Geconditioneerd met temperatuurregeling
00BPT1,1,1,18,Vuilniswagen
00BPT6,1,1,14,Voor vervoer voertuigen
00BPT7,1,1,08,Containercarrier
00BPT9,1,1,02,Neerklapbare zijschotten
00BPV5,1,1,02,Neerklapbare zijschotten
00BPV8,1,1,04,Geconditioneerd met temperatuurregeling
00BPX1,1,1,01,Open laadvloer
00BPX3,1,1,10,Kipper
00BPX5,1,1,18,Vuilniswagen
00BPX7,1,1,03,Gesloten opbouw
00BPX8,1,1,03,Gesloten opbouw
00BPX9,1,1,03,Gesloten opbouw
00BPZ1,1,1,14,Voor vervoer voertuigen
00BPZ3,1,1,02,Neerklapbare zijschotten
00BPZ3,1,2,26,Kraanwagen
00BPZ5,1,1,10,Kipper
00BRB1,1,1,03,Gesloten opbouw
00BRD2,1,1,01,Open laadvloer
00BRD3,1,1,03,Gesloten opbouw
00BRD5,1,1,02,Neerklapbare zijschotten
00BRD5,1,2,26,Kraanwagen
00BRD6,1,1,03,Gesloten opbouw
00BRD9,1,1,01,Open laadvloer
00BRF3,1,1,14,Voor vervoer voertuigen
00BRF6,1,1,02,Neerklapbare zijschotten
00BRG2,1,1,18,Vuilniswagen
00BRG3,1,1,02,Neerklapbare zijschotten
00BRG5,1,1,09,Voertuig met haakarm
00BRG7,1,1,14,Voor vervoer voertuigen
00BRH8,1,1,15,Betonmixer
00BRJ1,1,1,10,Kipper
00BRJ2,1,1,10,Kipper
00BRJ5,1,1,04,Geconditioneerd met temperatuurregeling
00BRJ7,1,1,10,Kipper
00BRK1,1,1,31,Brandweerwagen
00BRK1,1,2,27,Hoogwerker
00BRK3,1,1,18,Vuilniswagen
00BRK4,1,1,03,Gesloten opbouw
00BRL1,1,1,02,Neerklapbare zijschotten
00BRL4,1,1,18,Vuilniswagen
00BRL5,1,1,03,Gesloten opbouw
00BRN5,1,1,15,Betonmixer
00BRN9,1,1,03,Gesloten opbouw
00BRP3,1,1,08,Containercarrier
00BRP4,1,1,03,Gesloten opbouw
00BRP6,1,1,13,Veewagen
00BRR1,1,1,07,Afneembare bovenbouw
00BRR5,1,1,18,Vuilniswagen
00BRR6,1,1,02,Neerklapbare zijschotten
00BRS3,1,1,01,Open laadvloer
00BRS5,1,1,03,Gesloten opbouw
00BRS6,1,1,27,Hoogwerker
00BRS8,1,1,18,Vuilniswagen
00BRV3,1,1,08,Containercarrier
00BRV5,1,1,09,Voertuig met haakarm
00BRV7,1,1,15,Betonmixer
00BRX1,1,1,09,Voertuig met haakarm
00BRX2,1,1,03,Gesloten opbouw
00BRX4,1,1,07,Afneembare bovenbouw
00BRX7,1,1,02,Neerklapbare zijschotten
00BRZ3,1,1,03,Gesloten opbouw
00BRZ5,1,1,31,Brandweerwagen
00BRZ5,1,2,03,Gesloten opbouw
00BSB3,1,1,03,Gesloten opbouw
00BSB7,1,1,14,Voor vervoer voertuigen
00BSF3,1,1,02,Neerklapbare zijschotten
00BSF6,1,1,04,Geconditioneerd met temperatuurregeling
00BSF9,1,1,09,Voertuig met haakarm
00BSG2,1,1,04,Geconditioneerd met temperatuurregeling
00BSG7,1,1,07,Afneembare bovenbouw
00BSH3,1,1,09,Voertuig met haakarm
00BSH5,1,1,04,Geconditioneerd met temperatuurregeling
00BSH6,1,1,15,Betonmixer
00BSH7,1,1,06,Huifopbouw
00BSH8,1,1,26,Kraanwagen
00BSH8,1,2,03,Gesloten opbouw
00BSH9,1,1,18,Vuilniswagen
00BSJ5,1,1,01,Open laadvloer
00BSJ5,1,2,26,Kraanwagen
00BSJ8,1,1,03,Gesloten opbouw
00BSJ9,1,1,08,Containercarrier
00BSK1,1,1,03,Gesloten opbouw
00BSK3,1,1,18,Vuilniswagen
00BSK4,1,1,03,Gesloten opbouw
00BSL7,1,1,07,Afneembare bovenbouw
00BSN6,1,1,09,Voertuig met haakarm
00BSR1,1,1,07,Afneembare bovenbouw
00BSR8,1,1,31,Brandweerwagen
00BSR9,1,1,04,Geconditioneerd met temperatuurregeling
00BST1,1,1,18,Vuilniswagen
00BST5,1,1,01,Open laadvloer
00BST5,1,2,26,Kraanwagen
00BST6,1,1,06,Huifopbouw
00BST7,1,1,03,Gesloten opbouw
00BSV4,1,1,27,Hoogwerker
00BSV4,1,2,03,Gesloten opbouw
00BSX1,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BSX3,1,1,04,Geconditioneerd met temperatuurregeling
00BSX9,1,1,01,Open laadvloer
00BSX9,1,2,26,Kraanwagen
00BSZ1,1,1,04,Geconditioneerd met temperatuurregeling
00BTB1,1,1,01,Open laadvloer
00BTB2,1,1,18,Vuilniswagen
00BTB7,1,1,19,"Straatveger, straatreiniger, rioolzuiger"
00BTD3,1,1,09,Voertuig met haakarm
00BTD8,2,1,99,Niet in deze lijst opgenomen carrosserie
00BTD9,1,1,04,Geconditioneerd met temperatuurregeling
00BTF4,1,1,03,Gesloten opbouw
00BTF5,1,1,03,Gesloten opbouw
00BTG3,1,1,03,Gesloten opbouw
00BTG4,1,1,04,Geconditioneerd met temperatuurregeling
00BTG6,1,1,03,Gesloten opbouw
00BTH3,1,1,03,Gesloten opbouw
00BTH7,1,1,08,Containercarrier
00BTH8,1,1,02,Neerklapbare zijschotten
00BTJ2,1,1,03,Gesloten opbouw
00BTJ8,1,1,14,Voor vervoer voertuigen
00BTJ9,1,1,04,Geconditioneerd met temperatuurregeling
00BTK2,1,1,18,Vuilniswagen
00BTL1,1,1,07,Afneembare bovenbouw
00BTL2,1,1,17,Voor vervoer boomstammen
00BTL5,1,1,09,Voertuig met haakarm
00BTL7,1,1,10,Kipper
00BTL7,1,2,26,Kraanwagen
00BTN2,1,1,08,Containercarrier
00BTP3,1,1,04,Geconditioneerd met temperatuurregeling
00BTP4,1,1,01,Open laadvloer
00BTR4,1,1,14,Voor vervoer voertuigen
00BTR5,2,1,26,Kraanwagen
00BTR9,1,1,11,Tankwagen
00BTS6,1,1,14,Voor vervoer voertuigen
00BTS9,1,1,31,Brandweerwagen
00BTT5,1,1,03,Gesloten opbouw
00BTV2,1,1,15,Betonmixer
00BTV6,1,1,03,Gesloten opbouw
00BTX3,1,1,04,Geconditioneerd met temperatuurregeling
00BTX5,1,1,02,Neerklapbare zijschotten
00BTX5,1,2,26,Kraanwagen
00DB01,1,1,23,Voor detailhandel- / expositiedoeleinden
00EB19,1,1,06,Huifopbouw
00EB43,1,1,03,Gesloten opbouw
00EB76,1,1,03,Gesloten opbouw
00HB89,1,1,13,Veewagen
00NB89,1,1,25,Ladderwagen
00PB70,1,1,13,Veewagen
00UB41,1,1,03,Gesloten opbouw
00UB84,1,1,03,Gesloten opbouw
00VBR8,1,1,03,Gesloten opbouw
00VBS5,1,1,03,Gesloten opbouw
00VBT5,1,1,03,Gesloten opbouw
00VBT9,1,1,03,Gesloten opbouw
00VBX3,1,1,03,Gesloten opbouw
00VDB3,1,1,03,Gesloten opbouw
00VDB4,1,1,03,Gesloten opbouw
00VDG9,1,1,03,Gesloten opbouw
